* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 11:08:45 19-10-2023
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: 7hz Timeless L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 83.921 -147.5633
20.600000 83.969 -148.1437
20.900000 84.006 -148.6407
21.200001 84.038 -149.1300
21.400000 84.056 -149.4614
21.799999 84.086 -150.1427
22.000000 84.098 -150.4935
22.400000 84.118 -151.2102
22.700001 84.131 -151.7562
23.000000 84.143 -152.3078
23.299999 84.156 -152.8678
23.600000 84.170 -153.4382
24.000000 84.191 -154.2143
24.299999 84.207 -154.8019
24.700001 84.228 -155.5790
25.000000 84.244 -156.1469
25.400000 84.266 -156.8754
25.799999 84.290 -157.5703
26.200001 84.316 -158.2361
26.500000 84.335 -158.7193
26.900000 84.361 -159.3433
27.200001 84.378 -159.7960
27.600000 84.399 -160.3790
28.000000 84.416 -160.9392
28.500000 84.434 -161.6105
29.000000 84.446 -162.2557
29.500000 84.454 -162.8851
30.000000 84.460 -163.5135
30.400000 84.462 -164.0217
30.700001 84.461 -164.4056
31.100000 84.459 -164.9166
31.500000 84.456 -165.4228
32.000000 84.453 -166.0498
32.500000 84.452 -166.6797
33.000000 84.452 -167.3169
33.500000 84.450 -167.9498
34.000000 84.449 -168.5607
34.500000 84.448 -169.1447
35.000000 84.450 -169.7105
35.500000 84.450 -170.2647
36.000000 84.449 -170.8004
36.500000 84.445 -171.3091
37.000000 84.440 -171.7946
37.500000 84.435 -172.2707
38.200001 84.424 -172.9350
38.700001 84.412 -173.4009
39.500000 84.391 -174.1254
40.000000 84.379 -174.5781
40.599998 84.364 -175.1309
41.200001 84.347 -175.6850
41.799999 84.330 -176.2273
42.500000 84.312 -176.8408
43.099998 84.297 -177.3539
43.700001 84.282 -177.8537
44.400002 84.263 -178.4124
45.000000 84.248 -178.8723
45.500000 84.234 -179.2496
46.200001 84.210 -179.7628
46.799999 84.189 179.8278
47.500000 84.167 179.3631
48.200001 84.146 178.8553
48.700001 84.124 178.4819
49.400002 84.087 178.0264
50.000000 84.065 177.6946
50.799999 84.049 177.1887
51.500000 84.030 176.6639
52.200001 84.001 176.1735
53.000000 83.969 175.6749
53.799999 83.938 175.1942
54.500000 83.911 174.8091
55.200001 83.888 174.4238
56.000000 83.857 173.9502
57.000000 83.810 173.4283
58.000000 83.771 172.9185
59.000000 83.725 172.3888
60.000000 83.681 171.9194
60.799999 83.649 171.5150
61.500000 83.617 171.1685
62.200001 83.587 170.8405
63.000000 83.552 170.4598
64.000000 83.505 170.0169
65.000000 83.463 169.6005
66.000000 83.421 169.1774
67.000000 83.378 168.7802
68.000000 83.338 168.3810
69.000000 83.294 167.9666
70.000000 83.244 167.5884
71.000000 83.199 167.2581
72.000000 83.158 166.8981
73.000000 83.113 166.5314
74.000000 83.066 166.1843
75.000000 83.020 165.8701
76.199997 82.967 165.5021
77.500000 82.909 165.1245
78.800003 82.854 164.7511
80.000000 82.802 164.3889
81.199997 82.742 164.0452
82.500000 82.686 163.7183
83.800003 82.628 163.3632
85.000000 82.576 163.0645
86.199997 82.524 162.7688
87.500000 82.466 162.4611
88.500000 82.420 162.2541
90.000000 82.358 161.9283
91.199997 82.304 161.6787
92.500000 82.250 161.4008
93.800003 82.186 161.1547
95.000000 82.137 160.9761
96.199997 82.089 160.7638
97.500000 82.035 160.5147
98.800003 81.969 160.2674
100.000000 81.915 160.1590
101.500000 81.864 159.8698
103.000000 81.791 159.6357
104.400002 81.741 159.4527
106.000000 81.670 159.2125
107.500000 81.612 159.0436
109.000000 81.546 158.9018
110.599998 81.491 158.6830
112.000000 81.426 158.5139
113.800003 81.357 158.3416
115.000000 81.307 158.2306
117.199997 81.228 157.9927
118.000000 81.192 157.9324
120.599998 81.091 157.7038
122.000000 81.040 157.6229
124.099998 80.961 157.4798
125.000000 80.928 157.4102
126.500000 80.873 157.3318
128.000000 80.816 157.2325
131.500000 80.683 157.0575
132.000000 80.666 157.0404
134.000000 80.597 156.9529
136.000000 80.524 156.8337
138.000000 80.453 156.7618
140.000000 80.382 156.7174
143.000000 80.280 156.5997
145.000000 80.212 156.5654
147.500000 80.132 156.5601
150.000000 80.055 156.4751
152.500000 79.961 156.4811
155.000000 79.875 156.4875
157.500000 79.793 156.4778
160.000000 79.712 156.4877
162.500000 79.634 156.4762
165.000000 79.547 156.5531
167.500000 79.463 156.6236
170.000000 79.386 156.6664
172.500000 79.300 156.7612
175.000000 79.216 156.9271
177.500000 79.131 157.0175
180.000000 79.043 157.2589
182.500000 78.965 157.5327
185.000000 78.887 157.9234
187.500000 78.833 158.2826
190.000000 78.792 158.6911
192.500000 78.761 159.1231
195.000000 78.756 159.3707
197.500000 78.744 159.5310
200.000000 78.741 159.5918
203.000000 78.728 159.5595
206.000000 78.686 159.4664
209.000000 78.636 159.4326
212.000000 78.584 159.4111
214.000000 78.541 159.4479
218.000000 78.456 159.5261
220.000000 78.413 159.5507
224.000000 78.333 159.6556
227.000000 78.272 159.7962
230.000000 78.207 159.9120
233.000000 78.149 160.0345
236.000000 78.083 160.2089
240.000000 78.018 160.4012
243.000000 77.956 160.6308
247.000000 77.875 160.7910
250.000000 77.828 161.0187
254.000000 77.757 161.2740
258.000000 77.684 161.6059
262.000000 77.618 161.8544
265.000000 77.577 162.0599
269.000000 77.509 162.4121
272.000000 77.463 162.5743
276.000000 77.399 162.8701
280.000000 77.339 163.2024
285.000000 77.266 163.6321
290.000000 77.196 164.0535
295.000000 77.130 164.5157
300.000000 77.061 164.9249
304.000000 77.024 165.3629
307.000000 76.994 165.6085
311.000000 76.955 166.1515
315.000000 76.937 166.5670
320.000000 76.910 166.9875
325.000000 76.907 167.3478
330.000000 76.886 167.4688
335.000000 76.861 167.7984
340.000000 76.803 167.9472
345.000000 76.754 168.1755
350.000000 76.707 168.4377
355.000000 76.661 168.7778
360.000000 76.609 169.1591
365.000000 76.556 169.4935
370.000000 76.514 169.8984
375.000000 76.466 170.1749
382.000000 76.406 170.7296
387.000000 76.363 171.1066
395.000000 76.291 171.7772
400.000000 76.260 172.2948
406.000000 76.228 172.8717
412.000000 76.210 173.3358
418.000000 76.198 173.8310
425.000000 76.170 174.1709
431.000000 76.137 174.5344
437.000000 76.115 175.0212
444.000000 76.065 175.4791
450.000000 76.034 175.9301
455.000000 76.006 176.2681
462.000000 75.984 176.7537
468.000000 75.952 177.1977
475.000000 75.921 177.6923
482.000000 75.891 178.1606
487.000000 75.871 178.6122
494.000000 75.848 179.0528
500.000000 75.827 179.5159
508.000000 75.807 -179.8973
515.000000 75.791 -179.3800
522.000000 75.762 -178.8874
530.000000 75.736 -178.2945
538.000000 75.727 -177.7708
545.000000 75.712 -177.2152
552.000000 75.693 -176.7890
560.000000 75.675 -176.1243
570.000000 75.665 -175.3687
580.000000 75.649 -174.6445
590.000000 75.628 -174.0042
600.000000 75.626 -173.2429
608.000000 75.610 -172.6545
615.000000 75.614 -172.2209
622.000000 75.606 -171.6246
630.000000 75.605 -171.0441
640.000000 75.615 -170.3723
650.000000 75.605 -169.6986
660.000000 75.608 -168.9391
670.000000 75.614 -168.2881
680.000000 75.627 -167.4751
690.000000 75.630 -166.9245
700.000000 75.647 -166.1391
710.000000 75.659 -165.5126
720.000000 75.671 -164.7215
730.000000 75.673 -164.1270
740.000000 75.693 -163.3116
750.000000 75.704 -162.7614
762.000000 75.742 -161.8639
775.000000 75.785 -160.9039
788.000000 75.823 -160.0064
800.000000 75.852 -159.2090
812.000000 75.899 -158.4968
825.000000 75.935 -157.6027
838.000000 76.004 -156.7957
850.000000 76.049 -155.8245
862.000000 76.108 -155.2844
875.000000 76.175 -154.3241
885.000000 76.227 -153.8278
900.000000 76.299 -152.8118
912.000000 76.379 -152.1507
925.000000 76.452 -151.3801
938.000000 76.533 -150.6381
950.000000 76.626 -150.0098
962.000000 76.692 -149.4446
975.000000 76.799 -148.7234
988.000000 76.892 -148.1497
1000.000000 77.007 -147.5013
1015.000000 77.092 -146.9404
1030.000000 77.189 -146.3058
1044.000000 77.303 -145.7038
1060.000000 77.431 -145.1225
1075.000000 77.530 -144.6978
1090.000000 77.665 -144.1141
1106.000000 77.778 -143.7532
1120.000000 77.885 -143.3779
1138.000000 78.016 -142.8629
1150.000000 78.100 -142.6467
1172.000000 78.271 -142.1569
1180.000000 78.322 -141.9806
1206.000000 78.506 -141.4703
1220.000000 78.603 -141.2150
1241.000000 78.747 -140.8913
1250.000000 78.799 -140.6786
1265.000000 78.906 -140.4726
1280.000000 79.000 -140.2334
1315.000000 79.227 -139.6828
1320.000000 79.255 -139.6769
1340.000000 79.385 -139.4213
1360.000000 79.503 -139.1282
1380.000000 79.638 -138.8713
1400.000000 79.760 -138.7048
1430.000000 79.944 -138.2967
1450.000000 80.072 -138.0865
1475.000000 80.245 -137.8194
1500.000000 80.386 -137.5990
1525.000000 80.557 -137.4572
1550.000000 80.716 -137.1780
1575.000000 80.879 -137.0841
1600.000000 81.058 -136.8468
1625.000000 81.228 -136.7324
1650.000000 81.389 -136.6361
1675.000000 81.572 -136.5515
1700.000000 81.754 -136.5472
1725.000000 81.938 -136.5205
1750.000000 82.133 -136.6331
1775.000000 82.322 -136.7196
1800.000000 82.521 -136.9203
1825.000000 82.728 -137.1152
1850.000000 82.929 -137.4995
1875.000000 83.121 -137.8555
1900.000000 83.325 -138.3311
1925.000000 83.527 -138.8932
1950.000000 83.724 -139.5675
1975.000000 83.913 -140.3027
2000.000000 84.117 -141.2642
2030.000000 84.305 -142.2187
2060.000000 84.501 -143.4072
2090.000000 84.688 -144.6301
2120.000000 84.847 -145.9650
2140.000000 84.954 -146.9155
2180.000000 85.140 -148.7718
2200.000000 85.231 -149.7593
2240.000000 85.381 -151.7396
2270.000000 85.479 -153.3130
2300.000000 85.569 -154.8265
2330.000000 85.634 -156.3686
2360.000000 85.697 -157.9910
2400.000000 85.759 -160.0653
2430.000000 85.789 -161.6458
2470.000000 85.823 -163.6834
2500.000000 85.835 -165.2655
2540.000000 85.848 -167.3516
2580.000000 85.841 -169.4553
2620.000000 85.841 -171.5578
2650.000000 85.849 -173.2384
2690.000000 85.838 -175.5813
2720.000000 85.837 -177.4679
2760.000000 85.812 179.5637
2800.000000 85.749 176.0607
2850.000000 85.489 170.8014
2900.000000 84.848 165.3453
2950.000000 83.892 162.3408
3000.000000 83.090 160.2520
3040.000000 82.186 158.7990
3070.000000 81.368 159.1421
3110.000000 80.386 162.9578
3150.000000 79.844 168.2651
3200.000000 79.724 173.7711
3250.000000 79.810 177.4016
3300.000000 79.927 -177.6611
3350.000000 80.677 -174.7016
3400.000000 81.039 -174.0388
3450.000000 81.132 -174.0993
3500.000000 81.180 -174.2817
3550.000000 81.184 -174.4157
3600.000000 81.180 -174.3511
3650.000000 81.158 -174.2340
3700.000000 81.129 -174.3246
3750.000000 81.090 -174.2276
3820.000000 81.042 -173.8614
3870.000000 81.009 -173.4279
3950.000000 81.006 -172.7708
4000.000000 80.994 -172.1892
4060.000000 81.063 -172.0513
4120.000000 81.113 -171.7826
4180.000000 81.166 -171.6061
4250.000000 81.229 -171.5437
4310.000000 81.271 -171.6473
4370.000000 81.323 -171.7711
4440.000000 81.388 -172.0751
4500.000000 81.422 -172.5189
4550.000000 81.448 -172.7565
4620.000000 81.516 -173.0986
4680.000000 81.587 -173.7024
4750.000000 81.688 -174.9187
4820.000000 81.766 -176.4939
4870.000000 81.777 -178.2199
4940.000000 81.667 178.2767
5000.000000 81.207 174.8160
5080.000000 80.171 176.3474
5150.000000 80.179 178.8265
5220.000000 80.054 178.3795
5300.000000 79.898 177.0860
5380.000000 79.250 173.8127
5450.000000 77.863 174.7692
5520.000000 77.003 -173.9538
5600.000000 78.040 -164.0666
5700.000000 79.301 -163.1091
5800.000000 80.022 -165.8022
5900.000000 80.434 -169.8987
