* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 11:10:21 19-10-2023
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: 7hz Timeless R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 82.665 -136.7356
20.600000 82.737 -137.3286
20.900000 82.798 -137.8358
21.200001 82.854 -138.3363
21.400000 82.888 -138.6770
21.799999 82.950 -139.3828
22.000000 82.978 -139.7490
22.400000 83.027 -140.5009
22.700001 83.061 -141.0745
23.000000 83.094 -141.6524
23.299999 83.127 -142.2362
23.600000 83.160 -142.8283
24.000000 83.207 -143.6314
24.299999 83.241 -144.2392
24.700001 83.288 -145.0452
25.000000 83.322 -145.6372
25.400000 83.369 -146.4031
25.799999 83.417 -147.1428
26.200001 83.465 -147.8598
26.500000 83.500 -148.3824
26.900000 83.545 -149.0546
27.200001 83.576 -149.5368
27.600000 83.616 -150.1500
28.000000 83.654 -150.7363
28.500000 83.699 -151.4501
29.000000 83.739 -152.1575
29.500000 83.772 -152.8576
30.000000 83.800 -153.5471
30.400000 83.820 -154.0954
30.700001 83.834 -154.5092
31.100000 83.852 -155.0682
31.500000 83.868 -155.6344
32.000000 83.886 -156.3439
32.500000 83.901 -157.0452
33.000000 83.918 -157.7331
33.500000 83.935 -158.4077
34.000000 83.953 -159.0691
34.500000 83.971 -159.7162
35.000000 83.988 -160.3464
35.500000 84.005 -160.9556
36.000000 84.020 -161.5412
36.500000 84.034 -162.1072
37.000000 84.046 -162.6627
37.500000 84.055 -163.2122
38.200001 84.061 -163.9609
38.700001 84.063 -164.4729
39.500000 84.065 -165.2737
40.000000 84.067 -165.7840
40.599998 84.067 -166.4090
41.200001 84.065 -167.0275
41.799999 84.062 -167.6254
42.500000 84.063 -168.3121
43.099998 84.063 -168.9076
43.700001 84.061 -169.4912
44.400002 84.056 -170.1246
45.000000 84.054 -170.6416
45.500000 84.052 -171.0759
46.200001 84.043 -171.6725
46.799999 84.033 -172.1428
47.500000 84.024 -172.6780
48.200001 84.013 -173.2414
48.700001 84.000 -173.6317
49.400002 83.984 -174.1316
50.000000 83.978 -174.5791
50.799999 83.964 -175.2552
51.500000 83.940 -175.8130
52.200001 83.919 -176.2944
53.000000 83.903 -176.8452
53.799999 83.885 -177.4035
54.500000 83.870 -177.8702
55.200001 83.855 -178.3416
56.000000 83.832 -178.8670
57.000000 83.803 -179.4690
58.000000 83.775 179.9175
59.000000 83.740 179.3273
60.000000 83.708 178.7776
60.799999 83.685 178.3243
61.500000 83.661 177.9227
62.200001 83.636 177.5423
63.000000 83.609 177.1361
64.000000 83.580 176.6175
65.000000 83.545 176.0843
66.000000 83.507 175.6048
67.000000 83.475 175.1362
68.000000 83.438 174.6448
69.000000 83.398 174.2005
70.000000 83.363 173.7592
71.000000 83.324 173.3163
72.000000 83.286 172.9012
73.000000 83.249 172.4871
74.000000 83.213 172.0901
75.000000 83.176 171.6879
76.199997 83.128 171.2565
77.500000 83.084 170.7904
78.800003 83.029 170.3105
80.000000 82.982 169.9132
81.199997 82.930 169.4994
82.500000 82.881 169.1077
83.800003 82.829 168.6652
85.000000 82.782 168.3393
86.199997 82.740 167.9693
87.500000 82.687 167.6117
88.500000 82.649 167.3371
90.000000 82.589 166.9523
91.199997 82.542 166.6344
92.500000 82.489 166.3081
93.800003 82.436 165.9796
95.000000 82.388 165.7022
96.199997 82.338 165.4301
97.500000 82.290 165.1835
98.800003 82.243 164.9113
100.000000 82.199 164.6656
101.500000 82.136 164.3442
103.000000 82.073 164.1038
104.400002 82.017 163.8304
106.000000 81.957 163.6031
107.500000 81.904 163.2924
109.000000 81.851 163.0718
110.599998 81.785 162.7857
112.000000 81.732 162.6171
113.800003 81.662 162.3965
115.000000 81.620 162.2025
117.199997 81.537 161.9333
118.000000 81.511 161.8145
120.599998 81.414 161.5250
122.000000 81.367 161.3652
124.099998 81.287 161.1694
125.000000 81.257 161.0663
126.500000 81.201 160.9517
128.000000 81.154 160.7428
131.500000 81.023 160.5086
132.000000 81.005 160.4876
134.000000 80.937 160.3159
136.000000 80.871 160.2017
138.000000 80.796 160.0644
140.000000 80.737 159.9234
143.000000 80.628 159.7912
145.000000 80.570 159.7027
147.500000 80.476 159.5750
150.000000 80.393 159.5013
152.500000 80.322 159.3950
155.000000 80.241 159.3339
157.500000 80.161 159.3214
160.000000 80.074 159.2871
162.500000 79.991 159.3022
165.000000 79.914 159.2357
167.500000 79.832 159.2148
170.000000 79.749 159.3566
172.500000 79.666 159.4205
175.000000 79.580 159.5094
177.500000 79.509 159.6711
180.000000 79.441 159.9170
182.500000 79.388 160.1872
185.000000 79.332 160.4288
187.500000 79.293 160.6107
190.000000 79.253 160.7282
192.500000 79.219 160.7432
195.000000 79.176 160.9202
197.500000 79.128 160.9872
200.000000 79.095 161.0522
203.000000 79.038 161.1560
206.000000 78.988 161.3387
209.000000 78.938 161.3884
212.000000 78.901 161.4857
214.000000 78.856 161.5609
218.000000 78.813 161.6011
220.000000 78.774 161.6390
224.000000 78.703 161.7575
227.000000 78.647 161.6998
230.000000 78.587 161.8538
233.000000 78.543 161.9153
236.000000 78.479 162.0220
240.000000 78.420 162.1921
243.000000 78.370 162.2761
247.000000 78.294 162.4472
250.000000 78.236 162.6042
254.000000 78.168 162.7810
258.000000 78.099 162.9336
262.000000 78.028 163.2067
265.000000 77.985 163.3773
269.000000 77.918 163.5723
272.000000 77.870 163.7430
276.000000 77.809 163.9941
280.000000 77.745 164.2191
285.000000 77.668 164.6003
290.000000 77.589 164.9401
295.000000 77.512 165.2649
300.000000 77.439 165.6534
304.000000 77.376 166.0747
307.000000 77.332 166.4053
311.000000 77.290 166.8156
315.000000 77.240 167.2891
320.000000 77.210 167.9089
325.000000 77.196 168.4842
330.000000 77.205 168.8464
335.000000 77.209 169.0451
340.000000 77.179 169.2394
345.000000 77.136 169.3486
350.000000 77.088 169.5604
355.000000 77.055 169.8489
360.000000 76.994 170.0192
365.000000 76.947 170.3673
370.000000 76.905 170.6553
375.000000 76.864 170.9456
382.000000 76.807 171.5010
387.000000 76.766 171.7850
395.000000 76.694 172.3987
400.000000 76.665 172.7446
406.000000 76.622 173.1561
412.000000 76.591 173.6562
418.000000 76.554 174.0959
425.000000 76.524 174.5983
431.000000 76.502 175.0097
437.000000 76.454 175.3428
444.000000 76.425 175.8042
450.000000 76.383 176.2337
455.000000 76.366 176.5515
462.000000 76.338 176.9737
468.000000 76.301 177.4618
475.000000 76.285 177.9473
482.000000 76.249 178.4278
487.000000 76.218 178.7811
494.000000 76.202 179.3058
500.000000 76.173 179.7046
508.000000 76.147 -179.6663
515.000000 76.129 -179.1908
522.000000 76.098 -178.7723
530.000000 76.080 -178.2009
538.000000 76.061 -177.6462
545.000000 76.047 -177.1504
552.000000 76.037 -176.5791
560.000000 76.012 -176.1032
570.000000 75.997 -175.4174
580.000000 75.965 -174.6809
590.000000 75.963 -173.9439
600.000000 75.944 -173.2389
608.000000 75.945 -172.6739
615.000000 75.941 -172.2517
622.000000 75.934 -171.6893
630.000000 75.918 -171.2267
640.000000 75.912 -170.5309
650.000000 75.920 -169.7903
660.000000 75.921 -169.1304
670.000000 75.918 -168.4678
680.000000 75.941 -167.7561
690.000000 75.935 -167.0233
700.000000 75.949 -166.3585
710.000000 75.954 -165.7866
720.000000 75.966 -164.9522
730.000000 75.967 -164.3459
740.000000 75.991 -163.6131
750.000000 76.014 -162.8489
762.000000 76.022 -162.1022
775.000000 76.061 -161.2827
788.000000 76.090 -160.3101
800.000000 76.144 -159.4936
812.000000 76.170 -158.7279
825.000000 76.229 -157.8590
838.000000 76.289 -157.0477
850.000000 76.334 -156.2815
862.000000 76.376 -155.5479
875.000000 76.439 -154.7231
885.000000 76.495 -154.0298
900.000000 76.558 -153.1452
912.000000 76.641 -152.4332
925.000000 76.713 -151.7696
938.000000 76.801 -151.0204
950.000000 76.884 -150.3341
962.000000 76.958 -149.7813
975.000000 77.052 -149.0976
988.000000 77.137 -148.3951
1000.000000 77.229 -148.1796
1015.000000 77.337 -147.3256
1030.000000 77.440 -146.7252
1044.000000 77.550 -146.1635
1060.000000 77.680 -145.5570
1075.000000 77.782 -145.0196
1090.000000 77.906 -144.5951
1106.000000 78.020 -144.1714
1120.000000 78.133 -143.7287
1138.000000 78.247 -143.2490
1150.000000 78.337 -143.0867
1172.000000 78.500 -142.6083
1180.000000 78.559 -142.4213
1206.000000 78.734 -141.9174
1220.000000 78.837 -141.6971
1241.000000 78.970 -141.3885
1250.000000 79.027 -141.2530
1265.000000 79.133 -141.0182
1280.000000 79.220 -140.7752
1315.000000 79.440 -140.3741
1320.000000 79.468 -140.2326
1340.000000 79.589 -139.9805
1360.000000 79.704 -139.8114
1380.000000 79.825 -139.5131
1400.000000 79.947 -139.2515
1430.000000 80.132 -138.9933
1450.000000 80.241 -138.7718
1475.000000 80.383 -138.4938
1500.000000 80.546 -138.2558
1525.000000 80.691 -137.9887
1550.000000 80.854 -137.7207
1575.000000 81.007 -137.5141
1600.000000 81.166 -137.1624
1625.000000 81.327 -136.9970
1650.000000 81.498 -136.8399
1675.000000 81.669 -136.5337
1700.000000 81.857 -136.3063
1725.000000 82.065 -136.1319
1750.000000 82.298 -135.9033
1775.000000 82.528 -135.8701
1800.000000 82.791 -136.0791
1825.000000 83.059 -136.4839
1850.000000 83.313 -137.1190
1875.000000 83.552 -137.9658
1900.000000 83.757 -138.9045
1925.000000 83.938 -139.9962
1950.000000 84.102 -140.9967
1975.000000 84.258 -141.9908
2000.000000 84.396 -142.7972
2030.000000 84.552 -144.1190
2060.000000 84.710 -145.2465
2090.000000 84.873 -146.3761
2120.000000 85.007 -147.6199
2140.000000 85.109 -148.4613
2180.000000 85.294 -150.2759
2200.000000 85.388 -151.2060
2240.000000 85.555 -153.1827
2270.000000 85.680 -154.7213
2300.000000 85.797 -156.3017
2330.000000 85.907 -157.9819
2360.000000 86.003 -159.7309
2400.000000 86.125 -162.2529
2430.000000 86.210 -164.2317
2470.000000 86.310 -167.2662
2500.000000 86.378 -169.7351
2540.000000 86.431 -173.4241
2580.000000 86.422 -177.8319
2620.000000 86.268 176.9379
2650.000000 85.984 172.4581
2690.000000 85.153 165.9126
2720.000000 83.733 163.4544
2760.000000 82.347 171.3405
2800.000000 82.299 177.7924
2850.000000 82.562 179.2336
2900.000000 82.768 177.3757
2950.000000 82.715 173.3071
3000.000000 82.177 167.3352
3040.000000 80.921 163.1301
3070.000000 78.787 164.6127
3110.000000 78.236 -169.2546
3150.000000 80.632 -162.2462
3200.000000 81.741 -165.1418
3250.000000 81.951 -167.9204
3300.000000 81.972 -169.4038
3350.000000 81.931 -170.2256
3400.000000 81.903 -170.5319
3450.000000 81.883 -170.9041
3500.000000 81.859 -171.1908
3550.000000 81.813 -171.3597
3600.000000 81.768 -171.6140
3650.000000 81.724 -171.6831
3700.000000 81.687 -171.7148
3750.000000 81.636 -171.6583
3820.000000 81.548 -171.5613
3870.000000 81.529 -171.3320
3950.000000 81.495 -170.9697
4000.000000 81.510 -170.6489
4060.000000 81.443 -170.2803
4120.000000 81.504 -169.8047
4180.000000 81.583 -169.5762
4250.000000 81.692 -169.7338
4310.000000 81.778 -170.2702
4370.000000 81.854 -170.6937
4440.000000 82.002 -171.9479
4500.000000 82.087 -174.0133
4550.000000 82.012 -176.6542
4620.000000 81.368 179.0224
4680.000000 80.109 -177.2424
4750.000000 80.410 -169.7155
4820.000000 80.843 -168.2043
4870.000000 81.067 -168.2247
4940.000000 81.289 -168.3128
5000.000000 81.638 -168.6775
5080.000000 82.018 -171.4771
5150.000000 82.198 -175.0268
5220.000000 82.269 -179.8989
5300.000000 81.974 172.9263
5380.000000 80.918 163.4711
5450.000000 78.484 158.1222
5520.000000 75.703 171.5490
5600.000000 76.867 -169.5936
5700.000000 79.148 -170.8701
5800.000000 78.176 174.1329
