* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 22:48:46 21-09-2023
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Audiosense AQ0 L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 89.948 -173.2473
20.600000 89.912 -173.7518
20.900000 89.872 -174.2141
21.200001 89.834 -174.6849
21.400000 89.810 -175.0061
21.799999 89.767 -175.6625
22.000000 89.747 -175.9935
22.400000 89.709 -176.6484
22.700001 89.683 -177.1234
23.000000 89.657 -177.5789
23.299999 89.632 -178.0166
23.600000 89.607 -178.4409
24.000000 89.575 -178.9940
24.299999 89.551 -179.4044
24.700001 89.519 -179.9467
25.000000 89.494 179.6527
25.400000 89.462 179.1318
25.799999 89.429 178.6297
26.200001 89.397 178.1464
26.500000 89.373 177.7937
26.900000 89.342 177.3326
27.200001 89.318 176.9907
27.600000 89.287 176.5378
28.000000 89.255 176.0876
28.500000 89.216 175.5299
29.000000 89.178 174.9807
29.500000 89.140 174.4423
30.000000 89.102 173.9172
30.400000 89.071 173.5079
30.700001 89.048 173.2074
31.100000 89.017 172.8145
31.500000 88.987 172.4284
32.000000 88.951 171.9512
32.500000 88.916 171.4779
33.000000 88.879 171.0114
33.500000 88.842 170.5573
34.000000 88.804 170.1187
34.500000 88.767 169.6920
35.000000 88.732 169.2700
35.500000 88.696 168.8474
36.000000 88.661 168.4256
36.500000 88.625 168.0107
37.000000 88.589 167.6075
37.500000 88.554 167.2148
38.200001 88.506 166.6727
38.700001 88.472 166.2892
39.500000 88.415 165.6970
40.000000 88.380 165.3447
40.599998 88.339 164.9327
41.200001 88.298 164.5239
41.799999 88.257 164.1184
42.500000 88.210 163.6523
43.099998 88.170 163.2582
43.700001 88.129 162.8736
44.400002 88.082 162.4399
45.000000 88.043 162.0710
45.500000 88.010 161.7610
46.200001 87.963 161.3376
46.799999 87.923 160.9941
47.500000 87.880 160.5965
48.200001 87.833 160.2018
48.700001 87.797 159.9438
49.400002 87.751 159.6154
50.000000 87.716 159.3157
50.799999 87.668 158.8608
51.500000 87.620 158.4733
52.200001 87.573 158.1291
53.000000 87.522 157.7563
53.799999 87.471 157.3842
54.500000 87.427 157.0536
55.200001 87.382 156.7237
56.000000 87.332 156.3725
57.000000 87.272 155.9555
58.000000 87.210 155.5357
59.000000 87.147 155.1352
60.000000 87.086 154.7376
60.799999 87.036 154.4323
61.500000 86.992 154.1778
62.200001 86.949 153.9262
63.000000 86.900 153.6398
64.000000 86.839 153.2977
65.000000 86.780 152.9558
66.000000 86.719 152.6228
67.000000 86.662 152.3236
68.000000 86.606 151.9887
69.000000 86.542 151.6925
70.000000 86.486 151.4370
71.000000 86.429 151.1482
72.000000 86.368 150.8801
73.000000 86.309 150.6060
74.000000 86.252 150.3260
75.000000 86.197 150.0818
76.199997 86.133 149.8076
77.500000 86.056 149.4901
78.800003 85.985 149.1932
80.000000 85.921 148.9220
81.199997 85.857 148.6851
82.500000 85.787 148.4174
83.800003 85.716 148.1783
85.000000 85.652 147.9555
86.199997 85.588 147.7321
87.500000 85.517 147.5078
88.500000 85.465 147.3531
90.000000 85.387 147.1112
91.199997 85.326 146.9399
92.500000 85.257 146.7339
93.800003 85.191 146.5522
95.000000 85.133 146.3674
96.199997 85.070 146.2387
97.500000 85.008 146.0980
98.800003 84.945 145.9266
100.000000 84.884 145.7867
101.500000 84.809 145.6302
103.000000 84.736 145.4752
104.400002 84.672 145.3557
106.000000 84.593 145.2395
107.500000 84.519 145.1021
109.000000 84.449 145.0084
110.599998 84.383 144.9124
112.000000 84.323 144.8555
113.800003 84.244 144.7370
115.000000 84.199 144.6447
117.199997 84.098 144.5163
118.000000 84.061 144.4665
120.599998 83.955 144.3335
122.000000 83.890 144.2506
124.099998 83.810 144.1715
125.000000 83.764 144.1505
126.500000 83.702 144.1154
128.000000 83.637 144.0496
131.500000 83.495 144.0064
132.000000 83.475 143.9910
134.000000 83.394 143.9570
136.000000 83.322 143.9191
138.000000 83.242 143.9293
140.000000 83.159 143.9490
143.000000 83.058 143.9454
145.000000 82.980 143.9806
147.500000 82.891 144.0001
150.000000 82.791 144.0419
152.500000 82.708 144.0664
155.000000 82.625 144.1199
157.500000 82.541 144.1620
160.000000 82.451 144.2332
162.500000 82.371 144.2995
165.000000 82.287 144.3737
167.500000 82.201 144.4923
170.000000 82.125 144.5740
172.500000 82.047 144.6859
175.000000 81.967 144.8057
177.500000 81.897 144.8981
180.000000 81.817 145.0890
182.500000 81.739 145.1380
185.000000 81.668 145.2246
187.500000 81.600 145.4567
190.000000 81.527 145.5443
192.500000 81.455 145.7138
195.000000 81.388 145.8612
197.500000 81.322 145.9851
200.000000 81.255 146.2433
203.000000 81.175 146.3655
206.000000 81.094 146.6230
209.000000 81.016 146.8384
212.000000 80.948 147.0945
214.000000 80.895 147.2372
218.000000 80.805 147.4799
220.000000 80.763 147.6420
224.000000 80.660 148.0038
227.000000 80.593 148.1903
230.000000 80.533 148.4012
233.000000 80.464 148.6227
236.000000 80.398 148.8609
240.000000 80.318 149.1523
243.000000 80.245 149.4221
247.000000 80.167 149.7327
250.000000 80.103 149.9841
254.000000 80.020 150.3528
258.000000 79.940 150.6871
262.000000 79.868 151.0716
265.000000 79.802 151.2882
269.000000 79.728 151.7083
272.000000 79.665 152.0006
276.000000 79.594 152.4195
280.000000 79.514 152.8436
285.000000 79.420 153.4316
290.000000 79.347 154.2092
295.000000 79.310 154.9747
300.000000 79.306 155.4240
304.000000 79.278 155.5594
307.000000 79.249 155.7018
311.000000 79.186 155.8640
315.000000 79.128 156.1204
320.000000 79.049 156.4859
325.000000 78.989 156.9049
330.000000 78.908 157.3164
335.000000 78.834 157.7466
340.000000 78.777 158.2125
345.000000 78.717 158.6107
350.000000 78.654 159.1005
355.000000 78.599 159.6044
360.000000 78.536 159.9509
365.000000 78.473 160.4657
370.000000 78.418 160.9792
375.000000 78.359 161.4639
382.000000 78.295 162.0098
387.000000 78.246 162.5582
395.000000 78.172 163.2447
400.000000 78.143 163.8149
406.000000 78.076 164.3525
412.000000 78.025 164.9461
418.000000 77.988 165.4685
425.000000 77.920 166.1451
431.000000 77.873 166.7165
437.000000 77.834 167.3128
444.000000 77.789 167.9436
450.000000 77.744 168.5033
455.000000 77.717 169.0080
462.000000 77.663 169.5959
468.000000 77.638 170.1969
475.000000 77.584 170.8830
482.000000 77.564 171.5180
487.000000 77.513 171.9804
494.000000 77.484 172.6784
500.000000 77.465 173.1570
508.000000 77.426 174.0001
515.000000 77.390 174.5319
522.000000 77.370 175.3478
530.000000 77.324 176.0487
538.000000 77.296 176.6518
545.000000 77.272 177.3784
552.000000 77.251 178.0214
560.000000 77.224 178.7578
570.000000 77.200 179.6657
580.000000 77.161 -179.3388
590.000000 77.143 -178.4757
600.000000 77.131 -177.6321
608.000000 77.133 -176.8398
615.000000 77.113 -176.1480
622.000000 77.084 -175.6410
630.000000 77.087 -174.8984
640.000000 77.072 -173.9570
650.000000 77.065 -172.9502
660.000000 77.053 -172.0392
670.000000 77.050 -171.1940
680.000000 77.057 -170.1720
690.000000 77.060 -169.4045
700.000000 77.053 -168.4505
710.000000 77.044 -167.2769
720.000000 77.068 -166.3118
730.000000 77.131 -165.4415
740.000000 77.170 -164.5897
750.000000 77.189 -163.8325
762.000000 77.193 -162.9182
775.000000 77.235 -161.7861
788.000000 77.281 -160.6975
800.000000 77.334 -159.7453
812.000000 77.382 -158.6639
825.000000 77.441 -157.6420
838.000000 77.500 -156.8656
850.000000 77.500 -156.1242
862.000000 77.510 -154.8315
875.000000 77.580 -153.4595
885.000000 77.656 -152.6402
900.000000 77.759 -151.3701
912.000000 77.842 -150.4187
925.000000 77.941 -149.4589
938.000000 78.036 -148.5434
950.000000 78.125 -147.6474
962.000000 78.226 -146.8969
975.000000 78.327 -146.0037
988.000000 78.445 -145.1659
1000.000000 78.566 -144.7773
1015.000000 78.675 -143.5266
1030.000000 78.814 -142.6674
1044.000000 78.953 -141.9459
1060.000000 79.088 -141.1962
1075.000000 79.227 -140.4769
1090.000000 79.360 -139.7945
1106.000000 79.522 -139.1791
1120.000000 79.643 -138.6129
1138.000000 79.819 -137.9896
1150.000000 79.922 -137.5457
1172.000000 80.121 -136.7950
1180.000000 80.194 -136.5783
1206.000000 80.436 -135.8289
1220.000000 80.548 -135.5876
1241.000000 80.736 -135.0193
1250.000000 80.812 -134.8549
1265.000000 80.937 -134.4354
1280.000000 81.064 -134.1604
1315.000000 81.367 -133.4561
1320.000000 81.403 -133.3512
1340.000000 81.577 -132.9695
1360.000000 81.743 -132.6335
1380.000000 81.916 -132.2576
1400.000000 82.082 -132.0668
1430.000000 82.357 -131.6765
1450.000000 82.522 -131.4168
1475.000000 82.742 -131.1644
1500.000000 82.963 -131.0439
1525.000000 83.187 -130.8821
1550.000000 83.407 -130.7963
1575.000000 83.647 -130.7800
1600.000000 83.863 -130.8761
1625.000000 84.099 -130.9137
1650.000000 84.342 -131.1614
1675.000000 84.570 -131.3691
1700.000000 84.813 -131.7785
1725.000000 85.042 -132.2610
1750.000000 85.275 -132.7645
1775.000000 85.508 -133.4411
1800.000000 85.738 -134.2561
1825.000000 85.953 -135.1115
1850.000000 86.173 -136.1268
1875.000000 86.377 -137.2677
1900.000000 86.573 -138.5061
1925.000000 86.755 -139.9052
1950.000000 86.918 -141.3477
1975.000000 87.069 -142.9500
2000.000000 87.192 -144.5011
2030.000000 87.318 -146.7230
2060.000000 87.409 -148.9382
2090.000000 87.463 -151.1928
2120.000000 87.478 -153.4620
2140.000000 87.472 -154.9358
2180.000000 87.396 -157.8594
2200.000000 87.328 -159.2591
2240.000000 87.161 -161.8154
2270.000000 87.004 -163.4936
2300.000000 86.824 -164.7929
2330.000000 86.650 -165.8212
2360.000000 86.515 -166.6149
2400.000000 86.359 -167.5963
2430.000000 86.260 -168.5369
2470.000000 86.093 -169.9416
2500.000000 85.935 -170.9496
2540.000000 85.701 -172.0859
2580.000000 85.432 -173.0057
2620.000000 85.154 -173.4925
2650.000000 84.947 -173.7674
2690.000000 84.694 -173.7184
2720.000000 84.518 -173.6109
2760.000000 84.282 -173.1919
2800.000000 84.099 -172.7217
2850.000000 83.912 -172.0554
2900.000000 83.731 -171.6931
2950.000000 83.544 -171.1952
3000.000000 83.377 -170.8250
3040.000000 83.206 -169.9382
3070.000000 83.107 -169.4105
3110.000000 82.988 -168.6057
3150.000000 82.876 -167.7909
3200.000000 82.760 -166.6469
3250.000000 82.656 -165.4673
3300.000000 82.578 -164.2099
3350.000000 82.528 -163.0327
3400.000000 82.478 -161.7073
3450.000000 82.465 -160.5134
3500.000000 82.460 -159.2114
3550.000000 82.468 -158.1022
3600.000000 82.482 -156.9487
3650.000000 82.540 -155.9296
3700.000000 82.572 -154.8963
3750.000000 82.584 -153.9815
3820.000000 82.612 -152.5425
3870.000000 82.639 -151.2505
3950.000000 82.715 -148.7084
4000.000000 82.872 -146.7018
4060.000000 83.052 -145.1004
4120.000000 83.332 -143.4243
4180.000000 83.634 -142.1498
4250.000000 84.006 -140.9721
4310.000000 84.334 -140.3017
4370.000000 84.686 -139.8832
4440.000000 85.106 -139.6784
4500.000000 85.469 -139.8275
4550.000000 85.780 -140.1302
4620.000000 86.221 -140.9105
4680.000000 86.592 -142.0332
4750.000000 87.007 -143.7573
4820.000000 87.395 -146.1351
4870.000000 87.636 -148.1292
4940.000000 87.902 -151.4096
5000.000000 88.073 -154.4697
5080.000000 88.131 -158.8208
5150.000000 88.076 -162.6472
5220.000000 87.911 -166.1826
5300.000000 87.625 -169.7034
5380.000000 87.255 -172.5750
5450.000000 86.893 -174.5171
5520.000000 86.515 -175.9958
5600.000000 86.072 -177.2243
5700.000000 85.503 -177.9980
5800.000000 84.932 -178.2105
5900.000000 84.328 -177.4511
6000.000000 83.776 -175.6783
6080.000000 83.407 -172.4763
