* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 22:44:09 21-09-2023
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Audiosense AQ0 R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 89.542 -170.0154
20.600000 89.514 -170.5163
20.900000 89.483 -170.9738
21.200001 89.453 -171.4395
21.400000 89.435 -171.7574
21.799999 89.402 -172.4070
22.000000 89.387 -172.7345
22.400000 89.360 -173.3817
22.700001 89.340 -173.8507
23.000000 89.321 -174.3009
23.299999 89.301 -174.7342
23.600000 89.282 -175.1545
24.000000 89.257 -175.7016
24.299999 89.238 -176.1053
24.700001 89.212 -176.6356
25.000000 89.194 -177.0260
25.400000 89.170 -177.5347
25.799999 89.146 -178.0294
26.200001 89.124 -178.5109
26.500000 89.106 -178.8642
26.900000 89.081 -179.3258
27.200001 89.061 -179.6660
27.600000 89.033 179.8871
28.000000 89.005 179.4464
28.500000 88.971 178.9029
29.000000 88.938 178.3676
29.500000 88.908 177.8402
30.000000 88.878 177.3211
30.400000 88.854 176.9134
30.700001 88.836 176.6133
31.100000 88.811 176.2220
31.500000 88.787 175.8397
32.000000 88.757 175.3686
32.500000 88.729 174.8978
33.000000 88.699 174.4255
33.500000 88.669 173.9594
34.000000 88.637 173.5092
34.500000 88.605 173.0771
35.000000 88.575 172.6557
35.500000 88.546 172.2362
36.000000 88.516 171.8186
36.500000 88.486 171.4102
37.000000 88.455 171.0141
37.500000 88.426 170.6231
38.200001 88.387 170.0701
38.700001 88.359 169.6782
39.500000 88.313 169.0896
40.000000 88.284 168.7411
40.599998 88.250 168.3210
41.200001 88.213 167.8936
41.799999 88.173 167.4726
42.500000 88.129 166.9986
43.099998 88.095 166.5999
43.700001 88.062 166.2041
44.400002 88.023 165.7488
45.000000 87.987 165.3694
45.500000 87.957 165.0653
46.200001 87.916 164.6525
46.799999 87.883 164.2928
47.500000 87.845 163.8654
48.200001 87.804 163.4648
48.700001 87.776 163.1974
49.400002 87.739 162.8138
50.000000 87.705 162.4689
50.799999 87.653 162.0389
51.500000 87.611 161.6979
52.200001 87.573 161.3418
53.000000 87.526 160.9233
53.799999 87.478 160.5377
54.500000 87.440 160.2019
55.200001 87.403 159.8491
56.000000 87.357 159.4669
57.000000 87.299 159.0427
58.000000 87.243 158.6051
59.000000 87.185 158.1531
60.000000 87.129 157.7326
60.799999 87.084 157.4148
61.500000 87.044 157.1439
62.200001 87.004 156.8702
63.000000 86.959 156.5519
64.000000 86.904 156.1843
65.000000 86.849 155.8373
66.000000 86.790 155.4792
67.000000 86.732 155.1266
68.000000 86.676 154.7766
69.000000 86.617 154.4579
70.000000 86.560 154.1345
71.000000 86.503 153.8172
72.000000 86.449 153.5306
73.000000 86.395 153.2400
74.000000 86.337 152.9561
75.000000 86.279 152.6975
76.199997 86.212 152.3896
77.500000 86.138 152.0489
78.800003 86.064 151.7335
80.000000 85.993 151.4796
81.199997 85.923 151.2399
82.500000 85.849 150.9540
83.800003 85.775 150.7106
85.000000 85.703 150.4982
86.199997 85.629 150.3499
87.500000 85.555 150.1802
88.500000 85.495 150.0716
90.000000 85.416 149.9860
91.199997 85.353 149.9642
92.500000 85.286 149.9762
93.800003 85.227 150.0027
95.000000 85.191 150.0573
96.199997 85.163 150.0804
97.500000 85.143 150.0467
98.800003 85.127 149.9405
100.000000 85.115 149.8250
101.500000 85.088 149.4892
103.000000 85.052 149.1284
104.400002 85.011 148.8208
106.000000 84.958 148.4380
107.500000 84.903 148.0937
109.000000 84.835 147.8064
110.599998 84.764 147.4800
112.000000 84.701 147.2922
113.800003 84.615 146.9891
115.000000 84.564 146.8209
117.199997 84.462 146.5575
118.000000 84.420 146.4519
120.599998 84.303 146.1559
122.000000 84.239 146.0479
124.099998 84.148 145.8480
125.000000 84.105 145.7904
126.500000 84.034 145.6978
128.000000 83.959 145.6114
131.500000 83.805 145.4378
132.000000 83.783 145.4446
134.000000 83.694 145.3812
136.000000 83.606 145.3478
138.000000 83.512 145.3441
140.000000 83.427 145.3595
143.000000 83.299 145.4330
145.000000 83.221 145.4914
147.500000 83.117 145.6381
150.000000 83.029 145.8350
152.500000 82.948 146.1002
155.000000 82.882 146.3732
157.500000 82.832 146.6379
160.000000 82.797 146.7784
162.500000 82.763 146.8637
165.000000 82.725 146.8011
167.500000 82.684 146.7250
170.000000 82.627 146.5608
172.500000 82.572 146.4763
175.000000 82.494 146.3557
177.500000 82.423 146.3284
180.000000 82.354 146.2734
182.500000 82.285 146.2651
185.000000 82.213 146.2890
187.500000 82.144 146.2886
190.000000 82.075 146.3453
192.500000 82.005 146.3501
195.000000 81.944 146.3903
197.500000 81.872 146.3882
200.000000 81.799 146.4741
203.000000 81.718 146.4819
206.000000 81.643 146.5187
209.000000 81.555 146.6324
212.000000 81.478 146.7213
214.000000 81.423 146.7510
218.000000 81.322 146.9422
220.000000 81.267 147.0426
224.000000 81.164 147.2188
227.000000 81.087 147.4330
230.000000 81.009 147.5624
233.000000 80.945 147.6770
236.000000 80.873 147.8748
240.000000 80.776 148.1400
243.000000 80.711 148.2788
247.000000 80.621 148.5493
250.000000 80.550 148.7697
254.000000 80.477 149.0862
258.000000 80.386 149.2178
262.000000 80.301 149.6121
265.000000 80.242 149.7948
269.000000 80.164 150.0771
272.000000 80.110 150.3282
276.000000 80.030 150.6316
280.000000 79.964 150.9558
285.000000 79.866 151.3254
290.000000 79.783 151.6765
295.000000 79.695 152.1008
300.000000 79.609 152.4437
304.000000 79.547 152.8478
307.000000 79.479 153.0654
311.000000 79.436 153.3843
315.000000 79.368 153.7396
320.000000 79.290 154.1150
325.000000 79.226 154.6231
330.000000 79.146 154.9835
335.000000 79.072 155.4028
340.000000 79.003 155.9117
345.000000 78.944 156.2705
350.000000 78.866 156.6981
355.000000 78.806 157.1752
360.000000 78.748 157.6079
365.000000 78.688 157.9932
370.000000 78.629 158.4991
375.000000 78.573 158.9344
382.000000 78.496 159.5602
387.000000 78.442 159.9623
395.000000 78.352 160.6725
400.000000 78.301 161.1468
406.000000 78.251 161.7009
412.000000 78.181 162.1752
418.000000 78.122 162.6806
425.000000 78.069 163.3590
431.000000 78.008 163.9239
437.000000 77.963 164.4572
444.000000 77.911 165.0652
450.000000 77.854 165.6864
455.000000 77.814 166.1371
462.000000 77.771 166.7321
468.000000 77.725 167.2599
475.000000 77.664 167.8951
482.000000 77.632 168.4892
487.000000 77.600 168.9296
494.000000 77.550 169.6427
500.000000 77.524 170.1448
508.000000 77.472 170.8990
515.000000 77.431 171.5179
522.000000 77.389 172.0951
530.000000 77.343 172.9239
538.000000 77.327 173.6278
545.000000 77.289 174.2398
552.000000 77.265 174.7923
560.000000 77.227 175.4947
570.000000 77.185 176.4875
580.000000 77.142 177.3565
590.000000 77.117 178.3016
600.000000 77.089 179.2415
608.000000 77.074 179.9983
615.000000 77.051 -179.4336
622.000000 77.036 -178.7851
630.000000 77.019 -178.0349
640.000000 77.005 -177.2149
650.000000 77.005 -176.3274
660.000000 76.984 -175.3460
670.000000 76.973 -174.5801
680.000000 76.954 -173.5889
690.000000 76.962 -172.8117
700.000000 76.944 -171.9271
710.000000 76.950 -170.9809
720.000000 76.957 -170.1539
730.000000 76.962 -169.3870
740.000000 76.968 -168.4126
750.000000 76.993 -167.6373
762.000000 76.977 -166.7232
775.000000 76.961 -165.7070
788.000000 76.961 -164.3098
800.000000 77.015 -163.0091
812.000000 77.068 -161.8876
825.000000 77.122 -160.7887
838.000000 77.187 -159.5565
850.000000 77.244 -158.6407
862.000000 77.297 -157.6702
875.000000 77.372 -156.6299
885.000000 77.422 -155.8338
900.000000 77.510 -154.7738
912.000000 77.590 -153.7955
925.000000 77.669 -152.8766
938.000000 77.765 -151.9443
950.000000 77.856 -151.2298
962.000000 77.924 -150.3294
975.000000 78.026 -149.6460
988.000000 78.120 -148.8553
1000.000000 78.203 -148.5611
1015.000000 78.284 -147.4682
1030.000000 78.358 -146.3684
1044.000000 78.456 -145.4142
1060.000000 78.612 -144.3220
1075.000000 78.758 -143.4742
1090.000000 78.908 -142.7498
1106.000000 79.077 -141.9367
1120.000000 79.206 -141.4133
1138.000000 79.371 -140.6971
1150.000000 79.492 -140.3731
1172.000000 79.678 -139.6830
1180.000000 79.750 -139.4253
1206.000000 79.983 -138.6973
1220.000000 80.088 -138.3173
1241.000000 80.264 -137.8121
1250.000000 80.349 -137.5603
1265.000000 80.452 -137.2943
1280.000000 80.587 -136.9568
1315.000000 80.881 -136.2843
1320.000000 80.920 -136.1456
1340.000000 81.082 -135.8036
1360.000000 81.228 -135.4427
1380.000000 81.399 -135.1237
1400.000000 81.552 -134.8761
1430.000000 81.786 -134.4586
1450.000000 81.965 -134.2809
1475.000000 82.163 -133.9644
1500.000000 82.368 -133.7705
1525.000000 82.581 -133.6969
1550.000000 82.794 -133.5191
1575.000000 83.002 -133.5191
1600.000000 83.208 -133.5570
1625.000000 83.434 -133.6191
1650.000000 83.659 -133.7595
1675.000000 83.870 -134.0117
1700.000000 84.086 -134.3324
1725.000000 84.306 -134.7359
1750.000000 84.521 -135.2057
1775.000000 84.728 -135.7840
1800.000000 84.941 -136.4450
1825.000000 85.145 -137.2453
1850.000000 85.331 -138.1048
1875.000000 85.517 -139.0584
1900.000000 85.691 -140.1002
1925.000000 85.863 -141.3083
1950.000000 86.007 -142.5620
1975.000000 86.144 -143.8995
2000.000000 86.263 -145.1744
2030.000000 86.388 -147.1459
2060.000000 86.480 -149.0038
2090.000000 86.540 -150.8826
2120.000000 86.566 -152.8465
2140.000000 86.567 -154.0691
2180.000000 86.533 -156.6202
2200.000000 86.504 -157.8177
2240.000000 86.373 -160.1284
2270.000000 86.255 -161.6350
2300.000000 86.106 -163.0560
2330.000000 85.947 -164.0837
2360.000000 85.774 -164.9138
2400.000000 85.564 -165.4266
2430.000000 85.473 -165.5947
2470.000000 85.421 -166.0252
2500.000000 85.403 -166.7852
2540.000000 85.304 -168.0966
2580.000000 85.159 -169.3976
2620.000000 84.969 -170.4535
2650.000000 84.809 -171.0617
2690.000000 84.589 -171.6551
2720.000000 84.408 -172.0368
2760.000000 84.190 -172.2733
2800.000000 83.964 -172.3445
2850.000000 83.702 -172.1611
2900.000000 83.441 -171.7857
2950.000000 83.205 -171.1890
3000.000000 83.039 -170.7353
3040.000000 82.860 -169.9001
3070.000000 82.763 -169.3372
3110.000000 82.618 -168.5828
3150.000000 82.492 -167.8128
3200.000000 82.367 -166.7230
3250.000000 82.262 -165.6192
3300.000000 82.154 -164.3946
3350.000000 82.080 -163.1306
3400.000000 82.021 -161.9079
3450.000000 81.976 -160.5995
3500.000000 81.939 -159.4817
3550.000000 81.926 -158.1281
3600.000000 81.931 -156.8652
3650.000000 81.946 -155.7829
3700.000000 81.965 -154.6165
3750.000000 81.976 -153.5088
3820.000000 82.016 -151.7773
3870.000000 82.036 -150.5679
3950.000000 82.125 -148.4053
4000.000000 82.245 -146.9229
4060.000000 82.289 -145.1142
4120.000000 82.430 -143.0734
4180.000000 82.616 -141.0481
4250.000000 82.957 -138.7367
4310.000000 83.305 -137.0244
4370.000000 83.697 -135.6503
4440.000000 84.182 -134.5499
4500.000000 84.629 -134.1191
4550.000000 85.004 -133.9301
4620.000000 85.530 -134.2469
4680.000000 85.994 -134.8035
4750.000000 86.538 -136.0570
4820.000000 87.065 -138.1511
4870.000000 87.417 -139.9872
4940.000000 87.844 -143.1857
5000.000000 88.161 -146.5259
5080.000000 88.413 -151.7054
5150.000000 88.485 -156.5157
5220.000000 88.383 -161.2661
5300.000000 88.089 -166.1501
5380.000000 87.670 -170.0257
5450.000000 87.239 -172.5268
5520.000000 86.797 -174.3152
5600.000000 86.306 -175.6477
5700.000000 85.710 -176.6575
5800.000000 85.115 -177.0440
5900.000000 84.496 -176.6539
6000.000000 83.787 -175.0414
6080.000000 83.550 -168.4940
