* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 22:27:09 09-04-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Aurum L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 82.717 124.6780
1.015000 82.427 123.9353
1.030000 82.106 123.2176
1.044000 81.778 122.5723
1.060000 81.365 121.8663
1.075000 80.941 121.2372
1.090000 80.477 120.6420
1.106000 79.928 120.0166
1.120000 79.361 119.3143
1.138000 78.515 118.1866
1.150000 77.885 117.3175
1.172000 76.613 115.5365
1.180000 76.119 114.8434
1.206000 74.417 112.4951
1.220000 73.455 111.2090
1.241000 71.974 109.3167
1.250000 71.332 108.5365
1.265000 70.260 107.3007
1.280000 69.195 106.1711
1.315000 66.791 104.1137
1.320000 66.462 103.9018
1.340000 65.202 103.3031
1.360000 64.045 103.1547
1.380000 63.015 103.5264
1.400000 62.136 104.4877
1.430000 61.157 107.1880
1.450000 60.765 109.9288
1.475000 60.609 114.5975
1.500000 60.819 121.1803
1.525000 61.350 129.5334
1.550000 62.158 139.3542
1.575000 63.198 150.3404
1.600000 64.426 162.1892
1.625000 65.796 174.5985
1.650000 67.265 -172.7344
1.675000 68.787 -160.1118
1.700000 70.318 -147.8362
1.725000 71.813 -136.2101
1.750000 73.227 -125.5359
1.775000 74.516 -116.1161
1.800000 75.635 -108.2532
1.825000 76.539 -102.2495
1.850000 77.241 -98.1703
1.875000 77.855 -95.5163
1.900000 78.395 -94.1111
1.925000 78.867 -93.7975
1.950000 79.279 -94.4187
1.975000 79.639 -95.8177
2.000000 79.952 -97.8375
2.030000 80.279 -100.8597
2.060000 80.562 -104.2787
2.090000 80.816 -107.8232
2.120000 81.052 -111.2220
2.140000 81.205 -113.2731
2.180000 81.520 -116.4978
2.200000 81.689 -117.5154
2.240000 82.000 -119.2011
2.270000 82.196 -120.4644
2.300000 82.363 -121.7226
2.330000 82.505 -122.9715
2.360000 82.623 -124.2071
2.400000 82.751 -125.8270
2.430000 82.828 -127.0160
2.470000 82.911 -128.5591
2.500000 82.963 -129.6796
2.540000 83.023 -131.1168
2.580000 83.076 -132.4861
2.620000 83.105 -133.8264
2.650000 83.110 -134.8127
2.690000 83.095 -136.0927
2.720000 83.070 -137.0196
2.760000 83.022 -138.2013
2.800000 82.958 -139.3097
2.850000 82.863 -140.5733
2.900000 82.755 -141.6787
2.950000 82.639 -142.6086
3.000000 82.494 -143.4046
3.040000 82.357 -143.9490
3.070000 82.247 -144.3007
3.110000 82.091 -144.6905
3.150000 81.933 -144.9859
3.200000 81.736 -145.2158
3.250000 81.550 -145.2831
3.300000 81.385 -145.1786
3.350000 81.225 -144.8336
3.400000 81.062 -144.2456
3.450000 80.902 -143.4770
3.500000 80.753 -142.5900
3.550000 80.621 -141.6468
3.600000 80.516 -140.7095
3.650000 80.443 -139.8406
3.700000 80.409 -139.0172
3.750000 80.410 -138.0977
3.820000 80.457 -136.7457
3.870000 80.516 -135.8132
3.950000 80.633 -134.5408
4.000000 80.712 -133.9739
4.060000 80.808 -133.5984
4.120000 80.930 -133.4707
4.180000 81.069 -133.5514
4.250000 81.239 -133.8768
4.310000 81.376 -134.3261
4.370000 81.492 -134.9072
4.440000 81.593 -135.7625
4.500000 81.667 -136.7198
4.550000 81.720 -137.6433
4.620000 81.775 -139.0662
4.680000 81.804 -140.3490
4.750000 81.811 -141.8447
4.820000 81.786 -143.3561
4.870000 81.750 -144.5073
4.940000 81.678 -146.1694
5.000000 81.598 -147.5944
5.080000 81.471 -149.4169
5.150000 81.343 -150.8761
5.220000 81.189 -152.2839
5.300000 80.984 -153.8295
5.380000 80.766 -155.2516
5.450000 80.575 -156.3488
5.520000 80.392 -157.2697
5.600000 80.172 -158.1119
5.700000 79.893 -158.9118
5.800000 79.642 -159.5066
5.900000 79.452 -159.9473
6.000000 79.309 -160.0959
6.080000 79.225 -160.1088
6.150000 79.175 -160.1451
6.220000 79.151 -160.2886
6.300000 79.160 -160.5666
6.400000 79.225 -160.9794
6.500000 79.324 -161.5515
6.600000 79.427 -162.3762
6.700000 79.545 -163.5075
6.800000 79.680 -164.8762
6.900000 79.809 -166.3887
7.000000 79.913 -167.9760
7.100000 80.002 -169.7332
7.200000 80.077 -171.5740
7.300000 80.132 -173.3640
7.400000 80.164 -175.0498
7.500000 80.173 -176.7148
7.620000 80.165 -178.5714
7.750000 80.146 179.7363
7.880000 80.105 178.3395
8.000000 80.068 177.2908
8.120000 80.051 176.4876
8.250000 80.045 175.9300
8.380000 80.059 175.5440
8.500000 80.103 175.2429
8.620000 80.173 175.0598
8.750000 80.267 174.8633
8.850000 80.345 174.6335
9.000000 80.483 174.2244
9.120000 80.591 173.8371
9.250000 80.694 173.3322
9.380000 80.788 172.7451
9.500000 80.860 172.1996
9.620000 80.911 171.6755
9.750000 80.948 171.1095
9.880000 80.969 170.6119
10.000000 80.975 170.2423
10.150000 80.966 169.8727
10.300000 80.951 169.6078
10.440000 80.933 169.4731
10.600000 80.910 169.3851
10.750000 80.892 169.3284
10.900000 80.875 169.2992
11.060000 80.854 169.2252
11.200000 80.834 169.1293
11.380000 80.800 168.9621
11.500000 80.770 168.8154
11.720000 80.700 168.5054
11.800000 80.670 168.3884
12.060000 80.556 167.9836
12.200000 80.490 167.7608
12.410000 80.386 167.4074
12.500000 80.342 167.2346
12.650000 80.268 166.9259
12.800000 80.193 166.5715
13.150000 80.014 165.5159
13.200000 79.987 165.3440
13.400000 79.876 164.5938
13.600000 79.760 163.8007
13.800000 79.639 162.9820
14.000000 79.523 162.1715
14.300000 79.366 160.9747
14.500000 79.284 160.1735
14.750000 79.205 159.1114
15.000000 79.152 157.9594
15.250000 79.114 156.6996
15.500000 79.082 155.4017
15.750000 79.050 154.1185
16.000000 79.018 152.9492
16.250000 78.994 151.9393
16.500000 78.982 151.0904
16.750000 78.988 150.3799
17.000000 79.009 149.7389
17.250000 79.038 149.1441
17.500000 79.066 148.5697
17.750000 79.083 148.0457
18.000000 79.088 147.5964
18.250000 79.081 147.2499
18.500000 79.065 147.0100
18.750000 79.044 146.8491
19.000000 79.019 146.7412
19.250000 78.989 146.6374
19.500000 78.949 146.5270
19.750000 78.898 146.4017
20.000000 78.835 146.2715
20.299999 78.745 146.1127
20.600000 78.647 145.9387
20.900000 78.542 145.7205
21.200001 78.434 145.4200
21.400000 78.358 145.1660
21.799999 78.199 144.5514
22.000000 78.117 144.2051
22.400000 77.957 143.4632
22.700001 77.850 142.8565
23.000000 77.756 142.1794
23.299999 77.675 141.4183
23.600000 77.600 140.5928
24.000000 77.508 139.4632
24.299999 77.445 138.6623
24.700001 77.375 137.7091
25.000000 77.335 137.0807
25.400000 77.298 136.3367
25.799999 77.268 135.6983
26.200001 77.239 135.1954
26.500000 77.216 134.9161
26.900000 77.187 134.6494
27.200001 77.165 134.4921
27.600000 77.127 134.2980
28.000000 77.072 134.1095
28.500000 76.978 133.8954
29.000000 76.861 133.6918
29.500000 76.727 133.4552
30.000000 76.582 133.1655
30.400000 76.465 132.8878
30.700001 76.380 132.6373
31.100000 76.274 132.2233
31.500000 76.172 131.7228
32.000000 76.051 131.0404
32.500000 75.947 130.3636
33.000000 75.868 129.6765
33.500000 75.803 128.9499
34.000000 75.738 128.2631
34.500000 75.672 127.7354
35.000000 75.616 127.3670
35.500000 75.570 127.0576
36.000000 75.517 126.7609
36.500000 75.450 126.5107
37.000000 75.374 126.3151
37.500000 75.290 126.1299
38.200001 75.159 125.8519
38.700001 75.063 125.6384
39.500000 74.915 125.1447
40.000000 74.817 124.7441
40.599998 74.696 124.3042
41.200001 74.595 123.9358
41.799999 74.520 123.5179
42.500000 74.439 122.9274
43.099998 74.362 122.4266
43.700001 74.275 122.0037
44.400002 74.170 121.6752
45.000000 74.091 121.4881
45.500000 74.031 121.2892
46.200001 73.934 120.9479
46.799999 73.841 120.7319
47.500000 73.753 120.4896
48.200001 73.661 120.0751
48.700001 73.575 119.8094
49.400002 73.457 119.7344
50.000000 73.403 119.7756
50.799999 73.372 119.4662
51.500000 73.313 118.8658
52.200001 73.205 118.2596
53.000000 73.044 117.7585
53.799999 72.875 117.5658
54.500000 72.760 117.6078
55.200001 72.692 117.5956
56.000000 72.637 117.3282
57.000000 72.554 116.7934
58.000000 72.439 116.3713
59.000000 72.318 116.2393
60.000000 72.200 116.2525
60.799999 72.110 116.3446
61.500000 72.038 116.3785
62.200001 71.958 116.3843
63.000000 71.881 116.5057
64.000000 71.855 116.5394
65.000000 71.853 116.1077
66.000000 71.828 115.5773
67.000000 71.805 115.0646
68.000000 71.756 114.4878
69.000000 71.680 114.0304
70.000000 71.589 113.5586
71.000000 71.476 113.1456
72.000000 71.367 112.8055
73.000000 71.278 112.4679
74.000000 71.193 112.0133
75.000000 71.098 111.6994
76.199997 71.012 111.3377
77.500000 70.895 111.0349
78.800003 70.821 110.7937
80.000000 70.743 110.2583
81.199997 70.638 109.9740
82.500000 70.588 109.5895
83.800003 70.467 109.2581
85.000000 70.430 109.2001
86.199997 70.346 108.7087
87.500000 70.246 108.5759
88.500000 70.186 108.4051
90.000000 70.107 108.0738
91.199997 70.036 107.7578
92.500000 69.941 107.3652
93.800003 69.855 107.2135
95.000000 69.788 106.9224
96.199997 69.728 106.7458
97.500000 69.672 106.4636
98.800003 69.619 106.3295
100.000000 69.584 105.9757
101.500000 69.459 105.5915
103.000000 69.379 105.4662
104.400002 69.297 105.1009
106.000000 69.232 104.9507
107.500000 69.179 104.5743
109.000000 69.123 104.2768
110.599998 69.045 103.9686
112.000000 68.981 103.6490
113.800003 68.929 103.3953
115.000000 68.876 103.1363
117.199997 68.808 102.6214
118.000000 68.758 102.5279
120.599998 68.655 102.0734
122.000000 68.602 101.7504
124.099998 68.550 101.4950
125.000000 68.525 101.2777
126.500000 68.477 101.0594
128.000000 68.407 100.6943
131.500000 68.301 100.2378
132.000000 68.287 100.0625
134.000000 68.205 99.9430
136.000000 68.170 99.3532
138.000000 68.094 99.0646
140.000000 68.100 98.7227
143.000000 68.026 98.3177
145.000000 67.956 98.0997
147.500000 67.883 97.4603
150.000000 67.810 96.9962
152.500000 67.800 96.7649
155.000000 67.772 96.4802
157.500000 67.729 96.1655
160.000000 67.671 95.6871
162.500000 67.690 95.0999
165.000000 67.624 94.9560
167.500000 67.624 94.3136
170.000000 67.609 93.7976
172.500000 67.568 93.4149
175.000000 67.543 92.5386
177.500000 67.505 92.2561
180.000000 67.481 91.6988
182.500000 67.451 91.2357
185.000000 67.414 90.5079
187.500000 67.381 89.6208
190.000000 67.359 89.2900
192.500000 67.305 88.4844
195.000000 67.293 88.5417
197.500000 67.272 88.0543
200.000000 67.333 87.4249
203.000000 67.237 87.0100
206.000000 67.184 86.5137
209.000000 67.185 85.8091
212.000000 67.137 85.3708
214.000000 67.143 85.0555
218.000000 67.119 84.3003
220.000000 67.093 83.9539
224.000000 67.031 83.1700
227.000000 67.026 82.8015
230.000000 67.039 82.0719
233.000000 67.013 81.6579
236.000000 67.017 81.0284
240.000000 67.002 80.4572
243.000000 66.977 79.8283
247.000000 66.986 79.3442
250.000000 66.904 78.6891
254.000000 66.895 77.8803
258.000000 66.938 77.2628
262.000000 66.885 76.3804
265.000000 66.885 76.0238
269.000000 66.907 75.5199
272.000000 66.893 74.7558
276.000000 66.898 74.2635
280.000000 66.871 73.7267
285.000000 66.893 72.8171
290.000000 66.861 72.1141
295.000000 66.872 71.3562
300.000000 66.864 70.7104
304.000000 66.824 69.6689
307.000000 66.846 69.3312
311.000000 66.837 68.7671
315.000000 66.881 68.1602
320.000000 66.861 67.4634
325.000000 66.864 66.5727
330.000000 66.855 66.1306
335.000000 66.871 65.2364
340.000000 66.879 64.5723
345.000000 66.845 64.0286
350.000000 66.887 63.0092
355.000000 66.888 62.4660
360.000000 66.893 61.6974
365.000000 66.911 61.1137
370.000000 66.877 60.4313
