* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 22:33:27 09-04-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Aurum R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 81.853 124.5550
1.015000 81.555 124.2173
1.030000 81.232 124.0470
1.044000 80.906 124.0524
1.060000 80.503 124.2692
1.075000 80.094 124.6922
1.090000 79.653 125.3433
1.106000 79.138 126.3053
1.120000 78.609 127.3721
1.138000 77.823 129.0327
1.150000 77.240 130.3088
1.172000 76.066 132.9714
1.180000 75.611 134.0359
1.206000 74.048 137.8148
1.220000 73.167 140.0321
1.241000 71.813 143.5652
1.250000 71.227 145.1469
1.265000 70.250 147.8611
1.280000 69.281 150.6605
1.315000 67.104 157.4403
1.320000 66.807 158.4293
1.340000 65.673 162.4142
1.360000 64.636 166.4197
1.380000 63.721 170.4110
1.400000 62.948 174.3532
1.430000 62.107 -179.9016
1.450000 61.791 -176.2342
1.475000 61.710 -171.8348
1.500000 61.980 -167.1785
1.525000 62.560 -162.2177
1.550000 63.408 -157.0329
1.575000 64.478 -151.7045
1.600000 65.727 -146.3132
1.625000 67.112 -140.9393
1.650000 68.589 -135.6635
1.675000 70.113 -130.5662
1.700000 71.642 -125.7280
1.725000 73.131 -121.2294
1.750000 74.536 -117.1509
1.775000 75.814 -113.5731
1.800000 76.921 -110.5763
1.825000 77.813 -108.2412
1.850000 78.500 -106.6296
1.875000 79.092 -105.6974
1.900000 79.602 -105.3688
1.925000 80.039 -105.5686
1.950000 80.411 -106.2216
1.975000 80.726 -107.2525
2.000000 80.993 -108.5861
2.030000 81.263 -110.4800
2.060000 81.489 -112.5714
2.090000 81.687 -114.7302
2.120000 81.872 -116.8265
2.140000 81.994 -118.1251
2.180000 82.257 -120.3113
2.200000 82.406 -121.1242
2.240000 82.686 -122.6076
2.270000 82.864 -123.7419
2.300000 83.017 -124.8880
2.330000 83.147 -126.0397
2.360000 83.257 -127.1908
2.400000 83.377 -128.7139
2.430000 83.451 -129.8395
2.470000 83.530 -131.3060
2.500000 83.579 -132.3723
2.540000 83.635 -133.7372
2.580000 83.684 -135.0310
2.620000 83.710 -136.3015
2.650000 83.714 -137.2407
2.690000 83.699 -138.4651
2.720000 83.675 -139.3555
2.760000 83.629 -140.4957
2.800000 83.569 -141.5708
2.850000 83.479 -142.8039
2.900000 83.377 -143.8915
2.950000 83.268 -144.8159
3.000000 83.130 -145.6191
3.040000 83.002 -146.1783
3.070000 82.898 -146.5463
3.110000 82.752 -146.9650
3.150000 82.602 -147.2973
3.200000 82.415 -147.5846
3.250000 82.238 -147.7218
3.300000 82.079 -147.7000
3.350000 81.924 -147.4603
3.400000 81.764 -147.0020
3.450000 81.607 -146.3787
3.500000 81.458 -145.6440
3.550000 81.326 -144.8516
3.600000 81.217 -144.0551
3.650000 81.138 -143.3081
3.700000 81.095 -142.5878
3.750000 81.081 -141.7670
3.820000 81.104 -140.5415
3.870000 81.143 -139.6874
3.950000 81.229 -138.5118
4.000000 81.290 -137.9832
4.060000 81.368 -137.6258
4.120000 81.473 -137.4829
4.180000 81.596 -137.5224
4.250000 81.748 -137.7777
4.310000 81.872 -138.1576
4.370000 81.978 -138.6694
4.440000 82.071 -139.4478
4.500000 82.142 -140.3301
4.550000 82.193 -141.1863
4.620000 82.249 -142.5120
4.680000 82.280 -143.7127
4.750000 82.291 -145.1190
4.820000 82.272 -146.5482
4.870000 82.242 -147.6414
4.940000 82.180 -149.2249
5.000000 82.110 -150.5865
5.080000 81.997 -152.3325
5.150000 81.882 -153.7345
5.220000 81.742 -155.0916
5.300000 81.557 -156.5873
5.380000 81.358 -157.9700
5.450000 81.183 -159.0427
5.520000 81.016 -159.9502
5.600000 80.814 -160.7935
5.700000 80.557 -161.6126
5.800000 80.326 -162.2359
5.900000 80.150 -162.7061
6.000000 80.015 -162.8992
6.080000 79.935 -162.9495
6.150000 79.887 -163.0103
6.220000 79.863 -163.1630
6.300000 79.870 -163.4317
6.400000 79.928 -163.8138
6.500000 80.017 -164.3337
6.600000 80.113 -165.0851
6.700000 80.223 -166.1152
6.800000 80.351 -167.3596
6.900000 80.473 -168.7382
7.000000 80.573 -170.1926
7.100000 80.659 -171.8088
7.200000 80.732 -173.5057
7.300000 80.787 -175.1589
7.400000 80.819 -176.7197
7.500000 80.829 -178.2651
7.620000 80.824 -179.9924
7.750000 80.809 178.4297
7.880000 80.772 177.1219
8.000000 80.739 176.1357
8.120000 80.723 175.3758
8.250000 80.716 174.8399
8.380000 80.728 174.4628
8.500000 80.767 174.1668
8.620000 80.830 173.9805
8.750000 80.914 173.7814
8.850000 80.985 173.5567
9.000000 81.109 173.1618
9.120000 81.208 172.7909
9.250000 81.301 172.3098
9.380000 81.386 171.7527
9.500000 81.450 171.2352
9.620000 81.496 170.7372
9.750000 81.527 170.1990
9.880000 81.545 169.7245
10.000000 81.549 169.3701
10.150000 81.538 169.0130
10.300000 81.522 168.7529
10.440000 81.503 168.6148
10.600000 81.479 168.5174
10.750000 81.461 168.4487
10.900000 81.444 168.4045
11.060000 81.422 168.3156
11.200000 81.403 168.2072
11.380000 81.369 168.0254
11.500000 81.339 167.8704
11.720000 81.272 167.5470
11.800000 81.242 167.4255
12.060000 81.133 167.0077
12.200000 81.070 166.7792
12.410000 80.970 166.4195
12.500000 80.928 166.2456
12.650000 80.858 165.9373
12.800000 80.788 165.5861
13.150000 80.620 164.5512
13.200000 80.595 164.3833
13.400000 80.491 163.6519
13.600000 80.383 162.8795
13.800000 80.270 162.0822
14.000000 80.161 161.2939
14.300000 80.014 160.1332
14.500000 79.935 159.3612
14.750000 79.860 158.3448
15.000000 79.809 157.2503
15.250000 79.771 156.0581
15.500000 79.739 154.8311
15.750000 79.707 153.6180
16.000000 79.674 152.5112
16.250000 79.648 151.5554
16.500000 79.633 150.7529
16.750000 79.636 150.0837
17.000000 79.652 149.4804
17.250000 79.678 148.9184
17.500000 79.704 148.3690
17.750000 79.720 147.8560
18.000000 79.724 147.4023
18.250000 79.716 147.0350
18.500000 79.698 146.7644
18.750000 79.673 146.5702
19.000000 79.644 146.4332
19.250000 79.609 146.3112
19.500000 79.567 146.1907
19.750000 79.515 146.0613
20.000000 79.452 145.9247
20.299999 79.366 145.7496
20.600000 79.271 145.5499
20.900000 79.169 145.3024
21.200001 79.061 144.9811
21.400000 78.986 144.7230
21.799999 78.828 144.1219
22.000000 78.748 143.7899
22.400000 78.594 143.0785
22.700001 78.491 142.4898
23.000000 78.399 141.8286
23.299999 78.317 141.0919
23.600000 78.241 140.3086
24.000000 78.146 139.2677
24.299999 78.084 138.5476
24.700001 78.022 137.6928
25.000000 77.992 137.1086
25.400000 77.968 136.3670
25.799999 77.947 135.6739
26.200001 77.919 135.0886
26.500000 77.894 134.7500
26.900000 77.857 134.4256
27.200001 77.829 134.2462
27.600000 77.785 134.0489
28.000000 77.729 133.8780
28.500000 77.642 133.6955
29.000000 77.539 133.5055
29.500000 77.422 133.2424
30.000000 77.291 132.8934
30.400000 77.181 132.5688
30.700001 77.100 132.2947
31.100000 76.998 131.8652
31.500000 76.900 131.3551
32.000000 76.781 130.6526
32.500000 76.672 129.9635
33.000000 76.583 129.3107
33.500000 76.514 128.6617
34.000000 76.452 128.0379
34.500000 76.392 127.5119
35.000000 76.338 127.0998
35.500000 76.289 126.7479
36.000000 76.234 126.4259
36.500000 76.168 126.1526
37.000000 76.095 125.9270
37.500000 76.015 125.7088
38.200001 75.891 125.3777
38.700001 75.797 125.1305
39.500000 75.650 124.6610
40.000000 75.559 124.3078
40.599998 75.455 123.8677
41.200001 75.362 123.4091
41.799999 75.277 122.9074
42.500000 75.173 122.3486
43.099998 75.089 121.9661
43.700001 75.012 121.6333
44.400002 74.926 121.2533
45.000000 74.850 120.9295
45.500000 74.781 120.6680
46.200001 74.681 120.3546
46.799999 74.602 120.1322
47.500000 74.522 119.8101
48.200001 74.436 119.4313
48.700001 74.374 119.2068
49.400002 74.302 118.9147
50.000000 74.244 118.5659
50.799999 74.135 118.0723
51.500000 74.024 117.8140
52.200001 73.921 117.6495
53.000000 73.810 117.4217
53.799999 73.698 117.1660
54.500000 73.609 116.8970
55.200001 73.522 116.5295
56.000000 73.414 116.0926
57.000000 73.287 115.6680
58.000000 73.159 115.2888
59.000000 73.021 115.2710
60.000000 72.929 115.4154
60.799999 72.853 115.4002
61.500000 72.773 115.4317
62.200001 72.705 115.5461
63.000000 72.654 115.6175
64.000000 72.614 115.5334
65.000000 72.610 115.3375
66.000000 72.626 114.8400
67.000000 72.620 114.2054
68.000000 72.588 113.5458
69.000000 72.521 112.9636
70.000000 72.440 112.4376
71.000000 72.339 111.8952
72.000000 72.224 111.4375
73.000000 72.126 111.1087
74.000000 72.055 110.6905
75.000000 71.975 110.2370
76.199997 71.888 109.8140
77.500000 71.783 109.3287
78.800003 71.684 109.1078
80.000000 71.604 108.6392
81.199997 71.480 108.3924
82.500000 71.399 108.2014
83.800003 71.317 107.8645
85.000000 71.233 107.4517
86.199997 71.143 107.1622
87.500000 71.062 106.7321
88.500000 70.983 106.5307
90.000000 70.910 106.2468
91.199997 70.840 106.0219
92.500000 70.772 105.5622
93.800003 70.647 105.3945
95.000000 70.625 105.1786
96.199997 70.548 104.6556
97.500000 70.490 104.4241
98.800003 70.443 104.2554
100.000000 70.426 103.7772
101.500000 70.273 103.5679
103.000000 70.244 103.3690
104.400002 70.137 103.0815
106.000000 70.102 102.7682
107.500000 70.042 102.5595
109.000000 70.009 102.1066
110.599998 69.946 101.8114
112.000000 69.881 101.4878
113.800003 69.835 101.1341
115.000000 69.808 100.7339
117.199997 69.699 100.0445
118.000000 69.675 99.9078
120.599998 69.580 99.2566
122.000000 69.566 98.9064
124.099998 69.479 98.5675
125.000000 69.465 98.2936
126.500000 69.407 97.8841
128.000000 69.353 97.3400
131.500000 69.239 96.5094
132.000000 69.241 96.3864
134.000000 69.144 95.8366
136.000000 69.114 95.6644
138.000000 69.028 95.1299
140.000000 68.998 94.8029
143.000000 68.875 94.2037
145.000000 68.825 93.5729
147.500000 68.743 93.2312
150.000000 68.640 93.1451
152.500000 68.670 92.6688
155.000000 68.695 92.0790
157.500000 68.686 91.4370
160.000000 68.660 90.7622
162.500000 68.604 90.1740
165.000000 68.550 89.3879
167.500000 68.539 88.7100
170.000000 68.471 88.0835
172.500000 68.449 87.4441
175.000000 68.388 86.9713
177.500000 68.369 86.4642
180.000000 68.316 85.5627
182.500000 68.257 85.1768
185.000000 68.236 84.4055
187.500000 68.228 83.9876
190.000000 68.204 83.4430
192.500000 68.159 82.8101
195.000000 68.137 82.2991
197.500000 68.115 81.6944
200.000000 68.118 81.0877
203.000000 68.071 80.4322
206.000000 68.037 79.9282
209.000000 68.007 79.4238
212.000000 67.948 78.7279
214.000000 67.919 78.2775
218.000000 67.953 77.1375
220.000000 67.920 77.0225
224.000000 67.889 75.7954
227.000000 67.863 75.3108
230.000000 67.855 74.7025
233.000000 67.814 73.9534
236.000000 67.839 73.1869
240.000000 67.785 72.4947
243.000000 67.773 71.7521
247.000000 67.747 71.0000
250.000000 67.763 70.6601
254.000000 67.751 69.5228
258.000000 67.704 68.8586
262.000000 67.674 67.7843
265.000000 67.660 67.1544
269.000000 67.678 66.3548
272.000000 67.662 65.7652
276.000000 67.632 65.1946
280.000000 67.622 64.2175
285.000000 67.588 63.2168
290.000000 67.610 62.1960
295.000000 67.564 61.2199
300.000000 67.612 60.2105
304.000000 67.578 59.2790
307.000000 67.557 58.7026
311.000000 67.591 58.1886
315.000000 67.531 57.3066
320.000000 67.536 56.3348
325.000000 67.533 55.4419
330.000000 67.533 54.8127
335.000000 67.530 53.6354
340.000000 67.552 52.6783
345.000000 67.523 51.8788
350.000000 67.505 50.8640
355.000000 67.546 50.1053
360.000000 67.531 49.2899
365.000000 67.554 48.4803
