* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 23:36:01 18-05-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: BQEYZ Cloud L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 84.665 120.8620
1.015000 84.490 119.9617
1.030000 84.309 119.0588
1.044000 84.133 118.2136
1.060000 83.925 117.2444
1.075000 83.722 116.3324
1.090000 83.511 115.4170
1.106000 83.279 114.4621
1.120000 83.083 113.7821
1.138000 82.843 113.1289
1.150000 82.688 112.8111
1.172000 82.410 112.4222
1.180000 82.310 112.3298
1.206000 81.983 112.1453
1.220000 81.804 112.0844
1.241000 81.524 111.9850
1.250000 81.400 111.9240
1.265000 81.185 111.7766
1.280000 80.957 111.5491
1.315000 80.367 110.5591
1.320000 80.275 110.3508
1.340000 79.884 109.3114
1.360000 79.451 107.8951
1.380000 78.974 106.0394
1.400000 78.445 103.6816
1.430000 77.546 99.0667
1.450000 76.868 95.1800
1.475000 75.909 89.2681
1.500000 74.695 81.8945
1.525000 73.241 73.1823
1.550000 71.597 63.3432
1.575000 69.813 52.5890
1.600000 67.941 41.1314
1.625000 66.031 29.1823
1.650000 64.134 16.9533
1.675000 62.301 4.6561
1.700000 60.581 -7.4974
1.725000 59.026 -19.2956
1.750000 57.686 -30.5266
1.775000 56.612 -40.9787
1.800000 55.854 -50.4403
1.825000 55.464 -58.6995
1.850000 55.487 -65.7901
1.875000 55.910 -72.2196
1.900000 56.681 -78.0607
1.925000 57.747 -83.3637
1.950000 59.055 -88.1788
1.975000 60.552 -92.5561
2.000000 62.186 -96.5459
2.030000 64.253 -100.8928
2.060000 66.349 -104.8406
2.090000 68.384 -108.4762
2.120000 70.266 -111.8863
2.140000 71.391 -114.0773
2.180000 73.208 -118.3769
2.200000 73.847 -120.5347
2.240000 74.792 -124.3979
2.270000 75.311 -126.7983
2.300000 75.689 -128.8362
2.330000 75.947 -130.5689
2.360000 76.104 -132.0536
2.400000 76.192 -133.7464
2.430000 76.192 -134.8752
2.470000 76.143 -136.3010
2.500000 76.094 -137.3854
2.540000 76.052 -138.9598
2.580000 76.067 -140.7808
2.620000 76.058 -142.7054
2.650000 76.020 -144.1619
2.690000 75.927 -146.0826
2.720000 75.827 -147.4809
2.760000 75.653 -149.2505
2.800000 75.431 -150.8677
2.850000 75.090 -152.6017
2.900000 74.677 -153.9287
2.950000 74.180 -154.8360
3.000000 73.519 -155.8843
3.040000 72.892 -156.7427
3.070000 72.383 -157.2897
3.110000 71.679 -157.7579
3.150000 70.972 -157.7764
3.200000 70.132 -156.9159
3.250000 69.395 -154.7730
3.300000 68.820 -151.0217
3.350000 68.339 -144.8614
3.400000 67.894 -136.4502
3.450000 67.513 -126.6246
3.500000 67.221 -116.2212
3.550000 67.043 -106.0764
3.600000 67.006 -97.0269
3.650000 67.136 -89.9091
3.700000 67.490 -85.0473
3.750000 68.114 -81.5169
3.820000 69.291 -78.3323
3.870000 70.236 -77.0220
3.950000 71.704 -76.0028
4.000000 72.463 -75.7048
4.060000 73.118 -75.5171
4.120000 73.629 -76.1766
4.180000 74.038 -77.5565
4.250000 74.408 -79.7170
4.310000 74.649 -81.7321
4.370000 74.836 -83.6128
4.440000 74.992 -85.5032
4.500000 75.049 -87.2469
4.550000 75.046 -88.7507
4.620000 74.974 -90.8220
4.680000 74.859 -92.4628
4.750000 74.676 -94.0861
4.820000 74.428 -95.4509
4.870000 74.197 -96.3916
4.940000 73.818 -97.5357
5.000000 73.460 -98.2396
5.080000 72.965 -98.5865
5.150000 72.538 -98.1573
5.220000 72.046 -97.0150
5.300000 71.439 -95.0155
5.380000 70.868 -92.4840
5.450000 70.466 -90.0033
5.520000 70.212 -87.3548
5.600000 70.074 -83.5364
5.700000 70.065 -78.1877
5.800000 70.183 -73.3998
5.900000 70.383 -70.3326
6.000000 70.749 -68.6483
6.080000 71.105 -68.0334
6.150000 71.403 -67.9441
6.220000 71.640 -68.2033
6.300000 71.837 -69.0406
6.400000 72.034 -70.9728
6.500000 72.161 -73.4728
6.600000 72.201 -76.0959
6.700000 72.143 -78.9448
6.800000 72.000 -82.0894
6.900000 71.792 -85.2408
7.000000 71.532 -88.1652
7.100000 71.193 -91.0624
7.200000 70.804 -93.8203
7.300000 70.408 -96.2268
7.400000 70.014 -98.1481
7.500000 69.588 -99.6894
7.620000 69.121 -101.1004
7.750000 68.771 -102.0888
7.880000 68.548 -102.3158
8.000000 68.466 -102.4110
8.120000 68.535 -102.9066
8.250000 68.794 -103.6365
8.380000 69.147 -104.7516
8.500000 69.495 -106.3652
8.620000 69.900 -108.5042
8.750000 70.341 -111.0908
8.850000 70.642 -113.1257
9.000000 71.063 -116.4513
9.120000 71.364 -119.0390
9.250000 71.639 -121.5447
9.380000 71.867 -123.8664
9.500000 72.053 -125.7033
9.620000 72.220 -127.1485
9.750000 72.373 -128.3409
9.880000 72.529 -129.2040
10.000000 72.684 -129.6796
10.150000 72.884 -129.8892
10.300000 73.107 -129.9599
10.440000 73.340 -129.8696
10.600000 73.617 -129.7202
10.750000 73.875 -129.6853
10.900000 74.131 -129.6912
11.060000 74.375 -129.7475
11.200000 74.566 -129.8521
11.380000 74.779 -129.9476
11.500000 74.897 -129.9672
11.720000 75.079 -129.9096
11.800000 75.137 -129.8408
12.060000 75.301 -129.4966
12.200000 75.383 -129.2901
12.410000 75.496 -128.9718
12.500000 75.538 -128.8733
12.650000 75.605 -128.7502
12.800000 75.658 -128.6785
13.150000 75.719 -128.7304
13.200000 75.721 -128.7457
13.400000 75.709 -128.8261
13.600000 75.681 -128.9014
13.800000 75.639 -128.9457
14.000000 75.601 -129.0285
14.300000 75.553 -129.2814
14.500000 75.530 -129.6474
14.750000 75.500 -130.3616
15.000000 75.461 -131.3605
15.250000 75.404 -132.5484
15.500000 75.339 -133.7982
15.750000 75.275 -135.0451
16.000000 75.233 -136.2261
16.250000 75.230 -137.4055
16.500000 75.266 -138.6254
16.750000 75.339 -139.9612
17.000000 75.430 -141.4013
17.250000 75.529 -142.8927
17.500000 75.624 -144.3560
17.750000 75.714 -145.6654
18.000000 75.804 -146.7858
18.250000 75.900 -147.6808
18.500000 76.008 -148.3930
18.750000 76.124 -148.9682
19.000000 76.248 -149.4489
19.250000 76.369 -149.8727
19.500000 76.482 -150.2376
19.750000 76.584 -150.5443
20.000000 76.674 -150.7883
20.299999 76.767 -151.0202
20.600000 76.843 -151.2151
20.900000 76.900 -151.4048
21.200001 76.936 -151.6052
21.400000 76.947 -151.7395
21.799999 76.946 -152.0074
22.000000 76.938 -152.1499
22.400000 76.912 -152.4974
22.700001 76.888 -152.8618
23.000000 76.857 -153.3402
23.299999 76.817 -153.9111
23.600000 76.773 -154.5406
24.000000 76.718 -155.4319
24.299999 76.688 -156.1417
24.700001 76.668 -157.1772
25.000000 76.666 -158.0253
25.400000 76.670 -159.1973
25.799999 76.682 -160.3012
26.200001 76.711 -161.2604
26.500000 76.749 -161.8975
26.900000 76.817 -162.6886
27.200001 76.872 -163.2582
27.600000 76.939 -163.9631
28.000000 76.993 -164.5456
28.500000 77.047 -165.0727
29.000000 77.093 -165.4671
29.500000 77.122 -165.8259
30.000000 77.128 -166.1700
30.400000 77.121 -166.4474
30.700001 77.111 -166.6802
31.100000 77.091 -167.0535
31.500000 77.061 -167.4984
32.000000 77.013 -168.1128
32.500000 76.966 -168.7642
33.000000 76.930 -169.4800
33.500000 76.904 -170.2684
34.000000 76.886 -171.0735
34.500000 76.881 -171.8475
35.000000 76.888 -172.5961
35.500000 76.900 -173.3166
36.000000 76.910 -173.9601
36.500000 76.918 -174.4931
37.000000 76.927 -174.9419
37.500000 76.933 -175.3481
38.200001 76.930 -175.8712
38.700001 76.919 -176.2311
39.500000 76.884 -176.8385
40.000000 76.854 -177.2274
40.599998 76.816 -177.7076
41.200001 76.779 -178.2382
41.799999 76.740 -178.7867
42.500000 76.702 -179.3843
43.099998 76.681 -179.9019
43.700001 76.662 179.5695
44.400002 76.641 179.0085
45.000000 76.629 178.5326
45.500000 76.612 178.1042
46.200001 76.570 177.5754
46.799999 76.539 177.2387
47.500000 76.519 176.7441
48.200001 76.472 176.1020
48.700001 76.416 175.7624
49.400002 76.360 175.5614
50.000000 76.354 175.3560
50.799999 76.346 174.7744
51.500000 76.304 174.3185
52.200001 76.273 174.0583
53.000000 76.260 173.6305
53.799999 76.211 173.1054
54.500000 76.158 172.8286
55.200001 76.128 172.5546
56.000000 76.092 172.0854
57.000000 76.035 171.5330
58.000000 75.990 170.9711
59.000000 75.938 170.4890
60.000000 75.905 170.0864
60.799999 75.868 169.7251
61.500000 75.829 169.5222
62.200001 75.811 169.3234
63.000000 75.784 168.8055
64.000000 75.670 168.2351
65.000000 75.592 168.1290
66.000000 75.546 167.7200
67.000000 75.476 167.4017
68.000000 75.426 167.0897
69.000000 75.356 166.7877
70.000000 75.288 166.5739
71.000000 75.211 166.4041
72.000000 75.155 166.2422
73.000000 75.073 165.9235
74.000000 74.984 166.0720
75.000000 74.994 166.2372
76.199997 74.990 165.7742
77.500000 74.902 165.6996
78.800003 74.928 165.8619
80.000000 74.902 165.1933
81.199997 74.840 165.1747
82.500000 74.824 164.6348
83.800003 74.751 164.5544
85.000000 74.759 164.1211
86.199997 74.668 163.6717
87.500000 74.595 163.5125
88.500000 74.542 163.4334
90.000000 74.491 163.1022
91.199997 74.411 162.9700
92.500000 74.363 162.9562
93.800003 74.328 162.9438
95.000000 74.301 162.6871
96.199997 74.253 162.5680
97.500000 74.225 162.1617
98.800003 74.134 161.9918
100.000000 74.106 161.9583
101.500000 74.052 161.7364
103.000000 73.991 161.5570
104.400002 73.930 161.4006
106.000000 73.869 161.2481
107.500000 73.803 161.0462
109.000000 73.735 160.9070
110.599998 73.660 160.8480
112.000000 73.601 160.7361
113.800003 73.521 160.6175
115.000000 73.471 160.6144
117.199997 73.396 160.4930
118.000000 73.357 160.4561
120.599998 73.241 160.4508
122.000000 73.199 160.4329
124.099998 73.132 160.4149
125.000000 73.104 160.4221
126.500000 73.074 160.3858
128.000000 72.999 160.3018
131.500000 72.889 160.3419
132.000000 72.876 160.3408
134.000000 72.800 160.3091
136.000000 72.743 160.3422
138.000000 72.669 160.3926
140.000000 72.604 160.4878
143.000000 72.516 160.4239
145.000000 72.452 160.4600
147.500000 72.383 160.6288
150.000000 72.317 160.6804
152.500000 72.229 160.7526
155.000000 72.164 160.9908
157.500000 72.118 161.0686
160.000000 72.043 161.0975
162.500000 71.986 161.2979
165.000000 71.916 161.4138
167.500000 71.843 161.6057
170.000000 71.789 161.6145
172.500000 71.737 161.8096
175.000000 71.687 161.8924
177.500000 71.621 162.0605
180.000000 71.571 162.0941
182.500000 71.538 162.3240
185.000000 71.472 162.5886
187.500000 71.420 162.6404
190.000000 71.358 162.8682
192.500000 71.316 162.9549
195.000000 71.284 163.1663
197.500000 71.203 163.2178
200.000000 71.134 163.5405
203.000000 71.118 163.6230
206.000000 71.065 163.7839
209.000000 71.007 164.0319
212.000000 70.938 164.3645
214.000000 70.918 164.3912
218.000000 70.848 164.8190
220.000000 70.826 164.9930
224.000000 70.752 165.2270
227.000000 70.701 165.4184
230.000000 70.671 165.8365
233.000000 70.639 166.0003
236.000000 70.597 166.1137
240.000000 70.540 166.4119
243.000000 70.488 166.7255
247.000000 70.435 166.9352
250.000000 70.425 167.2540
254.000000 70.330 167.4039
258.000000 70.316 167.8777
262.000000 70.263 168.2218
265.000000 70.217 168.3819
269.000000 70.169 168.8052
272.000000 70.145 168.9342
276.000000 70.108 169.2749
280.000000 70.062 169.3958
285.000000 70.005 170.0154
290.000000 69.975 170.4892
295.000000 69.913 170.7890
300.000000 69.884 171.1514
304.000000 69.864 171.7585
307.000000 69.821 171.8372
311.000000 69.803 172.4247
315.000000 69.764 172.5856
320.000000 69.720 173.0823
325.000000 69.707 173.4379
