* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 23:43:12 18-05-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: BQEYZ Cloud R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 84.614 120.8956
1.015000 84.439 119.9938
1.030000 84.257 119.0890
1.044000 84.081 118.2417
1.060000 83.872 117.2697
1.075000 83.669 116.3547
1.090000 83.457 115.4357
1.106000 83.225 114.4762
1.120000 83.027 113.7894
1.138000 82.783 113.1238
1.150000 82.625 112.7957
1.172000 82.339 112.3844
1.180000 82.236 112.2830
1.206000 81.899 112.0668
1.220000 81.714 111.9878
1.241000 81.426 111.8610
1.250000 81.298 111.7883
1.265000 81.076 111.6219
1.280000 80.843 111.3764
1.315000 80.243 110.3498
1.320000 80.150 110.1372
1.340000 79.756 109.0833
1.360000 79.323 107.6577
1.380000 78.848 105.7988
1.400000 78.325 103.4448
1.430000 77.442 98.8510
1.450000 76.780 94.9900
1.475000 75.847 89.1255
1.500000 74.673 81.8222
1.525000 73.269 73.2012
1.550000 71.686 63.4705
1.575000 69.970 52.8384
1.600000 68.171 41.5130
1.625000 66.336 29.7023
1.650000 64.515 17.6146
1.675000 62.755 5.4578
1.700000 61.105 -6.5599
1.725000 59.613 -18.2302
1.750000 58.328 -29.3452
1.775000 57.298 -39.6968
1.800000 56.572 -49.0767
1.825000 56.198 -57.2770
1.850000 56.220 -64.3327
1.875000 56.626 -70.7470
1.900000 57.366 -76.5901
1.925000 58.389 -81.9097
1.950000 59.645 -86.7535
1.975000 61.083 -91.1692
2.000000 62.653 -95.2048
2.030000 64.638 -99.6127
2.060000 66.652 -103.6244
2.090000 68.608 -107.3223
2.120000 70.417 -110.7891
2.140000 71.499 -113.0126
2.180000 73.247 -117.3591
2.200000 73.863 -119.5286
2.240000 74.776 -123.4048
2.270000 75.280 -125.8102
2.300000 75.650 -127.8492
2.330000 75.905 -129.5793
2.360000 76.064 -131.0579
2.400000 76.158 -132.7373
2.430000 76.165 -133.8521
2.470000 76.126 -135.2549
2.500000 76.084 -136.3185
2.540000 76.048 -137.8613
2.580000 76.063 -139.6466
2.620000 76.052 -141.5358
2.650000 76.011 -142.9650
2.690000 75.916 -144.8466
2.720000 75.814 -146.2120
2.760000 75.638 -147.9310
2.800000 75.417 -149.4876
2.850000 75.077 -151.1280
2.900000 74.670 -152.3368
2.950000 74.184 -153.0888
3.000000 73.534 -153.8880
3.040000 72.917 -154.4963
3.070000 72.417 -154.8414
3.110000 71.726 -155.0400
3.150000 71.036 -154.8099
3.200000 70.222 -153.7037
3.250000 69.518 -151.4300
3.300000 68.983 -147.7083
3.350000 68.560 -141.7772
3.400000 68.191 -133.7627
3.450000 67.895 -124.4449
3.500000 67.687 -114.6042
3.550000 67.587 -105.0210
3.600000 67.611 -96.4753
3.650000 67.776 -89.7476
3.700000 68.134 -85.1425
3.750000 68.734 -81.8014
3.820000 69.844 -78.7940
3.870000 70.730 -77.5621
3.950000 72.103 -76.6147
4.000000 72.818 -76.3447
4.060000 73.441 -76.1818
4.120000 73.934 -76.8217
4.180000 74.333 -78.1454
4.250000 74.698 -80.2140
4.310000 74.938 -82.1452
4.370000 75.126 -83.9535
4.440000 75.284 -85.7826
4.500000 75.344 -87.4746
4.550000 75.345 -88.9360
4.620000 75.283 -90.9523
4.680000 75.179 -92.5526
4.750000 75.011 -94.1403
4.820000 74.782 -95.4738
4.870000 74.567 -96.3879
4.940000 74.214 -97.5017
5.000000 73.880 -98.1983
5.080000 73.418 -98.5822
5.150000 73.021 -98.2474
5.220000 72.567 -97.2592
5.300000 72.007 -95.4913
5.380000 71.479 -93.2314
5.450000 71.105 -91.0051
5.520000 70.863 -88.6193
5.600000 70.720 -85.1670
5.700000 70.689 -80.3161
5.800000 70.776 -75.9560
5.900000 70.949 -73.1312
6.000000 71.283 -71.5124
6.080000 71.612 -70.8724
6.150000 71.891 -70.7348
6.220000 72.116 -70.9460
6.300000 72.309 -71.7233
6.400000 72.512 -73.5420
6.500000 72.652 -75.9116
6.600000 72.712 -78.4156
6.700000 72.680 -81.1556
6.800000 72.571 -84.1930
6.900000 72.402 -87.2470
7.000000 72.185 -90.0891
7.100000 71.895 -92.9096
7.200000 71.559 -95.6063
7.300000 71.217 -97.9810
7.400000 70.876 -99.9117
7.500000 70.508 -101.4978
7.620000 70.102 -102.9925
7.750000 69.798 -104.0983
7.880000 69.602 -104.5026
8.000000 69.529 -104.7334
8.120000 69.590 -105.2577
8.250000 69.819 -105.9255
8.380000 70.133 -106.9013
8.500000 70.449 -108.3151
8.620000 70.822 -110.1741
8.750000 71.229 -112.4336
8.850000 71.510 -114.2354
9.000000 71.907 -117.2055
9.120000 72.194 -119.5344
9.250000 72.458 -121.8104
9.380000 72.680 -123.9419
9.500000 72.862 -125.6465
9.620000 73.027 -127.0092
9.750000 73.180 -128.1631
9.880000 73.334 -129.0272
10.000000 73.485 -129.5411
10.150000 73.677 -129.8435
10.300000 73.887 -130.0125
10.440000 74.104 -130.0226
10.600000 74.359 -129.9805
10.750000 74.596 -130.0176
10.900000 74.831 -130.0777
11.060000 75.057 -130.1775
11.200000 75.234 -130.3052
11.380000 75.433 -130.4320
11.500000 75.545 -130.4768
11.720000 75.719 -130.4779
11.800000 75.775 -130.4384
12.060000 75.933 -130.2092
12.200000 76.011 -130.0714
12.410000 76.116 -129.8607
12.500000 76.155 -129.8028
12.650000 76.214 -129.7423
12.800000 76.261 -129.7236
13.150000 76.311 -129.8510
13.200000 76.312 -129.8739
13.400000 76.299 -129.9749
13.600000 76.272 -130.0689
13.800000 76.237 -130.1348
14.000000 76.205 -130.2469
14.300000 76.170 -130.5587
14.500000 76.156 -130.9695
14.750000 76.136 -131.7366
15.000000 76.106 -132.7812
15.250000 76.057 -134.0037
15.500000 75.997 -135.2788
15.750000 75.937 -136.5414
16.000000 75.896 -137.7269
16.250000 75.890 -138.8905
16.500000 75.919 -140.0688
16.750000 75.984 -141.3297
17.000000 76.066 -142.6659
17.250000 76.159 -144.0342
17.500000 76.252 -145.3686
17.750000 76.344 -146.5688
18.000000 76.439 -147.6118
18.250000 76.540 -148.4746
18.500000 76.651 -149.1995
18.750000 76.768 -149.8198
19.000000 76.886 -150.3657
19.250000 76.997 -150.8501
19.500000 77.097 -151.2614
19.750000 77.185 -151.5935
20.000000 77.264 -151.8442
20.299999 77.346 -152.0745
20.600000 77.415 -152.2719
20.900000 77.468 -152.4794
21.200001 77.500 -152.7114
21.400000 77.508 -152.8659
21.799999 77.499 -153.1548
22.000000 77.487 -153.2931
22.400000 77.461 -153.6067
22.700001 77.442 -153.9454
23.000000 77.419 -154.4218
23.299999 77.388 -155.0206
23.600000 77.348 -155.6951
24.000000 77.289 -156.6336
24.299999 77.252 -157.3370
24.700001 77.226 -158.2975
25.000000 77.225 -159.0654
25.400000 77.240 -160.1567
25.799999 77.266 -161.2599
26.200001 77.301 -162.2903
26.500000 77.335 -162.9902
26.900000 77.389 -163.8289
27.200001 77.434 -164.3934
27.600000 77.492 -165.0570
28.000000 77.547 -165.6094
28.500000 77.608 -166.1685
29.000000 77.654 -166.6519
29.500000 77.676 -167.0887
30.000000 77.675 -167.4608
30.400000 77.665 -167.7346
30.700001 77.655 -167.9606
31.100000 77.636 -168.3283
31.500000 77.608 -168.7704
32.000000 77.561 -169.3757
32.500000 77.515 -170.0048
33.000000 77.481 -170.6934
33.500000 77.456 -171.4673
34.000000 77.435 -172.2772
34.500000 77.420 -173.0567
35.000000 77.412 -173.7813
35.500000 77.410 -174.4354
36.000000 77.413 -174.9946
36.500000 77.422 -175.4689
37.000000 77.434 -175.9101
37.500000 77.441 -176.3405
38.200001 77.433 -176.8728
38.700001 77.424 -177.2100
39.500000 77.403 -177.8259
40.000000 77.378 -178.2548
40.599998 77.339 -178.7478
41.200001 77.306 -179.2329
41.799999 77.279 -179.7617
42.500000 77.247 179.5870
43.099998 77.220 179.0474
43.700001 77.195 178.5353
44.400002 77.169 177.9640
45.000000 77.146 177.4952
45.500000 77.126 177.1294
46.200001 77.101 176.6373
46.799999 77.081 176.1703
47.500000 77.046 175.5873
48.200001 77.005 175.0916
48.700001 76.987 174.7549
49.400002 76.964 174.1654
50.000000 76.921 173.6520
50.799999 76.854 173.2684
51.500000 76.830 173.0598
52.200001 76.813 172.6940
53.000000 76.763 172.2380
53.799999 76.701 171.9155
54.500000 76.653 171.6263
55.200001 76.603 171.2948
56.000000 76.547 170.8760
57.000000 76.471 170.3285
58.000000 76.411 169.9811
59.000000 76.382 169.6497
60.000000 76.368 169.4412
60.799999 76.361 169.1085
61.500000 76.294 168.9280
62.200001 76.248 169.3502
63.000000 76.335 169.5728
64.000000 76.356 168.3544
65.000000 76.206 167.8839
66.000000 76.179 167.6658
67.000000 76.119 166.9716
68.000000 76.062 166.5887
69.000000 76.020 166.0808
70.000000 75.965 165.7003
71.000000 75.922 165.3452
72.000000 75.874 164.9969
73.000000 75.823 164.5966
74.000000 75.744 164.2489
75.000000 75.681 164.1291
76.199997 75.624 163.8458
77.500000 75.570 163.6565
78.800003 75.524 163.1737
80.000000 75.452 162.9419
81.199997 75.432 162.6640
82.500000 75.358 162.0768
83.800003 75.276 161.9833
85.000000 75.232 161.6994
86.199997 75.157 161.4025
87.500000 75.076 161.1471
88.500000 75.018 160.9365
90.000000 74.919 160.6884
91.199997 74.860 160.5969
92.500000 74.784 160.5164
93.800003 74.727 160.6313
95.000000 74.690 160.5789
96.199997 74.651 160.5841
97.500000 74.640 160.2454
98.800003 74.562 159.8850
100.000000 74.500 159.7626
101.500000 74.443 159.7025
103.000000 74.367 159.4852
104.400002 74.314 159.3273
106.000000 74.204 159.2231
107.500000 74.153 159.1386
109.000000 74.104 159.0755
110.599998 74.017 158.8738
112.000000 73.973 158.8979
113.800003 73.896 158.8273
115.000000 73.843 158.7856
117.199997 73.763 158.7561
118.000000 73.721 158.8139
120.599998 73.625 158.7661
122.000000 73.598 158.7493
124.099998 73.502 158.7980
125.000000 73.494 158.8177
126.500000 73.443 158.7132
128.000000 73.413 158.7454
131.500000 73.302 158.5264
132.000000 73.279 158.4746
134.000000 73.212 158.3987
136.000000 73.146 158.3640
138.000000 73.070 158.3331
140.000000 73.009 158.4128
143.000000 72.904 158.4362
145.000000 72.838 158.5792
147.500000 72.759 158.5322
150.000000 72.679 158.8092
152.500000 72.616 158.6712
155.000000 72.532 158.6527
157.500000 72.468 158.7996
160.000000 72.410 158.8268
162.500000 72.327 159.0254
165.000000 72.261 158.9821
167.500000 72.205 159.3627
170.000000 72.125 159.3223
172.500000 72.056 159.5793
175.000000 72.006 159.6604
177.500000 71.938 159.7751
180.000000 71.877 159.8109
182.500000 71.825 160.0141
185.000000 71.782 160.2422
187.500000 71.714 160.3065
190.000000 71.652 160.4298
192.500000 71.606 160.6082
195.000000 71.551 160.8098
197.500000 71.490 161.0045
200.000000 71.395 161.1946
203.000000 71.349 161.2564
206.000000 71.306 161.4459
209.000000 71.247 161.7883
212.000000 71.180 162.0029
214.000000 71.174 162.1993
218.000000 71.083 162.7604
220.000000 71.072 162.6913
224.000000 71.011 163.1600
227.000000 70.968 163.3853
230.000000 70.934 163.5317
233.000000 70.883 163.5552
236.000000 70.831 163.8118
240.000000 70.776 164.0114
243.000000 70.740 164.1802
247.000000 70.655 164.6370
250.000000 70.592 164.7600
254.000000 70.557 165.2900
258.000000 70.503 165.4239
262.000000 70.453 165.7929
265.000000 70.399 166.1105
269.000000 70.380 166.5309
272.000000 70.329 166.7906
276.000000 70.290 167.0649
280.000000 70.261 167.2813
285.000000 70.197 167.8491
290.000000 70.155 168.0823
295.000000 70.110 168.4198
300.000000 70.085 168.7500
304.000000 70.004 169.2959
307.000000 69.988 169.4257
311.000000 69.930 169.6024
315.000000 69.916 169.9578
320.000000 69.870 170.3835
325.000000 69.846 170.7656
