* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 23:51:35 18-05-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: BQEYZ Cloud deep L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 84.815 121.0988
1.015000 84.640 120.2048
1.030000 84.459 119.3087
1.044000 84.284 118.4702
1.060000 84.076 117.5092
1.075000 83.873 116.6054
1.090000 83.662 115.6987
1.106000 83.431 114.7544
1.120000 83.237 114.0883
1.138000 82.999 113.4597
1.150000 82.847 113.1618
1.172000 82.576 112.8152
1.180000 82.479 112.7398
1.206000 82.162 112.6143
1.220000 81.988 112.5868
1.241000 81.718 112.5378
1.250000 81.597 112.4981
1.265000 81.387 112.3853
1.280000 81.164 112.1907
1.315000 80.584 111.2660
1.320000 80.492 111.0654
1.340000 80.103 110.0516
1.360000 79.670 108.6512
1.380000 79.190 106.8000
1.400000 78.655 104.4337
1.430000 77.740 99.7778
1.450000 77.046 95.8425
1.475000 76.060 89.8409
1.500000 74.807 82.3309
1.525000 73.301 73.4392
1.550000 71.597 63.3855
1.575000 69.746 52.3894
1.600000 67.801 40.6708
1.625000 65.817 28.4494
1.650000 63.844 15.9447
1.675000 61.937 3.3766
1.700000 60.148 -9.0353
1.725000 58.529 -21.0711
1.750000 57.135 -32.5113
1.775000 56.018 -43.1360
1.800000 55.230 -52.7256
1.825000 54.825 -61.0604
1.850000 54.850 -68.1692
1.875000 55.292 -74.5664
1.900000 56.095 -80.3314
1.925000 57.205 -85.5209
1.950000 58.567 -90.1917
1.975000 60.126 -94.4004
2.000000 61.827 -98.2039
2.030000 63.977 -102.3128
2.060000 66.159 -106.0178
2.090000 68.276 -109.4169
2.120000 70.233 -112.6080
2.140000 71.402 -114.6684
2.180000 73.290 -118.7587
2.200000 73.952 -120.8441
2.240000 74.930 -124.6031
2.270000 75.463 -126.9482
2.300000 75.850 -128.9473
2.330000 76.110 -130.6550
2.360000 76.265 -132.1257
2.400000 76.344 -133.8124
2.430000 76.336 -134.9424
2.470000 76.275 -136.3724
2.500000 76.220 -137.4582
2.540000 76.172 -139.0272
2.580000 76.186 -140.8301
2.620000 76.178 -142.7361
2.650000 76.140 -144.1802
2.690000 76.048 -146.0860
2.720000 75.948 -147.4742
2.760000 75.774 -149.2314
2.800000 75.553 -150.8369
2.850000 75.212 -152.5565
2.900000 74.799 -153.8688
2.950000 74.303 -154.7601
3.000000 73.643 -155.7918
3.040000 73.015 -156.6367
3.070000 72.507 -157.1737
3.110000 71.802 -157.6288
3.150000 71.096 -157.6348
3.200000 70.256 -156.7597
3.250000 69.520 -154.6038
3.300000 68.945 -150.8413
3.350000 68.465 -144.6726
3.400000 68.022 -136.2551
3.450000 67.643 -126.4249
3.500000 67.352 -116.0178
3.550000 67.175 -105.8695
3.600000 67.139 -96.8159
3.650000 67.270 -89.6929
3.700000 67.623 -84.8245
3.750000 68.247 -81.2871
3.820000 69.423 -78.0924
3.870000 70.368 -76.7743
3.950000 71.833 -75.7416
4.000000 72.592 -75.4344
4.060000 73.245 -75.2350
4.120000 73.756 -75.8817
4.180000 74.165 -77.2483
4.250000 74.534 -79.3922
4.310000 74.774 -81.3923
4.370000 74.961 -83.2575
4.440000 75.116 -85.1293
4.500000 75.172 -86.8570
4.550000 75.168 -88.3470
4.620000 75.096 -90.3981
4.680000 74.980 -92.0202
4.750000 74.796 -93.6194
4.820000 74.547 -94.9577
4.870000 74.315 -95.8784
4.940000 73.935 -96.9927
5.000000 73.577 -97.6695
5.080000 73.082 -97.9777
5.150000 72.655 -97.5115
5.220000 72.165 -96.3256
5.300000 71.560 -94.2713
5.380000 70.991 -91.6864
5.450000 70.592 -89.1653
5.520000 70.342 -86.4868
5.600000 70.210 -82.6445
5.700000 70.210 -77.2764
5.800000 70.335 -72.4764
5.900000 70.540 -69.4006
6.000000 70.909 -67.7167
6.080000 71.265 -67.1054
6.150000 71.562 -67.0176
6.220000 71.799 -67.2740
6.300000 71.996 -68.1017
6.400000 72.191 -70.0168
6.500000 72.315 -72.4954
6.600000 72.353 -75.0944
6.700000 72.291 -77.9161
6.800000 72.145 -81.0300
6.900000 71.934 -84.1493
7.000000 71.670 -87.0419
7.100000 71.326 -89.9059
7.200000 70.932 -92.6303
7.300000 70.532 -95.0046
7.400000 70.132 -96.8958
7.500000 69.701 -98.4080
7.620000 69.227 -99.7868
7.750000 68.870 -100.7454
7.880000 68.640 -100.9474
8.000000 68.551 -101.0237
8.120000 68.614 -101.5048
8.250000 68.867 -102.2239
8.380000 69.216 -103.3322
8.500000 69.560 -104.9424
8.620000 69.965 -107.0812
8.750000 70.405 -109.6700
8.850000 70.707 -111.7074
9.000000 71.132 -115.0388
9.120000 71.437 -117.6338
9.250000 71.718 -120.1502
9.380000 71.953 -122.4854
9.500000 72.146 -124.3391
9.620000 72.319 -125.8071
9.750000 72.481 -127.0297
9.880000 72.644 -127.9266
10.000000 72.805 -128.4375
10.150000 73.011 -128.6949
10.300000 73.238 -128.8061
10.440000 73.474 -128.7474
10.600000 73.752 -128.6237
10.750000 74.011 -128.5967
10.900000 74.269 -128.5986
11.060000 74.516 -128.6437
11.200000 74.711 -128.7308
11.380000 74.930 -128.8064
11.500000 75.053 -128.8166
11.720000 75.245 -128.7521
11.800000 75.308 -128.6870
12.060000 75.483 -128.3706
12.200000 75.568 -128.1851
12.410000 75.683 -127.9018
12.500000 75.726 -127.8128
12.650000 75.791 -127.7012
12.800000 75.842 -127.6300
13.150000 75.897 -127.6259
13.200000 75.899 -127.6285
13.400000 75.886 -127.6433
13.600000 75.860 -127.6480
13.800000 75.825 -127.6216
14.000000 75.795 -127.6495
14.300000 75.762 -127.8561
14.500000 75.748 -128.2194
14.750000 75.726 -128.9490
15.000000 75.692 -129.9774
15.250000 75.634 -131.1929
15.500000 75.565 -132.4628
15.750000 75.494 -133.7188
16.000000 75.446 -134.8967
16.250000 75.434 -136.0606
16.500000 75.462 -137.2524
16.750000 75.528 -138.5466
17.000000 75.614 -139.9335
17.250000 75.711 -141.3650
17.500000 75.809 -142.7679
17.750000 75.907 -144.0325
18.000000 76.007 -145.1318
18.250000 76.116 -146.0392
18.500000 76.234 -146.7965
18.750000 76.359 -147.4381
19.000000 76.485 -147.9953
19.250000 76.605 -148.4826
19.500000 76.714 -148.8893
19.750000 76.812 -149.2100
20.000000 76.898 -149.4431
20.299999 76.989 -149.6439
20.600000 77.067 -149.8017
20.900000 77.127 -149.9587
21.200001 77.166 -150.1300
21.400000 77.178 -150.2411
21.799999 77.180 -150.4467
22.000000 77.174 -150.5504
22.400000 77.157 -150.8174
22.700001 77.142 -151.1377
23.000000 77.119 -151.5982
23.299999 77.085 -152.1710
23.600000 77.042 -152.8049
24.000000 76.983 -153.6749
24.299999 76.950 -154.3376
24.700001 76.934 -155.2906
25.000000 76.941 -156.0992
25.400000 76.961 -157.2940
25.799999 76.984 -158.5121
26.200001 77.009 -159.6173
26.500000 77.035 -160.3312
26.900000 77.084 -161.1391
27.200001 77.131 -161.6639
27.600000 77.200 -162.2837
28.000000 77.269 -162.8247
28.500000 77.345 -163.4062
29.000000 77.401 -163.9091
29.500000 77.431 -164.3349
30.000000 77.438 -164.6814
30.400000 77.435 -164.9428
30.700001 77.429 -165.1653
31.100000 77.413 -165.5245
31.500000 77.386 -165.9424
32.000000 77.342 -166.4964
32.500000 77.303 -167.0784
33.000000 77.277 -167.7486
33.500000 77.258 -168.5230
34.000000 77.241 -169.3271
34.500000 77.232 -170.0878
35.000000 77.235 -170.7985
35.500000 77.245 -171.4652
36.000000 77.259 -172.0677
36.500000 77.274 -172.6002
37.000000 77.288 -173.0883
37.500000 77.294 -173.5400
38.200001 77.287 -174.0766
38.700001 77.278 -174.4184
39.500000 77.256 -175.0256
40.000000 77.231 -175.4295
40.599998 77.200 -175.9089
41.200001 77.173 -176.4277
41.799999 77.146 -176.9905
42.500000 77.115 -177.6185
43.099998 77.097 -178.1325
43.700001 77.083 -178.6671
44.400002 77.060 -179.2617
45.000000 77.038 -179.6855
45.500000 77.024 179.9932
46.200001 77.008 179.5005
46.799999 76.984 179.0299
47.500000 76.941 178.5519
48.200001 76.911 178.1638
48.700001 76.902 177.8145
49.400002 76.875 177.1712
50.000000 76.825 176.7082
50.799999 76.776 176.3996
51.500000 76.772 176.0884
52.200001 76.757 175.6086
53.000000 76.710 175.1590
53.799999 76.673 174.8475
54.500000 76.649 174.4924
55.200001 76.612 174.0606
56.000000 76.557 173.6199
57.000000 76.504 173.1432
58.000000 76.466 172.6078
59.000000 76.426 172.0755
60.000000 76.381 171.6324
60.799999 76.346 171.3188
61.500000 76.304 171.0430
62.200001 76.254 170.8848
63.000000 76.224 170.7564
64.000000 76.192 170.2308
65.000000 76.113 169.7418
66.000000 76.064 169.3651
67.000000 76.006 168.8765
68.000000 75.954 168.6478
69.000000 75.929 168.2852
70.000000 75.869 167.9263
71.000000 75.814 167.6676
72.000000 75.740 167.3642
73.000000 75.676 167.2414
74.000000 75.634 166.9403
75.000000 75.567 166.6036
76.199997 75.484 166.3602
77.500000 75.402 166.2792
78.800003 75.339 166.3089
80.000000 75.309 166.3635
81.199997 75.300 166.1744
82.500000 75.251 165.8201
83.800003 75.200 165.7034
85.000000 75.181 165.4831
86.199997 75.130 165.1501
87.500000 75.084 164.9390
88.500000 75.046 164.6583
90.000000 74.990 164.3826
91.199997 74.942 164.0957
92.500000 74.887 163.9402
93.800003 74.834 163.7722
95.000000 74.782 163.6482
96.199997 74.731 163.4489
97.500000 74.666 163.3239
98.800003 74.636 163.0717
100.000000 74.561 162.8132
101.500000 74.514 162.7460
103.000000 74.446 162.4933
104.400002 74.381 162.3410
106.000000 74.324 162.2733
107.500000 74.256 162.0306
109.000000 74.193 161.9579
110.599998 74.111 161.9147
112.000000 74.065 161.8170
113.800003 73.963 161.6860
115.000000 73.921 161.7714
117.199997 73.813 161.5422
118.000000 73.778 161.6573
120.599998 73.661 161.6281
122.000000 73.603 161.6395
124.099998 73.496 161.7813
125.000000 73.461 161.9331
126.500000 73.415 162.0788
128.000000 73.360 162.1783
131.500000 73.261 162.6396
132.000000 73.248 162.7462
134.000000 73.218 162.9957
136.000000 73.212 163.1464
138.000000 73.185 163.2406
140.000000 73.152 163.1710
143.000000 73.075 162.9416
145.000000 73.023 162.9319
147.500000 72.961 163.0792
150.000000 72.901 163.3719
152.500000 72.824 163.5382
155.000000 72.802 163.7078
157.500000 72.769 163.6932
160.000000 72.751 163.7502
162.500000 72.699 163.7759
165.000000 72.647 163.7425
167.500000 72.593 163.7090
170.000000 72.552 163.7377
172.500000 72.481 163.6453
175.000000 72.417 163.7293
177.500000 72.386 163.9103
180.000000 72.352 164.0544
182.500000 72.286 164.2269
185.000000 72.247 164.2839
187.500000 72.191 164.3268
190.000000 72.163 164.4836
192.500000 72.104 164.5708
195.000000 72.063 164.6907
197.500000 72.010 164.6690
200.000000 71.980 164.7625
203.000000 71.910 164.8930
206.000000 71.862 165.0610
209.000000 71.829 165.2125
212.000000 71.755 165.4285
214.000000 71.726 165.4504
218.000000 71.640 165.6301
220.000000 71.614 165.9381
224.000000 71.538 166.0586
227.000000 71.499 166.0916
230.000000 71.462 166.3312
233.000000 71.423 166.6655
236.000000 71.362 166.7357
240.000000 71.328 167.1271
243.000000 71.289 167.3303
247.000000 71.214 167.6637
250.000000 71.185 167.7302
254.000000 71.135 168.0026
258.000000 71.066 168.3688
262.000000 71.043 168.5558
265.000000 71.015 168.7905
269.000000 70.952 169.1813
272.000000 70.927 169.5605
276.000000 70.893 169.7745
280.000000 70.850 169.9853
285.000000 70.810 170.5385
290.000000 70.731 170.9800
295.000000 70.673 171.1380
300.000000 70.671 171.4630
304.000000 70.638 171.8948
307.000000 70.604 171.9239
311.000000 70.552 172.4115
315.000000 70.543 172.6832
320.000000 70.483 173.0591
