* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 23:56:50 18-05-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: BQEYZ Cloud deep R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 84.619 120.9101
1.015000 84.444 120.0083
1.030000 84.263 119.1036
1.044000 84.088 118.2563
1.060000 83.880 117.2843
1.075000 83.677 116.3693
1.090000 83.467 115.4503
1.106000 83.235 114.4900
1.120000 83.040 113.7977
1.138000 82.799 113.1182
1.150000 82.643 112.7772
1.172000 82.363 112.3363
1.180000 82.263 112.2225
1.206000 81.933 111.9626
1.220000 81.752 111.8589
1.241000 81.471 111.6950
1.250000 81.346 111.6069
1.265000 81.129 111.4163
1.280000 80.901 111.1488
1.315000 80.309 110.0849
1.320000 80.217 109.8689
1.340000 79.826 108.8079
1.360000 79.396 107.3864
1.380000 78.920 105.5448
1.400000 78.396 103.2234
1.430000 77.506 98.7110
1.450000 76.836 94.9288
1.475000 75.889 89.1963
1.500000 74.694 82.0854
1.525000 73.263 73.7130
1.550000 71.647 64.2762
1.575000 69.895 53.9721
1.600000 68.056 42.9981
1.625000 66.181 31.5513
1.650000 64.318 19.8289
1.675000 62.517 8.0279
1.700000 60.829 -3.6543
1.725000 59.301 -15.0206
1.750000 57.985 -25.8739
1.775000 56.929 -36.0169
1.800000 56.183 -45.2524
1.825000 55.797 -53.3835
1.850000 55.816 -60.4541
1.875000 56.226 -66.9628
1.900000 56.977 -72.9690
1.925000 58.017 -78.5096
1.950000 59.294 -83.6218
1.975000 60.757 -88.3427
2.000000 62.354 -92.7092
2.030000 64.375 -97.5334
2.060000 66.425 -101.9648
2.090000 68.415 -106.0674
2.120000 70.257 -109.9052
2.140000 71.357 -112.3482
2.180000 73.136 -117.0425
2.200000 73.762 -119.3295
2.240000 74.689 -123.3630
2.270000 75.201 -125.8388
2.300000 75.576 -127.9141
2.330000 75.834 -129.6523
2.360000 75.993 -131.1165
2.400000 76.087 -132.7522
2.430000 76.092 -133.8235
2.470000 76.050 -135.1651
2.500000 76.007 -136.1881
2.540000 75.970 -137.6950
2.580000 75.986 -139.4746
2.620000 75.975 -141.3651
2.650000 75.936 -142.7955
2.690000 75.841 -144.6782
2.720000 75.739 -146.0440
2.760000 75.562 -147.7624
2.800000 75.340 -149.3168
2.850000 75.000 -150.9512
2.900000 74.590 -152.1496
2.950000 74.102 -152.8863
3.000000 73.449 -153.6663
3.040000 72.826 -154.2566
3.070000 72.323 -154.5868
3.110000 71.627 -154.7636
3.150000 70.932 -154.5093
3.200000 70.114 -153.3696
3.250000 69.408 -151.0587
3.300000 68.875 -147.2960
3.350000 68.458 -141.3123
3.400000 68.100 -133.2324
3.450000 67.817 -123.8432
3.500000 67.624 -113.9317
3.550000 67.538 -104.2848
3.600000 67.574 -95.6892
3.650000 67.749 -88.9320
3.700000 68.113 -84.3237
3.750000 68.716 -81.0038
3.820000 69.830 -78.0537
3.870000 70.717 -76.8727
3.950000 72.090 -76.0038
4.000000 72.805 -75.7699
4.060000 73.429 -75.6285
4.120000 73.921 -76.2772
4.180000 74.319 -77.6012
4.250000 74.682 -79.6625
4.310000 74.921 -81.5830
4.370000 75.108 -83.3787
4.440000 75.265 -85.1923
4.500000 75.325 -86.8678
4.550000 75.326 -88.3130
4.620000 75.263 -90.3030
4.680000 75.160 -91.8775
4.750000 74.992 -93.4314
4.820000 74.765 -94.7252
4.870000 74.551 -95.6064
4.940000 74.199 -96.6705
5.000000 73.867 -97.3233
5.080000 73.412 -97.6508
5.150000 73.021 -97.2712
5.220000 72.577 -96.2328
5.300000 72.030 -94.4059
5.380000 71.517 -92.0973
5.450000 71.155 -89.8470
5.520000 70.925 -87.4637
5.600000 70.796 -84.0511
5.700000 70.781 -79.2830
5.800000 70.881 -75.0114
5.900000 71.060 -72.2523
6.000000 71.393 -70.6929
6.080000 71.717 -70.0946
6.150000 71.991 -69.9843
6.220000 72.212 -70.2100
6.300000 72.401 -70.9861
6.400000 72.597 -72.7823
6.500000 72.731 -75.1121
6.600000 72.785 -77.5653
6.700000 72.749 -80.2428
6.800000 72.635 -83.2045
6.900000 72.462 -86.1719
7.000000 72.241 -88.9181
7.100000 71.949 -91.6294
7.200000 71.612 -94.2082
7.300000 71.270 -96.4631
7.400000 70.932 -98.2710
7.500000 70.568 -99.7253
7.620000 70.171 -101.0736
7.750000 69.878 -102.0640
7.880000 69.697 -102.3883
8.000000 69.638 -102.5788
8.120000 69.709 -103.1041
8.250000 69.943 -103.8243
8.380000 70.260 -104.8745
8.500000 70.574 -106.3546
8.620000 70.940 -108.2890
8.750000 71.338 -110.6280
8.850000 71.611 -112.4812
9.000000 71.996 -115.5192
9.120000 72.272 -117.8946
9.250000 72.526 -120.2124
9.380000 72.739 -122.3771
9.500000 72.914 -124.1068
9.620000 73.072 -125.4896
9.750000 73.220 -126.6594
9.880000 73.369 -127.5364
10.000000 73.517 -128.0602
10.150000 73.707 -128.3719
10.300000 73.917 -128.5500
10.440000 74.134 -128.5685
10.600000 74.390 -128.5361
10.750000 74.629 -128.5822
10.900000 74.867 -128.6514
11.060000 75.095 -128.7605
11.200000 75.276 -128.8957
11.380000 75.480 -129.0329
11.500000 75.595 -129.0851
11.720000 75.775 -129.1016
11.800000 75.834 -129.0688
12.060000 76.000 -128.8647
12.200000 76.081 -128.7419
12.410000 76.192 -128.5545
12.500000 76.233 -128.5053
12.650000 76.295 -128.4584
12.800000 76.345 -128.4506
13.150000 76.400 -128.5880
13.200000 76.402 -128.6107
13.400000 76.391 -128.7066
13.600000 76.368 -128.7908
13.800000 76.336 -128.8428
14.000000 76.309 -128.9392
14.300000 76.279 -129.2245
14.500000 76.269 -129.6158
14.750000 76.253 -130.3550
15.000000 76.227 -131.3675
15.250000 76.181 -132.5537
15.500000 76.126 -133.7916
15.750000 76.069 -135.0182
16.000000 76.032 -136.1736
16.250000 76.028 -137.3144
16.500000 76.059 -138.4772
16.750000 76.123 -139.7281
17.000000 76.204 -141.0557
17.250000 76.295 -142.4149
17.500000 76.385 -143.7375
17.750000 76.475 -144.9239
18.000000 76.569 -145.9531
18.250000 76.671 -146.8047
18.500000 76.784 -147.5262
18.750000 76.903 -148.1526
19.000000 77.024 -148.7156
19.250000 77.137 -149.2265
19.500000 77.239 -149.6688
19.750000 77.328 -150.0322
20.000000 77.404 -150.3062
20.299999 77.485 -150.5489
20.600000 77.554 -150.7398
20.900000 77.609 -150.9268
21.200001 77.645 -151.1359
21.400000 77.658 -151.2811
21.799999 77.660 -151.5713
22.000000 77.654 -151.7194
22.400000 77.634 -152.0598
22.700001 77.617 -152.4093
23.000000 77.596 -152.8781
23.299999 77.566 -153.4533
23.600000 77.530 -154.0981
24.000000 77.478 -155.0047
24.299999 77.447 -155.6982
24.700001 77.425 -156.6580
25.000000 77.423 -157.4214
25.400000 77.436 -158.4866
25.799999 77.461 -159.5427
26.200001 77.499 -160.5266
26.500000 77.536 -161.2067
26.900000 77.595 -162.0457
27.200001 77.641 -162.6240
27.600000 77.698 -163.3067
28.000000 77.749 -163.8608
28.500000 77.807 -164.3919
29.000000 77.856 -164.8386
29.500000 77.886 -165.2592
30.000000 77.892 -165.6432
30.400000 77.886 -165.9354
30.700001 77.878 -166.1731
31.100000 77.862 -166.5489
31.500000 77.838 -166.9935
32.000000 77.796 -167.6032
32.500000 77.755 -168.2405
33.000000 77.723 -168.9287
33.500000 77.701 -169.6815
34.000000 77.685 -170.4538
34.500000 77.678 -171.1953
35.000000 77.681 -171.8951
35.500000 77.690 -172.5438
36.000000 77.704 -173.1205
36.500000 77.721 -173.6360
37.000000 77.737 -174.1321
37.500000 77.741 -174.6101
38.200001 77.726 -175.1628
38.700001 77.714 -175.4865
39.500000 77.694 -176.0991
40.000000 77.667 -176.5472
40.599998 77.625 -177.0466
41.200001 77.592 -177.5072
41.799999 77.574 -178.0420
42.500000 77.549 -178.7895
43.099998 77.515 -179.3998
43.700001 77.481 -179.8805
44.400002 77.461 179.6528
45.000000 77.455 179.2107
45.500000 77.443 178.8025
46.200001 77.411 178.2622
46.799999 77.377 177.8878
47.500000 77.349 177.5077
48.200001 77.334 177.0289
48.700001 77.313 176.5892
49.400002 77.254 176.0406
50.000000 77.204 175.8206
50.799999 77.193 175.5901
51.500000 77.193 175.1135
52.200001 77.159 174.6292
53.000000 77.121 174.2189
53.799999 77.078 173.7404
54.500000 77.032 173.4083
55.200001 77.011 173.0558
56.000000 76.975 172.3497
57.000000 76.879 171.7660
58.000000 76.865 171.3317
59.000000 76.815 170.6113
60.000000 76.773 170.4227
60.799999 76.758 170.0667
61.500000 76.699 169.9220
62.200001 76.685 170.0842
63.000000 76.722 169.6808
64.000000 76.610 168.7653
65.000000 76.501 168.7383
66.000000 76.456 168.2541
67.000000 76.358 167.9001
68.000000 76.314 167.6702
69.000000 76.266 167.2788
70.000000 76.205 166.9106
71.000000 76.134 166.6595
72.000000 76.069 166.3569
73.000000 75.964 166.2169
74.000000 75.916 166.3980
75.000000 75.877 166.2757
76.199997 75.857 166.7012
77.500000 75.915 166.1021
78.800003 75.851 166.1655
80.000000 75.860 165.4070
81.199997 75.746 165.6798
82.500000 75.797 164.8537
83.800003 75.658 164.8865
85.000000 75.688 164.3836
86.199997 75.609 164.2695
87.500000 75.600 163.9738
88.500000 75.582 163.9212
90.000000 75.522 163.1657
91.199997 75.408 163.2013
92.500000 75.344 163.3690
93.800003 75.350 163.1325
95.000000 75.276 162.5359
96.199997 75.198 162.3553
97.500000 75.163 162.2689
98.800003 75.152 161.8271
100.000000 75.082 161.5912
101.500000 75.038 161.3767
103.000000 74.957 161.1624
104.400002 74.891 160.9832
106.000000 74.822 160.7147
107.500000 74.754 160.5998
109.000000 74.701 160.4362
110.599998 74.634 160.3037
112.000000 74.576 160.2260
113.800003 74.511 160.0939
115.000000 74.452 159.9737
117.199997 74.364 159.9100
118.000000 74.330 159.8396
120.599998 74.225 159.6344
122.000000 74.176 159.5918
124.099998 74.099 159.4861
125.000000 74.070 159.4945
126.500000 74.016 159.4653
128.000000 73.942 159.4241
131.500000 73.808 159.4025
132.000000 73.795 159.4288
134.000000 73.729 159.3570
136.000000 73.654 159.4415
138.000000 73.588 159.5581
140.000000 73.524 159.4700
143.000000 73.435 159.5911
145.000000 73.370 159.6136
147.500000 73.280 159.7914
150.000000 73.217 159.9458
152.500000 73.179 159.8103
155.000000 73.108 159.8052
157.500000 73.039 159.9000
160.000000 72.978 159.9772
162.500000 72.918 160.0508
165.000000 72.842 160.1474
167.500000 72.781 160.1583
170.000000 72.719 160.3123
172.500000 72.664 160.4994
175.000000 72.592 160.4633
177.500000 72.537 160.5547
180.000000 72.488 160.7441
182.500000 72.426 160.9370
185.000000 72.361 161.0065
187.500000 72.314 161.1255
190.000000 72.246 161.3087
192.500000 72.184 161.4662
195.000000 72.142 161.6213
197.500000 72.093 161.6006
200.000000 72.041 161.7430
203.000000 71.995 161.9664
206.000000 71.930 162.1998
209.000000 71.861 162.4476
212.000000 71.813 162.6223
214.000000 71.797 162.6592
218.000000 71.698 162.9779
220.000000 71.663 163.0996
224.000000 71.587 163.6047
227.000000 71.554 163.7907
230.000000 71.500 163.7848
233.000000 71.451 164.1331
236.000000 71.408 164.4012
240.000000 71.361 164.5613
243.000000 71.309 164.7867
247.000000 71.240 164.9883
250.000000 71.208 165.1495
254.000000 71.157 165.5102
258.000000 71.110 165.8662
262.000000 71.041 166.2122
265.000000 70.998 166.5465
269.000000 70.943 166.8882
272.000000 70.901 167.1951
276.000000 70.856 167.5166
280.000000 70.839 168.0115
285.000000 70.809 168.3790
290.000000 70.784 168.6345
295.000000 70.721 168.8467
300.000000 70.670 169.1558
304.000000 70.629 169.5578
307.000000 70.628 169.7806
311.000000 70.574 170.1744
315.000000 70.499 170.3864
320.000000 70.483 170.7688
