* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 17:25:07 13-01-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: BQEYZ Wind L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 76.478 120.2001
1.015000 76.287 119.2296
1.030000 76.088 118.2454
1.044000 75.894 117.3133
1.060000 75.664 116.2310
1.075000 75.438 115.1987
1.090000 75.202 114.1480
1.106000 74.939 113.0293
1.120000 74.695 112.1768
1.138000 74.365 111.2625
1.150000 74.134 110.7486
1.172000 73.693 109.9607
1.180000 73.527 109.7122
1.206000 72.969 108.9881
1.220000 72.658 108.6204
1.241000 72.181 108.0471
1.250000 71.973 107.7798
1.265000 71.622 107.2871
1.280000 71.268 106.7153
1.315000 70.431 104.9440
1.320000 70.311 104.6285
1.340000 69.831 103.1759
1.360000 69.353 101.3775
1.380000 68.880 99.1787
1.400000 68.413 96.5247
1.430000 67.731 91.5705
1.450000 67.292 87.5391
1.475000 66.756 81.5445
1.500000 66.176 74.1449
1.525000 65.549 65.4508
1.550000 64.888 55.6757
1.575000 64.209 45.0331
1.600000 63.528 33.7367
1.625000 62.857 22.0001
1.650000 62.213 10.0366
1.675000 61.609 -1.9400
1.700000 61.061 -13.7164
1.725000 60.583 -25.0788
1.750000 60.191 -35.8138
1.775000 59.897 -45.7078
1.800000 59.719 -54.5472
1.825000 59.669 -62.1185
1.850000 59.771 -68.4207
1.875000 60.040 -73.8959
1.900000 60.455 -78.6400
1.925000 60.992 -82.7298
1.950000 61.630 -86.2424
1.975000 62.346 -89.2548
2.000000 63.118 -91.8438
2.030000 64.087 -94.5003
2.060000 65.066 -96.7911
2.090000 66.017 -98.8492
2.120000 66.900 -100.8076
2.140000 67.432 -102.1235
2.180000 68.309 -104.9573
2.200000 68.631 -106.5514
2.240000 69.137 -109.6020
2.270000 69.437 -111.6184
2.300000 69.678 -113.4293
2.330000 69.865 -115.0590
2.360000 70.007 -116.5321
2.400000 70.136 -118.2949
2.430000 70.198 -119.4977
2.470000 70.248 -120.9889
2.500000 70.269 -122.0545
2.540000 70.289 -123.4517
2.580000 70.310 -124.8681
2.620000 70.290 -126.2720
2.650000 70.245 -127.2895
2.690000 70.150 -128.5695
2.720000 70.056 -129.4520
2.760000 69.906 -130.4963
2.800000 69.733 -131.3558
2.850000 69.494 -132.1145
2.900000 69.241 -132.4561
2.950000 68.979 -132.3186
3.000000 68.644 -131.7474
3.040000 68.333 -131.0090
3.070000 68.085 -130.3014
3.110000 67.749 -129.1657
3.150000 67.423 -127.8249
3.200000 67.056 -125.8846
3.250000 66.765 -123.6797
3.300000 66.584 -121.2388
3.350000 66.501 -118.2339
3.400000 66.488 -114.5962
3.450000 66.537 -110.5847
3.500000 66.639 -106.4580
3.550000 66.786 -102.4752
3.600000 66.971 -98.8951
3.650000 67.184 -95.9765
3.700000 67.441 -93.8091
3.750000 67.777 -92.0904
3.820000 68.335 -90.3198
3.870000 68.763 -89.4418
3.950000 69.428 -88.5703
4.000000 69.792 -88.2817
4.060000 70.149 -88.1735
4.120000 70.468 -88.5472
4.180000 70.755 -89.3199
4.250000 71.048 -90.5485
4.310000 71.260 -91.7299
4.370000 71.433 -92.8893
4.440000 71.583 -94.1592
4.500000 71.665 -95.3841
4.550000 71.704 -96.4690
4.620000 71.719 -98.0060
4.680000 71.701 -99.2662
4.750000 71.653 -100.5735
4.820000 71.568 -101.7141
4.870000 71.477 -102.4999
4.940000 71.317 -103.5140
5.000000 71.161 -104.2598
5.080000 70.944 -105.0043
5.150000 70.759 -105.3555
5.220000 70.551 -105.4206
5.300000 70.293 -105.2075
5.380000 70.044 -104.7573
5.450000 69.858 -104.2259
5.520000 69.720 -103.5929
5.600000 69.603 -102.5478
5.700000 69.506 -100.9652
5.800000 69.470 -99.4808
5.900000 69.502 -98.4689
6.000000 69.623 -97.7256
6.080000 69.761 -97.3288
6.150000 69.889 -97.1797
6.220000 70.007 -97.2600
6.300000 70.135 -97.6826
6.400000 70.307 -98.6434
6.500000 70.466 -99.9253
6.600000 70.588 -101.3588
6.700000 70.668 -103.0227
6.800000 70.717 -104.9149
6.900000 70.738 -106.8447
7.000000 70.731 -108.6553
7.100000 70.686 -110.4678
7.200000 70.618 -112.2261
7.300000 70.543 -113.8132
7.400000 70.467 -115.1588
7.500000 70.377 -116.3220
7.620000 70.280 -117.4977
7.750000 70.223 -118.4974
7.880000 70.203 -119.1469
8.000000 70.224 -119.6217
8.120000 70.295 -120.1377
8.250000 70.432 -120.6416
8.380000 70.603 -121.2208
8.500000 70.776 -121.9497
8.620000 70.976 -122.8244
8.750000 71.194 -123.8797
8.850000 71.348 -124.7537
9.000000 71.569 -126.2130
9.120000 71.730 -127.3791
9.250000 71.879 -128.5554
9.380000 72.005 -129.6916
9.500000 72.110 -130.6219
9.620000 72.204 -131.3877
9.750000 72.293 -132.0686
9.880000 72.383 -132.6061
10.000000 72.470 -132.9570
10.150000 72.582 -133.2255
10.300000 72.706 -133.4257
10.440000 72.834 -133.5347
10.600000 72.986 -133.6369
10.750000 73.130 -133.7808
10.900000 73.276 -133.9447
11.060000 73.418 -134.1551
11.200000 73.533 -134.3749
11.380000 73.664 -134.6506
11.500000 73.739 -134.8229
11.720000 73.856 -135.1018
11.800000 73.894 -135.1800
12.060000 74.000 -135.3743
12.200000 74.052 -135.4570
12.410000 74.122 -135.5635
12.500000 74.149 -135.6219
12.650000 74.192 -135.7304
12.800000 74.230 -135.8592
13.150000 74.290 -136.2613
13.200000 74.296 -136.3241
13.400000 74.309 -136.5889
13.600000 74.316 -136.8600
13.800000 74.316 -137.1266
14.000000 74.318 -137.4158
14.300000 74.325 -137.9147
14.500000 74.335 -138.3374
14.750000 74.346 -138.9807
15.000000 74.354 -139.7499
15.250000 74.354 -140.5974
15.500000 74.349 -141.4579
15.750000 74.343 -142.2971
16.000000 74.346 -143.0794
16.250000 74.366 -143.8330
16.500000 74.404 -144.5794
16.750000 74.459 -145.3579
17.000000 74.523 -146.1740
17.250000 74.592 -147.0087
17.500000 74.658 -147.8320
17.750000 74.722 -148.5895
18.000000 74.786 -149.2665
18.250000 74.853 -149.8481
18.500000 74.924 -150.3554
18.750000 74.999 -150.8091
19.000000 75.076 -151.2282
19.250000 75.149 -151.6261
19.500000 75.217 -151.9967
19.750000 75.277 -152.3358
20.000000 75.329 -152.6344
20.299999 75.382 -152.9458
20.600000 75.428 -153.2191
20.900000 75.464 -153.4729
21.200001 75.492 -153.7220
21.400000 75.505 -153.8875
21.799999 75.522 -154.2202
22.000000 75.526 -154.3926
22.400000 75.531 -154.7688
22.700001 75.532 -155.0981
23.000000 75.530 -155.4769
23.299999 75.524 -155.8957
23.600000 75.517 -156.3401
24.000000 75.509 -156.9568
24.299999 75.508 -157.4388
24.700001 75.517 -158.1200
25.000000 75.528 -158.6595
25.400000 75.546 -159.3926
25.799999 75.569 -160.0976
26.200001 75.600 -160.7520
26.500000 75.628 -161.2166
26.900000 75.670 -161.8128
27.200001 75.701 -162.2364
27.600000 75.738 -162.7428
28.000000 75.773 -163.1591
28.500000 75.819 -163.5878
29.000000 75.865 -164.0163
29.500000 75.895 -164.4808
30.000000 75.903 -164.9183
30.400000 75.900 -165.2204
30.700001 75.897 -165.4343
31.100000 75.893 -165.7394
31.500000 75.886 -166.0825
32.000000 75.871 -166.5390
32.500000 75.858 -166.9954
33.000000 75.856 -167.4867
33.500000 75.859 -168.0638
34.000000 75.859 -168.6984
34.500000 75.853 -169.2969
35.000000 75.850 -169.8096
35.500000 75.858 -170.2672
36.000000 75.874 -170.7201
36.500000 75.889 -171.1716
37.000000 75.899 -171.5922
37.500000 75.907 -171.9734
38.200001 75.916 -172.4931
38.700001 75.914 -172.8791
39.500000 75.893 -173.4687
40.000000 75.876 -173.8101
40.599998 75.852 -174.2363
41.200001 75.815 -174.6685
41.799999 75.768 -174.9933
42.500000 75.725 -175.1595
43.099998 75.717 -175.2320
43.700001 75.728 -175.3530
44.400002 75.751 -175.5357
45.000000 75.783 -175.7006
45.500000 75.822 -175.9173
46.200001 75.872 -176.4662
46.799999 75.874 -177.0409
47.500000 75.846 -177.4168
48.200001 75.869 -177.5711
48.700001 75.916 -177.9316
49.400002 75.932 -178.8812
50.000000 75.869 -179.5379
50.799999 75.800 -179.7531
51.500000 75.808 -179.9878
52.200001 75.800 179.4907
53.000000 75.758 179.0729
53.799999 75.743 178.7758
54.500000 75.735 178.4095
55.200001 75.725 178.0381
56.000000 75.712 177.5250
57.000000 75.652 177.0338
58.000000 75.654 176.9930
59.000000 75.703 176.3500
60.000000 75.652 175.6340
60.799999 75.607 175.4019
61.500000 75.582 175.2066
62.200001 75.560 174.9871
63.000000 75.538 174.6671
64.000000 75.490 174.1646
65.000000 75.444 173.8774
66.000000 75.438 173.4435
67.000000 75.397 172.9042
68.000000 75.362 172.6566
69.000000 75.349 172.3116
70.000000 75.310 171.9869
71.000000 75.282 171.7470
72.000000 75.248 171.4046
73.000000 75.211 171.1225
74.000000 75.181 170.7852
75.000000 75.146 170.4834
76.199997 75.119 170.1031
77.500000 75.072 169.7447
78.800003 75.040 169.4526
80.000000 75.001 169.1844
81.199997 74.970 168.8486
82.500000 74.913 168.5243
83.800003 74.874 168.2027
85.000000 74.842 168.0201
86.199997 74.824 167.4759
87.500000 74.735 167.3346
88.500000 74.738 167.1807
90.000000 74.663 166.8519
91.199997 74.647 166.6956
92.500000 74.597 166.4549
93.800003 74.566 166.2368
95.000000 74.523 166.0016
96.199997 74.488 165.7452
97.500000 74.432 165.4915
98.800003 74.400 165.2735
100.000000 74.352 165.0311
101.500000 74.322 164.8585
103.000000 74.291 164.5457
104.400002 74.238 164.1884
106.000000 74.189 164.0529
107.500000 74.139 163.7513
109.000000 74.079 163.5805
110.599998 74.034 163.4277
112.000000 73.985 163.1759
113.800003 73.929 162.9948
115.000000 73.884 162.8793
117.199997 73.815 162.6766
118.000000 73.787 162.6180
120.599998 73.699 162.3344
122.000000 73.639 162.1912
124.099998 73.581 161.9654
125.000000 73.548 161.9225
126.500000 73.505 161.8470
128.000000 73.458 161.7383
131.500000 73.354 161.5261
132.000000 73.345 161.4354
134.000000 73.267 161.4705
136.000000 73.212 161.2508
138.000000 73.156 161.1111
140.000000 73.108 161.0302
143.000000 73.015 160.8018
145.000000 72.946 160.9479
147.500000 72.889 160.8146
150.000000 72.817 160.5474
152.500000 72.746 160.6077
155.000000 72.669 160.6354
157.500000 72.599 160.5726
160.000000 72.535 160.5630
162.500000 72.476 160.4950
165.000000 72.409 160.4272
167.500000 72.357 160.5716
170.000000 72.282 160.5032
172.500000 72.227 160.4704
175.000000 72.172 160.5040
177.500000 72.104 160.5082
180.000000 72.052 160.5596
182.500000 71.994 160.5358
185.000000 71.918 160.7250
187.500000 71.875 160.6984
190.000000 71.821 160.7485
192.500000 71.741 160.8210
195.000000 71.702 160.8303
197.500000 71.657 160.9140
200.000000 71.600 160.9752
203.000000 71.519 161.1065
206.000000 71.471 161.1392
209.000000 71.418 161.2188
212.000000 71.352 161.3851
214.000000 71.326 161.4383
218.000000 71.250 161.6281
220.000000 71.199 161.7217
224.000000 71.137 161.7903
227.000000 71.060 161.9383
230.000000 71.024 162.1066
233.000000 70.972 162.2285
236.000000 70.929 162.4094
240.000000 70.856 162.6152
243.000000 70.799 162.7140
247.000000 70.750 162.7729
250.000000 70.719 163.0296
254.000000 70.650 163.2537
258.000000 70.571 163.3698
262.000000 70.512 163.5801
265.000000 70.467 163.6455
269.000000 70.386 163.8350
272.000000 70.364 163.9647
276.000000 70.303 164.3326
280.000000 70.230 164.5377
285.000000 70.153 164.7850
290.000000 70.079 165.0028
295.000000 70.019 165.5786
300.000000 69.937 165.8472
304.000000 69.897 165.9557
307.000000 69.860 166.0659
311.000000 69.805 166.3143
315.000000 69.780 166.8646
320.000000 69.693 167.0200
