* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 17:18:29 13-01-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: BQEYZ Wind R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 84.539 120.6915
1.015000 84.360 119.7851
1.030000 84.175 118.8754
1.044000 83.996 118.0232
1.060000 83.783 117.0453
1.075000 83.575 116.1243
1.090000 83.359 115.1989
1.106000 83.120 114.2346
1.120000 82.913 113.5585
1.138000 82.651 112.9281
1.150000 82.477 112.6347
1.172000 82.158 112.3056
1.180000 82.042 112.2387
1.206000 81.657 112.1461
1.220000 81.444 112.1373
1.241000 81.116 112.1149
1.250000 80.970 112.0851
1.265000 80.721 111.9858
1.280000 80.462 111.7997
1.315000 79.812 110.8672
1.320000 79.713 110.6616
1.340000 79.301 109.6157
1.360000 78.859 108.1616
1.380000 78.386 106.2318
1.400000 77.876 103.7585
1.430000 77.039 98.8816
1.450000 76.427 94.7537
1.475000 75.584 88.4477
1.500000 74.542 80.5061
1.525000 73.313 71.0634
1.550000 71.935 60.3637
1.575000 70.451 48.6512
1.600000 68.901 36.1701
1.625000 67.326 23.1643
1.650000 65.767 9.8781
1.675000 64.265 -3.4444
1.700000 62.860 -16.5593
1.725000 61.594 -29.2221
1.750000 60.507 -41.1890
1.775000 59.640 -52.2158
1.800000 59.034 -62.0583
1.825000 58.730 -70.4725
1.850000 58.768 -77.4627
1.875000 59.140 -83.5454
1.900000 59.803 -88.8264
1.925000 60.713 -93.3898
1.950000 61.827 -97.3192
1.975000 63.099 -100.6985
2.000000 64.485 -103.6115
2.030000 66.238 -106.6097
2.060000 68.015 -109.2020
2.090000 69.741 -111.5333
2.120000 71.338 -113.7485
2.140000 72.295 -115.2323
2.180000 73.845 -118.4098
2.200000 74.394 -120.1863
2.240000 75.217 -123.5408
2.270000 75.677 -125.7177
2.300000 76.021 -127.6457
2.330000 76.264 -129.3618
2.360000 76.422 -130.9037
2.400000 76.530 -132.7528
2.430000 76.553 -134.0330
2.470000 76.539 -135.6687
2.500000 76.514 -136.8905
2.540000 76.495 -138.5838
2.580000 76.513 -140.4184
2.620000 76.504 -142.3224
2.650000 76.467 -143.7572
2.690000 76.378 -145.6450
2.720000 76.282 -147.0184
2.760000 76.116 -148.7585
2.800000 75.907 -150.3552
2.850000 75.587 -152.0839
2.900000 75.204 -153.4373
2.950000 74.749 -154.4031
3.000000 74.154 -155.4728
3.040000 73.594 -156.3327
3.070000 73.140 -156.8855
3.110000 72.510 -157.3844
3.150000 71.874 -157.4792
3.200000 71.107 -156.8101
3.250000 70.418 -155.0036
3.300000 69.852 -151.7754
3.350000 69.337 -146.4623
3.400000 68.826 -139.2068
3.450000 68.353 -130.7095
3.500000 67.955 -121.6706
3.550000 67.667 -112.7904
3.600000 67.525 -104.7694
3.650000 67.564 -98.3080
3.700000 67.843 -93.6329
3.750000 68.393 -89.9008
3.820000 69.469 -85.9852
3.870000 70.348 -83.9759
3.950000 71.725 -81.8249
4.000000 72.442 -80.9761
4.060000 73.063 -80.4116
4.120000 73.564 -80.8265
4.180000 73.979 -82.0420
4.250000 74.367 -84.0870
4.310000 74.627 -86.0473
4.370000 74.830 -87.8947
4.440000 74.996 -89.7611
4.500000 75.063 -91.5188
4.550000 75.068 -93.0597
4.620000 75.008 -95.2205
4.680000 74.902 -96.9716
4.750000 74.726 -98.7612
4.820000 74.485 -100.3366
4.870000 74.261 -101.4577
4.940000 73.890 -102.8907
5.000000 73.534 -103.8708
5.080000 73.029 -104.6178
5.150000 72.573 -104.5688
5.220000 72.038 -103.9159
5.300000 71.365 -102.5488
5.380000 70.714 -100.6048
5.450000 70.235 -98.5004
5.520000 69.897 -96.0151
5.600000 69.635 -92.1434
5.700000 69.454 -86.4925
5.800000 69.420 -81.2838
5.900000 69.530 -77.7988
6.000000 69.863 -75.5727
6.080000 70.217 -74.4936
6.150000 70.522 -74.0457
6.220000 70.766 -74.0479
6.300000 70.974 -74.7319
6.400000 71.196 -76.6074
6.500000 71.353 -79.1631
6.600000 71.419 -81.9146
6.700000 71.382 -84.9726
6.800000 71.259 -88.4141
6.900000 71.068 -91.9272
7.000000 70.820 -95.2618
7.100000 70.490 -98.6439
7.200000 70.107 -101.9357
7.300000 69.709 -104.8854
7.400000 69.302 -107.3625
7.500000 68.855 -109.5063
7.620000 68.353 -111.5779
7.750000 67.956 -113.0552
7.880000 67.669 -113.5801
8.000000 67.533 -113.7827
8.120000 67.575 -114.1891
8.250000 67.828 -114.5678
8.380000 68.194 -115.2422
8.500000 68.573 -116.4950
8.620000 69.031 -118.2575
8.750000 69.535 -120.4643
8.850000 69.879 -122.2608
9.000000 70.367 -125.2948
9.120000 70.716 -127.6892
9.250000 71.031 -130.0198
9.380000 71.290 -132.2071
9.500000 71.497 -133.9316
9.620000 71.674 -135.2672
9.750000 71.829 -136.3519
9.880000 71.980 -137.0922
10.000000 72.124 -137.4296
10.150000 72.303 -137.4440
10.300000 72.504 -137.2922
10.440000 72.718 -136.9617
10.600000 72.972 -136.5279
10.750000 73.213 -136.2345
10.900000 73.455 -135.9864
11.060000 73.684 -135.7979
11.200000 73.862 -135.7104
11.380000 74.058 -135.5794
11.500000 74.163 -135.4621
11.720000 74.319 -135.1694
11.800000 74.368 -135.0157
12.060000 74.496 -134.4008
12.200000 74.559 -134.0459
12.410000 74.641 -133.5040
12.500000 74.672 -133.3111
12.650000 74.718 -133.0318
12.800000 74.751 -132.8067
13.150000 74.766 -132.5152
13.200000 74.761 -132.4820
13.400000 74.723 -132.3689
13.600000 74.669 -132.2520
13.800000 74.606 -132.1030
14.000000 74.548 -132.0058
14.300000 74.477 -132.0244
14.500000 74.443 -132.2776
14.750000 74.399 -132.9019
15.000000 74.345 -133.8654
15.250000 74.268 -135.0507
15.500000 74.179 -136.3032
15.750000 74.090 -137.5419
16.000000 74.026 -138.6848
16.250000 74.004 -139.8006
16.500000 74.028 -140.9362
16.750000 74.097 -142.1788
17.000000 74.189 -143.5204
17.250000 74.293 -144.9061
17.500000 74.397 -146.2519
17.750000 74.500 -147.4309
18.000000 74.607 -148.4148
18.250000 74.723 -149.1760
18.500000 74.852 -149.7740
18.750000 74.989 -150.2550
19.000000 75.129 -150.6614
19.250000 75.260 -151.0116
19.500000 75.378 -151.2872
19.750000 75.480 -151.4765
20.000000 75.568 -151.5669
20.299999 75.659 -151.5823
20.600000 75.736 -151.5454
20.900000 75.797 -151.5108
21.200001 75.835 -151.5054
21.400000 75.847 -151.5081
21.799999 75.844 -151.5124
22.000000 75.834 -151.5196
22.400000 75.807 -151.5964
22.700001 75.784 -151.7784
23.000000 75.754 -152.1096
23.299999 75.713 -152.5643
23.600000 75.664 -153.0906
24.000000 75.596 -153.8292
24.299999 75.558 -154.3981
24.700001 75.537 -155.2274
25.000000 75.541 -155.9399
25.400000 75.563 -156.9956
25.799999 75.593 -158.0617
26.200001 75.634 -159.0169
26.500000 75.676 -159.6358
26.900000 75.749 -160.3549
27.200001 75.812 -160.8394
27.600000 75.896 -161.4206
28.000000 75.972 -161.9079
28.500000 76.051 -162.3670
29.000000 76.109 -162.6832
29.500000 76.143 -162.8781
30.000000 76.161 -162.9807
30.400000 76.172 -163.0655
30.700001 76.178 -163.1805
31.100000 76.177 -163.4376
31.500000 76.162 -163.7934
32.000000 76.125 -164.2953
32.500000 76.085 -164.8168
33.000000 76.057 -165.3968
33.500000 76.040 -166.0515
34.000000 76.031 -166.7217
34.500000 76.037 -167.3620
35.000000 76.058 -167.9852
35.500000 76.086 -168.5888
36.000000 76.115 -169.1241
36.500000 76.145 -169.5688
37.000000 76.174 -169.9561
37.500000 76.197 -170.3067
38.200001 76.216 -170.7120
38.700001 76.224 -170.9763
39.500000 76.223 -171.4916
40.000000 76.207 -171.8236
40.599998 76.187 -172.1817
41.200001 76.181 -172.6014
41.799999 76.172 -173.1404
42.500000 76.147 -173.7515
43.099998 76.134 -174.1608
43.700001 76.138 -174.5693
44.400002 76.142 -175.1225
45.000000 76.132 -175.5679
45.500000 76.120 -175.8665
46.200001 76.111 -176.2439
46.799999 76.102 -176.6000
47.500000 76.088 -177.0214
48.200001 76.077 -177.4673
48.700001 76.066 -177.8409
49.400002 76.034 -178.3218
50.000000 76.011 -178.5510
50.799999 76.029 -178.8292
51.500000 76.051 -179.3128
52.200001 76.041 -179.7952
53.000000 76.022 179.8444
53.799999 76.006 179.4743
54.500000 75.978 179.1709
55.200001 75.952 178.9424
56.000000 75.938 178.6200
57.000000 75.919 178.0680
58.000000 75.897 177.4818
59.000000 75.870 176.9569
60.000000 75.859 176.5947
60.799999 75.861 176.2403
61.500000 75.847 175.9106
62.200001 75.825 175.6354
63.000000 75.784 175.3204
64.000000 75.723 175.2997
65.000000 75.770 175.1053
66.000000 75.737 174.1559
67.000000 75.656 173.9758
68.000000 75.677 173.6450
69.000000 75.650 173.0120
70.000000 75.597 172.5431
71.000000 75.534 172.3486
72.000000 75.523 172.1729
73.000000 75.492 171.7610
74.000000 75.465 171.5011
75.000000 75.436 171.0641
76.199997 75.381 170.8123
77.500000 75.361 170.4087
78.800003 75.307 169.9986
80.000000 75.262 169.6610
81.199997 75.221 169.3474
82.500000 75.181 168.9818
83.800003 75.133 168.6511
85.000000 75.089 168.4222
86.199997 75.047 168.1686
87.500000 74.997 167.8802
88.500000 74.958 167.6378
90.000000 74.904 167.2467
91.199997 74.851 167.0009
92.500000 74.811 166.8235
93.800003 74.757 166.5869
95.000000 74.699 166.5298
96.199997 74.662 166.5074
97.500000 74.636 166.2842
98.800003 74.581 166.0409
100.000000 74.546 166.0091
101.500000 74.522 165.8330
103.000000 74.481 165.7031
104.400002 74.458 165.6213
106.000000 74.448 165.2979
107.500000 74.382 164.8438
109.000000 74.328 164.8116
110.599998 74.309 164.5583
112.000000 74.266 164.2615
113.800003 74.216 164.0219
115.000000 74.172 163.8568
117.199997 74.096 163.6945
118.000000 74.074 163.6312
120.599998 73.989 163.1925
122.000000 73.940 163.1501
124.099998 73.880 162.8470
125.000000 73.859 162.9262
126.500000 73.832 162.7948
128.000000 73.784 162.6761
131.500000 73.655 162.4322
132.000000 73.644 162.3640
134.000000 73.582 162.2430
136.000000 73.534 162.0386
138.000000 73.467 161.9460
140.000000 73.424 161.8871
143.000000 73.330 161.6367
145.000000 73.285 161.5977
147.500000 73.214 161.5076
150.000000 73.134 161.3370
152.500000 73.061 161.2351
155.000000 73.011 161.2531
157.500000 72.946 161.2863
160.000000 72.865 161.1425
162.500000 72.803 161.0591
165.000000 72.739 161.0162
167.500000 72.677 161.1184
170.000000 72.626 161.1401
172.500000 72.541 160.9971
175.000000 72.488 160.9618
177.500000 72.437 160.9560
180.000000 72.380 161.0751
182.500000 72.312 161.1506
185.000000 72.249 161.1353
187.500000 72.195 161.1462
190.000000 72.140 161.1298
192.500000 72.087 161.2242
195.000000 72.025 161.2419
197.500000 71.969 161.2799
200.000000 71.893 161.4547
203.000000 71.840 161.4566
206.000000 71.795 161.5397
209.000000 71.712 161.7086
212.000000 71.647 161.7909
214.000000 71.625 161.9006
218.000000 71.537 161.9243
220.000000 71.510 161.9448
224.000000 71.430 162.2379
227.000000 71.366 162.2144
230.000000 71.335 162.4541
233.000000 71.246 162.6118
236.000000 71.213 162.7985
240.000000 71.153 162.8719
243.000000 71.106 163.0425
247.000000 71.025 163.3123
250.000000 70.986 163.6801
254.000000 70.933 163.6187
258.000000 70.862 163.8986
262.000000 70.805 164.0530
265.000000 70.753 164.3257
269.000000 70.698 164.5428
272.000000 70.665 164.6383
276.000000 70.623 164.8481
280.000000 70.543 165.2395
285.000000 70.481 165.3636
290.000000 70.430 165.8124
295.000000 70.365 166.1441
300.000000 70.310 166.5372
304.000000 70.245 166.6035
307.000000 70.227 166.7716
311.000000 70.179 167.0540
315.000000 70.144 167.5001
320.000000 70.079 167.5671
