* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 09:54:20 02-12-2023
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Blessing 3 L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 81.136 144.0224
1.015000 81.037 143.6548
1.030000 80.938 143.3018
1.044000 80.844 142.9861
1.060000 80.735 142.6425
1.075000 80.632 142.3381
1.090000 80.527 142.0515
1.106000 80.415 141.7645
1.120000 80.313 141.5186
1.138000 80.179 141.2082
1.150000 80.088 141.0056
1.172000 79.916 140.6457
1.180000 79.853 140.5191
1.206000 79.642 140.1265
1.220000 79.527 139.9285
1.241000 79.352 139.6518
1.250000 79.276 139.5414
1.265000 79.150 139.3692
1.280000 79.022 139.2129
1.315000 78.724 138.9164
1.320000 78.682 138.8825
1.340000 78.511 138.7698
1.360000 78.342 138.6960
1.380000 78.175 138.6638
1.400000 78.009 138.6761
1.430000 77.766 138.7843
1.450000 77.608 138.9203
1.475000 77.415 139.1681
1.500000 77.217 139.5112
1.525000 77.013 139.9442
1.550000 76.805 140.4589
1.575000 76.596 141.0470
1.600000 76.388 141.7002
1.625000 76.182 142.4104
1.650000 75.981 143.1694
1.675000 75.787 143.9688
1.700000 75.603 144.8005
1.725000 75.429 145.6562
1.750000 75.269 146.5278
1.775000 75.125 147.4068
1.800000 74.998 148.2853
1.825000 74.892 149.1548
1.850000 74.805 150.0411
1.875000 74.735 151.0123
1.900000 74.681 152.0556
1.925000 74.640 153.1548
1.950000 74.613 154.2934
1.975000 74.598 155.4551
2.000000 74.594 156.6236
2.030000 74.603 158.0117
2.060000 74.625 159.3579
2.090000 74.657 160.6337
2.120000 74.699 161.8111
2.140000 74.731 162.5273
2.180000 74.803 163.7573
2.200000 74.841 164.2548
2.240000 74.941 165.0834
2.270000 75.036 165.5907
2.300000 75.147 166.0056
2.330000 75.269 166.3328
2.360000 75.400 166.5772
2.400000 75.585 166.7824
2.430000 75.726 166.8521
2.470000 75.912 166.8420
2.500000 76.048 166.7632
2.540000 76.216 166.5726
2.580000 76.366 166.2854
2.620000 76.511 165.8385
2.650000 76.619 165.4004
2.690000 76.760 164.6983
2.720000 76.864 164.0963
2.760000 77.000 163.2124
2.800000 77.131 162.2574
2.850000 77.286 161.0004
2.900000 77.432 159.7166
2.950000 77.565 158.4379
3.000000 77.687 157.0694
3.040000 77.776 155.9056
3.070000 77.840 155.0015
3.110000 77.919 153.7653
3.150000 77.995 152.5065
3.200000 78.085 150.9221
3.250000 78.170 149.3505
3.300000 78.254 147.8181
3.350000 78.333 146.2923
3.400000 78.404 144.7471
3.450000 78.470 143.1959
3.500000 78.533 141.6521
3.550000 78.594 140.1292
3.600000 78.656 138.6406
3.650000 78.721 137.1997
3.700000 78.789 135.8083
3.750000 78.854 134.4460
3.820000 78.945 132.5899
3.870000 79.012 131.3036
3.950000 79.125 129.3197
4.000000 79.202 128.1295
4.060000 79.303 126.7568
4.120000 79.409 125.4513
4.180000 79.521 124.2040
4.250000 79.660 122.8086
4.310000 79.785 121.6517
4.370000 79.917 120.5197
4.440000 80.081 119.2294
4.500000 80.231 118.1706
4.550000 80.362 117.3153
4.620000 80.551 116.1460
4.680000 80.717 115.1578
4.750000 80.913 114.0054
4.820000 81.113 112.8519
4.870000 81.260 112.0375
4.940000 81.471 110.9080
5.000000 81.652 109.9468
5.080000 81.892 108.6706
5.150000 82.096 107.5542
5.220000 82.299 106.4346
5.300000 82.530 105.1577
5.380000 82.756 103.8935
5.450000 82.948 102.8055
5.520000 83.132 101.7398
5.600000 83.335 100.5341
5.700000 83.578 99.0554
5.800000 83.809 97.6317
5.900000 84.027 96.2842
6.000000 84.231 94.9996
6.080000 84.386 94.0192
6.150000 84.516 93.2002
6.220000 84.643 92.4214
6.300000 84.782 91.5840
6.400000 84.948 90.6109
6.500000 85.107 89.7086
6.600000 85.264 88.8654
6.700000 85.418 88.0935
6.800000 85.567 87.3879
6.900000 85.716 86.7212
7.000000 85.864 86.0717
7.100000 86.012 85.4609
7.200000 86.159 84.8740
7.300000 86.303 84.2854
7.400000 86.446 83.6832
7.500000 86.588 83.0824
7.620000 86.753 82.3501
7.750000 86.923 81.5247
7.880000 87.085 80.6679
8.000000 87.225 79.8593
8.120000 87.354 79.0389
8.250000 87.482 78.1288
8.380000 87.597 77.2183
8.500000 87.691 76.3923
8.620000 87.774 75.5710
8.750000 87.855 74.7029
8.850000 87.910 74.0604
9.000000 87.983 73.1298
9.120000 88.034 72.4154
9.250000 88.087 71.6763
9.380000 88.134 70.9722
9.500000 88.177 70.3404
9.620000 88.220 69.7233
9.750000 88.266 69.0748
9.880000 88.313 68.4250
10.000000 88.357 67.8186
10.150000 88.414 67.0557
10.300000 88.471 66.2647
10.440000 88.524 65.5000
10.600000 88.584 64.5972
10.750000 88.637 63.7178
10.900000 88.688 62.8117
11.060000 88.737 61.8331
11.200000 88.775 60.9620
11.380000 88.821 59.8509
11.500000 88.848 59.1189
11.720000 88.893 57.8076
11.800000 88.909 57.3475
12.060000 88.961 55.9053
12.200000 88.992 55.1670
12.410000 89.042 54.1033
12.500000 89.066 53.6566
12.650000 89.109 52.9289
12.800000 89.156 52.2092
13.150000 89.276 50.5310
13.200000 89.293 50.2907
13.400000 89.364 49.3234
13.600000 89.433 48.3642
13.800000 89.497 47.4154
14.000000 89.557 46.5042
14.300000 89.639 45.2218
14.500000 89.691 44.4417
14.750000 89.757 43.5362
15.000000 89.825 42.6957
15.250000 89.896 41.8768
15.500000 89.968 41.0465
15.750000 90.034 40.1905
16.000000 90.089 39.3031
16.250000 90.128 38.4209
16.500000 90.151 37.5703
16.750000 90.158 36.7931
17.000000 90.159 36.1102
17.250000 90.157 35.5118
17.500000 90.161 34.9806
17.750000 90.174 34.4526
18.000000 90.193 33.8919
18.250000 90.217 33.2594
18.500000 90.237 32.5405
18.750000 90.249 31.7560
19.000000 90.249 30.9262
19.250000 90.237 30.1029
19.500000 90.217 29.3124
19.750000 90.192 28.5743
20.000000 90.169 27.8955
20.299999 90.149 27.1343
20.600000 90.140 26.4013
20.900000 90.142 25.6634
21.200001 90.151 24.8996
21.400000 90.159 24.3764
21.799999 90.177 23.3126
22.000000 90.186 22.7827
22.400000 90.201 21.7517
22.700001 90.210 21.0202
23.000000 90.220 20.3366
23.299999 90.230 19.7032
23.600000 90.243 19.1121
24.000000 90.266 18.3627
24.299999 90.284 17.8028
24.700001 90.303 17.0403
25.000000 90.309 16.4712
25.400000 90.301 15.7694
25.799999 90.282 15.1980
26.200001 90.268 14.7577
26.500000 90.269 14.4558
26.900000 90.282 13.9915
27.200001 90.291 13.5528
27.600000 90.289 12.8698
28.000000 90.261 12.1967
28.500000 90.210 11.5452
29.000000 90.184 11.0502
29.500000 90.187 10.4302
30.000000 90.178 9.5596
30.400000 90.136 8.8548
30.700001 90.090 8.4518
31.100000 90.038 8.1434
31.500000 90.022 7.9728
32.000000 90.057 7.5775
32.500000 90.095 6.7441
33.000000 90.074 5.7077
33.500000 89.998 4.8881
34.000000 89.921 4.4423
34.500000 89.884 4.1458
35.000000 89.875 3.7465
35.500000 89.866 3.2115
36.000000 89.847 2.6415
36.500000 89.826 2.0732
37.000000 89.802 1.4874
37.500000 89.770 0.9085
38.200001 89.720 0.2065
38.700001 89.691 -0.2366
39.500000 89.650 -0.9468
40.000000 89.623 -1.3589
40.599998 89.597 -1.8293
41.200001 89.571 -2.3588
41.799999 89.528 -2.8938
42.500000 89.466 -3.3396
43.099998 89.433 -3.6511
43.700001 89.405 -4.0887
44.400002 89.339 -4.6159
45.000000 89.276 -4.8143
45.500000 89.254 -4.8723
46.200001 89.268 -5.2141
46.799999 89.257 -5.8530
47.500000 89.180 -6.4938
48.200001 89.108 -6.7005
48.700001 89.097 -6.8431
49.400002 89.085 -7.4072
50.000000 89.022 -7.9478
50.799999 88.928 -8.1740
51.500000 88.912 -8.3098
52.200001 88.899 -8.7947
53.000000 88.840 -9.3199
53.799999 88.793 -9.6835
54.500000 88.750 -10.0748
55.200001 88.695 -10.3502
56.000000 88.655 -10.6228
57.000000 88.576 -11.0744
58.000000 88.510 -11.1628
59.000000 88.465 -11.5753
60.000000 88.384 -11.7448
60.799999 88.371 -12.0070
61.500000 88.318 -12.4811
62.200001 88.238 -12.6462
63.000000 88.200 -12.6937
64.000000 88.154 -13.0871
65.000000 88.094 -13.3895
66.000000 88.021 -13.6980
67.000000 87.977 -13.7764
68.000000 87.933 -14.3046
69.000000 87.833 -14.4402
70.000000 87.811 -14.5834
71.000000 87.740 -14.9507
72.000000 87.684 -15.0251
73.000000 87.629 -15.1798
74.000000 87.602 -15.2118
75.000000 87.561 -15.6405
76.199997 87.463 -15.7041
77.500000 87.412 -15.9088
78.800003 87.327 -16.0441
80.000000 87.262 -16.1754
81.199997 87.194 -16.2613
82.500000 87.109 -16.3812
83.800003 87.037 -16.3368
85.000000 86.976 -16.4414
86.199997 86.931 -16.4883
87.500000 86.851 -16.9514
88.500000 86.765 -16.7879
90.000000 86.747 -17.1386
91.199997 86.580 -17.2188
92.500000 86.525 -16.5320
93.800003 86.499 -16.4473
95.000000 86.439 -16.5215
96.199997 86.341 -16.3654
97.500000 86.301 -16.0639
98.800003 86.252 -16.2319
100.000000 86.114 -15.8477
101.500000 86.208 -14.7238
103.000000 86.195 -15.0766
104.400002 86.187 -14.8534
106.000000 86.175 -14.5384
107.500000 86.173 -15.1758
109.000000 86.109 -15.2737
110.599998 86.064 -15.4949
112.000000 86.032 -15.5115
113.800003 85.978 -15.5896
115.000000 85.932 -15.6200
117.199997 85.832 -15.4830
118.000000 85.792 -15.4003
120.599998 85.725 -15.4263
122.000000 85.702 -15.2871
124.099998 85.631 -14.9620
125.000000 85.620 -15.0107
126.500000 85.559 -15.0004
128.000000 85.480 -14.8786
131.500000 85.399 -14.5605
132.000000 85.380 -14.4995
134.000000 85.364 -14.3233
136.000000 85.288 -14.1230
138.000000 85.247 -13.9243
140.000000 85.202 -13.5651
143.000000 85.124 -13.3602
145.000000 85.083 -13.2243
147.500000 85.012 -13.0974
150.000000 84.973 -12.7585
152.500000 84.948 -12.4099
155.000000 84.892 -11.9348
157.500000 84.859 -11.6512
160.000000 84.826 -11.3566
162.500000 84.795 -11.1239
165.000000 84.758 -10.8303
167.500000 84.725 -10.5392
170.000000 84.678 -10.2620
172.500000 84.643 -10.0697
175.000000 84.656 -9.7715
177.500000 84.582 -9.4437
180.000000 84.534 -9.1381
182.500000 84.526 -8.9849
185.000000 84.483 -8.7264
187.500000 84.469 -8.4208
190.000000 84.476 -8.2007
192.500000 84.476 -8.0244
195.000000 84.456 -7.6290
197.500000 84.470 -7.2294
200.000000 84.421 -7.0422
203.000000 84.403 -6.7252
206.000000 84.393 -6.3867
209.000000 84.375 -6.0643
212.000000 84.362 -5.7294
214.000000 84.358 -5.5691
218.000000 84.353 -5.0955
220.000000 84.332 -4.9277
224.000000 84.329 -4.5831
227.000000 84.337 -4.2719
230.000000 84.335 -4.1156
233.000000 84.323 -3.8861
236.000000 84.330 -3.6044
240.000000 84.299 -3.1667
243.000000 84.298 -2.9353
247.000000 84.302 -2.7458
250.000000 84.305 -2.4894
254.000000 84.276 -2.0259
258.000000 84.289 -1.7960
262.000000 84.296 -1.4657
265.000000 84.301 -1.1130
269.000000 84.299 -0.8976
272.000000 84.278 -0.7361
276.000000 84.263 -0.4274
280.000000 84.293 -0.2205
285.000000 84.307 0.0673
290.000000 84.319 0.4199
295.000000 84.315 0.8395
300.000000 84.313 1.1548
304.000000 84.322 1.1832
307.000000 84.334 1.4849
311.000000 84.306 1.5964
315.000000 84.336 1.9155
320.000000 84.334 2.0863
325.000000 84.350 2.4530
330.000000 84.321 2.6599
335.000000 84.357 2.9952
340.000000 84.335 3.0884
345.000000 84.357 3.4307
350.000000 84.382 3.6441
355.000000 84.362 3.7937
