* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 09:45:14 02-12-2023
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Blessing 3 R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 89.205 129.2019
1.015000 89.056 128.5618
1.030000 88.902 127.9366
1.044000 88.755 127.3676
1.060000 88.582 126.7356
1.075000 88.414 126.1620
1.090000 88.242 125.6076
1.106000 88.053 125.0310
1.120000 87.883 124.4969
1.138000 87.661 123.7659
1.150000 87.509 123.2565
1.172000 87.226 122.2900
1.180000 87.120 121.9317
1.206000 86.771 120.7591
1.220000 86.578 120.1319
1.241000 86.282 119.2124
1.250000 86.153 118.8303
1.265000 85.935 118.2151
1.280000 85.713 117.6329
1.315000 85.179 116.4430
1.320000 85.101 116.2961
1.340000 84.784 115.7768
1.360000 84.460 115.3791
1.380000 84.129 115.1199
1.400000 83.791 115.0159
1.430000 83.270 115.1876
1.450000 82.913 115.5449
1.475000 82.451 116.2909
1.500000 81.930 117.3513
1.525000 81.351 118.6964
1.550000 80.727 120.2999
1.575000 80.072 122.1359
1.600000 79.400 124.1781
1.625000 78.723 126.4004
1.650000 78.056 128.7766
1.675000 77.411 131.2807
1.700000 76.802 133.8864
1.725000 76.244 136.5677
1.750000 75.748 139.2985
1.775000 75.329 142.0525
1.800000 75.000 144.8036
1.825000 74.774 147.5258
1.850000 74.661 150.3161
1.875000 74.652 153.4224
1.900000 74.735 156.7941
1.925000 74.898 160.3674
1.950000 75.128 164.0786
1.975000 75.414 167.8638
2.000000 75.745 171.6595
2.030000 76.183 176.1383
2.060000 76.647 -179.5699
2.090000 77.116 -175.5751
2.120000 77.569 -171.9875
2.140000 77.853 -169.8764
2.180000 78.348 -166.4744
2.200000 78.548 -165.2481
2.240000 78.925 -163.6646
2.270000 79.212 -163.1185
2.300000 79.499 -163.0427
2.330000 79.782 -163.3659
2.360000 80.059 -164.0165
2.400000 80.413 -165.2698
2.430000 80.663 -166.4064
2.470000 80.971 -168.0481
2.500000 81.178 -169.2814
2.540000 81.417 -170.7926
2.580000 81.607 -172.0503
2.620000 81.754 -173.4010
2.650000 81.839 -174.5223
2.690000 81.923 -176.1363
2.720000 81.965 -177.4185
2.760000 81.996 -179.1979
2.800000 82.004 178.9718
2.850000 81.986 176.6613
2.900000 81.944 174.3836
2.950000 81.883 172.1817
3.000000 81.788 169.9336
3.040000 81.686 168.0951
3.070000 81.596 166.7037
3.110000 81.461 164.8452
3.150000 81.310 162.9980
3.200000 81.103 160.7305
3.250000 80.881 158.5390
3.300000 80.648 156.4556
3.350000 80.391 154.4184
3.400000 80.103 152.3927
3.450000 79.795 150.4135
3.500000 79.473 148.5160
3.550000 79.149 146.7353
3.600000 78.831 145.1064
3.650000 78.528 143.6646
3.700000 78.233 142.4322
3.750000 77.920 141.3838
3.820000 77.475 140.1808
3.870000 77.172 139.4793
3.950000 76.753 138.5671
4.000000 76.555 138.0927
4.060000 76.398 137.6315
4.120000 76.306 137.4702
4.180000 76.272 137.5094
4.250000 76.301 137.6182
4.310000 76.381 137.6025
4.370000 76.510 137.3356
4.440000 76.730 136.6065
4.500000 77.001 135.7774
4.550000 77.270 134.9609
4.620000 77.688 133.6346
4.680000 78.061 132.3355
4.750000 78.483 130.6408
4.820000 78.890 128.7007
4.870000 79.193 127.1298
4.940000 79.625 124.7511
5.000000 79.993 122.6175
5.080000 80.460 119.7576
5.150000 80.834 117.3379
5.220000 81.186 114.8764
5.300000 81.565 112.0152
5.380000 81.918 109.1936
5.450000 82.202 106.8321
5.520000 82.463 104.6250
5.600000 82.728 102.2058
5.700000 83.018 99.3498
5.800000 83.273 96.7599
5.900000 83.502 94.5127
6.000000 83.691 92.5855
6.080000 83.823 91.2572
6.150000 83.932 90.2452
6.220000 84.043 89.3691
6.300000 84.170 88.5665
6.400000 84.318 87.8622
6.500000 84.470 87.3776
6.600000 84.639 86.9926
6.700000 84.830 86.7647
6.800000 85.035 86.6913
6.900000 85.250 86.6339
7.000000 85.473 86.4746
7.100000 85.713 86.2822
7.200000 85.960 86.0472
7.300000 86.199 85.7261
7.400000 86.424 85.2828
7.500000 86.646 84.7346
7.620000 86.894 83.9923
7.750000 87.129 83.1376
7.880000 87.330 82.1871
8.000000 87.490 81.3001
8.120000 87.624 80.4774
8.250000 87.737 79.6189
8.380000 87.830 78.8302
8.500000 87.904 78.2038
8.620000 87.963 77.6650
8.750000 88.020 77.1489
8.850000 88.066 76.7901
9.000000 88.132 76.3391
9.120000 88.186 75.9908
9.250000 88.249 75.5841
9.380000 88.316 75.1713
9.500000 88.378 74.7462
9.620000 88.438 74.2551
9.750000 88.502 73.6658
9.880000 88.561 73.0215
10.000000 88.609 72.3719
10.150000 88.661 71.4947
10.300000 88.704 70.5859
10.440000 88.735 69.7045
10.600000 88.763 68.6784
10.750000 88.785 67.7193
10.900000 88.803 66.7551
11.060000 88.823 65.7252
11.200000 88.842 64.8241
11.380000 88.869 63.6541
11.500000 88.889 62.8641
11.720000 88.931 61.4006
11.800000 88.947 60.8626
12.060000 89.006 59.1024
12.200000 89.039 58.1617
12.410000 89.094 56.7634
12.500000 89.119 56.1773
12.650000 89.163 55.2157
12.800000 89.211 54.2747
13.150000 89.337 52.1654
13.200000 89.356 51.8718
13.400000 89.437 50.7159
13.600000 89.519 49.5906
13.800000 89.602 48.4934
14.000000 89.681 47.4440
14.300000 89.793 45.9732
14.500000 89.861 45.0856
14.750000 89.943 44.0825
15.000000 90.023 43.1938
15.250000 90.104 42.3887
15.500000 90.182 41.6286
15.750000 90.257 40.8923
16.000000 90.322 40.1570
16.250000 90.374 39.4339
16.500000 90.412 38.7329
16.750000 90.436 38.0736
17.000000 90.450 37.4636
17.250000 90.457 36.8950
17.500000 90.462 36.3549
17.750000 90.466 35.8083
18.000000 90.468 35.2375
18.250000 90.469 34.6233
18.500000 90.466 33.9593
18.750000 90.457 33.2538
19.000000 90.443 32.5152
19.250000 90.424 31.7652
19.500000 90.401 31.0169
19.750000 90.379 30.2802
20.000000 90.360 29.5622
20.299999 90.345 28.7136
20.600000 90.342 27.8600
20.900000 90.350 26.9756
21.200001 90.365 26.0400
21.400000 90.375 25.3919
21.799999 90.388 24.0832
22.000000 90.390 23.4535
22.400000 90.387 22.3119
22.700001 90.385 21.5799
23.000000 90.393 20.9295
23.299999 90.407 20.3024
23.600000 90.423 19.6599
24.000000 90.430 18.7764
24.299999 90.415 18.1581
24.700001 90.370 17.5180
25.000000 90.333 17.2279
25.400000 90.303 17.0454
25.799999 90.310 16.8969
26.200001 90.340 16.5741
26.500000 90.361 16.1805
26.900000 90.370 15.5215
27.200001 90.362 15.0084
27.600000 90.341 14.3722
28.000000 90.325 13.7784
28.500000 90.316 12.9843
29.000000 90.306 12.0785
29.500000 90.281 11.1671
30.000000 90.250 10.3847
30.400000 90.233 9.8567
30.700001 90.229 9.4861
31.100000 90.229 8.9839
31.500000 90.230 8.4608
32.000000 90.224 7.8106
32.500000 90.206 7.2191
33.000000 90.184 6.7009
33.500000 90.160 6.2215
34.000000 90.133 5.7470
34.500000 90.100 5.2808
35.000000 90.064 4.8377
35.500000 90.031 4.3975
36.000000 90.003 3.9112
36.500000 89.972 3.3630
37.000000 89.933 2.8045
37.500000 89.890 2.3025
38.200001 89.844 1.7009
38.700001 89.825 1.2678
39.500000 89.794 0.4907
40.000000 89.764 0.0220
40.599998 89.721 -0.4364
41.200001 89.685 -0.7966
41.799999 89.660 -1.1705
42.500000 89.624 -1.7157
43.099998 89.571 -2.1752
43.700001 89.513 -2.4875
44.400002 89.475 -2.7471
45.000000 89.467 -3.1103
45.500000 89.452 -3.5536
46.200001 89.401 -4.1644
46.799999 89.350 -4.4990
47.500000 89.317 -4.7914
48.200001 89.293 -5.1872
48.700001 89.266 -5.4943
49.400002 89.219 -5.8375
50.000000 89.184 -6.1005
50.799999 89.135 -6.5282
51.500000 89.076 -6.8781
52.200001 89.023 -7.1520
53.000000 88.974 -7.5155
53.799999 88.921 -7.9057
54.500000 88.879 -8.1912
55.200001 88.844 -8.5061
56.000000 88.792 -8.8205
57.000000 88.745 -9.0442
58.000000 88.685 -9.4273
59.000000 88.606 -9.3555
60.000000 88.623 -9.5343
60.799999 88.573 -10.1449
61.500000 88.489 -10.3522
62.200001 88.446 -10.4010
63.000000 88.412 -10.7378
64.000000 88.324 -11.1477
65.000000 88.254 -11.3147
66.000000 88.201 -11.5878
67.000000 88.126 -11.8170
68.000000 88.073 -11.8468
69.000000 88.038 -12.0802
70.000000 87.981 -12.2792
71.000000 87.937 -12.5095
72.000000 87.863 -12.7184
73.000000 87.815 -12.7245
74.000000 87.775 -12.9506
75.000000 87.714 -13.0708
76.199997 87.662 -13.2214
77.500000 87.588 -13.4325
78.800003 87.501 -13.5177
80.000000 87.443 -13.5034
81.199997 87.385 -13.6335
82.500000 87.308 -13.7521
83.800003 87.240 -13.6955
85.000000 87.182 -13.8467
86.199997 87.110 -13.6603
87.500000 87.062 -13.7058
88.500000 87.013 -13.5117
90.000000 86.944 -13.6893
91.199997 86.875 -13.2348
92.500000 86.861 -13.2183
93.800003 86.834 -13.0306
95.000000 86.814 -13.1364
96.199997 86.775 -13.0451
97.500000 86.754 -12.9196
98.800003 86.744 -13.0079
100.000000 86.697 -13.1080
101.500000 86.644 -13.1163
103.000000 86.589 -13.0877
104.400002 86.544 -13.0838
106.000000 86.477 -13.1032
107.500000 86.432 -13.0461
109.000000 86.370 -12.9557
110.599998 86.347 -12.8983
112.000000 86.271 -12.6902
113.800003 86.257 -12.5759
115.000000 86.184 -12.5128
117.199997 86.134 -12.2025
118.000000 86.111 -11.9019
120.599998 86.119 -11.6722
122.000000 85.981 -11.6952
124.099998 86.042 -11.1019
125.000000 85.922 -11.1395
126.500000 85.986 -10.9036
128.000000 85.917 -11.0798
131.500000 85.910 -11.1777
132.000000 85.901 -11.2031
134.000000 85.865 -11.1738
136.000000 85.822 -10.8385
138.000000 85.790 -10.9725
140.000000 85.759 -10.5591
143.000000 85.693 -10.3344
145.000000 85.655 -10.2005
147.500000 85.616 -9.9952
150.000000 85.601 -9.6766
152.500000 85.560 -9.5067
155.000000 85.516 -9.5362
157.500000 85.477 -9.1163
160.000000 85.429 -8.7855
162.500000 85.369 -8.4517
165.000000 85.338 -8.1482
167.500000 85.325 -7.9712
170.000000 85.306 -7.7576
172.500000 85.294 -7.5973
175.000000 85.280 -7.2839
177.500000 85.260 -7.1156
180.000000 85.228 -6.8318
182.500000 85.209 -6.6410
185.000000 85.222 -6.1200
187.500000 85.171 -6.1288
190.000000 85.155 -5.7455
192.500000 85.171 -5.6134
195.000000 85.118 -4.9599
197.500000 85.136 -4.9687
200.000000 85.120 -4.7431
203.000000 85.091 -4.5499
206.000000 85.093 -4.2418
209.000000 85.078 -3.8803
212.000000 85.044 -3.6840
214.000000 85.063 -3.6073
218.000000 85.032 -3.2046
220.000000 85.079 -3.1167
224.000000 85.045 -2.7523
227.000000 85.049 -2.4773
230.000000 85.047 -2.2865
233.000000 85.051 -2.0717
236.000000 85.044 -1.7311
240.000000 85.040 -1.4829
243.000000 85.045 -1.2366
247.000000 85.044 -0.9164
250.000000 85.037 -0.7015
254.000000 85.038 -0.4744
258.000000 85.049 -0.2383
262.000000 85.049 -0.0238
265.000000 85.047 0.2319
269.000000 85.050 0.4916
272.000000 85.058 0.7535
276.000000 85.056 0.8504
280.000000 85.064 1.0870
285.000000 85.077 1.3716
290.000000 85.075 1.6579
295.000000 85.073 1.9400
300.000000 85.090 2.1236
304.000000 85.105 2.3029
307.000000 85.104 2.4010
311.000000 85.109 2.6692
315.000000 85.106 2.8451
320.000000 85.107 3.0575
325.000000 85.113 3.3210
330.000000 85.137 3.3739
335.000000 85.135 3.7422
340.000000 85.136 3.8791
345.000000 85.146 4.0363
350.000000 85.149 4.3460
