* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 22:27:17 09-10-2023
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Blon BL03 cp100 L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 87.032 -170.0299
20.600000 87.036 -170.4822
20.900000 87.028 -170.8641
21.200001 87.013 -171.2349
21.400000 87.002 -171.4847
21.799999 86.974 -172.0008
22.000000 86.959 -172.2706
22.400000 86.926 -172.8357
22.700001 86.900 -173.2795
23.000000 86.875 -173.7372
23.299999 86.851 -174.2056
23.600000 86.829 -174.6811
24.000000 86.803 -175.3193
24.299999 86.787 -175.7963
24.700001 86.771 -176.4261
25.000000 86.761 -176.8931
25.400000 86.753 -177.5080
25.799999 86.745 -178.1095
26.200001 86.738 -178.6855
26.500000 86.731 -179.0923
26.900000 86.721 -179.5948
27.200001 86.713 -179.9438
27.600000 86.703 179.6185
28.000000 86.692 179.1979
28.500000 86.674 178.6833
29.000000 86.650 178.1828
29.500000 86.622 177.6995
30.000000 86.590 177.2224
30.400000 86.564 176.8325
30.700001 86.545 176.5310
31.100000 86.517 176.1168
31.500000 86.489 175.6931
32.000000 86.452 175.1606
32.500000 86.418 174.6344
33.000000 86.387 174.1150
33.500000 86.362 173.5925
34.000000 86.338 173.0615
34.500000 86.313 172.5388
35.000000 86.285 172.0548
35.500000 86.259 171.6240
36.000000 86.238 171.2242
36.500000 86.218 170.8233
37.000000 86.196 170.4154
37.500000 86.169 170.0194
38.200001 86.127 169.4935
38.700001 86.096 169.1130
39.500000 86.038 168.4909
40.000000 85.999 168.1252
40.599998 85.958 167.6999
41.200001 85.922 167.2329
41.799999 85.882 166.7193
42.500000 85.829 166.1417
43.099998 85.784 165.7062
43.700001 85.744 165.3004
44.400002 85.701 164.8433
45.000000 85.668 164.4651
45.500000 85.641 164.1358
46.200001 85.595 163.6313
46.799999 85.535 163.2452
47.500000 85.463 163.0008
48.200001 85.423 162.8340
48.700001 85.407 162.5767
49.400002 85.354 162.0348
50.000000 85.272 161.6880
50.799999 85.171 161.5853
51.500000 85.117 161.5475
52.200001 85.067 161.4614
53.000000 85.018 161.5029
53.799999 85.009 161.5412
54.500000 85.011 161.4310
55.200001 85.016 161.3149
56.000000 85.047 161.0629
57.000000 85.058 160.3057
58.000000 85.007 159.7679
59.000000 84.996 159.3381
60.000000 84.958 158.6652
60.799999 84.910 158.2996
61.500000 84.877 158.0106
62.200001 84.838 157.7465
63.000000 84.807 157.5585
64.000000 84.796 157.1389
65.000000 84.756 156.6297
66.000000 84.728 156.1699
67.000000 84.680 155.5483
68.000000 84.618 155.1427
69.000000 84.579 154.7147
70.000000 84.529 154.2307
71.000000 84.480 153.8034
72.000000 84.429 153.3347
73.000000 84.369 152.9024
74.000000 84.309 152.5304
75.000000 84.252 152.1719
76.199997 84.177 151.7408
77.500000 84.098 151.3701
78.800003 84.025 150.9697
80.000000 83.957 150.6062
81.199997 83.889 150.2586
82.500000 83.820 149.9146
83.800003 83.753 149.5410
85.000000 83.681 149.2256
86.199997 83.618 148.9680
87.500000 83.547 148.6330
88.500000 83.494 148.4024
90.000000 83.409 148.0438
91.199997 83.353 147.8146
92.500000 83.283 147.4803
93.800003 83.216 147.2451
95.000000 83.151 146.9926
96.199997 83.086 146.8019
97.500000 83.020 146.5768
98.800003 82.957 146.3766
100.000000 82.900 146.0916
101.500000 82.811 145.8502
103.000000 82.729 145.6210
104.400002 82.669 145.4462
106.000000 82.581 145.1682
107.500000 82.512 144.9914
109.000000 82.437 144.7813
110.599998 82.359 144.5734
112.000000 82.294 144.4659
113.800003 82.199 144.1830
115.000000 82.156 144.1248
117.199997 82.049 143.8555
118.000000 82.011 143.7385
120.599998 81.888 143.5014
122.000000 81.828 143.3975
124.099998 81.728 143.2416
125.000000 81.693 143.1421
126.500000 81.621 143.0248
128.000000 81.559 142.8905
131.500000 81.406 142.6318
132.000000 81.380 142.6262
134.000000 81.297 142.5297
136.000000 81.211 142.4098
138.000000 81.137 142.3107
140.000000 81.045 142.2687
143.000000 80.919 142.1677
145.000000 80.843 141.9590
147.500000 80.752 141.8708
150.000000 80.656 141.8734
152.500000 80.543 141.8486
155.000000 80.440 141.6753
157.500000 80.363 141.6791
160.000000 80.264 141.7455
162.500000 80.160 141.5938
165.000000 80.084 141.5806
167.500000 79.989 141.6234
170.000000 79.901 141.5532
172.500000 79.804 141.6731
175.000000 79.725 141.5811
177.500000 79.622 141.6801
180.000000 79.549 141.6534
182.500000 79.462 141.7706
185.000000 79.387 141.7025
187.500000 79.297 141.8289
190.000000 79.218 141.8333
192.500000 79.124 141.9431
195.000000 79.059 142.0233
197.500000 78.977 142.0345
200.000000 78.894 142.0878
203.000000 78.809 142.2905
206.000000 78.730 142.3660
209.000000 78.629 142.4530
212.000000 78.551 142.5897
214.000000 78.489 142.6525
218.000000 78.373 142.8625
220.000000 78.323 142.9104
224.000000 78.210 143.1125
227.000000 78.138 143.3104
230.000000 78.058 143.3942
233.000000 77.983 143.5820
236.000000 77.910 143.7244
240.000000 77.792 143.9863
243.000000 77.727 144.2053
247.000000 77.616 144.3473
250.000000 77.541 144.5785
254.000000 77.461 144.8112
258.000000 77.371 145.1262
262.000000 77.283 145.3188
265.000000 77.224 145.5376
269.000000 77.130 145.8617
272.000000 77.075 146.0517
276.000000 76.973 146.2533
280.000000 76.898 146.5272
285.000000 76.795 146.9663
290.000000 76.700 147.3605
295.000000 76.594 147.6380
300.000000 76.499 147.9834
304.000000 76.428 148.3271
307.000000 76.371 148.6326
311.000000 76.302 148.8718
315.000000 76.232 149.2608
320.000000 76.143 149.6563
325.000000 76.054 150.0732
330.000000 75.969 150.5061
335.000000 75.898 150.8760
340.000000 75.820 151.3040
345.000000 75.736 151.7608
350.000000 75.658 152.1417
355.000000 75.576 152.5492
360.000000 75.508 152.8848
365.000000 75.451 153.3988
370.000000 75.370 153.7412
375.000000 75.305 154.2395
382.000000 75.212 154.8042
387.000000 75.161 155.1873
395.000000 75.048 155.9125
400.000000 74.996 156.3483
406.000000 74.922 156.8528
412.000000 74.861 157.3383
418.000000 74.775 157.9343
425.000000 74.718 158.5605
431.000000 74.660 158.9633
437.000000 74.593 159.5361
444.000000 74.528 160.0576
450.000000 74.472 160.6964
455.000000 74.426 161.1046
462.000000 74.364 161.6648
468.000000 74.327 162.2588
475.000000 74.265 162.7690
482.000000 74.206 163.3658
487.000000 74.178 163.9013
494.000000 74.130 164.3053
500.000000 74.067 164.8358
508.000000 74.002 165.3380
515.000000 73.942 165.7146
522.000000 73.853 165.8834
530.000000 73.638 167.0151
538.000000 73.605 168.6011
545.000000 73.614 169.6222
552.000000 73.634 170.1932
560.000000 73.603 170.8162
570.000000 73.583 171.7557
580.000000 73.550 172.5551
590.000000 73.494 173.4913
600.000000 73.458 174.3696
608.000000 73.436 175.1506
615.000000 73.403 175.8675
622.000000 73.370 176.4400
630.000000 73.338 177.4239
640.000000 73.299 178.3439
650.000000 73.334 179.4960
660.000000 73.350 -179.5615
670.000000 73.367 -178.7664
680.000000 73.387 -178.0241
690.000000 73.372 -177.3687
700.000000 73.382 -176.4850
710.000000 73.370 -175.5991
720.000000 73.366 -174.9682
730.000000 73.361 -174.2133
740.000000 73.373 -173.1698
750.000000 73.377 -172.4653
762.000000 73.390 -171.3491
775.000000 73.428 -170.2908
788.000000 73.444 -169.2358
800.000000 73.462 -168.2673
812.000000 73.491 -167.3599
825.000000 73.541 -166.2662
838.000000 73.581 -165.3645
850.000000 73.625 -164.3276
862.000000 73.690 -163.3199
875.000000 73.741 -162.3248
885.000000 73.782 -161.5346
900.000000 73.876 -160.5005
912.000000 73.928 -159.7049
925.000000 74.017 -158.7931
938.000000 74.098 -157.9870
950.000000 74.180 -157.0616
962.000000 74.259 -156.3719
975.000000 74.351 -155.6489
988.000000 74.466 -154.9216
1000.000000 74.561 -154.6241
1015.000000 74.661 -153.4684
1030.000000 74.791 -152.7450
1044.000000 74.919 -152.2365
1060.000000 75.046 -151.5160
1075.000000 75.171 -150.9456
1090.000000 75.297 -150.4022
1106.000000 75.417 -149.9313
1120.000000 75.525 -149.4489
1138.000000 75.679 -148.9038
1150.000000 75.763 -148.6791
1172.000000 75.951 -148.2456
1180.000000 76.010 -148.1083
1206.000000 76.189 -147.6775
1220.000000 76.296 -147.4350
1241.000000 76.443 -147.0962
1250.000000 76.503 -147.0215
1265.000000 76.616 -146.8043
1280.000000 76.704 -146.7127
1315.000000 76.942 -146.3738
1320.000000 76.971 -146.3532
1340.000000 77.087 -146.1962
1360.000000 77.209 -146.1005
1380.000000 77.333 -145.9386
1400.000000 77.442 -145.8232
1430.000000 77.597 -145.7786
1450.000000 77.698 -145.7748
1475.000000 77.829 -145.6987
1500.000000 77.968 -145.7192
1525.000000 78.088 -145.7059
1550.000000 78.196 -145.7172
1575.000000 78.322 -145.5938
1600.000000 78.409 -145.5247
1625.000000 78.535 -145.2896
1650.000000 78.650 -145.1526
1675.000000 78.792 -144.7484
1700.000000 78.986 -144.5011
1725.000000 79.203 -144.4269
1750.000000 79.420 -144.8184
1775.000000 79.618 -145.3382
1800.000000 79.784 -146.1261
1825.000000 79.938 -146.8391
1850.000000 80.046 -147.6307
1875.000000 80.158 -148.3784
1900.000000 80.260 -149.1426
1925.000000 80.345 -149.9235
1950.000000 80.427 -150.6153
1975.000000 80.493 -151.2839
2000.000000 80.553 -151.8711
2030.000000 80.635 -153.0678
2060.000000 80.695 -153.9095
2090.000000 80.727 -154.8229
2120.000000 80.770 -155.8516
2140.000000 80.794 -156.4700
2180.000000 80.795 -157.6076
2200.000000 80.809 -158.2505
2240.000000 80.800 -159.3277
2270.000000 80.771 -160.1754
2300.000000 80.756 -160.8838
2330.000000 80.709 -161.6327
2360.000000 80.671 -162.2348
2400.000000 80.602 -163.1389
2430.000000 80.535 -163.6120
2470.000000 80.460 -164.2734
2500.000000 80.390 -164.6554
2540.000000 80.299 -164.9239
2580.000000 80.231 -165.1604
2620.000000 80.192 -165.1462
2650.000000 80.162 -165.3004
2690.000000 80.153 -165.4840
2720.000000 80.134 -165.7298
2760.000000 80.101 -166.2549
2800.000000 80.048 -166.5815
2850.000000 79.982 -167.0438
2900.000000 79.898 -167.3267
2950.000000 79.815 -167.6492
3000.000000 79.747 -168.1270
3040.000000 79.695 -168.0746
3070.000000 79.630 -168.2097
3110.000000 79.570 -168.4741
3150.000000 79.474 -168.7818
3200.000000 79.323 -169.0687
3250.000000 79.115 -169.1082
3300.000000 78.883 -168.6586
3350.000000 78.666 -167.3781
3400.000000 78.531 -165.8935
3450.000000 78.494 -164.1638
3500.000000 78.535 -162.5203
3550.000000 78.605 -161.3212
3600.000000 78.730 -160.1528
3650.000000 78.836 -159.3117
3700.000000 78.952 -158.4193
3750.000000 79.099 -157.7098
3820.000000 79.308 -156.8536
3870.000000 79.471 -156.5742
3950.000000 79.742 -155.9939
4000.000000 79.946 -155.8303
4060.000000 80.168 -155.9616
4120.000000 80.405 -156.0933
4180.000000 80.682 -156.2861
4250.000000 80.992 -157.1730
4310.000000 81.262 -158.1998
4370.000000 81.514 -159.7175
4440.000000 81.790 -161.7859
4500.000000 81.970 -163.9539
4550.000000 82.094 -165.9589
4620.000000 82.191 -168.9682
4680.000000 82.214 -171.7985
4750.000000 82.148 -175.1860
4820.000000 81.995 -178.4926
4870.000000 81.819 179.2839
4940.000000 81.514 176.4658
5000.000000 81.225 174.3932
5080.000000 80.718 172.1252
5150.000000 80.258 170.5460
5220.000000 79.795 169.7458
5300.000000 79.265 169.2080
5380.000000 78.743 169.1412
5450.000000 78.312 169.6553
5520.000000 77.900 170.3137
5600.000000 77.472 171.1851
5700.000000 76.967 172.8771
5800.000000 76.474 174.9102
5900.000000 76.110 177.5205
6000.000000 75.766 179.9671
6080.000000 75.505 -177.7019
6150.000000 75.388 -175.3608
