* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 22:22:34 09-10-2023
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Blon BL03 cp100 R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 86.506 -169.0440
20.600000 86.513 -169.4955
20.900000 86.509 -169.8730
21.200001 86.500 -170.2390
21.400000 86.493 -170.4873
21.799999 86.473 -171.0053
22.000000 86.461 -171.2787
22.400000 86.435 -171.8534
22.700001 86.413 -172.3031
23.000000 86.392 -172.7635
23.299999 86.372 -173.2324
23.600000 86.354 -173.7090
24.000000 86.333 -174.3546
24.299999 86.320 -174.8431
24.700001 86.306 -175.4916
25.000000 86.297 -175.9690
25.400000 86.288 -176.5853
25.799999 86.280 -177.1731
26.200001 86.274 -177.7298
26.500000 86.270 -178.1260
26.900000 86.265 -178.6256
27.200001 86.260 -178.9800
27.600000 86.253 -179.4292
28.000000 86.244 -179.8584
28.500000 86.229 179.6239
29.000000 86.209 179.1206
29.500000 86.185 178.6262
30.000000 86.157 178.1323
30.400000 86.132 177.7338
30.700001 86.112 177.4340
31.100000 86.085 177.0361
31.500000 86.059 176.6414
32.000000 86.029 176.1457
32.500000 86.002 175.6361
33.000000 85.978 175.1158
33.500000 85.954 174.6042
34.000000 85.934 174.1146
34.500000 85.917 173.6357
35.000000 85.903 173.1508
35.500000 85.885 172.6654
36.000000 85.862 172.2074
36.500000 85.837 171.7946
37.000000 85.812 171.4164
37.500000 85.788 171.0486
38.200001 85.752 170.5273
38.700001 85.724 170.1516
39.500000 85.677 169.5430
40.000000 85.646 169.1544
40.599998 85.608 168.6848
41.200001 85.571 168.2201
41.799999 85.535 167.7608
42.500000 85.497 167.2266
43.099998 85.466 166.7727
43.700001 85.433 166.3383
44.400002 85.398 165.8674
45.000000 85.370 165.4730
45.500000 85.345 165.1362
46.200001 85.304 164.6825
46.799999 85.267 164.3414
47.500000 85.229 163.9479
48.200001 85.189 163.5038
48.700001 85.154 163.1949
49.400002 85.106 162.8308
50.000000 85.075 162.5234
50.799999 85.038 162.0214
51.500000 84.995 161.5715
52.200001 84.951 161.1800
53.000000 84.907 160.7477
53.799999 84.860 160.3224
54.500000 84.820 159.9791
55.200001 84.781 159.6383
56.000000 84.733 159.2574
57.000000 84.675 158.8114
58.000000 84.616 158.3324
59.000000 84.551 157.8696
60.000000 84.489 157.4192
60.799999 84.439 157.0521
61.500000 84.394 156.7499
62.200001 84.352 156.4510
63.000000 84.303 156.1016
64.000000 84.240 155.6847
65.000000 84.175 155.2909
66.000000 84.111 154.9356
67.000000 84.049 154.5671
68.000000 83.979 154.2074
69.000000 83.911 153.8861
70.000000 83.837 153.5512
71.000000 83.758 153.2979
72.000000 83.687 153.0771
73.000000 83.615 152.8570
74.000000 83.543 152.6939
75.000000 83.472 152.5989
76.199997 83.403 152.5948
77.500000 83.353 152.5620
78.800003 83.317 152.4990
80.000000 83.301 152.3252
81.199997 83.279 151.9827
82.500000 83.238 151.6103
83.800003 83.198 151.2077
85.000000 83.145 150.8405
86.199997 83.090 150.4969
87.500000 83.023 150.1684
88.500000 82.972 149.9302
90.000000 82.895 149.6209
91.199997 82.835 149.4022
92.500000 82.780 149.1788
93.800003 82.720 148.9370
95.000000 82.674 148.7335
96.199997 82.627 148.5048
97.500000 82.580 148.2114
98.800003 82.534 147.9747
100.000000 82.493 147.5740
101.500000 82.410 147.3096
103.000000 82.346 146.9869
104.400002 82.280 146.7686
106.000000 82.204 146.4639
107.500000 82.131 146.2013
109.000000 82.064 145.9426
110.599998 81.985 145.6523
112.000000 81.920 145.4387
113.800003 81.835 145.1621
115.000000 81.779 144.9910
117.199997 81.672 144.7021
118.000000 81.636 144.5942
120.599998 81.512 144.2528
122.000000 81.440 144.1115
124.099998 81.344 143.9080
125.000000 81.305 143.8174
126.500000 81.231 143.6393
128.000000 81.158 143.5213
131.500000 81.000 143.2319
132.000000 80.977 143.1917
134.000000 80.890 143.0511
136.000000 80.794 142.9619
138.000000 80.707 142.7851
140.000000 80.620 142.6787
143.000000 80.494 142.5316
145.000000 80.408 142.4562
147.500000 80.300 142.3575
150.000000 80.188 142.2738
152.500000 80.091 142.1819
155.000000 79.990 142.0965
157.500000 79.888 142.0573
160.000000 79.792 141.9698
162.500000 79.695 141.9861
165.000000 79.596 141.9882
167.500000 79.499 141.9987
170.000000 79.400 141.9321
172.500000 79.309 141.9681
175.000000 79.212 141.9620
177.500000 79.119 141.9683
180.000000 79.036 141.9923
182.500000 78.943 142.0007
185.000000 78.855 142.1019
187.500000 78.771 142.1722
190.000000 78.681 142.1658
192.500000 78.596 142.2665
195.000000 78.510 142.3111
197.500000 78.428 142.4330
200.000000 78.336 142.5027
203.000000 78.236 142.6075
206.000000 78.139 142.7014
209.000000 78.041 142.8154
212.000000 77.948 142.9684
214.000000 77.881 143.0761
218.000000 77.753 143.1934
220.000000 77.688 143.2931
224.000000 77.571 143.5294
227.000000 77.480 143.7131
230.000000 77.395 143.9136
233.000000 77.299 144.0349
236.000000 77.208 144.2844
240.000000 77.098 144.4860
243.000000 77.021 144.6703
247.000000 76.906 144.9487
250.000000 76.808 145.2345
254.000000 76.707 145.4593
258.000000 76.605 145.7222
262.000000 76.498 146.0506
265.000000 76.400 146.3492
269.000000 76.302 146.6382
272.000000 76.227 146.8677
276.000000 76.116 147.2269
280.000000 76.015 147.5557
285.000000 75.890 148.1159
290.000000 75.771 148.5029
295.000000 75.643 148.9903
300.000000 75.544 149.4720
304.000000 75.446 149.9111
307.000000 75.358 150.1853
311.000000 75.273 150.6676
315.000000 75.196 151.0828
320.000000 75.092 151.7076
325.000000 74.977 152.2687
330.000000 74.871 152.9088
335.000000 74.765 153.4875
340.000000 74.663 154.0837
345.000000 74.555 154.8090
350.000000 74.473 155.3543
355.000000 74.379 156.1628
360.000000 74.283 156.8387
365.000000 74.207 157.5159
370.000000 74.121 158.2585
375.000000 74.042 159.0004
382.000000 73.926 160.1094
387.000000 73.871 160.9227
395.000000 73.761 162.1461
400.000000 73.676 163.0119
406.000000 73.647 164.0370
412.000000 73.573 164.9465
418.000000 73.522 166.1508
425.000000 73.463 167.2896
431.000000 73.437 168.1750
437.000000 73.407 169.2927
444.000000 73.396 170.3810
450.000000 73.372 171.5114
455.000000 73.363 172.2508
462.000000 73.389 173.4384
468.000000 73.394 174.3193
475.000000 73.421 175.3988
482.000000 73.435 176.4094
487.000000 73.470 176.9830
494.000000 73.508 178.0143
500.000000 73.547 178.7127
508.000000 73.587 179.5604
515.000000 73.647 -179.7002
522.000000 73.680 -179.0305
530.000000 73.734 -178.3278
538.000000 73.739 -177.4190
545.000000 73.780 -176.6632
552.000000 73.840 -175.9359
560.000000 73.957 -175.3748
570.000000 74.054 -174.8058
580.000000 74.110 -174.4341
590.000000 74.156 -174.0161
600.000000 74.198 -173.4265
608.000000 74.231 -173.1989
615.000000 74.254 -172.8401
622.000000 74.283 -172.5090
630.000000 74.296 -172.1300
640.000000 74.312 -171.8440
650.000000 74.338 -171.2146
660.000000 74.353 -170.8932
670.000000 74.365 -170.3761
680.000000 74.379 -169.9421
690.000000 74.390 -169.5144
700.000000 74.397 -168.9034
710.000000 74.399 -168.4549
720.000000 74.406 -167.9100
730.000000 74.423 -167.4332
740.000000 74.433 -166.8578
750.000000 74.426 -166.2892
762.000000 74.453 -165.6510
775.000000 74.463 -164.8424
788.000000 74.492 -164.1445
800.000000 74.520 -163.5279
812.000000 74.547 -162.6961
825.000000 74.563 -161.9134
838.000000 74.596 -161.1396
850.000000 74.641 -160.4526
862.000000 74.676 -159.7273
875.000000 74.712 -158.8485
885.000000 74.759 -158.3142
900.000000 74.843 -157.4257
912.000000 74.877 -156.6560
925.000000 74.950 -155.9373
938.000000 75.041 -155.2029
950.000000 75.084 -154.5120
962.000000 75.153 -153.8610
975.000000 75.232 -153.1480
988.000000 75.318 -152.5490
1000.000000 75.404 -152.3187
1015.000000 75.503 -151.2097
1030.000000 75.599 -150.5425
1044.000000 75.691 -150.0461
1060.000000 75.812 -149.4810
1075.000000 75.928 -148.9381
1090.000000 76.037 -148.4382
1106.000000 76.153 -147.9870
1120.000000 76.254 -147.6131
1138.000000 76.384 -147.0032
1150.000000 76.479 -146.7958
1172.000000 76.645 -146.3208
1180.000000 76.697 -146.2285
1206.000000 76.867 -145.6405
1220.000000 76.983 -145.4865
1241.000000 77.114 -145.1180
1250.000000 77.174 -145.0094
1265.000000 77.275 -144.8015
1280.000000 77.375 -144.6341
1315.000000 77.596 -144.2539
1320.000000 77.639 -144.2684
1340.000000 77.752 -144.0343
1360.000000 77.869 -143.9062
1380.000000 78.002 -143.6653
1400.000000 78.114 -143.6178
1430.000000 78.295 -143.4287
1450.000000 78.409 -143.4366
1475.000000 78.569 -143.2865
1500.000000 78.704 -143.3517
1525.000000 78.847 -143.2403
1550.000000 78.973 -143.1974
1575.000000 79.111 -143.2558
1600.000000 79.245 -143.2153
1625.000000 79.380 -143.1846
1650.000000 79.500 -143.0021
1675.000000 79.649 -142.7886
1700.000000 79.836 -142.6835
1725.000000 80.065 -142.6283
1750.000000 80.289 -142.9350
1775.000000 80.510 -143.4869
1800.000000 80.706 -144.2494
1825.000000 80.878 -145.1631
1850.000000 81.021 -146.0124
1875.000000 81.155 -146.9535
1900.000000 81.270 -147.9516
1925.000000 81.370 -148.9145
1950.000000 81.479 -149.9113
1975.000000 81.564 -150.8416
2000.000000 81.614 -151.6618
2030.000000 81.699 -153.0226
2060.000000 81.749 -154.3449
2090.000000 81.799 -155.6130
2120.000000 81.821 -156.8205
2140.000000 81.825 -157.6814
2180.000000 81.825 -159.2433
2200.000000 81.811 -160.0147
2240.000000 81.761 -161.5544
2270.000000 81.717 -162.5089
2300.000000 81.662 -163.5139
2330.000000 81.591 -164.4799
2360.000000 81.498 -165.3146
2400.000000 81.370 -166.2632
2430.000000 81.283 -166.9548
2470.000000 81.132 -167.6307
2500.000000 81.015 -167.9584
2540.000000 80.863 -168.4155
2580.000000 80.731 -168.4431
2620.000000 80.649 -168.4321
2650.000000 80.591 -168.3740
2690.000000 80.558 -168.4633
2720.000000 80.522 -168.7045
2760.000000 80.452 -168.9777
2800.000000 80.386 -169.3368
2850.000000 80.271 -169.5963
2900.000000 80.156 -169.7509
2950.000000 80.045 -169.8948
3000.000000 79.957 -170.2291
3040.000000 79.863 -169.8954
3070.000000 79.805 -169.9576
3110.000000 79.726 -169.9396
3150.000000 79.625 -170.1027
3200.000000 79.497 -170.1737
3250.000000 79.288 -170.1519
3300.000000 79.088 -169.7458
3350.000000 78.850 -168.6995
3400.000000 78.673 -167.1551
3450.000000 78.612 -165.2687
3500.000000 78.601 -163.5379
3550.000000 78.664 -162.0132
3600.000000 78.736 -160.6450
3650.000000 78.846 -159.3131
3700.000000 78.958 -158.3341
3750.000000 79.078 -157.4676
3820.000000 79.285 -156.1372
3870.000000 79.462 -155.5073
3950.000000 79.746 -154.5938
4000.000000 80.006 -154.1582
4060.000000 80.187 -153.7150
4120.000000 80.453 -153.4697
4180.000000 80.722 -153.5022
4250.000000 81.107 -153.7868
4310.000000 81.431 -154.3402
4370.000000 81.774 -155.6008
4440.000000 82.152 -157.3339
4500.000000 82.425 -159.3953
4550.000000 82.624 -161.4984
4620.000000 82.835 -164.8430
4680.000000 82.934 -167.8992
4750.000000 82.937 -171.7857
4820.000000 82.827 -175.6678
4870.000000 82.653 -178.1794
4940.000000 82.338 178.6936
5000.000000 82.050 176.8595
5080.000000 81.661 174.2679
5150.000000 81.261 172.0960
5220.000000 80.799 170.5524
5300.000000 80.216 169.4464
5380.000000 79.660 169.0175
5450.000000 79.182 169.0588
5520.000000 78.749 169.7027
5600.000000 78.266 170.4919
5700.000000 77.718 171.9886
5800.000000 77.244 173.9747
5900.000000 76.817 176.1898
6000.000000 76.432 178.6017
6080.000000 76.154 -179.1258
