* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 22:46:27 09-10-2023
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: CVJ KE-S L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 87.136 -169.9292
20.600000 87.142 -170.2856
20.900000 87.138 -170.5977
21.200001 87.129 -170.9256
21.400000 87.119 -171.1608
21.799999 87.091 -171.6658
22.000000 87.072 -171.9290
22.400000 87.028 -172.4552
22.700001 86.994 -172.8391
23.000000 86.962 -173.2161
23.299999 86.936 -173.6004
23.600000 86.913 -174.0034
24.000000 86.888 -174.5751
24.299999 86.870 -175.0167
24.700001 86.846 -175.5921
25.000000 86.831 -175.9963
25.400000 86.816 -176.4971
25.799999 86.809 -176.9777
26.200001 86.806 -177.4605
26.500000 86.802 -177.8200
26.900000 86.793 -178.2726
27.200001 86.784 -178.5751
27.600000 86.772 -178.9260
28.000000 86.763 -179.2465
28.500000 86.756 -179.6659
29.000000 86.740 179.8750
29.500000 86.714 179.4215
30.000000 86.683 179.0043
30.400000 86.661 178.6708
30.700001 86.645 178.4005
31.100000 86.622 178.0081
31.500000 86.593 177.6035
32.000000 86.554 177.1348
32.500000 86.521 176.7226
33.000000 86.502 176.3094
33.500000 86.490 175.8397
34.000000 86.475 175.3277
34.500000 86.452 174.8405
35.000000 86.426 174.4242
35.500000 86.404 174.0753
36.000000 86.388 173.7576
36.500000 86.376 173.4348
37.000000 86.363 173.0860
37.500000 86.343 172.7189
38.200001 86.301 172.2390
38.700001 86.267 171.9520
39.500000 86.224 171.5180
40.000000 86.201 171.2055
40.599998 86.170 170.7952
41.200001 86.137 170.3929
41.799999 86.109 170.0031
42.500000 86.081 169.5284
43.099998 86.055 169.1080
43.700001 86.027 168.7111
44.400002 85.994 168.3011
45.000000 85.968 167.9824
45.500000 85.947 167.7252
46.200001 85.916 167.3732
46.799999 85.889 167.0855
47.500000 85.857 166.7583
48.200001 85.827 166.4117
48.700001 85.803 166.1494
49.400002 85.768 165.7822
50.000000 85.739 165.4740
50.799999 85.702 165.0515
51.500000 85.668 164.6723
52.200001 85.632 164.3165
53.000000 85.594 163.9488
53.799999 85.558 163.5925
54.500000 85.527 163.2867
55.200001 85.495 162.9932
56.000000 85.459 162.6506
57.000000 85.407 162.2263
58.000000 85.356 161.8597
59.000000 85.310 161.4554
60.000000 85.257 161.0624
60.799999 85.219 160.7850
61.500000 85.189 160.5215
62.200001 85.157 160.2490
63.000000 85.119 159.9455
64.000000 85.067 159.5813
65.000000 85.018 159.2740
66.000000 84.978 158.9384
67.000000 84.931 158.5697
68.000000 84.881 158.2404
69.000000 84.835 157.9390
70.000000 84.792 157.6292
71.000000 84.744 157.3053
72.000000 84.694 157.0277
73.000000 84.650 156.7706
74.000000 84.607 156.4736
75.000000 84.557 156.1873
76.199997 84.501 155.9015
77.500000 84.441 155.5570
78.800003 84.382 155.2506
80.000000 84.326 154.9581
81.199997 84.272 154.6818
82.500000 84.210 154.3687
83.800003 84.149 154.1079
85.000000 84.097 153.8715
86.199997 84.047 153.6085
87.500000 83.986 153.3240
88.500000 83.941 153.1273
90.000000 83.872 152.8310
91.199997 83.818 152.6037
92.500000 83.755 152.3836
93.800003 83.703 152.1873
95.000000 83.651 151.9464
96.199997 83.594 151.7754
97.500000 83.542 151.5880
98.800003 83.481 151.3683
100.000000 83.427 151.2432
101.500000 83.367 151.0302
103.000000 83.306 150.8044
104.400002 83.243 150.5978
106.000000 83.172 150.3801
107.500000 83.110 150.2095
109.000000 83.041 150.0690
110.599998 82.977 149.8737
112.000000 82.921 149.7657
113.800003 82.845 149.5263
115.000000 82.795 149.4164
117.199997 82.710 149.2411
118.000000 82.678 149.1646
120.599998 82.571 148.9754
122.000000 82.520 148.8353
124.099998 82.433 148.7055
125.000000 82.400 148.6323
126.500000 82.342 148.4936
128.000000 82.281 148.4124
131.500000 82.149 148.2103
132.000000 82.130 148.1640
134.000000 82.044 148.0444
136.000000 81.971 147.9829
138.000000 81.889 147.9117
140.000000 81.812 147.8135
143.000000 81.692 147.7443
145.000000 81.621 147.6521
147.500000 81.523 147.6050
150.000000 81.426 147.6172
152.500000 81.327 147.5607
155.000000 81.227 147.4868
157.500000 81.129 147.4739
160.000000 81.025 147.5146
162.500000 80.925 147.5710
165.000000 80.820 147.6561
167.500000 80.707 147.8347
170.000000 80.591 148.2124
172.500000 80.487 148.7079
175.000000 80.423 149.3619
177.500000 80.413 150.0303
180.000000 80.451 150.3571
182.500000 80.476 150.2639
185.000000 80.455 149.9966
187.500000 80.418 149.7786
190.000000 80.351 149.5737
192.500000 80.285 149.4351
195.000000 80.214 149.3418
197.500000 80.139 149.2799
200.000000 80.062 149.2097
203.000000 79.975 149.2620
206.000000 79.897 149.3459
209.000000 79.807 149.4294
212.000000 79.733 149.5669
214.000000 79.672 149.6029
218.000000 79.566 149.8273
220.000000 79.516 149.9144
224.000000 79.406 150.1139
227.000000 79.331 150.2978
230.000000 79.260 150.5353
233.000000 79.193 150.7607
236.000000 79.132 150.9354
240.000000 79.041 151.2375
243.000000 78.982 151.4425
247.000000 78.900 151.7214
250.000000 78.839 151.8787
254.000000 78.770 152.0602
258.000000 78.691 152.2841
262.000000 78.616 152.5566
265.000000 78.555 152.6775
269.000000 78.476 152.9684
272.000000 78.406 153.1546
276.000000 78.333 153.3836
280.000000 78.252 153.6458
285.000000 78.146 154.0013
290.000000 78.038 154.4510
295.000000 77.948 154.7411
300.000000 77.833 155.1839
304.000000 77.756 155.5793
307.000000 77.688 155.8282
311.000000 77.601 156.2960
315.000000 77.508 156.8441
320.000000 77.401 157.5785
325.000000 77.312 158.6971
330.000000 77.285 159.9531
335.000000 77.388 160.8491
340.000000 77.470 161.0630
345.000000 77.486 160.6929
350.000000 77.423 160.5292
355.000000 77.341 160.5242
360.000000 77.244 160.6403
365.000000 77.149 161.0186
370.000000 77.053 161.5029
375.000000 76.963 162.0265
382.000000 76.882 163.0770
387.000000 76.860 163.7741
395.000000 76.868 164.4448
400.000000 76.853 164.5425
406.000000 76.793 164.9299
412.000000 76.734 165.1224
418.000000 76.669 165.4705
425.000000 76.610 166.0253
431.000000 76.540 166.3529
437.000000 76.482 166.9477
444.000000 76.416 167.5132
450.000000 76.367 167.9185
455.000000 76.312 168.4066
462.000000 76.265 168.9829
468.000000 76.205 169.5016
475.000000 76.150 170.0935
482.000000 76.097 170.6663
487.000000 76.074 171.1049
494.000000 76.019 171.6717
500.000000 75.983 172.1891
508.000000 75.930 172.8112
515.000000 75.890 173.4359
522.000000 75.846 174.0695
530.000000 75.809 174.7292
538.000000 75.767 175.3962
545.000000 75.724 175.9584
552.000000 75.688 176.5724
560.000000 75.635 177.2145
570.000000 75.608 178.0869
580.000000 75.520 178.9061
590.000000 75.467 179.8560
600.000000 75.422 -179.2419
608.000000 75.397 -178.4774
615.000000 75.358 -177.6793
622.000000 75.349 -177.0941
630.000000 75.321 -176.3277
640.000000 75.285 -175.3811
650.000000 75.258 -174.4759
660.000000 75.247 -173.4678
670.000000 75.215 -172.4179
680.000000 75.216 -171.4179
690.000000 75.209 -170.5405
700.000000 75.198 -169.4953
710.000000 75.203 -168.6498
720.000000 75.214 -167.5771
730.000000 75.206 -166.5731
740.000000 75.217 -165.7646
750.000000 75.231 -164.8122
762.000000 75.265 -163.7773
775.000000 75.264 -162.6130
788.000000 75.315 -161.2527
800.000000 75.333 -160.2148
812.000000 75.373 -159.0726
825.000000 75.401 -157.9631
838.000000 75.472 -156.6850
850.000000 75.535 -155.7005
862.000000 75.574 -154.5806
875.000000 75.643 -153.4464
885.000000 75.686 -152.5437
900.000000 75.778 -151.3780
912.000000 75.850 -150.2875
925.000000 75.929 -149.2259
938.000000 76.048 -148.1615
950.000000 76.135 -147.2880
962.000000 76.213 -146.4279
975.000000 76.331 -145.4265
988.000000 76.446 -144.5341
1000.000000 76.581 -143.5291
1015.000000 76.675 -142.6735
1030.000000 76.809 -141.8556
1044.000000 76.942 -141.0863
1060.000000 77.099 -140.2047
1075.000000 77.237 -139.4718
1090.000000 77.381 -138.6418
1106.000000 77.539 -137.9212
1120.000000 77.675 -137.4617
1138.000000 77.837 -136.7137
1150.000000 77.974 -136.4034
1172.000000 78.167 -135.6586
1180.000000 78.242 -135.3811
1206.000000 78.455 -134.6426
1220.000000 78.586 -134.2720
1241.000000 78.768 -133.7183
1250.000000 78.841 -133.5544
1265.000000 78.962 -133.3458
1280.000000 79.095 -132.9471
1315.000000 79.363 -132.1836
1320.000000 79.408 -132.0544
1340.000000 79.563 -131.7882
1360.000000 79.717 -131.3299
1380.000000 79.874 -131.0011
1400.000000 80.021 -130.6724
1430.000000 80.255 -130.2537
1450.000000 80.395 -129.8627
1475.000000 80.589 -129.4436
1500.000000 80.781 -129.0899
1525.000000 80.980 -128.7524
1550.000000 81.166 -128.5159
1575.000000 81.372 -128.1262
1600.000000 81.571 -127.9439
1625.000000 81.779 -127.7371
1650.000000 81.993 -127.5913
1675.000000 82.193 -127.3847
1700.000000 82.409 -127.2807
1725.000000 82.626 -127.2679
1750.000000 82.846 -127.2918
1775.000000 83.067 -127.3545
1800.000000 83.285 -127.4828
1825.000000 83.507 -127.7331
1850.000000 83.725 -128.0083
1875.000000 83.946 -128.3273
1900.000000 84.168 -128.7442
1925.000000 84.389 -129.2499
1950.000000 84.605 -129.8411
1975.000000 84.810 -130.5304
2000.000000 85.041 -131.3080
2030.000000 85.258 -132.2332
2060.000000 85.484 -133.3544
2090.000000 85.705 -134.6203
2120.000000 85.913 -135.9289
2140.000000 86.040 -136.8864
2180.000000 86.264 -138.9520
2200.000000 86.368 -139.9942
2240.000000 86.554 -142.1941
2270.000000 86.659 -143.9733
2300.000000 86.746 -145.6797
2330.000000 86.815 -147.4810
2360.000000 86.860 -149.2596
2400.000000 86.886 -151.5882
2430.000000 86.875 -153.2681
2470.000000 86.850 -155.3788
2500.000000 86.808 -156.9458
2540.000000 86.738 -158.8118
2580.000000 86.641 -160.5590
2620.000000 86.532 -162.1548
2650.000000 86.444 -163.2477
2690.000000 86.320 -164.4866
2720.000000 86.221 -165.3163
2760.000000 86.092 -166.3278
2800.000000 85.966 -167.1316
2850.000000 85.812 -168.0042
2900.000000 85.681 -168.6685
2950.000000 85.540 -169.1677
3000.000000 85.431 -169.6634
3040.000000 85.358 -169.7359
3070.000000 85.305 -169.8568
3110.000000 85.234 -169.9661
3150.000000 85.188 -170.0316
3200.000000 85.139 -170.0413
3250.000000 85.111 -170.0333
3300.000000 85.116 -170.0426
3350.000000 85.130 -169.9513
3400.000000 85.153 -169.9727
3450.000000 85.212 -169.9758
3500.000000 85.285 -169.9958
3550.000000 85.386 -170.1104
3600.000000 85.529 -170.3861
3650.000000 85.677 -170.8364
3700.000000 85.822 -171.5804
3750.000000 85.988 -172.4371
3820.000000 86.209 -174.1775
3870.000000 86.369 -175.6283
3950.000000 86.593 -178.6293
4000.000000 86.703 179.3104
4060.000000 86.803 176.2917
4120.000000 86.829 173.0016
4180.000000 86.796 169.6390
4250.000000 86.655 165.5426
4310.000000 86.468 162.0166
4370.000000 86.210 158.6291
4440.000000 85.825 154.9128
4500.000000 85.417 152.0358
4550.000000 85.035 149.9762
4620.000000 84.455 147.6969
4680.000000 83.945 146.1289
4750.000000 83.331 144.9181
4820.000000 82.726 144.2735
4870.000000 82.292 144.1751
4940.000000 81.722 144.3065
5000.000000 81.262 144.5569
5080.000000 80.663 145.4215
5150.000000 80.176 146.4381
5220.000000 79.685 147.6077
5300.000000 79.175 149.4584
5380.000000 78.720 151.0698
5450.000000 78.327 152.8929
5520.000000 77.965 154.7330
5600.000000 77.587 157.0398
5700.000000 77.139 160.1097
5800.000000 76.726 163.7355
5900.000000 76.392 167.3799
6000.000000 76.211 171.2118
6080.000000 76.048 174.5591
6150.000000 75.966 177.2918
6220.000000 75.915 -179.8488
