* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 22:51:13 09-10-2023
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: CVJ KE-S R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 86.352 -164.2119
20.600000 86.361 -164.6169
20.900000 86.362 -164.9568
21.200001 86.362 -165.3081
21.400000 86.359 -165.5636
21.799999 86.346 -166.1272
22.000000 86.335 -166.4293
22.400000 86.304 -167.0432
22.700001 86.276 -167.4864
23.000000 86.249 -167.9039
23.299999 86.228 -168.3083
23.600000 86.213 -168.7198
24.000000 86.203 -169.3082
24.299999 86.199 -169.7858
24.700001 86.191 -170.4508
25.000000 86.184 -170.9446
25.400000 86.172 -171.5662
25.799999 86.160 -172.1312
26.200001 86.150 -172.6412
26.500000 86.144 -172.9907
26.900000 86.138 -173.4162
27.200001 86.136 -173.7114
27.600000 86.136 -174.0914
28.000000 86.138 -174.4843
28.500000 86.134 -175.0133
29.000000 86.117 -175.5474
29.500000 86.090 -176.0315
30.000000 86.063 -176.4731
30.400000 86.046 -176.8409
30.700001 86.032 -177.1409
31.100000 86.010 -177.5597
31.500000 85.983 -177.9664
32.000000 85.952 -178.4247
32.500000 85.934 -178.8681
33.000000 85.926 -179.3774
33.500000 85.914 -179.9585
34.000000 85.890 179.4758
34.500000 85.861 179.0069
35.000000 85.840 178.6291
35.500000 85.829 178.2785
36.000000 85.822 177.9115
36.500000 85.814 177.5275
37.000000 85.802 177.1407
37.500000 85.786 176.7604
38.200001 85.758 176.2491
38.700001 85.736 175.8922
39.500000 85.698 175.2941
40.000000 85.669 174.9141
40.599998 85.633 174.4882
41.200001 85.603 174.0806
41.799999 85.576 173.6522
42.500000 85.540 173.1690
43.099998 85.514 172.8306
43.700001 85.503 172.4983
44.400002 85.494 172.0138
45.000000 85.474 171.5696
45.500000 85.451 171.2512
46.200001 85.421 170.8625
46.799999 85.398 170.5168
47.500000 85.363 170.1250
48.200001 85.331 169.7816
48.700001 85.312 169.5265
49.400002 85.285 169.1229
50.000000 85.257 168.7783
50.799999 85.220 168.3465
51.500000 85.189 167.9627
52.200001 85.155 167.6083
53.000000 85.121 167.2554
53.799999 85.094 166.8694
54.500000 85.064 166.5147
55.200001 85.030 166.1965
56.000000 84.993 165.8551
57.000000 84.949 165.4338
58.000000 84.908 164.9900
59.000000 84.861 164.5171
60.000000 84.814 164.0968
60.799999 84.778 163.7532
61.500000 84.744 163.4759
62.200001 84.715 163.2291
63.000000 84.686 162.9122
64.000000 84.640 162.5104
65.000000 84.598 162.1695
66.000000 84.556 161.7942
67.000000 84.509 161.4426
68.000000 84.465 161.1186
69.000000 84.424 160.7947
70.000000 84.381 160.4321
71.000000 84.330 160.1163
72.000000 84.287 159.8453
73.000000 84.247 159.5410
74.000000 84.206 159.2433
75.000000 84.166 158.9372
76.199997 84.113 158.5796
77.500000 84.058 158.2420
78.800003 84.004 157.8838
80.000000 83.949 157.5662
81.199997 83.895 157.2772
82.500000 83.838 156.9323
83.800003 83.775 156.6293
85.000000 83.727 156.3672
86.199997 83.675 156.0825
87.500000 83.618 155.8132
88.500000 83.575 155.6135
90.000000 83.510 155.3196
91.199997 83.459 155.0815
92.500000 83.402 154.8225
93.800003 83.346 154.5807
95.000000 83.297 154.3579
96.199997 83.246 154.1406
97.500000 83.194 153.9479
98.800003 83.140 153.7224
100.000000 83.091 153.5593
101.500000 83.028 153.2934
103.000000 82.966 153.1043
104.400002 82.907 152.8706
106.000000 82.848 152.6559
107.500000 82.781 152.4403
109.000000 82.717 152.2628
110.599998 82.657 152.0887
112.000000 82.600 151.9173
113.800003 82.533 151.7074
115.000000 82.487 151.5552
117.199997 82.399 151.3542
118.000000 82.364 151.2505
120.599998 82.257 151.0503
122.000000 82.202 150.9472
124.099998 82.120 150.7744
125.000000 82.088 150.7102
126.500000 82.036 150.5696
128.000000 81.969 150.4363
131.500000 81.845 150.2384
132.000000 81.825 150.1828
134.000000 81.743 150.0772
136.000000 81.668 149.9902
138.000000 81.590 149.8452
140.000000 81.520 149.7527
143.000000 81.416 149.6538
145.000000 81.333 149.5527
147.500000 81.242 149.4808
150.000000 81.145 149.3925
152.500000 81.054 149.3323
155.000000 80.959 149.3083
157.500000 80.862 149.3075
160.000000 80.763 149.2917
162.500000 80.658 149.3761
165.000000 80.561 149.3961
167.500000 80.450 149.4426
170.000000 80.330 149.6110
172.500000 80.215 149.8201
175.000000 80.108 150.2318
177.500000 79.995 150.8188
180.000000 79.927 151.7007
182.500000 79.912 152.5789
185.000000 79.980 153.0474
187.500000 80.051 153.0124
190.000000 80.080 152.7413
192.500000 80.048 152.3597
195.000000 79.992 152.0630
197.500000 79.932 151.8602
200.000000 79.872 151.7205
203.000000 79.790 151.6613
206.000000 79.702 151.6481
209.000000 79.626 151.6830
212.000000 79.554 151.7609
214.000000 79.510 151.7724
218.000000 79.409 151.8262
220.000000 79.362 151.8964
224.000000 79.274 152.0119
227.000000 79.201 152.1183
230.000000 79.129 152.1776
233.000000 79.056 152.2991
236.000000 78.995 152.4174
240.000000 78.890 152.5565
243.000000 78.828 152.7490
247.000000 78.732 152.9220
250.000000 78.664 153.1369
254.000000 78.577 153.3114
258.000000 78.497 153.5565
262.000000 78.401 153.7869
265.000000 78.346 153.9590
269.000000 78.258 154.2500
272.000000 78.200 154.4485
276.000000 78.121 154.7556
280.000000 78.040 155.0112
285.000000 77.939 155.3909
290.000000 77.845 155.8026
295.000000 77.754 156.2237
300.000000 77.650 156.6408
304.000000 77.591 156.9344
307.000000 77.539 157.1918
311.000000 77.476 157.5070
315.000000 77.417 158.0089
320.000000 77.347 158.4616
325.000000 77.275 158.8704
330.000000 77.208 159.3062
335.000000 77.134 159.6700
340.000000 77.071 160.0954
345.000000 76.989 160.5303
350.000000 76.912 160.9681
355.000000 76.836 161.4789
360.000000 76.761 161.9780
365.000000 76.678 162.5551
370.000000 76.620 163.1678
375.000000 76.560 164.0226
382.000000 76.528 165.1656
387.000000 76.496 165.8731
395.000000 76.543 166.6689
400.000000 76.534 166.9200
406.000000 76.545 167.0814
412.000000 76.494 167.3425
418.000000 76.441 167.6592
425.000000 76.377 167.9734
431.000000 76.315 168.3721
437.000000 76.264 168.8405
444.000000 76.206 169.2636
450.000000 76.135 169.8140
455.000000 76.098 170.2666
462.000000 76.042 170.7419
468.000000 75.994 171.3169
475.000000 75.934 171.8820
482.000000 75.882 172.5424
487.000000 75.848 172.9658
494.000000 75.795 173.4925
500.000000 75.739 174.0431
508.000000 75.699 174.8300
515.000000 75.665 175.4601
522.000000 75.618 176.0018
530.000000 75.580 176.7570
538.000000 75.538 177.4901
545.000000 75.490 178.1164
552.000000 75.452 178.7263
560.000000 75.437 179.4625
570.000000 75.405 -179.5126
580.000000 75.352 -178.6727
590.000000 75.335 -177.7957
600.000000 75.296 -176.8638
608.000000 75.273 -176.1470
615.000000 75.258 -175.5011
622.000000 75.235 -174.9349
630.000000 75.213 -174.2031
640.000000 75.188 -173.2303
650.000000 75.191 -172.3864
660.000000 75.155 -171.4922
670.000000 75.165 -170.5044
680.000000 75.130 -169.6029
690.000000 75.122 -168.7238
700.000000 75.125 -167.7603
710.000000 75.135 -166.8015
720.000000 75.146 -165.9622
730.000000 75.133 -164.9677
740.000000 75.152 -164.0025
750.000000 75.155 -163.2303
762.000000 75.172 -162.0532
775.000000 75.198 -160.8937
788.000000 75.229 -159.6985
800.000000 75.259 -158.6139
812.000000 75.291 -157.4578
825.000000 75.322 -156.3405
838.000000 75.382 -155.2180
850.000000 75.429 -154.1965
862.000000 75.490 -153.0890
875.000000 75.574 -151.9948
885.000000 75.601 -151.1555
900.000000 75.690 -149.9403
912.000000 75.783 -148.9263
925.000000 75.847 -147.9680
938.000000 75.942 -146.8759
950.000000 76.036 -145.9814
962.000000 76.115 -145.1407
975.000000 76.222 -144.1658
988.000000 76.321 -143.2710
1000.000000 76.440 -142.7864
1015.000000 76.564 -141.4581
1030.000000 76.681 -140.5771
1044.000000 76.810 -139.7441
1060.000000 76.965 -138.8738
1075.000000 77.097 -138.0891
1090.000000 77.245 -137.3360
1106.000000 77.378 -136.5614
1120.000000 77.521 -136.0255
1138.000000 77.692 -135.3048
1150.000000 77.800 -134.8392
1172.000000 78.002 -134.0591
1180.000000 78.079 -133.8177
1206.000000 78.313 -133.0057
1220.000000 78.433 -132.6465
1241.000000 78.618 -132.0393
1250.000000 78.696 -131.7795
1265.000000 78.826 -131.5443
1280.000000 78.948 -131.1295
1315.000000 79.230 -130.3352
1320.000000 79.280 -130.2703
1340.000000 79.443 -129.8280
1360.000000 79.597 -129.4214
1380.000000 79.748 -129.0707
1400.000000 79.911 -128.7202
1430.000000 80.133 -128.2346
1450.000000 80.290 -127.8801
1475.000000 80.486 -127.4685
1500.000000 80.685 -127.1089
1525.000000 80.880 -126.7593
1550.000000 81.082 -126.4705
1575.000000 81.295 -126.1891
1600.000000 81.490 -125.8550
1625.000000 81.703 -125.6264
1650.000000 81.907 -125.5046
1675.000000 82.117 -125.3837
1700.000000 82.329 -125.2716
1725.000000 82.554 -125.2623
1750.000000 82.775 -125.2530
1775.000000 82.996 -125.3673
1800.000000 83.215 -125.4754
1825.000000 83.437 -125.6882
1850.000000 83.662 -126.0267
1875.000000 83.888 -126.3673
1900.000000 84.110 -126.7862
1925.000000 84.324 -127.3138
1950.000000 84.537 -127.8982
1975.000000 84.753 -128.5914
2000.000000 84.969 -129.2367
2030.000000 85.211 -130.4093
2060.000000 85.432 -131.5454
2090.000000 85.650 -132.7939
2120.000000 85.848 -134.1798
2140.000000 85.975 -135.1544
2180.000000 86.202 -137.2653
2200.000000 86.297 -138.3580
2240.000000 86.466 -140.6028
2270.000000 86.572 -142.3772
2300.000000 86.648 -144.1576
2330.000000 86.700 -145.9545
2360.000000 86.732 -147.7084
2400.000000 86.746 -150.0428
2430.000000 86.729 -151.7408
2470.000000 86.683 -153.8345
2500.000000 86.629 -155.3785
2540.000000 86.545 -157.2161
2580.000000 86.429 -158.8731
2620.000000 86.301 -160.4777
2650.000000 86.205 -161.4145
2690.000000 86.067 -162.5911
2720.000000 85.961 -163.3850
2760.000000 85.823 -164.3201
2800.000000 85.678 -165.0435
2850.000000 85.524 -165.7268
2900.000000 85.363 -166.2508
2950.000000 85.222 -166.6480
3000.000000 85.094 -166.9724
3040.000000 85.013 -166.9643
3070.000000 84.956 -166.9805
3110.000000 84.880 -166.9359
3150.000000 84.831 -166.8085
3200.000000 84.775 -166.6736
3250.000000 84.739 -166.4639
3300.000000 84.730 -166.2352
3350.000000 84.740 -165.9189
3400.000000 84.770 -165.6242
3450.000000 84.828 -165.3301
3500.000000 84.914 -164.9926
3550.000000 85.036 -164.7785
3600.000000 85.192 -164.8315
3650.000000 85.369 -165.1159
3700.000000 85.527 -165.6293
3750.000000 85.694 -166.2444
3820.000000 85.935 -167.4517
3870.000000 86.110 -168.5400
3950.000000 86.391 -170.5949
4000.000000 86.599 -172.1683
4060.000000 86.767 -174.7935
4120.000000 86.921 -177.7010
4180.000000 87.020 179.0432
4250.000000 87.056 174.7065
4310.000000 86.976 170.8134
4370.000000 86.809 166.8839
4440.000000 86.497 162.4802
4500.000000 86.140 158.9764
4550.000000 85.783 156.3591
4620.000000 85.220 153.3451
4680.000000 84.699 151.3929
4750.000000 84.081 149.6544
4820.000000 83.455 148.5299
4870.000000 83.019 147.9875
4940.000000 82.397 147.8244
5000.000000 81.889 148.1882
5080.000000 81.240 148.6404
5150.000000 80.711 149.6573
5220.000000 80.219 150.8005
5300.000000 79.697 152.4739
5380.000000 79.209 154.2784
5450.000000 78.824 156.0681
5520.000000 78.451 158.1353
5600.000000 78.111 160.4290
5700.000000 77.658 163.6074
5800.000000 77.305 167.0576
5900.000000 76.981 170.4908
6000.000000 76.771 173.9955
6080.000000 76.565 177.2764
