* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 17:29:28 05-04-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: DM 350 + 500 L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 84.716 121.3223
1.015000 84.546 120.4472
1.030000 84.370 119.5724
1.044000 84.199 118.7562
1.060000 83.998 117.8237
1.075000 83.801 116.9499
1.090000 83.597 116.0765
1.106000 83.379 115.1072
1.120000 83.233 114.0239
1.138000 83.108 112.2968
1.150000 83.058 110.9675
1.172000 83.019 108.2363
1.180000 83.018 107.1685
1.206000 83.040 103.5193
1.220000 83.059 101.4934
1.241000 83.076 98.4621
1.250000 83.075 97.1888
1.265000 83.055 95.1327
1.280000 83.005 93.1934
1.315000 82.726 89.3440
1.320000 82.664 88.8927
1.340000 82.342 87.3926
1.360000 81.894 86.4507
1.380000 81.300 86.1605
1.400000 80.540 86.6154
1.430000 79.046 88.8996
1.450000 77.786 91.6265
1.475000 75.842 96.6257
1.500000 73.186 104.0124
1.525000 69.864 113.5964
1.550000 66.010 125.0025
1.575000 61.756 137.8554
1.600000 57.236 151.7795
1.625000 52.585 166.3995
1.650000 47.935 -178.6599
1.675000 43.419 -163.7741
1.700000 39.172 -149.3185
1.725000 35.327 -135.6685
1.750000 32.018 -123.1995
1.775000 29.377 -112.2868
1.800000 27.538 -103.3058
1.825000 26.635 -96.6319
1.850000 26.783 -92.3582
1.875000 27.933 -89.8901
1.900000 29.951 -89.0001
1.925000 32.703 -89.4843
1.950000 36.056 -91.1385
1.975000 39.875 -93.7588
2.000000 44.027 -97.1410
2.030000 49.260 -101.9179
2.060000 54.547 -107.1455
2.090000 59.658 -112.4711
2.120000 64.361 -117.5419
2.140000 67.155 -120.6069
2.180000 71.616 -125.5091
2.200000 72.968 -127.1431
2.240000 73.066 -129.7929
2.270000 73.234 -131.6346
2.300000 73.466 -133.3693
2.330000 73.743 -135.0129
2.360000 74.049 -136.5816
2.400000 74.473 -138.5844
2.430000 74.779 -140.0407
2.470000 75.141 -141.9519
2.500000 75.355 -143.3832
2.540000 75.531 -145.3192
2.580000 75.581 -147.3187
2.620000 75.596 -149.3693
2.650000 75.576 -150.9219
2.690000 75.507 -152.9885
2.720000 75.423 -154.5200
2.760000 75.266 -156.5144
2.800000 75.058 -158.4280
2.850000 74.723 -160.6628
2.900000 74.302 -162.6704
2.950000 73.788 -164.5261
3.000000 73.138 -167.1648
3.040000 72.533 -169.6442
3.070000 72.040 -171.5079
3.110000 71.343 -173.7406
3.150000 70.618 -175.3906
3.200000 69.696 -176.1444
3.250000 68.787 -174.8584
3.300000 67.923 -170.9008
3.350000 66.947 -163.2195
3.400000 65.813 -152.1890
3.450000 64.633 -139.0143
3.500000 63.523 -124.9001
3.550000 62.596 -111.0512
3.600000 61.967 -98.6723
3.650000 61.750 -88.9681
3.700000 62.070 -82.3869
3.750000 62.929 -77.5686
3.820000 64.740 -73.1475
3.870000 66.252 -71.2701
3.950000 68.611 -69.7118
4.000000 69.798 -69.2056
4.060000 70.741 -68.8542
4.120000 71.412 -69.6752
4.180000 71.900 -71.4799
4.250000 72.292 -74.3173
4.310000 72.522 -76.9388
4.370000 72.698 -79.3305
4.440000 72.857 -81.6257
4.500000 72.901 -83.6891
4.550000 72.874 -85.4435
4.620000 72.750 -87.8281
4.680000 72.573 -89.6903
4.750000 72.297 -91.5009
4.820000 71.931 -93.0523
4.870000 71.599 -94.1767
4.940000 71.060 -95.5335
5.000000 70.550 -96.2750
5.080000 69.841 -96.2899
5.150000 69.213 -95.0499
5.220000 68.462 -92.5585
5.300000 67.520 -88.5404
5.380000 66.648 -83.7112
5.450000 66.074 -79.1794
5.520000 65.787 -74.5550
5.600000 65.790 -68.1430
5.700000 66.118 -59.3970
5.800000 66.602 -51.7903
5.900000 67.061 -47.2599
6.000000 67.650 -45.5282
6.080000 68.160 -45.4487
6.150000 68.558 -45.9419
6.220000 68.851 -46.6405
6.300000 69.049 -47.8099
6.400000 69.172 -50.2223
6.500000 69.161 -53.1779
6.600000 69.020 -56.1267
6.700000 68.740 -59.1831
6.800000 68.326 -62.4426
6.900000 67.797 -65.5744
7.000000 67.160 -68.3232
7.100000 66.379 -70.9775
7.200000 65.501 -73.3115
7.300000 64.591 -74.9533
7.400000 63.640 -75.5989
7.500000 62.591 -75.3953
7.620000 61.419 -74.4832
7.750000 60.521 -72.9968
7.880000 59.941 -70.2828
8.000000 59.657 -68.4062
8.120000 59.644 -68.8698
8.250000 59.978 -71.4887
8.380000 60.475 -75.6152
8.500000 60.938 -80.5847
8.620000 61.477 -86.9830
8.750000 62.078 -94.2814
8.850000 62.512 -99.4788
9.000000 63.156 -107.2703
9.120000 63.635 -112.9767
9.250000 64.085 -118.1801
9.380000 64.479 -122.5996
9.500000 64.807 -125.9012
9.620000 65.098 -128.3465
9.750000 65.371 -130.0945
9.880000 65.647 -131.1640
10.000000 65.921 -131.5370
10.150000 66.276 -131.2314
10.300000 66.666 -130.7314
10.440000 67.075 -130.0425
10.600000 67.549 -129.2197
10.750000 67.977 -128.6986
10.900000 68.391 -128.2928
11.060000 68.773 -127.9282
11.200000 69.059 -127.6958
11.380000 69.371 -127.3036
11.500000 69.538 -126.9379
11.720000 69.792 -126.0898
11.800000 69.877 -125.7022
12.060000 70.115 -124.2498
12.200000 70.239 -123.4760
12.410000 70.410 -122.3460
12.500000 70.472 -121.9365
12.650000 70.566 -121.3475
12.800000 70.636 -120.8381
13.150000 70.676 -119.9101
13.200000 70.670 -119.7716
13.400000 70.611 -119.1914
13.600000 70.530 -118.5374
13.800000 70.435 -117.7643
14.000000 70.351 -117.0628
14.300000 70.249 -116.2778
14.500000 70.191 -116.1724
14.750000 70.098 -116.5385
15.000000 69.967 -117.4403
15.250000 69.779 -118.6606
15.500000 69.563 -119.9810
15.750000 69.341 -121.3007
16.000000 69.161 -122.5516
16.250000 69.053 -123.9001
16.500000 69.021 -125.4327
16.750000 69.060 -127.2883
17.000000 69.135 -129.3812
17.250000 69.233 -131.5826
17.500000 69.339 -133.7061
17.750000 69.457 -135.5277
18.000000 69.596 -137.0098
18.250000 69.766 -138.1187
18.500000 69.968 -138.9756
18.750000 70.191 -139.6570
19.000000 70.421 -140.2325
19.250000 70.637 -140.7157
19.500000 70.832 -141.0685
19.750000 71.000 -141.2661
20.000000 71.146 -141.2864
20.299999 71.299 -141.1362
20.600000 71.427 -140.8688
20.900000 71.528 -140.5629
21.200001 71.594 -140.2521
21.400000 71.618 -140.0289
21.799999 71.626 -139.5398
22.000000 71.618 -139.2949
22.400000 71.587 -138.9077
22.700001 71.553 -138.8120
23.000000 71.499 -138.9304
23.299999 71.422 -139.2114
23.600000 71.328 -139.5851
24.000000 71.201 -140.1572
24.299999 71.127 -140.6675
24.700001 71.069 -141.5650
25.000000 71.051 -142.4445
25.400000 71.047 -143.8249
25.799999 71.059 -145.2415
26.200001 71.100 -146.5238
26.500000 71.155 -147.3759
26.900000 71.258 -148.3946
27.200001 71.347 -149.0745
27.600000 71.466 -149.8257
28.000000 71.581 -150.3397
28.500000 71.722 -150.6750
29.000000 71.850 -150.8274
29.500000 71.944 -150.8864
30.000000 71.998 -150.8462
30.400000 72.019 -150.7789
30.700001 72.023 -150.7499
31.100000 72.010 -150.7675
31.500000 71.979 -150.8283
32.000000 71.929 -150.9318
32.500000 71.894 -151.1567
33.000000 71.874 -151.6541
33.500000 71.849 -152.3831
34.000000 71.822 -153.1295
34.500000 71.819 -153.7911
35.000000 71.852 -154.4552
35.500000 71.901 -155.1736
36.000000 71.945 -155.8337
36.500000 71.988 -156.3209
37.000000 72.036 -156.6535
37.500000 72.085 -156.9050
38.200001 72.139 -157.1599
38.700001 72.169 -157.2946
39.500000 72.197 -157.5664
40.000000 72.197 -157.7796
40.599998 72.188 -158.0502
41.200001 72.176 -158.3609
41.799999 72.166 -158.7133
42.500000 72.161 -159.1183
43.099998 72.173 -159.4659
43.700001 72.195 -159.8630
44.400002 72.217 -160.3659
45.000000 72.223 -160.7238
45.500000 72.230 -160.9308
46.200001 72.253 -161.2224
46.799999 72.263 -161.5963
47.500000 72.240 -161.9662
48.200001 72.229 -162.1284
48.700001 72.243 -162.3210
49.400002 72.244 -162.7812
50.000000 72.223 -162.9994
50.799999 72.259 -163.0539
51.500000 72.325 -163.4889
52.200001 72.332 -164.0752
53.000000 72.314 -164.3283
53.799999 72.329 -164.4992
54.500000 72.332 -164.7294
55.200001 72.339 -164.8877
56.000000 72.364 -165.2817
57.000000 72.328 -165.8823
58.000000 72.342 -165.8582
59.000000 72.429 -166.5824
60.000000 72.351 -167.1560
60.799999 72.343 -166.7980
61.500000 72.395 -166.8656
62.200001 72.377 -167.1806
63.000000 72.327 -166.9657
64.000000 72.411 -166.8234
65.000000 72.434 -167.8125
66.000000 72.361 -168.2484
67.000000 72.389 -168.5161
68.000000 72.394 -169.0873
69.000000 72.395 -169.3027
70.000000 72.409 -169.5277
71.000000 72.411 -169.6239
72.000000 72.419 -169.7866
73.000000 72.408 -169.9888
74.000000 72.400 -170.2129
75.000000 72.384 -170.5072
76.199997 72.366 -170.7316
77.500000 72.376 -171.0604
78.800003 72.357 -171.3498
80.000000 72.368 -171.5184
81.199997 72.371 -171.7650
82.500000 72.382 -172.0351
83.800003 72.379 -172.2653
85.000000 72.384 -172.4912
86.199997 72.368 -172.7313
87.500000 72.357 -172.8962
88.500000 72.355 -173.1591
90.000000 72.328 -173.4289
91.199997 72.342 -173.6385
92.500000 72.337 -173.8403
93.800003 72.337 -174.0006
95.000000 72.334 -174.0685
96.199997 72.322 -174.3884
97.500000 72.274 -174.4489
98.800003 72.277 -174.7804
100.000000 72.214 -174.8951
101.500000 72.259 -174.9283
103.000000 72.251 -175.2899
104.400002 72.237 -175.4780
106.000000 72.233 -175.7151
107.500000 72.192 -175.7105
109.000000 72.194 -175.8463
110.599998 72.168 -175.9374
112.000000 72.159 -175.8792
113.800003 72.167 -175.9791
115.000000 72.173 -175.9890
117.199997 72.188 -176.2760
118.000000 72.168 -176.2853
120.599998 72.189 -176.5667
122.000000 72.184 -176.8820
124.099998 72.181 -176.9966
125.000000 72.173 -177.1367
126.500000 72.176 -177.1903
128.000000 72.145 -177.4463
131.500000 72.126 -177.6885
132.000000 72.134 -177.7967
134.000000 72.093 -177.9964
136.000000 72.096 -178.1675
138.000000 72.085 -178.2855
140.000000 72.089 -178.6662
143.000000 72.040 -178.6580
145.000000 72.004 -178.8117
147.500000 72.015 -178.8292
150.000000 71.952 -179.3930
152.500000 71.973 -179.5341
155.000000 71.933 -179.6089
157.500000 71.923 -179.6895
160.000000 71.870 -179.7621
162.500000 71.868 179.9756
165.000000 71.838 -179.9272
167.500000 71.813 179.8357
170.000000 71.759 179.8280
172.500000 71.735 179.6649
175.000000 71.710 179.5718
177.500000 71.678 179.6716
180.000000 71.632 179.7865
182.500000 71.606 -179.9337
185.000000 71.606 -179.7460
187.500000 71.648 -179.6061
190.000000 71.677 -179.6487
192.500000 71.671 -179.9551
195.000000 71.697 179.9006
197.500000 71.673 179.6174
200.000000 71.620 179.4810
203.000000 71.609 179.2918
206.000000 71.583 179.2296
209.000000 71.551 179.4030
212.000000 71.501 179.3472
214.000000 71.478 179.1003
218.000000 71.408 179.2342
220.000000 71.386 179.3714
224.000000 71.362 179.8199
227.000000 71.388 -179.8230
230.000000 71.434 -179.7340
233.000000 71.488 -179.6330
236.000000 71.519 -179.7532
240.000000 71.520 179.6873
243.000000 71.530 179.4144
247.000000 71.493 179.3237
250.000000 71.464 179.3921
254.000000 71.452 178.9064
258.000000 71.429 178.7419
262.000000 71.411 178.5902
265.000000 71.366 178.5448
269.000000 71.340 178.5240
272.000000 71.299 178.3911
276.000000 71.280 178.3527
280.000000 71.253 178.2585
285.000000 71.204 178.3327
290.000000 71.183 178.2394
