* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 15:10:42 05-04-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: DM L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 84.627 120.9396
1.015000 84.454 120.0315
1.030000 84.275 119.1194
1.044000 84.102 118.2643
1.060000 83.897 117.2821
1.075000 83.697 116.3561
1.090000 83.489 115.4250
1.106000 83.261 114.4456
1.120000 83.068 113.7077
1.138000 82.830 112.9286
1.150000 82.675 112.4993
1.172000 82.398 111.8598
1.180000 82.298 111.6645
1.206000 81.971 111.1166
1.220000 81.791 110.8494
1.241000 81.512 110.4399
1.250000 81.388 110.2492
1.265000 81.173 109.8945
1.280000 80.947 109.4763
1.315000 80.364 108.1378
1.320000 80.273 107.8940
1.340000 79.889 106.7572
1.360000 79.467 105.3251
1.380000 79.003 103.5492
1.400000 78.491 101.3810
1.430000 77.624 97.2869
1.450000 76.973 93.9255
1.475000 76.055 88.9124
1.500000 74.900 82.8541
1.525000 73.521 75.8433
1.550000 71.964 68.0184
1.575000 70.278 59.5175
1.600000 68.509 50.4790
1.625000 66.705 41.0410
1.650000 64.912 31.3419
1.675000 63.179 21.5198
1.700000 61.551 11.7129
1.725000 60.077 2.0597
1.750000 58.803 -7.3017
1.775000 57.778 -16.2331
1.800000 57.047 -24.5961
1.825000 56.658 -32.2526
1.850000 56.654 -39.2910
1.875000 57.020 -46.1752
1.900000 57.709 -52.9101
1.925000 58.671 -59.4782
1.950000 59.858 -65.8626
1.975000 61.222 -72.0458
2.000000 62.713 -78.0107
2.030000 64.603 -84.8561
2.060000 66.523 -91.3326
2.090000 68.388 -97.4104
2.120000 70.116 -103.0597
2.140000 71.150 -106.5732
2.180000 72.822 -112.9538
2.200000 73.411 -115.8024
2.240000 74.292 -120.5874
2.270000 74.785 -123.4053
2.300000 75.153 -125.6621
2.330000 75.413 -127.4474
2.360000 75.583 -128.8507
2.400000 75.699 -130.2825
2.430000 75.724 -131.1431
2.470000 75.709 -132.1764
2.500000 75.683 -132.9820
2.540000 75.661 -134.2673
2.580000 75.679 -135.9457
2.620000 75.664 -137.7662
2.650000 75.619 -139.1422
2.690000 75.515 -140.9426
2.720000 75.406 -142.2344
2.760000 75.220 -143.8305
2.800000 74.990 -145.2271
2.850000 74.645 -146.6005
2.900000 74.239 -147.4508
2.950000 73.764 -147.7164
3.000000 73.118 -147.7695
3.040000 72.501 -147.6370
3.070000 72.002 -147.3806
3.110000 71.318 -146.7617
3.150000 70.644 -145.7495
3.200000 69.869 -143.8028
3.250000 69.235 -140.9460
3.300000 68.808 -137.0108
3.350000 68.557 -131.2761
3.400000 68.423 -123.7809
3.450000 68.396 -115.2139
3.500000 68.467 -106.2639
3.550000 68.626 -97.6197
3.600000 68.864 -89.9699
3.650000 69.173 -84.0032
3.700000 69.584 -80.0165
3.750000 70.164 -77.2953
3.820000 71.163 -75.1330
3.870000 71.936 -74.4604
3.950000 73.122 -74.2740
4.000000 73.745 -74.3640
4.060000 74.308 -74.4801
4.120000 74.760 -75.2234
4.180000 75.129 -76.5183
4.250000 75.471 -78.4497
4.310000 75.700 -80.2286
4.370000 75.881 -81.9029
4.440000 76.035 -83.6255
4.500000 76.099 -85.2065
4.550000 76.109 -86.5640
4.620000 76.066 -88.4296
4.680000 75.985 -89.9073
4.750000 75.852 -91.3746
4.820000 75.668 -92.5913
4.870000 75.492 -93.4030
4.940000 75.200 -94.3815
5.000000 74.924 -95.0015
5.080000 74.549 -95.3925
5.150000 74.232 -95.2128
5.220000 73.879 -94.5012
5.300000 73.448 -93.1704
5.380000 73.043 -91.4603
5.450000 72.754 -89.7943
5.520000 72.563 -88.0458
5.600000 72.442 -85.5424
5.700000 72.400 -82.0401
5.800000 72.451 -78.9046
5.900000 72.573 -76.8816
6.000000 72.822 -75.7045
6.080000 73.071 -75.2491
6.150000 73.284 -75.1929
6.220000 73.461 -75.4458
6.300000 73.619 -76.2008
6.400000 73.796 -77.8447
6.500000 73.928 -79.9606
6.600000 73.994 -82.2223
6.700000 73.985 -84.7238
6.800000 73.915 -87.5028
6.900000 73.798 -90.3100
7.000000 73.641 -92.9414
7.100000 73.426 -95.5601
7.200000 73.174 -98.0848
7.300000 72.919 -100.3527
7.400000 72.666 -102.2637
7.500000 72.394 -103.8998
7.620000 72.096 -105.5364
7.750000 71.875 -106.9028
7.880000 71.735 -107.7269
8.000000 71.688 -108.3458
8.120000 71.742 -109.1292
8.250000 71.921 -109.9917
8.380000 72.168 -111.0488
8.500000 72.423 -112.3913
8.620000 72.726 -114.0388
8.750000 73.060 -116.0051
8.850000 73.293 -117.5829
9.000000 73.629 -120.1668
9.120000 73.874 -122.2017
9.250000 74.100 -124.2205
9.380000 74.292 -126.1339
9.500000 74.450 -127.6880
9.620000 74.593 -128.9628
9.750000 74.726 -130.0831
9.880000 74.858 -130.9592
10.000000 74.985 -131.5263
10.150000 75.147 -131.9468
10.300000 75.322 -132.2395
10.440000 75.502 -132.3725
10.600000 75.714 -132.4661
10.750000 75.912 -132.6045
10.900000 76.110 -132.7517
11.060000 76.299 -132.9403
11.200000 76.449 -133.1390
11.380000 76.617 -133.3685
11.500000 76.710 -133.4940
11.720000 76.853 -133.6619
11.800000 76.897 -133.6907
12.060000 77.018 -133.7020
12.200000 77.075 -133.6910
12.410000 77.147 -133.6650
12.500000 77.172 -133.6774
12.650000 77.209 -133.7233
12.800000 77.234 -133.8004
13.150000 77.242 -134.1125
13.200000 77.238 -134.1608
13.400000 77.207 -134.3606
13.600000 77.166 -134.5565
13.800000 77.118 -134.7316
14.000000 77.074 -134.9525
14.300000 77.021 -135.4198
14.500000 76.996 -135.9170
14.750000 76.962 -136.7683
15.000000 76.921 -137.8691
15.250000 76.862 -139.1248
15.500000 76.795 -140.4125
15.750000 76.727 -141.6668
16.000000 76.678 -142.8194
16.250000 76.662 -143.9205
16.500000 76.682 -145.0084
16.750000 76.737 -146.1547
17.000000 76.811 -147.3680
17.250000 76.895 -148.6135
17.500000 76.979 -149.8355
17.750000 77.059 -150.9356
18.000000 77.139 -151.8865
18.250000 77.224 -152.6606
18.500000 77.315 -153.2944
18.750000 77.413 -153.8243
19.000000 77.512 -154.2840
19.250000 77.605 -154.6980
19.500000 77.688 -155.0582
19.750000 77.758 -155.3601
20.000000 77.815 -155.5941
20.299999 77.870 -155.8048
20.600000 77.909 -155.9673
20.900000 77.934 -156.1157
21.200001 77.941 -156.2696
21.400000 77.937 -156.3728
21.799999 77.910 -156.5816
22.000000 77.891 -156.6985
22.400000 77.852 -157.0081
22.700001 77.820 -157.3611
23.000000 77.783 -157.8450
23.299999 77.737 -158.4317
23.600000 77.683 -159.0726
24.000000 77.611 -159.9433
24.299999 77.569 -160.5945
24.700001 77.538 -161.4997
25.000000 77.531 -162.2366
25.400000 77.536 -163.2832
25.799999 77.547 -164.3070
26.200001 77.566 -165.2040
26.500000 77.592 -165.7760
26.900000 77.642 -166.4371
27.200001 77.687 -166.8898
27.600000 77.748 -167.4556
28.000000 77.800 -167.9631
28.500000 77.844 -168.4834
29.000000 77.864 -168.8747
29.500000 77.862 -169.1483
30.000000 77.847 -169.3344
30.400000 77.834 -169.4863
30.700001 77.823 -169.6495
31.100000 77.803 -169.9700
31.500000 77.770 -170.3911
32.000000 77.711 -170.9712
32.500000 77.650 -171.5409
33.000000 77.602 -172.1210
33.500000 77.570 -172.7451
34.000000 77.551 -173.3842
34.500000 77.547 -173.9993
35.000000 77.559 -174.5990
35.500000 77.578 -175.1939
36.000000 77.595 -175.7502
36.500000 77.606 -176.2335
37.000000 77.613 -176.6481
37.500000 77.610 -177.0064
38.200001 77.590 -177.4008
38.700001 77.572 -177.6291
39.500000 77.538 -178.0426
40.000000 77.509 -178.3515
40.599998 77.470 -178.7481
41.200001 77.432 -179.1793
41.799999 77.398 -179.6491
42.500000 77.362 179.7802
43.099998 77.333 179.2894
43.700001 77.304 178.8461
44.400002 77.277 178.4390
45.000000 77.267 178.1094
45.500000 77.258 177.7910
46.200001 77.228 177.3540
46.799999 77.196 177.0701
47.500000 77.167 176.7573
48.200001 77.135 176.3799
48.700001 77.105 176.1227
49.400002 77.069 175.8247
50.000000 77.049 175.5436
50.799999 77.020 175.0725
51.500000 76.982 174.7067
52.200001 76.951 174.4060
53.000000 76.916 174.0155
53.799999 76.868 173.6844
54.500000 76.836 173.4308
55.200001 76.801 173.0562
56.000000 76.735 172.7028
57.000000 76.689 172.4649
58.000000 76.654 171.9667
59.000000 76.602 171.6399
60.000000 76.573 171.2875
60.799999 76.533 170.9695
61.500000 76.488 170.7427
62.200001 76.434 170.5678
63.000000 76.374 170.4941
64.000000 76.327 170.4145
65.000000 76.293 170.1462
66.000000 76.228 169.7200
67.000000 76.128 169.7375
68.000000 76.119 170.0443
69.000000 76.141 169.8534
70.000000 76.115 169.5029
71.000000 76.065 169.2896
72.000000 76.031 169.1432
73.000000 76.004 168.8327
74.000000 75.962 168.4154
75.000000 75.885 168.0652
76.199997 75.828 167.9647
77.500000 75.735 167.4958
78.800003 75.640 167.5680
80.000000 75.531 167.5515
81.199997 75.473 167.8339
82.500000 75.355 168.4351
83.800003 75.445 169.1351
85.000000 75.437 169.5428
86.199997 75.614 169.6708
87.500000 75.625 169.0983
88.500000 75.711 168.5752
90.000000 75.602 167.7469
91.199997 75.630 167.1044
92.500000 75.475 166.9650
93.800003 75.485 166.6000
95.000000 75.369 166.7257
96.199997 75.388 166.4789
97.500000 75.293 166.3315
98.800003 75.286 166.2903
100.000000 75.286 165.9401
101.500000 75.173 165.4843
103.000000 75.123 165.7677
104.400002 75.089 165.5832
106.000000 75.034 165.5982
107.500000 74.977 165.4077
109.000000 74.959 165.6794
110.599998 74.925 165.3230
112.000000 74.892 165.5200
113.800003 74.876 165.2813
115.000000 74.848 165.2759
117.199997 74.820 165.0238
118.000000 74.798 164.9640
120.599998 74.739 164.6574
122.000000 74.701 164.5856
124.099998 74.650 164.3342
125.000000 74.619 164.3109
126.500000 74.579 164.2897
128.000000 74.540 164.2779
131.500000 74.467 164.0762
132.000000 74.453 164.0247
134.000000 74.408 163.9365
136.000000 74.354 163.9899
138.000000 74.330 163.8039
140.000000 74.267 163.7964
143.000000 74.195 163.8170
145.000000 74.148 163.6139
147.500000 74.105 163.5544
150.000000 74.082 163.4549
152.500000 74.004 163.6357
155.000000 73.946 163.5772
157.500000 73.883 163.6110
160.000000 73.834 163.5750
162.500000 73.787 163.5487
165.000000 73.745 163.5949
167.500000 73.693 163.5719
170.000000 73.649 163.5179
172.500000 73.609 163.6202
175.000000 73.568 163.6744
177.500000 73.508 163.7548
180.000000 73.467 163.7313
182.500000 73.422 163.7374
185.000000 73.389 163.7897
187.500000 73.344 163.8345
190.000000 73.302 163.7979
192.500000 73.265 164.0449
195.000000 73.220 163.9891
197.500000 73.188 164.1848
200.000000 73.122 164.1849
203.000000 73.096 164.2691
206.000000 73.054 164.3716
209.000000 73.018 164.5635
212.000000 72.979 164.6712
214.000000 72.975 164.7562
218.000000 72.927 164.7998
220.000000 72.915 164.8799
224.000000 72.876 164.9814
227.000000 72.828 165.0038
230.000000 72.807 165.0205
233.000000 72.778 165.0464
236.000000 72.725 165.0003
240.000000 72.720 165.1056
243.000000 72.660 165.2354
247.000000 72.609 165.1549
250.000000 72.593 165.4799
254.000000 72.527 165.3952
258.000000 72.482 165.4113
262.000000 72.440 165.5013
265.000000 72.403 165.5326
269.000000 72.358 165.7268
272.000000 72.351 165.9387
276.000000 72.295 165.9390
280.000000 72.275 166.0919
285.000000 72.203 166.2109
290.000000 72.137 166.4048
295.000000 72.106 166.5289
300.000000 72.065 166.7289
304.000000 72.022 166.8002
307.000000 71.998 166.8491
311.000000 71.962 166.9000
315.000000 71.901 167.0702
320.000000 71.880 167.2363
325.000000 71.835 167.3511
330.000000 71.796 167.5995
