* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 14:11:41 05-04-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: DM L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 84.612 120.8515
1.015000 84.438 119.9436
1.030000 84.258 119.0319
1.044000 84.084 118.1774
1.060000 83.878 117.1961
1.075000 83.677 116.2713
1.090000 83.468 115.3415
1.106000 83.239 114.3653
1.120000 83.044 113.6382
1.138000 82.804 112.8847
1.150000 82.649 112.4785
1.172000 82.369 111.8917
1.180000 82.269 111.7182
1.206000 81.939 111.2475
1.220000 81.758 111.0242
1.241000 81.477 110.6805
1.250000 81.351 110.5172
1.265000 81.135 110.2062
1.280000 80.907 109.8279
1.315000 80.320 108.5603
1.320000 80.228 108.3234
1.340000 79.841 107.2040
1.360000 79.416 105.7708
1.380000 78.948 103.9721
1.400000 78.432 101.7562
1.430000 77.559 97.5370
1.450000 76.903 94.0518
1.475000 75.978 88.8290
1.500000 74.814 82.4654
1.525000 73.424 75.0605
1.550000 71.855 66.7696
1.575000 70.155 57.7480
1.600000 68.371 48.1509
1.625000 66.552 38.1336
1.650000 64.745 27.8514
1.675000 62.998 17.4595
1.700000 61.358 7.1132
1.725000 59.874 -3.0323
1.750000 58.592 -12.8216
1.775000 57.561 -22.0996
1.800000 56.828 -30.7110
1.825000 56.441 -38.5005
1.850000 56.443 -45.5436
1.875000 56.821 -52.3138
1.900000 57.525 -58.8316
1.925000 58.506 -65.0956
1.950000 59.715 -71.1047
1.975000 61.103 -76.8572
2.000000 62.620 -82.3519
2.030000 64.541 -88.6033
2.060000 66.491 -94.4790
2.090000 68.386 -99.9765
2.120000 70.140 -105.0937
2.140000 71.189 -108.2926
2.180000 72.884 -114.1771
2.200000 73.481 -116.8599
2.240000 74.370 -121.4237
2.270000 74.864 -124.1419
2.300000 75.231 -126.3468
2.330000 75.487 -128.1198
2.360000 75.651 -129.5425
2.400000 75.756 -131.0356
2.430000 75.772 -131.9580
2.470000 75.744 -133.0799
2.500000 75.709 -133.9459
2.540000 75.676 -135.2885
2.580000 75.687 -136.9860
2.620000 75.666 -138.8253
2.650000 75.616 -140.2207
2.690000 75.507 -142.0517
2.720000 75.393 -143.3684
2.760000 75.201 -144.9978
2.800000 74.963 -146.4253
2.850000 74.605 -147.8294
2.900000 74.183 -148.6960
2.950000 73.685 -148.9620
3.000000 73.006 -149.0259
3.040000 72.356 -148.9066
3.070000 71.831 -148.6578
3.110000 71.111 -148.0406
3.150000 70.402 -147.0134
3.200000 69.590 -145.0140
3.250000 68.929 -142.0533
3.300000 68.491 -137.9487
3.350000 68.247 -131.9341
3.400000 68.132 -124.0541
3.450000 68.134 -115.0426
3.500000 68.240 -105.6330
3.550000 68.437 -96.5591
3.600000 68.711 -88.5546
3.650000 69.049 -82.3530
3.700000 69.485 -78.2806
3.750000 70.089 -75.5923
3.820000 71.122 -73.6152
3.870000 71.917 -73.1325
3.950000 73.133 -73.2646
4.000000 73.771 -73.5151
4.060000 74.345 -73.7487
4.120000 74.803 -74.5825
4.180000 75.173 -75.9535
4.250000 75.512 -77.9590
4.310000 75.736 -79.7917
4.370000 75.914 -81.5131
4.440000 76.065 -83.2842
4.500000 76.126 -84.8985
4.550000 76.132 -86.2775
4.620000 76.084 -88.1639
4.680000 75.998 -89.6507
4.750000 75.860 -91.1184
4.820000 75.670 -92.3253
4.870000 75.488 -93.1244
4.940000 75.189 -94.0760
5.000000 74.907 -94.6630
5.080000 74.525 -94.9940
5.150000 74.206 -94.7438
5.220000 73.851 -93.9338
5.300000 73.419 -92.4675
5.380000 73.017 -90.6162
5.450000 72.734 -88.8381
5.520000 72.554 -86.9996
5.600000 72.452 -84.4036
5.700000 72.441 -80.8021
5.800000 72.522 -77.5988
5.900000 72.670 -75.5552
6.000000 72.941 -74.4161
6.080000 73.206 -74.0148
6.150000 73.432 -74.0082
6.220000 73.618 -74.3009
6.300000 73.785 -75.0904
6.400000 73.968 -76.7763
6.500000 74.104 -78.9253
6.600000 74.173 -81.2026
6.700000 74.166 -83.7015
6.800000 74.096 -86.4630
6.900000 73.978 -89.2378
7.000000 73.820 -91.8219
7.100000 73.604 -94.3761
7.200000 73.351 -96.8225
7.300000 73.094 -99.0023
7.400000 72.842 -100.8144
7.500000 72.571 -102.3365
7.620000 72.276 -103.8339
7.750000 72.060 -105.0663
7.880000 71.929 -105.7635
8.000000 71.890 -106.2836
8.120000 71.951 -107.0012
8.250000 72.137 -107.8272
8.380000 72.389 -108.8695
8.500000 72.644 -110.2098
8.620000 72.944 -111.8719
8.750000 73.274 -113.8594
8.850000 73.502 -115.4494
9.000000 73.829 -118.0519
9.120000 74.065 -120.0986
9.250000 74.284 -122.1234
9.380000 74.469 -124.0374
9.500000 74.621 -125.5894
9.620000 74.759 -126.8596
9.750000 74.889 -127.9717
9.880000 75.019 -128.8417
10.000000 75.146 -129.4067
10.150000 75.308 -129.8280
10.300000 75.486 -130.1284
10.440000 75.668 -130.2765
10.600000 75.883 -130.3907
10.750000 76.083 -130.5493
10.900000 76.282 -130.7171
11.060000 76.473 -130.9196
11.200000 76.624 -131.1245
11.380000 76.794 -131.3525
11.500000 76.889 -131.4695
11.720000 77.037 -131.6125
11.800000 77.084 -131.6306
12.060000 77.216 -131.6023
12.200000 77.280 -131.5739
12.410000 77.364 -131.5263
12.500000 77.395 -131.5324
12.650000 77.440 -131.5722
12.800000 77.474 -131.6453
13.150000 77.498 -131.9500
13.200000 77.496 -131.9955
13.400000 77.473 -132.1805
13.600000 77.437 -132.3495
13.800000 77.394 -132.4831
14.000000 77.356 -132.6491
14.300000 77.313 -133.0121
14.500000 77.295 -133.4310
14.750000 77.272 -134.1839
15.000000 77.243 -135.1908
15.250000 77.196 -136.3648
15.500000 77.139 -137.5867
15.750000 77.079 -138.7922
16.000000 77.035 -139.9129
16.250000 77.020 -140.9928
16.500000 77.038 -142.0657
16.750000 77.087 -143.1962
17.000000 77.155 -144.3895
17.250000 77.232 -145.6114
17.500000 77.310 -146.8080
17.750000 77.386 -147.8873
18.000000 77.465 -148.8257
18.250000 77.549 -149.5990
18.500000 77.643 -150.2450
18.750000 77.742 -150.7977
19.000000 77.844 -151.2882
19.250000 77.940 -151.7353
19.500000 78.026 -152.1272
19.750000 78.099 -152.4563
20.000000 78.161 -152.7100
20.299999 78.221 -152.9339
20.600000 78.269 -153.0989
20.900000 78.304 -153.2422
21.200001 78.323 -153.3882
21.400000 78.327 -153.4868
21.799999 78.316 -153.6867
22.000000 78.305 -153.7963
22.400000 78.277 -154.0745
22.700001 78.252 -154.3790
23.000000 78.222 -154.7894
23.299999 78.184 -155.2846
23.600000 78.140 -155.8284
24.000000 78.084 -156.5808
24.299999 78.051 -157.1602
24.700001 78.030 -157.9890
25.000000 78.029 -158.6754
25.400000 78.038 -159.6599
25.799999 78.054 -160.6420
26.200001 78.077 -161.5388
26.500000 78.103 -162.1396
26.900000 78.148 -162.8578
27.200001 78.185 -163.3436
27.600000 78.233 -163.9139
28.000000 78.277 -164.3777
28.500000 78.326 -164.8218
29.000000 78.365 -165.1846
29.500000 78.384 -165.5036
30.000000 78.383 -165.7659
30.400000 78.374 -165.9525
30.700001 78.365 -166.1084
31.100000 78.349 -166.3716
31.500000 78.325 -166.6985
32.000000 78.288 -167.1574
32.500000 78.252 -167.6533
33.000000 78.226 -168.2253
33.500000 78.205 -168.8863
34.000000 78.185 -169.5683
34.500000 78.169 -170.1934
35.000000 78.164 -170.7469
35.500000 78.171 -171.2477
36.000000 78.184 -171.7064
36.500000 78.200 -172.1314
37.000000 78.212 -172.5317
37.500000 78.213 -172.8892
38.200001 78.203 -173.2686
38.700001 78.196 -173.4912
39.500000 78.181 -173.9214
40.000000 78.163 -174.2315
40.599998 78.138 -174.6138
41.200001 78.114 -175.0362
41.799999 78.086 -175.4934
42.500000 78.053 -175.9905
43.099998 78.033 -176.3801
43.700001 78.020 -176.7771
44.400002 78.005 -177.2411
45.000000 77.990 -177.6165
45.500000 77.974 -177.9070
46.200001 77.951 -178.2684
46.799999 77.932 -178.5426
47.500000 77.917 -178.8552
48.200001 77.910 -179.2125
48.700001 77.907 -179.5418
49.400002 77.884 179.9181
50.000000 77.842 179.5500
50.799999 77.796 179.3365
51.500000 77.786 179.1892
52.200001 77.781 178.9190
53.000000 77.755 178.5853
53.799999 77.721 178.3236
54.500000 77.695 178.0996
55.200001 77.669 177.8173
56.000000 77.630 177.4617
57.000000 77.587 177.1019
58.000000 77.567 176.6859
59.000000 77.536 176.2287
60.000000 77.503 175.9522
60.799999 77.487 175.7591
61.500000 77.469 175.5659
62.200001 77.445 175.3752
63.000000 77.412 175.1514
64.000000 77.366 174.8827
65.000000 77.325 174.5465
66.000000 77.273 174.2434
67.000000 77.248 174.0426
68.000000 77.224 173.7228
69.000000 77.196 173.5376
70.000000 77.174 173.2923
71.000000 77.132 173.0973
72.000000 77.103 172.9057
73.000000 77.059 172.6368
74.000000 77.021 172.4587
75.000000 76.991 172.1509
76.199997 76.931 171.9402
77.500000 76.912 171.7900
78.800003 76.865 171.4856
80.000000 76.826 171.4130
81.199997 76.796 171.1769
82.500000 76.746 170.9866
83.800003 76.709 170.7725
85.000000 76.666 170.5995
86.199997 76.631 170.4513
87.500000 76.593 170.2597
88.500000 76.560 170.1297
90.000000 76.521 170.0061
91.199997 76.492 169.8241
92.500000 76.450 169.6928
93.800003 76.403 169.5162
95.000000 76.356 169.4746
96.199997 76.328 169.3654
97.500000 76.286 169.2083
98.800003 76.266 169.1884
100.000000 76.247 168.8728
101.500000 76.166 168.8773
103.000000 76.141 168.9102
104.400002 76.107 168.7327
106.000000 76.047 168.6293
107.500000 76.015 168.4920
109.000000 75.973 168.4001
110.599998 75.931 168.4299
112.000000 75.917 168.4200
113.800003 75.873 168.3529
115.000000 75.853 168.2590
117.199997 75.801 168.2043
118.000000 75.782 168.1242
120.599998 75.713 168.0722
122.000000 75.688 167.9752
124.099998 75.630 167.9138
125.000000 75.608 167.9151
126.500000 75.580 167.9193
128.000000 75.551 167.8532
131.500000 75.468 167.7888
132.000000 75.453 167.7609
134.000000 75.406 167.7380
136.000000 75.380 167.7090
138.000000 75.334 167.6188
140.000000 75.289 167.6164
143.000000 75.250 167.6637
145.000000 75.209 167.6477
147.500000 75.111 167.6843
150.000000 75.058 167.7132
152.500000 75.038 167.6348
155.000000 74.971 167.6664
157.500000 74.925 167.7437
160.000000 74.881 167.8691
162.500000 74.836 167.8673
165.000000 74.798 168.1389
167.500000 74.751 168.3317
170.000000 74.728 168.3847
172.500000 74.709 168.4111
175.000000 74.688 168.4384
177.500000 74.656 168.4796
180.000000 74.625 168.3131
182.500000 74.589 168.3221
185.000000 74.545 168.4722
187.500000 74.505 168.4836
190.000000 74.447 168.4282
192.500000 74.419 168.5734
195.000000 74.408 168.9376
197.500000 74.360 168.6635
200.000000 74.283 168.9742
203.000000 74.280 168.8004
206.000000 74.226 168.6980
209.000000 74.163 168.8797
212.000000 74.120 169.2595
214.000000 74.109 169.2584
218.000000 74.009 169.4953
220.000000 74.021 169.3278
224.000000 73.933 170.1297
227.000000 73.899 170.3865
230.000000 73.855 170.4594
233.000000 73.788 170.7854
236.000000 73.742 171.3037
240.000000 73.900 172.4735
243.000000 73.942 172.3007
247.000000 73.964 171.7090
250.000000 73.909 171.8556
254.000000 73.940 171.2814
258.000000 73.893 171.3976
262.000000 73.830 171.3585
265.000000 73.802 171.3354
269.000000 73.776 171.3591
272.000000 73.720 171.4306
276.000000 73.700 171.4357
280.000000 73.623 171.5810
285.000000 73.581 171.8452
290.000000 73.544 171.7908
295.000000 73.482 172.0776
300.000000 73.462 172.2130
304.000000 73.410 172.5693
307.000000 73.426 172.7161
311.000000 73.382 172.8114
315.000000 73.354 172.8507
320.000000 73.305 172.9891
325.000000 73.295 173.2217
