* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 17:54:06 05-04-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: DM 350 + 500 R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 84.750 121.2531
1.015000 84.580 120.3790
1.030000 84.403 119.5056
1.044000 84.232 118.6910
1.060000 84.030 117.7607
1.075000 83.832 116.8894
1.090000 83.628 116.0188
1.106000 83.407 115.0628
1.120000 83.244 114.0512
1.138000 83.078 112.5019
1.150000 82.990 111.3366
1.172000 82.863 108.9816
1.180000 82.826 108.0697
1.206000 82.720 104.9735
1.220000 82.666 103.2613
1.241000 82.575 100.6991
1.250000 82.529 99.6205
1.265000 82.437 97.8724
1.280000 82.323 96.2116
1.315000 81.934 92.8413
1.320000 81.861 92.4335
1.340000 81.518 91.0302
1.360000 81.080 90.0435
1.380000 80.536 89.5433
1.400000 79.869 89.5992
1.430000 78.610 90.8782
1.450000 77.577 92.6294
1.475000 76.015 95.9884
1.500000 73.918 100.9780
1.525000 71.319 107.4609
1.550000 68.319 115.1992
1.575000 65.021 123.9550
1.600000 61.525 133.4904
1.625000 57.933 143.5674
1.650000 54.345 153.9483
1.675000 50.864 164.3950
1.700000 47.591 174.6697
1.725000 44.626 -175.4656
1.750000 42.072 -166.2487
1.775000 40.030 -157.9176
1.800000 38.601 -150.7101
1.825000 37.887 -144.8642
1.850000 37.974 -140.3574
1.875000 38.827 -136.6500
1.900000 40.343 -133.6505
1.925000 42.422 -131.2909
1.950000 44.962 -129.5031
1.975000 47.859 -128.2194
2.000000 51.013 -127.3716
2.030000 54.992 -126.8340
2.060000 59.017 -126.7088
2.090000 62.912 -126.8785
2.120000 66.500 -127.2256
2.140000 68.635 -127.4977
2.180000 72.053 -127.9825
2.200000 73.095 -128.1287
2.240000 73.191 -128.8037
2.270000 73.358 -129.7808
2.300000 73.587 -131.0938
2.330000 73.862 -132.6816
2.360000 74.165 -134.4831
2.400000 74.584 -137.1121
2.430000 74.887 -139.1749
2.470000 75.245 -141.9307
2.500000 75.457 -143.9225
2.540000 75.631 -146.3620
2.580000 75.681 -148.4678
2.620000 75.694 -150.5348
2.650000 75.674 -152.0999
2.690000 75.605 -154.1854
2.720000 75.521 -155.7339
2.760000 75.364 -157.7565
2.800000 75.156 -159.7064
2.850000 74.821 -162.0013
2.900000 74.401 -164.0893
2.950000 73.887 -166.0544
3.000000 73.248 -168.8673
3.040000 72.655 -171.5216
3.070000 72.172 -173.5271
3.110000 71.488 -175.9512
3.150000 70.770 -177.7814
3.200000 69.847 -178.7214
3.250000 68.921 -177.5509
3.300000 68.016 -173.6085
3.350000 66.963 -165.8233
3.400000 65.717 -154.5917
3.450000 64.407 -141.1494
3.500000 63.161 -126.7321
3.550000 62.110 -112.5754
3.600000 61.381 -99.9150
3.650000 61.104 -89.9865
3.700000 61.416 -83.2444
3.750000 62.309 -78.2856
3.820000 64.216 -73.7004
3.870000 65.816 -71.7309
3.950000 68.310 -70.0715
4.000000 69.561 -69.5331
4.060000 70.544 -69.1801
4.120000 71.233 -70.0543
4.180000 71.726 -71.9536
4.250000 72.112 -74.9318
4.310000 72.332 -77.6805
4.370000 72.497 -80.1878
4.440000 72.647 -82.5940
4.500000 72.681 -84.7545
4.550000 72.644 -86.5898
4.620000 72.501 -89.0834
4.680000 72.303 -91.0302
4.750000 71.995 -92.9233
4.820000 71.588 -94.5775
4.870000 71.221 -95.8115
4.940000 70.626 -97.3163
5.000000 70.065 -98.1282
5.080000 69.281 -98.0703
5.150000 68.584 -96.5287
5.220000 67.734 -93.4691
5.300000 66.663 -88.5804
5.380000 65.680 -82.7878
5.450000 65.053 -77.4543
5.520000 64.779 -72.1487
5.600000 64.890 -64.9380
5.700000 65.430 -55.2325
5.800000 66.130 -46.9185
5.900000 66.730 -42.1591
6.000000 67.411 -40.7464
6.080000 67.974 -41.1376
6.150000 68.407 -42.0671
6.220000 68.724 -43.1153
6.300000 68.937 -44.5681
6.400000 69.057 -47.3021
6.500000 69.025 -50.5436
6.600000 68.853 -53.7423
6.700000 68.537 -57.0232
6.800000 68.076 -60.4742
6.900000 67.482 -63.7431
7.000000 66.761 -66.5699
7.100000 65.877 -69.3212
7.200000 64.879 -71.6600
7.300000 63.832 -73.0644
7.400000 62.716 -73.1147
7.500000 61.463 -72.0213
7.620000 60.071 -69.7998
7.750000 59.065 -66.6787
7.880000 58.502 -61.8116
8.000000 58.284 -58.2428
8.120000 58.341 -58.0778
8.250000 58.781 -61.0397
8.380000 59.382 -66.0429
8.500000 59.907 -72.0107
8.620000 60.480 -79.7699
8.750000 61.116 -88.6156
8.850000 61.590 -94.8535
9.000000 62.309 -104.1355
9.120000 62.846 -110.9148
9.250000 63.351 -117.0934
9.380000 63.796 -122.3254
9.500000 64.158 -126.2520
9.620000 64.466 -129.2126
9.750000 64.741 -131.3879
9.880000 65.010 -132.7416
10.000000 65.268 -133.2350
10.150000 65.591 -132.9076
10.300000 65.960 -132.2577
10.440000 66.359 -131.2837
10.600000 66.834 -130.0782
10.750000 67.280 -129.2281
10.900000 67.724 -128.5002
11.060000 68.143 -127.8733
11.200000 68.465 -127.4774
11.380000 68.821 -126.9470
11.500000 69.014 -126.5405
11.720000 69.306 -125.6824
11.800000 69.399 -125.3019
12.060000 69.652 -123.9039
12.200000 69.775 -123.1366
12.410000 69.935 -121.9860
12.500000 69.992 -121.5443
12.650000 70.073 -120.8720
12.800000 70.130 -120.2487
13.150000 70.151 -118.9426
13.200000 70.143 -118.7448
13.400000 70.085 -117.9088
13.600000 70.011 -117.0151
13.800000 69.931 -116.0326
14.000000 69.864 -115.1808
14.300000 69.787 -114.2865
14.500000 69.739 -114.1796
14.750000 69.646 -114.5801
15.000000 69.502 -115.5340
15.250000 69.292 -116.7833
15.500000 69.049 -118.1030
15.750000 68.800 -119.3947
16.000000 68.600 -120.6093
16.250000 68.481 -121.9551
16.500000 68.446 -123.5385
16.750000 68.487 -125.5222
17.000000 68.567 -127.8062
17.250000 68.668 -130.2437
17.500000 68.774 -132.6231
17.750000 68.889 -134.6829
18.000000 69.022 -136.3672
18.250000 69.185 -137.6230
18.500000 69.381 -138.5630
18.750000 69.600 -139.2715
19.000000 69.832 -139.8259
19.250000 70.054 -140.2620
19.500000 70.260 -140.5565
19.750000 70.442 -140.6969
20.000000 70.603 -140.6752
20.299999 70.772 -140.4944
20.600000 70.912 -140.2100
20.900000 71.019 -139.8822
21.200001 71.085 -139.5218
21.400000 71.108 -139.2430
21.799999 71.118 -138.6011
22.000000 71.113 -138.2728
22.400000 71.098 -137.7484
22.700001 71.077 -137.6058
23.000000 71.033 -137.7340
23.299999 70.960 -138.0634
23.600000 70.861 -138.4983
24.000000 70.719 -139.1326
24.299999 70.630 -139.6585
24.700001 70.556 -140.5460
25.000000 70.532 -141.4186
25.400000 70.524 -142.8195
25.799999 70.534 -144.2954
26.200001 70.569 -145.6437
26.500000 70.619 -146.5208
26.900000 70.719 -147.5194
27.200001 70.812 -148.1538
27.600000 70.948 -148.8481
28.000000 71.088 -149.3733
28.500000 71.252 -149.8483
29.000000 71.375 -150.1583
29.500000 71.443 -150.2099
30.000000 71.481 -149.9561
30.400000 71.512 -149.6862
30.700001 71.534 -149.5653
31.100000 71.547 -149.5867
31.500000 71.529 -149.7609
32.000000 71.471 -150.0238
32.500000 71.413 -150.3064
33.000000 71.377 -150.7741
33.500000 71.350 -151.4823
34.000000 71.326 -152.2693
34.500000 71.324 -153.0069
35.000000 71.356 -153.7409
35.500000 71.404 -154.5123
36.000000 71.450 -155.2183
36.500000 71.491 -155.7376
37.000000 71.537 -156.0620
37.500000 71.586 -156.2609
38.200001 71.652 -156.4530
38.700001 71.687 -156.6000
39.500000 71.703 -156.8602
40.000000 71.696 -156.9779
40.599998 71.695 -157.1497
41.200001 71.695 -157.5000
41.799999 71.681 -157.9336
42.500000 71.674 -158.3567
43.099998 71.698 -158.7841
43.700001 71.720 -159.3278
44.400002 71.732 -159.8432
45.000000 71.760 -160.1647
45.500000 71.785 -160.4991
46.200001 71.783 -160.9207
46.799999 71.774 -160.9274
47.500000 71.838 -160.8938
48.200001 71.908 -161.5373
48.700001 71.885 -162.1586
49.400002 71.795 -162.3804
50.000000 71.796 -162.1210
50.799999 71.885 -162.4738
51.500000 71.866 -163.1762
52.200001 71.807 -163.2094
53.000000 71.851 -163.0260
53.799999 71.903 -163.5149
54.500000 71.882 -163.9604
55.200001 71.856 -164.1870
56.000000 71.845 -164.4497
57.000000 71.844 -164.8460
58.000000 71.855 -165.3349
59.000000 71.865 -165.8407
60.000000 71.863 -166.1760
60.799999 71.886 -166.2710
61.500000 71.919 -166.5071
62.200001 71.915 -166.8344
63.000000 71.887 -166.9180
64.000000 71.915 -166.9604
65.000000 71.923 -167.4548
66.000000 71.903 -167.6824
67.000000 71.922 -168.0284
68.000000 71.896 -168.3225
69.000000 71.907 -168.3932
70.000000 71.902 -168.6816
71.000000 71.892 -168.7229
72.000000 71.906 -168.9852
73.000000 71.897 -169.2696
74.000000 71.900 -169.6105
75.000000 71.881 -169.8853
76.199997 71.897 -170.0634
77.500000 71.896 -170.3710
78.800003 71.900 -170.6155
80.000000 71.869 -170.8641
81.199997 71.869 -170.9602
82.500000 71.873 -171.3006
83.800003 71.871 -171.5865
85.000000 71.872 -171.7986
86.199997 71.870 -172.0523
87.500000 71.841 -172.2604
88.500000 71.830 -172.2786
90.000000 71.842 -172.5435
91.199997 71.824 -172.7908
92.500000 71.824 -172.8773
93.800003 71.833 -173.0864
95.000000 71.840 -173.2868
96.199997 71.835 -173.5667
97.500000 71.823 -173.7977
98.800003 71.838 -173.7787
100.000000 71.875 -174.3853
101.500000 71.762 -174.3323
103.000000 71.800 -174.3669
104.400002 71.759 -174.4636
106.000000 71.746 -174.6793
107.500000 71.717 -174.8696
109.000000 71.722 -174.9605
110.599998 71.684 -175.0876
112.000000 71.707 -175.1766
113.800003 71.684 -175.3399
115.000000 71.689 -175.6711
117.199997 71.672 -175.8877
118.000000 71.672 -176.0260
120.599998 71.642 -176.1661
122.000000 71.635 -176.4203
124.099998 71.622 -176.5525
125.000000 71.591 -176.5968
126.500000 71.597 -176.6944
128.000000 71.543 -176.7989
131.500000 71.522 -177.1360
132.000000 71.517 -177.1079
134.000000 71.528 -177.1609
136.000000 71.494 -177.4978
138.000000 71.484 -177.4949
140.000000 71.439 -177.7659
143.000000 71.397 -178.0254
145.000000 71.398 -178.0225
147.500000 71.406 -178.2200
150.000000 71.351 -178.4671
152.500000 71.282 -178.3872
155.000000 71.261 -178.5863
157.500000 71.205 -178.7755
160.000000 71.135 -178.7783
162.500000 71.052 -178.7452
165.000000 70.972 -178.5539
167.500000 70.899 -178.1072
170.000000 70.839 -177.5626
172.500000 70.837 -176.8407
175.000000 70.861 -176.1526
177.500000 70.966 -175.5107
180.000000 71.071 -175.5027
182.500000 71.119 -175.9214
185.000000 71.184 -176.1096
187.500000 71.191 -176.5346
190.000000 71.178 -176.8059
192.500000 71.168 -177.0919
195.000000 71.160 -177.5161
197.500000 71.146 -177.2527
200.000000 71.099 -177.1879
203.000000 71.132 -177.3604
206.000000 71.143 -177.4667
209.000000 71.122 -177.4271
212.000000 71.112 -177.6125
214.000000 71.077 -177.6647
218.000000 71.097 -177.8177
220.000000 71.078 -177.8881
224.000000 71.036 -178.0351
227.000000 71.024 -178.1140
230.000000 71.004 -178.0876
233.000000 70.978 -178.2288
236.000000 70.974 -178.1629
240.000000 70.947 -178.1094
243.000000 70.931 -178.2227
247.000000 70.903 -178.3188
250.000000 70.926 -178.2908
254.000000 70.855 -178.1107
258.000000 70.812 -178.2781
262.000000 70.793 -178.2216
265.000000 70.771 -178.2602
269.000000 70.748 -178.1758
272.000000 70.717 -178.1823
276.000000 70.687 -178.0628
280.000000 70.666 -177.8897
