* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 18:24:45 05-04-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: DM 400 + 500 R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 84.680 120.5732
1.015000 84.507 119.6617
1.030000 84.327 118.7466
1.044000 84.154 117.8891
1.060000 83.948 116.9047
1.075000 83.747 115.9772
1.090000 83.539 115.0450
1.106000 83.310 114.0664
1.120000 83.118 113.3375
1.138000 82.880 112.5818
1.150000 82.727 112.1743
1.172000 82.454 111.5854
1.180000 82.355 111.4112
1.206000 82.034 110.9386
1.220000 81.857 110.7145
1.241000 81.582 110.3699
1.250000 81.460 110.2062
1.265000 81.248 109.8948
1.280000 81.024 109.5161
1.315000 80.445 108.2483
1.320000 80.354 108.0114
1.340000 79.969 106.8921
1.360000 79.544 105.4592
1.380000 79.075 103.6611
1.400000 78.555 101.4458
1.430000 77.671 97.2279
1.450000 77.005 93.7437
1.475000 76.061 88.5230
1.500000 74.870 82.1667
1.525000 73.443 74.7746
1.550000 71.831 66.5003
1.575000 70.083 57.4976
1.600000 68.249 47.9205
1.625000 66.376 37.9227
1.650000 64.515 27.6581
1.675000 62.716 17.2805
1.700000 61.027 6.9436
1.725000 59.497 -3.1987
1.750000 58.177 -12.9925
1.775000 57.114 -22.2840
1.800000 56.360 -30.9195
1.825000 55.962 -38.7451
1.850000 55.965 -45.8383
1.875000 56.355 -52.6739
1.900000 57.082 -59.2705
1.925000 58.093 -65.6245
1.950000 59.340 -71.7327
1.975000 60.770 -77.5913
2.000000 62.333 -83.1970
2.030000 64.313 -89.5850
2.060000 66.322 -95.5977
2.090000 68.275 -101.2292
2.120000 70.081 -106.4734
2.140000 71.162 -109.7514
2.180000 72.907 -115.7758
2.200000 73.521 -118.5173
2.240000 74.435 -123.1761
2.270000 74.942 -125.9500
2.300000 75.316 -128.2006
2.330000 75.577 -130.0123
2.360000 75.742 -131.4697
2.400000 75.845 -133.0080
2.430000 75.858 -133.9676
2.470000 75.826 -135.1489
2.500000 75.788 -136.0709
2.540000 75.754 -137.5089
2.580000 75.767 -139.3281
2.620000 75.753 -141.2863
2.650000 75.711 -142.7687
2.690000 75.612 -144.7206
2.720000 75.506 -146.1364
2.760000 75.322 -147.9169
2.800000 75.090 -149.5255
2.850000 74.730 -151.2123
2.900000 74.294 -152.4409
2.950000 73.768 -153.1882
3.000000 73.054 -154.0176
3.040000 72.371 -154.6644
3.070000 71.818 -155.0342
3.110000 71.055 -155.2450
3.150000 70.296 -154.9858
3.200000 69.409 -153.7560
3.250000 68.657 -151.2271
3.300000 68.111 -147.0806
3.350000 67.717 -140.4380
3.400000 67.411 -131.4399
3.450000 67.199 -120.9844
3.500000 67.090 -109.9690
3.550000 67.092 -99.2917
3.600000 67.212 -89.8503
3.650000 67.458 -82.5425
3.700000 67.879 -77.7546
3.750000 68.538 -74.5542
3.820000 69.727 -72.1185
3.870000 70.664 -71.4435
3.950000 72.105 -71.4020
4.000000 72.853 -71.5712
4.060000 73.505 -71.7027
4.120000 74.010 -72.5306
4.180000 74.411 -73.9788
4.250000 74.768 -76.1328
4.310000 75.000 -78.1030
4.370000 75.183 -79.9348
4.440000 75.340 -81.7803
4.500000 75.400 -83.4571
4.550000 75.400 -84.8860
4.620000 75.338 -86.8300
4.680000 75.236 -88.3470
4.750000 75.075 -89.8171
4.820000 74.855 -91.0014
4.870000 74.647 -91.7813
4.940000 74.305 -92.6841
5.000000 73.986 -93.1923
5.080000 73.555 -93.3376
5.150000 73.196 -92.8222
5.220000 72.796 -91.6293
5.300000 72.311 -89.6212
5.380000 71.864 -87.1756
5.450000 71.558 -84.8822
5.520000 71.378 -82.5642
5.600000 71.307 -79.3772
5.700000 71.364 -75.0280
5.800000 71.521 -71.2007
5.900000 71.731 -68.7942
6.000000 72.066 -67.5599
6.080000 72.380 -67.2001
6.150000 72.642 -67.2651
6.220000 72.853 -67.6210
6.300000 73.034 -68.4808
6.400000 73.217 -70.3038
6.500000 73.339 -72.6025
6.600000 73.386 -74.9968
6.700000 73.346 -77.5815
6.800000 73.232 -80.4110
6.900000 73.063 -83.2252
7.000000 72.851 -85.8106
7.100000 72.571 -88.3352
7.200000 72.250 -90.7178
7.300000 71.927 -92.7930
7.400000 71.613 -94.4458
7.500000 71.277 -95.7525
7.620000 70.914 -96.9656
7.750000 70.651 -97.9055
7.880000 70.497 -98.2816
8.000000 70.453 -98.5655
8.120000 70.523 -99.1956
8.250000 70.740 -100.0684
8.380000 71.029 -101.2638
8.500000 71.312 -102.8292
8.620000 71.640 -104.8169
8.750000 71.996 -107.1891
8.850000 72.241 -109.0536
9.000000 72.584 -112.0775
9.120000 72.831 -114.4326
9.250000 73.060 -116.7308
9.380000 73.251 -118.8714
9.500000 73.411 -120.5871
9.620000 73.558 -121.9694
9.750000 73.699 -123.1493
9.880000 73.843 -124.0535
10.000000 73.989 -124.6224
10.150000 74.178 -125.0120
10.300000 74.386 -125.2812
10.440000 74.601 -125.4008
10.600000 74.854 -125.4870
10.750000 75.089 -125.6359
10.900000 75.321 -125.8027
11.060000 75.544 -126.0007
11.200000 75.719 -126.2010
11.380000 75.918 -126.4093
11.500000 76.030 -126.5007
11.720000 76.208 -126.5776
11.800000 76.266 -126.5651
12.060000 76.432 -126.4191
12.200000 76.515 -126.3251
12.410000 76.627 -126.1770
12.500000 76.669 -126.1424
12.650000 76.732 -126.1175
12.800000 76.784 -126.1278
13.150000 76.844 -126.2908
13.200000 76.846 -126.3158
13.400000 76.839 -126.4165
13.600000 76.820 -126.5011
13.800000 76.791 -126.5499
14.000000 76.766 -126.6373
14.300000 76.738 -126.8961
14.500000 76.728 -127.2567
14.750000 76.711 -127.9413
15.000000 76.684 -128.8812
15.250000 76.637 -129.9817
15.500000 76.580 -131.1288
15.750000 76.522 -132.2646
16.000000 76.483 -133.3360
16.250000 76.475 -134.4006
16.500000 76.501 -135.4949
16.750000 76.558 -136.6830
17.000000 76.632 -137.9530
17.250000 76.714 -139.2607
17.500000 76.796 -140.5393
17.750000 76.878 -141.6910
18.000000 76.964 -142.6933
18.250000 77.059 -143.5239
18.500000 77.164 -144.2238
18.750000 77.277 -144.8253
19.000000 77.393 -145.3581
19.250000 77.504 -145.8359
19.500000 77.606 -146.2474
19.750000 77.697 -146.5862
20.000000 77.777 -146.8463
20.299999 77.862 -147.0817
20.600000 77.934 -147.2668
20.900000 77.991 -147.4367
21.200001 78.028 -147.6065
21.400000 78.043 -147.7128
21.799999 78.051 -147.9062
22.000000 78.049 -148.0034
22.400000 78.040 -148.2501
22.700001 78.030 -148.5374
23.000000 78.012 -148.9423
23.299999 77.984 -149.4400
23.600000 77.947 -149.9878
24.000000 77.895 -150.7369
24.299999 77.866 -151.3037
24.700001 77.849 -152.1071
25.000000 77.852 -152.7766
25.400000 77.870 -153.7543
25.799999 77.896 -154.7555
26.200001 77.930 -155.6945
26.500000 77.963 -156.3338
26.900000 78.017 -157.1012
27.200001 78.061 -157.6179
27.600000 78.122 -158.2246
28.000000 78.181 -158.7287
28.500000 78.250 -159.2345
29.000000 78.307 -159.6555
29.500000 78.343 -160.0139
30.000000 78.362 -160.3121
30.400000 78.368 -160.5414
30.700001 78.369 -160.7359
31.100000 78.361 -161.0432
31.500000 78.343 -161.3907
32.000000 78.313 -161.8468
32.500000 78.288 -162.3432
33.000000 78.269 -162.9312
33.500000 78.250 -163.5845
34.000000 78.235 -164.2049
34.500000 78.238 -164.7660
35.000000 78.263 -165.3426
35.500000 78.293 -165.9771
36.000000 78.313 -166.5953
36.500000 78.325 -167.1062
37.000000 78.337 -167.5058
37.500000 78.352 -167.8505
38.200001 78.366 -168.3042
38.700001 78.368 -168.6160
39.500000 78.362 -169.1209
40.000000 78.352 -169.4477
40.599998 78.341 -169.8679
41.200001 78.329 -170.3469
41.799999 78.311 -170.8518
42.500000 78.290 -171.3832
43.099998 78.283 -171.7954
43.700001 78.285 -172.2242
44.400002 78.286 -172.7412
45.000000 78.281 -173.1499
45.500000 78.276 -173.4515
46.200001 78.272 -173.8554
46.799999 78.266 -174.2372
47.500000 78.247 -174.6978
48.200001 78.222 -175.1038
48.700001 78.207 -175.3816
49.400002 78.184 -175.7848
50.000000 78.163 -176.0825
50.799999 78.150 -176.4008
51.500000 78.152 -176.7220
52.200001 78.152 -177.0726
53.000000 78.151 -177.4828
53.799999 78.141 -177.9739
54.500000 78.111 -178.3697
55.200001 78.081 -178.6579
56.000000 78.064 -178.9862
57.000000 78.045 -179.5142
58.000000 78.020 179.9740
59.000000 78.002 179.5281
60.000000 77.989 179.1206
60.799999 77.978 178.8043
61.500000 77.962 178.5271
62.200001 77.940 178.2815
63.000000 77.917 178.0259
64.000000 77.891 177.6550
65.000000 77.857 177.2047
66.000000 77.818 176.8427
67.000000 77.801 176.4631
68.000000 77.765 176.0661
69.000000 77.748 175.8336
70.000000 77.720 175.3817
71.000000 77.663 175.2371
72.000000 77.664 175.0659
73.000000 77.639 174.5745
74.000000 77.591 174.2603
75.000000 77.561 174.0044
76.199997 77.533 173.6793
77.500000 77.500 173.3232
78.800003 77.465 172.9969
80.000000 77.429 172.7078
81.199997 77.391 172.4228
82.500000 77.356 172.1802
83.800003 77.323 171.8470
85.000000 77.284 171.6241
86.199997 77.253 171.3391
87.500000 77.206 171.0347
88.500000 77.172 170.8083
90.000000 77.124 170.5258
91.199997 77.099 170.2626
92.500000 77.053 170.0180
93.800003 77.018 169.8448
95.000000 76.975 169.6955
96.199997 76.946 169.5213
97.500000 76.902 169.3098
98.800003 76.872 168.9868
100.000000 76.817 168.8410
101.500000 76.790 168.5726
103.000000 76.744 168.4785
104.400002 76.704 168.1435
106.000000 76.642 168.0283
107.500000 76.593 167.8898
109.000000 76.558 167.7750
110.599998 76.519 167.5119
112.000000 76.480 167.4321
113.800003 76.445 167.1603
115.000000 76.407 167.0168
117.199997 76.346 166.9272
118.000000 76.320 166.7843
120.599998 76.234 166.5302
122.000000 76.185 166.4299
124.099998 76.141 166.2112
125.000000 76.110 166.0720
126.500000 76.063 166.0793
128.000000 76.025 165.9299
131.500000 75.916 165.7718
132.000000 75.902 165.7480
134.000000 75.848 165.6792
136.000000 75.783 165.5541
138.000000 75.724 165.5718
140.000000 75.666 165.5275
143.000000 75.583 165.5556
145.000000 75.518 165.6595
147.500000 75.470 165.8599
150.000000 75.401 165.8033
152.500000 75.419 165.6877
155.000000 75.386 165.5932
157.500000 75.332 165.4539
160.000000 75.264 165.2406
162.500000 75.195 165.1209
165.000000 75.134 165.1005
167.500000 75.073 165.0617
170.000000 74.996 165.1328
172.500000 74.919 165.1848
175.000000 74.840 165.3433
177.500000 74.779 165.4434
180.000000 74.691 165.8545
182.500000 74.618 166.1447
185.000000 74.580 166.7255
187.500000 74.577 167.2407
190.000000 74.609 167.6647
192.500000 74.653 167.7241
195.000000 74.706 167.5934
197.500000 74.736 167.4230
200.000000 74.709 167.2699
203.000000 74.670 166.8562
206.000000 74.626 166.6524
209.000000 74.577 166.6150
212.000000 74.508 166.4249
214.000000 74.468 166.4214
218.000000 74.408 166.5171
220.000000 74.367 166.5357
224.000000 74.301 166.6043
227.000000 74.253 166.5989
230.000000 74.217 166.6890
233.000000 74.175 166.7264
236.000000 74.120 166.7743
240.000000 74.061 166.8736
243.000000 74.021 167.0769
247.000000 73.974 167.1454
250.000000 73.965 167.1324
254.000000 73.886 167.3659
258.000000 73.837 167.5422
262.000000 73.777 167.7532
265.000000 73.744 167.8258
269.000000 73.705 167.9592
272.000000 73.664 168.2027
276.000000 73.632 168.2104
280.000000 73.599 168.5234
285.000000 73.559 168.5933
290.000000 73.523 168.6955
295.000000 73.462 169.0078
300.000000 73.426 169.0365
304.000000 73.378 169.3947
307.000000 73.344 169.3617
311.000000 73.315 169.5015
315.000000 73.269 169.5775
