* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 17:15:46 05-04-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: DM R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 84.674 120.5700
1.015000 84.501 119.6693
1.030000 84.322 118.7668
1.044000 84.150 117.9227
1.060000 83.945 116.9556
1.075000 83.745 116.0467
1.090000 83.538 115.1353
1.106000 83.311 114.1833
1.120000 83.126 113.4910
1.138000 82.907 112.8011
1.150000 82.771 112.4476
1.172000 82.535 111.9750
1.180000 82.452 111.8476
1.206000 82.186 111.5388
1.220000 82.041 111.4077
1.241000 81.813 111.2045
1.250000 81.711 111.1010
1.265000 81.530 110.8875
1.280000 81.334 110.6023
1.315000 80.804 109.5238
1.320000 80.718 109.3095
1.340000 80.344 108.2670
1.360000 79.916 106.8851
1.380000 79.428 105.1073
1.400000 78.871 102.8772
1.430000 77.892 98.5604
1.450000 77.132 94.9524
1.475000 76.031 89.5002
1.500000 74.609 82.7992
1.525000 72.885 74.9584
1.550000 70.921 66.1497
1.575000 68.779 56.5446
1.600000 66.522 46.3152
1.625000 64.212 35.6332
1.650000 61.912 24.6704
1.675000 59.685 13.5986
1.700000 57.593 2.5895
1.725000 55.697 -8.1849
1.750000 54.062 -18.5529
1.775000 52.748 -28.3428
1.800000 51.820 -37.3827
1.825000 51.338 -45.5008
1.850000 51.359 -52.7680
1.875000 51.861 -59.6830
1.900000 52.782 -66.2768
1.925000 54.058 -72.5573
1.950000 55.626 -78.5325
1.975000 57.421 -84.2103
2.000000 59.380 -89.5988
2.030000 61.858 -95.6943
2.060000 64.370 -101.3983
2.090000 66.807 -106.7248
2.120000 69.058 -111.6873
2.140000 70.402 -114.8004
2.180000 72.565 -120.5760
2.200000 73.320 -123.2452
2.240000 74.424 -127.8042
2.270000 75.017 -130.5204
2.300000 75.437 -132.7276
2.330000 75.710 -134.5098
2.360000 75.860 -135.9513
2.400000 75.914 -137.4888
2.430000 75.878 -138.4626
2.470000 75.777 -139.6819
2.500000 75.693 -140.6463
2.540000 75.620 -142.1585
2.580000 75.630 -144.0689
2.620000 75.623 -146.1172
2.650000 75.588 -147.6693
2.690000 75.499 -149.7255
2.720000 75.399 -151.2339
2.760000 75.222 -153.1657
2.800000 74.992 -154.9669
2.850000 74.629 -156.9693
2.900000 74.177 -158.6160
2.950000 73.623 -159.9350
3.000000 72.879 -161.7161
3.040000 72.172 -163.3304
3.070000 71.597 -164.4846
3.110000 70.798 -165.7445
3.150000 69.994 -166.4523
3.200000 69.031 -166.1733
3.250000 68.175 -164.1376
3.300000 67.491 -159.8437
3.350000 66.892 -152.2355
3.400000 66.312 -141.5803
3.450000 65.791 -129.0186
3.500000 65.370 -115.6909
3.550000 65.088 -102.7378
3.600000 64.984 -91.2999
3.650000 65.100 -82.5175
3.700000 65.511 -76.8800
3.750000 66.265 -73.2003
3.820000 67.706 -70.5520
3.870000 68.867 -69.9489
3.950000 70.659 -70.1990
4.000000 71.574 -70.5418
4.060000 72.336 -70.7952
4.120000 72.902 -71.8263
4.180000 73.329 -73.5600
4.250000 73.688 -76.1044
4.310000 73.908 -78.4184
4.370000 74.075 -80.5653
4.440000 74.218 -82.7232
4.500000 74.257 -84.6669
4.550000 74.234 -86.3153
4.620000 74.129 -88.5521
4.680000 73.979 -90.2974
4.750000 73.747 -91.9950
4.820000 73.441 -93.4090
4.870000 73.160 -94.3857
4.940000 72.705 -95.5427
5.000000 72.278 -96.1876
5.080000 71.695 -96.2961
5.150000 71.194 -95.4503
5.220000 70.616 -93.6456
5.300000 69.904 -90.6780
5.380000 69.246 -87.0855
5.450000 68.804 -83.7088
5.520000 68.563 -80.2680
5.600000 68.510 -75.4994
5.700000 68.673 -68.9848
5.800000 68.970 -63.2939
5.900000 69.300 -59.8388
6.000000 69.774 -58.3325
6.080000 70.203 -58.0933
6.150000 70.550 -58.3772
6.220000 70.819 -58.9484
6.300000 71.026 -60.0680
6.400000 71.204 -62.3740
6.500000 71.286 -65.2354
6.600000 71.267 -68.1684
6.700000 71.137 -71.2730
6.800000 70.905 -74.6336
6.900000 70.593 -77.9607
7.000000 70.216 -81.0226
7.100000 69.742 -84.0325
7.200000 69.207 -86.8569
7.300000 68.661 -89.2551
7.400000 68.110 -91.0657
7.500000 67.515 -92.4029
7.620000 66.857 -93.5019
7.750000 66.354 -94.1087
7.880000 66.024 -93.8138
8.000000 65.881 -93.5365
8.120000 65.934 -94.0000
8.250000 66.232 -95.0085
8.380000 66.646 -96.6328
8.500000 67.044 -98.8995
8.620000 67.506 -101.9130
8.750000 68.005 -105.5078
8.850000 68.343 -108.2578
9.000000 68.814 -112.6577
9.120000 69.148 -116.0377
9.250000 69.452 -119.2747
9.380000 69.701 -122.2269
9.500000 69.903 -124.5418
9.620000 70.080 -126.3509
9.750000 70.241 -127.8179
9.880000 70.404 -128.8544
10.000000 70.569 -129.3948
10.150000 70.782 -129.5676
10.300000 71.025 -129.5519
10.440000 71.284 -129.3269
10.600000 71.594 -129.0006
10.750000 71.884 -128.8198
10.900000 72.174 -128.6832
11.060000 72.450 -128.5965
11.200000 72.665 -128.5856
11.380000 72.905 -128.5280
11.500000 73.038 -128.4381
11.720000 73.242 -128.1721
11.800000 73.309 -128.0243
12.060000 73.495 -127.4194
12.200000 73.587 -127.0851
12.410000 73.712 -126.5899
12.500000 73.757 -126.4231
12.650000 73.825 -126.1991
12.800000 73.876 -126.0288
13.150000 73.912 -125.8319
13.200000 73.909 -125.8042
13.400000 73.872 -125.6902
13.600000 73.817 -125.5403
13.800000 73.751 -125.3234
14.000000 73.692 -125.1522
14.300000 73.621 -125.0663
14.500000 73.587 -125.2820
14.750000 73.537 -125.8972
15.000000 73.472 -126.8928
15.250000 73.376 -128.1333
15.500000 73.264 -129.4532
15.750000 73.148 -130.7686
16.000000 73.060 -132.0014
16.250000 73.017 -133.2373
16.500000 73.025 -134.5302
16.750000 73.080 -135.9750
17.000000 73.160 -137.5493
17.250000 73.252 -139.1840
17.500000 73.345 -140.7760
17.750000 73.439 -142.1757
18.000000 73.538 -143.3481
18.250000 73.650 -144.2583
18.500000 73.780 -144.9696
18.750000 73.922 -145.5346
19.000000 74.071 -146.0018
19.250000 74.214 -146.3996
19.500000 74.346 -146.7156
19.750000 74.464 -146.9433
20.000000 74.568 -147.0757
20.299999 74.675 -147.1446
20.600000 74.763 -147.1549
20.900000 74.830 -147.1571
21.200001 74.869 -147.1559
21.400000 74.880 -147.1462
21.799999 74.875 -147.0963
22.000000 74.865 -147.0738
22.400000 74.837 -147.1108
22.700001 74.810 -147.2859
23.000000 74.771 -147.6190
23.299999 74.717 -148.0671
23.600000 74.654 -148.5737
24.000000 74.574 -149.2833
24.299999 74.532 -149.8616
24.700001 74.508 -150.7827
25.000000 74.507 -151.6208
25.400000 74.512 -152.8730
25.799999 74.517 -154.0916
26.200001 74.535 -155.1106
26.500000 74.567 -155.7294
26.900000 74.640 -156.4250
27.200001 74.709 -156.9011
27.600000 74.805 -157.4941
28.000000 74.894 -158.0038
28.500000 74.986 -158.4769
29.000000 75.055 -158.7885
29.500000 75.097 -158.9738
30.000000 75.117 -159.0609
30.400000 75.124 -159.1210
30.700001 75.125 -159.2072
31.100000 75.115 -159.4107
31.500000 75.089 -159.6956
32.000000 75.040 -160.0941
32.500000 74.994 -160.5269
33.000000 74.963 -161.0724
33.500000 74.941 -161.7505
34.000000 74.923 -162.4642
34.500000 74.920 -163.1339
35.000000 74.938 -163.7805
35.500000 74.967 -164.4296
36.000000 74.996 -165.0302
36.500000 75.021 -165.5209
37.000000 75.047 -165.9024
37.500000 75.072 -166.2124
38.200001 75.098 -166.5847
38.700001 75.108 -166.8461
39.500000 75.096 -167.2723
40.000000 75.078 -167.5014
40.599998 75.063 -167.7753
41.200001 75.053 -168.1567
41.799999 75.036 -168.6192
42.500000 75.015 -169.1248
43.099998 75.007 -169.5438
43.700001 75.001 -169.9678
44.400002 74.995 -170.3673
45.000000 75.005 -170.6597
45.500000 75.019 -170.9760
46.200001 75.016 -171.4876
46.799999 74.994 -171.7892
47.500000 74.994 -172.0035
48.200001 75.018 -172.4621
48.700001 75.010 -172.9616
49.400002 74.946 -173.4534
50.000000 74.908 -173.4697
50.799999 74.943 -173.5360
51.500000 74.971 -174.0154
52.200001 74.951 -174.4288
53.000000 74.941 -174.6792
53.799999 74.934 -175.1116
54.500000 74.897 -175.4572
55.200001 74.871 -175.6689
56.000000 74.859 -176.0394
57.000000 74.826 -176.5476
58.000000 74.821 -176.9302
59.000000 74.824 -177.4217
60.000000 74.817 -177.7558
60.799999 74.818 -178.0302
61.500000 74.794 -178.2924
62.200001 74.757 -178.3708
63.000000 74.744 -178.4161
64.000000 74.715 -178.8477
65.000000 74.648 -179.0411
66.000000 74.656 -179.2347
67.000000 74.650 -179.8314
68.000000 74.628 179.8401
69.000000 74.636 179.4305
70.000000 74.596 179.0306
71.000000 74.565 179.0172
72.000000 74.567 178.8442
73.000000 74.541 178.5283
74.000000 74.505 178.3262
75.000000 74.483 178.1006
76.199997 74.451 177.7721
77.500000 74.416 177.4789
78.800003 74.390 177.2131
80.000000 74.368 176.9263
81.199997 74.338 176.6498
82.500000 74.312 176.5240
83.800003 74.303 176.2142
85.000000 74.256 176.0969
86.199997 74.252 175.9476
87.500000 74.200 175.5733
88.500000 74.163 175.4795
90.000000 74.138 175.2599
91.199997 74.123 174.9737
92.500000 74.089 174.8274
93.800003 74.079 174.5869
95.000000 74.026 174.4309
96.199997 73.995 174.3196
97.500000 73.939 174.1996
98.800003 73.920 174.0188
100.000000 73.850 173.8792
101.500000 73.863 173.9718
103.000000 73.804 173.7521
104.400002 73.804 173.8471
106.000000 73.803 173.7999
107.500000 73.778 173.5843
109.000000 73.776 173.5239
110.599998 73.753 173.3134
112.000000 73.726 173.0587
113.800003 73.699 172.9234
115.000000 73.679 172.7850
117.199997 73.657 172.5054
118.000000 73.633 172.4041
120.599998 73.576 172.2264
122.000000 73.552 172.0979
124.099998 73.526 171.8014
125.000000 73.493 171.6800
126.500000 73.460 171.7319
128.000000 73.444 171.5774
131.500000 73.359 171.2348
132.000000 73.344 171.3019
134.000000 73.328 171.1958
136.000000 73.292 171.0618
138.000000 73.250 171.0023
140.000000 73.222 170.8732
143.000000 73.139 170.7032
145.000000 73.098 170.6935
147.500000 73.038 170.5646
150.000000 72.991 170.2121
152.500000 72.970 170.2206
155.000000 72.921 170.2439
157.500000 72.857 170.2727
160.000000 72.799 170.2312
162.500000 72.754 170.2336
165.000000 72.678 170.1943
167.500000 72.625 170.1822
170.000000 72.550 170.4743
172.500000 72.469 170.6143
175.000000 72.449 171.0008
177.500000 72.411 171.3887
180.000000 72.392 171.6786
182.500000 72.354 172.0855
185.000000 72.365 172.2645
187.500000 72.394 172.8258
190.000000 72.407 173.5057
192.500000 72.487 173.4738
195.000000 72.584 173.3948
197.500000 72.590 172.9760
200.000000 72.622 172.3501
203.000000 72.612 172.1095
206.000000 72.578 171.6649
209.000000 72.549 171.6425
212.000000 72.512 171.2420
214.000000 72.495 171.1665
218.000000 72.435 170.9668
220.000000 72.419 170.8258
224.000000 72.381 170.7214
227.000000 72.351 170.6030
230.000000 72.319 170.6758
233.000000 72.249 170.4703
236.000000 72.218 170.5005
240.000000 72.173 170.3603
243.000000 72.152 170.4067
247.000000 72.097 170.4158
250.000000 72.081 170.6902
254.000000 72.019 170.3600
258.000000 71.983 170.4547
262.000000 71.924 170.3270
265.000000 71.918 170.3560
269.000000 71.875 170.4316
272.000000 71.825 170.5034
276.000000 71.777 170.5926
280.000000 71.743 170.6286
285.000000 71.682 170.6008
290.000000 71.655 170.7496
295.000000 71.604 170.7444
300.000000 71.537 170.9750
304.000000 71.503 170.7777
307.000000 71.492 170.9232
311.000000 71.454 171.0453
315.000000 71.410 171.0729
