* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 13:10:29 15-04-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: DM L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 84.693 120.5547
1.015000 84.521 119.6485
1.030000 84.342 118.7397
1.044000 84.170 117.8888
1.060000 83.965 116.9131
1.075000 83.766 115.9949
1.090000 83.559 115.0732
1.106000 83.333 114.1070
1.120000 83.145 113.3883
1.138000 82.919 112.6448
1.150000 82.776 112.2450
1.172000 82.525 111.6699
1.180000 82.435 111.5006
1.206000 82.146 111.0446
1.220000 81.988 110.8300
1.241000 81.741 110.5007
1.250000 81.630 110.3443
1.265000 81.436 110.0458
1.280000 81.229 109.6813
1.315000 80.680 108.4534
1.320000 80.592 108.2230
1.340000 80.215 107.1325
1.360000 79.791 105.7327
1.380000 79.314 103.9725
1.400000 78.776 101.8007
1.430000 77.844 97.6591
1.450000 77.130 94.2342
1.475000 76.105 89.1003
1.500000 74.792 82.8675
1.525000 73.210 75.6336
1.550000 71.413 67.5443
1.575000 69.458 58.7455
1.600000 67.401 49.3830
1.625000 65.298 39.6026
1.650000 63.206 29.5500
1.675000 61.181 19.3711
1.700000 59.278 9.2117
1.725000 57.554 -0.7824
1.750000 56.066 -10.4654
1.775000 54.869 -19.6915
1.800000 54.019 -28.3149
1.825000 53.573 -36.1899
1.850000 53.581 -43.4050
1.875000 54.024 -50.4403
1.900000 54.845 -57.3039
1.925000 55.988 -63.9810
1.950000 57.394 -70.4570
1.975000 59.006 -76.7171
2.000000 60.768 -82.7467
2.030000 62.998 -89.6572
2.060000 65.260 -96.1891
2.090000 67.457 -102.3172
2.120000 69.489 -108.0159
2.140000 70.702 -111.5641
2.180000 72.660 -118.0240
2.200000 73.346 -120.9197
2.240000 74.358 -125.7840
2.270000 74.911 -128.6434
2.300000 75.313 -130.9312
2.330000 75.583 -132.7415
2.360000 75.745 -134.1685
2.400000 75.831 -135.6377
2.430000 75.824 -136.5365
2.470000 75.764 -137.6432
2.500000 75.708 -138.5264
2.540000 75.660 -139.9539
2.580000 75.678 -141.8224
2.620000 75.672 -143.8359
2.650000 75.637 -145.3585
2.690000 75.548 -147.3685
2.720000 75.449 -148.8359
2.760000 75.274 -150.7022
2.800000 75.048 -152.4235
2.850000 74.694 -154.3015
2.900000 74.258 -155.7921
2.950000 73.728 -156.9030
3.000000 73.017 -158.3112
3.040000 72.340 -159.5389
3.070000 71.791 -160.3809
3.110000 71.029 -161.2298
3.150000 70.263 -161.5732
3.200000 69.351 -160.9714
3.250000 68.548 -158.8411
3.300000 67.917 -154.7671
3.350000 67.382 -147.8114
3.400000 66.880 -138.1860
3.450000 66.443 -126.8886
3.500000 66.102 -114.9163
3.550000 65.888 -103.2666
3.600000 65.833 -92.9369
3.650000 65.967 -84.9245
3.700000 66.358 -79.6421
3.750000 67.054 -76.0281
3.820000 68.370 -73.1269
3.870000 69.428 -72.1923
3.950000 71.064 -71.8449
4.000000 71.904 -71.8819
4.060000 72.615 -71.9165
4.120000 73.155 -72.7590
4.180000 73.573 -74.3102
4.250000 73.936 -76.6509
4.310000 74.166 -78.7998
4.370000 74.343 -80.7918
4.440000 74.492 -82.7822
4.500000 74.539 -84.5918
4.550000 74.526 -86.1352
4.620000 74.436 -88.2367
4.680000 74.304 -89.8774
4.750000 74.098 -91.4677
4.820000 73.824 -92.7712
4.870000 73.570 -93.6570
4.940000 73.157 -94.6964
5.000000 72.770 -95.2745
5.080000 72.243 -95.3837
5.150000 71.795 -94.6603
5.220000 71.284 -93.0962
5.300000 70.659 -90.5116
5.380000 70.080 -87.3761
5.450000 69.687 -84.4260
5.520000 69.463 -81.4193
5.600000 69.391 -77.2583
5.700000 69.494 -71.5702
5.800000 69.719 -66.5779
5.900000 69.990 -63.4892
6.000000 70.403 -62.0231
6.080000 70.784 -61.6779
6.150000 71.095 -61.8296
6.220000 71.338 -62.2818
6.300000 71.531 -63.2772
6.400000 71.707 -65.3818
6.500000 71.801 -68.0215
6.600000 71.803 -70.7459
6.700000 71.702 -73.6548
6.800000 71.509 -76.8218
6.900000 71.246 -79.9639
7.000000 70.927 -82.8521
7.100000 70.521 -85.6836
7.200000 70.063 -88.3463
7.300000 69.600 -90.6289
7.400000 69.140 -92.3865
7.500000 68.647 -93.7178
7.620000 68.107 -94.8724
7.750000 67.702 -95.6369
7.880000 67.449 -95.6500
8.000000 67.352 -95.6354
8.120000 67.418 -96.1956
8.250000 67.690 -97.1771
8.380000 68.060 -98.6518
8.500000 68.417 -100.6521
8.620000 68.831 -103.2633
8.750000 69.280 -106.3747
8.850000 69.584 -108.7749
9.000000 70.010 -112.6301
9.120000 70.313 -115.6016
9.250000 70.591 -118.4598
9.380000 70.821 -121.0797
9.500000 71.010 -123.1450
9.620000 71.181 -124.7703
9.750000 71.339 -126.1047
9.880000 71.501 -127.0727
10.000000 71.665 -127.6140
10.150000 71.878 -127.8639
10.300000 72.114 -127.9599
10.440000 72.363 -127.8788
10.600000 72.657 -127.7287
10.750000 72.930 -127.6916
10.900000 73.200 -127.6897
11.060000 73.457 -127.7277
11.200000 73.658 -127.8082
11.380000 73.881 -127.8621
11.500000 74.006 -127.8454
11.720000 74.199 -127.7144
11.800000 74.262 -127.6195
12.060000 74.437 -127.1926
12.200000 74.524 -126.9526
12.410000 74.640 -126.5942
12.500000 74.683 -126.4798
12.650000 74.746 -126.3353
12.800000 74.793 -126.2362
13.150000 74.826 -126.1745
13.200000 74.823 -126.1652
13.400000 74.789 -126.1227
13.600000 74.739 -126.0454
13.800000 74.679 -125.9060
14.000000 74.625 -125.8046
14.300000 74.560 -125.7989
14.500000 74.529 -126.0335
14.750000 74.486 -126.6300
15.000000 74.431 -127.5611
15.250000 74.352 -128.7088
15.500000 74.261 -129.9307
15.750000 74.169 -131.1558
16.000000 74.103 -132.3206
16.250000 74.077 -133.5011
16.500000 74.094 -134.7412
16.750000 74.151 -136.1181
17.000000 74.228 -137.6005
17.250000 74.314 -139.1236
17.500000 74.401 -140.5913
17.750000 74.489 -141.8765
18.000000 74.586 -142.9559
18.250000 74.696 -143.8077
18.500000 74.823 -144.5001
18.750000 74.961 -145.0798
19.000000 75.104 -145.5896
19.250000 75.238 -146.0431
19.500000 75.360 -146.4189
19.750000 75.465 -146.7034
20.000000 75.556 -146.8823
20.299999 75.651 -146.9932
20.600000 75.729 -147.0357
20.900000 75.788 -147.0583
21.200001 75.824 -147.0806
21.400000 75.834 -147.0838
21.799999 75.830 -147.0530
22.000000 75.821 -147.0312
22.400000 75.800 -147.0470
22.700001 75.783 -147.1968
23.000000 75.759 -147.5165
23.299999 75.721 -147.9793
23.600000 75.671 -148.5270
24.000000 75.597 -149.3000
24.299999 75.550 -149.8875
24.700001 75.516 -150.7243
25.000000 75.511 -151.4343
25.400000 75.524 -152.4952
25.799999 75.550 -153.6031
26.200001 75.586 -154.6474
26.500000 75.622 -155.3505
26.900000 75.680 -156.1703
27.200001 75.730 -156.6962
27.600000 75.800 -157.2723
28.000000 75.872 -157.7059
28.500000 75.961 -158.1015
29.000000 76.038 -158.4264
29.500000 76.086 -158.7003
30.000000 76.106 -158.8923
30.400000 76.110 -159.0132
30.700001 76.108 -159.1201
31.100000 76.096 -159.3139
31.500000 76.074 -159.5557
32.000000 76.041 -159.8923
32.500000 76.018 -160.3102
33.000000 76.006 -160.9157
33.500000 75.989 -161.6973
34.000000 75.960 -162.4832
34.500000 75.936 -163.1262
35.000000 75.936 -163.6431
35.500000 75.962 -164.1335
36.000000 75.997 -164.6357
36.500000 76.030 -165.1138
37.000000 76.054 -165.5186
37.500000 76.072 -165.8274
38.200001 76.097 -166.1483
38.700001 76.114 -166.3906
39.500000 76.118 -166.8875
40.000000 76.102 -167.2005
40.599998 76.080 -167.5526
41.200001 76.059 -167.9360
41.799999 76.035 -168.3308
42.500000 76.015 -168.7236
43.099998 76.017 -169.0532
43.700001 76.030 -169.4521
44.400002 76.039 -169.9709
45.000000 76.039 -170.3989
45.500000 76.034 -170.7226
46.200001 76.024 -171.1218
46.799999 76.014 -171.4308
47.500000 76.005 -171.7738
48.200001 76.003 -172.1544
48.700001 75.999 -172.4908
49.400002 75.974 -172.9529
50.000000 75.949 -173.1783
50.799999 75.956 -173.3931
51.500000 75.971 -173.7723
52.200001 75.957 -174.1243
53.000000 75.948 -174.3395
53.799999 75.950 -174.6777
54.500000 75.926 -175.0082
55.200001 75.900 -175.2233
56.000000 75.890 -175.5167
57.000000 75.869 -176.0601
58.000000 75.833 -176.4878
59.000000 75.825 -176.7345
60.000000 75.839 -177.1027
60.799999 75.829 -177.4211
61.500000 75.813 -177.5945
62.200001 75.803 -177.7391
63.000000 75.791 -177.9720
64.000000 75.764 -178.3086
65.000000 75.734 -178.6714
66.000000 75.698 -179.0288
67.000000 75.674 -179.2504
68.000000 75.676 -179.5075
69.000000 75.664 -179.8502
70.000000 75.638 179.9859
71.000000 75.638 179.8081
72.000000 75.616 179.4183
73.000000 75.571 179.1549
74.000000 75.538 178.9514
75.000000 75.516 178.7814
76.199997 75.510 178.4765
77.500000 75.476 178.1044
78.800003 75.449 177.8651
80.000000 75.413 177.6110
81.199997 75.389 177.4745
82.500000 75.376 177.1830
83.800003 75.350 176.9050
85.000000 75.329 176.6701
86.199997 75.300 176.4557
87.500000 75.271 176.2255
88.500000 75.240 176.0689
90.000000 75.218 175.8253
91.199997 75.182 175.5980
92.500000 75.168 175.4776
93.800003 75.140 175.2557
95.000000 75.118 175.1285
96.199997 75.089 174.9919
97.500000 75.066 174.8024
98.800003 75.033 174.6945
100.000000 75.015 174.5004
101.500000 74.982 174.3699
103.000000 74.949 174.1717
104.400002 74.922 173.9825
106.000000 74.884 173.8296
107.500000 74.857 173.6439
109.000000 74.822 173.4774
110.599998 74.796 173.4250
112.000000 74.759 173.2967
113.800003 74.740 173.1057
115.000000 74.706 172.9939
117.199997 74.651 172.7741
118.000000 74.638 172.7266
120.599998 74.585 172.5193
122.000000 74.557 172.4177
124.099998 74.519 172.2802
125.000000 74.499 172.2038
126.500000 74.458 172.2216
128.000000 74.433 172.1058
131.500000 74.342 171.9979
132.000000 74.345 171.9865
134.000000 74.304 171.8786
136.000000 74.259 171.7937
138.000000 74.227 171.6360
140.000000 74.163 171.7906
143.000000 74.122 171.7874
145.000000 74.099 171.7632
147.500000 74.067 171.6290
150.000000 74.041 171.7004
152.500000 73.983 171.8328
155.000000 73.930 171.9288
157.500000 73.889 171.9449
160.000000 73.856 171.9662
162.500000 73.837 171.9939
165.000000 73.831 172.3377
167.500000 73.802 172.3613
170.000000 73.788 172.3586
172.500000 73.769 172.3239
175.000000 73.779 172.4158
177.500000 73.765 172.2849
180.000000 73.749 172.2227
182.500000 73.728 172.1101
185.000000 73.711 172.0245
187.500000 73.680 172.0961
190.000000 73.669 172.0927
192.500000 73.677 172.0990
195.000000 73.649 172.0528
197.500000 73.674 171.9399
200.000000 73.665 171.6877
203.000000 73.628 171.7063
206.000000 73.608 171.6609
209.000000 73.552 171.4647
212.000000 73.527 171.5471
214.000000 73.521 171.3843
218.000000 73.454 171.3100
220.000000 73.436 171.2648
224.000000 73.409 171.2214
227.000000 73.379 171.1750
230.000000 73.361 171.1121
233.000000 73.320 171.2201
236.000000 73.271 171.1160
240.000000 73.230 171.1821
243.000000 73.219 171.0991
247.000000 73.143 170.9701
250.000000 73.103 170.8117
254.000000 73.098 170.9144
258.000000 73.049 170.9648
262.000000 72.991 171.1267
265.000000 72.965 171.1981
269.000000 72.907 171.1594
272.000000 72.882 171.3000
276.000000 72.855 171.5024
280.000000 72.805 171.6836
285.000000 72.779 171.8904
290.000000 72.777 172.0274
295.000000 72.746 171.8633
300.000000 72.703 171.7953
304.000000 72.685 171.7276
307.000000 72.655 171.8048
311.000000 72.599 171.8267
315.000000 72.586 171.7635
