* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 13:03:13 15-04-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: DM R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 84.772 120.8089
1.015000 84.600 119.9186
1.030000 84.423 119.0274
1.044000 84.251 118.1950
1.060000 84.047 117.2426
1.075000 83.849 116.3486
1.090000 83.643 115.4536
1.106000 83.419 114.5221
1.120000 83.243 113.8576
1.138000 83.046 113.2170
1.150000 82.929 112.9037
1.172000 82.737 112.5175
1.180000 82.672 112.4247
1.206000 82.471 112.2370
1.220000 82.362 112.1745
1.241000 82.189 112.0752
1.250000 82.109 112.0158
1.265000 81.964 111.8741
1.280000 81.801 111.6570
1.315000 81.328 110.7151
1.320000 81.247 110.5170
1.340000 80.886 109.5286
1.360000 80.456 108.1813
1.380000 79.946 106.4149
1.400000 79.347 104.1696
1.430000 78.259 99.7725
1.450000 77.393 96.0673
1.475000 76.112 90.4354
1.500000 74.426 83.4651
1.525000 72.359 75.2725
1.550000 69.990 66.0442
1.575000 67.395 55.9665
1.600000 64.652 45.2262
1.625000 61.840 34.0096
1.650000 59.036 22.5033
1.675000 56.317 10.8936
1.700000 53.761 -0.6328
1.725000 51.446 -11.8895
1.750000 49.449 -22.6899
1.775000 47.849 -32.8476
1.800000 46.723 -42.1761
1.825000 46.148 -50.4890
1.850000 46.193 -57.8499
1.875000 46.829 -64.7738
1.900000 47.980 -71.3028
1.925000 49.566 -77.4555
1.950000 51.510 -83.2506
1.975000 53.732 -88.7066
2.000000 56.154 -93.8421
2.030000 59.215 -99.6079
2.060000 62.314 -104.9711
2.090000 65.317 -109.9640
2.120000 68.088 -114.6185
2.140000 69.739 -117.5495
2.180000 72.390 -123.0413
2.200000 73.203 -125.6193
2.240000 73.296 -130.0494
2.270000 73.458 -132.6950
2.300000 73.680 -134.8516
2.330000 73.946 -136.6011
2.360000 74.240 -138.0257
2.400000 74.647 -139.5614
2.430000 74.941 -140.5468
2.470000 75.288 -141.7946
2.500000 75.493 -142.7874
2.540000 75.662 -144.3429
2.580000 75.707 -146.2968
2.620000 75.712 -148.3771
2.650000 75.685 -149.9501
2.690000 75.608 -152.0385
2.720000 75.517 -153.5805
2.760000 75.352 -155.5782
2.800000 75.134 -157.4799
2.850000 74.785 -159.6728
2.900000 74.348 -161.6022
2.950000 73.811 -163.3346
3.000000 73.116 -165.7887
3.040000 72.463 -168.0842
3.070000 71.930 -169.7948
3.110000 71.184 -171.8107
3.150000 70.418 -173.2379
3.200000 69.467 -173.7186
3.250000 68.566 -172.1824
3.300000 67.760 -168.0151
3.350000 66.918 -160.1135
3.400000 65.984 -148.8307
3.450000 65.046 -135.4052
3.500000 64.190 -121.0750
3.550000 63.502 -107.0785
3.600000 63.069 -94.6539
3.650000 62.979 -85.0395
3.700000 63.338 -78.7352
3.750000 64.168 -74.4038
3.820000 65.858 -70.8891
3.870000 67.253 -69.7246
3.950000 69.420 -69.2259
4.000000 70.515 -69.2223
4.060000 71.396 -69.2193
4.120000 72.028 -70.1917
4.180000 72.491 -72.0136
4.250000 72.866 -74.7681
4.310000 73.087 -77.2872
4.370000 73.254 -79.6002
4.440000 73.401 -81.8670
4.500000 73.438 -83.9041
4.550000 73.408 -85.6307
4.620000 73.283 -87.9681
4.680000 73.109 -89.7823
4.750000 72.840 -91.5291
4.820000 72.485 -92.9935
4.870000 72.161 -94.0335
4.940000 71.637 -95.2625
5.000000 71.146 -95.9043
5.080000 70.471 -95.8326
5.150000 69.889 -94.5853
5.220000 69.203 -92.1141
5.300000 68.354 -88.1577
5.380000 67.575 -83.4635
5.450000 67.069 -79.1363
5.520000 66.825 -74.8282
5.600000 66.854 -68.9863
5.700000 67.192 -61.1178
5.800000 67.673 -54.3319
5.900000 68.128 -50.3286
6.000000 68.698 -48.8695
6.080000 69.189 -48.9066
6.150000 69.576 -49.4710
6.220000 69.867 -50.2475
6.300000 70.076 -51.5086
6.400000 70.225 -53.9947
6.500000 70.253 -57.0086
6.600000 70.164 -60.0324
6.700000 69.947 -63.1729
6.800000 69.610 -66.5205
6.900000 69.173 -69.7658
7.000000 68.650 -72.6654
7.100000 68.004 -75.4695
7.200000 67.279 -77.9992
7.300000 66.535 -79.9499
7.400000 65.774 -81.0868
7.500000 64.944 -81.5380
7.620000 64.028 -81.4748
7.750000 63.337 -80.8605
7.880000 62.904 -79.1718
8.000000 62.718 -77.9143
8.120000 62.769 -78.1845
8.250000 63.127 -79.7677
8.380000 63.620 -82.4192
8.500000 64.068 -85.8548
8.620000 64.573 -90.3894
8.750000 65.119 -95.6867
8.850000 65.493 -99.5871
9.000000 66.018 -105.6321
9.120000 66.395 -110.1720
9.250000 66.745 -114.4220
9.380000 67.039 -118.1765
9.500000 67.283 -121.0576
9.620000 67.502 -123.2540
9.750000 67.708 -124.9423
9.880000 67.921 -126.0740
10.000000 68.139 -126.5976
10.150000 68.427 -126.6112
10.300000 68.750 -126.4303
10.440000 69.093 -126.0425
10.600000 69.498 -125.5438
10.750000 69.870 -125.2606
10.900000 70.236 -125.0540
11.060000 70.581 -124.8938
11.200000 70.845 -124.8263
11.380000 71.139 -124.6692
11.500000 71.301 -124.4864
11.720000 71.551 -124.0103
11.800000 71.633 -123.7724
12.060000 71.866 -122.8374
12.200000 71.983 -122.3265
12.410000 72.143 -121.5676
12.500000 72.201 -121.2948
12.650000 72.290 -120.9042
12.800000 72.358 -120.5698
13.150000 72.416 -119.9798
13.200000 72.415 -119.8911
13.400000 72.383 -119.5165
13.600000 72.332 -119.0929
13.800000 72.270 -118.5883
14.000000 72.217 -118.1549
14.300000 72.154 -117.7424
14.500000 72.119 -117.8114
14.750000 72.059 -118.2991
15.000000 71.969 -119.2144
15.250000 71.835 -120.3737
15.500000 71.680 -121.5958
15.750000 71.523 -122.7974
16.000000 71.402 -123.9242
16.250000 71.342 -125.1169
16.500000 71.343 -126.4513
16.750000 71.400 -128.0483
17.000000 71.484 -129.8504
17.250000 71.583 -131.7577
17.500000 71.682 -133.6239
17.750000 71.785 -135.2608
18.000000 71.899 -136.6286
18.250000 72.034 -137.6891
18.500000 72.193 -138.5253
18.750000 72.369 -139.1977
19.000000 72.554 -139.7619
19.250000 72.731 -140.2405
19.500000 72.894 -140.6121
19.750000 73.040 -140.8639
20.000000 73.169 -140.9848
20.299999 73.305 -141.0006
20.600000 73.419 -140.9263
20.900000 73.509 -140.8128
21.200001 73.568 -140.6764
21.400000 73.591 -140.5607
21.799999 73.608 -140.2758
22.000000 73.608 -140.1313
22.400000 73.601 -139.9418
22.700001 73.588 -139.9836
23.000000 73.558 -140.2227
23.299999 73.506 -140.6065
23.600000 73.437 -141.0626
24.000000 73.341 -141.7009
24.299999 73.284 -142.2112
24.700001 73.245 -143.0278
25.000000 73.241 -143.7966
25.400000 73.254 -145.0052
25.799999 73.280 -146.2794
26.200001 73.323 -147.4735
26.500000 73.370 -148.2831
26.900000 73.452 -149.2532
27.200001 73.521 -149.8973
27.600000 73.614 -150.6164
28.000000 73.706 -151.1415
28.500000 73.819 -151.5562
29.000000 73.920 -151.8142
29.500000 73.993 -151.9623
30.000000 74.040 -151.9956
30.400000 74.066 -151.9966
30.700001 74.080 -152.0368
31.100000 74.086 -152.1846
31.500000 74.072 -152.4197
32.000000 74.034 -152.7576
32.500000 73.995 -153.1290
33.000000 73.970 -153.6136
33.500000 73.956 -154.2421
34.000000 73.951 -154.9515
34.500000 73.958 -155.6833
35.000000 73.976 -156.4080
35.500000 74.001 -157.0575
36.000000 74.037 -157.5775
36.500000 74.088 -158.0225
37.000000 74.138 -158.4727
37.500000 74.168 -158.8668
38.200001 74.193 -159.1223
38.700001 74.228 -159.2310
39.500000 74.265 -159.7560
40.000000 74.242 -160.0898
40.599998 74.214 -160.2014
41.200001 74.248 -160.3482
41.799999 74.300 -161.0143
42.500000 74.274 -162.1218
43.099998 74.195 -162.6051
43.700001 74.168 -162.5877
44.400002 74.237 -162.6756
45.000000 74.304 -163.2126
45.500000 74.313 -163.7383
46.200001 74.287 -164.0992
46.799999 74.304 -164.1370
47.500000 74.363 -164.5222
48.200001 74.360 -165.2704
48.700001 74.309 -165.5863
49.400002 74.272 -165.5026
50.000000 74.317 -165.5105
50.799999 74.367 -166.1719
51.500000 74.330 -166.6649
52.200001 74.310 -166.7225
53.000000 74.343 -166.9428
53.799999 74.344 -167.4016
54.500000 74.331 -167.6931
55.200001 74.326 -168.0462
56.000000 74.299 -168.4662
57.000000 74.289 -168.7990
58.000000 74.304 -169.3213
59.000000 74.308 -169.7657
60.000000 74.322 -170.1835
60.799999 74.317 -170.4576
61.500000 74.314 -170.5941
62.200001 74.317 -170.7702
63.000000 74.305 -171.0394
64.000000 74.283 -171.2563
65.000000 74.288 -171.6413
66.000000 74.259 -172.1143
67.000000 74.253 -172.3393
68.000000 74.265 -172.7138
69.000000 74.257 -172.9830
70.000000 74.258 -173.1962
71.000000 74.243 -173.4037
72.000000 74.237 -173.5336
73.000000 74.241 -173.8443
74.000000 74.218 -174.2303
75.000000 74.199 -174.4549
76.199997 74.201 -174.8159
77.500000 74.184 -175.2068
78.800003 74.172 -175.4720
80.000000 74.166 -175.7484
81.199997 74.152 -176.0524
82.500000 74.139 -176.2820
83.800003 74.136 -176.5937
85.000000 74.119 -176.8187
86.199997 74.099 -177.0132
87.500000 74.093 -177.2110
88.500000 74.070 -177.5393
90.000000 74.035 -177.7098
91.199997 74.029 -177.9747
92.500000 74.019 -178.2231
93.800003 74.003 -178.4895
95.000000 73.982 -178.6827
96.199997 73.963 -178.7931
97.500000 73.955 -179.0669
98.800003 73.922 -179.2236
100.000000 73.920 -179.4160
101.500000 73.889 -179.6855
103.000000 73.861 -179.8231
104.400002 73.852 179.9174
106.000000 73.807 179.7299
107.500000 73.801 179.4668
109.000000 73.775 179.2653
110.599998 73.740 179.0527
112.000000 73.725 178.9290
113.800003 73.697 178.7053
115.000000 73.666 178.5877
117.199997 73.619 178.3578
118.000000 73.596 178.2948
120.599998 73.520 178.1265
122.000000 73.489 177.9844
124.099998 73.454 177.8388
125.000000 73.425 177.8536
126.500000 73.394 177.9560
128.000000 73.355 178.1913
131.500000 73.339 178.3911
132.000000 73.350 178.3838
134.000000 73.360 178.2952
136.000000 73.367 178.0629
138.000000 73.386 178.0428
140.000000 73.363 177.7542
143.000000 73.337 177.4621
145.000000 73.326 177.1167
147.500000 73.284 177.0587
150.000000 73.221 176.6703
152.500000 73.209 176.6151
155.000000 73.205 176.4986
157.500000 73.145 176.3516
160.000000 73.093 176.3268
162.500000 73.054 176.1562
165.000000 73.027 176.0461
167.500000 72.970 176.0007
170.000000 72.950 175.9859
172.500000 72.893 175.9517
175.000000 72.870 175.9771
177.500000 72.835 176.0255
180.000000 72.792 176.0477
182.500000 72.736 176.2179
185.000000 72.721 176.2682
187.500000 72.726 176.4681
190.000000 72.716 176.6166
192.500000 72.711 176.5731
195.000000 72.720 176.4832
197.500000 72.701 176.4373
200.000000 72.720 176.3449
203.000000 72.656 176.1160
206.000000 72.630 175.9495
209.000000 72.596 175.9769
212.000000 72.578 175.9194
214.000000 72.558 175.8283
218.000000 72.501 175.5903
220.000000 72.463 175.7746
224.000000 72.392 175.7523
227.000000 72.357 175.7086
230.000000 72.329 175.8467
233.000000 72.295 175.9628
236.000000 72.255 175.8886
240.000000 72.243 176.3162
243.000000 72.199 176.3090
247.000000 72.184 176.5500
250.000000 72.158 176.6545
254.000000 72.145 176.5377
258.000000 72.136 176.7773
262.000000 72.085 176.7716
265.000000 72.073 176.7769
269.000000 72.022 176.6859
272.000000 72.001 176.9312
276.000000 71.996 177.0352
280.000000 71.914 177.1359
285.000000 71.906 177.3342
290.000000 71.927 177.6799
295.000000 71.911 177.6591
300.000000 71.881 177.8710
304.000000 71.867 177.6404
307.000000 71.830 177.6299
