* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 21:43:32 06-04-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: DT600 L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 83.251 125.9620
1.015000 83.021 125.2988
1.030000 82.778 124.6671
1.044000 82.539 124.1083
1.060000 82.248 123.5089
1.075000 81.959 122.9877
1.090000 81.653 122.5086
1.106000 81.303 122.0224
1.120000 80.960 121.4869
1.138000 80.466 120.6366
1.150000 80.108 119.9865
1.172000 79.400 118.6654
1.180000 79.128 118.1549
1.206000 78.202 116.4405
1.220000 77.683 115.5128
1.241000 76.887 114.1655
1.250000 76.541 113.6177
1.265000 75.964 112.7627
1.280000 75.389 111.9996
1.315000 74.078 110.7052
1.320000 73.897 110.5882
1.340000 73.193 110.3239
1.360000 72.531 110.4259
1.380000 71.922 110.9482
1.400000 71.376 111.9450
1.430000 70.698 114.4481
1.450000 70.354 116.8675
1.475000 70.063 120.8840
1.500000 69.896 126.4530
1.525000 69.837 133.4617
1.550000 69.874 141.6640
1.575000 69.996 150.8137
1.600000 70.191 160.6648
1.625000 70.448 170.9712
1.650000 70.756 -178.5133
1.675000 71.104 -168.0346
1.700000 71.480 -157.8389
1.725000 71.873 -148.1724
1.750000 72.272 -139.2809
1.775000 72.666 -131.4108
1.800000 73.042 -124.8080
1.825000 73.391 -119.7186
1.850000 73.726 -116.1884
1.875000 74.101 -113.7965
1.900000 74.511 -112.4040
1.925000 74.949 -111.8886
1.950000 75.408 -112.1282
1.975000 75.881 -113.0006
2.000000 76.360 -114.3836
2.030000 76.935 -116.5452
2.060000 77.497 -119.0550
2.090000 78.034 -121.7018
2.120000 78.533 -124.2746
2.140000 78.840 -125.8444
2.180000 79.372 -128.3536
2.200000 79.590 -129.1716
2.240000 79.956 -130.6193
2.270000 80.182 -131.7784
2.300000 80.369 -132.9871
2.330000 80.523 -134.2336
2.360000 80.647 -135.5060
2.400000 80.773 -137.2224
2.430000 80.843 -138.5092
2.470000 80.911 -140.2017
2.500000 80.948 -141.4383
2.540000 80.987 -143.0208
2.580000 81.018 -144.5149
2.620000 81.021 -146.0089
2.650000 81.003 -147.1333
2.690000 80.953 -148.6198
2.720000 80.898 -149.7131
2.760000 80.803 -151.1244
2.800000 80.686 -152.4624
2.850000 80.512 -153.9981
2.900000 80.312 -155.3416
2.950000 80.087 -156.4711
3.000000 79.815 -157.5281
3.040000 79.566 -158.3123
3.070000 79.365 -158.8432
3.110000 79.083 -159.4484
3.150000 78.791 -159.9064
3.200000 78.420 -160.2221
3.250000 78.056 -160.1928
3.300000 77.709 -159.7544
3.350000 77.346 -158.8327
3.400000 76.951 -157.4701
3.450000 76.548 -155.7617
3.500000 76.159 -153.8028
3.550000 75.807 -151.6883
3.600000 75.514 -149.5136
3.650000 75.304 -147.3736
3.700000 75.191 -145.1919
3.750000 75.160 -142.6861
3.820000 75.222 -138.9004
3.870000 75.323 -136.2104
3.950000 75.537 -132.3642
4.000000 75.681 -130.4899
4.060000 75.854 -128.9798
4.120000 76.081 -128.0743
4.180000 76.348 -127.6492
4.250000 76.673 -127.6406
4.310000 76.932 -127.9482
4.370000 77.146 -128.4518
4.440000 77.319 -129.2766
4.500000 77.435 -130.3709
4.550000 77.510 -131.5004
4.620000 77.580 -133.2994
4.680000 77.604 -134.9371
4.750000 77.589 -136.8213
4.820000 77.522 -138.6981
4.870000 77.443 -140.1435
4.940000 77.294 -142.2363
5.000000 77.133 -144.0209
5.080000 76.880 -146.2646
5.150000 76.626 -148.0043
5.220000 76.322 -149.6799
5.300000 75.925 -151.4938
5.380000 75.499 -153.0691
5.450000 75.125 -154.1448
5.520000 74.760 -154.8480
5.600000 74.309 -155.2152
5.700000 73.731 -155.1554
5.800000 73.221 -154.6777
5.900000 72.858 -153.8748
6.000000 72.614 -152.3843
6.080000 72.492 -150.9915
6.150000 72.437 -149.9086
6.220000 72.433 -149.1839
6.300000 72.508 -148.7940
6.400000 72.722 -148.6671
6.500000 72.996 -149.0137
6.600000 73.254 -149.9147
6.700000 73.505 -151.5228
6.800000 73.767 -153.7014
6.900000 74.007 -156.1542
7.000000 74.194 -158.6449
7.100000 74.339 -161.3961
7.200000 74.450 -164.2641
7.300000 74.528 -166.9935
7.400000 74.566 -169.4780
7.500000 74.563 -171.8729
7.620000 74.530 -174.4382
7.750000 74.483 -176.5890
7.880000 74.403 -178.1371
8.000000 74.339 -179.1009
8.120000 74.323 -179.6143
8.250000 74.341 -179.5670
8.380000 74.409 -179.2498
8.500000 74.535 -178.9575
8.620000 74.721 -178.5214
8.750000 74.953 -178.1258
8.850000 75.137 -178.0309
9.000000 75.444 -178.1255
9.120000 75.680 -178.3459
9.250000 75.899 -178.7292
9.380000 76.093 -179.2768
9.500000 76.243 -179.7729
9.620000 76.356 179.8051
9.750000 76.444 179.3767
9.880000 76.508 179.0857
10.000000 76.550 178.9930
10.150000 76.577 179.0583
10.300000 76.604 179.2887
10.440000 76.630 179.6875
10.600000 76.662 -179.7717
10.750000 76.704 -179.2699
10.900000 76.751 -178.7565
11.060000 76.795 -178.3064
11.200000 76.830 -177.9919
11.380000 76.858 -177.6587
11.500000 76.863 -177.4873
11.720000 76.848 -177.2218
11.800000 76.834 -177.1201
12.060000 76.768 -176.7999
12.200000 76.727 -176.6273
12.410000 76.658 -176.3925
12.500000 76.628 -176.3314
12.650000 76.579 -176.2692
12.800000 76.526 -176.2830
13.150000 76.379 -176.6845
13.200000 76.354 -176.7711
13.400000 76.242 -177.2032
13.600000 76.120 -177.6828
13.800000 75.986 -178.1766
14.000000 75.860 -178.6675
14.300000 75.698 -179.4187
14.500000 75.623 179.9988
14.750000 75.561 179.0788
15.000000 75.529 177.9115
15.250000 75.507 176.5084
15.500000 75.485 175.0165
15.750000 75.461 173.5353
16.000000 75.441 172.2274
16.250000 75.443 171.1331
16.500000 75.473 170.2377
16.750000 75.541 169.4790
17.000000 75.634 168.7568
17.250000 75.741 168.0532
17.500000 75.846 167.3548
17.750000 75.935 166.7382
18.000000 76.009 166.2439
18.250000 76.068 165.9178
18.500000 76.120 165.7527
18.750000 76.167 165.7051
19.000000 76.211 165.7347
19.250000 76.247 165.7824
19.500000 76.270 165.8424
19.750000 76.277 165.9094
20.000000 76.268 165.9973
20.299999 76.241 166.1178
20.600000 76.202 166.2213
20.900000 76.151 166.2564
21.200001 76.087 166.1775
21.400000 76.034 166.0631
21.799999 75.907 165.7282
22.000000 75.836 165.5263
22.400000 75.694 165.0698
22.700001 75.599 164.6422
23.000000 75.517 164.0880
23.299999 75.443 163.3962
23.600000 75.374 162.6049
24.000000 75.290 161.4948
24.299999 75.241 160.6918
24.700001 75.205 159.6835
25.000000 75.202 158.9479
25.400000 75.219 157.9679
25.799999 75.243 157.0344
26.200001 75.263 156.2481
26.500000 75.276 155.7938
26.900000 75.294 155.3595
27.200001 75.307 155.1305
27.600000 75.318 154.9183
28.000000 75.316 154.7970
28.500000 75.298 154.7371
29.000000 75.263 154.6679
29.500000 75.202 154.4993
30.000000 75.110 154.2558
30.400000 75.023 154.0362
30.700001 74.957 153.8403
31.100000 74.873 153.4889
31.500000 74.789 153.0143
32.000000 74.683 152.3018
32.500000 74.582 151.5514
33.000000 74.501 150.7882
33.500000 74.439 150.0031
34.000000 74.386 149.2605
34.500000 74.344 148.6432
35.000000 74.319 148.1394
35.500000 74.302 147.6849
36.000000 74.278 147.2766
36.500000 74.244 146.9504
37.000000 74.199 146.6967
37.500000 74.145 146.4771
38.200001 74.052 146.2087
38.700001 73.983 146.0055
39.500000 73.867 145.4807
40.000000 73.779 145.0735
40.599998 73.671 144.6260
41.200001 73.580 144.1670
41.799999 73.495 143.6324
42.500000 73.389 143.0963
43.099998 73.316 142.7960
43.700001 73.265 142.4787
44.400002 73.202 142.0136
45.000000 73.133 141.6282
45.500000 73.067 141.3413
46.200001 72.965 141.0081
46.799999 72.883 140.7997
47.500000 72.811 140.4324
48.200001 72.719 139.7584
48.700001 72.612 139.2984
49.400002 72.446 139.1001
50.000000 72.356 139.2343
50.799999 72.309 139.1402
51.500000 72.248 138.7104
52.200001 72.148 138.3536
53.000000 72.031 138.0944
53.799999 71.911 137.8439
54.500000 71.811 137.6739
55.200001 71.726 137.4050
56.000000 71.610 136.9425
57.000000 71.447 136.6398
58.000000 71.335 136.5083
59.000000 71.232 136.2682
60.000000 71.117 136.1616
60.799999 71.039 136.0685
61.500000 70.957 135.8109
62.200001 70.839 135.5629
63.000000 70.697 135.5066
64.000000 70.567 135.5088
65.000000 70.472 135.1926
66.000000 70.331 134.6726
67.000000 70.170 134.6135
68.000000 70.054 134.6680
69.000000 69.933 134.6982
70.000000 69.814 134.7450
71.000000 69.694 134.7107
72.000000 69.561 134.6006
73.000000 69.421 134.6529
74.000000 69.320 134.7565
75.000000 69.224 134.7315
76.199997 69.081 134.7371
77.500000 68.937 135.0878
78.800003 68.802 134.9986
80.000000 68.622 135.1930
81.199997 68.499 135.3798
82.500000 68.341 135.5246
83.800003 68.204 135.8812
85.000000 68.102 136.1334
86.199997 67.967 136.1416
87.500000 67.804 136.5797
88.500000 67.740 136.7513
90.000000 67.563 136.9254
91.199997 67.499 137.4953
92.500000 67.389 137.5169
93.800003 67.258 138.1322
95.000000 67.157 138.3816
96.199997 67.035 138.7074
97.500000 66.905 139.0255
98.800003 66.794 139.3650
100.000000 66.666 139.8759
101.500000 66.604 140.4183
103.000000 66.471 140.9238
104.400002 66.371 141.0802
106.000000 66.237 142.0936
107.500000 66.197 142.3588
109.000000 66.087 142.8792
110.599998 65.983 143.3271
112.000000 65.877 143.9360
113.800003 65.774 144.3862
115.000000 65.699 144.9632
117.199997 65.605 145.8610
118.000000 65.578 146.1673
120.599998 65.414 146.9384
122.000000 65.369 147.6017
124.099998 65.271 148.0221
125.000000 65.223 148.4572
126.500000 65.191 149.0092
128.000000 65.102 149.6393
131.500000 64.990 150.9145
132.000000 64.981 151.1593
134.000000 64.914 151.9309
136.000000 64.856 152.5432
138.000000 64.828 153.5107
140.000000 64.775 154.0886
143.000000 64.712 154.9842
145.000000 64.700 155.7977
147.500000 64.648 156.6651
150.000000 64.582 157.9974
152.500000 64.590 158.3221
155.000000 64.511 158.9969
157.500000 64.502 159.4796
160.000000 64.494 160.3387
162.500000 64.453 161.0653
165.000000 64.440 162.0949
167.500000 64.434 162.4714
170.000000 64.421 163.2639
172.500000 64.407 163.8329
175.000000 64.448 164.5089
177.500000 64.417 165.0320
180.000000 64.399 165.5133
182.500000 64.380 165.6414
185.000000 64.423 166.5965
187.500000 64.434 166.8851
190.000000 64.439 167.5196
192.500000 64.437 167.9827
195.000000 64.448 168.3074
197.500000 64.508 168.9125
200.000000 64.563 168.9187
203.000000 64.512 169.9131
206.000000 64.557 170.2323
209.000000 64.573 170.8496
212.000000 64.511 171.1747
214.000000 64.574 171.4189
218.000000 64.577 171.8313
220.000000 64.555 171.9765
224.000000 64.597 172.7414
227.000000 64.620 172.9709
230.000000 64.619 173.3809
233.000000 64.649 173.8375
236.000000 64.671 174.0565
240.000000 64.662 174.3178
243.000000 64.696 174.8341
247.000000 64.744 174.7559
250.000000 64.659 174.7275
254.000000 64.760 175.4828
258.000000 64.784 175.5359
262.000000 64.818 175.8281
265.000000 64.783 175.7610
269.000000 64.784 176.2345
272.000000 64.777 176.5928
276.000000 64.806 177.0501
280.000000 64.796 177.2762
285.000000 64.785 177.5475
290.000000 64.889 177.6342
295.000000 64.890 178.3283
300.000000 64.830 178.2026
304.000000 64.864 178.7266
307.000000 64.866 178.7507
311.000000 64.853 178.8933
315.000000 64.854 179.3045
320.000000 64.896 179.7337
325.000000 64.868 179.9041
330.000000 64.909 179.9994
335.000000 64.871 -179.8243
340.000000 64.939 -179.3779
345.000000 64.909 -178.9994
350.000000 64.879 -179.1096
355.000000 64.885 -178.6081
