* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 14:46:39 10-05-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Doscinco L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 85.597 121.8284
1.015000 85.415 120.9232
1.030000 85.225 120.0116
1.044000 85.041 119.1545
1.060000 84.821 118.1671
1.075000 84.607 117.2331
1.090000 84.384 116.2907
1.106000 84.136 115.3014
1.120000 83.914 114.5891
1.138000 83.622 113.8921
1.150000 83.423 113.5434
1.172000 83.050 113.0939
1.180000 82.911 112.9782
1.206000 82.448 112.7128
1.220000 82.192 112.6049
1.241000 81.796 112.4300
1.250000 81.623 112.3347
1.265000 81.328 112.1275
1.280000 81.027 111.8369
1.315000 80.296 110.6848
1.320000 80.188 110.4517
1.340000 79.749 109.3082
1.360000 79.295 107.7803
1.380000 78.826 105.8049
1.400000 78.343 103.3191
1.430000 77.589 98.4956
1.450000 77.065 94.4583
1.475000 76.377 88.3366
1.500000 75.566 80.6663
1.525000 74.637 71.5735
1.550000 73.615 61.2905
1.575000 72.531 50.0497
1.600000 71.411 38.0838
1.625000 70.284 25.6251
1.650000 69.177 12.9062
1.675000 68.118 0.1595
1.700000 67.135 -12.3825
1.725000 66.256 -24.4873
1.750000 65.509 -35.9224
1.775000 64.922 -46.4555
1.800000 64.522 -55.8539
1.825000 64.338 -63.8853
1.850000 64.400 -70.5529
1.875000 64.710 -76.3469
1.900000 65.238 -81.3687
1.925000 65.949 -85.6988
1.950000 66.811 -89.4176
1.975000 67.791 -92.6057
2.000000 68.857 -95.3435
2.030000 70.202 -98.1477
2.060000 71.565 -100.5583
2.090000 72.890 -102.7145
2.120000 74.120 -104.7551
2.140000 74.859 -106.1201
2.180000 76.066 -109.0461
2.200000 76.502 -110.6868
2.240000 77.171 -113.7881
2.270000 77.558 -115.7984
2.300000 77.859 -117.5729
2.330000 78.086 -119.1431
2.360000 78.250 -120.5404
2.400000 78.389 -122.1887
2.430000 78.449 -123.3046
2.470000 78.492 -124.6918
2.500000 78.510 -125.6974
2.540000 78.537 -127.0514
2.580000 78.583 -128.4776
2.620000 78.593 -129.9146
2.650000 78.568 -130.9671
2.690000 78.497 -132.3080
2.720000 78.419 -133.2473
2.760000 78.288 -134.3827
2.800000 78.130 -135.3515
2.850000 77.904 -136.2739
2.900000 77.658 -136.8104
2.950000 77.395 -136.9073
3.000000 77.055 -136.6602
3.040000 76.736 -136.2324
3.070000 76.479 -135.7751
3.110000 76.128 -134.9809
3.150000 75.782 -133.9728
3.200000 75.383 -132.4067
3.250000 75.051 -130.4945
3.300000 74.821 -128.2276
3.350000 74.671 -125.2817
3.400000 74.573 -121.6193
3.450000 74.525 -117.5154
3.500000 74.528 -113.2451
3.550000 74.580 -109.0835
3.600000 74.682 -105.3055
3.650000 74.831 -102.1862
3.700000 75.048 -99.8037
3.750000 75.359 -97.8091
3.820000 75.905 -95.5923
3.870000 76.333 -94.3861
3.950000 77.006 -93.0410
4.000000 77.374 -92.5271
4.060000 77.731 -92.2513
4.120000 78.053 -92.5354
4.180000 78.347 -93.2789
4.250000 78.648 -94.5339
4.310000 78.865 -95.7761
4.370000 79.041 -97.0192
4.440000 79.186 -98.4100
4.500000 79.262 -99.7757
4.550000 79.294 -101.0022
4.620000 79.295 -102.7690
4.680000 79.262 -104.2505
4.750000 79.188 -105.8377
4.820000 79.071 -107.2904
4.870000 78.953 -108.3282
4.940000 78.752 -109.7206
5.000000 78.555 -110.8008
5.080000 78.271 -111.9829
5.150000 78.015 -112.6932
5.220000 77.721 -113.1413
5.300000 77.351 -113.3749
5.380000 76.981 -113.3258
5.450000 76.686 -113.0627
5.520000 76.439 -112.5822
5.600000 76.184 -111.5753
5.700000 75.908 -109.8982
5.800000 75.707 -108.2351
5.900000 75.614 -107.0175
6.000000 75.643 -105.9439
6.080000 75.724 -105.2563
6.150000 75.812 -104.8990
6.220000 75.897 -104.8679
6.300000 75.999 -105.2875
6.400000 76.158 -106.3612
6.500000 76.316 -107.8827
6.600000 76.432 -109.6802
6.700000 76.505 -111.8564
6.800000 76.549 -114.3927
6.900000 76.561 -117.0496
7.000000 76.537 -119.6339
7.100000 76.471 -122.3144
7.200000 76.375 -124.9930
7.300000 76.266 -127.4868
7.400000 76.145 -129.7081
7.500000 76.001 -131.7621
7.620000 75.832 -133.9258
7.750000 75.694 -135.7725
7.880000 75.584 -137.0741
8.000000 75.528 -137.9785
8.120000 75.545 -138.7292
8.250000 75.642 -139.2424
8.380000 75.795 -139.7134
8.500000 75.979 -140.3288
8.620000 76.216 -141.0234
8.750000 76.488 -141.8937
8.850000 76.686 -142.6863
9.000000 76.989 -144.0825
9.120000 77.215 -145.2428
9.250000 77.424 -146.4657
9.380000 77.605 -147.7029
9.500000 77.750 -148.7362
9.620000 77.872 -149.6017
9.750000 77.977 -150.3989
9.880000 78.072 -151.0177
10.000000 78.153 -151.3966
10.150000 78.245 -151.6516
10.300000 78.342 -151.7675
10.440000 78.440 -151.7243
10.600000 78.555 -151.6002
10.750000 78.667 -151.4974
10.900000 78.779 -151.3822
11.060000 78.887 -151.3011
11.200000 78.972 -151.2670
11.380000 79.064 -151.2281
11.500000 79.110 -151.2018
11.720000 79.174 -151.1340
11.800000 79.191 -151.0904
12.060000 79.226 -150.9087
12.200000 79.239 -150.8055
12.410000 79.249 -150.6589
12.500000 79.251 -150.6252
12.650000 79.250 -150.5999
12.800000 79.241 -150.6211
13.150000 79.182 -150.8816
13.200000 79.170 -150.9312
13.400000 79.106 -151.1649
13.600000 79.031 -151.4114
13.800000 78.948 -151.6485
14.000000 78.869 -151.9058
14.300000 78.768 -152.3646
14.500000 78.717 -152.7976
14.750000 78.665 -153.5327
15.000000 78.621 -154.4948
15.250000 78.573 -155.6339
15.500000 78.522 -156.8360
15.750000 78.472 -158.0330
16.000000 78.434 -159.1328
16.250000 78.423 -160.1447
16.500000 78.442 -161.0903
16.750000 78.493 -162.0227
17.000000 78.564 -162.9728
17.250000 78.646 -163.9249
17.500000 78.728 -164.8508
17.750000 78.806 -165.6736
18.000000 78.880 -166.3670
18.250000 78.953 -166.9028
18.500000 79.029 -167.3042
18.750000 79.106 -167.6033
19.000000 79.183 -167.8297
19.250000 79.254 -168.0130
19.500000 79.316 -168.1521
19.750000 79.366 -168.2477
20.000000 79.405 -168.2961
20.299999 79.439 -168.3133
20.600000 79.461 -168.3161
20.900000 79.469 -168.3392
21.200001 79.460 -168.4012
21.400000 79.444 -168.4575
21.799999 79.394 -168.5894
22.000000 79.363 -168.6659
22.400000 79.302 -168.8701
22.700001 79.259 -169.1206
23.000000 79.218 -169.4951
23.299999 79.174 -169.9849
23.600000 79.128 -170.5524
24.000000 79.066 -171.3599
24.299999 79.029 -171.9694
24.700001 78.999 -172.7913
25.000000 78.994 -173.4298
25.400000 79.001 -174.3027
25.799999 79.019 -175.1372
26.200001 79.048 -175.8641
26.500000 79.078 -176.3299
26.900000 79.129 -176.8715
27.200001 79.171 -177.2389
27.600000 79.221 -177.6793
28.000000 79.260 -178.0367
28.500000 79.293 -178.3450
29.000000 79.312 -178.5466
29.500000 79.315 -178.7085
30.000000 79.304 -178.8693
30.400000 79.286 -179.0259
30.700001 79.270 -179.1814
31.100000 79.242 -179.4558
31.500000 79.206 -179.7938
32.000000 79.155 179.7426
32.500000 79.111 179.2469
33.000000 79.082 178.6711
33.500000 79.059 178.0075
34.000000 79.038 177.3416
34.500000 79.026 176.7533
35.000000 79.028 176.2318
35.500000 79.040 175.7354
36.000000 79.051 175.2766
36.500000 79.058 174.8917
37.000000 79.064 174.5764
37.500000 79.067 174.2969
38.200001 79.060 173.9304
38.700001 79.049 173.6694
39.500000 79.019 173.2048
40.000000 78.995 172.8901
40.599998 78.966 172.4853
41.200001 78.939 172.0151
41.799999 78.908 171.5135
42.500000 78.873 170.9959
43.099998 78.858 170.5807
43.700001 78.849 170.1176
44.400002 78.827 169.5886
45.000000 78.807 169.2256
45.500000 78.795 168.9488
46.200001 78.779 168.5255
46.799999 78.756 168.1618
47.500000 78.729 167.7917
48.200001 78.712 167.3879
48.700001 78.697 167.0347
49.400002 78.660 166.5472
50.000000 78.627 166.2356
50.799999 78.603 165.8570
51.500000 78.581 165.4382
52.200001 78.546 165.0502
53.000000 78.507 164.6846
53.799999 78.470 164.2858
54.500000 78.433 163.9391
55.200001 78.400 163.5801
56.000000 78.361 163.1278
57.000000 78.319 162.5922
58.000000 78.283 162.0021
59.000000 78.238 161.5408
60.000000 78.215 161.1498
60.799999 78.186 160.7311
61.500000 78.141 160.4261
62.200001 78.100 160.2054
63.000000 78.063 159.8630
64.000000 77.990 159.3788
65.000000 77.940 159.0583
66.000000 77.908 158.4729
67.000000 77.844 158.0149
68.000000 77.826 157.6708
69.000000 77.785 157.0420
70.000000 77.706 156.7154
71.000000 77.663 156.4647
72.000000 77.607 156.0699
73.000000 77.556 155.7551
74.000000 77.504 155.3011
75.000000 77.438 154.9945
76.199997 77.387 154.6072
77.500000 77.306 154.2487
78.800003 77.253 153.8536
80.000000 77.169 153.3481
81.199997 77.066 153.0504
82.500000 77.010 152.9077
83.800003 76.955 152.3550
85.000000 76.888 152.0220
86.199997 76.812 151.6695
87.500000 76.754 151.4631
88.500000 76.699 151.1562
90.000000 76.626 150.8347
91.199997 76.533 150.5787
92.500000 76.484 150.4266
93.800003 76.385 149.9905
95.000000 76.319 149.8169
96.199997 76.229 149.4285
97.500000 76.153 149.2913
98.800003 76.070 149.1954
100.000000 76.051 149.1891
101.500000 75.959 148.9431
103.000000 75.891 149.0319
104.400002 75.852 148.8625
106.000000 75.766 148.4795
107.500000 75.703 148.1064
109.000000 75.621 147.7748
110.599998 75.530 147.5216
112.000000 75.448 147.3913
113.800003 75.373 147.4253
115.000000 75.309 147.3854
117.199997 75.265 147.4680
118.000000 75.235 147.3344
120.599998 75.151 147.0457
122.000000 75.101 146.5989
124.099998 75.020 146.1941
125.000000 74.972 145.8979
126.500000 74.883 145.6417
128.000000 74.798 145.5264
131.500000 74.629 144.9689
132.000000 74.598 144.8878
134.000000 74.494 144.8125
136.000000 74.370 144.6034
138.000000 74.275 144.4993
140.000000 74.168 144.4016
143.000000 74.010 144.2438
145.000000 73.906 144.1363
147.500000 73.798 144.1783
150.000000 73.671 144.1414
152.500000 73.530 143.9680
155.000000 73.414 143.8866
157.500000 73.313 143.9392
160.000000 73.196 144.0801
162.500000 73.081 144.1887
165.000000 72.976 144.2654
167.500000 72.845 144.2134
170.000000 72.735 144.3578
172.500000 72.623 144.5051
175.000000 72.534 144.6999
177.500000 72.424 144.7982
180.000000 72.304 144.9501
182.500000 72.209 145.1242
185.000000 72.117 145.2785
187.500000 72.021 145.4952
190.000000 71.921 145.7935
192.500000 71.823 145.9789
195.000000 71.720 146.2331
197.500000 71.648 146.3224
200.000000 71.533 146.6405
203.000000 71.483 146.9243
206.000000 71.374 147.3624
209.000000 71.278 147.5345
212.000000 71.183 147.8778
214.000000 71.106 148.1443
218.000000 71.000 148.6640
220.000000 70.928 148.7056
224.000000 70.813 149.1753
227.000000 70.746 149.7007
230.000000 70.660 149.9905
233.000000 70.571 150.4164
236.000000 70.516 150.7301
240.000000 70.412 151.3511
243.000000 70.357 151.6962
247.000000 70.256 152.0759
250.000000 70.220 152.7202
254.000000 70.119 153.1009
258.000000 70.046 153.6349
262.000000 69.974 153.9653
265.000000 69.946 154.5253
269.000000 69.847 154.9555
272.000000 69.799 155.3359
276.000000 69.761 156.0204
280.000000 69.704 156.3549
285.000000 69.644 157.0367
290.000000 69.583 157.5810
295.000000 69.506 157.9435
300.000000 69.458 158.6274
304.000000 69.385 158.9409
307.000000 69.354 159.4291
311.000000 69.334 159.8799
315.000000 69.285 160.5242
320.000000 69.212 160.7856
325.000000 69.179 161.4353
330.000000 69.133 161.9716
335.000000 69.087 162.3648
