* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 15:04:45 10-05-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Doscinco R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 84.589 120.8937
1.015000 84.411 119.9714
1.030000 84.225 119.0426
1.044000 84.046 118.1695
1.060000 83.833 117.1637
1.075000 83.625 116.2125
1.090000 83.409 115.2528
1.106000 83.170 114.2421
1.120000 82.960 113.4919
1.138000 82.689 112.7192
1.150000 82.506 112.3055
1.172000 82.168 111.7132
1.180000 82.043 111.5394
1.206000 81.630 111.0709
1.220000 81.402 110.8486
1.241000 81.049 110.5026
1.250000 80.893 110.3360
1.265000 80.629 110.0152
1.280000 80.355 109.6203
1.315000 79.682 108.2792
1.320000 79.581 108.0270
1.340000 79.165 106.8317
1.360000 78.728 105.2967
1.380000 78.268 103.3668
1.400000 77.782 100.9864
1.430000 77.002 96.4499
1.450000 76.446 92.7009
1.475000 75.694 87.0723
1.500000 74.786 80.1312
1.525000 73.728 71.9868
1.550000 72.553 62.8291
1.575000 71.296 52.8480
1.600000 69.988 42.2338
1.625000 68.664 31.1764
1.650000 67.357 19.8658
1.675000 66.100 8.4921
1.700000 64.926 -2.7548
1.725000 63.869 -13.6847
1.750000 62.962 -24.1076
1.775000 62.238 -33.8336
1.800000 61.730 -42.6725
1.825000 61.473 -50.4345
1.850000 61.498 -57.1557
1.875000 61.803 -63.3037
1.900000 62.351 -68.9401
1.925000 63.106 -74.1052
1.950000 64.032 -78.8395
1.975000 65.090 -83.1836
2.000000 66.245 -87.1778
2.030000 67.706 -91.5662
2.060000 69.189 -95.5792
2.090000 70.632 -99.2866
2.120000 71.969 -102.7586
2.140000 72.771 -104.9770
2.180000 74.076 -109.2760
2.200000 74.541 -111.3959
2.240000 75.250 -115.1811
2.270000 75.656 -117.5400
2.300000 75.969 -119.5444
2.330000 76.201 -121.2457
2.360000 76.363 -122.6952
2.400000 76.494 -124.3250
2.430000 76.543 -125.3866
2.470000 76.566 -126.6854
2.500000 76.567 -127.6385
2.540000 76.571 -128.9790
2.580000 76.594 -130.4903
2.620000 76.577 -132.0599
2.650000 76.530 -133.2240
2.690000 76.426 -134.7173
2.720000 76.321 -135.7649
2.760000 76.147 -137.0239
2.800000 75.942 -138.0781
2.850000 75.650 -139.0294
2.900000 75.329 -139.4793
2.950000 74.978 -139.3504
3.000000 74.515 -138.7805
3.040000 74.078 -138.0325
3.070000 73.727 -137.2980
3.110000 73.250 -136.0836
3.150000 72.785 -134.5959
3.200000 72.258 -132.3449
3.250000 71.838 -129.6500
3.300000 71.573 -126.4989
3.350000 71.449 -122.4205
3.400000 71.424 -117.3605
3.450000 71.484 -111.7181
3.500000 71.617 -105.8927
3.550000 71.810 -100.2836
3.600000 72.052 -95.2901
3.650000 72.329 -91.3114
3.700000 72.661 -88.5071
3.750000 73.098 -86.4433
3.820000 73.827 -84.5560
3.870000 74.384 -83.7743
3.950000 75.241 -83.2007
4.000000 75.702 -83.0941
4.060000 76.139 -83.1389
4.120000 76.510 -83.7362
4.180000 76.831 -84.8019
4.250000 77.144 -86.4194
4.310000 77.363 -87.9395
4.370000 77.538 -89.4106
4.440000 77.686 -90.9918
4.500000 77.756 -92.4771
4.550000 77.779 -93.7741
4.620000 77.763 -95.5948
4.680000 77.713 -97.0803
4.750000 77.619 -98.6225
4.820000 77.481 -99.9775
4.870000 77.345 -100.9139
4.940000 77.117 -102.1189
5.000000 76.897 -102.9953
5.080000 76.590 -103.8417
5.150000 76.324 -104.1927
5.220000 76.022 -104.1822
5.300000 75.649 -103.8032
5.380000 75.287 -103.1106
5.450000 75.013 -102.3111
5.520000 74.806 -101.3547
5.600000 74.622 -99.7968
5.700000 74.461 -97.4611
5.800000 74.381 -95.2835
5.900000 74.394 -93.8117
6.000000 74.530 -92.7642
6.080000 74.693 -92.2224
6.150000 74.844 -92.0285
6.220000 74.977 -92.1492
6.300000 75.113 -92.7425
6.400000 75.291 -94.0894
6.500000 75.450 -95.8828
6.600000 75.557 -97.8823
6.700000 75.609 -100.1839
6.800000 75.617 -102.7960
6.900000 75.588 -105.4802
7.000000 75.523 -108.0425
7.100000 75.410 -110.6435
7.200000 75.265 -113.1978
7.300000 75.110 -115.5389
7.400000 74.950 -117.5785
7.500000 74.769 -119.4072
7.620000 74.563 -121.2943
7.750000 74.405 -122.8888
7.880000 74.291 -123.9513
8.000000 74.244 -124.7015
8.120000 74.277 -125.4242
8.250000 74.403 -126.0334
8.380000 74.588 -126.6963
8.500000 74.792 -127.5637
8.620000 75.044 -128.6008
8.750000 75.328 -129.8702
8.850000 75.530 -130.9494
9.000000 75.829 -132.7829
9.120000 76.048 -134.2675
9.250000 76.250 -135.7872
9.380000 76.422 -137.2789
9.500000 76.560 -138.5119
9.620000 76.678 -139.5395
9.750000 76.783 -140.4713
9.880000 76.882 -141.2046
10.000000 76.973 -141.6751
10.150000 77.082 -142.0237
10.300000 77.200 -142.2407
10.440000 77.323 -142.2996
10.600000 77.468 -142.3001
10.750000 77.608 -142.3279
10.900000 77.748 -142.3515
11.060000 77.884 -142.4128
11.200000 77.992 -142.5008
11.380000 78.112 -142.6053
11.500000 78.176 -142.6632
11.720000 78.273 -142.7317
11.800000 78.302 -142.7324
12.060000 78.377 -142.6777
12.200000 78.411 -142.6383
12.410000 78.454 -142.5806
12.500000 78.468 -142.5826
12.650000 78.489 -142.6145
12.800000 78.501 -142.6866
13.150000 78.487 -143.0335
13.200000 78.481 -143.0920
13.400000 78.441 -143.3497
13.600000 78.391 -143.6118
13.800000 78.332 -143.8583
14.000000 78.277 -144.1281
14.300000 78.207 -144.6136
14.500000 78.172 -145.0700
14.750000 78.135 -145.8277
15.000000 78.100 -146.7988
15.250000 78.056 -147.9227
15.500000 78.007 -149.0930
15.750000 77.958 -150.2498
16.000000 77.923 -151.3201
16.250000 77.914 -152.3296
16.500000 77.934 -153.3042
16.750000 77.984 -154.2985
17.000000 78.050 -155.3276
17.250000 78.125 -156.3673
17.500000 78.199 -157.3777
17.750000 78.272 -158.2803
18.000000 78.343 -159.0540
18.250000 78.417 -159.6769
18.500000 78.498 -160.1826
18.750000 78.581 -160.6036
19.000000 78.665 -160.9695
19.250000 78.742 -161.2995
19.500000 78.809 -161.5826
19.750000 78.864 -161.8115
20.000000 78.907 -161.9730
20.299999 78.947 -162.0981
20.600000 78.978 -162.1811
20.900000 78.999 -162.2650
21.200001 79.007 -162.3805
21.400000 79.004 -162.4745
21.799999 78.980 -162.6917
22.000000 78.961 -162.8152
22.400000 78.920 -163.1134
22.700001 78.888 -163.4198
23.000000 78.855 -163.8246
23.299999 78.817 -164.3161
23.600000 78.776 -164.8616
24.000000 78.724 -165.6202
24.299999 78.695 -166.1953
24.700001 78.677 -166.9926
25.000000 78.679 -167.6365
25.400000 78.693 -168.5517
25.799999 78.713 -169.4645
26.200001 78.737 -170.2900
26.500000 78.759 -170.8260
26.900000 78.798 -171.4349
27.200001 78.831 -171.8271
27.600000 78.877 -172.2788
28.000000 78.920 -172.6583
28.500000 78.965 -173.0563
29.000000 78.994 -173.4030
29.500000 79.000 -173.6929
30.000000 78.991 -173.9156
30.400000 78.981 -174.0925
30.700001 78.974 -174.2673
31.100000 78.960 -174.5879
31.500000 78.933 -174.9863
32.000000 78.888 -175.5058
32.500000 78.847 -176.0054
33.000000 78.824 -176.5531
33.500000 78.811 -177.2029
34.000000 78.799 -177.8901
34.500000 78.789 -178.5136
35.000000 78.791 -179.0585
35.500000 78.805 -179.5683
36.000000 78.821 179.9455
36.500000 78.834 179.5065
37.000000 78.844 179.1186
37.500000 78.849 178.7618
38.200001 78.844 178.2958
38.700001 78.833 177.9820
39.500000 78.808 177.4649
40.000000 78.787 177.1135
40.599998 78.760 176.6671
41.200001 78.732 176.2081
41.799999 78.708 175.7498
42.500000 78.689 175.2025
43.099998 78.677 174.7102
43.700001 78.663 174.2379
44.400002 78.650 173.7292
45.000000 78.638 173.2840
45.500000 78.620 172.9307
46.200001 78.593 172.5422
46.799999 78.583 172.2209
47.500000 78.566 171.7015
48.200001 78.521 171.2281
48.700001 78.493 171.0294
49.400002 78.489 170.7468
50.000000 78.493 170.3156
50.799999 78.466 169.6729
51.500000 78.433 169.2650
52.200001 78.410 168.8958
53.000000 78.379 168.4277
53.799999 78.339 168.0156
54.500000 78.310 167.6873
55.200001 78.285 167.3134
56.000000 78.254 166.8489
57.000000 78.217 166.2610
58.000000 78.181 165.7135
59.000000 78.155 165.2160
60.000000 78.123 164.7078
60.799999 78.096 164.3652
61.500000 78.072 164.0037
62.200001 78.028 163.6216
63.000000 77.972 163.3318
64.000000 77.936 162.9467
65.000000 77.897 162.3877
66.000000 77.858 161.8508
67.000000 77.819 161.3488
68.000000 77.796 160.9311
69.000000 77.761 160.3334
70.000000 77.677 159.9845
71.000000 77.636 159.8795
72.000000 77.604 159.4552
73.000000 77.541 159.0409
74.000000 77.488 158.6841
75.000000 77.443 158.2811
76.199997 77.386 157.7559
77.500000 77.319 157.3129
78.800003 77.268 156.8368
80.000000 77.202 156.3657
81.199997 77.130 155.9481
82.500000 77.053 155.6075
83.800003 76.997 155.1474
85.000000 76.924 154.6999
86.199997 76.861 154.2828
87.500000 76.779 153.8175
88.500000 76.723 153.5741
90.000000 76.645 153.2045
91.199997 76.591 152.9478
92.500000 76.506 152.5765
93.800003 76.412 152.3529
95.000000 76.327 152.0208
96.199997 76.220 151.7842
97.500000 76.146 151.6101
98.800003 76.070 151.4482
100.000000 76.021 151.3181
101.500000 75.941 151.3463
103.000000 75.847 151.3688
104.400002 75.806 151.5919
106.000000 75.725 151.5514
107.500000 75.739 151.3456
109.000000 75.691 151.0057
110.599998 75.677 150.6130
112.000000 75.632 150.2384
113.800003 75.581 149.9260
115.000000 75.529 149.4813
117.199997 75.401 149.1293
118.000000 75.367 148.9706
120.599998 75.236 148.4256
122.000000 75.164 148.2748
124.099998 75.064 148.0285
125.000000 75.026 147.9370
126.500000 74.946 147.6554
128.000000 74.871 147.5883
131.500000 74.714 147.1451
132.000000 74.691 147.1441
134.000000 74.623 146.9014
136.000000 74.523 146.5525
138.000000 74.441 146.5422
140.000000 74.341 146.1182
143.000000 74.192 145.8705
145.000000 74.085 145.8268
147.500000 73.960 145.5655
150.000000 73.833 145.5339
152.500000 73.694 145.3538
155.000000 73.573 145.2756
157.500000 73.462 145.2004
160.000000 73.334 145.1670
162.500000 73.210 145.1040
165.000000 73.062 145.0627
167.500000 72.959 145.2041
170.000000 72.841 145.2339
172.500000 72.729 145.3472
175.000000 72.583 145.4250
177.500000 72.485 145.6008
180.000000 72.377 145.7111
182.500000 72.240 146.0144
185.000000 72.094 146.4132
187.500000 72.001 146.8443
190.000000 71.901 147.3478
192.500000 71.827 147.8064
195.000000 71.772 148.3043
197.500000 71.749 148.7100
200.000000 71.698 149.0887
203.000000 71.652 149.1944
206.000000 71.589 149.2462
209.000000 71.518 149.3350
212.000000 71.472 149.5778
214.000000 71.369 149.6018
218.000000 71.281 149.8607
220.000000 71.209 149.8482
224.000000 71.116 150.1196
227.000000 71.014 150.4641
230.000000 70.927 150.7171
233.000000 70.863 150.8718
236.000000 70.778 151.2764
240.000000 70.657 151.6196
243.000000 70.585 152.0380
247.000000 70.495 152.4174
250.000000 70.422 152.8043
254.000000 70.341 153.2800
258.000000 70.241 153.6705
262.000000 70.168 154.0779
265.000000 70.118 154.4893
269.000000 70.041 155.0351
272.000000 69.981 155.3548
276.000000 69.911 155.8112
280.000000 69.854 156.1585
285.000000 69.764 156.8624
290.000000 69.704 157.5290
295.000000 69.645 158.2029
300.000000 69.579 158.6944
304.000000 69.498 159.1916
307.000000 69.448 159.3339
311.000000 69.433 159.8699
315.000000 69.378 160.0847
320.000000 69.343 160.6504
325.000000 69.298 161.4949
330.000000 69.254 161.9337
