* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 20:43:25 02-06-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Dunu Davinci 75ohm L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 84.127 121.6442
1.015000 83.941 120.7170
1.030000 83.747 119.7798
1.044000 83.560 118.8954
1.060000 83.336 117.8723
1.075000 83.117 116.9004
1.090000 82.889 115.9153
1.106000 82.635 114.8733
1.120000 82.403 114.0992
1.138000 82.093 113.3011
1.150000 81.880 112.8731
1.172000 81.473 112.2578
1.180000 81.321 112.0762
1.206000 80.813 111.5818
1.220000 80.530 111.3436
1.241000 80.095 110.9693
1.250000 79.905 110.7883
1.265000 79.583 110.4394
1.280000 79.257 110.0106
1.315000 78.476 108.5617
1.320000 78.363 108.2902
1.340000 77.906 107.0068
1.360000 77.443 105.3639
1.380000 76.976 103.3038
1.400000 76.505 100.7685
1.430000 75.795 95.9478
1.450000 75.320 91.9711
1.475000 74.718 86.0014
1.500000 74.035 78.5821
1.525000 73.271 69.8294
1.550000 72.448 59.9617
1.575000 71.586 49.1974
1.600000 70.705 37.7549
1.625000 69.827 25.8527
1.650000 68.972 13.7092
1.675000 68.160 1.5427
1.700000 67.414 -10.4283
1.725000 66.752 -21.9854
1.750000 66.197 -32.9102
1.775000 65.769 -42.9842
1.800000 65.488 -51.9892
1.825000 65.375 -59.7066
1.850000 65.456 -66.1407
1.875000 65.740 -71.7542
1.900000 66.201 -76.6417
1.925000 66.812 -80.8780
1.950000 67.546 -84.5378
1.975000 68.376 -87.6959
2.000000 69.275 -90.4270
2.030000 70.407 -93.2460
2.060000 71.554 -95.6869
2.090000 72.669 -97.8789
2.120000 73.706 -99.9512
2.140000 74.330 -101.3300
2.180000 75.358 -104.2534
2.200000 75.734 -105.8718
2.240000 76.320 -108.9236
2.270000 76.666 -110.9036
2.300000 76.942 -112.6515
2.330000 77.157 -114.1970
2.360000 77.319 -115.5695
2.400000 77.470 -117.1815
2.430000 77.545 -118.2652
2.470000 77.611 -119.5993
2.500000 77.647 -120.5550
2.540000 77.694 -121.8255
2.580000 77.752 -123.1433
2.620000 77.772 -124.4371
2.650000 77.756 -125.3631
2.690000 77.700 -126.5175
2.720000 77.636 -127.3090
2.760000 77.527 -128.2442
2.800000 77.396 -129.0183
2.850000 77.215 -129.7196
2.900000 77.025 -130.0776
2.950000 76.834 -130.0453
3.000000 76.588 -129.6370
3.040000 76.357 -129.0660
3.070000 76.172 -128.5072
3.110000 75.921 -127.6025
3.150000 75.677 -126.5322
3.200000 75.400 -124.9890
3.250000 75.180 -123.2509
3.300000 75.042 -121.3515
3.350000 74.976 -119.0401
3.400000 74.958 -116.2547
3.450000 74.985 -113.1869
3.500000 75.052 -110.0284
3.550000 75.155 -106.9707
3.600000 75.290 -104.2055
3.650000 75.452 -101.9245
3.700000 75.654 -100.1822
3.750000 75.920 -98.7358
3.820000 76.366 -97.1546
3.870000 76.709 -96.3179
3.950000 77.247 -95.4381
4.000000 77.546 -95.1473
4.060000 77.843 -95.0697
4.120000 78.116 -95.4280
4.180000 78.369 -96.1459
4.250000 78.631 -97.2920
4.310000 78.822 -98.4139
4.370000 78.978 -99.5493
4.440000 79.108 -100.8495
4.500000 79.179 -102.1200
4.550000 79.212 -103.2575
4.620000 79.222 -104.8956
4.680000 79.201 -106.2727
4.750000 79.147 -107.7583
4.820000 79.056 -109.1256
4.870000 78.963 -110.1006
4.940000 78.800 -111.4143
5.000000 78.640 -112.4468
5.080000 78.411 -113.6119
5.150000 78.205 -114.3664
5.220000 77.970 -114.9017
5.300000 77.675 -115.2831
5.380000 77.380 -115.4376
5.450000 77.144 -115.4022
5.520000 76.946 -115.2041
5.600000 76.741 -114.6312
5.700000 76.519 -113.5912
5.800000 76.356 -112.5471
5.900000 76.276 -111.8168
6.000000 76.291 -111.1666
6.080000 76.348 -110.7649
6.150000 76.414 -110.5978
6.220000 76.481 -110.6833
6.300000 76.567 -111.1295
6.400000 76.704 -112.1009
6.500000 76.844 -113.4226
6.600000 76.952 -114.9791
6.700000 77.029 -116.8570
6.800000 77.086 -119.0312
6.900000 77.118 -121.3043
7.000000 77.118 -123.5176
7.100000 77.084 -125.8108
7.200000 77.024 -128.1018
7.300000 76.953 -130.2383
7.400000 76.870 -132.1459
7.500000 76.767 -133.9110
7.620000 76.645 -135.7825
7.750000 76.547 -137.4115
7.880000 76.468 -138.6020
8.000000 76.430 -139.4604
8.120000 76.448 -140.1937
8.250000 76.525 -140.7469
8.380000 76.646 -141.2590
8.500000 76.792 -141.8634
8.620000 76.978 -142.5202
8.750000 77.193 -143.3208
8.850000 77.351 -144.0351
9.000000 77.593 -145.2687
9.120000 77.774 -146.2906
9.250000 77.942 -147.3747
9.380000 78.088 -148.4730
9.500000 78.206 -149.3989
9.620000 78.304 -150.1883
9.750000 78.390 -150.9299
9.880000 78.468 -151.5251
10.000000 78.535 -151.9160
10.150000 78.611 -152.2248
10.300000 78.691 -152.4181
10.440000 78.773 -152.4731
10.600000 78.868 -152.4731
10.750000 78.961 -152.4825
10.900000 79.055 -152.4802
11.060000 79.144 -152.5115
11.200000 79.215 -152.5687
11.380000 79.291 -152.6454
11.500000 79.329 -152.6963
11.720000 79.380 -152.7716
11.800000 79.394 -152.7732
12.060000 79.420 -152.7842
12.200000 79.429 -152.7837
12.410000 79.434 -152.7816
12.500000 79.434 -152.7950
12.650000 79.431 -152.8553
12.800000 79.421 -152.9539
13.150000 79.369 -153.3602
13.200000 79.357 -153.4288
13.400000 79.302 -153.7333
13.600000 79.239 -154.0483
13.800000 79.168 -154.3554
14.000000 79.102 -154.6766
14.300000 79.017 -155.2128
14.500000 78.975 -155.6701
14.750000 78.934 -156.3975
15.000000 78.900 -157.3079
15.250000 78.864 -158.3614
15.500000 78.826 -159.4633
15.750000 78.788 -160.5566
16.000000 78.760 -161.5645
16.250000 78.754 -162.4950
16.500000 78.771 -163.3667
16.750000 78.815 -164.2251
17.000000 78.874 -165.0971
17.250000 78.941 -165.9696
17.500000 79.008 -166.8185
17.750000 79.069 -167.5768
18.000000 79.127 -168.2213
18.250000 79.184 -168.7272
18.500000 79.243 -169.1157
18.750000 79.305 -169.4172
19.000000 79.367 -169.6600
19.250000 79.425 -169.8740
19.500000 79.476 -170.0589
19.750000 79.516 -170.2156
20.000000 79.546 -170.3378
20.299999 79.571 -170.4516
20.600000 79.583 -170.5500
20.900000 79.583 -170.6592
21.200001 79.569 -170.7953
21.400000 79.552 -170.8974
21.799999 79.503 -171.1184
22.000000 79.475 -171.2399
22.400000 79.419 -171.5326
22.700001 79.380 -171.8388
23.000000 79.342 -172.2503
23.299999 79.301 -172.7541
23.600000 79.256 -173.3126
24.000000 79.197 -174.0753
24.299999 79.163 -174.6320
24.700001 79.138 -175.3691
25.000000 79.136 -175.9463
25.400000 79.147 -176.7594
25.799999 79.165 -177.5715
26.200001 79.185 -178.3029
26.500000 79.204 -178.7722
26.900000 79.236 -179.2996
27.200001 79.264 -179.6411
27.600000 79.301 179.9562
28.000000 79.331 179.6109
28.500000 79.357 179.2586
29.000000 79.368 178.9688
29.500000 79.361 178.7130
30.000000 79.340 178.4721
30.400000 79.317 178.2631
30.700001 79.297 178.0759
31.100000 79.266 177.7717
31.500000 79.228 177.4192
32.000000 79.177 176.9575
32.500000 79.134 176.4838
33.000000 79.106 175.9459
33.500000 79.088 175.3217
34.000000 79.070 174.6771
34.500000 79.056 174.0874
35.000000 79.052 173.5562
35.500000 79.054 173.0560
36.000000 79.053 172.5997
36.500000 79.049 172.2208
37.000000 79.045 171.9135
37.500000 79.041 171.6330
38.200001 79.030 171.2145
38.700001 79.012 170.8835
39.500000 78.964 170.3369
40.000000 78.929 170.0126
40.599998 78.892 169.6168
41.200001 78.862 169.1581
41.799999 78.830 168.6542
42.500000 78.794 168.0806
43.099998 78.769 167.6002
43.700001 78.743 167.1408
44.400002 78.716 166.6816
45.000000 78.701 166.3134
45.500000 78.688 165.9838
46.200001 78.662 165.5399
46.799999 78.642 165.1944
47.500000 78.621 164.7139
48.200001 78.581 164.1911
48.700001 78.543 163.9075
49.400002 78.509 163.6122
50.000000 78.496 163.2799
50.799999 78.461 162.7157
51.500000 78.413 162.3246
52.200001 78.375 162.0226
53.000000 78.338 161.6000
53.799999 78.287 161.1566
54.500000 78.245 160.8117
55.200001 78.209 160.4080
56.000000 78.159 159.9074
57.000000 78.104 159.3664
58.000000 78.057 158.7969
59.000000 78.009 158.3289
60.000000 77.969 157.8607
60.799999 77.924 157.5081
61.500000 77.888 157.2404
62.200001 77.851 156.9024
63.000000 77.790 156.4987
64.000000 77.721 156.1128
65.000000 77.664 155.5991
66.000000 77.598 155.1655
67.000000 77.560 154.7356
68.000000 77.500 154.2374
69.000000 77.444 153.9550
70.000000 77.397 153.5327
71.000000 77.320 153.1178
72.000000 77.247 152.8326
73.000000 77.195 152.4678
74.000000 77.130 151.9828
75.000000 77.059 151.6388
76.199997 76.996 151.2165
77.500000 76.913 150.7614
78.800003 76.828 150.3716
80.000000 76.753 150.0233
81.199997 76.681 149.6292
82.500000 76.597 149.1689
83.800003 76.516 148.7521
85.000000 76.430 148.3662
86.199997 76.353 148.1134
87.500000 76.266 147.7357
88.500000 76.209 147.5411
90.000000 76.106 146.9559
91.199997 76.016 146.7673
92.500000 75.934 146.4406
93.800003 75.851 146.1871
95.000000 75.778 145.8758
96.199997 75.691 145.5485
97.500000 75.609 145.3969
98.800003 75.536 145.0078
100.000000 75.456 144.8563
101.500000 75.355 144.4514
103.000000 75.253 144.2889
104.400002 75.151 143.9863
106.000000 75.042 143.6740
107.500000 74.933 143.5065
109.000000 74.839 143.2890
110.599998 74.745 142.9968
112.000000 74.623 142.8584
113.800003 74.525 142.5953
115.000000 74.433 142.5350
117.199997 74.290 142.2820
118.000000 74.244 142.1968
120.599998 74.053 141.9613
122.000000 73.974 141.8177
124.099998 73.839 141.5909
125.000000 73.766 141.6238
126.500000 73.684 141.5630
128.000000 73.555 141.4941
131.500000 73.318 141.4671
132.000000 73.299 141.5106
134.000000 73.170 141.2665
136.000000 73.045 141.4015
138.000000 72.876 141.1183
140.000000 72.770 141.1806
143.000000 72.585 141.3749
145.000000 72.471 141.3289
147.500000 72.310 141.5240
150.000000 72.148 141.7993
152.500000 71.998 141.6989
155.000000 71.853 142.0632
157.500000 71.710 142.2416
160.000000 71.540 142.4278
162.500000 71.416 142.6547
165.000000 71.263 143.0651
167.500000 71.135 143.3456
170.000000 70.991 143.5583
172.500000 70.854 143.9195
175.000000 70.713 144.2922
177.500000 70.595 144.6190
180.000000 70.468 144.9538
182.500000 70.357 145.4273
185.000000 70.229 145.8727
187.500000 70.090 146.2521
190.000000 69.974 146.8250
192.500000 69.863 147.1516
195.000000 69.755 147.6084
197.500000 69.611 148.2034
200.000000 69.514 148.5928
203.000000 69.409 149.1599
206.000000 69.285 150.0595
209.000000 69.186 150.6541
212.000000 69.076 151.3099
214.000000 68.995 151.6689
218.000000 68.852 152.6684
220.000000 68.791 152.9258
224.000000 68.653 153.9294
227.000000 68.552 154.4855
230.000000 68.502 155.4114
233.000000 68.430 155.9955
236.000000 68.339 156.7987
240.000000 68.251 157.8369
243.000000 68.184 158.3331
247.000000 68.071 159.2644
250.000000 68.062 159.8583
254.000000 67.933 160.8237
258.000000 67.847 161.9984
262.000000 67.794 162.6063
265.000000 67.749 163.2801
269.000000 67.708 164.1341
272.000000 67.674 164.8064
276.000000 67.597 165.6139
280.000000 67.575 166.6096
285.000000 67.504 167.7698
290.000000 67.482 168.5270
295.000000 67.431 169.7310
300.000000 67.376 170.5627
304.000000 67.389 171.7569
307.000000 67.377 171.9229
311.000000 67.327 172.5544
315.000000 67.316 173.6711
320.000000 67.293 174.0362
325.000000 67.285 175.4754
330.000000 67.257 176.1060
335.000000 67.259 176.7661
