* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 20:45:47 02-06-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Dunu Davinci 75ohm R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 84.130 121.4714
1.015000 83.945 120.5393
1.030000 83.752 119.5969
1.044000 83.565 118.7074
1.060000 83.341 117.6780
1.075000 83.123 116.6998
1.090000 82.895 115.7080
1.106000 82.642 114.6580
1.120000 82.411 113.8739
1.138000 82.102 113.0589
1.150000 81.889 112.6174
1.172000 81.485 111.9736
1.180000 81.333 111.7807
1.206000 80.827 111.2468
1.220000 80.545 110.9865
1.241000 80.112 110.5785
1.250000 79.923 110.3832
1.265000 79.603 110.0111
1.280000 79.278 109.5600
1.315000 78.501 108.0658
1.320000 78.388 107.7889
1.340000 77.932 106.4867
1.360000 77.471 104.8309
1.380000 77.006 102.7648
1.400000 76.536 100.2314
1.430000 75.828 95.4308
1.450000 75.354 91.4804
1.475000 74.753 85.5612
1.500000 74.070 78.2198
1.525000 73.307 69.5704
1.550000 72.484 59.8267
1.575000 71.622 49.2025
1.600000 70.741 37.9117
1.625000 69.863 26.1682
1.650000 69.008 14.1856
1.675000 68.196 2.1777
1.700000 67.449 -9.6415
1.725000 66.786 -21.0583
1.750000 66.230 -31.8589
1.775000 65.800 -41.8294
1.800000 65.517 -50.7561
1.825000 65.401 -58.4252
1.850000 65.480 -64.8434
1.875000 65.760 -70.4688
1.900000 66.217 -75.3925
1.925000 66.823 -79.6856
1.950000 67.552 -83.4194
1.975000 68.376 -86.6649
2.000000 69.270 -89.4936
2.030000 70.395 -92.4379
2.060000 71.535 -95.0073
2.090000 72.644 -97.3250
2.120000 73.674 -99.5141
2.140000 74.295 -100.9627
2.180000 75.316 -103.9982
2.200000 75.690 -105.6555
2.240000 76.272 -108.7648
2.270000 76.617 -110.7770
2.300000 76.891 -112.5492
2.330000 77.105 -114.1122
2.360000 77.267 -115.4966
2.400000 77.417 -117.1181
2.430000 77.492 -118.2056
2.470000 77.557 -119.5427
2.500000 77.593 -120.5007
2.540000 77.639 -121.7767
2.580000 77.694 -123.1047
2.620000 77.711 -124.4100
2.650000 77.693 -125.3441
2.690000 77.634 -126.5085
2.720000 77.567 -127.3063
2.760000 77.454 -128.2477
2.800000 77.320 -129.0249
2.850000 77.134 -129.7245
2.900000 76.939 -130.0733
2.950000 76.743 -130.0231
3.000000 76.490 -129.5877
3.040000 76.254 -128.9896
3.070000 76.064 -128.4075
3.110000 75.807 -127.4688
3.150000 75.557 -126.3614
3.200000 75.275 -124.7685
3.250000 75.051 -122.9785
3.300000 74.912 -121.0260
3.350000 74.847 -118.6537
3.400000 74.833 -115.7973
3.450000 74.865 -112.6537
3.500000 74.939 -109.4196
3.550000 75.050 -106.2917
3.600000 75.192 -103.4668
3.650000 75.362 -101.1417
3.700000 75.570 -99.3741
3.750000 75.843 -97.9177
3.820000 76.300 -96.3415
3.870000 76.652 -95.5174
3.950000 77.201 -94.6640
4.000000 77.505 -94.3884
4.060000 77.808 -94.3245
4.120000 78.085 -94.6992
4.180000 78.341 -95.4363
4.250000 78.605 -96.6059
4.310000 78.798 -97.7468
4.370000 78.954 -98.8982
4.440000 79.085 -100.2123
4.500000 79.157 -101.4928
4.550000 79.190 -102.6372
4.620000 79.199 -104.2827
4.680000 79.178 -105.6641
4.750000 79.124 -107.1517
4.820000 79.032 -108.5182
4.870000 78.937 -109.4907
4.940000 78.774 -110.7986
5.000000 78.612 -111.8237
5.080000 78.382 -112.9759
5.150000 78.175 -113.7159
5.220000 77.940 -114.2322
5.300000 77.644 -114.5876
5.380000 77.349 -114.7141
5.450000 77.114 -114.6544
5.520000 76.917 -114.4335
5.600000 76.715 -113.8327
5.700000 76.496 -112.7577
5.800000 76.338 -111.6842
5.900000 76.263 -110.9365
6.000000 76.283 -110.2799
6.080000 76.344 -109.8787
6.150000 76.414 -109.7148
6.220000 76.484 -109.8048
6.300000 76.571 -110.2585
6.400000 76.710 -111.2446
6.500000 76.851 -112.5831
6.600000 76.960 -114.1544
6.700000 77.037 -116.0451
6.800000 77.093 -118.2314
6.900000 77.123 -120.5153
7.000000 77.121 -122.7371
7.100000 77.085 -125.0367
7.200000 77.023 -127.3325
7.300000 76.950 -129.4727
7.400000 76.866 -131.3826
7.500000 76.761 -133.1484
7.620000 76.638 -135.0202
7.750000 76.538 -136.6507
7.880000 76.459 -137.8427
8.000000 76.421 -138.7044
8.120000 76.440 -139.4449
8.250000 76.518 -140.0098
8.380000 76.641 -140.5368
8.500000 76.788 -141.1580
8.620000 76.975 -141.8347
8.750000 77.191 -142.6580
8.850000 77.350 -143.3892
9.000000 77.593 -144.6487
9.120000 77.775 -145.6904
9.250000 77.943 -146.7937
9.380000 78.090 -147.9094
9.500000 78.208 -148.8500
9.620000 78.307 -149.6524
9.750000 78.394 -150.4062
9.880000 78.472 -151.0127
10.000000 78.540 -151.4134
10.150000 78.618 -151.7336
10.300000 78.701 -151.9387
10.440000 78.784 -152.0051
10.600000 78.882 -152.0190
10.750000 78.977 -152.0429
10.900000 79.073 -152.0563
11.060000 79.165 -152.1052
11.200000 79.237 -152.1786
11.380000 79.315 -152.2764
11.500000 79.354 -152.3413
11.720000 79.407 -152.4419
11.800000 79.421 -152.4616
12.060000 79.448 -152.4881
12.200000 79.457 -152.4932
12.410000 79.462 -152.5020
12.500000 79.462 -152.5279
12.650000 79.459 -152.5937
12.800000 79.450 -152.6960
13.150000 79.399 -153.1052
13.200000 79.388 -153.1741
13.400000 79.335 -153.4791
13.600000 79.273 -153.7960
13.800000 79.205 -154.1071
14.000000 79.141 -154.4354
14.300000 79.060 -154.9884
14.500000 79.020 -155.4609
14.750000 78.981 -156.2099
15.000000 78.949 -157.1440
15.250000 78.913 -158.2221
15.500000 78.875 -159.3484
15.750000 78.836 -160.4655
16.000000 78.807 -161.4952
16.250000 78.799 -162.4442
16.500000 78.814 -163.3302
16.750000 78.855 -164.1977
17.000000 78.912 -165.0747
17.250000 78.978 -165.9495
17.500000 79.044 -166.7998
17.750000 79.105 -167.5616
18.000000 79.164 -168.2132
18.250000 79.222 -168.7311
18.500000 79.282 -169.1365
18.750000 79.344 -169.4585
19.000000 79.407 -169.7241
19.250000 79.464 -169.9606
19.500000 79.514 -170.1659
19.750000 79.552 -170.3397
20.000000 79.580 -170.4745
20.299999 79.602 -170.5972
20.600000 79.613 -170.6991
20.900000 79.612 -170.8084
21.200001 79.599 -170.9452
21.400000 79.583 -171.0500
21.799999 79.538 -171.2849
22.000000 79.511 -171.4179
22.400000 79.457 -171.7406
22.700001 79.418 -172.0710
23.000000 79.380 -172.5038
23.299999 79.339 -173.0245
23.600000 79.294 -173.5965
24.000000 79.237 -174.3759
24.299999 79.203 -174.9480
24.700001 79.180 -175.7120
25.000000 79.178 -176.3128
25.400000 79.190 -177.1587
25.799999 79.207 -178.0023
26.200001 79.226 -178.7631
26.500000 79.243 -179.2524
26.900000 79.272 -179.8009
27.200001 79.297 179.8489
27.600000 79.331 179.4460
28.000000 79.361 179.1083
28.500000 79.389 178.7571
29.000000 79.402 178.4392
29.500000 79.394 178.1353
30.000000 79.366 177.8637
30.400000 79.337 177.6609
30.700001 79.315 177.4939
31.100000 79.284 177.2189
31.500000 79.251 176.8773
32.000000 79.206 176.3867
32.500000 79.165 175.8511
33.000000 79.135 175.2520
33.500000 79.110 174.5852
34.000000 79.086 173.9135
34.500000 79.067 173.3076
35.000000 79.058 172.7765
35.500000 79.057 172.2938
36.000000 79.060 171.8502
36.500000 79.062 171.4473
37.000000 79.061 171.0738
37.500000 79.052 170.7237
38.200001 79.028 170.2884
38.700001 79.008 169.9988
39.500000 78.969 169.4770
40.000000 78.938 169.1194
40.599998 78.900 168.6872
41.200001 78.868 168.2259
41.799999 78.837 167.7173
42.500000 78.798 167.1155
43.099998 78.765 166.6434
43.700001 78.737 166.2318
44.400002 78.717 165.7792
45.000000 78.704 165.3200
45.500000 78.681 164.9016
46.200001 78.629 164.4327
46.799999 78.595 164.1621
47.500000 78.575 163.7441
48.200001 78.536 163.2028
48.700001 78.497 162.9031
49.400002 78.464 162.6116
50.000000 78.458 162.2559
50.799999 78.429 161.5977
51.500000 78.378 161.1382
52.200001 78.336 160.8041
53.000000 78.295 160.3714
53.799999 78.241 159.9490
54.500000 78.200 159.6090
55.200001 78.161 159.1919
56.000000 78.103 158.7085
57.000000 78.044 158.2007
58.000000 77.995 157.6113
59.000000 77.938 157.0997
60.000000 77.892 156.6674
60.799999 77.856 156.2847
61.500000 77.814 155.9196
62.200001 77.763 155.5900
63.000000 77.706 155.2591
64.000000 77.639 154.7911
65.000000 77.572 154.3031
66.000000 77.507 153.7799
67.000000 77.438 153.3337
68.000000 77.382 152.9379
69.000000 77.327 152.5530
70.000000 77.276 152.1286
71.000000 77.203 151.6550
72.000000 77.129 151.3367
73.000000 77.073 150.9298
74.000000 76.999 150.4967
75.000000 76.933 150.1540
76.199997 76.851 149.7122
77.500000 76.775 149.3434
78.800003 76.689 148.8034
80.000000 76.603 148.4908
81.199997 76.539 148.0705
82.500000 76.445 147.6531
83.800003 76.368 147.2471
85.000000 76.270 146.9100
86.199997 76.190 146.6281
87.500000 76.093 146.2457
88.500000 76.024 145.9518
90.000000 75.920 145.6256
91.199997 75.862 145.2166
92.500000 75.754 144.9010
93.800003 75.674 144.6471
95.000000 75.583 144.3846
96.199997 75.489 144.1389
97.500000 75.412 143.9514
98.800003 75.316 143.4839
100.000000 75.227 143.4482
101.500000 75.143 143.0162
103.000000 75.019 142.8296
104.400002 74.912 142.5958
106.000000 74.803 142.3851
107.500000 74.691 142.0856
109.000000 74.584 141.9112
110.599998 74.471 141.6439
112.000000 74.377 141.5475
113.800003 74.245 141.1928
115.000000 74.160 141.1604
117.199997 73.997 140.9466
118.000000 73.951 140.9141
120.599998 73.756 140.6861
122.000000 73.661 140.5485
124.099998 73.536 140.4811
125.000000 73.461 140.3764
126.500000 73.369 140.4164
128.000000 73.255 140.2151
131.500000 73.002 140.2344
132.000000 72.971 140.2199
134.000000 72.827 140.2863
136.000000 72.685 140.3230
138.000000 72.560 140.1009
140.000000 72.411 140.2515
143.000000 72.230 140.3519
145.000000 72.114 140.3901
147.500000 71.940 140.6591
150.000000 71.739 140.6745
152.500000 71.606 141.0096
155.000000 71.466 141.1811
157.500000 71.314 141.4665
160.000000 71.154 141.7708
162.500000 71.020 141.9451
165.000000 70.881 142.4468
167.500000 70.716 142.7210
170.000000 70.586 142.9086
172.500000 70.445 143.3986
175.000000 70.287 143.8448
177.500000 70.155 144.2474
180.000000 70.044 144.5269
182.500000 69.936 145.0909
185.000000 69.794 145.4904
187.500000 69.641 146.1889
190.000000 69.555 146.5270
192.500000 69.453 147.0014
195.000000 69.326 147.6750
197.500000 69.232 148.2901
200.000000 69.119 148.7914
203.000000 68.983 149.2167
206.000000 68.878 149.9549
209.000000 68.743 150.8654
212.000000 68.651 151.5026
214.000000 68.585 151.9030
218.000000 68.452 152.8447
220.000000 68.392 153.4443
224.000000 68.256 154.2964
227.000000 68.150 155.0314
230.000000 68.108 155.8652
233.000000 68.032 156.7112
236.000000 67.935 157.3268
240.000000 67.826 158.4782
243.000000 67.767 158.9253
247.000000 67.711 159.8824
250.000000 67.635 160.7558
254.000000 67.557 161.7252
258.000000 67.499 162.7242
262.000000 67.437 163.5705
265.000000 67.380 164.2726
269.000000 67.336 165.2437
272.000000 67.303 165.7051
276.000000 67.238 166.6216
280.000000 67.275 167.6715
285.000000 67.178 168.5618
290.000000 67.147 169.6558
295.000000 67.155 170.5071
300.000000 67.128 171.8376
304.000000 67.050 172.6109
307.000000 67.067 173.1520
311.000000 67.048 173.8019
315.000000 67.044 174.5139
320.000000 67.007 175.5236
325.000000 66.996 176.0573
330.000000 67.003 177.0755
335.000000 66.992 177.9048
