* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 17:00:12 29-05-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Dunu Davinci L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 83.927 121.2946
1.015000 83.727 120.3594
1.030000 83.516 119.4126
1.044000 83.311 118.5176
1.060000 83.065 117.4803
1.075000 82.823 116.4928
1.090000 82.570 115.4899
1.106000 82.284 114.4295
1.120000 82.015 113.6580
1.138000 81.643 112.8898
1.150000 81.380 112.4959
1.172000 80.871 111.9660
1.180000 80.678 111.8211
1.206000 80.026 111.4587
1.220000 79.663 111.2953
1.241000 79.104 111.0304
1.250000 78.861 110.8933
1.265000 78.453 110.6112
1.280000 78.042 110.2379
1.315000 77.085 108.8567
1.320000 76.949 108.5859
1.340000 76.412 107.2783
1.360000 75.887 105.5618
1.380000 75.378 103.3705
1.400000 74.891 100.6388
1.430000 74.208 95.3836
1.450000 73.793 91.0124
1.475000 73.318 84.4062
1.500000 72.841 76.0933
1.525000 72.354 66.2074
1.550000 71.866 55.0132
1.575000 71.386 42.7752
1.600000 70.921 29.7580
1.625000 70.482 16.2262
1.650000 70.074 2.4443
1.675000 69.708 -11.3231
1.700000 69.392 -24.8115
1.725000 69.133 -37.7562
1.750000 68.941 -49.8927
1.775000 68.823 -60.9565
1.800000 68.789 -70.6829
1.825000 68.846 -78.8075
1.850000 69.016 -85.2991
1.875000 69.324 -90.6461
1.900000 69.751 -94.9865
1.925000 70.279 -98.4379
1.950000 70.890 -101.1181
1.975000 71.564 -103.1449
2.000000 72.282 -104.6360
2.030000 73.176 -105.8841
2.060000 74.074 -106.7338
2.090000 74.944 -107.3888
2.120000 75.753 -108.0524
2.140000 76.242 -108.6001
2.180000 77.056 -110.2196
2.200000 77.363 -111.4083
2.240000 77.850 -113.8869
2.270000 78.141 -115.6051
2.300000 78.376 -117.2144
2.330000 78.562 -118.7252
2.360000 78.706 -120.1479
2.400000 78.842 -121.9260
2.430000 78.912 -123.1841
2.470000 78.975 -124.7808
2.500000 79.008 -125.9313
2.540000 79.045 -127.4226
2.580000 79.085 -128.8876
2.620000 79.091 -130.3318
2.650000 79.069 -131.3871
2.690000 79.009 -132.7363
2.720000 78.943 -133.6904
2.760000 78.832 -134.8646
2.800000 78.698 -135.9029
2.850000 78.507 -136.9699
2.900000 78.298 -137.7327
2.950000 78.074 -138.1541
3.000000 77.792 -138.3196
3.040000 77.529 -138.2767
3.070000 77.317 -138.1370
3.110000 77.027 -137.8007
3.150000 76.737 -137.2855
3.200000 76.395 -136.3776
3.250000 76.096 -135.1615
3.300000 75.865 -133.6197
3.350000 75.678 -131.5238
3.400000 75.513 -128.8568
3.450000 75.377 -125.8181
3.500000 75.277 -122.6075
3.550000 75.220 -119.4245
3.600000 75.211 -116.4687
3.650000 75.258 -113.9398
3.700000 75.377 -111.8642
3.750000 75.582 -109.9422
3.820000 75.971 -107.5388
3.870000 76.290 -106.0679
3.950000 76.805 -104.2225
4.000000 77.094 -103.4330
4.060000 77.383 -102.9208
4.120000 77.661 -102.9494
4.180000 77.931 -103.4147
4.250000 78.221 -104.3449
4.310000 78.437 -105.3328
4.370000 78.612 -106.3664
4.440000 78.758 -107.5845
4.500000 78.841 -108.8413
4.550000 78.883 -110.0015
4.620000 78.905 -111.7109
4.680000 78.890 -113.1741
4.750000 78.839 -114.7738
4.820000 78.745 -116.2754
4.870000 78.647 -117.3721
4.940000 78.476 -118.8797
5.000000 78.304 -120.0883
5.080000 78.051 -121.4828
5.150000 77.817 -122.4184
5.220000 77.545 -123.1517
5.300000 77.199 -123.7666
5.380000 76.846 -124.1222
5.450000 76.558 -124.2032
5.520000 76.307 -124.0393
5.600000 76.032 -123.4181
5.700000 75.716 -122.2175
5.800000 75.470 -120.9307
5.900000 75.335 -119.8941
6.000000 75.316 -118.8111
6.080000 75.359 -118.0220
6.150000 75.420 -117.5339
6.220000 75.488 -117.3545
6.300000 75.586 -117.5694
6.400000 75.755 -118.3080
6.500000 75.935 -119.4618
6.600000 76.081 -120.9184
6.700000 76.195 -122.7812
6.800000 76.290 -125.0118
6.900000 76.356 -127.3795
7.000000 76.385 -129.6985
7.100000 76.375 -132.1341
7.200000 76.336 -134.5876
7.300000 76.279 -136.8771
7.400000 76.205 -138.9178
7.500000 76.105 -140.8152
7.620000 75.981 -142.8126
7.750000 75.875 -144.4969
7.880000 75.782 -145.6687
8.000000 75.729 -146.4496
8.120000 75.738 -147.0420
8.250000 75.809 -147.3587
8.380000 75.930 -147.6013
8.500000 76.083 -147.9646
8.620000 76.284 -148.3662
8.750000 76.519 -148.9062
8.850000 76.692 -149.4520
9.000000 76.961 -150.4705
9.120000 77.162 -151.3454
9.250000 77.348 -152.2949
9.380000 77.509 -153.2859
9.500000 77.636 -154.1198
9.620000 77.741 -154.8168
9.750000 77.830 -155.4636
9.880000 77.908 -155.9572
10.000000 77.974 -156.2423
10.150000 78.046 -156.4088
10.300000 78.124 -156.4514
10.440000 78.203 -156.3549
10.600000 78.296 -156.1816
10.750000 78.388 -156.0373
10.900000 78.482 -155.8873
11.060000 78.572 -155.7747
11.200000 78.643 -155.7180
11.380000 78.717 -155.6565
11.500000 78.753 -155.6198
11.720000 78.799 -155.5389
11.800000 78.811 -155.4916
12.060000 78.830 -155.3019
12.200000 78.835 -155.1932
12.410000 78.837 -155.0379
12.500000 78.836 -155.0004
12.650000 78.833 -154.9682
12.800000 78.823 -154.9838
13.150000 78.767 -155.2411
13.200000 78.755 -155.2914
13.400000 78.695 -155.5314
13.600000 78.625 -155.7832
13.800000 78.546 -156.0235
14.000000 78.473 -156.2712
14.300000 78.378 -156.6866
14.500000 78.333 -157.0648
14.750000 78.290 -157.7082
15.000000 78.257 -158.5567
15.250000 78.222 -159.5729
15.500000 78.183 -160.6504
15.750000 78.144 -161.7242
16.000000 78.114 -162.7031
16.250000 78.105 -163.5905
16.500000 78.122 -164.4055
16.750000 78.168 -165.1977
17.000000 78.231 -166.0014
17.250000 78.304 -166.8055
17.500000 78.377 -167.5879
17.750000 78.445 -168.2792
18.000000 78.510 -168.8559
18.250000 78.574 -169.2930
18.500000 78.641 -169.6144
18.750000 78.709 -169.8515
19.000000 78.778 -170.0333
19.250000 78.840 -170.1864
19.500000 78.893 -170.3055
19.750000 78.934 -170.3878
20.000000 78.965 -170.4233
20.299999 78.990 -170.4216
20.600000 79.006 -170.4006
20.900000 79.011 -170.3979
21.200001 79.002 -170.4395
21.400000 78.988 -170.4885
21.799999 78.943 -170.6182
22.000000 78.915 -170.6954
22.400000 78.856 -170.8894
22.700001 78.815 -171.1093
23.000000 78.776 -171.4283
23.299999 78.737 -171.8443
23.600000 78.697 -172.3299
24.000000 78.646 -173.0306
24.299999 78.615 -173.5672
24.700001 78.592 -174.2968
25.000000 78.587 -174.8631
25.400000 78.593 -175.6316
25.799999 78.608 -176.3608
26.200001 78.632 -176.9953
26.500000 78.657 -177.4032
26.900000 78.699 -177.8752
27.200001 78.731 -178.1864
27.600000 78.769 -178.5373
28.000000 78.801 -178.7939
28.500000 78.833 -178.9951
29.000000 78.857 -179.1514
29.500000 78.864 -179.3260
30.000000 78.850 -179.5050
30.400000 78.828 -179.6457
30.700001 78.810 -179.7675
31.100000 78.782 -179.9815
31.500000 78.751 179.7411
32.000000 78.706 179.3404
32.500000 78.665 178.9080
33.000000 78.637 178.4169
33.500000 78.617 177.8508
34.000000 78.598 177.2673
34.500000 78.584 176.7418
35.000000 78.579 176.2919
35.500000 78.583 175.9004
36.000000 78.593 175.5585
36.500000 78.606 175.2537
37.000000 78.616 174.9570
37.500000 78.617 174.6640
38.200001 78.600 174.3251
38.700001 78.584 174.1385
39.500000 78.562 173.7805
40.000000 78.542 173.4845
40.599998 78.511 173.1050
41.200001 78.480 172.7302
41.799999 78.454 172.3469
42.500000 78.430 171.8807
43.099998 78.410 171.4898
43.700001 78.394 171.1375
44.400002 78.382 170.7480
45.000000 78.370 170.3882
45.500000 78.352 170.1097
46.200001 78.326 169.8262
46.799999 78.319 169.5824
47.500000 78.307 169.1443
48.200001 78.267 168.7300
48.700001 78.241 168.5468
49.400002 78.230 168.2828
50.000000 78.221 167.9218
50.799999 78.182 167.4541
51.500000 78.145 167.2173
52.200001 78.124 167.0139
53.000000 78.102 166.6889
53.799999 78.066 166.3329
54.500000 78.031 166.0530
55.200001 78.000 165.7524
56.000000 77.963 165.3500
57.000000 77.917 164.8938
58.000000 77.890 164.4352
59.000000 77.856 163.9348
60.000000 77.815 163.6044
60.799999 77.793 163.3761
61.500000 77.769 163.1310
62.200001 77.735 162.8837
63.000000 77.688 162.6293
64.000000 77.632 162.3728
65.000000 77.600 162.0278
66.000000 77.554 161.5115
67.000000 77.503 161.1599
68.000000 77.476 160.7742
69.000000 77.430 160.3745
70.000000 77.387 160.1300
71.000000 77.350 159.8030
72.000000 77.295 159.5109
73.000000 77.254 159.2593
74.000000 77.209 158.8950
75.000000 77.153 158.6010
76.199997 77.099 158.3188
77.500000 77.051 157.9337
78.800003 76.987 157.5916
80.000000 76.942 157.2488
81.199997 76.878 156.9367
82.500000 76.826 156.6075
83.800003 76.752 156.3304
85.000000 76.703 156.0894
86.199997 76.639 155.7935
87.500000 76.577 155.4813
88.500000 76.522 155.2299
90.000000 76.459 154.9408
91.199997 76.407 154.6145
92.500000 76.336 154.4078
93.800003 76.275 154.2004
95.000000 76.208 154.0284
96.199997 76.154 153.8447
97.500000 76.091 153.5464
98.800003 76.028 153.3355
100.000000 75.983 153.0402
101.500000 75.882 152.8427
103.000000 75.826 152.6637
104.400002 75.738 152.5031
106.000000 75.663 152.1942
107.500000 75.583 152.0890
109.000000 75.512 151.8397
110.599998 75.435 151.6840
112.000000 75.374 151.5656
113.800003 75.272 151.2788
115.000000 75.212 151.2302
117.199997 75.110 151.0580
118.000000 75.070 150.9549
120.599998 74.937 150.7555
122.000000 74.871 150.6929
124.099998 74.759 150.5048
125.000000 74.716 150.5115
126.500000 74.642 150.4448
128.000000 74.580 150.4156
131.500000 74.392 150.2562
132.000000 74.366 150.2341
134.000000 74.272 150.2208
136.000000 74.171 150.2102
138.000000 74.082 150.0914
140.000000 73.989 150.1532
143.000000 73.851 150.1218
145.000000 73.741 150.2561
147.500000 73.632 150.3271
150.000000 73.543 150.3857
152.500000 73.411 150.3867
155.000000 73.291 150.6201
157.500000 73.185 150.7551
160.000000 73.073 150.8839
162.500000 72.957 151.2017
165.000000 72.861 151.3274
167.500000 72.771 151.4987
170.000000 72.674 151.7377
172.500000 72.562 151.9794
175.000000 72.469 152.3484
177.500000 72.356 152.5724
180.000000 72.271 152.8086
182.500000 72.179 153.1291
185.000000 72.106 153.5686
187.500000 72.012 153.9757
190.000000 71.914 154.2577
192.500000 71.836 154.5466
195.000000 71.767 154.8815
197.500000 71.698 155.3963
200.000000 71.624 155.8376
203.000000 71.531 156.2109
206.000000 71.458 156.7133
209.000000 71.373 157.2332
212.000000 71.294 157.7471
214.000000 71.254 157.9088
218.000000 71.166 158.6391
220.000000 71.118 158.9703
224.000000 71.035 159.6114
227.000000 70.983 160.1901
230.000000 70.928 160.8638
233.000000 70.870 161.2246
236.000000 70.813 161.8012
240.000000 70.765 162.6252
243.000000 70.708 163.0076
247.000000 70.670 163.7008
250.000000 70.613 164.2493
254.000000 70.574 164.8835
258.000000 70.574 165.4020
262.000000 70.520 166.1755
265.000000 70.512 166.7328
269.000000 70.455 167.3983
272.000000 70.486 167.7327
276.000000 70.433 168.3672
280.000000 70.425 168.8097
285.000000 70.435 169.7035
290.000000 70.407 170.4124
295.000000 70.415 171.1081
300.000000 70.425 171.6487
304.000000 70.383 172.2354
307.000000 70.394 172.5729
311.000000 70.392 173.0241
315.000000 70.385 173.4498
320.000000 70.395 173.9789
325.000000 70.395 174.5185
330.000000 70.396 174.9308
