* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 16:52:47 29-05-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Dunu Davinci R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 83.973 121.2388
1.015000 83.772 120.3019
1.030000 83.563 119.3533
1.044000 83.358 118.4564
1.060000 83.112 117.4168
1.075000 82.871 116.4271
1.090000 82.617 115.4216
1.106000 82.333 114.3583
1.120000 82.064 113.5832
1.138000 81.693 112.8092
1.150000 81.431 112.4107
1.172000 80.923 111.8711
1.180000 80.731 111.7225
1.206000 80.081 111.3468
1.220000 79.718 111.1759
1.241000 79.162 110.8996
1.250000 78.920 110.7577
1.265000 78.513 110.4676
1.280000 78.103 110.0868
1.315000 77.148 108.6895
1.320000 77.013 108.4168
1.340000 76.477 107.1022
1.360000 75.953 105.3804
1.380000 75.446 103.1860
1.400000 74.959 100.4535
1.430000 74.277 95.2023
1.450000 73.861 90.8377
1.475000 73.386 84.2450
1.500000 72.907 75.9536
1.525000 72.418 66.0965
1.550000 71.928 54.9371
1.575000 71.444 42.7386
1.600000 70.976 29.7644
1.625000 70.533 16.2776
1.650000 70.122 2.5415
1.675000 69.752 -11.1805
1.700000 69.431 -24.6253
1.725000 69.169 -37.5296
1.750000 68.974 -49.6300
1.775000 68.854 -60.6634
1.800000 68.817 -70.3664
1.825000 68.873 -78.4760
1.850000 69.042 -84.9614
1.875000 69.349 -90.3097
1.900000 69.776 -94.6578
1.925000 70.305 -98.1225
1.950000 70.916 -100.8206
1.975000 71.591 -102.8689
2.000000 72.310 -104.3844
2.030000 73.206 -105.6639
2.060000 74.106 -106.5462
2.090000 74.977 -107.2332
2.120000 75.788 -107.9266
2.140000 76.278 -108.4922
2.180000 77.094 -110.1405
2.200000 77.401 -111.3392
2.240000 77.889 -113.8328
2.270000 78.181 -115.5595
2.300000 78.417 -117.1753
2.330000 78.604 -118.6909
2.360000 78.748 -120.1173
2.400000 78.886 -121.8990
2.430000 78.956 -123.1592
2.470000 79.020 -124.7586
2.500000 79.054 -125.9116
2.540000 79.093 -127.4075
2.580000 79.134 -128.8788
2.620000 79.141 -130.3291
2.650000 79.120 -131.3887
2.690000 79.061 -132.7433
2.720000 78.997 -133.7015
2.760000 78.887 -134.8816
2.800000 78.755 -135.9267
2.850000 78.565 -137.0039
2.900000 78.358 -137.7796
2.950000 78.136 -138.2174
3.000000 77.856 -138.4024
3.040000 77.595 -138.3770
3.070000 77.385 -138.2513
3.110000 77.097 -137.9348
3.150000 76.809 -137.4402
3.200000 76.468 -136.5591
3.250000 76.170 -135.3702
3.300000 75.938 -133.8558
3.350000 75.750 -131.7905
3.400000 75.583 -129.1579
3.450000 75.444 -126.1555
3.500000 75.340 -122.9803
3.550000 75.278 -119.8297
3.600000 75.265 -116.9010
3.650000 75.309 -114.3913
3.700000 75.424 -112.3256
3.750000 75.625 -110.4052
3.820000 76.009 -107.9942
3.870000 76.323 -106.5132
3.950000 76.833 -104.6490
4.000000 77.119 -103.8491
4.060000 77.405 -103.3277
4.120000 77.682 -103.3464
4.180000 77.950 -103.8010
4.250000 78.240 -104.7188
4.310000 78.455 -105.6970
4.370000 78.631 -106.7226
4.440000 78.776 -107.9343
4.500000 78.859 -109.1872
4.550000 78.902 -110.3452
4.620000 78.923 -112.0527
4.680000 78.909 -113.5153
4.750000 78.858 -115.1151
4.820000 78.765 -116.6179
4.870000 78.668 -117.7163
4.940000 78.496 -119.2273
5.000000 78.324 -120.4395
5.080000 78.072 -121.8393
5.150000 77.838 -122.7801
5.220000 77.566 -123.5195
5.300000 77.220 -124.1423
5.380000 76.868 -124.5061
5.450000 76.580 -124.5938
5.520000 76.328 -124.4355
5.600000 76.053 -123.8202
5.700000 75.736 -122.6263
5.800000 75.490 -121.3449
5.900000 75.355 -120.3118
6.000000 75.336 -119.2298
6.080000 75.379 -118.4406
6.150000 75.441 -117.9525
6.220000 75.510 -117.7739
6.300000 75.609 -117.9905
6.400000 75.780 -118.7318
6.500000 75.962 -119.8892
6.600000 76.110 -121.3506
6.700000 76.226 -123.2198
6.800000 76.323 -125.4581
6.900000 76.391 -127.8341
7.000000 76.422 -130.1617
7.100000 76.414 -132.6068
7.200000 76.376 -135.0702
7.300000 76.320 -137.3690
7.400000 76.248 -139.4185
7.500000 76.148 -141.3248
7.620000 76.024 -143.3311
7.750000 75.918 -145.0208
7.880000 75.824 -146.1945
8.000000 75.770 -146.9737
8.120000 75.778 -147.5599
8.250000 75.849 -147.8643
8.380000 75.969 -148.0923
8.500000 76.122 -148.4421
8.620000 76.324 -148.8289
8.750000 76.559 -149.3544
8.850000 76.733 -149.8920
9.000000 77.004 -150.9018
9.120000 77.206 -151.7729
9.250000 77.393 -152.7220
9.380000 77.555 -153.7164
9.500000 77.683 -154.5551
9.620000 77.788 -155.2581
9.750000 77.876 -155.9134
9.880000 77.954 -156.4146
10.000000 78.019 -156.7053
10.150000 78.089 -156.8775
10.300000 78.165 -156.9227
10.440000 78.242 -156.8249
10.600000 78.334 -156.6483
10.750000 78.425 -156.4998
10.900000 78.519 -156.3452
11.060000 78.608 -156.2312
11.200000 78.679 -156.1760
11.380000 78.754 -156.1217
11.500000 78.791 -156.0943
11.720000 78.838 -156.0362
11.800000 78.849 -155.9989
12.060000 78.866 -155.8453
12.200000 78.870 -155.7543
12.410000 78.868 -155.6227
12.500000 78.865 -155.5921
12.650000 78.858 -155.5679
12.800000 78.845 -155.5872
13.150000 78.784 -155.8363
13.200000 78.772 -155.8847
13.400000 78.711 -156.1146
13.600000 78.641 -156.3586
13.800000 78.564 -156.5956
14.000000 78.493 -156.8476
14.300000 78.402 -157.2845
14.500000 78.359 -157.6862
14.750000 78.318 -158.3635
15.000000 78.285 -159.2475
15.250000 78.249 -160.2947
15.500000 78.209 -161.3961
15.750000 78.168 -162.4857
16.000000 78.136 -163.4722
16.250000 78.126 -164.3612
16.500000 78.143 -165.1735
16.750000 78.189 -165.9610
17.000000 78.253 -166.7604
17.250000 78.327 -167.5619
17.500000 78.402 -168.3444
17.750000 78.472 -169.0395
18.000000 78.538 -169.6238
18.250000 78.603 -170.0722
18.500000 78.670 -170.4073
18.750000 78.738 -170.6589
19.000000 78.806 -170.8544
19.250000 78.866 -171.0184
19.500000 78.918 -171.1459
19.750000 78.958 -171.2346
20.000000 78.987 -171.2766
20.299999 79.012 -171.2857
20.600000 79.027 -171.2809
20.900000 79.031 -171.3001
21.200001 79.021 -171.3663
21.400000 79.005 -171.4304
21.799999 78.956 -171.5854
22.000000 78.926 -171.6727
22.400000 78.866 -171.8854
22.700001 78.824 -172.1230
23.000000 78.785 -172.4647
23.299999 78.744 -172.9043
23.600000 78.702 -173.4077
24.000000 78.647 -174.1142
24.299999 78.615 -174.6417
24.700001 78.594 -175.3536
25.000000 78.594 -175.9156
25.400000 78.606 -176.7011
25.799999 78.625 -177.4654
26.200001 78.649 -178.1315
26.500000 78.673 -178.5513
26.900000 78.713 -179.0270
27.200001 78.746 -179.3432
27.600000 78.786 -179.7180
28.000000 78.816 179.9835
28.500000 78.838 179.7408
29.000000 78.851 179.5965
29.500000 78.852 179.4742
30.000000 78.840 179.3282
30.400000 78.822 179.1740
30.700001 78.805 179.0228
31.100000 78.775 178.7634
31.500000 78.739 178.4504
32.000000 78.687 178.0266
32.500000 78.640 177.5867
33.000000 78.607 177.1013
33.500000 78.585 176.5587
34.000000 78.570 176.0031
34.500000 78.564 175.4742
35.000000 78.567 174.9695
35.500000 78.572 174.4965
36.000000 78.575 174.0939
36.500000 78.579 173.7720
37.000000 78.583 173.4858
37.500000 78.581 173.2047
38.200001 78.561 172.8675
38.700001 78.543 172.6734
39.500000 78.515 172.2986
40.000000 78.492 172.0034
40.599998 78.459 171.6312
41.200001 78.430 171.2299
41.799999 78.402 170.7855
42.500000 78.367 170.2850
43.099998 78.343 169.9071
43.700001 78.328 169.5374
44.400002 78.310 169.1030
45.000000 78.290 168.7617
45.500000 78.272 168.5156
46.200001 78.251 168.2074
46.799999 78.236 167.9148
47.500000 78.211 167.5127
48.200001 78.172 167.1632
48.700001 78.151 166.9756
49.400002 78.139 166.6738
50.000000 78.130 166.2961
50.799999 78.094 165.7629
51.500000 78.054 165.4150
52.200001 78.022 165.1238
53.000000 77.986 164.7673
53.799999 77.945 164.4387
54.500000 77.915 164.1594
55.200001 77.885 163.8144
56.000000 77.843 163.4176
57.000000 77.803 162.9810
58.000000 77.767 162.4457
59.000000 77.716 162.0341
60.000000 77.683 161.7250
60.799999 77.654 161.4096
61.500000 77.615 161.1539
62.200001 77.577 160.9661
63.000000 77.546 160.6905
64.000000 77.489 160.2036
65.000000 77.426 159.8106
66.000000 77.376 159.4157
67.000000 77.336 159.0464
68.000000 77.294 158.5871
69.000000 77.227 158.3085
70.000000 77.191 158.1539
71.000000 77.153 157.8251
72.000000 77.103 157.5167
73.000000 77.051 157.1691
74.000000 76.990 156.8549
75.000000 76.936 156.5610
76.199997 76.868 156.2529
77.500000 76.812 155.8735
78.800003 76.735 155.4613
80.000000 76.666 155.1266
81.199997 76.608 154.9629
82.500000 76.579 154.4951
83.800003 76.493 154.1218
85.000000 76.432 153.8687
86.199997 76.358 153.6812
87.500000 76.296 153.3935
88.500000 76.232 153.1454
90.000000 76.151 152.8733
91.199997 76.096 152.6004
92.500000 76.021 152.2916
93.800003 75.941 152.0857
95.000000 75.873 151.9501
96.199997 75.815 151.7203
97.500000 75.739 151.4269
98.800003 75.668 151.2199
100.000000 75.606 151.0153
101.500000 75.533 150.8225
103.000000 75.445 150.5828
104.400002 75.371 150.4552
106.000000 75.285 150.2151
107.500000 75.194 150.0231
109.000000 75.130 149.9180
110.599998 75.040 149.7262
112.000000 74.979 149.5809
113.800003 74.877 149.4106
115.000000 74.807 149.2303
117.199997 74.681 149.1819
118.000000 74.630 149.0704
120.599998 74.493 148.9060
122.000000 74.422 148.9102
124.099998 74.315 148.7540
125.000000 74.272 148.6533
126.500000 74.173 148.6743
128.000000 74.106 148.5968
131.500000 73.926 148.6384
132.000000 73.906 148.5493
134.000000 73.786 148.5797
136.000000 73.685 148.5128
138.000000 73.571 148.6248
140.000000 73.484 148.6277
143.000000 73.334 148.6617
145.000000 73.222 148.9376
147.500000 73.098 148.9448
150.000000 72.968 149.1087
152.500000 72.871 149.3158
155.000000 72.740 149.4377
157.500000 72.621 149.6824
160.000000 72.508 149.8640
162.500000 72.397 150.0571
165.000000 72.277 150.3275
167.500000 72.190 150.6718
170.000000 72.079 150.9046
172.500000 71.980 151.2856
175.000000 71.870 151.5497
177.500000 71.783 151.9411
180.000000 71.682 152.3118
182.500000 71.587 152.6365
185.000000 71.517 153.0692
187.500000 71.407 153.3808
190.000000 71.331 153.9390
192.500000 71.250 154.3285
195.000000 71.172 154.6934
197.500000 71.094 155.1875
200.000000 71.058 155.6942
203.000000 70.946 156.2028
206.000000 70.874 156.8796
209.000000 70.807 157.3445
212.000000 70.707 157.9203
214.000000 70.671 158.4892
218.000000 70.566 159.1570
220.000000 70.536 159.4695
224.000000 70.461 160.1470
227.000000 70.413 160.7197
230.000000 70.370 161.4006
233.000000 70.323 161.9656
236.000000 70.273 162.5853
240.000000 70.221 163.3043
243.000000 70.196 163.9107
247.000000 70.164 164.5601
250.000000 70.106 165.2685
254.000000 70.097 165.9736
258.000000 70.045 166.4183
262.000000 70.049 167.3282
265.000000 70.025 167.7957
269.000000 69.995 168.4058
272.000000 70.003 168.8644
276.000000 69.964 169.7115
280.000000 69.971 170.1099
285.000000 69.978 170.9005
290.000000 69.967 171.5870
295.000000 69.979 172.1831
300.000000 69.969 173.1312
304.000000 69.963 173.4529
307.000000 69.957 173.7702
311.000000 69.973 173.9399
315.000000 69.985 174.7036
320.000000 70.002 175.1622
325.000000 70.002 175.7339
330.000000 70.011 176.1915
335.000000 70.031 176.6261
