* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 13:35:32 03-06-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Dunu Davinci taped+500 R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 83.640 119.5947
1.015000 83.456 118.6407
1.030000 83.263 117.6780
1.044000 83.077 116.7712
1.060000 82.855 115.7240
1.075000 82.638 114.7313
1.090000 82.411 113.7271
1.106000 82.160 112.6676
1.120000 81.932 111.8850
1.138000 81.629 111.0853
1.150000 81.421 110.6613
1.172000 81.028 110.0621
1.180000 80.882 109.8887
1.206000 80.391 109.4272
1.220000 80.119 109.2096
1.241000 79.700 108.8675
1.250000 79.516 108.7002
1.265000 79.206 108.3735
1.280000 78.889 107.9651
1.315000 78.129 106.5513
1.320000 78.018 106.2829
1.340000 77.567 105.0056
1.360000 77.108 103.3572
1.380000 76.640 101.2776
1.400000 76.164 98.7066
1.430000 75.435 93.7971
1.450000 74.940 89.7345
1.475000 74.302 83.6228
1.500000 73.566 76.0187
1.525000 72.734 67.0426
1.550000 71.830 56.9186
1.575000 70.876 45.8709
1.600000 69.897 34.1236
1.625000 68.917 21.9008
1.650000 67.958 9.4266
1.675000 67.045 -3.0747
1.700000 66.201 -15.3793
1.725000 65.450 -27.2628
1.750000 64.816 -38.5012
1.775000 64.321 -48.8704
1.800000 63.989 -58.1461
1.825000 63.845 -66.1044
1.850000 63.916 -72.7486
1.875000 64.209 -78.5515
1.900000 64.694 -83.6109
1.925000 65.343 -88.0042
1.950000 66.126 -91.8088
1.975000 67.013 -95.1022
2.000000 67.977 -97.9618
2.030000 69.191 -100.9298
2.060000 70.422 -103.5184
2.090000 71.618 -105.8615
2.120000 72.728 -108.0929
2.140000 73.395 -109.5845
2.180000 74.488 -112.7558
2.200000 74.885 -114.5119
2.240000 75.497 -117.8440
2.270000 75.856 -120.0330
2.300000 76.138 -121.9916
2.330000 76.353 -123.7518
2.360000 76.512 -125.3456
2.400000 76.651 -127.2673
2.430000 76.713 -128.5972
2.470000 76.757 -130.2831
2.500000 76.775 -131.5233
2.540000 76.795 -133.2055
2.580000 76.825 -134.9780
2.620000 76.820 -136.7767
2.650000 76.787 -138.1103
2.690000 76.708 -139.8391
2.720000 76.622 -141.0796
2.760000 76.478 -142.6301
2.800000 76.300 -144.0300
2.850000 76.037 -145.5142
2.900000 75.735 -146.6386
2.950000 75.391 -147.3708
3.000000 74.951 -147.9577
3.040000 74.538 -148.3028
3.070000 74.205 -148.4499
3.110000 73.745 -148.4493
3.150000 73.281 -148.1689
3.200000 72.726 -147.3341
3.250000 72.229 -145.8524
3.300000 71.826 -143.6049
3.350000 71.470 -140.2003
3.400000 71.127 -135.6823
3.450000 70.817 -130.4390
3.500000 70.561 -124.8583
3.550000 70.378 -119.3283
3.600000 70.290 -114.2369
3.650000 70.315 -109.9722
3.700000 70.489 -106.6140
3.750000 70.831 -103.6233
3.820000 71.504 -100.0315
3.870000 72.060 -97.9085
3.950000 72.945 -95.3147
4.000000 73.423 -94.2154
4.060000 73.866 -93.4973
4.120000 74.261 -93.6244
4.180000 74.621 -94.4275
4.250000 74.988 -95.9280
4.310000 75.251 -97.4480
4.370000 75.460 -98.9539
4.440000 75.629 -100.5909
4.500000 75.712 -102.2119
4.550000 75.741 -103.6788
4.620000 75.727 -105.8053
4.680000 75.669 -107.5989
4.750000 75.555 -109.5320
4.820000 75.386 -111.3282
4.870000 75.224 -112.6353
4.940000 74.948 -114.4053
5.000000 74.676 -115.7794
5.080000 74.277 -117.2600
5.150000 73.902 -118.1055
5.220000 73.464 -118.6445
5.300000 72.905 -118.9072
5.380000 72.341 -118.7315
5.450000 71.887 -118.1678
5.520000 71.502 -117.1459
5.600000 71.090 -115.1353
5.700000 70.631 -111.8564
5.800000 70.299 -108.5635
5.900000 70.159 -106.0109
6.000000 70.243 -103.6780
6.080000 70.409 -102.0821
6.150000 70.579 -101.0863
6.220000 70.733 -100.6314
6.300000 70.903 -100.8821
6.400000 71.153 -102.1218
6.500000 71.392 -104.0693
6.600000 71.562 -106.3831
6.700000 71.657 -109.1995
6.800000 71.699 -112.5305
6.900000 71.692 -116.0385
7.000000 71.634 -119.4509
7.100000 71.516 -123.0065
7.200000 71.353 -126.5661
7.300000 71.167 -129.8698
7.400000 70.960 -132.8061
7.500000 70.716 -135.5304
7.620000 70.425 -138.3457
7.750000 70.168 -140.5833
7.880000 69.940 -141.9551
8.000000 69.800 -142.7290
8.120000 69.782 -143.2054
8.250000 69.887 -143.1779
8.380000 70.085 -143.0884
8.500000 70.339 -143.3510
8.620000 70.681 -143.7737
8.750000 71.076 -144.4565
8.850000 71.358 -145.2072
9.000000 71.784 -146.7133
9.120000 72.097 -148.0160
9.250000 72.377 -149.3899
9.380000 72.611 -150.8098
9.500000 72.793 -151.9729
9.620000 72.937 -152.8962
9.750000 73.054 -153.7018
9.880000 73.154 -154.2527
10.000000 73.239 -154.4814
10.150000 73.331 -154.4540
10.300000 73.436 -154.2402
10.440000 73.549 -153.8316
10.600000 73.687 -153.2828
10.750000 73.826 -152.8278
10.900000 73.970 -152.3868
11.060000 74.107 -152.0089
11.200000 74.215 -151.7620
11.380000 74.328 -151.4688
11.500000 74.383 -151.2814
11.720000 74.453 -150.9161
11.800000 74.470 -150.7526
12.060000 74.500 -150.1572
12.200000 74.511 -149.8208
12.410000 74.518 -149.3197
12.500000 74.518 -149.1456
12.650000 74.515 -148.8983
12.800000 74.502 -148.7151
13.150000 74.422 -148.5793
13.200000 74.405 -148.5749
13.400000 74.317 -148.5996
13.600000 74.214 -148.6273
13.800000 74.100 -148.6235
14.000000 73.994 -148.6396
14.300000 73.860 -148.7593
14.500000 73.795 -149.0305
14.750000 73.726 -149.6608
15.000000 73.664 -150.6304
15.250000 73.589 -151.8547
15.500000 73.506 -153.1608
15.750000 73.420 -154.4483
16.000000 73.353 -155.5870
16.250000 73.326 -156.6094
16.500000 73.344 -157.5581
16.750000 73.410 -158.5273
17.000000 73.503 -159.5595
17.250000 73.610 -160.6240
17.500000 73.714 -161.6667
17.750000 73.809 -162.5608
18.000000 73.900 -163.2666
18.250000 73.991 -163.7425
18.500000 74.090 -164.0340
18.750000 74.194 -164.1952
19.000000 74.301 -164.2764
19.250000 74.401 -164.3210
19.500000 74.488 -164.3199
19.750000 74.560 -164.2682
20.000000 74.616 -164.1496
20.299999 74.667 -163.9438
20.600000 74.703 -163.7081
20.900000 74.722 -163.4921
21.200001 74.721 -163.3246
21.400000 74.708 -163.2316
21.799999 74.656 -163.0692
22.000000 74.623 -163.0017
22.400000 74.554 -162.9372
22.700001 74.504 -163.0189
23.000000 74.453 -163.2586
23.299999 74.395 -163.6345
23.600000 74.331 -164.0932
24.000000 74.249 -164.7506
24.299999 74.204 -165.2558
24.700001 74.175 -165.9872
25.000000 74.174 -166.6130
25.400000 74.191 -167.5312
25.799999 74.216 -168.4288
26.200001 74.250 -169.1838
26.500000 74.288 -169.6371
26.900000 74.352 -170.1216
27.200001 74.406 -170.4186
27.600000 74.476 -170.7242
28.000000 74.539 -170.9000
28.500000 74.610 -170.9609
29.000000 74.669 -170.9725
29.500000 74.698 -171.0066
30.000000 74.691 -171.0081
30.400000 74.670 -170.9662
30.700001 74.652 -170.9406
31.100000 74.626 -170.9746
31.500000 74.594 -171.1106
32.000000 74.545 -171.3861
32.500000 74.497 -171.7234
33.000000 74.462 -172.1326
33.500000 74.441 -172.6339
34.000000 74.431 -173.1828
34.500000 74.432 -173.7187
35.000000 74.445 -174.2213
35.500000 74.464 -174.6707
36.000000 74.485 -175.0267
36.500000 74.509 -175.2811
37.000000 74.534 -175.4754
37.500000 74.553 -175.6365
38.200001 74.566 -175.7938
38.700001 74.570 -175.8887
39.500000 74.562 -176.1293
40.000000 74.544 -176.3120
40.599998 74.521 -176.5346
41.200001 74.501 -176.8041
41.799999 74.483 -177.1149
42.500000 74.469 -177.4603
43.099998 74.470 -177.7606
43.700001 74.474 -178.0829
44.400002 74.476 -178.4315
45.000000 74.476 -178.6921
45.500000 74.473 -178.8803
46.200001 74.466 -179.0748
46.799999 74.466 -179.2382
47.500000 74.458 -179.5273
48.200001 74.429 -179.7828
48.700001 74.410 -179.8660
49.400002 74.408 -179.9689
50.000000 74.419 179.8218
50.799999 74.420 179.4355
51.500000 74.409 179.1379
52.200001 74.396 178.9025
53.000000 74.382 178.6589
53.799999 74.363 178.4408
54.500000 74.349 178.2723
55.200001 74.339 178.0468
56.000000 74.317 177.7341
57.000000 74.288 177.4626
58.000000 74.291 177.1758
59.000000 74.288 176.7576
60.000000 74.266 176.4980
60.799999 74.260 176.3773
61.500000 74.253 176.2320
62.200001 74.238 176.0967
63.000000 74.223 175.9254
64.000000 74.191 175.6481
65.000000 74.165 175.4357
66.000000 74.151 175.0755
67.000000 74.120 174.7909
68.000000 74.113 174.6001
69.000000 74.103 174.3303
70.000000 74.081 174.1688
71.000000 74.069 174.0052
72.000000 74.044 173.7872
73.000000 74.021 173.6108
74.000000 73.996 173.3547
75.000000 73.963 173.1772
76.199997 73.945 172.9847
77.500000 73.921 172.7076
78.800003 73.890 172.4333
80.000000 73.865 172.2212
81.199997 73.827 171.9466
82.500000 73.803 171.9061
83.800003 73.790 171.6144
85.000000 73.761 171.4847
86.199997 73.733 171.2598
87.500000 73.693 171.1059
88.500000 73.674 170.9327
90.000000 73.627 170.6181
91.199997 73.601 170.5582
92.500000 73.593 170.3725
93.800003 73.562 170.1246
95.000000 73.520 169.9913
96.199997 73.488 169.8742
97.500000 73.458 169.7001
98.800003 73.428 169.5202
100.000000 73.411 169.3621
101.500000 73.361 169.2101
103.000000 73.340 169.1380
104.400002 73.296 169.0073
106.000000 73.246 168.8463
107.500000 73.227 168.7226
109.000000 73.183 168.5512
110.599998 73.166 168.3207
112.000000 73.104 168.1524
113.800003 73.062 168.1478
115.000000 73.027 168.0649
117.199997 72.970 167.9020
118.000000 72.947 167.9142
120.599998 72.887 167.7432
122.000000 72.863 167.6824
124.099998 72.809 167.5494
125.000000 72.791 167.5802
126.500000 72.759 167.4030
128.000000 72.713 167.3761
131.500000 72.631 167.1877
132.000000 72.620 167.1750
134.000000 72.561 167.1577
136.000000 72.518 167.1571
138.000000 72.480 167.0247
140.000000 72.434 167.0999
143.000000 72.359 167.0704
145.000000 72.319 167.0514
147.500000 72.261 166.9320
150.000000 72.213 166.8434
152.500000 72.146 167.0338
155.000000 72.088 167.0574
157.500000 72.030 167.1644
160.000000 71.985 167.2452
162.500000 71.917 167.2455
165.000000 71.872 167.2577
167.500000 71.823 167.4117
170.000000 71.768 167.4166
172.500000 71.724 167.5665
175.000000 71.681 167.6079
177.500000 71.631 167.5888
180.000000 71.586 167.8358
182.500000 71.536 168.0132
185.000000 71.500 168.0820
187.500000 71.469 168.1774
190.000000 71.411 168.4148
192.500000 71.381 168.5386
195.000000 71.337 168.8033
197.500000 71.294 168.8439
200.000000 71.254 169.0396
203.000000 71.216 169.1391
206.000000 71.197 169.4405
209.000000 71.145 169.5914
212.000000 71.098 169.9366
214.000000 71.073 170.1429
218.000000 71.021 170.1702
220.000000 71.021 170.4177
224.000000 70.959 170.8096
227.000000 70.931 170.8300
230.000000 70.878 171.0945
233.000000 70.851 171.2386
236.000000 70.850 171.6011
240.000000 70.820 171.8400
243.000000 70.792 172.0716
247.000000 70.777 172.4119
250.000000 70.751 172.4720
254.000000 70.721 172.8148
258.000000 70.709 173.1393
262.000000 70.663 173.4128
265.000000 70.665 173.7278
269.000000 70.646 173.9105
272.000000 70.646 174.0098
276.000000 70.629 174.4836
280.000000 70.604 174.7882
285.000000 70.576 174.8796
290.000000 70.571 175.2778
295.000000 70.553 175.6902
300.000000 70.521 175.7624
304.000000 70.529 176.0526
307.000000 70.525 176.3345
311.000000 70.502 176.3739
315.000000 70.511 176.6530
320.000000 70.504 176.8259
