* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 10:30:12 12-11-2023
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Dunu SA6 MK2 off L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 85.707 -2.9405
20.600000 85.722 -3.2884
20.900000 85.725 -3.5758
21.200001 85.721 -3.8576
21.400000 85.716 -4.0521
21.799999 85.701 -4.4666
22.000000 85.691 -4.6898
22.400000 85.667 -5.1682
22.700001 85.648 -5.5518
23.000000 85.628 -5.9540
23.299999 85.608 -6.3740
23.600000 85.591 -6.8106
24.000000 85.570 -7.4153
24.299999 85.556 -7.8800
24.700001 85.540 -8.5038
25.000000 85.530 -8.9658
25.400000 85.519 -9.5642
25.799999 85.511 -10.1363
26.200001 85.506 -10.6814
26.500000 85.504 -11.0743
26.900000 85.502 -11.5786
27.200001 85.500 -11.9426
27.600000 85.495 -12.4078
28.000000 85.487 -12.8490
28.500000 85.475 -13.3705
29.000000 85.458 -13.8712
29.500000 85.438 -14.3669
30.000000 85.415 -14.8690
30.400000 85.393 -15.2782
30.700001 85.376 -15.5903
31.100000 85.352 -16.0147
31.500000 85.327 -16.4494
32.000000 85.295 -17.0043
32.500000 85.264 -17.5645
33.000000 85.235 -18.1222
33.500000 85.208 -18.6762
34.000000 85.184 -19.2261
34.500000 85.162 -19.7659
35.000000 85.141 -20.2871
35.500000 85.121 -20.7884
36.000000 85.102 -21.2773
36.500000 85.082 -21.7577
37.000000 85.058 -22.2226
37.500000 85.031 -22.6637
38.200001 84.993 -23.2512
38.700001 84.965 -23.6711
39.500000 84.918 -24.3672
40.000000 84.886 -24.8110
40.599998 84.846 -25.3432
41.200001 84.805 -25.8698
41.799999 84.767 -26.3879
42.500000 84.726 -26.9879
43.099998 84.693 -27.5061
43.700001 84.659 -28.0202
44.400002 84.620 -28.5968
45.000000 84.586 -29.0690
45.500000 84.559 -29.4523
46.200001 84.519 -29.9758
46.799999 84.483 -30.4130
47.500000 84.441 -30.9115
48.200001 84.399 -31.3998
48.700001 84.370 -31.7548
49.400002 84.330 -32.2879
50.000000 84.289 -32.7643
50.799999 84.227 -33.3449
51.500000 84.179 -33.7956
52.200001 84.138 -34.2639
53.000000 84.089 -34.8193
53.799999 84.038 -35.3387
54.500000 83.998 -35.7956
55.200001 83.955 -36.2651
56.000000 83.902 -36.7637
57.000000 83.842 -37.3665
58.000000 83.779 -37.9897
59.000000 83.715 -38.5770
60.000000 83.651 -39.1699
60.799999 83.598 -39.6181
61.500000 83.555 -39.9960
62.200001 83.513 -40.3931
63.000000 83.462 -40.8483
64.000000 83.398 -41.3712
65.000000 83.340 -41.9085
66.000000 83.276 -42.4662
67.000000 83.212 -42.9598
68.000000 83.156 -43.4602
69.000000 83.093 -43.9979
70.000000 83.027 -44.4638
71.000000 82.969 -44.9193
72.000000 82.910 -45.3982
73.000000 82.849 -45.8801
74.000000 82.785 -46.3341
75.000000 82.726 -46.7479
76.199997 82.659 -47.2894
77.500000 82.579 -47.8411
78.800003 82.506 -48.3843
80.000000 82.432 -48.8900
81.199997 82.364 -49.3650
82.500000 82.286 -49.8878
83.800003 82.217 -50.3853
85.000000 82.146 -50.8748
86.199997 82.079 -51.2948
87.500000 82.007 -51.7777
88.500000 81.952 -52.1405
90.000000 81.865 -52.6630
91.199997 81.799 -53.0735
92.500000 81.725 -53.4946
93.800003 81.659 -53.8945
95.000000 81.600 -54.3374
96.199997 81.530 -54.7175
97.500000 81.469 -55.1248
98.800003 81.398 -55.5218
100.000000 81.342 -55.8895
101.500000 81.260 -56.3334
103.000000 81.184 -56.7366
104.400002 81.116 -57.1597
106.000000 81.034 -57.5739
107.500000 80.959 -58.0010
109.000000 80.893 -58.3988
110.599998 80.811 -58.7890
112.000000 80.748 -59.1492
113.800003 80.669 -59.5500
115.000000 80.612 -59.8849
117.199997 80.520 -60.4243
118.000000 80.479 -60.6339
120.599998 80.364 -61.2558
122.000000 80.302 -61.5758
124.099998 80.220 -62.0054
125.000000 80.179 -62.2313
126.500000 80.118 -62.5054
128.000000 80.055 -62.8625
131.500000 79.913 -63.5726
132.000000 79.891 -63.6904
134.000000 79.811 -64.0803
136.000000 79.733 -64.4141
138.000000 79.653 -64.8098
140.000000 79.578 -65.1700
143.000000 79.467 -65.7426
145.000000 79.389 -66.1006
147.500000 79.311 -66.5103
150.000000 79.220 -66.9167
152.500000 79.131 -67.2872
155.000000 79.043 -67.6614
157.500000 78.957 -68.0578
160.000000 78.875 -68.4444
162.500000 78.795 -68.8324
165.000000 78.717 -69.1343
167.500000 78.631 -69.4414
170.000000 78.562 -69.8002
172.500000 78.483 -70.1286
175.000000 78.404 -70.3881
177.500000 78.336 -70.6774
180.000000 78.258 -70.9396
182.500000 78.189 -71.1818
185.000000 78.114 -71.4252
187.500000 78.052 -71.6477
190.000000 77.984 -71.8930
192.500000 77.920 -72.0585
195.000000 77.841 -72.2294
197.500000 77.783 -72.3345
200.000000 77.726 -72.3563
203.000000 77.646 -72.4006
206.000000 77.590 -72.3586
209.000000 77.554 -72.2893
212.000000 77.544 -72.1272
214.000000 77.557 -72.0786
218.000000 77.629 -72.3814
220.000000 77.649 -72.7527
224.000000 77.650 -73.6266
227.000000 77.614 -74.3518
230.000000 77.553 -74.8954
233.000000 77.505 -75.3522
236.000000 77.453 -75.7565
240.000000 77.370 -76.1886
243.000000 77.316 -76.3964
247.000000 77.251 -76.7886
250.000000 77.217 -76.9121
254.000000 77.179 -77.3054
258.000000 77.147 -77.6200
262.000000 77.116 -77.9570
265.000000 77.091 -78.2576
269.000000 77.045 -78.6496
272.000000 77.013 -78.9398
276.000000 76.974 -79.2525
280.000000 76.926 -79.5211
285.000000 76.877 -79.9389
290.000000 76.834 -80.2395
295.000000 76.791 -80.6002
300.000000 76.745 -80.9178
304.000000 76.725 -81.1479
307.000000 76.701 -81.4162
311.000000 76.668 -81.5244
315.000000 76.647 -81.8050
320.000000 76.627 -82.0109
325.000000 76.586 -82.2625
330.000000 76.571 -82.4712
335.000000 76.543 -82.7157
340.000000 76.533 -82.8697
345.000000 76.527 -82.9758
350.000000 76.525 -83.1745
355.000000 76.537 -83.3895
360.000000 76.543 -83.7214
365.000000 76.544 -84.0224
370.000000 76.554 -84.3317
375.000000 76.539 -84.6583
382.000000 76.544 -84.8792
387.000000 76.528 -85.1388
395.000000 76.526 -85.6110
400.000000 76.544 -85.8017
406.000000 76.550 -85.9860
412.000000 76.562 -86.1593
418.000000 76.559 -86.5351
425.000000 76.580 -86.6732
431.000000 76.596 -86.8741
437.000000 76.629 -87.0947
444.000000 76.652 -87.4177
450.000000 76.689 -87.7351
455.000000 76.700 -87.8622
462.000000 76.733 -88.3033
468.000000 76.744 -88.5272
475.000000 76.781 -88.8125
482.000000 76.805 -89.1751
487.000000 76.824 -89.3026
494.000000 76.833 -89.6747
500.000000 76.871 -89.8110
508.000000 76.899 -90.1423
515.000000 76.933 -90.4440
522.000000 76.964 -90.5998
530.000000 76.998 -90.8700
538.000000 77.034 -91.2498
545.000000 77.066 -91.4295
552.000000 77.090 -91.7303
560.000000 77.144 -92.0145
570.000000 77.191 -92.3040
580.000000 77.235 -92.6203
590.000000 77.292 -92.8942
600.000000 77.353 -93.2210
608.000000 77.397 -93.4045
615.000000 77.435 -93.5751
622.000000 77.469 -93.8214
630.000000 77.519 -94.1499
640.000000 77.568 -94.3965
650.000000 77.630 -94.7180
660.000000 77.684 -94.9783
670.000000 77.729 -95.2083
680.000000 77.792 -95.5326
690.000000 77.853 -95.7278
700.000000 77.908 -95.9439
710.000000 77.976 -96.1751
720.000000 78.011 -96.3987
730.000000 78.082 -96.6751
740.000000 78.140 -96.8250
750.000000 78.207 -97.0771
762.000000 78.268 -97.3427
775.000000 78.356 -97.5576
788.000000 78.433 -97.7976
800.000000 78.507 -98.0047
812.000000 78.573 -98.3029
825.000000 78.663 -98.4351
838.000000 78.737 -98.7418
850.000000 78.821 -98.9472
862.000000 78.896 -99.0819
875.000000 78.982 -99.3161
885.000000 79.056 -99.4516
900.000000 79.147 -99.7184
912.000000 79.230 -99.9649
925.000000 79.335 -100.1662
938.000000 79.431 -100.3728
950.000000 79.516 -100.6321
962.000000 79.608 -100.8110
975.000000 79.705 -101.1081
988.000000 79.794 -101.4051
1000.000000 79.876 -101.9434
1015.000000 79.990 -102.0616
1030.000000 80.114 -102.4584
1044.000000 80.216 -102.7887
1060.000000 80.328 -103.2821
1075.000000 80.431 -103.6998
1090.000000 80.533 -104.2225
1106.000000 80.643 -104.7988
1120.000000 80.729 -105.3377
1138.000000 80.851 -105.9764
1150.000000 80.920 -106.3700
1172.000000 81.042 -107.2101
1180.000000 81.076 -107.5710
1206.000000 81.207 -108.6302
1220.000000 81.271 -109.1459
1241.000000 81.350 -109.9738
1250.000000 81.382 -110.3076
1265.000000 81.425 -110.9198
1280.000000 81.484 -111.4947
1315.000000 81.585 -112.7557
1320.000000 81.593 -112.9412
1340.000000 81.638 -113.7144
1360.000000 81.679 -114.4313
1380.000000 81.701 -115.0078
1400.000000 81.737 -115.6818
1430.000000 81.783 -116.5048
1450.000000 81.799 -117.0597
1475.000000 81.828 -117.7942
1500.000000 81.852 -118.3165
1525.000000 81.870 -118.9641
1550.000000 81.896 -119.4388
1575.000000 81.901 -119.9397
1600.000000 81.914 -120.3742
1625.000000 81.937 -120.8254
1650.000000 81.961 -121.3167
1675.000000 81.982 -121.6873
1700.000000 81.999 -122.0756
1725.000000 82.017 -122.4014
1750.000000 82.038 -122.7277
1775.000000 82.059 -123.1625
1800.000000 82.083 -123.4320
1825.000000 82.103 -123.7767
1850.000000 82.128 -124.0824
1875.000000 82.160 -124.4121
1900.000000 82.176 -124.6443
1925.000000 82.198 -124.9671
1950.000000 82.227 -125.2881
1975.000000 82.258 -125.6513
2000.000000 82.273 -125.7218
2030.000000 82.307 -126.3336
2060.000000 82.350 -126.7209
2090.000000 82.370 -127.1367
2120.000000 82.403 -127.5673
2140.000000 82.424 -127.8152
2180.000000 82.449 -128.4000
2200.000000 82.472 -128.7428
2240.000000 82.502 -129.3431
2270.000000 82.520 -129.7499
2300.000000 82.545 -130.2037
2330.000000 82.561 -130.7881
2360.000000 82.573 -131.2415
2400.000000 82.581 -131.9195
2430.000000 82.584 -132.4432
2470.000000 82.586 -133.0885
2500.000000 82.598 -133.5633
2540.000000 82.582 -134.2381
2580.000000 82.566 -134.8897
2620.000000 82.552 -135.4955
2650.000000 82.535 -136.0393
2690.000000 82.509 -136.6086
2720.000000 82.469 -137.0793
2760.000000 82.435 -137.6493
2800.000000 82.405 -138.1384
2850.000000 82.354 -138.7621
2900.000000 82.303 -139.3039
2950.000000 82.231 -139.8016
3000.000000 82.190 -140.3841
3040.000000 82.143 -140.3648
3070.000000 82.120 -140.5310
3110.000000 82.119 -140.6308
3150.000000 82.124 -140.8650
3200.000000 82.147 -141.3652
3250.000000 82.158 -141.8891
3300.000000 82.162 -142.5506
3350.000000 82.159 -143.1726
3400.000000 82.164 -143.7952
3450.000000 82.158 -144.4727
3500.000000 82.151 -145.1237
3550.000000 82.156 -145.8592
3600.000000 82.160 -146.5903
3650.000000 82.166 -147.2984
3700.000000 82.167 -148.0886
3750.000000 82.171 -148.9827
3820.000000 82.194 -150.1770
3870.000000 82.223 -151.3376
3950.000000 82.234 -153.0877
4000.000000 82.248 -154.1348
4060.000000 82.231 -156.0554
4120.000000 82.210 -157.8977
4180.000000 82.150 -159.8582
4250.000000 82.032 -162.1950
4310.000000 81.902 -164.2010
4370.000000 81.759 -166.0169
4440.000000 81.546 -168.0534
4500.000000 81.369 -169.4968
4550.000000 81.207 -170.7099
4620.000000 81.001 -172.4140
4680.000000 80.801 -173.9003
4750.000000 80.562 -175.6255
4820.000000 80.290 -177.0168
4870.000000 80.076 -178.1849
4940.000000 79.790 -179.3368
