* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 10:54:52 12-11-2023
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Dunu SA6 MK2 off R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 85.245 0.4305
20.600000 85.270 0.1455
20.900000 85.283 -0.0834
21.200001 85.289 -0.3048
21.400000 85.290 -0.4580
21.799999 85.287 -0.7896
22.000000 85.283 -0.9720
22.400000 85.270 -1.3722
22.700001 85.258 -1.6998
23.000000 85.244 -2.0466
23.299999 85.231 -2.4090
23.600000 85.219 -2.7842
24.000000 85.205 -3.3008
24.299999 85.198 -3.6982
24.700001 85.192 -4.2378
25.000000 85.191 -4.6462
25.400000 85.191 -5.1886
25.799999 85.193 -5.7179
26.200001 85.196 -6.2228
26.500000 85.198 -6.5809
26.900000 85.203 -7.0297
27.200001 85.206 -7.3470
27.600000 85.211 -7.7497
28.000000 85.215 -8.1359
28.500000 85.217 -8.6037
29.000000 85.214 -9.0603
29.500000 85.205 -9.5081
30.000000 85.192 -9.9495
30.400000 85.179 -10.3028
30.700001 85.169 -10.5719
31.100000 85.156 -10.9418
31.500000 85.142 -11.3277
32.000000 85.123 -11.8287
32.500000 85.104 -12.3381
33.000000 85.086 -12.8459
33.500000 85.071 -13.3535
34.000000 85.058 -13.8633
34.500000 85.045 -14.3660
35.000000 85.032 -14.8461
35.500000 85.021 -15.2974
36.000000 85.011 -15.7287
36.500000 85.001 -16.1518
37.000000 84.989 -16.5683
37.500000 84.973 -16.9712
38.200001 84.947 -17.5009
38.700001 84.928 -17.8596
39.500000 84.902 -18.4460
40.000000 84.885 -18.8465
40.599998 84.861 -19.3559
41.200001 84.833 -19.8616
41.799999 84.806 -20.3499
42.500000 84.779 -20.9188
43.099998 84.756 -21.4093
43.700001 84.734 -21.8908
44.400002 84.708 -22.4448
45.000000 84.682 -22.8992
45.500000 84.660 -23.2418
46.200001 84.636 -23.7019
46.799999 84.614 -24.1438
47.500000 84.572 -24.6505
48.200001 84.527 -25.0082
48.700001 84.511 -25.2332
49.400002 84.501 -25.6990
50.000000 84.475 -26.2007
50.799999 84.422 -26.7370
51.500000 84.395 -27.1152
52.200001 84.378 -27.5944
53.000000 84.345 -28.1877
53.799999 84.312 -28.7252
54.500000 84.284 -29.2186
55.200001 84.248 -29.6943
56.000000 84.210 -30.1636
57.000000 84.169 -30.7955
58.000000 84.115 -31.4187
59.000000 84.064 -31.9880
60.000000 84.011 -32.5690
60.799999 83.969 -32.9937
61.500000 83.937 -33.3893
62.200001 83.900 -33.7973
63.000000 83.857 -34.2193
64.000000 83.810 -34.7554
65.000000 83.757 -35.2984
66.000000 83.706 -35.7809
67.000000 83.660 -36.2541
68.000000 83.618 -36.7030
69.000000 83.583 -37.1784
70.000000 83.542 -37.7295
71.000000 83.487 -38.2318
72.000000 83.442 -38.6702
73.000000 83.398 -39.1829
74.000000 83.348 -39.6609
75.000000 83.302 -40.1616
76.199997 83.235 -40.7218
77.500000 83.176 -41.2913
78.800003 83.108 -41.8625
80.000000 83.055 -42.4026
81.199997 82.984 -42.9167
82.500000 82.930 -43.4087
83.800003 82.867 -43.9536
85.000000 82.818 -44.4577
86.199997 82.753 -44.9436
87.500000 82.698 -45.4136
88.500000 82.649 -45.8157
90.000000 82.579 -46.3721
91.199997 82.519 -46.8266
92.500000 82.458 -47.2793
93.800003 82.401 -47.7608
95.000000 82.341 -48.1843
96.199997 82.287 -48.5600
97.500000 82.232 -49.0017
98.800003 82.170 -49.4495
100.000000 82.114 -49.8063
101.500000 82.052 -50.3273
103.000000 81.980 -50.8077
104.400002 81.919 -51.2480
106.000000 81.852 -51.7082
107.500000 81.790 -52.1764
109.000000 81.721 -52.6225
110.599998 81.652 -53.0793
112.000000 81.588 -53.4882
113.800003 81.520 -53.9554
115.000000 81.471 -54.3214
117.199997 81.383 -54.8757
118.000000 81.351 -55.0896
120.599998 81.243 -55.7593
122.000000 81.187 -56.0815
124.099998 81.103 -56.6338
125.000000 81.069 -56.8345
126.500000 81.014 -57.1901
128.000000 80.958 -57.5431
131.500000 80.822 -58.3699
132.000000 80.803 -58.4641
134.000000 80.733 -58.9078
136.000000 80.660 -59.3428
138.000000 80.591 -59.7812
140.000000 80.516 -60.1648
143.000000 80.420 -60.7793
145.000000 80.347 -61.1636
147.500000 80.255 -61.6430
150.000000 80.174 -62.0869
152.500000 80.093 -62.5561
155.000000 80.018 -62.9590
157.500000 79.941 -63.3814
160.000000 79.863 -63.8814
162.500000 79.791 -64.3384
165.000000 79.719 -64.6949
167.500000 79.651 -65.0693
170.000000 79.578 -65.4590
172.500000 79.513 -65.8488
175.000000 79.438 -66.2053
177.500000 79.377 -66.5708
180.000000 79.307 -66.9679
182.500000 79.245 -67.2709
185.000000 79.179 -67.6367
187.500000 79.117 -67.9748
190.000000 79.061 -68.2507
192.500000 79.001 -68.5904
195.000000 78.937 -68.9227
197.500000 78.882 -69.2322
200.000000 78.834 -69.5307
203.000000 78.762 -69.8502
206.000000 78.685 -70.2208
209.000000 78.623 -70.5239
212.000000 78.562 -70.7941
214.000000 78.520 -70.9832
218.000000 78.441 -71.4147
220.000000 78.395 -71.6791
224.000000 78.327 -72.0326
227.000000 78.263 -72.3341
230.000000 78.212 -72.5341
233.000000 78.161 -72.7572
236.000000 78.110 -72.9784
240.000000 78.043 -73.3592
243.000000 77.982 -73.5677
247.000000 77.921 -73.7296
250.000000 77.870 -73.8745
254.000000 77.810 -74.0676
258.000000 77.740 -74.1481
262.000000 77.673 -74.1697
265.000000 77.636 -74.0083
269.000000 77.640 -73.6705
272.000000 77.684 -73.4926
276.000000 77.792 -73.6864
280.000000 77.872 -74.4853
285.000000 77.872 -75.5507
290.000000 77.824 -76.4986
295.000000 77.768 -77.1417
300.000000 77.710 -77.5943
304.000000 77.665 -78.0035
307.000000 77.631 -78.2430
311.000000 77.611 -78.5851
315.000000 77.576 -78.8183
320.000000 77.552 -79.2018
325.000000 77.520 -79.5423
330.000000 77.493 -79.9043
335.000000 77.471 -80.3358
340.000000 77.445 -80.6774
345.000000 77.419 -81.0403
350.000000 77.400 -81.3510
355.000000 77.372 -81.6981
360.000000 77.357 -81.9347
365.000000 77.320 -82.2520
370.000000 77.319 -82.4766
375.000000 77.302 -82.7316
382.000000 77.292 -83.0629
387.000000 77.282 -83.2599
395.000000 77.285 -83.6404
400.000000 77.291 -84.0302
406.000000 77.289 -84.2629
412.000000 77.291 -84.5594
418.000000 77.284 -84.8212
425.000000 77.281 -85.1409
431.000000 77.301 -85.4834
437.000000 77.299 -85.7245
444.000000 77.293 -85.9655
450.000000 77.308 -86.3296
455.000000 77.327 -86.5418
462.000000 77.329 -86.8607
468.000000 77.341 -87.0156
475.000000 77.360 -87.4069
482.000000 77.378 -87.6680
487.000000 77.394 -87.8931
494.000000 77.415 -88.0846
500.000000 77.409 -88.4252
508.000000 77.453 -88.7279
515.000000 77.477 -88.9307
522.000000 77.487 -89.2026
530.000000 77.510 -89.5334
538.000000 77.532 -89.7498
545.000000 77.563 -90.0031
552.000000 77.592 -90.2391
560.000000 77.616 -90.5484
570.000000 77.660 -90.7868
580.000000 77.707 -91.0366
590.000000 77.763 -91.4550
600.000000 77.817 -91.7845
608.000000 77.862 -92.0631
615.000000 77.896 -92.1954
622.000000 77.928 -92.5170
630.000000 77.964 -92.7936
640.000000 78.013 -93.1831
650.000000 78.044 -93.4361
660.000000 78.091 -93.7174
670.000000 78.141 -94.0088
680.000000 78.187 -94.2727
690.000000 78.229 -94.6396
700.000000 78.272 -94.7942
710.000000 78.319 -95.1238
720.000000 78.367 -95.3522
730.000000 78.412 -95.5796
740.000000 78.464 -95.7743
750.000000 78.523 -96.0595
762.000000 78.582 -96.2907
775.000000 78.633 -96.5425
788.000000 78.702 -96.8221
800.000000 78.772 -96.9837
812.000000 78.825 -97.2311
825.000000 78.899 -97.4298
838.000000 78.971 -97.6633
850.000000 79.050 -97.8279
862.000000 79.110 -98.0188
875.000000 79.182 -98.3022
885.000000 79.250 -98.5011
900.000000 79.321 -98.7177
912.000000 79.397 -98.9015
925.000000 79.490 -99.0998
938.000000 79.572 -99.3681
950.000000 79.639 -99.5477
962.000000 79.712 -99.7699
975.000000 79.803 -100.0248
988.000000 79.891 -100.2575
1000.000000 79.953 -100.7257
1015.000000 80.071 -100.8378
1030.000000 80.170 -101.1951
1044.000000 80.256 -101.5855
1060.000000 80.357 -102.0428
1075.000000 80.455 -102.4876
1090.000000 80.554 -102.9365
1106.000000 80.639 -103.4081
1120.000000 80.713 -103.8437
1138.000000 80.819 -104.5105
1150.000000 80.875 -104.8516
1172.000000 80.976 -105.7435
1180.000000 81.015 -105.9528
1206.000000 81.126 -106.9334
1220.000000 81.175 -107.4305
1241.000000 81.244 -108.1675
1250.000000 81.271 -108.5465
1265.000000 81.308 -109.0379
1280.000000 81.347 -109.6418
1315.000000 81.418 -110.8182
1320.000000 81.436 -110.9699
1340.000000 81.468 -111.5259
1360.000000 81.490 -112.1819
1380.000000 81.520 -112.7333
1400.000000 81.541 -113.2819
1430.000000 81.562 -114.0603
1450.000000 81.565 -114.4801
1475.000000 81.587 -115.0938
1500.000000 81.598 -115.5499
1525.000000 81.603 -116.0088
1550.000000 81.614 -116.4088
1575.000000 81.617 -116.7969
1600.000000 81.628 -117.2103
1625.000000 81.618 -117.4414
1650.000000 81.644 -117.7421
1675.000000 81.644 -117.9886
1700.000000 81.657 -118.2583
1725.000000 81.671 -118.4462
1750.000000 81.680 -118.6812
1775.000000 81.691 -118.8536
1800.000000 81.705 -119.0217
1825.000000 81.725 -119.2858
1850.000000 81.741 -119.4831
1875.000000 81.757 -119.5470
1900.000000 81.775 -119.7830
1925.000000 81.796 -119.8710
1950.000000 81.797 -120.1019
1975.000000 81.834 -120.2339
2000.000000 81.839 -120.1669
2030.000000 81.872 -120.5389
2060.000000 81.907 -120.8073
2090.000000 81.926 -121.0030
2120.000000 81.958 -121.1804
2140.000000 81.985 -121.3339
2180.000000 82.006 -121.6126
2200.000000 82.030 -121.7853
2240.000000 82.066 -122.1386
2270.000000 82.082 -122.3909
2300.000000 82.102 -122.6862
2330.000000 82.133 -122.9356
2360.000000 82.139 -123.2298
2400.000000 82.167 -123.6170
2430.000000 82.175 -123.9388
2470.000000 82.198 -124.3032
2500.000000 82.192 -124.6009
2540.000000 82.203 -124.9667
2580.000000 82.220 -125.3275
2620.000000 82.221 -125.7789
2650.000000 82.220 -126.0582
2690.000000 82.214 -126.4142
2720.000000 82.212 -126.7097
2760.000000 82.202 -127.0998
2800.000000 82.200 -127.4228
2850.000000 82.184 -127.9408
2900.000000 82.153 -128.3832
2950.000000 82.137 -128.8039
3000.000000 82.144 -129.4254
3040.000000 82.101 -129.4906
3070.000000 82.075 -129.6783
3110.000000 82.058 -130.0132
3150.000000 82.055 -130.1395
3200.000000 82.043 -130.2493
3250.000000 82.077 -130.6335
3300.000000 82.098 -131.1131
3350.000000 82.135 -131.6361
3400.000000 82.148 -132.2899
3450.000000 82.155 -133.0281
3500.000000 82.163 -133.7411
3550.000000 82.140 -134.4488
3600.000000 82.126 -135.2251
3650.000000 82.105 -135.9651
3700.000000 82.102 -136.7043
3750.000000 82.084 -137.4707
3820.000000 82.080 -138.7307
3870.000000 82.054 -139.4598
3950.000000 82.040 -141.0513
4000.000000 82.006 -142.0820
4060.000000 81.996 -143.5643
4120.000000 81.952 -145.0888
4180.000000 81.882 -146.7165
4250.000000 81.758 -148.7090
4310.000000 81.638 -150.4305
4370.000000 81.496 -151.9754
4440.000000 81.290 -153.7516
4500.000000 81.134 -155.1016
4550.000000 80.990 -156.2751
4620.000000 80.799 -157.8409
4680.000000 80.621 -159.4359
4750.000000 80.373 -160.9619
4820.000000 80.115 -162.4304
4870.000000 79.941 -163.4319
4940.000000 79.666 -164.6396
