* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 10:27:54 12-11-2023
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Dunu SA6 MK2 on L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 87.741 -3.5394
20.600000 87.746 -3.9021
20.900000 87.739 -4.1992
21.200001 87.726 -4.4876
21.400000 87.715 -4.6863
21.799999 87.689 -5.1121
22.000000 87.674 -5.3441
22.400000 87.640 -5.8480
22.700001 87.613 -6.2572
23.000000 87.585 -6.6886
23.299999 87.558 -7.1381
23.600000 87.532 -7.6011
24.000000 87.499 -8.2310
24.299999 87.477 -8.7047
24.700001 87.453 -9.3295
25.000000 87.438 -9.7906
25.400000 87.424 -10.3978
25.799999 87.414 -11.0001
26.200001 87.405 -11.5924
26.500000 87.397 -12.0188
26.900000 87.383 -12.5462
27.200001 87.373 -12.9041
27.600000 87.360 -13.3370
28.000000 87.351 -13.7462
28.500000 87.340 -14.2716
29.000000 87.322 -14.8283
29.500000 87.292 -15.3829
30.000000 87.255 -15.9016
30.400000 87.226 -16.3004
30.700001 87.205 -16.6062
31.100000 87.178 -17.0396
31.500000 87.150 -17.5014
32.000000 87.110 -18.0914
32.500000 87.070 -18.6643
33.000000 87.035 -19.2213
33.500000 87.006 -19.7847
34.000000 86.979 -20.3587
34.500000 86.952 -20.9205
35.000000 86.925 -21.4517
35.500000 86.902 -21.9591
36.000000 86.879 -22.4592
36.500000 86.854 -22.9520
37.000000 86.824 -23.4220
37.500000 86.793 -23.8636
38.200001 86.750 -24.4645
38.700001 86.717 -24.9033
39.500000 86.658 -25.6099
40.000000 86.621 -26.0435
40.599998 86.578 -26.5707
41.200001 86.536 -27.1195
41.799999 86.493 -27.6705
42.500000 86.445 -28.2872
43.099998 86.409 -28.8101
43.700001 86.373 -29.3427
44.400002 86.328 -29.9383
45.000000 86.290 -30.4028
45.500000 86.261 -30.7837
46.200001 86.220 -31.3438
46.799999 86.177 -31.8175
47.500000 86.125 -32.3148
48.200001 86.079 -32.8077
48.700001 86.046 -33.1891
49.400002 85.994 -33.7261
50.000000 85.948 -34.1542
50.799999 85.894 -34.7219
51.500000 85.846 -35.2285
52.200001 85.799 -35.7064
53.000000 85.752 -36.2644
53.799999 85.697 -36.8391
54.500000 85.646 -37.2614
55.200001 85.606 -37.6663
56.000000 85.560 -38.2242
57.000000 85.483 -38.8644
58.000000 85.419 -39.4311
59.000000 85.352 -40.0762
60.000000 85.282 -40.6713
60.799999 85.226 -41.1541
61.500000 85.176 -41.5379
62.200001 85.133 -41.8998
63.000000 85.088 -42.3852
64.000000 85.012 -42.9723
65.000000 84.947 -43.4342
66.000000 84.892 -43.9840
67.000000 84.822 -44.5349
68.000000 84.756 -45.0097
69.000000 84.694 -45.5199
70.000000 84.626 -46.0149
71.000000 84.563 -46.4777
72.000000 84.501 -46.9746
73.000000 84.434 -47.4601
74.000000 84.369 -47.9004
75.000000 84.309 -48.3345
76.199997 84.239 -48.8698
77.500000 84.156 -49.4513
78.800003 84.075 -49.9552
80.000000 84.006 -50.4608
81.199997 83.932 -50.9650
82.500000 83.851 -51.4950
83.800003 83.776 -51.9717
85.000000 83.707 -52.4547
86.199997 83.634 -52.8901
87.500000 83.560 -53.3470
88.500000 83.504 -53.7102
90.000000 83.416 -54.2468
91.199997 83.350 -54.6731
92.500000 83.271 -55.1184
93.800003 83.206 -55.5159
95.000000 83.142 -55.9363
96.199997 83.076 -56.3329
97.500000 83.003 -56.7384
98.800003 82.931 -57.1490
100.000000 82.862 -57.4941
101.500000 82.783 -57.9251
103.000000 82.708 -58.3555
104.400002 82.635 -58.7718
106.000000 82.559 -59.2415
107.500000 82.476 -59.6474
109.000000 82.408 -60.0637
110.599998 82.322 -60.4472
112.000000 82.256 -60.8063
113.800003 82.171 -61.2489
115.000000 82.107 -61.5424
117.199997 82.007 -62.0676
118.000000 81.968 -62.2435
120.599998 81.847 -62.8584
122.000000 81.788 -63.1614
124.099998 81.690 -63.6149
125.000000 81.654 -63.8207
126.500000 81.585 -64.1287
128.000000 81.523 -64.4640
131.500000 81.372 -65.1607
132.000000 81.353 -65.2822
134.000000 81.265 -65.6903
136.000000 81.183 -66.0466
138.000000 81.106 -66.4128
140.000000 81.030 -66.7914
143.000000 80.905 -67.3162
145.000000 80.826 -67.6794
147.500000 80.735 -68.0901
150.000000 80.638 -68.4667
152.500000 80.549 -68.8871
155.000000 80.456 -69.2896
157.500000 80.362 -69.6307
160.000000 80.277 -70.0391
162.500000 80.189 -70.3859
165.000000 80.105 -70.7736
167.500000 80.018 -71.1084
170.000000 79.938 -71.4055
172.500000 79.851 -71.6795
175.000000 79.774 -72.0464
177.500000 79.689 -72.3495
180.000000 79.608 -72.5711
182.500000 79.524 -72.9058
185.000000 79.437 -73.1908
187.500000 79.361 -73.4317
190.000000 79.278 -73.5713
192.500000 79.182 -73.7599
195.000000 79.089 -73.8017
197.500000 79.006 -73.8024
200.000000 78.938 -73.6842
203.000000 78.895 -73.2578
206.000000 78.913 -73.1194
209.000000 78.954 -73.4702
212.000000 78.947 -74.1135
214.000000 78.913 -74.4903
218.000000 78.822 -75.1648
220.000000 78.765 -75.4523
224.000000 78.658 -75.7871
227.000000 78.591 -75.7616
230.000000 78.526 -75.7192
233.000000 78.496 -75.5349
236.000000 78.531 -75.3881
240.000000 78.609 -75.7170
243.000000 78.635 -76.5050
247.000000 78.594 -77.4964
250.000000 78.540 -78.1141
254.000000 78.459 -78.7368
258.000000 78.378 -79.1549
262.000000 78.294 -79.6382
265.000000 78.235 -79.9243
269.000000 78.172 -80.2540
272.000000 78.126 -80.5278
276.000000 78.067 -80.7945
280.000000 78.008 -81.1290
285.000000 77.935 -81.4260
290.000000 77.881 -81.7589
295.000000 77.824 -82.0140
300.000000 77.764 -82.3556
304.000000 77.723 -82.5207
307.000000 77.694 -82.7501
311.000000 77.654 -82.9800
315.000000 77.621 -83.1530
320.000000 77.576 -83.4042
325.000000 77.540 -83.6380
330.000000 77.521 -83.8539
335.000000 77.485 -84.0474
340.000000 77.454 -84.2835
345.000000 77.434 -84.5769
350.000000 77.401 -84.8713
355.000000 77.378 -85.1086
360.000000 77.353 -85.3513
365.000000 77.317 -85.5443
370.000000 77.293 -85.7607
375.000000 77.260 -85.9129
382.000000 77.232 -86.0742
387.000000 77.215 -86.1066
395.000000 77.213 -86.1698
400.000000 77.239 -86.2007
406.000000 77.266 -86.4746
412.000000 77.285 -86.8069
418.000000 77.300 -87.1305
425.000000 77.308 -87.4823
431.000000 77.321 -87.8025
437.000000 77.329 -88.1117
444.000000 77.331 -88.4292
450.000000 77.345 -88.7671
455.000000 77.344 -88.9194
462.000000 77.356 -89.2431
468.000000 77.344 -89.4966
475.000000 77.351 -89.7364
482.000000 77.371 -90.0821
487.000000 77.374 -90.2712
494.000000 77.383 -90.5041
500.000000 77.390 -90.6492
508.000000 77.415 -90.9071
515.000000 77.431 -91.1809
522.000000 77.444 -91.3915
530.000000 77.466 -91.6810
538.000000 77.499 -91.9217
545.000000 77.520 -92.1178
552.000000 77.540 -92.3222
560.000000 77.559 -92.6121
570.000000 77.613 -92.8989
580.000000 77.644 -93.1463
590.000000 77.681 -93.4847
600.000000 77.720 -93.7506
608.000000 77.753 -93.9796
615.000000 77.785 -94.1284
622.000000 77.822 -94.3029
630.000000 77.849 -94.6249
640.000000 77.895 -94.8178
650.000000 77.942 -95.1011
660.000000 77.992 -95.3406
670.000000 78.038 -95.5563
680.000000 78.079 -95.7663
690.000000 78.133 -96.0065
700.000000 78.179 -96.2136
710.000000 78.224 -96.4650
720.000000 78.282 -96.6469
730.000000 78.327 -96.8528
740.000000 78.383 -97.0923
750.000000 78.427 -97.2540
762.000000 78.502 -97.5188
775.000000 78.561 -97.7160
788.000000 78.637 -97.9893
800.000000 78.700 -98.1611
812.000000 78.768 -98.4117
825.000000 78.839 -98.6254
838.000000 78.912 -98.8376
850.000000 78.994 -98.9998
862.000000 79.067 -99.2224
875.000000 79.141 -99.3761
885.000000 79.207 -99.5412
900.000000 79.310 -99.7936
912.000000 79.390 -99.9702
925.000000 79.480 -100.1480
938.000000 79.554 -100.4895
950.000000 79.645 -100.6171
962.000000 79.722 -100.7903
975.000000 79.821 -101.0746
988.000000 79.909 -101.3206
1000.000000 79.993 -101.8372
1015.000000 80.110 -101.9846
1030.000000 80.215 -102.3758
1044.000000 80.310 -102.7152
1060.000000 80.422 -103.2178
1075.000000 80.526 -103.6199
1090.000000 80.632 -104.1222
1106.000000 80.732 -104.6396
1120.000000 80.821 -105.1124
1138.000000 80.923 -105.8107
1150.000000 80.994 -106.2738
1172.000000 81.119 -107.0922
1180.000000 81.153 -107.4172
1206.000000 81.278 -108.3961
1220.000000 81.338 -108.9956
1241.000000 81.416 -109.8079
1250.000000 81.449 -110.1390
1265.000000 81.499 -110.7153
1280.000000 81.549 -111.2853
1315.000000 81.638 -112.6269
1320.000000 81.645 -112.7583
1340.000000 81.689 -113.4877
1360.000000 81.726 -114.1911
1380.000000 81.770 -114.8877
1400.000000 81.793 -115.4464
1430.000000 81.826 -116.2646
1450.000000 81.847 -116.8581
1475.000000 81.868 -117.5703
1500.000000 81.903 -118.1367
1525.000000 81.910 -118.7511
1550.000000 81.930 -119.2697
1575.000000 81.949 -119.8086
1600.000000 81.970 -120.2110
1625.000000 81.984 -120.6615
1650.000000 81.991 -121.1121
1675.000000 82.015 -121.5217
1700.000000 82.020 -121.8601
1725.000000 82.049 -122.3107
1750.000000 82.059 -122.5912
1775.000000 82.087 -122.9720
1800.000000 82.112 -123.2754
1825.000000 82.124 -123.5558
1850.000000 82.153 -123.9284
1875.000000 82.173 -124.2549
1900.000000 82.204 -124.5614
1925.000000 82.224 -124.9049
1950.000000 82.252 -125.1895
1975.000000 82.267 -125.5426
2000.000000 82.280 -125.6529
2030.000000 82.330 -126.2533
2060.000000 82.366 -126.6638
2090.000000 82.393 -126.9890
2120.000000 82.409 -127.4379
2140.000000 82.435 -127.7297
2180.000000 82.474 -128.2848
2200.000000 82.483 -128.6412
2240.000000 82.514 -129.2288
2270.000000 82.544 -129.7214
2300.000000 82.556 -130.1992
2330.000000 82.569 -130.6797
2360.000000 82.577 -131.2099
2400.000000 82.600 -131.8286
2430.000000 82.599 -132.3168
2470.000000 82.601 -133.0539
2500.000000 82.591 -133.4842
2540.000000 82.591 -134.1941
2580.000000 82.572 -134.8572
2620.000000 82.553 -135.5375
2650.000000 82.538 -135.9599
2690.000000 82.506 -136.6115
2720.000000 82.477 -136.9907
2760.000000 82.451 -137.5634
2800.000000 82.418 -138.2088
2850.000000 82.366 -138.7703
2900.000000 82.308 -139.3307
2950.000000 82.254 -139.8114
3000.000000 82.213 -140.4025
3040.000000 82.150 -140.3987
3070.000000 82.127 -140.6043
3110.000000 82.116 -140.7646
3150.000000 82.130 -140.9376
3200.000000 82.147 -141.3457
3250.000000 82.168 -141.9318
3300.000000 82.175 -142.6456
3350.000000 82.166 -143.2917
3400.000000 82.175 -143.8981
3450.000000 82.165 -144.5346
3500.000000 82.153 -145.2136
3550.000000 82.163 -145.9996
3600.000000 82.152 -146.7041
3650.000000 82.168 -147.4456
3700.000000 82.177 -148.2528
3750.000000 82.190 -149.1184
3820.000000 82.213 -150.3668
3870.000000 82.218 -151.4206
3950.000000 82.229 -153.2309
4000.000000 82.254 -154.2915
4060.000000 82.238 -156.1559
4120.000000 82.220 -157.9101
4180.000000 82.178 -159.8629
4250.000000 82.079 -162.3762
4310.000000 81.956 -164.4098
4370.000000 81.794 -166.4097
4440.000000 81.577 -168.4874
4500.000000 81.373 -170.0161
4550.000000 81.203 -171.2975
4620.000000 80.974 -172.9611
4680.000000 80.797 -174.2666
4750.000000 80.551 -175.9740
4820.000000 80.278 -177.5013
4870.000000 80.068 -178.4828
4940.000000 79.787 -179.6646
