* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 10:58:14 12-11-2023
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Dunu SA6 MK2 on R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 87.259 -0.1129
20.600000 87.281 -0.4007
20.900000 87.291 -0.6380
21.200001 87.294 -0.8737
21.400000 87.292 -1.0386
21.799999 87.284 -1.3947
22.000000 87.276 -1.5880
22.400000 87.257 -2.0037
22.700001 87.241 -2.3387
23.000000 87.225 -2.6923
23.299999 87.209 -3.0647
23.600000 87.195 -3.4548
24.000000 87.179 -3.9975
24.299999 87.168 -4.4145
24.700001 87.158 -4.9737
25.000000 87.153 -5.3892
25.400000 87.149 -5.9335
25.799999 87.150 -6.4637
26.200001 87.152 -6.9764
26.500000 87.154 -7.3461
26.900000 87.157 -7.8157
27.200001 87.159 -8.1489
27.600000 87.160 -8.5689
28.000000 87.159 -8.9653
28.500000 87.156 -9.4373
29.000000 87.148 -9.8951
29.500000 87.135 -10.3472
30.000000 87.118 -10.7966
30.400000 87.101 -11.1547
30.700001 87.088 -11.4245
31.100000 87.072 -11.7932
31.500000 87.056 -12.1803
32.000000 87.035 -12.6951
32.500000 87.012 -13.2304
33.000000 86.989 -13.7616
33.500000 86.967 -14.2767
34.000000 86.949 -14.7801
34.500000 86.934 -15.2778
35.000000 86.921 -15.7683
35.500000 86.907 -16.2480
36.000000 86.892 -16.7104
36.500000 86.875 -17.1426
37.000000 86.857 -17.5369
37.500000 86.843 -17.9154
38.200001 86.825 -18.4931
38.700001 86.802 -18.9375
39.500000 86.752 -19.5654
40.000000 86.727 -19.9067
40.599998 86.706 -20.3649
41.200001 86.681 -20.9033
41.799999 86.647 -21.4310
42.500000 86.610 -21.9828
43.099998 86.584 -22.4582
43.700001 86.558 -22.9311
44.400002 86.532 -23.4488
45.000000 86.515 -23.9205
45.500000 86.496 -24.3439
46.200001 86.459 -24.8807
46.799999 86.434 -25.2781
47.500000 86.411 -25.8301
48.200001 86.366 -26.4291
48.700001 86.324 -26.7472
49.400002 86.286 -27.0592
50.000000 86.276 -27.4085
50.799999 86.251 -28.0454
51.500000 86.213 -28.5577
52.200001 86.182 -29.0174
53.000000 86.149 -29.6134
53.799999 86.098 -30.1892
54.500000 86.056 -30.5820
55.200001 86.028 -30.9870
56.000000 85.989 -31.5528
57.000000 85.922 -32.1127
58.000000 85.890 -32.6382
59.000000 85.840 -33.3697
60.000000 85.777 -33.9285
60.799999 85.734 -34.4069
61.500000 85.683 -34.7729
62.200001 85.647 -35.0202
63.000000 85.630 -35.4379
64.000000 85.577 -36.1267
65.000000 85.521 -36.6207
66.000000 85.478 -37.2018
67.000000 85.421 -37.7561
68.000000 85.373 -38.2617
69.000000 85.323 -38.8069
70.000000 85.268 -39.3230
71.000000 85.213 -39.8189
72.000000 85.159 -40.3102
73.000000 85.104 -40.8106
74.000000 85.047 -41.2922
75.000000 84.994 -41.7413
76.199997 84.937 -42.2953
77.500000 84.871 -42.8748
78.800003 84.810 -43.4543
80.000000 84.745 -43.9935
81.199997 84.681 -44.5009
82.500000 84.613 -45.0420
83.800003 84.546 -45.6042
85.000000 84.483 -46.0911
86.199997 84.423 -46.5798
87.500000 84.355 -47.0702
88.500000 84.308 -47.4473
90.000000 84.230 -48.0116
91.199997 84.173 -48.4270
92.500000 84.110 -48.9223
93.800003 84.044 -49.3684
95.000000 83.984 -49.7966
96.199997 83.927 -50.1818
97.500000 83.865 -50.6655
98.800003 83.802 -51.0928
100.000000 83.742 -51.5219
101.500000 83.671 -51.9551
103.000000 83.603 -52.4393
104.400002 83.539 -52.8798
106.000000 83.461 -53.3531
107.500000 83.392 -53.7808
109.000000 83.323 -54.2461
110.599998 83.250 -54.6951
112.000000 83.186 -55.0821
113.800003 83.110 -55.5894
115.000000 83.056 -55.9141
117.199997 82.957 -56.4975
118.000000 82.924 -56.7073
120.599998 82.809 -57.3565
122.000000 82.758 -57.6976
124.099998 82.666 -58.2406
125.000000 82.626 -58.4462
126.500000 82.565 -58.7901
128.000000 82.503 -59.1512
131.500000 82.367 -59.9717
132.000000 82.347 -60.0811
134.000000 82.272 -60.4637
136.000000 82.191 -60.9595
138.000000 82.112 -61.3336
140.000000 82.036 -61.7795
143.000000 81.927 -62.3990
145.000000 81.856 -62.7795
147.500000 81.763 -63.2357
150.000000 81.682 -63.6895
152.500000 81.585 -64.1538
155.000000 81.505 -64.5912
157.500000 81.418 -65.0370
160.000000 81.337 -65.4572
162.500000 81.250 -65.8218
165.000000 81.174 -66.2273
167.500000 81.092 -66.6765
170.000000 81.008 -67.0365
172.500000 80.933 -67.3930
175.000000 80.859 -67.7847
177.500000 80.788 -68.1600
180.000000 80.718 -68.5246
182.500000 80.650 -68.8769
185.000000 80.577 -69.1442
187.500000 80.502 -69.4813
190.000000 80.439 -69.8301
192.500000 80.364 -70.1292
195.000000 80.299 -70.4506
197.500000 80.236 -70.7371
200.000000 80.175 -71.1169
203.000000 80.089 -71.3971
206.000000 80.017 -71.6798
209.000000 79.938 -72.0535
212.000000 79.861 -72.3515
214.000000 79.820 -72.5697
218.000000 79.720 -72.8974
220.000000 79.671 -73.1288
224.000000 79.578 -73.4440
227.000000 79.503 -73.6892
230.000000 79.427 -73.8450
233.000000 79.369 -74.0192
236.000000 79.310 -74.2361
240.000000 79.217 -74.3917
243.000000 79.152 -74.4919
247.000000 79.081 -74.5127
250.000000 79.049 -74.4549
254.000000 79.007 -74.3591
258.000000 78.982 -74.2955
262.000000 78.992 -74.2144
265.000000 79.045 -74.1789
269.000000 79.128 -74.6672
272.000000 79.161 -75.3767
276.000000 79.142 -76.3633
280.000000 79.075 -77.1591
285.000000 78.986 -77.9137
290.000000 78.901 -78.3870
295.000000 78.820 -78.8989
300.000000 78.753 -79.1968
304.000000 78.710 -79.5800
307.000000 78.678 -79.7547
311.000000 78.625 -80.0463
315.000000 78.587 -80.2704
320.000000 78.548 -80.6142
325.000000 78.511 -80.9608
330.000000 78.467 -81.2965
335.000000 78.424 -81.6321
340.000000 78.384 -81.9172
345.000000 78.344 -82.2441
350.000000 78.313 -82.5686
355.000000 78.275 -82.8008
360.000000 78.248 -83.1259
365.000000 78.206 -83.3808
370.000000 78.186 -83.5709
375.000000 78.160 -83.8151
382.000000 78.139 -84.0858
387.000000 78.116 -84.3655
395.000000 78.107 -84.7904
400.000000 78.089 -84.9949
406.000000 78.066 -85.3038
412.000000 78.057 -85.5446
418.000000 78.030 -85.8853
425.000000 78.026 -86.1657
431.000000 78.010 -86.3728
437.000000 78.006 -86.6471
444.000000 78.003 -86.8843
450.000000 78.001 -87.1982
455.000000 77.989 -87.3807
462.000000 77.988 -87.6390
468.000000 77.981 -87.8335
475.000000 77.976 -88.1350
482.000000 77.986 -88.3770
487.000000 77.986 -88.6241
494.000000 78.004 -88.8149
500.000000 77.998 -88.9921
508.000000 77.998 -89.3154
515.000000 77.996 -89.5568
522.000000 78.015 -89.7030
530.000000 78.025 -89.8620
538.000000 78.040 -90.0390
545.000000 78.076 -90.2105
552.000000 78.111 -90.4117
560.000000 78.155 -90.6008
570.000000 78.191 -91.0433
580.000000 78.221 -91.4521
590.000000 78.247 -91.8194
600.000000 78.276 -92.1285
608.000000 78.299 -92.4481
615.000000 78.325 -92.7143
622.000000 78.336 -92.8843
630.000000 78.368 -93.1709
640.000000 78.397 -93.4134
650.000000 78.427 -93.6621
660.000000 78.474 -93.9660
670.000000 78.503 -94.2358
680.000000 78.527 -94.4859
690.000000 78.572 -94.7666
700.000000 78.599 -94.9287
710.000000 78.649 -95.1823
720.000000 78.685 -95.4129
730.000000 78.721 -95.6492
740.000000 78.765 -95.9133
750.000000 78.805 -96.0314
762.000000 78.857 -96.3150
775.000000 78.909 -96.5037
788.000000 78.964 -96.7970
800.000000 79.018 -96.9139
812.000000 79.070 -97.1505
825.000000 79.139 -97.3402
838.000000 79.201 -97.5419
850.000000 79.248 -97.7601
862.000000 79.325 -97.8934
875.000000 79.386 -98.1277
885.000000 79.442 -98.2026
900.000000 79.524 -98.4365
912.000000 79.608 -98.6804
925.000000 79.678 -98.9011
938.000000 79.749 -99.0464
950.000000 79.829 -99.2500
962.000000 79.892 -99.4248
975.000000 79.981 -99.7218
988.000000 80.051 -99.9754
1000.000000 80.177 -100.1617
1015.000000 80.229 -100.5311
1030.000000 80.328 -100.9192
1044.000000 80.421 -101.2550
1060.000000 80.517 -101.7131
1075.000000 80.605 -102.1142
1090.000000 80.693 -102.5240
1106.000000 80.791 -103.0278
1120.000000 80.863 -103.5482
1138.000000 80.954 -104.0880
1150.000000 81.014 -104.5483
1172.000000 81.114 -105.3254
1180.000000 81.148 -105.5923
1206.000000 81.253 -106.5663
1220.000000 81.304 -107.0954
1241.000000 81.370 -107.8090
1250.000000 81.394 -108.1155
1265.000000 81.430 -108.7097
1280.000000 81.470 -109.2252
1315.000000 81.538 -110.3768
1320.000000 81.553 -110.5375
1340.000000 81.581 -111.1728
1360.000000 81.606 -111.7666
1380.000000 81.617 -112.3199
1400.000000 81.647 -112.8680
1430.000000 81.677 -113.6847
1450.000000 81.678 -114.1181
1475.000000 81.691 -114.6633
1500.000000 81.697 -115.1874
1525.000000 81.706 -115.6066
1550.000000 81.702 -116.0713
1575.000000 81.715 -116.4450
1600.000000 81.728 -116.8548
1625.000000 81.727 -117.1207
1650.000000 81.742 -117.4516
1675.000000 81.731 -117.7151
1700.000000 81.738 -117.9930
1725.000000 81.752 -118.1652
1750.000000 81.763 -118.4348
1775.000000 81.776 -118.5857
1800.000000 81.779 -118.8316
1825.000000 81.797 -118.9664
1850.000000 81.820 -119.1853
1875.000000 81.829 -119.3658
1900.000000 81.851 -119.5272
1925.000000 81.867 -119.6847
1950.000000 81.890 -119.8417
1975.000000 81.899 -119.9906
2000.000000 81.957 -120.1459
2030.000000 81.950 -120.3773
2060.000000 81.963 -120.6064
2090.000000 82.000 -120.7822
2120.000000 82.025 -121.0362
2140.000000 82.043 -121.1829
2180.000000 82.069 -121.4352
2200.000000 82.094 -121.6227
2240.000000 82.125 -121.9804
2270.000000 82.147 -122.2168
2300.000000 82.163 -122.5335
2330.000000 82.195 -122.7552
2360.000000 82.209 -123.0996
2400.000000 82.228 -123.4652
2430.000000 82.238 -123.7469
2470.000000 82.249 -124.1550
2500.000000 82.263 -124.4866
2540.000000 82.272 -124.9261
2580.000000 82.274 -125.2791
2620.000000 82.285 -125.6463
2650.000000 82.278 -125.9396
2690.000000 82.282 -126.3073
2720.000000 82.269 -126.6788
2760.000000 82.267 -126.9905
2800.000000 82.253 -127.3243
2850.000000 82.237 -127.8924
2900.000000 82.218 -128.3270
2950.000000 82.201 -128.7219
3000.000000 82.200 -129.3460
3040.000000 82.159 -129.4235
3070.000000 82.139 -129.6617
3110.000000 82.125 -129.9296
3150.000000 82.115 -130.1550
3200.000000 82.116 -130.3626
3250.000000 82.131 -130.6641
3300.000000 82.164 -131.0807
3350.000000 82.193 -131.6323
3400.000000 82.202 -132.4482
3450.000000 82.211 -133.0773
3500.000000 82.220 -133.8043
3550.000000 82.198 -134.5809
3600.000000 82.196 -135.3978
3650.000000 82.179 -136.1198
3700.000000 82.155 -136.8401
3750.000000 82.152 -137.7017
3820.000000 82.120 -138.8659
3870.000000 82.116 -139.8053
3950.000000 82.085 -141.3624
4000.000000 82.029 -142.6647
4060.000000 82.032 -143.9148
4120.000000 81.992 -145.4503
4180.000000 81.917 -147.0734
4250.000000 81.796 -149.1967
4310.000000 81.655 -150.9007
4370.000000 81.492 -152.5062
4440.000000 81.280 -154.1011
4500.000000 81.103 -155.3976
4550.000000 80.981 -156.5998
4620.000000 80.775 -158.2205
4680.000000 80.585 -159.5709
4750.000000 80.355 -161.1513
4820.000000 80.116 -162.6544
4870.000000 79.929 -163.6223
4940.000000 79.658 -164.9947
