* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 22:40:06 27-02-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: EA1000 500mesh L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 76.761 120.5312
1.015000 76.585 119.5729
1.030000 76.403 118.6036
1.044000 76.227 117.6883
1.060000 76.019 116.6286
1.075000 75.816 115.6212
1.090000 75.605 114.5992
1.106000 75.372 113.5089
1.120000 75.165 112.6439
1.138000 74.893 111.6602
1.150000 74.709 111.0717
1.172000 74.365 110.1011
1.180000 74.238 109.7747
1.206000 73.813 108.7716
1.220000 73.579 108.2461
1.241000 73.217 107.4406
1.250000 73.059 107.0794
1.265000 72.790 106.4429
1.280000 72.515 105.7490
1.315000 71.845 103.8145
1.320000 71.747 103.4932
1.340000 71.343 102.0708
1.360000 70.925 100.4003
1.380000 70.493 98.4424
1.400000 70.045 96.1582
1.430000 69.342 92.0348
1.450000 68.852 88.7642
1.475000 68.206 84.0046
1.500000 67.447 78.3521
1.525000 66.580 71.8822
1.550000 65.629 64.7161
1.575000 64.619 56.9748
1.600000 63.576 48.7794
1.625000 62.523 40.2510
1.650000 61.486 31.5107
1.675000 60.490 22.6796
1.700000 59.559 13.8787
1.725000 58.717 5.2293
1.750000 57.991 -3.1478
1.775000 57.404 -11.1313
1.800000 56.982 -18.6001
1.825000 56.749 -25.4333
1.850000 56.731 -31.7021
1.875000 56.924 -37.8005
1.900000 57.303 -43.7367
1.925000 57.839 -49.5002
1.950000 58.506 -55.0806
1.975000 59.274 -60.4674
2.000000 60.118 -65.6502
2.030000 61.190 -71.5855
2.060000 62.283 -77.1940
2.090000 63.348 -82.4575
2.120000 64.339 -87.3581
2.140000 64.934 -90.4147
2.180000 65.905 -95.9983
2.200000 66.253 -98.5141
2.240000 66.794 -102.8283
2.270000 67.118 -105.4524
2.300000 67.380 -107.6210
2.330000 67.585 -109.3958
2.360000 67.742 -110.8385
2.400000 67.887 -112.3521
2.430000 67.956 -113.2599
2.470000 68.009 -114.2844
2.500000 68.029 -114.9934
2.540000 68.041 -115.9768
2.580000 68.044 -117.1112
2.620000 67.987 -118.2437
2.650000 67.902 -119.0323
2.690000 67.744 -119.9607
2.720000 67.599 -120.5360
2.760000 67.379 -121.0997
2.800000 67.142 -121.3828
2.850000 66.841 -121.2622
2.900000 66.557 -120.5187
2.950000 66.304 -119.0288
3.000000 65.996 -116.6086
3.040000 65.715 -114.1076
3.070000 65.498 -111.9782
3.110000 65.217 -108.8933
3.150000 64.963 -105.6335
3.200000 64.715 -101.4884
3.250000 64.581 -97.4758
3.300000 64.600 -93.8176
3.350000 64.795 -90.1624
3.400000 65.135 -86.2794
3.450000 65.583 -82.3467
3.500000 66.099 -78.5426
3.550000 66.645 -75.0451
3.600000 67.182 -72.0325
3.650000 67.673 -69.6829
3.700000 68.116 -68.1183
3.750000 68.575 -67.2241
3.820000 69.228 -66.8471
3.870000 69.684 -67.0263
3.950000 70.364 -67.7307
4.000000 70.737 -68.2297
4.060000 71.117 -68.7665
4.120000 71.441 -69.5759
4.180000 71.717 -70.6279
4.250000 71.986 -72.0262
4.310000 72.177 -73.2551
4.370000 72.339 -74.4048
4.440000 72.489 -75.6021
4.500000 72.571 -76.6603
4.550000 72.612 -77.5426
4.620000 72.636 -78.7216
4.680000 72.635 -79.6273
4.750000 72.618 -80.4929
4.820000 72.580 -81.1405
4.870000 72.528 -81.5119
4.940000 72.433 -81.8988
5.000000 72.344 -82.1003
5.080000 72.232 -82.1709
5.150000 72.158 -82.0294
5.220000 72.085 -81.6201
5.300000 72.004 -80.8981
5.380000 71.943 -80.0399
5.450000 71.917 -79.2880
5.520000 71.929 -78.6103
5.600000 71.987 -77.7515
5.700000 72.108 -76.6423
5.800000 72.262 -75.7358
5.900000 72.431 -75.2650
6.000000 72.640 -75.1579
6.080000 72.821 -75.2852
6.150000 72.976 -75.5381
6.220000 73.115 -75.9120
6.300000 73.257 -76.5268
6.400000 73.423 -77.5854
6.500000 73.568 -78.8268
6.600000 73.681 -80.1021
6.700000 73.759 -81.4585
6.800000 73.807 -82.9102
6.900000 73.835 -84.3343
7.000000 73.847 -85.6266
7.100000 73.834 -86.8497
7.200000 73.807 -87.9926
7.300000 73.782 -89.0134
7.400000 73.765 -89.8733
7.500000 73.747 -90.5866
7.620000 73.738 -91.3217
7.750000 73.768 -92.0402
7.880000 73.833 -92.6145
8.000000 73.919 -93.1334
8.120000 74.031 -93.7575
8.250000 74.187 -94.4969
8.380000 74.359 -95.3313
8.500000 74.519 -96.2305
8.620000 74.688 -97.2492
8.750000 74.869 -98.4166
8.850000 74.997 -99.3293
9.000000 75.179 -100.7695
9.120000 75.315 -101.8989
9.250000 75.450 -103.0384
9.380000 75.572 -104.1244
9.500000 75.682 -105.0437
9.620000 75.790 -105.8566
9.750000 75.903 -106.6354
9.880000 76.018 -107.3327
10.000000 76.131 -107.9016
10.150000 76.276 -108.5189
10.300000 76.426 -109.1021
10.440000 76.572 -109.6113
10.600000 76.741 -110.1733
10.750000 76.895 -110.7093
10.900000 77.048 -111.2411
11.060000 77.201 -111.7961
11.200000 77.328 -112.2747
11.380000 77.481 -112.8572
11.500000 77.576 -113.2191
11.720000 77.740 -113.8365
11.800000 77.796 -114.0448
12.060000 77.970 -114.6739
12.200000 78.059 -115.0018
12.410000 78.185 -115.4820
12.500000 78.235 -115.6922
12.650000 78.316 -116.0472
12.800000 78.390 -116.4048
13.150000 78.537 -117.2463
13.200000 78.556 -117.3640
13.400000 78.624 -117.8258
13.600000 78.686 -118.2774
13.800000 78.745 -118.7156
14.000000 78.803 -119.1685
14.300000 78.889 -119.8929
14.500000 78.946 -120.4352
14.750000 79.011 -121.1781
15.000000 79.071 -121.9879
15.250000 79.121 -122.8295
15.500000 79.168 -123.6724
15.750000 79.213 -124.5026
16.000000 79.263 -125.3133
16.250000 79.321 -126.1270
16.500000 79.386 -126.9548
16.750000 79.457 -127.8136
17.000000 79.530 -128.6922
17.250000 79.602 -129.5741
17.500000 79.672 -130.4355
17.750000 79.742 -131.2490
18.000000 79.813 -132.0116
18.250000 79.886 -132.7209
18.500000 79.963 -133.3937
18.750000 80.042 -134.0390
19.000000 80.121 -134.6646
19.250000 80.196 -135.2695
19.500000 80.267 -135.8460
19.750000 80.333 -136.3891
20.000000 80.395 -136.8935
20.299999 80.465 -137.4556
20.600000 80.529 -137.9816
20.900000 80.589 -138.4855
21.200001 80.643 -138.9770
21.400000 80.676 -139.2998
21.799999 80.735 -139.9405
22.000000 80.762 -140.2643
22.400000 80.810 -140.9359
22.700001 80.841 -141.4719
23.000000 80.866 -142.0348
23.299999 80.885 -142.6083
23.600000 80.900 -143.1758
24.000000 80.918 -143.9090
24.299999 80.937 -144.4504
24.700001 80.969 -145.1931
25.000000 80.998 -145.7847
25.400000 81.036 -146.6172
25.799999 81.071 -147.4574
26.200001 81.102 -148.2527
26.500000 81.127 -148.8038
26.900000 81.164 -149.4836
27.200001 81.196 -149.9670
27.600000 81.243 -150.5944
28.000000 81.289 -151.2103
28.500000 81.341 -151.9574
29.000000 81.384 -152.6630
29.500000 81.419 -153.3181
30.000000 81.448 -153.9325
30.400000 81.468 -154.4137
30.700001 81.480 -154.7774
31.100000 81.494 -155.2688
31.500000 81.503 -155.7610
32.000000 81.511 -156.3674
32.500000 81.521 -156.9758
33.000000 81.533 -157.6154
33.500000 81.543 -158.2898
34.000000 81.550 -158.9633
34.500000 81.555 -159.5957
35.000000 81.565 -160.1805
35.500000 81.580 -160.7397
36.000000 81.600 -161.2974
36.500000 81.620 -161.8605
37.000000 81.636 -162.4178
37.500000 81.647 -162.9507
38.200001 81.658 -163.6462
38.700001 81.664 -164.1249
39.500000 81.666 -164.8837
40.000000 81.664 -165.3370
40.599998 81.662 -165.8594
41.200001 81.664 -166.3970
41.799999 81.665 -166.9682
42.500000 81.660 -167.6312
43.099998 81.655 -168.1560
43.700001 81.655 -168.6606
44.400002 81.657 -169.2655
45.000000 81.653 -169.7777
45.500000 81.648 -170.1706
46.200001 81.646 -170.6963
46.799999 81.643 -171.1763
47.500000 81.628 -171.7250
48.200001 81.612 -172.1893
48.700001 81.608 -172.5179
49.400002 81.601 -173.0458
50.000000 81.585 -173.4874
50.799999 81.567 -173.9730
51.500000 81.564 -174.4286
52.200001 81.554 -174.9525
53.000000 81.532 -175.5014
53.799999 81.514 -176.0139
54.500000 81.495 -176.4772
55.200001 81.473 -176.9030
56.000000 81.452 -177.3579
57.000000 81.428 -177.9561
58.000000 81.401 -178.5084
59.000000 81.379 -179.0614
60.000000 81.349 -179.6051
60.799999 81.325 179.9889
61.500000 81.301 179.6144
62.200001 81.270 179.2571
63.000000 81.236 178.9028
64.000000 81.201 178.4525
65.000000 81.164 177.9771
66.000000 81.124 177.5260
67.000000 81.082 177.1255
68.000000 81.039 176.7949
69.000000 81.002 176.5712
70.000000 80.975 176.3065
71.000000 80.929 176.0726
72.000000 80.902 176.0138
73.000000 80.901 175.8141
74.000000 80.893 175.5336
75.000000 80.894 175.2108
76.199997 80.884 174.7272
77.500000 80.872 174.2490
78.800003 80.852 173.6968
80.000000 80.821 173.2305
81.199997 80.790 172.7721
82.500000 80.749 172.2920
83.800003 80.710 171.8289
85.000000 80.666 171.4101
86.199997 80.626 171.0685
87.500000 80.586 170.6562
88.500000 80.549 170.3711
90.000000 80.501 169.9383
91.199997 80.455 169.6095
92.500000 80.409 169.2884
93.800003 80.364 168.9677
95.000000 80.323 168.6801
96.199997 80.282 168.3704
97.500000 80.230 168.0815
98.800003 80.189 167.8009
100.000000 80.144 167.5562
101.500000 80.102 167.2757
103.000000 80.054 166.9177
104.400002 79.990 166.6638
106.000000 79.949 166.4290
107.500000 79.887 166.1714
109.000000 79.842 165.9202
110.599998 79.789 165.6680
112.000000 79.736 165.3839
113.800003 79.678 165.1341
115.000000 79.635 164.9507
117.199997 79.564 164.6701
118.000000 79.539 164.5829
120.599998 79.453 164.2459
122.000000 79.405 164.0798
124.099998 79.336 163.8809
125.000000 79.308 163.7701
126.500000 79.258 163.6316
128.000000 79.205 163.4424
131.500000 79.099 163.1199
132.000000 79.087 163.0709
134.000000 79.019 162.9244
136.000000 78.952 162.7242
138.000000 78.887 162.6083
140.000000 78.828 162.4359
143.000000 78.730 162.2928
145.000000 78.672 162.1131
147.500000 78.603 162.0409
150.000000 78.525 161.8377
152.500000 78.446 161.8622
155.000000 78.372 161.7386
157.500000 78.296 161.6628
160.000000 78.222 161.6401
162.500000 78.158 161.6166
165.000000 78.089 161.6263
167.500000 78.032 161.5759
170.000000 77.964 161.6158
172.500000 77.911 161.5530
175.000000 77.852 161.5168
177.500000 77.785 161.5103
180.000000 77.725 161.4843
182.500000 77.673 161.4429
185.000000 77.611 161.4067
187.500000 77.540 161.4516
190.000000 77.485 161.4907
192.500000 77.424 161.4760
195.000000 77.356 161.5338
197.500000 77.301 161.5494
200.000000 77.245 161.5755
203.000000 77.180 161.6880
206.000000 77.115 161.7483
209.000000 77.037 161.9248
212.000000 76.976 161.9517
214.000000 76.927 162.0450
218.000000 76.849 162.1659
220.000000 76.801 162.1723
224.000000 76.732 162.3412
227.000000 76.667 162.3253
230.000000 76.604 162.5263
233.000000 76.546 162.7100
236.000000 76.491 162.8581
240.000000 76.428 163.0192
243.000000 76.371 163.1865
247.000000 76.279 163.3732
250.000000 76.232 163.4432
254.000000 76.162 163.6455
258.000000 76.108 163.8698
262.000000 76.046 164.1394
265.000000 75.999 164.3231
269.000000 75.922 164.5554
272.000000 75.887 164.6840
276.000000 75.833 164.8997
280.000000 75.769 165.1082
285.000000 75.680 165.4469
290.000000 75.627 165.7739
295.000000 75.559 166.0591
300.000000 75.483 166.3503
304.000000 75.427 166.6325
307.000000 75.386 166.7949
311.000000 75.342 167.1047
315.000000 75.284 167.3601
