* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 22:37:41 27-02-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: EA1000 500mesh R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 84.838 121.0000
1.015000 84.665 120.0990
1.030000 84.486 119.1950
1.044000 84.313 118.3484
1.060000 84.107 117.3771
1.075000 83.907 116.4627
1.090000 83.700 115.5443
1.106000 83.472 114.5809
1.120000 83.282 113.8632
1.138000 83.051 113.1189
1.150000 82.904 112.7175
1.172000 82.642 112.1375
1.180000 82.549 111.9659
1.206000 82.245 111.5009
1.220000 82.079 111.2808
1.241000 81.820 110.9429
1.250000 81.704 110.7828
1.265000 81.502 110.4782
1.280000 81.288 110.1081
1.315000 80.725 108.8693
1.320000 80.636 108.6378
1.340000 80.255 107.5439
1.360000 79.831 106.1432
1.380000 79.357 104.3849
1.400000 78.827 102.2183
1.430000 77.916 98.0920
1.450000 77.223 94.6828
1.475000 76.233 89.5756
1.500000 74.975 83.3753
1.525000 73.461 76.1790
1.550000 71.746 68.1322
1.575000 69.883 59.3802
1.600000 67.925 50.0685
1.625000 65.925 40.3426
1.650000 63.935 30.3478
1.675000 62.009 20.2296
1.700000 60.201 10.1335
1.725000 58.562 0.2049
1.750000 57.146 -9.4108
1.775000 56.007 -18.5681
1.800000 55.197 -27.1215
1.825000 54.770 -34.9258
1.850000 54.772 -42.0681
1.875000 55.187 -49.0249
1.900000 55.960 -55.8050
1.925000 57.039 -62.3945
1.950000 58.368 -68.7797
1.975000 59.893 -74.9469
2.000000 61.559 -80.8823
2.030000 63.669 -87.6794
2.060000 65.811 -94.0992
2.090000 67.890 -100.1178
2.120000 69.813 -105.7115
2.140000 70.963 -109.1929
2.180000 72.816 -115.5291
2.200000 73.466 -118.3688
2.240000 74.427 -123.1398
2.270000 74.954 -125.9436
2.300000 75.339 -128.1847
2.330000 75.601 -129.9540
2.360000 75.761 -131.3425
2.400000 75.848 -132.7585
2.430000 75.847 -133.6120
2.470000 75.792 -134.6446
2.500000 75.738 -135.4580
2.540000 75.687 -136.7674
2.580000 75.691 -138.4891
2.620000 75.668 -140.3776
2.650000 75.617 -141.8184
2.690000 75.506 -143.7188
2.720000 75.390 -145.0926
2.760000 75.193 -146.8024
2.800000 74.945 -148.3123
2.850000 74.567 -149.8177
2.900000 74.113 -150.7781
2.950000 73.566 -151.1375
3.000000 72.813 -151.3884
3.040000 72.088 -151.4666
3.070000 71.502 -151.3729
3.110000 70.698 -150.9459
3.150000 69.906 -150.0607
3.200000 69.001 -148.1220
3.250000 68.267 -145.0339
3.300000 67.786 -140.5505
3.350000 67.530 -133.7863
3.400000 67.424 -124.8212
3.450000 67.452 -114.5216
3.500000 67.595 -103.7534
3.550000 67.837 -93.3830
3.600000 68.160 -84.2763
3.650000 68.545 -77.2994
3.700000 69.028 -75.8357
3.750000 69.690 -75.0963
3.820000 70.815 -73.4780
3.870000 71.677 -72.1722
3.950000 72.990 -70.3665
4.000000 73.675 -69.7208
4.060000 74.286 -69.8290
4.120000 74.763 -70.7661
4.180000 75.139 -72.2179
4.250000 75.474 -74.2885
4.310000 75.692 -76.1512
4.370000 75.863 -77.8785
4.440000 76.010 -79.6270
4.500000 76.064 -81.2001
4.550000 76.063 -82.5273
4.620000 76.002 -84.3107
4.680000 75.906 -85.6775
4.750000 75.757 -86.9634
4.820000 75.555 -87.9401
4.870000 75.363 -88.5464
4.940000 75.049 -89.1920
5.000000 74.758 -89.4865
5.080000 74.374 -89.3895
5.150000 74.069 -88.7281
5.220000 73.739 -87.4150
5.300000 73.348 -85.3047
5.380000 72.998 -82.8248
5.450000 72.770 -80.5816
5.520000 72.652 -78.4160
5.600000 72.643 -75.5792
5.700000 72.767 -71.8173
5.800000 72.973 -68.5615
5.900000 73.210 -66.5384
6.000000 73.541 -65.5708
6.080000 73.839 -65.3594
6.150000 74.087 -65.5016
6.220000 74.290 -65.8808
6.300000 74.468 -66.6908
6.400000 74.649 -68.3440
6.500000 74.774 -70.3891
6.600000 74.832 -72.4842
6.700000 74.813 -74.7159
6.800000 74.726 -77.1324
6.900000 74.592 -79.4968
7.000000 74.423 -81.6123
7.100000 74.195 -83.6170
7.200000 73.933 -85.4608
7.300000 73.676 -87.0240
7.400000 73.435 -88.2066
7.500000 73.183 -89.0548
7.620000 72.919 -89.7875
7.750000 72.747 -90.3691
7.880000 72.676 -90.5605
8.000000 72.690 -90.7489
8.120000 72.786 -91.2985
8.250000 72.996 -92.1449
8.380000 73.258 -93.3016
8.500000 73.503 -94.7527
8.620000 73.776 -96.5733
8.750000 74.068 -98.7300
8.850000 74.267 -100.4121
9.000000 74.542 -103.1187
9.120000 74.740 -105.2208
9.250000 74.925 -107.2712
9.380000 75.083 -109.1761
9.500000 75.219 -110.7128
9.620000 75.351 -111.9680
9.750000 75.484 -113.0572
9.880000 75.625 -113.9278
10.000000 75.771 -114.5271
10.150000 75.966 -115.0243
10.300000 76.176 -115.4409
10.440000 76.393 -115.7431
10.600000 76.646 -116.0540
10.750000 76.878 -116.3973
10.900000 77.107 -116.7527
11.060000 77.330 -117.1277
11.200000 77.508 -117.4616
11.380000 77.715 -117.8305
11.500000 77.836 -118.0231
11.720000 78.036 -118.2826
11.800000 78.104 -118.3408
12.060000 78.305 -118.4306
12.200000 78.407 -118.4649
12.410000 78.549 -118.5060
12.500000 78.604 -118.5443
12.650000 78.690 -118.6317
12.800000 78.764 -118.7411
13.150000 78.885 -119.0764
13.200000 78.897 -119.1228
13.400000 78.932 -119.3005
13.600000 78.957 -119.4615
13.800000 78.974 -119.5934
14.000000 78.992 -119.7609
14.300000 79.025 -120.1228
14.500000 79.050 -120.5151
14.750000 79.074 -121.1822
15.000000 79.086 -122.0374
15.250000 79.082 -123.0017
15.500000 79.069 -123.9959
15.750000 79.056 -124.9829
16.000000 79.057 -125.9370
16.250000 79.079 -126.9089
16.500000 79.125 -127.9252
16.750000 79.191 -129.0288
17.000000 79.265 -130.1968
17.250000 79.343 -131.3907
17.500000 79.421 -132.5544
17.750000 79.501 -133.6193
18.000000 79.587 -134.5740
18.250000 79.681 -135.4087
18.500000 79.784 -136.1586
18.750000 79.893 -136.8441
19.000000 80.005 -137.4836
19.250000 80.112 -138.0770
19.500000 80.211 -138.6116
19.750000 80.303 -139.0797
20.000000 80.387 -139.4777
20.299999 80.480 -139.8878
20.600000 80.563 -140.2527
20.900000 80.633 -140.5997
21.200001 80.688 -140.9373
21.400000 80.716 -141.1498
21.799999 80.754 -141.5420
22.000000 80.769 -141.7306
22.400000 80.793 -142.1376
22.700001 80.809 -142.5174
23.000000 80.819 -142.9875
23.299999 80.819 -143.5303
23.600000 80.811 -144.1127
24.000000 80.796 -144.9049
24.299999 80.790 -145.5022
24.700001 80.795 -146.3312
25.000000 80.810 -146.9999
25.400000 80.838 -147.9508
25.799999 80.871 -148.9168
26.200001 80.911 -149.8375
26.500000 80.946 -150.4817
26.900000 81.000 -151.2801
27.200001 81.044 -151.8363
27.600000 81.104 -152.5172
28.000000 81.163 -153.1221
28.500000 81.233 -153.7879
29.000000 81.292 -154.3896
29.500000 81.333 -154.9299
30.000000 81.359 -155.3922
30.400000 81.374 -155.7317
30.700001 81.385 -155.9991
31.100000 81.394 -156.4033
31.500000 81.395 -156.8597
32.000000 81.385 -157.4581
32.500000 81.372 -158.0557
33.000000 81.368 -158.6893
33.500000 81.371 -159.4046
34.000000 81.373 -160.1785
34.500000 81.372 -160.9292
35.000000 81.372 -161.5929
35.500000 81.385 -162.1662
36.000000 81.411 -162.7012
36.500000 81.444 -163.2507
37.000000 81.471 -163.8123
37.500000 81.487 -164.3324
38.200001 81.501 -164.9410
38.700001 81.511 -165.3484
39.500000 81.516 -166.0484
40.000000 81.509 -166.4727
40.599998 81.502 -166.9596
41.200001 81.498 -167.4904
41.799999 81.490 -168.0680
42.500000 81.477 -168.7175
43.099998 81.471 -169.2448
43.700001 81.469 -169.7796
44.400002 81.466 -170.4051
45.000000 81.458 -170.9146
45.500000 81.450 -171.3034
46.200001 81.441 -171.7919
46.799999 81.439 -172.2072
47.500000 81.437 -172.7480
48.200001 81.426 -173.3185
48.700001 81.413 -173.7187
49.400002 81.391 -174.2502
50.000000 81.371 -174.6482
50.799999 81.354 -175.1184
51.500000 81.346 -175.5612
52.200001 81.331 -176.0124
53.000000 81.312 -176.4825
53.799999 81.293 -176.9704
54.500000 81.268 -177.4102
55.200001 81.240 -177.8208
56.000000 81.210 -178.2681
57.000000 81.179 -178.8392
58.000000 81.148 -179.4347
59.000000 81.114 -179.9649
60.000000 81.084 179.5741
60.799999 81.058 179.2129
61.500000 81.029 178.9230
62.200001 80.997 178.6766
63.000000 80.962 178.4298
64.000000 80.927 178.1145
65.000000 80.894 177.6976
66.000000 80.848 177.3167
67.000000 80.818 177.0490
68.000000 80.791 176.7377
69.000000 80.770 176.5630
70.000000 80.767 176.2758
71.000000 80.732 175.9412
72.000000 80.703 175.8072
73.000000 80.697 175.5865
74.000000 80.688 175.2832
75.000000 80.683 174.9509
76.199997 80.674 174.5012
77.500000 80.661 173.9785
78.800003 80.633 173.4961
80.000000 80.613 173.0569
81.199997 80.581 172.6085
82.500000 80.551 172.1293
83.800003 80.507 171.6869
85.000000 80.477 171.2856
86.199997 80.430 170.9097
87.500000 80.392 170.5040
88.500000 80.350 170.1980
90.000000 80.306 169.7723
91.199997 80.261 169.4235
92.500000 80.217 169.0786
93.800003 80.169 168.7946
95.000000 80.135 168.5004
96.199997 80.087 168.1745
97.500000 80.043 167.8914
98.800003 79.994 167.6005
100.000000 79.961 167.3658
101.500000 79.901 167.0580
103.000000 79.855 166.8146
104.400002 79.802 166.5242
106.000000 79.742 166.2686
107.500000 79.689 166.0120
109.000000 79.643 165.7527
110.599998 79.582 165.5195
112.000000 79.530 165.3199
113.800003 79.467 165.0460
115.000000 79.427 164.9162
117.199997 79.358 164.5876
118.000000 79.330 164.4518
120.599998 79.238 164.1182
122.000000 79.193 164.0383
124.099998 79.126 163.7648
125.000000 79.096 163.6934
126.500000 79.045 163.5268
128.000000 78.992 163.4450
131.500000 78.884 163.0815
132.000000 78.863 163.0652
134.000000 78.810 162.8718
136.000000 78.754 162.7834
138.000000 78.680 162.6453
140.000000 78.619 162.5465
143.000000 78.529 162.3926
145.000000 78.473 162.2769
147.500000 78.394 162.1125
150.000000 78.324 162.0768
152.500000 78.255 161.9383
155.000000 78.178 161.8680
157.500000 78.108 161.7932
160.000000 78.029 161.7299
162.500000 77.970 161.6510
165.000000 77.895 161.6115
167.500000 77.831 161.5658
170.000000 77.765 161.5655
172.500000 77.702 161.6107
175.000000 77.633 161.5170
177.500000 77.577 161.5516
180.000000 77.511 161.5637
182.500000 77.447 161.5389
185.000000 77.378 161.6179
187.500000 77.318 161.5819
190.000000 77.258 161.6230
192.500000 77.201 161.7099
195.000000 77.148 161.7111
197.500000 77.080 161.8035
200.000000 77.021 161.8666
203.000000 76.955 161.9417
206.000000 76.895 161.9755
209.000000 76.828 162.1440
212.000000 76.764 162.2054
214.000000 76.714 162.2551
218.000000 76.636 162.4443
220.000000 76.609 162.5266
224.000000 76.521 162.7080
227.000000 76.461 162.8784
230.000000 76.402 163.0015
233.000000 76.341 163.1323
236.000000 76.282 163.2897
240.000000 76.221 163.5087
243.000000 76.168 163.6346
247.000000 76.087 163.8244
250.000000 76.033 163.9299
254.000000 75.955 164.2059
258.000000 75.911 164.3795
262.000000 75.838 164.5922
265.000000 75.799 164.7911
269.000000 75.744 165.0607
272.000000 75.696 165.2794
276.000000 75.631 165.4379
280.000000 75.573 165.6922
285.000000 75.516 166.0356
290.000000 75.432 166.3564
295.000000 75.372 166.7217
300.000000 75.300 167.0323
304.000000 75.244 167.2054
307.000000 75.208 167.4384
311.000000 75.167 167.7244
315.000000 75.105 168.0347
