* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 00:05:13 23-02-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: EA1000 500msh HDF L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 76.760 120.7660
1.015000 76.574 119.8034
1.030000 76.380 118.8274
1.044000 76.192 117.9034
1.060000 75.968 116.8307
1.075000 75.749 115.8078
1.090000 75.521 114.7672
1.106000 75.267 113.6577
1.120000 75.035 112.8017
1.138000 74.723 111.8665
1.150000 74.507 111.3299
1.172000 74.097 110.4858
1.180000 73.943 110.2133
1.206000 73.427 109.4025
1.220000 73.140 108.9854
1.241000 72.699 108.3387
1.250000 72.507 108.0414
1.265000 72.182 107.5022
1.280000 71.853 106.8900
1.315000 71.070 105.0593
1.320000 70.957 104.7404
1.340000 70.501 103.2897
1.360000 70.043 101.5218
1.380000 69.583 99.3866
1.400000 69.123 96.8342
1.430000 68.436 92.1136
1.450000 67.983 88.2991
1.475000 67.415 82.6587
1.500000 66.781 75.7561
1.525000 66.081 67.6916
1.550000 65.332 58.6537
1.575000 64.554 48.8308
1.600000 63.762 38.4117
1.625000 62.975 27.5847
1.650000 62.212 16.5382
1.675000 61.489 5.4610
1.700000 60.824 -5.4587
1.725000 60.236 -16.0322
1.750000 59.742 -26.0711
1.775000 59.360 -35.3868
1.800000 59.108 -43.7909
1.825000 59.003 -51.0949
1.850000 59.069 -57.3157
1.875000 59.316 -62.8791
1.900000 59.720 -67.8583
1.925000 60.259 -72.3078
1.950000 60.907 -76.2822
1.975000 61.640 -79.8358
2.000000 62.436 -83.0232
2.030000 63.438 -86.4415
2.060000 64.453 -89.5052
2.090000 65.439 -92.3084
2.120000 66.355 -94.9454
2.140000 66.906 -96.6576
2.180000 67.810 -100.0975
2.200000 68.138 -101.8790
2.240000 68.650 -105.1634
2.270000 68.953 -107.2753
2.300000 69.194 -109.1215
2.330000 69.380 -110.7342
2.360000 69.520 -112.1457
2.400000 69.644 -113.7701
2.430000 69.702 -114.8370
2.470000 69.743 -116.1186
2.500000 69.757 -117.0159
2.540000 69.768 -118.1882
2.580000 69.778 -119.3923
2.620000 69.741 -120.5750
2.650000 69.679 -121.4135
2.690000 69.558 -122.4335
2.720000 69.444 -123.1022
2.760000 69.268 -123.8320
2.800000 69.072 -124.3388
2.850000 68.815 -124.5952
2.900000 68.560 -124.3568
2.950000 68.314 -123.5370
3.000000 68.007 -122.0730
3.040000 67.724 -120.5012
3.070000 67.501 -119.1283
3.110000 67.206 -117.0880
3.150000 66.929 -114.8635
3.200000 66.636 -111.9163
3.250000 66.436 -108.8946
3.300000 66.364 -105.9143
3.350000 66.425 -102.6420
3.400000 66.592 -98.9367
3.450000 66.840 -95.0166
3.500000 67.148 -91.0997
3.550000 67.492 -87.4042
3.600000 67.850 -84.1481
3.650000 68.199 -81.5495
3.700000 68.544 -79.7157
3.750000 68.936 -78.4410
3.820000 69.531 -77.4066
3.870000 69.966 -77.0787
3.950000 70.626 -77.0112
4.000000 70.987 -77.1113
4.060000 71.349 -77.3007
4.120000 71.664 -77.8475
4.180000 71.939 -78.6990
4.250000 72.213 -79.9257
4.310000 72.410 -81.0469
4.370000 72.575 -82.1123
4.440000 72.724 -83.2372
4.500000 72.805 -84.2765
4.550000 72.846 -85.1690
4.620000 72.868 -86.3919
4.680000 72.863 -87.3532
4.750000 72.837 -88.2929
4.820000 72.785 -89.0318
4.870000 72.721 -89.4915
4.940000 72.606 -90.0194
5.000000 72.496 -90.3440
5.080000 72.352 -90.5591
5.150000 72.244 -90.5071
5.220000 72.130 -90.1749
5.300000 71.996 -89.5258
5.380000 71.879 -88.7075
5.450000 71.806 -87.9499
5.520000 71.776 -87.2156
5.600000 71.787 -86.2198
5.700000 71.851 -84.8669
5.800000 71.957 -83.6897
5.900000 72.094 -82.9688
6.000000 72.285 -82.5944
6.080000 72.460 -82.5071
6.150000 72.613 -82.5890
6.220000 72.751 -82.8213
6.300000 72.895 -83.3134
6.400000 73.070 -84.2592
6.500000 73.226 -85.4263
6.600000 73.350 -86.6592
6.700000 73.436 -88.0137
6.800000 73.492 -89.4997
6.900000 73.526 -90.9765
7.000000 73.541 -92.3258
7.100000 73.527 -93.6251
7.200000 73.496 -94.8524
7.300000 73.465 -95.9463
7.400000 73.440 -96.8598
7.500000 73.410 -97.6185
7.620000 73.386 -98.3852
7.750000 73.400 -99.0928
7.880000 73.450 -99.6088
8.000000 73.526 -100.0480
8.120000 73.632 -100.5781
8.250000 73.787 -101.1890
8.380000 73.962 -101.8903
8.500000 74.128 -102.6806
8.620000 74.307 -103.5956
8.750000 74.499 -104.6617
8.850000 74.636 -105.5087
9.000000 74.832 -106.8691
9.120000 74.979 -107.9433
9.250000 75.123 -109.0283
9.380000 75.253 -110.0677
9.500000 75.367 -110.9422
9.620000 75.479 -111.7045
9.750000 75.593 -112.4250
9.880000 75.710 -113.0567
10.000000 75.822 -113.5556
10.150000 75.966 -114.0759
10.300000 76.116 -114.5564
10.440000 76.262 -114.9631
10.600000 76.431 -115.4065
10.750000 76.586 -115.8347
10.900000 76.740 -116.2608
11.060000 76.894 -116.7086
11.200000 77.021 -117.0982
11.380000 77.174 -117.5702
11.500000 77.268 -117.8609
11.720000 77.430 -118.3515
11.800000 77.486 -118.5143
12.060000 77.657 -118.9992
12.200000 77.744 -119.2529
12.410000 77.868 -119.6271
12.500000 77.918 -119.7950
12.650000 77.997 -120.0835
12.800000 78.069 -120.3791
13.150000 78.212 -121.0931
13.200000 78.229 -121.1935
13.400000 78.293 -121.5887
13.600000 78.351 -121.9745
13.800000 78.406 -122.3461
14.000000 78.460 -122.7343
14.300000 78.543 -123.3686
14.500000 78.599 -123.8622
14.750000 78.665 -124.5612
15.000000 78.724 -125.3470
15.250000 78.773 -126.1801
15.500000 78.816 -127.0182
15.750000 78.856 -127.8405
16.000000 78.900 -128.6292
16.250000 78.953 -129.4071
16.500000 79.015 -130.1885
16.750000 79.087 -130.9981
17.000000 79.162 -131.8355
17.250000 79.238 -132.6871
17.500000 79.313 -133.5320
17.750000 79.386 -134.3362
18.000000 79.458 -135.0903
18.250000 79.532 -135.7852
18.500000 79.609 -136.4317
18.750000 79.688 -137.0401
19.000000 79.768 -137.6202
19.250000 79.846 -138.1779
19.500000 79.920 -138.7101
19.750000 79.990 -139.2151
20.000000 80.056 -139.6895
20.299999 80.130 -140.2245
20.600000 80.198 -140.7314
20.900000 80.259 -141.2218
21.200001 80.313 -141.7044
21.400000 80.345 -142.0228
21.799999 80.399 -142.6517
22.000000 80.422 -142.9640
22.400000 80.462 -143.5923
22.700001 80.488 -144.0765
23.000000 80.511 -144.5787
23.299999 80.532 -145.0989
23.600000 80.551 -145.6346
24.000000 80.575 -146.3695
24.299999 80.594 -146.9350
24.700001 80.621 -147.7059
25.000000 80.643 -148.2905
25.400000 80.675 -149.0650
25.799999 80.712 -149.8223
26.200001 80.754 -150.5652
26.500000 80.789 -151.1189
26.900000 80.835 -151.8519
27.200001 80.868 -152.3861
27.600000 80.908 -153.0552
28.000000 80.946 -153.6594
28.500000 80.993 -154.3400
29.000000 81.039 -154.9825
29.500000 81.078 -155.6048
30.000000 81.109 -156.2001
30.400000 81.130 -156.6649
30.700001 81.144 -157.0174
31.100000 81.158 -157.5001
31.500000 81.167 -157.9893
32.000000 81.173 -158.5896
32.500000 81.181 -159.1827
33.000000 81.191 -159.8038
33.500000 81.201 -160.4609
34.000000 81.207 -161.1137
34.500000 81.215 -161.7295
35.000000 81.228 -162.3249
35.500000 81.245 -162.9298
36.000000 81.258 -163.5320
36.500000 81.268 -164.0917
37.000000 81.277 -164.5972
37.500000 81.291 -165.0819
38.200001 81.308 -165.7892
38.700001 81.312 -166.3049
39.500000 81.305 -167.0665
40.000000 81.301 -167.5009
40.599998 81.298 -168.0170
41.200001 81.298 -168.5511
41.799999 81.297 -169.1033
42.500000 81.293 -169.7707
43.099998 81.284 -170.3411
43.700001 81.269 -170.8546
44.400002 81.256 -171.3629
45.000000 81.254 -171.7814
45.500000 81.255 -172.1596
46.200001 81.248 -172.7225
46.799999 81.233 -173.1831
47.500000 81.213 -173.6400
48.200001 81.204 -174.0613
48.700001 81.203 -174.4083
49.400002 81.190 -174.9512
50.000000 81.169 -175.3565
50.799999 81.155 -175.7913
51.500000 81.156 -176.2455
52.200001 81.145 -176.7688
53.000000 81.118 -177.2740
53.799999 81.099 -177.6953
54.500000 81.089 -178.0787
55.200001 81.077 -178.4820
56.000000 81.061 -178.9529
57.000000 81.038 -179.5119
58.000000 81.021 179.9370
59.000000 80.997 179.3581
60.000000 80.967 178.8613
60.799999 80.949 178.4872
61.500000 80.931 178.1350
62.200001 80.909 177.7945
63.000000 80.885 177.4311
64.000000 80.854 176.9617
65.000000 80.821 176.5084
66.000000 80.791 176.0852
67.000000 80.766 175.6673
68.000000 80.739 175.2410
69.000000 80.711 174.8528
70.000000 80.686 174.4410
71.000000 80.649 174.0306
72.000000 80.616 173.7030
73.000000 80.590 173.3146
74.000000 80.554 172.9458
75.000000 80.528 172.6227
76.199997 80.495 172.1837
77.500000 80.457 171.7773
78.800003 80.424 171.3283
80.000000 80.382 170.9205
81.199997 80.347 170.5516
82.500000 80.305 170.0986
83.800003 80.263 169.6862
85.000000 80.219 169.2922
86.199997 80.174 168.9810
87.500000 80.134 168.6024
88.500000 80.099 168.3033
90.000000 80.040 167.8522
91.199997 79.995 167.5536
92.500000 79.944 167.2137
93.800003 79.896 166.8957
95.000000 79.837 166.6212
96.199997 79.795 166.4277
97.500000 79.739 166.1013
98.800003 79.682 165.9157
100.000000 79.637 165.6949
101.500000 79.571 165.4882
103.000000 79.520 165.2958
104.400002 79.463 165.1223
106.000000 79.407 164.9235
107.500000 79.352 164.8310
109.000000 79.317 164.7446
110.599998 79.281 164.5768
112.000000 79.249 164.4720
113.800003 79.222 164.2647
115.000000 79.190 164.1080
117.199997 79.145 163.7722
118.000000 79.129 163.6984
120.599998 79.070 163.2238
122.000000 79.038 162.9721
124.099998 78.974 162.6435
125.000000 78.947 162.5392
126.500000 78.905 162.3225
128.000000 78.862 162.1070
131.500000 78.750 161.5629
132.000000 78.729 161.4923
134.000000 78.676 161.2600
136.000000 78.611 161.0883
138.000000 78.551 160.8248
140.000000 78.486 160.6725
143.000000 78.386 160.4207
145.000000 78.319 160.3144
147.500000 78.239 160.1061
150.000000 78.163 159.9449
152.500000 78.095 159.8676
155.000000 78.016 159.7075
157.500000 77.935 159.5521
160.000000 77.864 159.4606
162.500000 77.792 159.3542
165.000000 77.733 159.3730
167.500000 77.651 159.2115
170.000000 77.578 159.1738
172.500000 77.502 159.1382
175.000000 77.451 159.1291
177.500000 77.373 159.1073
180.000000 77.308 159.0458
182.500000 77.251 159.0256
185.000000 77.186 158.9991
187.500000 77.119 159.0089
190.000000 77.056 159.0208
192.500000 76.993 159.0880
195.000000 76.933 159.0901
197.500000 76.875 159.0501
200.000000 76.816 159.0692
203.000000 76.747 159.1853
206.000000 76.670 159.2283
209.000000 76.611 159.2524
212.000000 76.545 159.4138
214.000000 76.503 159.4034
218.000000 76.408 159.4771
220.000000 76.374 159.5939
224.000000 76.287 159.7180
227.000000 76.230 159.8074
230.000000 76.165 159.8443
233.000000 76.107 160.1152
236.000000 76.045 160.1597
240.000000 75.991 160.3153
243.000000 75.922 160.3990
247.000000 75.841 160.6391
250.000000 75.804 160.7244
254.000000 75.722 160.9271
258.000000 75.651 161.1663
262.000000 75.587 161.2836
265.000000 75.539 161.5212
269.000000 75.482 161.6887
272.000000 75.432 161.8917
276.000000 75.369 162.0269
280.000000 75.306 162.2579
285.000000 75.227 162.5364
290.000000 75.154 162.8963
295.000000 75.093 163.0758
300.000000 75.025 163.3735
304.000000 74.962 163.6896
307.000000 74.932 163.8203
311.000000 74.877 164.0475
315.000000 74.814 164.2708
