* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 00:01:42 23-02-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: EA1000 500msh HDF R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 84.616 120.7901
1.015000 84.440 119.8796
1.030000 84.256 118.9650
1.044000 84.078 118.1074
1.060000 83.867 117.1221
1.075000 83.661 116.1931
1.090000 83.447 115.2587
1.106000 83.211 114.2804
1.120000 83.007 113.5730
1.138000 82.750 112.8753
1.150000 82.580 112.5226
1.172000 82.270 112.0607
1.180000 82.156 111.9393
1.206000 81.783 111.6541
1.220000 81.577 111.5360
1.241000 81.258 111.3490
1.250000 81.117 111.2503
1.265000 80.875 111.0406
1.280000 80.623 110.7526
1.315000 79.987 109.6322
1.320000 79.890 109.4071
1.340000 79.485 108.3064
1.360000 79.049 106.8397
1.380000 78.580 104.9469
1.400000 78.073 102.5675
1.430000 77.235 97.9541
1.450000 76.621 94.0942
1.475000 75.770 88.2488
1.500000 74.716 80.9814
1.525000 73.470 72.4109
1.550000 72.073 62.7439
1.575000 70.566 52.1870
1.600000 68.991 40.9470
1.625000 67.389 29.2305
1.650000 65.802 17.2440
1.675000 64.272 5.1943
1.700000 62.839 -6.7121
1.725000 61.546 -18.2685
1.750000 60.433 -29.2681
1.775000 59.542 -39.5045
1.800000 58.915 -48.7710
1.825000 58.594 -56.8610
1.850000 58.616 -63.8060
1.875000 58.975 -70.0990
1.900000 59.627 -75.8119
1.925000 60.527 -80.9944
1.950000 61.631 -85.6965
1.975000 62.895 -89.9681
2.000000 64.274 -93.8591
2.030000 66.019 -98.0961
2.060000 67.790 -101.9432
2.090000 69.510 -105.4866
2.120000 71.102 -108.8124
2.140000 72.055 -110.9515
2.180000 73.598 -115.1567
2.200000 74.143 -117.2717
2.240000 74.960 -121.0752
2.270000 75.417 -123.4542
2.300000 75.759 -125.4861
2.330000 76.002 -127.2238
2.360000 76.160 -128.7203
2.400000 76.267 -130.4319
2.430000 76.290 -131.5715
2.470000 76.273 -132.9994
2.500000 76.246 -134.0704
2.540000 76.220 -135.5992
2.580000 76.229 -137.3379
2.620000 76.207 -139.1755
2.650000 76.159 -140.5651
2.690000 76.053 -142.3881
2.720000 75.943 -143.7023
2.760000 75.758 -145.3389
2.800000 75.529 -146.7921
2.850000 75.185 -148.2651
2.900000 74.778 -149.2546
2.950000 74.298 -149.7133
3.000000 73.654 -150.0599
3.040000 73.040 -150.2184
3.070000 72.544 -150.1992
3.110000 71.862 -149.9051
3.150000 71.187 -149.2078
3.200000 70.402 -147.6095
3.250000 69.743 -145.0120
3.300000 69.274 -141.2063
3.350000 68.954 -135.4676
3.400000 68.724 -127.8682
3.450000 68.586 -119.1209
3.500000 68.542 -109.9387
3.550000 68.592 -101.0342
3.600000 68.739 -93.1203
3.650000 68.983 -86.9098
3.700000 69.365 -82.6955
3.750000 69.942 -79.7153
3.820000 70.969 -77.1617
3.870000 71.774 -76.2099
3.950000 73.016 -75.6197
4.000000 73.666 -75.5078
4.060000 74.245 -75.4553
4.120000 74.709 -76.1014
4.180000 75.088 -77.3501
4.250000 75.438 -79.2661
4.310000 75.671 -81.0424
4.370000 75.854 -82.7030
4.440000 76.009 -84.3862
4.500000 76.070 -85.9417
4.550000 76.076 -87.2806
4.620000 76.025 -89.1161
4.680000 75.936 -90.5564
4.750000 75.792 -91.9562
4.820000 75.593 -93.0851
4.870000 75.403 -93.8314
4.940000 75.089 -94.7039
5.000000 74.796 -95.2094
5.080000 74.398 -95.3970
5.150000 74.067 -94.9748
5.220000 73.698 -93.9435
5.300000 73.249 -92.1805
5.380000 72.834 -90.0080
5.450000 72.548 -87.9464
5.520000 72.374 -85.8337
5.600000 72.294 -82.9001
5.700000 72.323 -78.8653
5.800000 72.449 -75.2748
5.900000 72.637 -72.9502
6.000000 72.952 -71.6406
6.080000 73.252 -71.1482
6.150000 73.505 -71.0717
6.220000 73.715 -71.2843
6.300000 73.903 -71.9756
6.400000 74.105 -73.5524
6.500000 74.254 -75.5822
6.600000 74.334 -77.7033
6.700000 74.334 -80.0097
6.800000 74.267 -82.5506
6.900000 74.150 -85.0699
7.000000 73.994 -87.3562
7.100000 73.776 -89.5677
7.200000 73.522 -91.6361
7.300000 73.268 -93.4138
7.400000 73.023 -94.7939
7.500000 72.763 -95.8419
7.620000 72.485 -96.7739
7.750000 72.297 -97.4654
7.880000 72.206 -97.6649
8.000000 72.205 -97.7947
8.120000 72.297 -98.2322
8.250000 72.514 -98.8767
8.380000 72.790 -99.8065
8.500000 73.054 -101.0702
8.620000 73.354 -102.7039
8.750000 73.677 -104.6724
8.850000 73.898 -106.2305
9.000000 74.207 -108.7785
9.120000 74.429 -110.7701
9.250000 74.636 -112.7145
9.380000 74.812 -114.5298
9.500000 74.960 -115.9872
9.620000 75.100 -117.1618
9.750000 75.238 -118.1662
9.880000 75.381 -118.9451
10.000000 75.526 -119.4486
10.150000 75.716 -119.8162
10.300000 75.923 -120.0954
10.440000 76.135 -120.2592
10.600000 76.383 -120.4116
10.750000 76.613 -120.6143
10.900000 76.840 -120.8348
11.060000 77.061 -121.0809
11.200000 77.237 -121.3146
11.380000 77.441 -121.5681
11.500000 77.561 -121.6927
11.720000 77.755 -121.8405
11.800000 77.821 -121.8603
12.060000 78.013 -121.8345
12.200000 78.110 -121.8085
12.410000 78.245 -121.7627
12.500000 78.297 -121.7649
12.650000 78.377 -121.7940
12.800000 78.447 -121.8475
13.150000 78.558 -122.0635
13.200000 78.569 -122.0941
13.400000 78.599 -122.2112
13.600000 78.619 -122.3164
13.800000 78.633 -122.3971
14.000000 78.649 -122.5206
14.300000 78.681 -122.8322
14.500000 78.706 -123.2046
14.750000 78.731 -123.8600
15.000000 78.743 -124.7160
15.250000 78.737 -125.6846
15.500000 78.722 -126.6773
15.750000 78.706 -127.6522
16.000000 78.706 -128.5789
16.250000 78.731 -129.5150
16.500000 78.781 -130.4926
16.750000 78.854 -131.5643
17.000000 78.936 -132.7121
17.250000 79.022 -133.8962
17.500000 79.105 -135.0571
17.750000 79.188 -136.1148
18.000000 79.274 -137.0524
18.250000 79.368 -137.8538
18.500000 79.471 -138.5547
18.750000 79.581 -139.1810
19.000000 79.694 -139.7564
19.250000 79.803 -140.2902
19.500000 79.906 -140.7720
19.750000 80.001 -141.1958
20.000000 80.087 -141.5555
20.299999 80.181 -141.9233
20.600000 80.265 -142.2470
20.900000 80.336 -142.5540
21.200001 80.391 -142.8566
21.400000 80.419 -143.0510
21.799999 80.457 -143.4193
22.000000 80.470 -143.5995
22.400000 80.491 -143.9872
22.700001 80.502 -144.3424
23.000000 80.509 -144.7771
23.299999 80.509 -145.2813
23.600000 80.504 -145.8327
24.000000 80.494 -146.6102
24.299999 80.491 -147.2192
24.700001 80.499 -148.0805
25.000000 80.512 -148.7685
25.400000 80.536 -149.7211
25.799999 80.568 -150.6632
26.200001 80.610 -151.5562
26.500000 80.648 -152.1911
26.900000 80.706 -152.9954
27.200001 80.751 -153.5600
27.600000 80.808 -154.2383
28.000000 80.865 -154.8130
28.500000 80.935 -155.4167
29.000000 81.000 -155.9714
29.500000 81.048 -156.5018
30.000000 81.077 -156.9758
30.400000 81.092 -157.3209
30.700001 81.101 -157.5844
31.100000 81.109 -157.9736
31.500000 81.110 -158.4106
32.000000 81.101 -158.9955
32.500000 81.090 -159.6020
33.000000 81.083 -160.2479
33.500000 81.079 -160.9418
34.000000 81.078 -161.6500
34.500000 81.083 -162.3384
35.000000 81.094 -163.0016
35.500000 81.109 -163.6323
36.000000 81.128 -164.2112
36.500000 81.149 -164.7383
37.000000 81.171 -165.2386
37.500000 81.188 -165.7204
38.200001 81.201 -166.3320
38.700001 81.205 -166.7293
39.500000 81.206 -167.3797
40.000000 81.199 -167.7980
40.599998 81.186 -168.2883
41.200001 81.175 -168.7746
41.799999 81.168 -169.2758
42.500000 81.165 -169.8880
43.099998 81.163 -170.4323
43.700001 81.161 -170.9657
44.400002 81.159 -171.5535
45.000000 81.157 -172.0461
45.500000 81.151 -172.4390
46.200001 81.141 -172.9264
46.799999 81.137 -173.3251
47.500000 81.129 -173.8315
48.200001 81.112 -174.3022
48.700001 81.105 -174.5994
49.400002 81.105 -175.0749
50.000000 81.097 -175.5642
50.799999 81.066 -176.1429
51.500000 81.044 -176.5254
52.200001 81.031 -176.9255
53.000000 81.005 -177.4106
53.799999 80.974 -177.8040
54.500000 80.956 -178.1393
55.200001 80.935 -178.5353
56.000000 80.901 -178.9500
57.000000 80.874 -179.3860
58.000000 80.854 -179.8638
59.000000 80.838 179.7300
60.000000 80.831 179.3351
60.799999 80.825 179.0397
61.500000 80.821 178.7759
62.200001 80.813 178.4907
63.000000 80.800 178.1738
64.000000 80.788 177.7497
65.000000 80.775 177.2690
66.000000 80.764 176.7623
67.000000 80.752 176.1971
68.000000 80.730 175.6776
69.000000 80.710 175.2071
70.000000 80.682 174.7320
71.000000 80.649 174.3335
72.000000 80.622 173.9046
73.000000 80.581 173.4417
74.000000 80.540 173.0841
75.000000 80.514 172.6843
76.199997 80.467 172.1747
77.500000 80.422 171.7263
78.800003 80.371 171.2752
80.000000 80.331 170.8979
81.199997 80.287 170.5239
82.500000 80.250 170.1158
83.800003 80.197 169.7150
85.000000 80.160 169.4075
86.199997 80.108 169.0412
87.500000 80.057 168.7724
88.500000 80.024 168.5275
90.000000 79.977 168.0990
91.199997 79.930 167.8085
92.500000 79.887 167.5176
93.800003 79.836 167.2768
95.000000 79.794 167.0491
96.199997 79.750 166.8295
97.500000 79.705 166.5384
98.800003 79.659 166.2953
100.000000 79.622 166.0250
101.500000 79.565 165.7941
103.000000 79.523 165.5665
104.400002 79.472 165.3406
106.000000 79.424 165.1640
107.500000 79.384 164.8980
109.000000 79.343 164.6826
110.599998 79.292 164.3964
112.000000 79.258 164.1857
113.800003 79.200 163.9055
115.000000 79.170 163.6966
117.199997 79.102 163.3738
118.000000 79.080 163.2253
120.599998 78.982 162.8602
122.000000 78.940 162.6335
124.099998 78.875 162.3771
125.000000 78.845 162.2617
126.500000 78.795 162.1423
128.000000 78.744 161.9065
131.500000 78.618 161.6125
132.000000 78.604 161.5795
134.000000 78.536 161.3780
136.000000 78.469 161.2980
138.000000 78.408 161.1729
140.000000 78.344 161.0768
143.000000 78.247 160.8868
145.000000 78.187 160.7206
147.500000 78.111 160.7000
150.000000 78.045 160.5549
152.500000 77.975 160.4261
155.000000 77.904 160.3037
157.500000 77.834 160.2580
160.000000 77.772 160.2161
162.500000 77.705 160.0738
165.000000 77.630 160.0150
167.500000 77.569 160.0027
170.000000 77.507 159.9044
172.500000 77.443 159.8670
175.000000 77.384 159.8121
177.500000 77.318 159.8155
180.000000 77.255 159.8225
182.500000 77.192 159.8461
185.000000 77.135 159.7772
187.500000 77.062 159.7797
190.000000 77.009 159.8235
192.500000 76.947 159.8559
195.000000 76.877 159.8888
197.500000 76.825 159.9516
200.000000 76.775 159.8643
203.000000 76.693 160.1016
206.000000 76.627 160.0481
209.000000 76.571 159.9957
212.000000 76.504 160.1888
214.000000 76.466 160.1448
218.000000 76.369 160.3935
220.000000 76.325 160.4202
224.000000 76.248 160.5575
227.000000 76.191 160.6664
230.000000 76.130 160.7324
233.000000 76.058 160.9318
236.000000 76.003 160.9116
240.000000 75.949 161.1495
243.000000 75.891 161.3232
247.000000 75.817 161.4254
250.000000 75.766 161.5876
254.000000 75.696 161.8232
258.000000 75.632 162.0803
262.000000 75.588 162.2607
265.000000 75.525 162.4029
269.000000 75.457 162.5061
272.000000 75.405 162.7174
276.000000 75.343 162.9343
280.000000 75.278 163.1966
285.000000 75.200 163.4694
290.000000 75.129 163.7603
295.000000 75.074 164.0547
300.000000 75.017 164.2816
304.000000 74.965 164.6118
307.000000 74.907 164.8237
311.000000 74.854 164.9156
315.000000 74.824 165.2799
