* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 00:57:57 23-03-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: EA500LM black L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 84.346 120.6530
1.015000 84.165 119.7287
1.030000 83.977 118.7981
1.044000 83.796 117.9236
1.060000 83.580 116.9163
1.075000 83.368 115.9640
1.090000 83.149 115.0034
1.106000 82.905 113.9940
1.120000 82.690 113.2574
1.138000 82.409 112.5195
1.150000 82.219 112.1385
1.172000 81.866 111.6214
1.180000 81.735 111.4790
1.206000 81.300 111.1220
1.220000 81.060 110.9630
1.241000 80.688 110.7120
1.250000 80.525 110.5848
1.265000 80.247 110.3266
1.280000 79.962 109.9883
1.315000 79.262 108.7451
1.320000 79.158 108.5018
1.340000 78.731 107.3268
1.360000 78.286 105.7837
1.380000 77.820 103.8121
1.400000 77.333 101.3519
1.430000 76.560 96.6136
1.450000 76.014 92.6681
1.475000 75.285 86.7096
1.500000 74.411 79.2928
1.525000 73.399 70.5373
1.550000 72.280 60.6590
1.575000 71.086 49.8736
1.600000 69.847 38.3971
1.625000 68.595 26.4452
1.650000 67.361 14.2339
1.675000 66.177 1.9789
1.700000 65.074 -10.1040
1.725000 64.083 -21.7988
1.750000 63.236 -32.8898
1.775000 62.565 -43.1611
1.800000 62.099 -52.3969
1.825000 61.871 -60.3814
1.850000 61.913 -67.1313
1.875000 62.225 -73.1290
1.900000 62.772 -78.4598
1.925000 63.517 -83.1882
1.950000 64.427 -87.3787
1.975000 65.464 -91.0954
2.000000 66.594 -94.4030
2.030000 68.022 -97.9226
2.060000 69.470 -101.0569
2.090000 70.878 -103.9173
2.120000 72.183 -106.6150
2.140000 72.965 -108.3780
2.180000 74.240 -111.9675
2.200000 74.696 -113.8573
2.240000 75.390 -117.3442
2.270000 75.788 -119.5754
2.300000 76.095 -121.5224
2.330000 76.322 -123.2258
2.360000 76.481 -124.7259
2.400000 76.608 -126.4800
2.430000 76.656 -127.6634
2.470000 76.677 -129.1420
2.500000 76.677 -130.2289
2.540000 76.679 -131.7259
2.580000 76.700 -133.3511
2.620000 76.685 -135.0300
2.650000 76.641 -136.2821
2.690000 76.543 -137.9032
2.720000 76.443 -139.0565
2.760000 76.275 -140.4719
2.800000 76.073 -141.7032
2.850000 75.779 -142.9099
2.900000 75.445 -143.6590
2.950000 75.069 -143.8914
3.000000 74.575 -143.8351
3.040000 74.108 -143.5820
3.070000 73.733 -143.2437
3.110000 73.218 -142.5619
3.150000 72.709 -141.5786
3.200000 72.121 -139.8629
3.250000 71.628 -137.5315
3.300000 71.281 -134.5011
3.350000 71.048 -130.2742
3.400000 70.886 -124.8506
3.450000 70.796 -118.6888
3.500000 70.778 -112.2470
3.550000 70.831 -105.9835
3.600000 70.956 -100.3565
3.650000 71.153 -95.8242
3.700000 71.449 -92.5487
3.750000 71.888 -89.9988
3.820000 72.664 -87.4304
3.870000 73.274 -86.1854
3.950000 74.222 -84.9593
4.000000 74.729 -84.5275
4.060000 75.199 -84.2938
4.120000 75.599 -84.7319
4.180000 75.947 -85.7286
4.250000 76.287 -87.3386
4.310000 76.525 -88.8800
4.370000 76.716 -90.3659
4.440000 76.876 -91.9395
4.500000 76.953 -93.4381
4.550000 76.978 -94.7578
4.620000 76.961 -96.6186
4.680000 76.906 -98.1374
4.750000 76.804 -99.7058
4.820000 76.653 -101.0792
4.870000 76.505 -102.0351
4.940000 76.256 -103.2641
5.000000 76.016 -104.1467
5.080000 75.679 -104.9617
5.150000 75.384 -105.2323
5.220000 75.048 -105.1011
5.300000 74.630 -104.5423
5.380000 74.225 -103.6257
5.450000 73.920 -102.5941
5.520000 73.692 -101.3677
5.600000 73.495 -99.4124
5.700000 73.329 -96.5091
5.800000 73.257 -93.7953
5.900000 73.290 -91.9240
6.000000 73.466 -90.5767
6.080000 73.668 -89.8487
6.150000 73.853 -89.5292
6.220000 74.014 -89.5570
6.300000 74.176 -90.0963
6.400000 74.383 -91.4549
6.500000 74.565 -93.3054
6.600000 74.689 -95.3620
6.700000 74.749 -97.7258
6.800000 74.759 -100.4162
6.900000 74.728 -103.1766
7.000000 74.658 -105.7975
7.100000 74.535 -108.4501
7.200000 74.377 -111.0454
7.300000 74.210 -113.4086
7.400000 74.037 -115.4450
7.500000 73.841 -117.2493
7.620000 73.620 -119.0850
7.750000 73.452 -120.6002
7.880000 73.336 -121.5465
8.000000 73.292 -122.1879
8.120000 73.336 -122.8293
8.250000 73.483 -123.3672
8.380000 73.691 -123.9848
8.500000 73.917 -124.8465
8.620000 74.192 -125.9116
8.750000 74.501 -127.2271
8.850000 74.718 -128.3424
9.000000 75.039 -130.2433
9.120000 75.274 -131.7784
9.250000 75.491 -133.3366
9.380000 75.676 -134.8562
9.500000 75.827 -136.1057
9.620000 75.959 -137.1381
9.750000 76.079 -138.0633
9.880000 76.194 -138.7887
10.000000 76.302 -139.2534
10.150000 76.433 -139.5953
10.300000 76.574 -139.8203
10.440000 76.718 -139.9020
10.600000 76.887 -139.9408
10.750000 77.045 -140.0170
10.900000 77.202 -140.0981
11.060000 77.353 -140.2157
11.200000 77.471 -140.3508
11.380000 77.602 -140.5038
11.500000 77.673 -140.5834
11.720000 77.780 -140.6762
11.800000 77.814 -140.6810
12.060000 77.903 -140.6264
12.200000 77.946 -140.5880
12.410000 78.002 -140.5330
12.500000 78.022 -140.5399
12.650000 78.052 -140.5847
12.800000 78.073 -140.6730
13.150000 78.076 -141.0662
13.200000 78.072 -141.1300
13.400000 78.039 -141.4064
13.600000 77.995 -141.6784
13.800000 77.942 -141.9230
14.000000 77.895 -142.1866
14.300000 77.839 -142.6618
14.500000 77.817 -143.1231
14.750000 77.795 -143.9083
15.000000 77.775 -144.9337
15.250000 77.743 -146.1357
15.500000 77.704 -147.3973
15.750000 77.661 -148.6513
16.000000 77.629 -149.8131
16.250000 77.622 -150.9032
16.500000 77.643 -151.9468
16.750000 77.695 -153.0007
17.000000 77.764 -154.0884
17.250000 77.843 -155.1897
17.500000 77.922 -156.2702
17.750000 77.998 -157.2506
18.000000 78.072 -158.1053
18.250000 78.146 -158.8070
18.500000 78.225 -159.3789
18.750000 78.306 -159.8504
19.000000 78.389 -160.2483
19.250000 78.466 -160.5973
19.500000 78.536 -160.8956
19.750000 78.596 -161.1439
20.000000 78.646 -161.3417
20.299999 78.695 -161.5359
20.600000 78.731 -161.7122
20.900000 78.753 -161.8999
21.200001 78.757 -162.1091
21.400000 78.749 -162.2501
21.799999 78.715 -162.5209
22.000000 78.693 -162.6542
22.400000 78.649 -162.9574
22.700001 78.620 -163.2766
23.000000 78.591 -163.7176
23.299999 78.558 -164.2693
23.600000 78.519 -164.8930
24.000000 78.464 -165.7667
24.299999 78.430 -166.4232
24.700001 78.403 -167.3114
25.000000 78.397 -168.0064
25.400000 78.401 -168.9661
25.799999 78.413 -169.9007
26.200001 78.433 -170.7379
26.500000 78.455 -171.2883
26.900000 78.495 -171.9360
27.200001 78.528 -172.3728
27.600000 78.572 -172.8920
28.000000 78.610 -173.3270
28.500000 78.650 -173.7666
29.000000 78.678 -174.1628
29.500000 78.683 -174.5555
30.000000 78.663 -174.9128
30.400000 78.635 -175.1650
30.700001 78.613 -175.3551
31.100000 78.582 -175.6479
31.500000 78.548 -176.0009
32.000000 78.502 -176.5066
32.500000 78.459 -177.0616
33.000000 78.426 -177.6831
33.500000 78.399 -178.3726
34.000000 78.374 -179.0662
34.500000 78.357 -179.6981
35.000000 78.353 179.7310
35.500000 78.359 179.1869
36.000000 78.368 178.6640
36.500000 78.371 178.1814
37.000000 78.368 177.7561
37.500000 78.357 177.3997
38.200001 78.337 177.0005
38.700001 78.325 176.7162
39.500000 78.292 176.1386
40.000000 78.257 175.7527
40.599998 78.211 175.3246
41.200001 78.172 174.8881
41.799999 78.137 174.4066
42.500000 78.097 173.8386
43.099998 78.066 173.3784
43.700001 78.039 172.9491
44.400002 78.016 172.4856
45.000000 78.003 172.0636
45.500000 77.986 171.6807
46.200001 77.948 171.1979
46.799999 77.919 170.8665
47.500000 77.892 170.4290
48.200001 77.849 169.9513
48.700001 77.813 169.7021
49.400002 77.783 169.4537
50.000000 77.776 169.1358
50.799999 77.744 168.5520
51.500000 77.690 168.1802
52.200001 77.649 167.9574
53.000000 77.619 167.5986
53.799999 77.569 167.1432
54.500000 77.517 166.8039
55.200001 77.469 166.4705
56.000000 77.416 166.0712
57.000000 77.360 165.5955
58.000000 77.314 165.1085
59.000000 77.272 164.6631
60.000000 77.224 164.2610
60.799999 77.185 164.0148
61.500000 77.151 163.7661
62.200001 77.104 163.4998
63.000000 77.044 163.2781
64.000000 76.988 162.9571
65.000000 76.924 162.5099
66.000000 76.859 162.1373
67.000000 76.810 161.7788
68.000000 76.759 161.4229
69.000000 76.708 161.1411
70.000000 76.655 160.8704
71.000000 76.598 160.6436
72.000000 76.545 160.3810
73.000000 76.481 160.0600
74.000000 76.413 159.8504
75.000000 76.370 159.6203
76.199997 76.292 159.2194
77.500000 76.205 159.0995
78.800003 76.134 158.8581
80.000000 76.053 158.7055
81.199997 75.981 158.5414
82.500000 75.900 158.4253
83.800003 75.830 158.3808
85.000000 75.796 158.3545
86.199997 75.734 158.1458
87.500000 75.686 158.2760
88.500000 75.669 158.1494
90.000000 75.627 158.0206
91.199997 75.606 157.8798
92.500000 75.579 157.5793
93.800003 75.520 157.3906
95.000000 75.490 157.1887
96.199997 75.436 156.9443
97.500000 75.401 156.6762
98.800003 75.323 156.3519
100.000000 75.288 156.3629
101.500000 75.224 155.9333
103.000000 75.159 155.8386
104.400002 75.080 155.5823
106.000000 75.007 155.4111
107.500000 74.948 155.2664
109.000000 74.874 155.0914
110.599998 74.815 154.9345
112.000000 74.744 154.8812
113.800003 74.668 154.6679
115.000000 74.612 154.6694
117.199997 74.520 154.5164
118.000000 74.491 154.5090
120.599998 74.378 154.3342
122.000000 74.325 154.2828
124.099998 74.239 154.1694
125.000000 74.204 154.1379
126.500000 74.139 154.0843
128.000000 74.082 154.0248
131.500000 73.952 153.8979
132.000000 73.928 153.9004
134.000000 73.855 153.9169
136.000000 73.772 153.8854
138.000000 73.705 153.8417
140.000000 73.641 153.8155
143.000000 73.522 153.8759
145.000000 73.452 153.8719
147.500000 73.367 153.8221
150.000000 73.292 153.7919
152.500000 73.204 153.9635
155.000000 73.113 154.0161
157.500000 73.042 154.0987
160.000000 72.961 154.1876
162.500000 72.897 154.3028
165.000000 72.829 154.3252
167.500000 72.738 154.4982
170.000000 72.652 154.5515
172.500000 72.578 154.6251
175.000000 72.514 154.7438
177.500000 72.447 154.8150
180.000000 72.363 154.9844
182.500000 72.325 155.0690
185.000000 72.228 155.2677
187.500000 72.179 155.3116
190.000000 72.110 155.4897
192.500000 72.021 155.6112
195.000000 71.991 155.7515
197.500000 71.925 156.0460
200.000000 71.861 156.2936
203.000000 71.793 156.3535
206.000000 71.716 156.5459
209.000000 71.642 156.6982
212.000000 71.604 156.8925
214.000000 71.545 157.1076
218.000000 71.466 157.2651
220.000000 71.400 157.4350
224.000000 71.323 157.7268
227.000000 71.269 157.8503
230.000000 71.233 158.1740
233.000000 71.157 158.4850
236.000000 71.098 158.6631
240.000000 71.015 159.0486
243.000000 70.964 159.1444
247.000000 70.879 159.5189
250.000000 70.840 159.7497
254.000000 70.758 160.0009
258.000000 70.695 160.4578
262.000000 70.648 160.8540
265.000000 70.598 160.9725
269.000000 70.522 161.2952
272.000000 70.490 161.5609
276.000000 70.419 161.9430
280.000000 70.368 162.2148
285.000000 70.283 162.6201
290.000000 70.216 162.9450
295.000000 70.171 163.5085
300.000000 70.062 163.8859
304.000000 70.022 164.2220
307.000000 69.992 164.5225
311.000000 69.945 165.0101
315.000000 69.916 165.1886
320.000000 69.843 165.8050
325.000000 69.801 166.2566
330.000000 69.719 166.5432
