* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 01:18:45 23-03-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: EA500LM black R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 84.345 120.7485
1.015000 84.163 119.8224
1.030000 83.974 118.8895
1.044000 83.790 118.0119
1.060000 83.572 117.0005
1.075000 83.359 116.0435
1.090000 83.137 115.0773
1.106000 82.891 114.0610
1.120000 82.671 113.3184
1.138000 82.382 112.5729
1.150000 82.187 112.1868
1.172000 81.819 111.6604
1.180000 81.683 111.5144
1.206000 81.229 111.1453
1.220000 80.977 110.9793
1.241000 80.589 110.7169
1.250000 80.419 110.5846
1.265000 80.130 110.3170
1.280000 79.834 109.9687
1.315000 79.113 108.6984
1.320000 79.007 108.4508
1.340000 78.572 107.2572
1.360000 78.122 105.6932
1.380000 77.655 103.6983
1.400000 77.172 101.2121
1.430000 76.415 96.4293
1.450000 75.887 92.4502
1.475000 75.190 86.4434
1.500000 74.365 78.9597
1.525000 73.417 70.1196
1.550000 72.373 60.1429
1.575000 71.264 49.2496
1.600000 70.117 37.6597
1.625000 68.960 25.5931
1.650000 67.824 13.2697
1.675000 66.735 0.9094
1.700000 65.723 -11.2678
1.725000 64.817 -23.0420
1.750000 64.044 -34.1933
1.775000 63.434 -44.5018
1.800000 63.015 -53.7474
1.825000 62.816 -61.7104
1.850000 62.867 -68.4022
1.875000 63.170 -74.3033
1.900000 63.693 -79.5043
1.925000 64.403 -84.0749
1.950000 65.265 -88.0850
1.975000 66.248 -91.6044
2.000000 67.316 -94.7028
2.030000 68.666 -97.9634
2.060000 70.035 -100.8389
2.090000 71.365 -103.4500
2.120000 72.598 -105.9171
2.140000 73.339 -107.5415
2.180000 74.547 -110.9020
2.200000 74.981 -112.7070
2.240000 75.644 -116.0697
2.270000 76.027 -118.2372
2.300000 76.324 -120.1415
2.330000 76.546 -121.8188
2.360000 76.704 -123.3057
2.400000 76.834 -125.0548
2.430000 76.886 -126.2389
2.470000 76.915 -127.7165
2.500000 76.921 -128.7961
2.540000 76.929 -130.2665
2.580000 76.954 -131.8395
2.620000 76.940 -133.4518
2.650000 76.898 -134.6483
2.690000 76.803 -136.1900
2.720000 76.706 -137.2809
2.760000 76.544 -138.6118
2.800000 76.351 -139.7595
2.850000 76.072 -140.8667
2.900000 75.761 -141.5268
2.950000 75.415 -141.6790
3.000000 74.964 -141.5020
3.040000 74.538 -141.1323
3.070000 74.197 -140.7053
3.110000 73.729 -139.9161
3.150000 73.269 -138.8522
3.200000 72.737 -137.0978
3.250000 72.295 -134.8253
3.300000 71.987 -131.9825
3.350000 71.788 -128.1242
3.400000 71.658 -123.2323
3.450000 71.596 -117.7052
3.500000 71.600 -111.9411
3.550000 71.668 -106.3384
3.600000 71.799 -101.2954
3.650000 71.993 -97.2106
3.700000 72.271 -94.2199
3.750000 72.676 -91.8546
3.820000 73.385 -89.4177
3.870000 73.941 -88.2025
3.950000 74.806 -86.9665
4.000000 75.272 -86.5230
4.060000 75.710 -86.2881
4.120000 76.089 -86.6881
4.180000 76.422 -87.6141
4.250000 76.754 -89.1203
4.310000 76.988 -90.5716
4.370000 77.177 -91.9817
4.440000 77.337 -93.4940
4.500000 77.416 -94.9442
4.550000 77.445 -96.2270
4.620000 77.438 -98.0441
4.680000 77.393 -99.5361
4.750000 77.305 -101.0894
4.820000 77.170 -102.4613
4.870000 77.037 -103.4199
4.940000 76.809 -104.6645
5.000000 76.589 -105.5775
5.080000 76.279 -106.4680
5.150000 76.007 -106.8468
5.220000 75.697 -106.8663
5.300000 75.311 -106.5211
5.380000 74.935 -105.8484
5.450000 74.649 -105.0440
5.520000 74.430 -104.0525
5.600000 74.233 -102.4148
5.700000 74.056 -99.9405
5.800000 73.965 -97.6084
5.900000 73.976 -95.9908
6.000000 74.120 -94.7852
6.080000 74.294 -94.1155
6.150000 74.456 -93.8189
6.220000 74.600 -93.8537
6.300000 74.750 -94.3729
6.400000 74.950 -95.6524
6.500000 75.130 -97.3967
6.600000 75.258 -99.3549
6.700000 75.329 -101.6265
6.800000 75.356 -104.2209
6.900000 75.345 -106.8908
7.000000 75.297 -109.4350
7.100000 75.200 -112.0191
7.200000 75.070 -114.5560
7.300000 74.930 -116.8757
7.400000 74.783 -118.8875
7.500000 74.614 -120.6844
7.620000 74.423 -122.5270
7.750000 74.277 -124.0642
7.880000 74.176 -125.0589
8.000000 74.140 -125.7412
8.120000 74.183 -126.3942
8.250000 74.320 -126.9230
8.380000 74.514 -127.5060
8.500000 74.726 -128.3042
8.620000 74.986 -129.2745
8.750000 75.278 -130.4760
8.850000 75.485 -131.5076
9.000000 75.792 -133.2759
9.120000 76.017 -134.7141
9.250000 76.225 -136.1897
9.380000 76.402 -137.6433
9.500000 76.545 -138.8475
9.620000 76.668 -139.8527
9.750000 76.779 -140.7672
9.880000 76.883 -141.4912
10.000000 76.979 -141.9609
10.150000 77.094 -142.3186
10.300000 77.219 -142.5543
10.440000 77.346 -142.6404
10.600000 77.496 -142.6802
10.750000 77.639 -142.7510
10.900000 77.783 -142.8236
11.060000 77.921 -142.9400
11.200000 78.030 -143.0793
11.380000 78.151 -143.2516
11.500000 78.217 -143.3557
11.720000 78.314 -143.5097
11.800000 78.343 -143.5412
12.060000 78.417 -143.5854
12.200000 78.451 -143.5969
12.410000 78.493 -143.6125
12.500000 78.507 -143.6448
12.650000 78.528 -143.7254
12.800000 78.540 -143.8452
13.150000 78.530 -144.3026
13.200000 78.524 -144.3773
13.400000 78.488 -144.7014
13.600000 78.442 -145.0331
13.800000 78.388 -145.3529
14.000000 78.337 -145.6973
14.300000 78.273 -146.2956
14.500000 78.244 -146.8243
14.750000 78.212 -147.6669
15.000000 78.182 -148.7157
15.250000 78.144 -149.9099
15.500000 78.100 -151.1439
15.750000 78.057 -152.3579
16.000000 78.027 -153.4789
16.250000 78.023 -154.5325
16.500000 78.046 -155.5454
16.750000 78.099 -156.5736
17.000000 78.167 -157.6357
17.250000 78.243 -158.7089
17.500000 78.318 -159.7555
17.750000 78.388 -160.6960
18.000000 78.455 -161.5074
18.250000 78.524 -162.1656
18.500000 78.598 -162.7022
18.750000 78.674 -163.1512
19.000000 78.752 -163.5439
19.250000 78.823 -163.9051
19.500000 78.885 -164.2272
19.750000 78.934 -164.5054
20.000000 78.972 -164.7276
20.299999 79.004 -164.9368
20.600000 79.025 -165.1111
20.900000 79.035 -165.2872
21.200001 79.032 -165.4908
21.400000 79.021 -165.6399
21.799999 78.982 -165.9602
22.000000 78.958 -166.1335
22.400000 78.908 -166.5339
22.700001 78.870 -166.9252
23.000000 78.832 -167.4259
23.299999 78.790 -168.0220
23.600000 78.743 -168.6748
24.000000 78.679 -169.5651
24.299999 78.640 -170.2191
24.700001 78.609 -171.0885
25.000000 78.602 -171.7650
25.400000 78.608 -172.7068
25.799999 78.622 -173.6399
26.200001 78.640 -174.4870
26.500000 78.659 -175.0423
26.900000 78.691 -175.6837
27.200001 78.718 -176.1057
27.600000 78.753 -176.6016
28.000000 78.783 -177.0218
28.500000 78.809 -177.4563
29.000000 78.819 -177.8348
29.500000 78.806 -178.1750
30.000000 78.775 -178.4649
30.400000 78.745 -178.6868
30.700001 78.723 -178.8815
31.100000 78.690 -179.2158
31.500000 78.650 -179.6307
32.000000 78.591 179.8016
32.500000 78.535 179.2291
33.000000 78.494 178.6130
33.500000 78.465 177.9078
34.000000 78.437 177.1607
34.500000 78.410 176.4702
35.000000 78.389 175.8815
35.500000 78.378 175.3791
36.000000 78.375 174.9326
36.500000 78.374 174.5186
37.000000 78.368 174.1240
37.500000 78.351 173.7634
38.200001 78.314 173.3591
38.700001 78.286 173.1103
39.500000 78.240 172.6319
40.000000 78.203 172.2855
40.599998 78.155 171.8657
41.200001 78.113 171.4277
41.799999 78.075 170.9553
42.500000 78.034 170.3882
43.099998 78.002 169.9039
43.700001 77.969 169.4467
44.400002 77.933 168.9787
45.000000 77.903 168.5988
45.500000 77.874 168.2910
46.200001 77.827 167.9360
46.799999 77.794 167.6610
47.500000 77.753 167.2257
48.200001 77.683 166.8287
48.700001 77.634 166.7156
49.400002 77.613 166.6205
50.000000 77.621 166.2791
50.799999 77.591 165.5320
51.500000 77.525 165.0426
52.200001 77.471 164.7318
53.000000 77.421 164.3027
53.799999 77.350 163.8853
54.500000 77.292 163.6373
55.200001 77.249 163.3404
56.000000 77.191 162.9269
57.000000 77.120 162.5360
58.000000 77.071 162.1057
59.000000 77.008 161.6715
60.000000 76.942 161.3619
60.799999 76.888 161.1434
61.500000 76.835 160.9765
62.200001 76.783 160.8222
63.000000 76.720 160.6132
64.000000 76.632 160.3616
65.000000 76.552 160.1842
66.000000 76.488 160.0054
67.000000 76.432 159.8229
68.000000 76.372 159.7281
69.000000 76.333 159.7833
70.000000 76.310 159.7554
71.000000 76.289 159.6795
72.000000 76.270 159.4726
73.000000 76.240 159.2034
74.000000 76.211 158.8886
75.000000 76.174 158.5245
76.199997 76.120 158.1338
77.500000 76.065 157.7355
78.800003 75.988 157.3501
80.000000 75.931 157.1346
81.199997 75.877 156.8049
82.500000 75.805 156.4617
83.800003 75.728 156.2476
85.000000 75.669 156.0176
86.199997 75.592 155.7985
87.500000 75.524 155.6116
88.500000 75.470 155.4237
90.000000 75.390 155.1774
91.199997 75.331 155.0627
92.500000 75.265 154.8509
93.800003 75.182 154.7961
95.000000 75.123 154.7132
96.199997 75.063 154.5931
97.500000 75.001 154.3810
98.800003 74.934 154.2261
100.000000 74.869 154.1546
101.500000 74.818 154.1304
103.000000 74.741 153.9940
104.400002 74.677 153.8773
106.000000 74.589 153.7680
107.500000 74.525 153.7706
109.000000 74.477 153.5425
110.599998 74.381 153.4336
112.000000 74.318 153.4527
113.800003 74.252 153.3909
115.000000 74.193 153.3362
117.199997 74.111 153.3008
118.000000 74.070 153.2755
120.599998 73.956 153.1727
122.000000 73.902 153.1669
124.099998 73.827 153.1298
125.000000 73.797 153.1209
126.500000 73.725 153.0998
128.000000 73.666 153.2176
131.500000 73.513 153.1902
132.000000 73.500 153.2013
134.000000 73.434 153.1199
136.000000 73.349 153.1315
138.000000 73.276 153.3177
140.000000 73.201 153.3052
143.000000 73.109 153.3004
145.000000 73.038 153.3599
147.500000 72.953 153.5471
150.000000 72.857 153.7467
152.500000 72.769 153.7687
155.000000 72.685 153.7079
157.500000 72.604 153.9063
160.000000 72.532 154.0202
162.500000 72.457 154.1663
165.000000 72.377 154.2640
167.500000 72.326 154.5271
170.000000 72.245 154.5540
172.500000 72.178 154.6415
175.000000 72.103 154.9334
177.500000 72.035 155.1090
180.000000 71.962 155.2332
182.500000 71.902 155.3983
185.000000 71.826 155.6611
187.500000 71.764 155.8121
190.000000 71.717 156.0498
192.500000 71.641 156.1717
195.000000 71.584 156.4222
197.500000 71.515 156.4879
200.000000 71.486 156.5665
203.000000 71.408 156.7915
206.000000 71.331 157.1867
209.000000 71.257 157.4070
212.000000 71.196 157.5676
214.000000 71.140 157.7143
218.000000 71.092 158.0922
220.000000 71.051 158.1506
224.000000 70.966 158.4819
227.000000 70.916 158.8984
230.000000 70.849 159.1162
233.000000 70.794 159.4906
236.000000 70.737 159.6664
240.000000 70.662 160.1034
243.000000 70.615 160.2964
247.000000 70.543 160.5934
250.000000 70.505 160.6527
254.000000 70.415 161.3014
258.000000 70.386 161.5350
262.000000 70.330 161.9712
265.000000 70.269 162.2575
269.000000 70.208 162.6570
272.000000 70.173 163.0775
276.000000 70.116 163.3026
280.000000 70.053 163.4699
285.000000 69.999 164.0128
290.000000 69.964 164.4957
295.000000 69.875 164.9738
300.000000 69.836 165.3606
304.000000 69.782 165.6277
307.000000 69.769 166.0712
311.000000 69.702 166.4290
315.000000 69.671 166.7182
320.000000 69.589 167.2588
325.000000 69.545 167.6936
330.000000 69.495 168.2223
