* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 01:32:25 23-03-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: EA500LM gold L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 84.419 120.6398
1.015000 84.238 119.7165
1.030000 84.051 118.7872
1.044000 83.869 117.9139
1.060000 83.653 116.9084
1.075000 83.442 115.9580
1.090000 83.222 114.9997
1.106000 82.979 113.9932
1.120000 82.763 113.2605
1.138000 82.483 112.5298
1.150000 82.294 112.1547
1.172000 81.942 111.6503
1.180000 81.812 111.5130
1.206000 81.380 111.1740
1.220000 81.140 111.0252
1.241000 80.770 110.7897
1.250000 80.608 110.6692
1.265000 80.331 110.4218
1.280000 80.047 110.0939
1.315000 79.350 108.8717
1.320000 79.246 108.6309
1.340000 78.819 107.4645
1.360000 78.373 105.9272
1.380000 77.907 103.9581
1.400000 77.419 101.4965
1.430000 76.643 96.7478
1.450000 76.093 92.7890
1.475000 75.358 86.8057
1.500000 74.476 79.3515
1.525000 73.454 70.5471
1.550000 72.322 60.6104
1.575000 71.114 49.7592
1.600000 69.860 38.2114
1.625000 68.592 26.1849
1.650000 67.343 13.8974
1.675000 66.144 1.5668
1.700000 65.026 -10.5890
1.725000 64.022 -22.3522
1.750000 63.164 -33.5049
1.775000 62.483 -43.8294
1.800000 62.010 -53.1077
1.825000 61.779 -61.1221
1.850000 61.821 -67.8884
1.875000 62.135 -73.8913
1.900000 62.687 -79.2177
1.925000 63.441 -83.9334
1.950000 64.360 -88.1042
1.975000 65.409 -91.7959
2.000000 66.551 -95.0742
2.030000 67.995 -98.5553
2.060000 69.459 -101.6496
2.090000 70.882 -104.4709
2.120000 72.201 -107.1329
2.140000 72.992 -108.8751
2.180000 74.279 -112.4335
2.200000 74.740 -114.3144
2.240000 75.440 -117.7905
2.270000 75.840 -120.0171
2.300000 76.148 -121.9623
2.330000 76.376 -123.6661
2.360000 76.534 -125.1688
2.400000 76.660 -126.9288
2.430000 76.705 -128.1180
2.470000 76.724 -129.6059
2.500000 76.722 -130.7004
2.540000 76.722 -132.2075
2.580000 76.742 -133.8428
2.620000 76.725 -135.5345
2.650000 76.681 -136.7980
2.690000 76.582 -138.4361
2.720000 76.480 -139.6030
2.760000 76.310 -141.0372
2.800000 76.106 -142.2872
2.850000 75.808 -143.5158
2.900000 75.468 -144.2838
2.950000 75.085 -144.5323
3.000000 74.579 -144.5016
3.040000 74.102 -144.2737
3.070000 73.718 -143.9547
3.110000 73.191 -143.2957
3.150000 72.671 -142.3286
3.200000 72.068 -140.6177
3.250000 71.564 -138.2671
3.300000 71.207 -135.1858
3.350000 70.968 -130.8619
3.400000 70.801 -125.2998
3.450000 70.706 -118.9736
3.500000 70.685 -112.3574
3.550000 70.738 -105.9254
3.600000 70.864 -100.1516
3.650000 71.063 -95.5103
3.700000 71.366 -92.1707
3.750000 71.815 -89.5866
3.820000 72.609 -87.0072
3.870000 73.233 -85.7724
3.950000 74.203 -84.5762
4.000000 74.721 -84.1618
4.060000 75.200 -83.9416
4.120000 75.606 -84.3993
4.180000 75.957 -85.4219
4.250000 76.300 -87.0661
4.310000 76.540 -88.6369
4.370000 76.732 -90.1489
4.440000 76.894 -91.7469
4.500000 76.971 -93.2648
4.550000 76.996 -94.5996
4.620000 76.979 -96.4799
4.680000 76.924 -98.0140
4.750000 76.821 -99.5987
4.820000 76.669 -100.9868
4.870000 76.520 -101.9524
4.940000 76.269 -103.1934
5.000000 76.027 -104.0846
5.080000 75.688 -104.9085
5.150000 75.391 -105.1835
5.220000 75.052 -105.0530
5.300000 74.631 -104.4913
5.380000 74.224 -103.5698
5.450000 73.917 -102.5340
5.520000 73.688 -101.3041
5.600000 73.491 -99.3422
5.700000 73.326 -96.4300
5.800000 73.254 -93.7129
5.900000 73.288 -91.8506
6.000000 73.465 -90.5240
6.080000 73.668 -89.8183
6.150000 73.853 -89.5209
6.220000 74.014 -89.5721
6.300000 74.174 -90.1405
6.400000 74.379 -91.5403
6.500000 74.557 -93.4345
6.600000 74.676 -95.5338
6.700000 74.731 -97.9406
6.800000 74.735 -100.6746
6.900000 74.697 -103.4762
7.000000 74.619 -106.1340
7.100000 74.488 -108.8224
7.200000 74.321 -111.4493
7.300000 74.145 -113.8351
7.400000 73.962 -115.8827
7.500000 73.756 -117.6895
7.620000 73.525 -119.5154
7.750000 73.348 -121.0002
7.880000 73.226 -121.8911
8.000000 73.180 -122.4754
8.120000 73.226 -123.0679
8.250000 73.380 -123.5526
8.380000 73.598 -124.1304
8.500000 73.834 -124.9801
8.620000 74.121 -126.0528
8.750000 74.442 -127.3925
8.850000 74.667 -128.5356
9.000000 74.998 -130.4976
9.120000 75.239 -132.0881
9.250000 75.460 -133.7066
9.380000 75.647 -135.2907
9.500000 75.797 -136.5946
9.620000 75.927 -137.6729
9.750000 76.042 -138.6412
9.880000 76.151 -139.3962
10.000000 76.252 -139.8724
10.150000 76.375 -140.2112
10.300000 76.509 -140.4163
10.440000 76.647 -140.4611
10.600000 76.811 -140.4482
10.750000 76.968 -140.4743
10.900000 77.126 -140.5031
11.060000 77.279 -140.5760
11.200000 77.401 -140.6802
11.380000 77.538 -140.8075
11.500000 77.613 -140.8806
11.720000 77.726 -140.9774
11.800000 77.761 -140.9879
12.060000 77.854 -140.9651
12.200000 77.897 -140.9453
12.410000 77.952 -140.9196
12.500000 77.971 -140.9368
12.650000 77.999 -140.9966
12.800000 78.018 -141.0972
13.150000 78.016 -141.5082
13.200000 78.010 -141.5744
13.400000 77.975 -141.8597
13.600000 77.929 -142.1438
13.800000 77.874 -142.4055
14.000000 77.825 -142.6912
14.300000 77.764 -143.2074
14.500000 77.737 -143.6975
14.750000 77.709 -144.5137
15.000000 77.681 -145.5609
15.250000 77.642 -146.7707
15.500000 77.596 -148.0270
15.750000 77.548 -149.2642
16.000000 77.514 -150.4028
16.250000 77.507 -151.4711
16.500000 77.531 -152.4984
16.750000 77.586 -153.5459
17.000000 77.659 -154.6352
17.250000 77.741 -155.7431
17.500000 77.823 -156.8304
17.750000 77.900 -157.8137
18.000000 77.976 -158.6676
18.250000 78.052 -159.3658
18.500000 78.134 -159.9370
18.750000 78.217 -160.4132
19.000000 78.302 -160.8238
19.250000 78.379 -161.1913
19.500000 78.447 -161.5085
19.750000 78.503 -161.7710
20.000000 78.548 -161.9704
20.299999 78.591 -162.1488
20.600000 78.623 -162.2936
20.900000 78.644 -162.4451
21.200001 78.649 -162.6289
21.400000 78.644 -162.7659
21.799999 78.614 -163.0621
22.000000 78.593 -163.2227
22.400000 78.548 -163.5967
22.700001 78.514 -163.9685
23.000000 78.478 -164.4502
23.299999 78.437 -165.0278
23.600000 78.391 -165.6630
24.000000 78.329 -166.5347
24.299999 78.292 -167.1822
24.700001 78.264 -168.0558
25.000000 78.260 -168.7435
25.400000 78.269 -169.7046
25.799999 78.286 -170.6566
26.200001 78.311 -171.5242
26.500000 78.335 -172.1007
26.900000 78.375 -172.7811
27.200001 78.408 -173.2372
27.600000 78.450 -173.7745
28.000000 78.484 -174.2191
28.500000 78.518 -174.6567
29.000000 78.539 -175.0286
29.500000 78.540 -175.3758
30.000000 78.520 -175.6875
30.400000 78.496 -175.9246
30.700001 78.476 -176.1236
31.100000 78.448 -176.4545
31.500000 78.412 -176.8633
32.000000 78.357 -177.4323
32.500000 78.302 -178.0112
33.000000 78.260 -178.6123
33.500000 78.232 -179.2689
34.000000 78.212 -179.9635
34.500000 78.198 179.3526
35.000000 78.189 178.7122
35.500000 78.183 178.1441
36.000000 78.179 177.6714
36.500000 78.182 177.2743
37.000000 78.187 176.8917
37.500000 78.185 176.4969
38.200001 78.160 175.9896
38.700001 78.133 175.6815
39.500000 78.089 175.1692
40.000000 78.056 174.8120
40.599998 78.013 174.3713
41.200001 77.975 173.9053
41.799999 77.939 173.4004
42.500000 77.896 172.8182
43.099998 77.864 172.3661
43.700001 77.839 171.9376
44.400002 77.811 171.4361
45.000000 77.782 171.0253
45.500000 77.754 170.7299
46.200001 77.718 170.3584
46.799999 77.688 169.9897
47.500000 77.632 169.5553
48.200001 77.574 169.2986
48.700001 77.556 169.1423
49.400002 77.546 168.6986
50.000000 77.512 168.1869
50.799999 77.445 167.7076
51.500000 77.408 167.3988
52.200001 77.374 166.9770
53.000000 77.310 166.5297
53.799999 77.249 166.2385
54.500000 77.207 165.9554
55.200001 77.160 165.6175
56.000000 77.101 165.2672
57.000000 77.035 164.8740
58.000000 76.974 164.5417
59.000000 76.930 164.2512
60.000000 76.877 163.9488
60.799999 76.833 163.8300
61.500000 76.805 163.7289
62.200001 76.778 163.5620
63.000000 76.739 163.3307
64.000000 76.684 163.0498
65.000000 76.642 162.8043
66.000000 76.616 162.4517
67.000000 76.584 162.0540
68.000000 76.543 161.6725
69.000000 76.493 161.4030
70.000000 76.454 161.1808
71.000000 76.409 160.8490
72.000000 76.349 160.5526
73.000000 76.294 160.3017
74.000000 76.247 160.0458
75.000000 76.206 159.7499
76.199997 76.144 159.3845
77.500000 76.077 159.1232
78.800003 76.007 158.8357
80.000000 75.944 158.6833
81.199997 75.908 158.3871
82.500000 75.829 158.0375
83.800003 75.782 157.8427
85.000000 75.718 157.5784
86.199997 75.663 157.4326
87.500000 75.600 157.2097
88.500000 75.559 157.0215
90.000000 75.478 156.6646
91.199997 75.422 156.5326
92.500000 75.370 156.2760
93.800003 75.297 156.1160
95.000000 75.243 155.9679
96.199997 75.181 155.8093
97.500000 75.118 155.5815
98.800003 75.043 155.3983
100.000000 74.979 155.3692
101.500000 74.938 155.2420
103.000000 74.863 155.1277
104.400002 74.812 155.0201
106.000000 74.744 154.8832
107.500000 74.684 154.7891
109.000000 74.613 154.6096
110.599998 74.553 154.5177
112.000000 74.482 154.4375
113.800003 74.416 154.3168
115.000000 74.362 154.2843
117.199997 74.266 154.2151
118.000000 74.229 154.2003
120.599998 74.125 154.2148
122.000000 74.094 154.1494
124.099998 74.038 154.1253
125.000000 74.007 154.1049
126.500000 73.976 154.0964
128.000000 73.914 154.0229
131.500000 73.815 153.7313
132.000000 73.797 153.7370
134.000000 73.742 153.5953
136.000000 73.660 153.4531
138.000000 73.581 153.3613
140.000000 73.507 153.2863
143.000000 73.410 153.1437
145.000000 73.323 153.2914
147.500000 73.220 153.1431
150.000000 73.106 152.9644
152.500000 73.050 153.0259
155.000000 72.975 153.0742
157.500000 72.892 153.1848
160.000000 72.821 153.1751
162.500000 72.735 153.1266
165.000000 72.650 153.3635
167.500000 72.566 153.3584
170.000000 72.499 153.5840
172.500000 72.416 153.5436
175.000000 72.343 153.5427
177.500000 72.285 153.6269
180.000000 72.209 153.9131
182.500000 72.149 153.9564
185.000000 72.051 154.0647
187.500000 71.996 154.2128
190.000000 71.921 154.2935
192.500000 71.845 154.4101
195.000000 71.792 154.5486
197.500000 71.753 154.7344
200.000000 71.694 155.0326
203.000000 71.603 155.0508
206.000000 71.516 155.2193
209.000000 71.448 155.2547
212.000000 71.401 155.6542
214.000000 71.335 155.7383
218.000000 71.269 155.9915
220.000000 71.218 156.1036
224.000000 71.143 156.4575
227.000000 71.070 156.6823
230.000000 71.008 156.8421
233.000000 70.921 157.0878
236.000000 70.875 157.0908
240.000000 70.796 157.4969
243.000000 70.756 157.7829
247.000000 70.690 158.0457
250.000000 70.656 158.3118
254.000000 70.579 158.5449
258.000000 70.470 158.8983
262.000000 70.435 159.0903
265.000000 70.388 159.5080
269.000000 70.311 159.6405
272.000000 70.240 159.9919
276.000000 70.219 160.3854
280.000000 70.147 160.7059
285.000000 70.071 160.8743
290.000000 70.005 161.4290
295.000000 69.935 161.8248
300.000000 69.888 162.4329
304.000000 69.823 162.6393
307.000000 69.779 162.9198
311.000000 69.716 163.0947
315.000000 69.678 163.4725
320.000000 69.624 163.9132
325.000000 69.551 164.3394
330.000000 69.527 164.7527
