* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 01:49:02 23-03-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: EA500LM gold R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 84.403 120.7407
1.015000 84.220 119.8144
1.030000 84.031 118.8812
1.044000 83.847 118.0034
1.060000 83.629 116.9917
1.075000 83.415 116.0343
1.090000 83.193 115.0677
1.106000 82.946 114.0511
1.120000 82.725 113.3089
1.138000 82.436 112.5650
1.150000 82.239 112.1805
1.172000 81.870 111.6578
1.180000 81.733 111.5134
1.206000 81.276 111.1500
1.220000 81.022 110.9873
1.241000 80.632 110.7297
1.250000 80.461 110.5993
1.265000 80.170 110.3348
1.280000 79.872 109.9891
1.315000 79.148 108.7228
1.320000 79.041 108.4755
1.340000 78.605 107.2819
1.360000 78.154 105.7162
1.380000 77.687 103.7175
1.400000 77.204 101.2251
1.430000 76.448 96.4280
1.450000 75.922 92.4355
1.475000 75.229 86.4068
1.500000 74.409 78.8917
1.525000 73.468 70.0114
1.550000 72.434 59.9874
1.575000 71.334 49.0414
1.600000 70.198 37.3952
1.625000 69.053 25.2703
1.650000 67.927 12.8884
1.675000 66.850 0.4710
1.700000 65.849 -11.7601
1.725000 64.952 -23.5832
1.750000 64.189 -34.7767
1.775000 63.586 -45.1191
1.800000 63.173 -54.3886
1.825000 62.978 -62.3638
1.850000 63.030 -69.0545
1.875000 63.334 -74.9421
1.900000 63.855 -80.1188
1.925000 64.561 -84.6562
1.950000 65.419 -88.6256
1.975000 66.396 -92.0985
2.000000 67.459 -95.1463
2.030000 68.801 -98.3433
2.060000 70.162 -101.1546
2.090000 71.484 -103.7037
2.120000 72.711 -106.1140
2.140000 73.447 -107.7048
2.180000 74.648 -111.0123
2.200000 75.079 -112.7996
2.240000 75.740 -116.1384
2.270000 76.121 -118.2952
2.300000 76.416 -120.1938
2.330000 76.637 -121.8699
2.360000 76.795 -123.3589
2.400000 76.925 -125.1147
2.430000 76.977 -126.3056
2.470000 77.006 -127.7932
2.500000 77.012 -128.8796
2.540000 77.020 -130.3570
2.580000 77.044 -131.9330
2.620000 77.030 -133.5477
2.650000 76.988 -134.7463
2.690000 76.893 -136.2911
2.720000 76.795 -137.3848
2.760000 76.634 -138.7197
2.800000 76.440 -139.8720
2.850000 76.161 -140.9858
2.900000 75.849 -141.6534
2.950000 75.503 -141.8144
3.000000 75.051 -141.6496
3.040000 74.625 -141.2915
3.070000 74.282 -140.8739
3.110000 73.814 -140.0971
3.150000 73.352 -139.0452
3.200000 72.819 -137.3037
3.250000 72.376 -135.0403
3.300000 72.066 -132.2014
3.350000 71.865 -128.3412
3.400000 71.731 -123.4428
3.450000 71.666 -117.9057
3.500000 71.666 -112.1296
3.550000 71.731 -106.5140
3.600000 71.860 -101.4586
3.650000 72.052 -97.3630
3.700000 72.330 -94.3631
3.750000 72.735 -91.9880
3.820000 73.446 -89.5370
3.870000 74.002 -88.3124
3.950000 74.871 -87.0639
4.000000 75.338 -86.6151
4.060000 75.777 -86.3771
4.120000 76.157 -86.7773
4.180000 76.492 -87.7060
4.250000 76.825 -89.2178
4.310000 77.061 -90.6752
4.370000 77.251 -92.0922
4.440000 77.411 -93.6128
4.500000 77.492 -95.0711
4.550000 77.522 -96.3613
4.620000 77.515 -98.1902
4.680000 77.471 -99.6936
4.750000 77.384 -101.2620
4.820000 77.250 -102.6511
4.870000 77.117 -103.6231
4.940000 76.890 -104.8881
5.000000 76.670 -105.8198
5.080000 76.360 -106.7366
5.150000 76.087 -107.1395
5.220000 75.776 -107.1872
5.300000 75.387 -106.8769
5.380000 75.008 -106.2378
5.450000 74.719 -105.4585
5.520000 74.497 -104.4851
5.600000 74.294 -102.8628
5.700000 74.108 -100.4003
5.800000 74.009 -98.0715
5.900000 74.014 -96.4471
6.000000 74.154 -95.2206
6.080000 74.324 -94.5286
6.150000 74.484 -94.2123
6.220000 74.627 -94.2305
6.300000 74.777 -94.7345
6.400000 74.977 -95.9964
6.500000 75.158 -97.7258
6.600000 75.288 -99.6734
6.700000 75.360 -101.9393
6.800000 75.390 -104.5319
6.900000 75.381 -107.2028
7.000000 75.335 -109.7501
7.100000 75.240 -112.3401
7.200000 75.113 -114.8852
7.300000 74.974 -117.2141
7.400000 74.829 -119.2360
7.500000 74.662 -121.0449
7.620000 74.472 -122.9018
7.750000 74.328 -124.4522
7.880000 74.227 -125.4589
8.000000 74.191 -126.1494
8.120000 74.234 -126.8054
8.250000 74.370 -127.3321
8.380000 74.564 -127.9090
8.500000 74.776 -128.6987
8.620000 75.037 -129.6569
8.750000 75.329 -130.8438
8.850000 75.537 -131.8646
9.000000 75.845 -133.6156
9.120000 76.072 -135.0407
9.250000 76.281 -136.5037
9.380000 76.460 -137.9460
9.500000 76.605 -139.1415
9.620000 76.730 -140.1400
9.750000 76.842 -141.0494
9.880000 76.948 -141.7708
10.000000 77.046 -142.2408
10.150000 77.162 -142.6018
10.300000 77.288 -142.8434
10.440000 77.416 -142.9377
10.600000 77.566 -142.9881
10.750000 77.709 -143.0690
10.900000 77.852 -143.1518
11.060000 77.989 -143.2770
11.200000 78.097 -143.4224
11.380000 78.216 -143.5998
11.500000 78.280 -143.7049
11.720000 78.374 -143.8575
11.800000 78.402 -143.8875
12.060000 78.474 -143.9244
12.200000 78.507 -143.9325
12.410000 78.548 -143.9442
12.500000 78.563 -143.9764
12.650000 78.584 -144.0588
12.800000 78.596 -144.1828
13.150000 78.585 -144.6592
13.200000 78.579 -144.7369
13.400000 78.542 -145.0740
13.600000 78.493 -145.4156
13.800000 78.436 -145.7407
14.000000 78.383 -146.0845
14.300000 78.317 -146.6718
14.500000 78.287 -147.1899
14.750000 78.257 -148.0236
15.000000 78.231 -149.0722
15.250000 78.196 -150.2810
15.500000 78.156 -151.5417
15.750000 78.114 -152.7910
16.000000 78.084 -153.9474
16.250000 78.077 -155.0267
16.500000 78.097 -156.0519
16.750000 78.146 -157.0756
17.000000 78.212 -158.1231
17.250000 78.289 -159.1779
17.500000 78.365 -160.2102
17.750000 78.438 -161.1472
18.000000 78.508 -161.9654
18.250000 78.578 -162.6402
18.500000 78.651 -163.1946
18.750000 78.726 -163.6572
19.000000 78.800 -164.0541
19.250000 78.868 -164.4081
19.500000 78.927 -164.7151
19.750000 78.975 -164.9736
20.000000 79.012 -165.1789
20.299999 79.046 -165.3768
20.600000 79.068 -165.5516
20.900000 79.078 -165.7375
21.200001 79.073 -165.9532
21.400000 79.060 -166.1074
21.799999 79.017 -166.4265
22.000000 78.990 -166.5929
22.400000 78.937 -166.9704
22.700001 78.899 -167.3429
23.000000 78.862 -167.8291
23.299999 78.821 -168.4181
23.600000 78.775 -169.0712
24.000000 78.714 -169.9717
24.299999 78.675 -170.6373
24.700001 78.644 -171.5228
25.000000 78.637 -172.2097
25.400000 78.642 -173.1627
25.799999 78.655 -174.1072
26.200001 78.673 -174.9691
26.500000 78.690 -175.5374
26.900000 78.718 -176.1932
27.200001 78.742 -176.6187
27.600000 78.773 -177.1039
28.000000 78.799 -177.4989
28.500000 78.827 -177.9004
29.000000 78.840 -178.2702
29.500000 78.831 -178.6302
30.000000 78.799 -178.9455
30.400000 78.767 -179.1737
30.700001 78.743 -179.3622
31.100000 78.710 -179.6801
31.500000 78.673 179.9187
32.000000 78.618 179.3486
32.500000 78.563 178.7531
33.000000 78.520 178.1203
33.500000 78.486 177.4341
34.000000 78.457 176.7439
34.500000 78.435 176.1101
35.000000 78.426 175.5319
35.500000 78.424 174.9838
36.000000 78.421 174.4768
36.500000 78.415 174.0355
37.000000 78.408 173.6494
37.500000 78.395 173.2904
38.200001 78.366 172.8200
38.700001 78.338 172.5021
39.500000 78.286 171.9619
40.000000 78.248 171.5906
40.599998 78.199 171.1268
41.200001 78.150 170.6609
41.799999 78.107 170.2061
42.500000 78.067 169.6658
43.099998 78.036 169.1671
43.700001 77.999 168.6992
44.400002 77.958 168.2528
45.000000 77.930 167.8748
45.500000 77.901 167.5388
46.200001 77.852 167.1261
46.799999 77.817 166.7842
47.500000 77.767 166.2434
48.200001 77.680 165.8042
48.700001 77.626 165.7151
49.400002 77.612 165.6025
50.000000 77.617 165.1589
50.799999 77.560 164.3863
51.500000 77.483 164.0656
52.200001 77.442 163.8965
53.000000 77.407 163.4996
53.799999 77.342 163.0923
54.500000 77.286 162.8273
55.200001 77.235 162.5092
56.000000 77.166 162.1284
57.000000 77.088 161.7377
58.000000 77.017 161.3107
59.000000 76.943 160.9871
60.000000 76.874 160.7371
60.799999 76.813 160.5978
61.500000 76.757 160.5433
62.200001 76.704 160.5626
63.000000 76.663 160.6223
64.000000 76.631 160.5282
65.000000 76.595 160.3688
66.000000 76.591 160.1696
67.000000 76.582 159.6708
68.000000 76.539 159.2782
69.000000 76.513 158.9579
70.000000 76.469 158.5185
71.000000 76.408 158.1791
72.000000 76.344 157.8383
73.000000 76.278 157.5659
74.000000 76.224 157.2593
75.000000 76.162 156.9408
76.199997 76.087 156.6213
77.500000 76.012 156.3676
78.800003 75.941 156.0266
80.000000 75.861 155.7985
81.199997 75.804 155.5770
82.500000 75.724 155.2959
83.800003 75.657 155.1515
85.000000 75.587 154.9863
86.199997 75.523 154.8644
87.500000 75.449 154.6399
88.500000 75.388 154.4532
90.000000 75.304 154.3031
91.199997 75.251 154.1033
92.500000 75.182 154.0165
93.800003 75.125 153.8885
95.000000 75.063 153.8239
96.199997 75.007 153.6488
97.500000 74.932 153.5488
98.800003 74.886 153.3679
100.000000 74.812 153.1769
101.500000 74.741 153.1216
103.000000 74.665 153.0917
104.400002 74.607 152.9076
106.000000 74.516 152.7567
107.500000 74.438 152.7085
109.000000 74.380 152.6030
110.599998 74.288 152.5422
112.000000 74.208 152.5604
113.800003 74.117 152.6467
115.000000 74.043 152.7131
117.199997 73.957 152.7395
118.000000 73.913 152.8834
120.599998 73.842 152.9781
122.000000 73.823 153.1450
124.099998 73.765 153.1044
125.000000 73.742 153.0987
126.500000 73.713 152.9757
128.000000 73.661 152.7672
131.500000 73.551 152.5468
132.000000 73.538 152.4991
134.000000 73.437 152.4625
136.000000 73.358 152.4523
138.000000 73.289 152.3972
140.000000 73.213 152.3900
143.000000 73.099 152.4250
145.000000 73.029 152.4734
147.500000 72.939 152.4382
150.000000 72.884 152.5886
152.500000 72.751 152.7172
155.000000 72.681 152.7089
157.500000 72.585 152.7490
160.000000 72.511 152.9799
162.500000 72.430 153.0157
165.000000 72.363 153.1114
167.500000 72.287 153.2495
170.000000 72.202 153.4048
172.500000 72.126 153.5900
175.000000 72.037 153.6716
177.500000 71.959 153.8672
180.000000 71.923 153.8248
182.500000 71.861 154.2234
185.000000 71.800 154.4277
187.500000 71.711 154.4462
190.000000 71.651 154.5492
192.500000 71.596 154.7416
195.000000 71.538 154.9241
197.500000 71.474 155.1163
200.000000 71.411 155.4826
203.000000 71.352 155.5667
206.000000 71.290 155.8181
209.000000 71.214 156.0920
212.000000 71.129 156.3014
214.000000 71.119 156.4460
218.000000 71.014 156.7141
220.000000 70.972 156.8454
224.000000 70.880 157.1696
227.000000 70.824 157.5125
230.000000 70.763 157.7046
233.000000 70.716 157.9076
236.000000 70.676 158.1198
240.000000 70.572 158.5923
243.000000 70.542 158.7659
247.000000 70.485 159.3139
250.000000 70.407 159.4898
254.000000 70.342 159.9571
258.000000 70.316 160.1723
262.000000 70.259 160.5702
265.000000 70.213 160.6878
269.000000 70.171 160.9690
272.000000 70.111 161.2726
276.000000 70.055 161.5010
280.000000 69.992 162.0077
285.000000 69.927 162.3466
290.000000 69.875 162.7838
295.000000 69.801 163.3001
300.000000 69.756 163.6826
304.000000 69.693 164.1226
307.000000 69.644 164.3309
311.000000 69.613 164.5943
315.000000 69.568 164.8705
320.000000 69.514 165.3882
325.000000 69.453 165.8019
330.000000 69.421 166.1548
