* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 11:27:52 19-03-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: EA500LM red L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 84.411 120.7870
1.015000 84.231 119.8687
1.030000 84.045 118.9448
1.044000 83.864 118.0770
1.060000 83.649 117.0783
1.075000 83.439 116.1349
1.090000 83.221 115.1841
1.106000 82.979 114.1863
1.120000 82.766 113.4618
1.138000 82.491 112.7423
1.150000 82.306 112.3750
1.172000 81.962 111.8859
1.180000 81.835 111.7544
1.206000 81.414 111.4349
1.220000 81.181 111.2971
1.241000 80.821 111.0787
1.250000 80.663 110.9658
1.265000 80.393 110.7311
1.280000 80.115 110.4163
1.315000 79.430 109.2256
1.320000 79.327 108.9894
1.340000 78.905 107.8416
1.360000 78.462 106.3231
1.380000 77.996 104.3731
1.400000 77.505 101.9308
1.430000 76.718 97.2111
1.450000 76.158 93.2718
1.475000 75.402 87.3132
1.500000 74.490 79.8892
1.525000 73.427 71.1206
1.550000 72.248 61.2236
1.575000 70.986 50.4147
1.600000 69.675 38.9104
1.625000 68.347 26.9269
1.650000 67.037 14.6807
1.675000 65.778 2.3883
1.700000 64.604 -9.7341
1.725000 63.548 -21.4700
1.750000 62.643 -32.6030
1.775000 61.924 -42.9167
1.800000 61.424 -52.1947
1.825000 61.176 -60.2207
1.850000 61.214 -67.0130
1.875000 61.536 -73.0588
1.900000 62.106 -78.4424
1.925000 62.885 -83.2273
1.950000 63.837 -87.4768
1.975000 64.923 -91.2540
2.000000 66.107 -94.6224
2.030000 67.604 -98.2139
2.060000 69.122 -101.4171
2.090000 70.598 -104.3415
2.120000 71.966 -107.0964
2.140000 72.786 -108.8929
2.180000 74.119 -112.5354
2.200000 74.595 -114.4436
2.240000 75.317 -117.9517
2.270000 75.729 -120.1870
2.300000 76.044 -122.1298
2.330000 76.276 -123.8221
2.360000 76.436 -125.3059
2.400000 76.560 -127.0325
2.430000 76.604 -128.1931
2.470000 76.619 -129.6411
2.500000 76.616 -130.7070
2.540000 76.614 -132.1812
2.580000 76.636 -133.7927
2.620000 76.621 -135.4638
2.650000 76.578 -136.7124
2.690000 76.480 -138.3308
2.720000 76.378 -139.4823
2.760000 76.209 -140.8944
2.800000 76.006 -142.1197
2.850000 75.709 -143.3124
2.900000 75.372 -144.0372
2.950000 74.992 -144.2318
3.000000 74.490 -144.1264
3.040000 74.016 -143.8273
3.070000 73.634 -143.4512
3.110000 73.111 -142.7152
3.150000 72.596 -141.6741
3.200000 72.000 -139.8822
3.250000 71.506 -137.4719
3.300000 71.162 -134.3614
3.350000 70.940 -130.0396
3.400000 70.795 -124.5036
3.450000 70.726 -118.2221
3.500000 70.731 -111.6635
3.550000 70.808 -105.2965
3.600000 70.955 -99.5897
3.650000 71.170 -95.0116
3.700000 71.481 -91.7330
3.750000 71.934 -89.2192
3.820000 72.727 -86.7470
3.870000 73.347 -85.5894
3.950000 74.310 -84.5067
4.000000 74.825 -84.1505
4.060000 75.304 -83.9811
4.120000 75.710 -84.4716
4.180000 76.062 -85.5142
4.250000 76.406 -87.1724
4.310000 76.648 -88.7532
4.370000 76.843 -90.2786
4.440000 77.009 -91.8988
4.500000 77.091 -93.4329
4.550000 77.120 -94.7806
4.620000 77.111 -96.6817
4.680000 77.062 -98.2392
4.750000 76.968 -99.8618
4.820000 76.826 -101.2971
4.870000 76.685 -102.2983
4.940000 76.446 -103.5961
5.000000 76.215 -104.5460
5.080000 75.889 -105.4691
5.150000 75.601 -105.8569
5.220000 75.272 -105.8701
5.300000 74.862 -105.5000
5.380000 74.462 -104.7830
5.450000 74.156 -103.9235
5.520000 73.921 -102.8593
5.600000 73.708 -101.1025
5.700000 73.512 -98.4478
5.800000 73.407 -95.9399
5.900000 73.407 -94.1884
6.000000 73.547 -92.8752
6.080000 73.720 -92.1342
6.150000 73.881 -91.7875
6.220000 74.022 -91.7847
6.300000 74.165 -92.2811
6.400000 74.353 -93.5603
6.500000 74.520 -95.3188
6.600000 74.631 -97.2882
6.700000 74.680 -99.5723
6.800000 74.683 -102.1830
6.900000 74.645 -104.8608
7.000000 74.569 -107.3941
7.100000 74.441 -109.9566
7.200000 74.280 -112.4574
7.300000 74.110 -114.7180
7.400000 73.937 -116.6395
7.500000 73.742 -118.3167
7.620000 73.527 -119.9967
7.750000 73.372 -121.3511
7.880000 73.275 -122.1325
8.000000 73.253 -122.6427
8.120000 73.320 -123.1988
8.250000 73.497 -123.6871
8.380000 73.735 -124.2937
8.500000 73.983 -125.1806
8.620000 74.279 -126.3089
8.750000 74.606 -127.7127
8.850000 74.834 -128.8979
9.000000 75.163 -130.9203
9.120000 75.402 -132.5528
9.250000 75.619 -134.2064
9.380000 75.801 -135.8168
9.500000 75.947 -137.1384
9.620000 76.072 -138.2273
9.750000 76.183 -139.1994
9.880000 76.289 -139.9562
10.000000 76.388 -140.4326
10.150000 76.509 -140.7702
10.300000 76.643 -140.9846
10.440000 76.783 -141.0472
10.600000 76.949 -141.0676
10.750000 77.108 -141.1424
10.900000 77.266 -141.2331
11.060000 77.417 -141.3780
11.200000 77.534 -141.5532
11.380000 77.661 -141.7621
11.500000 77.728 -141.8817
11.720000 77.822 -142.0367
11.800000 77.850 -142.0539
12.060000 77.918 -142.0075
12.200000 77.951 -141.9437
12.410000 77.994 -141.8190
12.500000 78.012 -141.7912
12.650000 78.040 -141.7665
12.800000 78.061 -141.7882
13.150000 78.080 -142.0780
13.200000 78.078 -142.1363
13.400000 78.059 -142.4165
13.600000 78.026 -142.7268
13.800000 77.982 -143.0462
14.000000 77.938 -143.3941
14.300000 77.878 -143.9961
14.500000 77.847 -144.5156
14.750000 77.814 -145.3383
15.000000 77.782 -146.3610
15.250000 77.743 -147.5358
15.500000 77.699 -148.7616
15.750000 77.654 -149.9793
16.000000 77.621 -151.1116
16.250000 77.612 -152.1738
16.500000 77.632 -153.1891
16.750000 77.683 -154.2098
17.000000 77.753 -155.2650
17.250000 77.834 -156.3406
17.500000 77.918 -157.4109
17.750000 77.997 -158.4037
18.000000 78.072 -159.2905
18.250000 78.145 -160.0405
18.500000 78.218 -160.6608
18.750000 78.290 -161.1711
19.000000 78.362 -161.5901
19.250000 78.428 -161.9392
19.500000 78.488 -162.2224
19.750000 78.540 -162.4447
20.000000 78.584 -162.6141
20.299999 78.628 -162.7739
20.600000 78.661 -162.9164
20.900000 78.682 -163.0712
21.200001 78.689 -163.2521
21.400000 78.686 -163.3849
21.799999 78.665 -163.6858
22.000000 78.650 -163.8650
22.400000 78.615 -164.3239
22.700001 78.582 -164.7897
23.000000 78.539 -165.3602
23.299999 78.485 -165.9875
23.600000 78.425 -166.6164
24.000000 78.348 -167.3980
24.299999 78.308 -167.9515
24.700001 78.287 -168.7243
25.000000 78.289 -169.3790
25.400000 78.303 -170.3412
25.799999 78.316 -171.2916
26.200001 78.334 -172.1092
26.500000 78.357 -172.6209
26.900000 78.403 -173.2177
27.200001 78.445 -173.6460
27.600000 78.498 -174.2110
28.000000 78.537 -174.7318
28.500000 78.564 -175.2525
29.000000 78.576 -175.6395
29.500000 78.574 -175.9684
30.000000 78.559 -176.2960
30.400000 78.536 -176.5784
30.700001 78.515 -176.8142
31.100000 78.481 -177.1713
31.500000 78.440 -177.5714
32.000000 78.386 -178.1063
32.500000 78.336 -178.6761
33.000000 78.296 -179.3037
33.500000 78.261 -179.9683
34.000000 78.233 179.4037
34.500000 78.223 178.8333
35.000000 78.230 178.2542
35.500000 78.240 177.6246
36.000000 78.234 177.0208
36.500000 78.214 176.5515
37.000000 78.195 176.2365
37.500000 78.182 176.0011
38.200001 78.170 175.6620
38.700001 78.158 175.3699
39.500000 78.125 174.8076
40.000000 78.094 174.4233
40.599998 78.055 173.9538
41.200001 78.018 173.4629
41.799999 77.984 172.9461
42.500000 77.946 172.3428
43.099998 77.915 171.8531
43.700001 77.888 171.4150
44.400002 77.866 170.9537
45.000000 77.852 170.5242
45.500000 77.832 170.1358
46.200001 77.787 169.6545
46.799999 77.751 169.3238
47.500000 77.716 168.8794
48.200001 77.665 168.3698
48.700001 77.618 168.0875
49.400002 77.568 167.8667
50.000000 77.559 167.6689
50.799999 77.563 167.0956
51.500000 77.528 166.4131
52.200001 77.453 165.9187
53.000000 77.377 165.6571
53.799999 77.328 165.4011
54.500000 77.286 165.1003
55.200001 77.240 164.7708
56.000000 77.187 164.3572
57.000000 77.116 163.8311
58.000000 77.047 163.3867
59.000000 76.999 163.0342
60.000000 76.956 162.5896
60.799999 76.908 162.2852
61.500000 76.869 162.0465
62.200001 76.820 161.7399
63.000000 76.741 161.4691
64.000000 76.664 161.3123
65.000000 76.599 160.9457
66.000000 76.513 160.6629
67.000000 76.445 160.4675
68.000000 76.372 160.3823
69.000000 76.325 160.4052
70.000000 76.271 160.4578
71.000000 76.257 160.6145
72.000000 76.240 160.3890
73.000000 76.197 160.3222
74.000000 76.197 160.1310
75.000000 76.167 159.7591
76.199997 76.142 159.4198
77.500000 76.097 158.9445
78.800003 76.063 158.5451
80.000000 76.006 158.1060
81.199997 75.954 157.7975
82.500000 75.888 157.4316
83.800003 75.822 157.1225
85.000000 75.763 156.8979
86.199997 75.710 156.5369
87.500000 75.635 156.2935
88.500000 75.601 156.0317
90.000000 75.514 155.7190
91.199997 75.471 155.4905
92.500000 75.395 155.2990
93.800003 75.343 155.1449
95.000000 75.279 154.9268
96.199997 75.216 154.7875
97.500000 75.159 154.5630
98.800003 75.086 154.5327
100.000000 75.075 154.3649
101.500000 74.973 154.0176
103.000000 74.906 153.9335
104.400002 74.829 153.7031
106.000000 74.753 153.6189
107.500000 74.698 153.3743
109.000000 74.632 153.2005
110.599998 74.550 153.0618
112.000000 74.498 152.9737
113.800003 74.412 152.8123
115.000000 74.370 152.6748
117.199997 74.268 152.5897
118.000000 74.237 152.5152
120.599998 74.111 152.4091
122.000000 74.070 152.3234
124.099998 73.975 152.2093
125.000000 73.941 152.2339
126.500000 73.889 152.1917
128.000000 73.825 152.1750
131.500000 73.697 151.9927
132.000000 73.667 151.9902
134.000000 73.612 152.0031
136.000000 73.529 151.8908
138.000000 73.446 152.0413
140.000000 73.380 151.8763
143.000000 73.246 151.9951
145.000000 73.173 151.8525
147.500000 73.113 151.8070
150.000000 73.023 151.7978
152.500000 72.924 151.9554
155.000000 72.855 151.8759
157.500000 72.769 152.0090
160.000000 72.696 152.0742
162.500000 72.611 152.1177
165.000000 72.530 152.0609
167.500000 72.455 152.3587
170.000000 72.382 152.3032
172.500000 72.302 152.3337
175.000000 72.232 152.5209
177.500000 72.153 152.5675
180.000000 72.071 152.7896
182.500000 72.013 152.7701
185.000000 71.922 152.9956
187.500000 71.881 153.0801
190.000000 71.788 153.3611
192.500000 71.730 153.5004
195.000000 71.679 153.5140
197.500000 71.618 153.7284
200.000000 71.578 154.0200
203.000000 71.493 154.0162
206.000000 71.414 154.1769
209.000000 71.338 154.2805
212.000000 71.289 154.5372
214.000000 71.227 154.6382
218.000000 71.159 154.9055
220.000000 71.086 154.8376
224.000000 70.998 155.2681
227.000000 70.945 155.4218
230.000000 70.900 155.6967
233.000000 70.832 155.9601
236.000000 70.773 156.1833
240.000000 70.685 156.2716
243.000000 70.644 156.6593
247.000000 70.579 157.0324
250.000000 70.467 157.1530
254.000000 70.434 157.3288
258.000000 70.389 157.5924
262.000000 70.300 158.0304
265.000000 70.240 158.4013
269.000000 70.195 158.5244
272.000000 70.137 158.7357
276.000000 70.057 159.0679
280.000000 70.011 159.4596
285.000000 69.921 159.8366
290.000000 69.856 160.2319
295.000000 69.806 160.4201
300.000000 69.732 161.1122
304.000000 69.703 161.3429
307.000000 69.660 161.5597
311.000000 69.601 161.7858
315.000000 69.542 162.4998
320.000000 69.466 162.6456
325.000000 69.450 162.9932
330.000000 69.350 163.3838
