* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 11:23:22 19-03-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: EA500LM red R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 84.238 122.9554
1.015000 84.056 122.0998
1.030000 83.867 121.2431
1.044000 83.683 120.4423
1.060000 83.465 119.5256
1.075000 83.252 118.6647
1.090000 83.030 117.8021
1.106000 82.784 116.8408
1.120000 82.568 115.7549
1.138000 82.290 114.0113
1.150000 82.103 112.6637
1.172000 81.756 109.8868
1.180000 81.628 108.7990
1.206000 81.205 105.0764
1.220000 80.970 103.0075
1.241000 80.608 99.9099
1.250000 80.449 98.6085
1.265000 80.176 96.5069
1.280000 79.895 94.5251
1.315000 79.200 90.5959
1.320000 79.096 90.1362
1.340000 78.666 88.6120
1.360000 78.212 87.6637
1.380000 77.733 87.3882
1.400000 77.226 87.8821
1.430000 76.410 90.2777
1.450000 75.826 93.1191
1.475000 75.035 98.3130
1.500000 74.073 105.9601
1.525000 72.949 115.8640
1.550000 71.699 127.6404
1.575000 70.358 140.9052
1.600000 68.962 155.2739
1.625000 67.549 170.3623
1.650000 66.154 -174.2140
1.675000 64.814 -158.8391
1.700000 63.565 -143.8973
1.725000 62.442 -129.7731
1.750000 61.482 -116.8507
1.775000 60.722 -105.5143
1.800000 60.198 -96.1482
1.825000 59.945 -89.1367
1.850000 60.001 -84.5744
1.875000 60.363 -81.8502
1.900000 60.992 -80.7321
1.925000 61.847 -81.0120
1.950000 62.888 -82.4817
1.975000 64.074 -84.9330
2.000000 65.364 -88.1577
2.030000 66.993 -92.7552
2.060000 68.644 -97.8068
2.090000 70.247 -102.9528
2.120000 71.731 -107.8336
2.140000 72.619 -110.7625
2.180000 74.063 -115.3603
2.200000 74.576 -116.8221
2.240000 75.348 -119.1343
2.270000 75.781 -120.7370
2.300000 76.105 -122.2370
2.330000 76.336 -123.6434
2.360000 76.488 -124.9653
2.400000 76.594 -126.6119
2.430000 76.622 -127.7716
2.470000 76.616 -129.2349
2.500000 76.600 -130.2817
2.540000 76.591 -131.6273
2.580000 76.618 -132.9414
2.620000 76.608 -134.2771
2.650000 76.567 -135.2746
2.690000 76.473 -136.5598
2.720000 76.375 -137.4633
2.760000 76.214 -138.5483
2.800000 76.025 -139.4517
2.850000 75.758 -140.2511
2.900000 75.468 -140.5949
2.950000 75.157 -140.4073
3.000000 74.753 -139.8023
3.040000 74.373 -139.0461
3.070000 74.069 -138.3211
3.110000 73.655 -137.1454
3.150000 73.251 -135.7323
3.200000 72.791 -133.6345
3.250000 72.421 -131.1714
3.300000 72.182 -128.3435
3.350000 72.059 -124.7534
3.400000 72.016 -120.3459
3.450000 72.044 -115.4525
3.500000 72.135 -110.4044
3.550000 72.279 -105.5329
3.600000 72.468 -101.1692
3.650000 72.693 -97.6447
3.700000 72.972 -95.0812
3.750000 73.346 -93.1026
3.820000 73.978 -91.1438
3.870000 74.464 -90.2227
3.950000 75.214 -89.3707
4.000000 75.618 -89.1104
4.060000 76.001 -89.0296
4.120000 76.331 -89.4921
4.180000 76.620 -90.4073
4.250000 76.903 -91.8399
4.310000 77.099 -93.2029
4.370000 77.251 -94.5264
4.440000 77.370 -95.9561
4.500000 77.418 -97.3254
4.550000 77.423 -98.5307
4.620000 77.383 -100.2238
4.680000 77.313 -101.5942
4.750000 77.196 -102.9872
4.820000 77.033 -104.1799
4.870000 76.878 -104.9998
4.940000 76.623 -106.0338
5.000000 76.382 -106.7496
5.080000 76.051 -107.3508
5.150000 75.769 -107.4465
5.220000 75.453 -107.1274
5.300000 75.066 -106.3522
5.380000 74.698 -105.2504
5.450000 74.429 -104.1101
5.520000 74.239 -102.8472
5.600000 74.094 -100.9333
5.700000 73.999 -98.1727
5.800000 73.992 -95.6634
5.900000 74.072 -94.0271
6.000000 74.281 -92.9903
6.080000 74.502 -92.5386
6.150000 74.700 -92.4525
6.220000 74.874 -92.6827
6.300000 75.048 -93.4113
6.400000 75.264 -94.9735
6.500000 75.453 -96.9987
6.600000 75.587 -99.2087
6.700000 75.661 -101.6974
6.800000 75.687 -104.4869
6.900000 75.672 -107.3365
7.000000 75.621 -110.0495
7.100000 75.520 -112.7866
7.200000 75.386 -115.4644
7.300000 75.240 -117.9188
7.400000 75.088 -120.0629
7.500000 74.913 -121.9866
7.620000 74.713 -123.9731
7.750000 74.557 -125.6562
7.880000 74.443 -126.7894
8.000000 74.392 -127.5843
8.120000 74.419 -128.3270
8.250000 74.537 -128.9309
8.380000 74.711 -129.5649
8.500000 74.905 -130.3865
8.620000 75.147 -131.3573
8.750000 75.421 -132.5392
8.850000 75.615 -133.5443
9.000000 75.903 -135.2511
9.120000 76.114 -136.6249
9.250000 76.309 -138.0172
9.380000 76.475 -139.3720
9.500000 76.611 -140.4767
9.620000 76.729 -141.3743
9.750000 76.837 -142.1624
9.880000 76.942 -142.7647
10.000000 77.043 -143.1288
10.150000 77.168 -143.3625
10.300000 77.305 -143.5067
10.440000 77.448 -143.5377
10.600000 77.615 -143.5479
10.750000 77.773 -143.6290
10.900000 77.929 -143.7427
11.060000 78.076 -143.9168
11.200000 78.189 -144.1229
11.380000 78.310 -144.3765
11.500000 78.372 -144.5278
11.720000 78.458 -144.7473
11.800000 78.482 -144.7904
12.060000 78.540 -144.8365
12.200000 78.567 -144.8279
12.410000 78.600 -144.7916
12.500000 78.612 -144.8022
12.650000 78.631 -144.8430
12.800000 78.643 -144.9288
13.150000 78.636 -145.3536
13.200000 78.631 -145.4282
13.400000 78.595 -145.7668
13.600000 78.546 -146.1199
13.800000 78.486 -146.4641
14.000000 78.429 -146.8203
14.300000 78.352 -147.4077
14.500000 78.314 -147.9068
14.750000 78.277 -148.7048
15.000000 78.245 -149.7105
15.250000 78.208 -150.8851
15.500000 78.166 -152.1263
15.750000 78.124 -153.3732
16.000000 78.091 -154.5416
16.250000 78.081 -155.6382
16.500000 78.097 -156.6817
16.750000 78.142 -157.7187
17.000000 78.205 -158.7761
17.250000 78.279 -159.8398
17.500000 78.355 -160.8840
17.750000 78.427 -161.8386
18.000000 78.497 -162.6792
18.250000 78.567 -163.3795
18.500000 78.639 -163.9576
18.750000 78.713 -164.4400
19.000000 78.786 -164.8514
19.250000 78.854 -165.2162
19.500000 78.913 -165.5331
19.750000 78.962 -165.8026
20.000000 79.001 -166.0225
20.299999 79.036 -166.2405
20.600000 79.057 -166.4346
20.900000 79.066 -166.6335
21.200001 79.058 -166.8514
21.400000 79.043 -167.0005
21.799999 78.998 -167.2976
22.000000 78.971 -167.4498
22.400000 78.918 -167.7996
22.700001 78.882 -168.1557
23.000000 78.845 -168.6307
23.299999 78.804 -169.2116
23.600000 78.758 -169.8573
24.000000 78.694 -170.7451
24.299999 78.653 -171.3971
24.700001 78.620 -172.2589
25.000000 78.611 -172.9259
25.400000 78.616 -173.8538
25.799999 78.631 -174.7819
26.200001 78.651 -175.6423
26.500000 78.669 -176.2203
26.900000 78.698 -176.8995
27.200001 78.721 -177.3437
27.600000 78.749 -177.8447
28.000000 78.772 -178.2365
28.500000 78.799 -178.6129
29.000000 78.818 -178.9634
29.500000 78.816 -179.3388
30.000000 78.788 -179.7051
30.400000 78.755 -179.9805
30.700001 78.728 179.8038
31.100000 78.689 179.4696
31.500000 78.646 179.0742
32.000000 78.587 178.5286
32.500000 78.532 177.9568
33.000000 78.490 177.3315
33.500000 78.459 176.6325
34.000000 78.431 175.9128
34.500000 78.408 175.2421
35.000000 78.395 174.6297
35.500000 78.388 174.0572
36.000000 78.380 173.5369
36.500000 78.367 173.0943
37.000000 78.352 172.7265
37.500000 78.333 172.4114
38.200001 78.301 172.0180
38.700001 78.275 171.7275
39.500000 78.217 171.1897
40.000000 78.172 170.8509
40.599998 78.122 170.4524
41.200001 78.081 169.9725
41.799999 78.036 169.3990
42.500000 77.970 168.7781
43.099998 77.922 168.3721
43.700001 77.891 168.0143
44.400002 77.871 167.5546
45.000000 77.850 167.0982
45.500000 77.821 166.7181
46.200001 77.766 166.2907
46.799999 77.721 166.0163
47.500000 77.672 165.6887
48.200001 77.619 165.3844
48.700001 77.589 165.1858
49.400002 77.556 164.7576
50.000000 77.499 164.2499
50.799999 77.376 163.8908
51.500000 77.310 163.9678
52.200001 77.302 163.8127
53.000000 77.255 163.2626
53.799999 77.171 162.9896
54.500000 77.140 162.8253
55.200001 77.109 162.4024
56.000000 77.037 162.0111
57.000000 76.997 161.7776
58.000000 76.968 161.2358
59.000000 76.917 160.8466
60.000000 76.869 160.4105
60.799999 76.802 160.1610
61.500000 76.753 160.0675
62.200001 76.715 159.8563
63.000000 76.644 159.5109
64.000000 76.539 159.3060
65.000000 76.465 159.0686
66.000000 76.364 158.8734
67.000000 76.305 159.0582
68.000000 76.285 158.9973
69.000000 76.247 159.1198
70.000000 76.282 159.1865
71.000000 76.291 158.7429
72.000000 76.263 158.4457
73.000000 76.259 158.0676
74.000000 76.229 157.5198
75.000000 76.177 157.0603
76.199997 76.102 156.6747
77.500000 76.040 156.3063
78.800003 75.951 155.8628
80.000000 75.875 155.5345
81.199997 75.797 155.1446
82.500000 75.712 154.8331
83.800003 75.647 154.5818
85.000000 75.582 154.3058
86.199997 75.511 154.1465
87.500000 75.446 153.9332
88.500000 75.383 153.7656
90.000000 75.304 153.5764
91.199997 75.230 153.3693
92.500000 75.157 153.3185
93.800003 75.092 153.0893
95.000000 75.021 153.0321
96.199997 74.969 152.7620
97.500000 74.889 152.6890
98.800003 74.830 152.5076
100.000000 74.785 152.6191
101.500000 74.728 152.2481
103.000000 74.635 152.1741
104.400002 74.542 152.1228
106.000000 74.454 151.9660
107.500000 74.397 151.9532
109.000000 74.327 151.7815
110.599998 74.232 151.6982
112.000000 74.196 151.7870
113.800003 74.081 151.6922
115.000000 74.048 151.6594
117.199997 73.939 151.6429
118.000000 73.908 151.6134
120.599998 73.798 151.5042
122.000000 73.746 151.4777
124.099998 73.670 151.4397
125.000000 73.620 151.3882
126.500000 73.566 151.4364
128.000000 73.477 151.4283
131.500000 73.361 151.3644
132.000000 73.329 151.3544
134.000000 73.244 151.5750
136.000000 73.180 151.6121
138.000000 73.099 151.6507
140.000000 73.048 151.6526
143.000000 72.934 151.6556
145.000000 72.869 151.6832
147.500000 72.791 151.7562
150.000000 72.703 151.8834
152.500000 72.626 151.8786
155.000000 72.546 151.9032
157.500000 72.465 152.0201
160.000000 72.382 152.2213
162.500000 72.292 152.2021
165.000000 72.219 152.3772
167.500000 72.148 152.4480
170.000000 72.084 152.5990
172.500000 72.012 152.7542
175.000000 71.938 152.9222
177.500000 71.881 153.0471
180.000000 71.800 153.1422
182.500000 71.725 153.3298
185.000000 71.648 153.4507
187.500000 71.599 153.4824
190.000000 71.518 153.7846
192.500000 71.481 153.9001
195.000000 71.409 154.1792
197.500000 71.327 154.4005
200.000000 71.282 154.3927
203.000000 71.188 154.6635
206.000000 71.070 155.1087
209.000000 71.040 155.3785
212.000000 71.009 155.6440
214.000000 70.977 155.7961
218.000000 70.899 156.1394
220.000000 70.851 156.3174
224.000000 70.812 156.3755
227.000000 70.742 156.6718
230.000000 70.691 157.0001
233.000000 70.616 157.0983
236.000000 70.548 157.2980
240.000000 70.478 157.6459
243.000000 70.440 157.9011
247.000000 70.369 158.2609
250.000000 70.319 158.5014
254.000000 70.233 158.7872
258.000000 70.185 159.1551
262.000000 70.110 159.3741
265.000000 70.086 159.5701
269.000000 70.024 159.8646
272.000000 69.953 160.2764
276.000000 69.911 160.5592
280.000000 69.871 160.8748
285.000000 69.780 161.1765
290.000000 69.728 161.7134
295.000000 69.669 162.4613
300.000000 69.611 162.5581
304.000000 69.572 162.9697
307.000000 69.533 163.1685
311.000000 69.486 163.6472
315.000000 69.446 163.9415
320.000000 69.403 164.3494
325.000000 69.338 164.8252
330.000000 69.271 165.1342
335.000000 69.237 165.5538
