* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 15:28:59 13-07-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: EPZ 530 L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 83.027 129.1044
1.015000 82.808 128.5742
1.030000 82.579 128.0901
1.044000 82.355 127.6834
1.060000 82.086 127.2760
1.075000 81.821 126.9535
1.090000 81.543 126.6926
1.106000 81.228 126.5792
1.120000 80.922 126.6325
1.138000 80.487 126.7707
1.150000 80.173 126.9025
1.172000 79.556 127.2167
1.180000 79.320 127.3517
1.206000 78.519 127.8543
1.220000 78.072 128.1587
1.241000 77.385 128.6482
1.250000 77.088 128.8671
1.265000 76.592 129.2401
1.280000 76.097 129.6187
1.315000 74.968 130.4957
1.320000 74.812 130.6174
1.340000 74.204 131.0882
1.360000 73.631 131.5237
1.380000 73.100 131.9119
1.400000 72.622 132.2408
1.430000 72.019 132.5964
1.450000 71.706 132.7240
1.475000 71.426 134.2729
1.500000 71.244 138.8495
1.525000 71.146 144.4714
1.550000 71.123 150.9581
1.575000 71.169 158.1289
1.600000 71.273 165.8035
1.625000 71.430 173.8011
1.650000 71.630 -178.0587
1.675000 71.865 -169.9563
1.700000 72.128 -162.0724
1.725000 72.410 -154.5877
1.750000 72.704 -147.6824
1.775000 73.002 -141.5373
1.800000 73.294 -136.3328
1.825000 73.574 -132.2495
1.850000 73.855 -129.3161
1.875000 74.182 -127.2147
1.900000 74.548 -125.8463
1.925000 74.947 -125.1246
1.950000 75.371 -124.9638
1.975000 75.812 -125.2777
2.000000 76.263 -125.9800
2.030000 76.807 -127.2146
2.060000 77.343 -128.7360
2.090000 77.856 -130.3953
2.120000 78.334 -132.0439
2.140000 78.627 -133.0635
2.180000 79.134 -134.7136
2.200000 79.340 -135.2588
2.240000 79.686 -136.3067
2.270000 79.902 -137.2238
2.300000 80.084 -138.2333
2.330000 80.234 -139.3171
2.360000 80.358 -140.4571
2.400000 80.485 -142.0333
2.430000 80.558 -143.2342
2.470000 80.630 -144.8260
2.500000 80.669 -145.9893
2.540000 80.709 -147.4655
2.580000 80.739 -148.8344
2.620000 80.742 -150.2135
2.650000 80.723 -151.2627
2.690000 80.674 -152.6619
2.720000 80.619 -153.6981
2.760000 80.525 -155.0426
2.800000 80.408 -156.3223
2.850000 80.234 -157.7935
2.900000 80.033 -159.0778
2.950000 79.807 -160.1506
3.000000 79.534 -161.1654
3.040000 79.284 -161.9261
3.070000 79.082 -162.4437
3.110000 78.799 -163.0352
3.150000 78.505 -163.4817
3.200000 78.131 -163.7825
3.250000 77.761 -163.7336
3.300000 77.407 -163.2661
3.350000 77.033 -162.3153
3.400000 76.624 -160.9286
3.450000 76.205 -159.1959
3.500000 75.799 -157.2066
3.550000 75.430 -155.0504
3.600000 75.123 -152.8168
3.650000 74.901 -150.5956
3.700000 74.779 -148.3030
3.750000 74.739 -145.6552
3.820000 74.792 -141.6354
3.870000 74.887 -138.7658
3.950000 75.096 -134.6357
4.000000 75.240 -132.6007
4.060000 75.416 -130.9258
4.120000 75.650 -129.8709
4.180000 75.928 -129.3069
4.250000 76.268 -129.1470
4.310000 76.541 -129.3320
4.370000 76.767 -129.7175
4.440000 76.953 -130.4111
4.500000 77.079 -131.4049
4.550000 77.162 -132.4562
4.620000 77.242 -134.1488
4.680000 77.276 -135.6930
4.750000 77.270 -137.4593
4.820000 77.212 -139.2092
4.870000 77.139 -140.5635
4.940000 76.997 -142.5248
5.000000 76.843 -144.1900
5.080000 76.599 -146.2596
5.150000 76.353 -147.8288
5.220000 76.056 -149.3188
5.300000 75.667 -150.9046
5.380000 75.250 -152.2358
5.450000 74.886 -153.0854
5.520000 74.535 -153.5497
5.600000 74.101 -153.6109
5.700000 73.550 -153.1439
5.800000 73.070 -152.2743
5.900000 72.742 -151.1361
6.000000 72.541 -149.3504
6.080000 72.454 -147.7452
6.150000 72.429 -146.4947
6.220000 72.446 -145.6199
6.300000 72.540 -145.0908
6.400000 72.769 -144.8357
6.500000 73.050 -145.0688
6.600000 73.307 -145.8321
6.700000 73.547 -147.2762
6.800000 73.790 -149.2786
6.900000 74.005 -151.5397
7.000000 74.167 -153.8200
7.100000 74.283 -156.3409
7.200000 74.361 -158.9630
7.300000 74.407 -161.4352
7.400000 74.416 -163.6516
7.500000 74.382 -165.7635
7.620000 74.315 -167.9818
7.750000 74.241 -169.7583
7.880000 74.142 -170.9182
8.000000 74.069 -171.5458
8.120000 74.053 -171.7765
8.250000 74.082 -171.4661
8.380000 74.166 -170.9463
8.500000 74.306 -170.5428
8.620000 74.509 -170.0680
8.750000 74.756 -169.6688
8.850000 74.946 -169.5781
9.000000 75.257 -169.7160
9.120000 75.493 -169.9670
9.250000 75.709 -170.3500
9.380000 75.897 -170.8777
9.500000 76.043 -171.3330
9.620000 76.154 -171.6857
9.750000 76.241 -172.0112
9.880000 76.309 -172.1855
10.000000 76.358 -172.1598
10.150000 76.400 -171.9324
10.300000 76.447 -171.5516
10.440000 76.496 -171.0237
10.600000 76.558 -170.3482
10.750000 76.627 -169.7402
10.900000 76.703 -169.1336
11.060000 76.775 -168.5802
11.200000 76.835 -168.1751
11.380000 76.893 -167.7104
11.500000 76.918 -167.4374
11.720000 76.941 -166.9653
11.800000 76.943 -166.7822
12.060000 76.927 -166.1779
12.200000 76.913 -165.8490
12.410000 76.887 -165.3726
12.500000 76.875 -165.2045
12.650000 76.855 -164.9616
12.800000 76.829 -164.7823
13.150000 76.741 -164.6643
13.200000 76.724 -164.6679
13.400000 76.645 -164.7416
13.600000 76.556 -164.8398
13.800000 76.458 -164.9317
14.000000 76.368 -165.0300
14.300000 76.256 -165.2225
14.500000 76.208 -165.4674
14.750000 76.168 -165.9818
15.000000 76.144 -166.7496
15.250000 76.118 -167.7283
15.500000 76.087 -168.7778
15.750000 76.054 -169.8114
16.000000 76.030 -170.7032
16.250000 76.031 -171.4536
16.500000 76.063 -172.0894
16.750000 76.132 -172.6813
17.000000 76.221 -173.2901
17.250000 76.322 -173.9091
17.500000 76.420 -174.5188
17.750000 76.509 -175.0312
18.000000 76.590 -175.4137
18.250000 76.667 -175.6312
18.500000 76.746 -175.7116
18.750000 76.826 -175.6971
19.000000 76.907 -175.6266
19.250000 76.980 -175.5393
19.500000 77.043 -175.4293
19.750000 77.092 -175.2934
20.000000 77.128 -175.1158
20.299999 77.158 -174.8649
20.600000 77.177 -174.6055
20.900000 77.185 -174.3826
21.200001 77.179 -174.2284
21.400000 77.165 -174.1589
21.799999 77.118 -174.0732
22.000000 77.088 -174.0496
22.400000 77.025 -174.0518
22.700001 76.981 -174.1390
23.000000 76.941 -174.3363
23.299999 76.900 -174.6364
23.600000 76.861 -175.0046
24.000000 76.815 -175.5412
24.299999 76.794 -175.9571
24.700001 76.792 -176.5526
25.000000 76.806 -177.0511
25.400000 76.837 -177.7665
25.799999 76.871 -178.4478
26.200001 76.910 -179.0020
26.500000 76.948 -179.3247
26.900000 77.007 -179.6671
27.200001 77.054 -179.8823
27.600000 77.109 179.8904
28.000000 77.153 179.7706
28.500000 77.198 179.7817
29.000000 77.239 179.8569
29.500000 77.264 179.8825
30.000000 77.264 179.8658
30.400000 77.248 179.8528
30.700001 77.233 179.8346
31.100000 77.211 179.7624
31.500000 77.187 179.6149
32.000000 77.152 179.3463
32.500000 77.118 179.0289
33.000000 77.096 178.6635
33.500000 77.086 178.2357
34.000000 77.085 177.7809
34.500000 77.092 177.3501
35.000000 77.111 176.9486
35.500000 77.134 176.5654
36.000000 77.152 176.2309
36.500000 77.166 175.9947
37.000000 77.182 175.8573
37.500000 77.201 175.7575
38.200001 77.223 175.5683
38.700001 77.223 175.4019
39.500000 77.201 175.2141
40.000000 77.190 175.1420
40.599998 77.186 175.0132
41.200001 77.184 174.8262
41.799999 77.190 174.6231
42.500000 77.215 174.2558
43.099998 77.221 173.7745
43.700001 77.196 173.3953
44.400002 77.176 173.2455
45.000000 77.190 173.0809
45.500000 77.191 172.8234
46.200001 77.162 172.6044
46.799999 77.160 172.6073
47.500000 77.195 172.3947
48.200001 77.198 171.8927
48.700001 77.174 171.6293
49.400002 77.155 171.4594
50.000000 77.156 171.2922
50.799999 77.153 171.0373
51.500000 77.151 170.8992
52.200001 77.158 170.7444
53.000000 77.156 170.5385
53.799999 77.150 170.3856
54.500000 77.148 170.2287
55.200001 77.141 170.0466
56.000000 77.136 169.8739
57.000000 77.151 169.6099
58.000000 77.172 169.2825
59.000000 77.201 168.9783
60.000000 77.238 168.6921
60.799999 77.277 168.3962
61.500000 77.296 168.0262
62.200001 77.294 167.7081
63.000000 77.299 167.4187
64.000000 77.301 166.8496
65.000000 77.274 166.3786
66.000000 77.269 165.9308
67.000000 77.242 165.4877
68.000000 77.250 165.2953
69.000000 77.273 164.7323
70.000000 77.233 164.2363
71.000000 77.210 163.9858
72.000000 77.193 163.6042
73.000000 77.167 163.2567
74.000000 77.149 162.9215
75.000000 77.138 162.5578
76.199997 77.112 162.1108
77.500000 77.097 161.7573
78.800003 77.077 161.2695
80.000000 77.057 160.8872
81.199997 77.029 160.4480
82.500000 77.001 160.1610
83.800003 76.989 159.8099
85.000000 76.971 159.5017
86.199997 76.949 159.1805
87.500000 76.923 158.8044
88.500000 76.896 158.5210
90.000000 76.865 158.1226
91.199997 76.846 157.8232
92.500000 76.823 157.4665
93.800003 76.796 157.1797
95.000000 76.763 156.9245
96.199997 76.740 156.7426
97.500000 76.718 156.4159
98.800003 76.679 156.1307
100.000000 76.661 156.0589
101.500000 76.668 155.6788
103.000000 76.632 155.4076
104.400002 76.625 155.1760
106.000000 76.621 154.8502
107.500000 76.609 154.5633
109.000000 76.622 154.2059
110.599998 76.609 153.7386
112.000000 76.596 153.4147
113.800003 76.585 152.8372
115.000000 76.568 152.5366
117.199997 76.533 151.9102
118.000000 76.520 151.6958
120.599998 76.475 151.0414
122.000000 76.449 150.7269
124.099998 76.421 150.1551
125.000000 76.402 149.9324
126.500000 76.363 149.5562
128.000000 76.327 149.2577
131.500000 76.252 148.5817
132.000000 76.241 148.4951
134.000000 76.210 148.1998
136.000000 76.178 147.9798
138.000000 76.166 147.6790
140.000000 76.174 147.1808
143.000000 76.120 146.2758
145.000000 76.095 145.7000
147.500000 76.034 145.0434
150.000000 75.989 144.5322
152.500000 75.929 144.0404
155.000000 75.896 143.5270
157.500000 75.834 143.1001
160.000000 75.773 142.5589
162.500000 75.719 142.1454
165.000000 75.666 141.6762
167.500000 75.614 141.1527
170.000000 75.555 140.7727
172.500000 75.515 140.2768
175.000000 75.468 139.9546
177.500000 75.415 139.4896
180.000000 75.370 139.1270
182.500000 75.309 138.6593
185.000000 75.263 138.2584
187.500000 75.232 137.8686
190.000000 75.178 137.5746
192.500000 75.118 137.3158
195.000000 75.067 136.7452
197.500000 75.024 136.4041
200.000000 74.969 136.0013
203.000000 74.928 135.6157
206.000000 74.864 135.1403
209.000000 74.797 134.7831
212.000000 74.738 134.4147
214.000000 74.700 134.1248
218.000000 74.633 133.5462
220.000000 74.595 133.3333
224.000000 74.518 132.8224
227.000000 74.468 132.4188
230.000000 74.410 132.0302
233.000000 74.359 131.6327
236.000000 74.309 131.3670
240.000000 74.241 130.8954
243.000000 74.163 130.5173
247.000000 74.096 129.9154
250.000000 74.068 129.6400
254.000000 73.996 129.2095
258.000000 73.920 128.7948
262.000000 73.832 128.3862
265.000000 73.773 128.0544
269.000000 73.705 127.6613
272.000000 73.640 127.3397
276.000000 73.595 126.9636
280.000000 73.525 126.6150
285.000000 73.421 126.0305
290.000000 73.330 125.6343
295.000000 73.269 125.2449
300.000000 73.157 124.9835
304.000000 73.099 124.3377
307.000000 73.052 124.0728
311.000000 72.995 123.8164
315.000000 72.920 123.4700
320.000000 72.846 123.0889
325.000000 72.756 122.8083
330.000000 72.667 122.4102
335.000000 72.582 122.0391
