* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 15:32:27 13-07-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: EPZ 530 R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 80.918 124.1467
1.015000 80.673 123.4234
1.030000 80.411 122.7269
1.044000 80.150 122.1030
1.060000 79.832 121.4234
1.075000 79.512 120.8211
1.090000 79.170 120.2548
1.106000 78.776 119.6652
1.120000 78.383 119.0131
1.138000 77.811 117.9765
1.150000 77.393 117.1824
1.172000 76.561 115.5632
1.180000 76.240 114.9352
1.206000 75.144 112.8148
1.220000 74.528 111.6578
1.241000 73.581 109.9612
1.250000 73.171 109.2640
1.265000 72.486 108.1628
1.280000 71.804 107.1609
1.315000 70.256 105.3578
1.320000 70.043 105.1758
1.340000 69.220 104.6756
1.360000 68.453 104.5876
1.380000 67.755 104.9746
1.400000 67.141 105.8995
1.430000 66.406 108.4327
1.450000 66.059 110.9772
1.475000 65.807 115.2886
1.500000 65.737 121.3501
1.525000 65.824 129.0315
1.550000 66.049 138.0560
1.575000 66.394 148.1468
1.600000 66.838 159.0270
1.625000 67.362 170.4199
1.650000 67.949 -177.9513
1.675000 68.577 -166.3635
1.700000 69.228 -155.0934
1.725000 69.884 -144.4179
1.750000 70.523 -134.6137
1.775000 71.128 -125.9578
1.800000 71.680 -118.7267
1.825000 72.158 -113.1975
1.850000 72.577 -109.4261
1.875000 73.004 -106.9490
1.900000 73.439 -105.6064
1.925000 73.879 -105.2576
1.950000 74.319 -105.7614
1.975000 74.757 -106.9769
2.000000 75.189 -108.7631
2.030000 75.693 -111.4611
2.060000 76.178 -114.5342
2.090000 76.636 -117.7386
2.120000 77.062 -120.8308
2.140000 77.325 -122.7095
2.180000 77.792 -125.7035
2.200000 77.993 -126.6786
2.240000 78.335 -128.3547
2.270000 78.545 -129.6461
2.300000 78.720 -130.9582
2.330000 78.864 -132.2833
2.360000 78.979 -133.6136
2.400000 79.096 -135.3818
2.430000 79.160 -136.6938
2.470000 79.220 -138.4093
2.500000 79.252 -139.6606
2.540000 79.283 -141.2667
2.580000 79.305 -142.7956
2.620000 79.301 -144.3188
2.650000 79.277 -145.4586
2.690000 79.221 -146.9567
2.720000 79.161 -148.0520
2.760000 79.061 -149.4573
2.800000 78.939 -150.7791
2.850000 78.761 -152.2803
2.900000 78.558 -153.5735
2.950000 78.332 -154.6359
3.000000 78.058 -155.6027
3.040000 77.807 -156.2996
3.070000 77.605 -156.7577
3.110000 77.322 -157.2582
3.150000 77.032 -157.6049
3.200000 76.668 -157.7758
3.250000 76.315 -157.5999
3.300000 75.988 -157.0176
3.350000 75.653 -155.9288
3.400000 75.294 -154.3686
3.450000 74.932 -152.4515
3.500000 74.588 -150.2917
3.550000 74.282 -148.0037
3.600000 74.037 -145.7018
3.650000 73.872 -143.5002
3.700000 73.804 -141.3395
3.750000 73.820 -138.9312
3.820000 73.953 -135.3723
3.870000 74.103 -132.8813
3.950000 74.388 -129.3611
4.000000 74.568 -127.6639
4.060000 74.773 -126.3188
4.120000 75.019 -125.5741
4.180000 75.297 -125.3052
4.250000 75.628 -125.4591
4.310000 75.891 -125.8774
4.370000 76.110 -126.4544
4.440000 76.293 -127.3088
4.500000 76.416 -128.3891
4.550000 76.497 -129.4824
4.620000 76.575 -131.1976
4.680000 76.607 -132.7367
4.750000 76.604 -134.4801
4.820000 76.553 -136.1880
4.870000 76.485 -137.4922
4.940000 76.353 -139.3596
5.000000 76.210 -140.9276
5.080000 75.985 -142.8512
5.150000 75.761 -144.2826
5.220000 75.490 -145.6053
5.300000 75.134 -146.9742
5.380000 74.757 -148.0867
5.450000 74.432 -148.7646
5.520000 74.124 -149.0903
5.600000 73.753 -149.0026
5.700000 73.287 -148.3770
5.800000 72.889 -147.4200
5.900000 72.629 -146.3121
6.000000 72.488 -144.7068
6.080000 72.443 -143.3003
6.150000 72.446 -142.2201
6.220000 72.480 -141.4771
6.300000 72.577 -141.0566
6.400000 72.789 -140.9189
6.500000 73.041 -141.2202
6.600000 73.266 -141.9712
6.700000 73.471 -143.3028
6.800000 73.672 -145.1168
6.900000 73.846 -147.1488
7.000000 73.969 -149.1873
7.100000 74.048 -151.4299
7.200000 74.091 -153.7504
7.300000 74.104 -155.9233
7.400000 74.084 -157.8513
7.500000 74.025 -159.6690
7.620000 73.933 -161.5560
7.750000 73.841 -163.0345
7.880000 73.732 -163.9413
8.000000 73.655 -164.3979
8.120000 73.636 -164.5471
8.250000 73.668 -164.2456
8.380000 73.753 -163.8049
8.500000 73.886 -163.5236
8.620000 74.076 -163.2336
8.750000 74.307 -163.0531
8.850000 74.480 -163.1142
9.000000 74.759 -163.4799
9.120000 74.969 -163.8993
9.250000 75.159 -164.4353
9.380000 75.321 -165.0926
9.500000 75.445 -165.6551
9.620000 75.540 -166.1048
9.750000 75.611 -166.5217
9.880000 75.668 -166.7872
10.000000 75.710 -166.8497
10.150000 75.747 -166.7343
10.300000 75.793 -166.4776
10.440000 75.843 -166.0784
10.600000 75.907 -165.5584
10.750000 75.980 -165.1026
10.900000 76.059 -164.6531
11.060000 76.136 -164.2618
11.200000 76.199 -163.9949
11.380000 76.265 -163.7002
11.500000 76.294 -163.5345
11.720000 76.328 -163.2489
11.800000 76.334 -163.1309
12.060000 76.334 -162.7269
12.200000 76.330 -162.4982
12.410000 76.319 -162.1603
12.500000 76.314 -162.0450
12.650000 76.304 -161.8823
12.800000 76.291 -161.7722
13.150000 76.234 -161.7692
13.200000 76.222 -161.7853
13.400000 76.165 -161.8985
13.600000 76.098 -162.0264
13.800000 76.023 -162.1415
14.000000 75.955 -162.2556
14.300000 75.873 -162.4539
14.500000 75.841 -162.6814
14.750000 75.817 -163.1416
15.000000 75.806 -163.8172
15.250000 75.792 -164.6727
15.500000 75.773 -165.5882
15.750000 75.750 -166.4906
16.000000 75.733 -167.2746
16.250000 75.737 -167.9448
16.500000 75.766 -168.5257
16.750000 75.825 -169.0792
17.000000 75.901 -169.6545
17.250000 75.986 -170.2441
17.500000 76.069 -170.8282
17.750000 76.144 -171.3301
18.000000 76.213 -171.7228
18.250000 76.280 -171.9768
18.500000 76.349 -172.1180
18.750000 76.420 -172.1816
19.000000 76.492 -172.2004
19.250000 76.558 -172.2041
19.500000 76.615 -172.1855
19.750000 76.660 -172.1407
20.000000 76.695 -172.0562
20.299999 76.727 -171.9197
20.600000 76.749 -171.7750
20.900000 76.763 -171.6606
21.200001 76.763 -171.6008
21.400000 76.755 -171.5833
21.799999 76.720 -171.5740
22.000000 76.698 -171.5749
22.400000 76.654 -171.6013
22.700001 76.627 -171.6886
23.000000 76.604 -171.8765
23.299999 76.583 -172.1649
23.600000 76.560 -172.5239
24.000000 76.532 -173.0519
24.299999 76.519 -173.4550
24.700001 76.520 -174.0078
25.000000 76.534 -174.4507
25.400000 76.562 -175.0753
25.799999 76.595 -175.6812
26.200001 76.631 -176.1979
26.500000 76.661 -176.5087
26.900000 76.707 -176.8282
27.200001 76.744 -177.0063
27.600000 76.792 -177.1653
28.000000 76.840 -177.2400
28.500000 76.899 -177.2717
29.000000 76.951 -177.3370
29.500000 76.979 -177.4620
30.000000 76.981 -177.5851
30.400000 76.973 -177.6693
30.700001 76.965 -177.7479
31.100000 76.951 -177.9083
31.500000 76.932 -178.1321
32.000000 76.901 -178.4506
32.500000 76.875 -178.7780
33.000000 76.864 -179.1535
33.500000 76.862 -179.6023
34.000000 76.864 179.9310
34.500000 76.874 179.5060
35.000000 76.894 179.1142
35.500000 76.919 178.7369
36.000000 76.940 178.4062
36.500000 76.958 178.1568
37.000000 76.977 177.9707
37.500000 76.994 177.8116
38.200001 77.010 177.6139
38.700001 77.018 177.4679
39.500000 77.018 177.1564
40.000000 77.009 176.9499
40.599998 77.001 176.7155
41.200001 77.003 176.4014
41.799999 77.000 175.9749
42.500000 76.978 175.5181
43.099998 76.967 175.2670
43.700001 76.976 175.0363
44.400002 76.996 174.6723
45.000000 77.001 174.3335
45.500000 76.998 174.1042
46.200001 76.995 173.8718
46.799999 77.000 173.6810
47.500000 77.005 173.4036
48.200001 77.001 173.1212
48.700001 76.999 172.9449
49.400002 77.001 172.6980
50.000000 77.007 172.4445
50.799999 77.009 172.0595
51.500000 77.001 171.7454
52.200001 76.993 171.4877
53.000000 76.990 171.2134
53.799999 76.988 170.9147
54.500000 76.987 170.6187
55.200001 76.978 170.2924
56.000000 76.962 169.9771
57.000000 76.962 169.6223
58.000000 76.957 169.1650
59.000000 76.946 168.8382
60.000000 76.947 168.5219
60.799999 76.942 168.2493
61.500000 76.935 168.0095
62.200001 76.924 167.7749
63.000000 76.916 167.5240
64.000000 76.911 167.0955
65.000000 76.888 166.6893
66.000000 76.886 166.3897
67.000000 76.880 166.0051
68.000000 76.878 165.8560
69.000000 76.909 165.4697
70.000000 76.872 164.9619
71.000000 76.836 164.8265
72.000000 76.827 164.5242
73.000000 76.802 164.1719
74.000000 76.782 163.8429
75.000000 76.768 163.5137
76.199997 76.752 163.1254
77.500000 76.743 162.7803
78.800003 76.726 162.3368
80.000000 76.699 162.0673
81.199997 76.685 161.7402
82.500000 76.656 161.4098
83.800003 76.631 161.0958
85.000000 76.607 160.8674
86.199997 76.587 160.5629
87.500000 76.545 160.3187
88.500000 76.534 160.2235
90.000000 76.528 159.8464
91.199997 76.516 159.7260
92.500000 76.529 159.4348
93.800003 76.518 159.3134
95.000000 76.534 159.0608
96.199997 76.525 158.8377
97.500000 76.532 158.5204
98.800003 76.546 158.1461
100.000000 76.530 157.6391
101.500000 76.540 157.4749
103.000000 76.558 156.8397
104.400002 76.554 156.4254
106.000000 76.543 155.8611
107.500000 76.530 155.3368
109.000000 76.508 154.8179
110.599998 76.472 154.3414
112.000000 76.466 154.0045
113.800003 76.431 153.4394
115.000000 76.425 153.1500
117.199997 76.363 152.3765
118.000000 76.353 152.2725
120.599998 76.308 151.4447
122.000000 76.290 151.0813
124.099998 76.275 150.5513
125.000000 76.239 150.1946
126.500000 76.207 149.9711
128.000000 76.172 149.4839
131.500000 76.103 148.7700
132.000000 76.093 148.6059
134.000000 76.034 148.3082
136.000000 75.989 147.7665
138.000000 75.955 147.3732
140.000000 75.936 147.0600
143.000000 75.889 146.5547
145.000000 75.854 146.1381
147.500000 75.818 145.5743
150.000000 75.789 144.9295
152.500000 75.735 144.3763
155.000000 75.691 143.8243
157.500000 75.631 143.3453
160.000000 75.579 142.8281
162.500000 75.526 142.2822
165.000000 75.467 141.7908
167.500000 75.425 141.2804
170.000000 75.376 140.8043
172.500000 75.310 140.4875
175.000000 75.255 140.0000
177.500000 75.201 139.6155
180.000000 75.160 139.1130
182.500000 75.115 138.7068
185.000000 75.056 138.2577
187.500000 75.020 137.9041
190.000000 74.963 137.5620
192.500000 74.900 137.0883
195.000000 74.854 136.7345
197.500000 74.802 136.3379
200.000000 74.743 135.9520
203.000000 74.700 135.4751
206.000000 74.636 135.0103
209.000000 74.572 134.7668
212.000000 74.513 134.3297
214.000000 74.482 134.0147
218.000000 74.409 133.5055
220.000000 74.369 133.2100
224.000000 74.279 132.6956
227.000000 74.231 132.1788
230.000000 74.179 131.9967
233.000000 74.117 131.6359
236.000000 74.055 131.2100
240.000000 73.983 130.6201
243.000000 73.911 130.4739
247.000000 73.847 129.9243
250.000000 73.787 129.6127
254.000000 73.705 129.0393
258.000000 73.643 128.6395
262.000000 73.572 128.2191
265.000000 73.520 127.9740
269.000000 73.437 127.5645
272.000000 73.384 127.1752
276.000000 73.327 126.8536
280.000000 73.250 126.5069
285.000000 73.159 126.0516
290.000000 73.061 125.5120
295.000000 72.975 125.1387
300.000000 72.906 124.6907
304.000000 72.840 124.3046
307.000000 72.780 124.1240
311.000000 72.712 123.7425
315.000000 72.663 123.4237
320.000000 72.577 122.9841
325.000000 72.499 122.7821
330.000000 72.402 122.3458
