* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 15:12:10 13-07-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: EPZ K5 L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 84.522 121.4207
1.015000 84.343 120.5435
1.030000 84.158 119.6659
1.044000 83.978 118.8465
1.060000 83.764 117.9094
1.075000 83.555 117.0303
1.090000 83.338 116.1507
1.106000 83.099 115.1741
1.120000 82.892 114.0854
1.138000 82.631 112.3532
1.150000 82.460 111.0212
1.172000 82.146 108.2865
1.180000 82.031 107.2176
1.206000 81.654 103.5651
1.220000 81.446 101.5373
1.241000 81.123 98.5020
1.250000 80.981 97.2265
1.265000 80.735 95.1659
1.280000 80.480 93.2206
1.315000 79.834 89.3502
1.320000 79.735 88.8949
1.340000 79.322 87.3763
1.360000 78.877 86.4108
1.380000 78.396 86.0913
1.400000 77.877 86.5106
1.430000 77.017 88.7280
1.450000 76.384 91.4006
1.475000 75.506 96.3168
1.500000 74.415 103.5821
1.525000 73.122 113.0082
1.550000 71.669 124.2281
1.575000 70.102 136.8746
1.600000 68.463 150.5806
1.625000 66.796 164.9788
1.650000 65.145 179.7021
1.675000 63.554 -165.6166
1.700000 62.066 -151.3444
1.725000 60.725 -137.8486
1.750000 59.574 -125.4964
1.775000 58.658 -114.6548
1.800000 58.020 -105.6911
1.825000 57.703 -98.9723
1.850000 57.750 -94.5815
1.875000 58.154 -91.9206
1.900000 58.867 -90.7726
1.925000 59.843 -90.9440
1.950000 61.035 -92.2414
1.975000 62.396 -94.4712
2.000000 63.878 -97.4401
2.030000 65.750 -101.7058
2.060000 67.647 -106.4228
2.090000 69.489 -111.2567
2.120000 71.193 -115.8734
2.140000 72.212 -118.6652
2.180000 73.862 -123.1172
2.200000 74.446 -124.5848
2.240000 75.314 -126.9965
2.270000 75.795 -128.7223
2.300000 76.150 -130.3847
2.330000 76.395 -131.9904
2.360000 76.550 -133.5461
2.400000 76.645 -135.5543
2.430000 76.656 -137.0197
2.470000 76.625 -138.9321
2.500000 76.590 -140.3440
2.540000 76.561 -142.2096
2.580000 76.580 -144.0757
2.620000 76.575 -145.9849
2.650000 76.542 -147.4310
2.690000 76.459 -149.3474
2.720000 76.367 -150.7549
2.760000 76.206 -152.5614
2.800000 76.001 -154.2527
2.850000 75.682 -156.1465
2.900000 75.294 -157.7260
2.950000 74.830 -159.0019
3.000000 74.235 -160.5712
3.040000 73.679 -161.9359
3.070000 73.227 -162.9002
3.110000 72.596 -163.9571
3.150000 71.950 -164.5807
3.200000 71.152 -164.4655
3.250000 70.400 -163.0153
3.300000 69.734 -159.8610
3.350000 69.052 -154.3151
3.400000 68.311 -146.5861
3.450000 67.573 -137.4385
3.500000 66.902 -127.6369
3.550000 66.362 -117.9459
3.600000 66.016 -109.1300
3.650000 65.927 -101.9538
3.700000 66.175 -96.6368
3.750000 66.772 -92.2144
3.820000 68.006 -87.3057
3.870000 69.035 -84.6151
3.950000 70.652 -81.5191
4.000000 71.488 -80.2244
4.060000 72.193 -79.3276
4.120000 72.749 -79.6277
4.180000 73.202 -80.8864
4.250000 73.620 -83.0989
4.310000 73.896 -85.2322
4.370000 74.111 -87.2141
4.440000 74.290 -89.1506
4.500000 74.360 -90.9700
4.550000 74.363 -92.5644
4.620000 74.293 -94.7950
4.680000 74.173 -96.5929
4.750000 73.974 -98.4117
4.820000 73.704 -100.0076
4.870000 73.453 -101.1554
4.940000 73.040 -102.6116
5.000000 72.643 -103.5706
5.080000 72.078 -104.1840
5.150000 71.566 -103.8769
5.220000 70.956 -102.8365
5.300000 70.186 -100.9034
5.380000 69.448 -98.2975
5.450000 68.919 -95.5643
5.520000 68.570 -92.4127
5.600000 68.344 -87.5938
5.700000 68.255 -80.6445
5.800000 68.329 -74.3198
5.900000 68.534 -70.2155
6.000000 68.975 -67.8595
6.080000 69.415 -66.8783
6.150000 69.784 -66.5671
6.220000 70.075 -66.6755
6.300000 70.309 -67.4529
6.400000 70.538 -69.5030
6.500000 70.680 -72.2389
6.600000 70.720 -75.1128
6.700000 70.645 -78.2333
6.800000 70.469 -81.6994
6.900000 70.213 -85.1925
7.000000 69.892 -88.4585
7.100000 69.477 -91.7340
7.200000 69.000 -94.8686
7.300000 68.507 -97.5921
7.400000 68.003 -99.7509
7.500000 67.451 -101.4870
7.620000 66.837 -103.0139
7.750000 66.364 -103.8828
7.880000 66.041 -103.6941
8.000000 65.902 -103.3446
8.120000 65.970 -103.5074
8.250000 66.293 -103.9135
8.380000 66.739 -104.8158
8.500000 67.174 -106.4229
8.620000 67.683 -108.7239
8.750000 68.233 -111.5563
8.850000 68.605 -113.7708
9.000000 69.123 -117.4136
9.120000 69.491 -120.2359
9.250000 69.824 -122.9276
9.380000 70.098 -125.3905
9.500000 70.320 -127.3010
9.620000 70.515 -128.7518
9.750000 70.692 -129.8827
9.880000 70.869 -130.6281
10.000000 71.045 -130.9403
10.150000 71.269 -130.8806
10.300000 71.520 -130.6674
10.440000 71.784 -130.2934
10.600000 72.097 -129.8227
10.750000 72.389 -129.5176
10.900000 72.679 -129.2712
11.060000 72.956 -129.0740
11.200000 73.173 -128.9724
11.380000 73.415 -128.8068
11.500000 73.551 -128.6507
11.720000 73.762 -128.2732
11.800000 73.831 -128.0881
12.060000 74.027 -127.3709
12.200000 74.126 -126.9766
12.410000 74.261 -126.3912
12.500000 74.312 -126.1831
12.650000 74.390 -125.8867
12.800000 74.453 -125.6413
13.150000 74.525 -125.2602
13.200000 74.528 -125.2075
13.400000 74.519 -124.9962
13.600000 74.496 -124.7623
13.800000 74.463 -124.4789
14.000000 74.438 -124.2534
14.300000 74.417 -124.1001
14.500000 74.414 -124.2626
14.750000 74.402 -124.7853
15.000000 74.375 -125.6533
15.250000 74.318 -126.7320
15.500000 74.248 -127.8727
15.750000 74.175 -129.0021
16.000000 74.127 -130.0583
16.250000 74.120 -131.1254
16.500000 74.157 -132.2528
16.750000 74.234 -133.5247
17.000000 74.331 -134.9148
17.250000 74.438 -136.3612
17.500000 74.545 -137.7711
17.750000 74.654 -139.0199
18.000000 74.770 -140.0826
18.250000 74.897 -140.9355
18.500000 75.039 -141.6356
18.750000 75.191 -142.2219
19.000000 75.346 -142.7302
19.250000 75.493 -143.1700
19.500000 75.630 -143.5253
19.750000 75.755 -143.7871
20.000000 75.868 -143.9535
20.299999 75.992 -144.0711
20.600000 76.101 -144.1482
20.900000 76.191 -144.2298
21.200001 76.255 -144.3256
21.400000 76.283 -144.3799
21.799999 76.311 -144.4483
22.000000 76.317 -144.4704
22.400000 76.324 -144.5554
22.700001 76.328 -144.7362
23.000000 76.326 -145.0678
23.299999 76.312 -145.5293
23.600000 76.287 -146.0724
24.000000 76.248 -146.8523
24.299999 76.227 -147.4629
24.700001 76.220 -148.3482
25.000000 76.232 -149.0924
25.400000 76.261 -150.1741
25.799999 76.301 -151.2668
26.200001 76.354 -152.2788
26.500000 76.405 -152.9684
26.900000 76.488 -153.8096
27.200001 76.556 -154.3896
27.600000 76.647 -155.0832
28.000000 76.733 -155.6614
28.500000 76.833 -156.2303
29.000000 76.919 -156.6905
29.500000 76.981 -157.0711
30.000000 77.022 -157.3704
30.400000 77.045 -157.5906
30.700001 77.058 -157.7826
31.100000 77.067 -158.1050
31.500000 77.063 -158.4899
32.000000 77.046 -159.0032
32.500000 77.030 -159.5439
33.000000 77.026 -160.1787
33.500000 77.028 -160.9271
34.000000 77.031 -161.7100
34.500000 77.042 -162.4540
35.000000 77.066 -163.1623
35.500000 77.099 -163.8475
36.000000 77.133 -164.4754
36.500000 77.169 -165.0154
37.000000 77.206 -165.4907
37.500000 77.241 -165.9391
38.200001 77.275 -166.5299
38.700001 77.288 -166.9186
39.500000 77.296 -167.5190
40.000000 77.296 -167.9023
40.599998 77.295 -168.3975
41.200001 77.292 -168.9497
41.799999 77.286 -169.5256
42.500000 77.283 -170.1794
43.099998 77.288 -170.7407
43.700001 77.297 -171.3112
44.400002 77.307 -171.9664
45.000000 77.309 -172.5006
45.500000 77.307 -172.8948
46.200001 77.309 -173.3600
46.799999 77.320 -173.7776
47.500000 77.325 -174.3661
48.200001 77.312 -174.9287
48.700001 77.304 -175.2787
49.400002 77.300 -175.7807
50.000000 77.294 -176.2243
50.799999 77.288 -176.7498
51.500000 77.291 -177.2056
52.200001 77.290 -177.6971
53.000000 77.277 -178.2172
53.799999 77.262 -178.6730
54.500000 77.251 -179.0670
55.200001 77.240 -179.4881
56.000000 77.226 -179.9946
57.000000 77.207 179.3171
58.000000 77.174 178.6892
59.000000 77.166 178.2294
60.000000 77.164 177.6023
60.799999 77.140 177.2086
61.500000 77.135 176.9470
62.200001 77.135 176.5483
63.000000 77.108 176.0350
64.000000 77.072 175.5432
65.000000 77.047 174.9470
66.000000 77.009 174.4111
67.000000 76.989 173.9226
68.000000 76.964 173.4483
69.000000 76.948 173.0451
70.000000 76.924 172.5950
71.000000 76.896 172.2110
72.000000 76.869 171.7609
73.000000 76.833 171.3220
74.000000 76.802 170.8939
75.000000 76.772 170.4710
76.199997 76.736 170.0064
77.500000 76.701 169.5322
78.800003 76.656 169.0889
80.000000 76.630 168.6846
81.199997 76.593 168.1788
82.500000 76.553 167.6933
83.800003 76.501 167.2568
85.000000 76.472 166.9547
86.199997 76.425 166.5012
87.500000 76.371 166.1792
88.500000 76.329 165.8656
90.000000 76.292 165.5461
91.199997 76.259 165.0887
92.500000 76.227 164.8385
93.800003 76.181 164.4002
95.000000 76.127 164.2811
96.199997 76.090 163.9760
97.500000 76.026 163.7843
98.800003 76.038 163.5041
100.000000 75.997 162.6930
101.500000 75.915 162.5969
103.000000 75.914 162.1444
104.400002 75.863 161.8433
106.000000 75.810 161.6048
107.500000 75.771 161.2628
109.000000 75.721 161.0024
110.599998 75.673 160.4926
112.000000 75.617 160.1746
113.800003 75.559 159.9371
115.000000 75.532 159.6198
117.199997 75.453 159.2869
118.000000 75.427 159.0986
120.599998 75.344 158.6762
122.000000 75.294 158.4250
124.099998 75.239 158.1280
125.000000 75.199 158.0760
126.500000 75.164 157.8474
128.000000 75.089 157.7323
131.500000 74.975 157.1534
132.000000 74.964 157.0917
134.000000 74.888 156.8538
136.000000 74.823 156.6408
138.000000 74.766 156.5072
140.000000 74.686 156.3893
143.000000 74.600 156.2237
145.000000 74.546 156.3002
147.500000 74.484 156.2004
150.000000 74.449 156.1923
152.500000 74.392 156.0097
155.000000 74.351 155.7233
157.500000 74.304 155.4955
160.000000 74.237 155.2426
162.500000 74.208 154.9107
165.000000 74.148 154.6557
167.500000 74.097 154.4337
170.000000 74.037 154.2041
172.500000 73.966 154.0029
175.000000 73.912 153.7597
177.500000 73.856 153.6624
180.000000 73.775 153.5359
182.500000 73.706 153.2747
185.000000 73.654 153.1707
187.500000 73.592 153.1838
190.000000 73.514 152.9823
192.500000 73.470 152.8983
195.000000 73.385 152.7052
197.500000 73.353 152.6451
200.000000 73.272 152.6382
203.000000 73.195 152.4776
206.000000 73.112 152.4271
209.000000 73.059 152.3678
212.000000 72.979 152.3265
214.000000 72.954 152.2834
218.000000 72.843 152.4146
220.000000 72.813 152.2864
224.000000 72.710 152.3559
227.000000 72.650 152.2997
230.000000 72.582 152.3435
233.000000 72.529 152.4713
236.000000 72.449 152.3268
240.000000 72.391 152.5489
243.000000 72.285 152.5759
247.000000 72.198 152.9414
250.000000 72.175 153.1172
254.000000 72.138 153.4455
258.000000 72.105 153.3768
262.000000 72.072 153.4890
265.000000 72.059 153.5027
269.000000 71.978 153.4505
272.000000 71.919 153.3048
276.000000 71.858 153.4444
280.000000 71.796 153.3968
285.000000 71.726 153.6235
290.000000 71.646 153.7340
295.000000 71.587 153.8752
300.000000 71.510 154.1661
304.000000 71.447 154.0654
307.000000 71.409 154.4338
311.000000 71.361 154.4832
315.000000 71.333 154.6357
