* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 14:46:52 13-07-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: EPZ K5 R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 84.514 121.3213
1.015000 84.335 120.4392
1.030000 84.149 119.5561
1.044000 83.969 118.7309
1.060000 83.754 117.7867
1.075000 83.545 116.9002
1.090000 83.327 116.0124
1.106000 83.087 115.0251
1.120000 82.878 113.9194
1.138000 82.615 112.1546
1.150000 82.440 110.7951
1.172000 82.120 108.0002
1.180000 82.003 106.9069
1.206000 81.617 103.1687
1.220000 81.404 101.0923
1.241000 81.074 97.9837
1.250000 80.929 96.6773
1.265000 80.678 94.5667
1.280000 80.418 92.5747
1.315000 79.763 88.6139
1.320000 79.664 88.1486
1.340000 79.248 86.5983
1.360000 78.802 85.6174
1.380000 78.322 85.3016
1.400000 77.806 85.7465
1.430000 76.956 88.0496
1.450000 76.334 90.8150
1.475000 75.475 95.8956
1.500000 74.412 103.4052
1.525000 73.155 113.1497
1.550000 71.745 124.7483
1.575000 70.226 137.8198
1.600000 68.639 151.9833
1.625000 67.026 166.8578
1.650000 65.429 -177.9378
1.675000 63.891 -162.7844
1.700000 62.453 -148.0628
1.725000 61.158 -134.1544
1.750000 60.047 -121.4399
1.775000 59.164 -110.3004
1.800000 58.549 -101.1168
1.825000 58.245 -94.2701
1.850000 58.293 -89.8529
1.875000 58.686 -87.2569
1.900000 59.380 -86.2529
1.925000 60.329 -86.6354
1.950000 61.487 -88.1989
1.975000 62.809 -90.7382
2.000000 64.248 -94.0474
2.030000 66.066 -98.7458
2.060000 67.909 -103.9022
2.090000 69.697 -109.1615
2.120000 71.353 -114.1688
2.140000 72.343 -117.1915
2.180000 73.948 -122.0067
2.200000 74.516 -123.5944
2.240000 75.363 -126.1678
2.270000 75.834 -127.9691
2.300000 76.183 -129.6735
2.330000 76.426 -131.2932
2.360000 76.582 -132.8403
2.400000 76.681 -134.8112
2.430000 76.696 -136.2362
2.470000 76.671 -138.0885
2.500000 76.641 -139.4576
2.540000 76.615 -141.2794
2.580000 76.635 -143.1255
2.620000 76.629 -145.0188
2.650000 76.595 -146.4514
2.690000 76.511 -148.3465
2.720000 76.419 -149.7351
2.760000 76.257 -151.5113
2.800000 76.053 -153.1654
2.850000 75.737 -155.0013
2.900000 75.354 -156.5079
2.950000 74.898 -157.6880
3.000000 74.311 -159.0967
3.040000 73.760 -160.2978
3.070000 73.314 -161.1300
3.110000 72.692 -162.0112
3.150000 72.057 -162.4750
3.200000 71.277 -162.2078
3.250000 70.551 -160.6885
3.300000 69.918 -157.5808
3.350000 69.287 -152.2257
3.400000 68.612 -144.8088
3.450000 67.951 -136.0541
3.500000 67.356 -126.6856
3.550000 66.885 -117.4272
3.600000 66.592 -109.0029
3.650000 66.533 -102.1365
3.700000 66.779 -97.0356
3.750000 67.347 -92.7858
3.820000 68.510 -88.0589
3.870000 69.477 -85.4619
3.950000 70.997 -82.4663
4.000000 71.785 -81.2108
4.060000 72.457 -80.3384
4.120000 72.994 -80.6130
4.180000 73.437 -81.8072
4.250000 73.849 -83.9172
4.310000 74.125 -85.9582
4.370000 74.340 -87.8613
4.440000 74.518 -89.7338
4.500000 74.589 -91.5033
4.550000 74.595 -93.0583
4.620000 74.531 -95.2377
4.680000 74.418 -96.9962
4.750000 74.231 -98.7751
4.820000 73.974 -100.3297
4.870000 73.734 -101.4427
4.940000 73.339 -102.8541
5.000000 72.959 -103.7885
5.080000 72.421 -104.4065
5.150000 71.935 -104.1534
5.220000 71.360 -103.2062
5.300000 70.636 -101.4201
5.380000 69.942 -99.0015
5.450000 69.442 -96.4634
5.520000 69.108 -93.5402
5.600000 68.883 -89.0746
5.700000 68.779 -82.6314
5.800000 68.831 -76.7534
5.900000 69.015 -72.9050
6.000000 69.425 -70.6283
6.080000 69.840 -69.6358
6.150000 70.191 -69.2911
6.220000 70.470 -69.3687
6.300000 70.701 -70.1106
6.400000 70.935 -72.0840
6.500000 71.092 -74.7291
6.600000 71.151 -77.5215
6.700000 71.102 -80.5706
6.800000 70.957 -83.9670
6.900000 70.739 -87.3953
7.000000 70.461 -90.6020
7.100000 70.095 -93.8162
7.200000 69.671 -96.8979
7.300000 69.235 -99.5921
7.400000 68.790 -101.7539
7.500000 68.303 -103.5180
7.620000 67.762 -105.1086
7.750000 67.346 -106.0919
7.880000 67.065 -106.0958
8.000000 66.947 -105.8989
8.120000 67.015 -106.0998
8.250000 67.310 -106.4496
8.380000 67.718 -107.2141
8.500000 68.121 -108.6167
8.620000 68.595 -110.6269
8.750000 69.110 -113.1203
8.850000 69.459 -115.0970
9.000000 69.947 -118.3826
9.120000 70.295 -120.9440
9.250000 70.612 -123.4000
9.380000 70.874 -125.6644
9.500000 71.086 -127.4307
9.620000 71.275 -128.7801
9.750000 71.449 -129.8459
9.880000 71.622 -130.5655
10.000000 71.792 -130.8916
10.150000 72.011 -130.8951
10.300000 72.252 -130.7631
10.440000 72.504 -130.4861
10.600000 72.800 -130.1309
10.750000 73.074 -129.9195
10.900000 73.345 -129.7593
11.060000 73.601 -129.6379
11.200000 73.801 -129.5891
11.380000 74.023 -129.4774
11.500000 74.146 -129.3487
11.720000 74.337 -129.0055
11.800000 74.400 -128.8282
12.060000 74.580 -128.1208
12.200000 74.673 -127.7248
12.410000 74.804 -127.1306
12.500000 74.855 -126.9209
12.650000 74.936 -126.6220
12.800000 75.003 -126.3820
13.150000 75.094 -126.0616
13.200000 75.100 -126.0240
13.400000 75.104 -125.8919
13.600000 75.092 -125.7575
13.800000 75.069 -125.5939
14.000000 75.049 -125.4858
14.300000 75.031 -125.4916
14.500000 75.027 -125.7283
14.750000 75.015 -126.3078
15.000000 74.988 -127.1940
15.250000 74.936 -128.2675
15.500000 74.871 -129.3915
15.750000 74.806 -130.4977
16.000000 74.763 -131.5261
16.250000 74.760 -132.5530
16.500000 74.798 -133.6252
16.750000 74.875 -134.8231
17.000000 74.972 -136.1300
17.250000 75.080 -137.4919
17.500000 75.188 -138.8276
17.750000 75.298 -140.0222
18.000000 75.412 -141.0506
18.250000 75.537 -141.8885
18.500000 75.673 -142.5844
18.750000 75.817 -143.1727
19.000000 75.964 -143.6849
19.250000 76.104 -144.1306
19.500000 76.233 -144.4957
19.750000 76.351 -144.7727
20.000000 76.458 -144.9597
20.299999 76.574 -145.1059
20.600000 76.677 -145.2122
20.900000 76.762 -145.3220
21.200001 76.824 -145.4478
21.400000 76.851 -145.5265
21.799999 76.879 -145.6566
22.000000 76.884 -145.7142
22.400000 76.890 -145.8682
22.700001 76.891 -146.0853
23.000000 76.886 -146.4305
23.299999 76.872 -146.8858
23.600000 76.850 -147.4130
24.000000 76.819 -148.1758
24.299999 76.806 -148.7880
24.700001 76.808 -149.6955
25.000000 76.822 -150.4622
25.400000 76.850 -151.5656
25.799999 76.884 -152.6580
26.200001 76.931 -153.6465
26.500000 76.977 -154.3089
26.900000 77.055 -155.1106
27.200001 77.120 -155.6647
27.600000 77.207 -156.3336
28.000000 77.289 -156.8990
28.500000 77.385 -157.4645
29.000000 77.467 -157.9322
29.500000 77.526 -158.3320
30.000000 77.563 -158.6603
30.400000 77.584 -158.9049
30.700001 77.596 -159.1131
31.100000 77.604 -159.4543
31.500000 77.599 -159.8584
32.000000 77.580 -160.3995
32.500000 77.562 -160.9637
33.000000 77.555 -161.6033
33.500000 77.555 -162.3399
34.000000 77.558 -163.1156
34.500000 77.570 -163.8722
35.000000 77.593 -164.6028
35.500000 77.621 -165.2998
36.000000 77.652 -165.9280
36.500000 77.685 -166.4767
37.000000 77.721 -166.9796
37.500000 77.751 -167.4568
38.200001 77.777 -168.0501
38.700001 77.790 -168.4315
39.500000 77.799 -169.0795
40.000000 77.794 -169.5020
40.599998 77.782 -169.9887
41.200001 77.776 -170.4808
41.799999 77.775 -171.0185
42.500000 77.778 -171.7000
43.099998 77.782 -172.3089
43.700001 77.782 -172.9002
44.400002 77.784 -173.5220
45.000000 77.791 -174.0258
45.500000 77.796 -174.4562
46.200001 77.792 -175.0444
46.799999 77.782 -175.4835
47.500000 77.776 -175.9299
48.200001 77.782 -176.4060
48.700001 77.785 -176.8113
49.400002 77.776 -177.4130
50.000000 77.759 -177.8489
50.799999 77.749 -178.3342
51.500000 77.748 -178.8030
52.200001 77.737 -179.2782
53.000000 77.721 -179.7551
53.799999 77.708 179.7686
54.500000 77.694 179.3176
55.200001 77.676 178.8337
56.000000 77.649 178.2990
57.000000 77.629 177.6736
58.000000 77.614 176.9658
59.000000 77.591 176.3421
60.000000 77.571 175.8203
60.799999 77.557 175.4560
61.500000 77.545 175.1315
62.200001 77.526 174.7892
63.000000 77.500 174.4192
64.000000 77.475 173.8915
65.000000 77.438 173.2713
66.000000 77.397 172.7275
67.000000 77.370 172.2475
68.000000 77.352 171.7656
69.000000 77.328 171.2936
70.000000 77.297 170.9142
71.000000 77.270 170.5300
72.000000 77.234 170.1321
73.000000 77.206 169.7112
74.000000 77.166 169.1950
75.000000 77.127 168.8065
76.199997 77.094 168.2511
77.500000 77.038 167.8626
78.800003 77.018 167.5032
80.000000 76.993 167.1413
81.199997 76.964 166.6190
82.500000 76.900 166.1791
83.800003 76.848 165.7882
85.000000 76.821 165.4471
86.199997 76.769 164.9306
87.500000 76.732 164.6891
88.500000 76.713 164.2633
90.000000 76.645 163.8565
91.199997 76.615 163.5875
92.500000 76.566 163.1939
93.800003 76.525 162.8761
95.000000 76.473 162.4331
96.199997 76.428 162.1563
97.500000 76.394 161.6996
98.800003 76.350 161.3651
100.000000 76.324 161.0005
101.500000 76.249 160.6935
103.000000 76.217 160.4007
104.400002 76.134 160.1209
106.000000 76.108 159.8756
107.500000 76.037 159.4722
109.000000 75.984 159.2179
110.599998 75.919 158.9383
112.000000 75.874 158.6485
113.800003 75.803 158.2694
115.000000 75.757 158.0503
117.199997 75.666 157.9025
118.000000 75.644 157.7506
120.599998 75.518 157.3959
122.000000 75.404 157.5020
124.099998 75.369 157.3770
125.000000 75.375 157.6001
126.500000 75.388 157.2118
128.000000 75.384 157.0809
131.500000 75.332 156.5241
132.000000 75.313 156.3758
134.000000 75.272 156.1782
136.000000 75.216 155.7057
138.000000 75.131 155.3511
140.000000 75.084 154.9299
143.000000 74.990 154.5370
145.000000 74.932 154.2777
147.500000 74.857 153.9642
150.000000 74.779 153.8657
152.500000 74.701 153.5820
155.000000 74.611 153.3093
157.500000 74.543 153.1449
160.000000 74.471 152.9412
162.500000 74.397 152.8940
165.000000 74.328 152.5195
167.500000 74.250 152.4855
170.000000 74.188 152.3171
172.500000 74.115 152.1722
175.000000 74.043 152.0018
177.500000 73.991 151.9070
180.000000 73.908 151.8305
182.500000 73.828 151.7645
185.000000 73.772 151.6143
187.500000 73.703 151.5428
190.000000 73.653 151.4231
192.500000 73.575 151.5018
195.000000 73.501 151.3353
197.500000 73.415 151.4175
200.000000 73.388 151.1442
203.000000 73.310 151.2245
206.000000 73.232 151.1655
209.000000 73.183 151.1597
212.000000 73.110 151.1499
214.000000 73.053 151.2797
218.000000 72.943 151.2038
220.000000 72.905 151.2110
224.000000 72.822 151.3683
227.000000 72.717 151.3369
230.000000 72.648 151.3537
233.000000 72.585 151.5802
236.000000 72.518 151.8185
240.000000 72.445 152.2047
243.000000 72.401 152.4710
247.000000 72.380 152.8045
250.000000 72.360 153.0259
254.000000 72.361 153.0020
258.000000 72.323 152.7944
262.000000 72.276 152.6745
265.000000 72.254 152.6253
269.000000 72.177 152.5757
272.000000 72.114 152.6546
276.000000 72.071 152.5567
280.000000 71.984 152.5393
285.000000 71.912 152.7158
290.000000 71.827 152.7680
295.000000 71.759 152.9657
300.000000 71.671 153.0822
304.000000 71.615 153.0921
307.000000 71.615 153.0063
311.000000 71.530 153.3513
315.000000 71.470 153.4835
320.000000 71.417 153.7503
