* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 13:59:47 15-06-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: EPZ Q1 Pro L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 86.481 123.9728
1.015000 86.293 123.1425
1.030000 86.097 122.3125
1.044000 85.906 121.5382
1.060000 85.678 120.6537
1.075000 85.455 119.8249
1.090000 85.222 118.9965
1.106000 84.962 118.0770
1.120000 84.727 117.0477
1.138000 84.412 115.4050
1.150000 84.196 114.1399
1.172000 83.785 111.5397
1.180000 83.632 110.5229
1.206000 83.118 107.0475
1.220000 82.833 105.1180
1.241000 82.393 102.2312
1.250000 82.201 101.0188
1.265000 81.875 99.0613
1.280000 81.543 97.2155
1.315000 80.747 93.5548
1.320000 80.631 93.1262
1.340000 80.161 91.7033
1.360000 79.683 90.8141
1.380000 79.197 90.5480
1.400000 78.705 90.9943
1.430000 77.954 93.1949
1.450000 77.447 95.8131
1.475000 76.796 100.6022
1.500000 76.047 107.6363
1.525000 75.201 116.7350
1.550000 74.283 127.5497
1.575000 73.316 139.7322
1.600000 72.324 152.9339
1.625000 71.333 166.8064
1.650000 70.365 -178.9986
1.675000 69.446 -164.8295
1.700000 68.599 -151.0348
1.725000 67.848 -137.9630
1.750000 67.218 -125.9623
1.775000 66.733 -115.3812
1.800000 66.416 -106.5682
1.825000 66.293 -99.8715
1.850000 66.392 -95.3615
1.875000 66.723 -92.4535
1.900000 67.255 -90.9471
1.925000 67.957 -90.6650
1.950000 68.800 -91.4303
1.975000 69.751 -93.0657
2.000000 70.781 -95.3941
2.030000 72.076 -98.8535
2.060000 73.387 -102.7496
2.090000 74.658 -106.7763
2.120000 75.838 -110.6276
2.140000 76.548 -112.9465
2.180000 77.710 -116.5793
2.200000 78.133 -117.7171
2.240000 78.782 -119.5802
2.270000 79.157 -120.9607
2.300000 79.448 -122.3228
2.330000 79.667 -123.6628
2.360000 79.825 -124.9771
2.400000 79.958 -126.6833
2.430000 80.015 -127.9234
2.470000 80.055 -129.5173
2.500000 80.072 -130.6634
2.540000 80.097 -132.1187
2.580000 80.143 -133.4940
2.620000 80.155 -134.8682
2.650000 80.134 -135.8926
2.690000 80.071 -137.2222
2.720000 80.000 -138.1729
2.760000 79.878 -139.3505
2.800000 79.729 -140.3931
2.850000 79.511 -141.4529
2.900000 79.267 -142.1785
2.950000 79.001 -142.5246
3.000000 78.660 -142.6402
3.040000 78.340 -142.5705
3.070000 78.083 -142.4081
3.110000 77.728 -142.0257
3.150000 77.373 -141.4319
3.200000 76.951 -140.3564
3.250000 76.580 -138.8672
3.300000 76.289 -136.9163
3.350000 76.047 -134.2190
3.400000 75.829 -130.7757
3.450000 75.643 -126.8488
3.500000 75.499 -122.7006
3.550000 75.408 -118.5933
3.600000 75.381 -114.7895
3.650000 75.426 -111.5513
3.700000 75.566 -108.9231
3.750000 75.818 -106.5256
3.820000 76.303 -103.5686
3.870000 76.700 -101.7747
3.950000 77.337 -99.5223
4.000000 77.688 -98.5383
4.060000 78.027 -97.8559
4.120000 78.344 -97.8271
4.180000 78.643 -98.3241
4.250000 78.958 -99.3583
4.310000 79.188 -100.4541
4.370000 79.371 -101.5767
4.440000 79.518 -102.8553
4.500000 79.595 -104.1703
4.550000 79.626 -105.3827
4.620000 79.626 -107.1630
4.680000 79.587 -108.6780
4.750000 79.503 -110.3186
4.820000 79.372 -111.8441
4.870000 79.243 -112.9561
4.940000 79.022 -114.4736
5.000000 78.805 -115.6716
5.080000 78.487 -117.0106
5.150000 78.193 -117.8470
5.220000 77.853 -118.4412
5.300000 77.424 -118.8531
5.380000 76.988 -118.9586
5.450000 76.634 -118.7820
5.520000 76.327 -118.3177
5.600000 75.995 -117.2479
5.700000 75.618 -115.4084
5.800000 75.327 -113.5350
5.900000 75.170 -112.0931
6.000000 75.159 -110.7162
6.080000 75.220 -109.7734
6.150000 75.298 -109.2284
6.220000 75.376 -109.0797
6.300000 75.479 -109.4578
6.400000 75.651 -110.5705
6.500000 75.829 -112.2196
6.600000 75.964 -114.2203
6.700000 76.054 -116.6917
6.800000 76.117 -119.6075
6.900000 76.148 -122.6924
7.000000 76.141 -125.7247
7.100000 76.091 -128.9023
7.200000 76.011 -132.1065
7.300000 75.915 -135.1191
7.400000 75.805 -137.8434
7.500000 75.669 -140.4088
7.620000 75.507 -143.1446
7.750000 75.373 -145.4976
7.880000 75.258 -147.2120
8.000000 75.199 -148.3986
8.120000 75.219 -149.3066
8.250000 75.321 -149.8433
8.380000 75.488 -150.2523
8.500000 75.695 -150.7747
8.620000 75.964 -151.3141
8.750000 76.277 -152.0054
8.850000 76.507 -152.6880
9.000000 76.865 -153.9350
9.120000 77.132 -154.9962
9.250000 77.381 -156.1432
9.380000 77.597 -157.3331
9.500000 77.769 -158.3329
9.620000 77.911 -159.1707
9.750000 78.031 -159.9488
9.880000 78.135 -160.5403
10.000000 78.219 -160.8797
10.150000 78.308 -161.0726
10.300000 78.400 -161.1046
10.440000 78.489 -160.9582
10.600000 78.593 -160.7052
10.750000 78.696 -160.4796
10.900000 78.800 -160.2403
11.060000 78.898 -160.0482
11.200000 78.974 -159.9337
11.380000 79.053 -159.8156
11.500000 79.089 -159.7548
11.720000 79.128 -159.6490
11.800000 79.135 -159.5968
12.060000 79.131 -159.4063
12.200000 79.121 -159.3015
12.410000 79.093 -159.1591
12.500000 79.078 -159.1304
12.650000 79.049 -159.1167
12.800000 79.013 -159.1587
13.150000 78.888 -159.5146
13.200000 78.866 -159.5836
13.400000 78.764 -159.9102
13.600000 78.651 -160.2703
13.800000 78.530 -160.6401
14.000000 78.416 -161.0491
14.300000 78.265 -161.7729
14.500000 78.186 -162.4150
14.750000 78.103 -163.4505
15.000000 78.033 -164.7536
15.250000 77.960 -166.2558
15.500000 77.886 -167.8098
15.750000 77.817 -169.3273
16.000000 77.767 -170.6881
16.250000 77.752 -171.9097
16.500000 77.777 -173.0262
16.750000 77.844 -174.1183
17.000000 77.931 -175.2330
17.250000 78.027 -176.3457
17.500000 78.114 -177.4121
17.750000 78.188 -178.3094
18.000000 78.251 -178.9980
18.250000 78.312 -179.4352
18.500000 78.381 -179.6814
18.750000 78.458 -179.8155
19.000000 78.541 -179.9113
19.250000 78.615 179.9546
19.500000 78.670 179.8017
19.750000 78.700 179.6459
20.000000 78.701 179.5560
20.299999 78.677 179.5674
20.600000 78.638 179.6952
20.900000 78.596 179.8671
21.200001 78.556 179.9651
21.400000 78.525 179.9392
21.799999 78.444 179.6607
22.000000 78.390 179.4242
22.400000 78.253 178.8385
22.700001 78.135 178.3648
23.000000 78.018 177.8904
23.299999 77.915 177.3972
23.600000 77.831 176.8517
24.000000 77.755 175.9853
24.299999 77.721 175.2050
24.700001 77.693 174.0118
25.000000 77.678 173.0662
25.400000 77.658 171.8634
25.799999 77.643 170.8654
26.200001 77.647 170.1263
26.500000 77.665 169.7076
26.900000 77.705 169.2560
27.200001 77.738 168.9634
27.600000 77.774 168.6365
28.000000 77.795 168.4087
28.500000 77.803 168.2389
29.000000 77.787 168.0821
29.500000 77.733 167.8920
30.000000 77.640 167.7429
30.400000 77.555 167.6683
30.700001 77.492 167.5983
31.100000 77.411 167.4152
31.500000 77.329 167.1088
32.000000 77.221 166.6207
32.500000 77.123 166.1015
33.000000 77.050 165.5250
33.500000 76.999 164.8372
34.000000 76.954 164.1035
34.500000 76.913 163.4557
35.000000 76.884 162.9411
35.500000 76.866 162.5260
36.000000 76.853 162.1806
36.500000 76.836 161.8941
37.000000 76.810 161.6456
37.500000 76.769 161.4364
38.200001 76.687 161.2732
38.700001 76.629 161.2141
39.500000 76.537 160.9517
40.000000 76.462 160.7065
40.599998 76.367 160.4952
41.200001 76.298 160.3451
41.799999 76.258 160.0661
42.500000 76.212 159.5559
43.099998 76.163 159.1355
43.700001 76.118 158.7797
44.400002 76.068 158.3591
45.000000 76.014 157.9978
45.500000 75.961 157.7594
46.200001 75.891 157.5064
46.799999 75.839 157.2473
47.500000 75.768 156.8987
48.200001 75.696 156.6568
48.700001 75.658 156.5132
49.400002 75.613 156.2327
50.000000 75.564 156.0245
50.799999 75.504 155.9611
51.500000 75.471 155.9256
52.200001 75.428 155.8188
53.000000 75.356 155.7225
53.799999 75.268 155.6689
54.500000 75.188 155.6441
55.200001 75.117 155.5370
56.000000 75.029 155.2626
57.000000 74.916 154.9767
58.000000 74.841 154.6858
59.000000 74.776 154.3651
60.000000 74.712 154.1572
60.799999 74.657 154.0697
61.500000 74.604 154.0394
62.200001 74.549 154.0296
63.000000 74.482 153.9627
64.000000 74.373 153.8556
65.000000 74.291 153.8866
66.000000 74.232 153.5147
67.000000 74.103 153.2531
68.000000 74.025 153.5332
69.000000 73.994 153.4774
70.000000 73.897 153.4688
71.000000 73.844 153.8181
72.000000 73.802 153.6153
73.000000 73.674 153.6573
74.000000 73.635 153.9831
75.000000 73.573 153.6647
76.199997 73.445 154.0423
77.500000 73.404 154.2062
78.800003 73.323 154.5053
80.000000 73.280 154.5726
81.199997 73.229 154.6350
82.500000 73.150 154.5368
83.800003 73.105 154.8120
85.000000 73.085 154.5719
86.199997 72.997 154.4856
87.500000 72.958 154.5363
88.500000 72.878 154.3834
90.000000 72.832 155.1111
91.199997 72.832 154.8936
92.500000 72.761 155.2225
93.800003 72.756 155.2349
95.000000 72.689 155.2015
96.199997 72.653 155.1279
97.500000 72.571 154.9525
98.800003 72.531 154.9544
100.000000 72.466 154.8262
101.500000 72.399 155.0116
103.000000 72.340 155.2518
104.400002 72.296 155.2959
106.000000 72.212 155.4023
107.500000 72.157 155.5341
109.000000 72.094 155.6495
110.599998 72.021 155.8214
112.000000 71.975 155.9953
113.800003 71.928 156.2086
115.000000 71.887 156.2560
117.199997 71.819 156.4956
118.000000 71.802 156.6236
120.599998 71.734 156.7105
122.000000 71.710 156.8773
124.099998 71.670 156.8921
125.000000 71.632 156.9111
126.500000 71.586 157.1349
128.000000 71.539 157.0927
131.500000 71.446 157.1113
132.000000 71.426 157.0684
134.000000 71.355 157.2988
136.000000 71.278 157.4186
138.000000 71.238 157.6767
140.000000 71.155 157.8334
143.000000 71.082 157.9113
145.000000 71.028 158.1651
147.500000 70.973 158.4712
150.000000 70.888 158.7990
152.500000 70.827 158.9949
155.000000 70.765 159.0593
157.500000 70.711 159.3871
160.000000 70.644 159.5709
162.500000 70.576 159.9015
165.000000 70.513 160.1689
167.500000 70.474 160.5040
170.000000 70.426 160.7594
172.500000 70.346 161.0875
175.000000 70.310 161.2820
177.500000 70.232 161.4903
180.000000 70.193 161.7686
182.500000 70.160 162.0413
185.000000 70.109 162.3820
187.500000 70.067 162.6086
190.000000 69.993 162.8823
192.500000 69.953 163.1502
195.000000 69.922 163.3528
197.500000 69.886 163.8950
200.000000 69.846 164.1352
203.000000 69.791 164.5567
206.000000 69.738 164.7632
209.000000 69.725 165.3165
212.000000 69.688 165.7592
214.000000 69.654 166.0877
218.000000 69.609 166.6413
220.000000 69.627 166.6851
224.000000 69.624 167.3918
227.000000 69.608 167.5967
230.000000 69.575 167.8668
233.000000 69.560 168.2081
236.000000 69.513 168.4012
240.000000 69.515 168.6389
243.000000 69.480 168.8435
247.000000 69.478 169.2643
250.000000 69.453 169.5239
254.000000 69.412 169.8582
258.000000 69.387 169.9755
262.000000 69.408 170.5322
265.000000 69.345 170.7168
269.000000 69.287 171.0536
272.000000 69.276 171.1456
276.000000 69.229 171.4420
280.000000 69.213 171.8679
285.000000 69.186 172.1944
290.000000 69.149 172.3130
295.000000 69.117 173.0118
300.000000 69.076 173.3729
304.000000 69.014 173.8469
307.000000 69.019 173.9865
311.000000 69.006 174.1962
315.000000 68.992 174.5815
320.000000 68.983 175.0010
325.000000 68.956 175.3979
330.000000 68.903 175.8407
335.000000 68.911 176.3131
340.000000 68.869 176.7191
345.000000 68.832 177.0527
