* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 13:57:48 15-06-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: EPZ Q1 Pro R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 84.127 121.1345
1.015000 83.938 120.2063
1.030000 83.741 119.2692
1.044000 83.550 118.3859
1.060000 83.321 117.3654
1.075000 83.097 116.3973
1.090000 82.864 115.4174
1.106000 82.603 114.3848
1.120000 82.364 113.6336
1.138000 82.043 112.8856
1.150000 81.820 112.5022
1.172000 81.395 111.9874
1.180000 81.236 111.8472
1.206000 80.702 111.4994
1.220000 80.405 111.3449
1.241000 79.948 111.0971
1.250000 79.749 110.9692
1.265000 79.412 110.7059
1.280000 79.070 110.3566
1.315000 78.256 109.0570
1.320000 78.139 108.8015
1.340000 77.665 107.5648
1.360000 77.189 105.9375
1.380000 76.711 103.8563
1.400000 76.233 101.2577
1.430000 75.520 96.2510
1.450000 75.048 92.0815
1.475000 74.458 85.7786
1.500000 73.796 77.8773
1.525000 73.063 68.5053
1.550000 72.278 57.9062
1.575000 71.460 46.3235
1.600000 70.628 34.0007
1.625000 69.801 21.1814
1.650000 69.000 8.1090
1.675000 68.242 -4.9728
1.700000 67.548 -17.8207
1.725000 66.937 -30.1910
1.750000 66.427 -41.8402
1.775000 66.039 -52.5248
1.800000 65.792 -62.0013
1.825000 65.704 -70.0262
1.850000 65.801 -76.5881
1.875000 66.096 -82.1712
1.900000 66.563 -86.8913
1.925000 67.175 -90.8436
1.950000 67.906 -94.1236
1.975000 68.730 -96.8266
2.000000 69.621 -99.0479
2.030000 70.741 -101.2121
2.060000 71.873 -102.9848
2.090000 72.973 -104.5310
2.120000 73.994 -106.0152
2.140000 74.609 -107.0518
2.180000 75.619 -109.4574
2.200000 75.989 -110.9210
2.240000 76.564 -113.7910
2.270000 76.901 -115.7068
2.300000 77.168 -117.4439
2.330000 77.374 -119.0239
2.360000 77.526 -120.4684
2.400000 77.663 -122.2211
2.430000 77.727 -123.4337
2.470000 77.777 -124.9558
2.500000 77.800 -126.0544
2.540000 77.827 -127.5032
2.580000 77.863 -128.9751
2.620000 77.862 -130.4452
2.650000 77.832 -131.5221
2.690000 77.757 -132.8963
2.720000 77.677 -133.8622
2.760000 77.544 -135.0361
2.800000 77.385 -136.0488
2.850000 77.159 -137.0358
2.900000 76.913 -137.6508
2.950000 76.649 -137.8440
3.000000 76.311 -137.7152
3.040000 75.994 -137.3951
3.070000 75.740 -137.0242
3.110000 75.392 -136.3498
3.150000 75.049 -135.4641
3.200000 74.651 -134.0498
3.250000 74.317 -132.2825
3.300000 74.077 -130.1473
3.350000 73.911 -127.3334
3.400000 73.790 -123.8100
3.450000 73.716 -119.8441
3.500000 73.689 -115.7030
3.550000 73.713 -111.6535
3.600000 73.788 -107.9627
3.650000 73.915 -104.8977
3.700000 74.114 -102.5276
3.750000 74.410 -100.5034
3.820000 74.937 -98.1955
3.870000 75.354 -96.9041
3.950000 76.014 -95.4190
4.000000 76.376 -94.8328
4.060000 76.728 -94.4985
4.120000 77.049 -94.7345
4.180000 77.346 -95.4360
4.250000 77.653 -96.6492
4.310000 77.877 -97.8614
4.370000 78.059 -99.0796
4.440000 78.211 -100.4480
4.500000 78.294 -101.8016
4.550000 78.333 -103.0223
4.620000 78.344 -104.7863
4.680000 78.320 -106.2691
4.750000 78.257 -107.8605
4.820000 78.152 -109.3195
4.870000 78.044 -110.3637
4.940000 77.857 -111.7686
5.000000 77.672 -112.8633
5.080000 77.406 -114.0712
5.150000 77.165 -114.8109
5.220000 76.888 -115.2945
5.300000 76.540 -115.5757
5.380000 76.191 -115.5814
5.450000 75.914 -115.3721
5.520000 75.685 -114.9519
5.600000 75.449 -114.0288
5.700000 75.197 -112.4683
5.800000 75.019 -110.9161
5.900000 74.945 -109.7864
6.000000 74.991 -108.7884
6.080000 75.085 -108.1511
6.150000 75.185 -107.8267
6.220000 75.282 -107.8152
6.300000 75.399 -108.2387
6.400000 75.578 -109.2935
6.500000 75.757 -110.7766
6.600000 75.896 -112.5232
6.700000 75.994 -114.6327
6.800000 76.064 -117.0866
6.900000 76.104 -119.6531
7.000000 76.109 -122.1448
7.100000 76.072 -124.7230
7.200000 76.007 -127.2961
7.300000 75.927 -129.6913
7.400000 75.835 -131.8248
7.500000 75.720 -133.7952
7.620000 75.583 -135.8745
7.750000 75.474 -137.6635
7.880000 75.387 -138.9427
8.000000 75.347 -139.8451
8.120000 75.373 -140.6042
8.250000 75.469 -141.1468
8.380000 75.616 -141.6471
8.500000 75.789 -142.2715
8.620000 76.009 -142.9646
8.750000 76.262 -143.8240
8.850000 76.446 -144.6011
9.000000 76.728 -145.9595
9.120000 76.937 -147.0896
9.250000 77.131 -148.2878
9.380000 77.299 -149.5039
9.500000 77.433 -150.5286
9.620000 77.545 -151.4002
9.750000 77.643 -152.2174
9.880000 77.731 -152.8719
10.000000 77.806 -153.2993
10.150000 77.892 -153.6338
10.300000 77.983 -153.8442
10.440000 78.074 -153.9042
10.600000 78.182 -153.9099
10.750000 78.287 -153.9354
10.900000 78.392 -153.9562
11.060000 78.492 -154.0248
11.200000 78.571 -154.1262
11.380000 78.654 -154.2661
11.500000 78.696 -154.3624
11.720000 78.749 -154.5222
11.800000 78.762 -154.5614
12.060000 78.784 -154.6474
12.200000 78.790 -154.6821
12.410000 78.791 -154.7348
12.500000 78.789 -154.7831
12.650000 78.783 -154.8890
12.800000 78.771 -155.0386
13.150000 78.709 -155.5948
13.200000 78.697 -155.6878
13.400000 78.635 -156.0979
13.600000 78.563 -156.5251
13.800000 78.483 -156.9485
14.000000 78.408 -157.3876
14.300000 78.309 -158.1046
14.500000 78.261 -158.6898
14.750000 78.212 -159.5929
15.000000 78.173 -160.6991
15.250000 78.131 -161.9680
15.500000 78.086 -163.2910
15.750000 78.039 -164.6018
16.000000 78.003 -165.8059
16.250000 77.988 -166.9038
16.500000 77.999 -167.9143
16.750000 78.040 -168.8875
17.000000 78.099 -169.8640
17.250000 78.169 -170.8365
17.500000 78.238 -171.7877
17.750000 78.302 -172.6490
18.000000 78.359 -173.3943
18.250000 78.412 -173.9950
18.500000 78.466 -174.4682
18.750000 78.519 -174.8437
19.000000 78.570 -175.1490
19.250000 78.615 -175.4136
19.500000 78.649 -175.6363
19.750000 78.673 -175.8173
20.000000 78.686 -175.9509
20.299999 78.690 -176.0696
20.600000 78.684 -176.1760
20.900000 78.668 -176.3118
21.200001 78.639 -176.5063
21.400000 78.610 -176.6652
21.799999 78.534 -177.0310
22.000000 78.489 -177.2317
22.400000 78.398 -177.6781
22.700001 78.331 -178.0894
23.000000 78.268 -178.6009
23.299999 78.204 -179.2071
23.600000 78.140 -179.8740
24.000000 78.057 179.2096
24.299999 78.006 178.5359
24.700001 77.961 177.6477
25.000000 77.945 176.9652
25.400000 77.939 176.0274
25.799999 77.939 175.1163
26.200001 77.941 174.3180
26.500000 77.947 173.8190
26.900000 77.962 173.2737
27.200001 77.976 172.9305
27.600000 77.993 172.5387
28.000000 78.003 172.2178
28.500000 78.003 171.9012
29.000000 77.984 171.6229
29.500000 77.942 171.3479
30.000000 77.877 171.0951
30.400000 77.817 170.9023
30.700001 77.772 170.7354
31.100000 77.712 170.4410
31.500000 77.647 170.0579
32.000000 77.560 169.5111
32.500000 77.476 168.9559
33.000000 77.410 168.3801
33.500000 77.360 167.7452
34.000000 77.318 167.0858
34.500000 77.282 166.4767
35.000000 77.254 165.9424
35.500000 77.232 165.4687
36.000000 77.208 165.0630
36.500000 77.181 164.7461
37.000000 77.151 164.5026
37.500000 77.118 164.2902
38.200001 77.060 163.9927
38.700001 77.008 163.7664
39.500000 76.907 163.3763
40.000000 76.840 163.1259
40.599998 76.764 162.7942
41.200001 76.689 162.3944
41.799999 76.612 161.9985
42.500000 76.535 161.6378
43.099998 76.492 161.3192
43.700001 76.449 160.9466
44.400002 76.391 160.5881
45.000000 76.349 160.3349
45.500000 76.309 160.0770
46.200001 76.221 159.7930
46.799999 76.146 159.7876
47.500000 76.098 159.6867
48.200001 76.008 159.2274
48.700001 75.887 159.0954
49.400002 75.745 159.6863
50.000000 75.751 160.2753
50.799999 75.815 159.9561
51.500000 75.755 159.2589
52.200001 75.649 159.0750
53.000000 75.585 159.1107
53.799999 75.538 159.0435
54.500000 75.518 159.0663
55.200001 75.536 158.8913
56.000000 75.536 158.3704
57.000000 75.495 157.7972
58.000000 75.451 157.3434
59.000000 75.402 156.9349
60.000000 75.321 156.5508
60.799999 75.247 156.4352
61.500000 75.192 156.3173
62.200001 75.129 156.1406
63.000000 75.056 155.9567
64.000000 74.969 155.6086
65.000000 74.882 155.3243
66.000000 74.810 154.8827
67.000000 74.693 154.7051
68.000000 74.654 154.8390
69.000000 74.605 154.5413
70.000000 74.520 154.5656
71.000000 74.474 154.4651
72.000000 74.371 154.3233
73.000000 74.304 154.5200
74.000000 74.267 154.3540
75.000000 74.178 154.1732
76.199997 74.084 154.3095
77.500000 74.013 154.3598
78.800003 73.936 154.3550
80.000000 73.856 154.2767
81.199997 73.795 154.3529
82.500000 73.728 154.1094
83.800003 73.641 154.2141
85.000000 73.582 154.1833
86.199997 73.511 154.2484
87.500000 73.439 154.1803
88.500000 73.374 154.2285
90.000000 73.298 154.2762
91.199997 73.239 154.4719
92.500000 73.191 154.4764
93.800003 73.109 154.7145
95.000000 73.077 154.5532
96.199997 72.948 154.6040
97.500000 72.947 154.7763
98.800003 72.895 154.6995
100.000000 72.910 154.3469
101.500000 72.732 154.6201
103.000000 72.778 154.9006
104.400002 72.666 154.8997
106.000000 72.598 155.0783
107.500000 72.525 155.1467
109.000000 72.446 155.1224
110.599998 72.387 155.5264
112.000000 72.318 155.4501
113.800003 72.277 155.9489
115.000000 72.214 156.0796
117.199997 72.177 156.1065
118.000000 72.134 156.2870
120.599998 72.107 156.5717
122.000000 72.081 156.5951
124.099998 72.037 156.4316
125.000000 71.981 156.5873
126.500000 71.951 156.6390
128.000000 71.920 156.7529
131.500000 71.798 156.4207
132.000000 71.762 156.4904
134.000000 71.749 156.9476
136.000000 71.665 157.2783
138.000000 71.556 157.2028
140.000000 71.494 157.3105
143.000000 71.402 157.5575
145.000000 71.369 157.6099
147.500000 71.276 157.8903
150.000000 71.203 158.0753
152.500000 71.141 158.0737
155.000000 71.068 158.3841
157.500000 71.025 158.7407
160.000000 70.939 158.9799
162.500000 70.868 159.1076
165.000000 70.826 159.4618
167.500000 70.744 159.8251
170.000000 70.689 160.0350
172.500000 70.626 160.1503
175.000000 70.589 160.3227
177.500000 70.503 160.7832
180.000000 70.470 161.1779
182.500000 70.424 161.3775
185.000000 70.365 161.7447
187.500000 70.328 162.2971
190.000000 70.275 162.6465
192.500000 70.281 163.0657
195.000000 70.239 163.3260
197.500000 70.236 163.5721
200.000000 70.241 163.6348
203.000000 70.208 163.7812
206.000000 70.144 164.0130
209.000000 70.114 164.1510
212.000000 70.080 164.4691
214.000000 70.028 164.7396
218.000000 69.987 165.0744
220.000000 69.965 165.4796
224.000000 69.908 165.5478
227.000000 69.845 165.9637
230.000000 69.821 166.2946
233.000000 69.801 166.6652
236.000000 69.732 166.7734
240.000000 69.704 167.2084
243.000000 69.685 167.3828
247.000000 69.645 167.9646
250.000000 69.618 168.1255
254.000000 69.549 168.5266
258.000000 69.498 168.7982
262.000000 69.492 169.0931
265.000000 69.459 169.4847
269.000000 69.395 169.7390
272.000000 69.390 170.0896
276.000000 69.369 170.2649
280.000000 69.347 170.5879
285.000000 69.274 171.2203
290.000000 69.260 171.7209
295.000000 69.192 172.0981
300.000000 69.151 172.6269
304.000000 69.130 172.8435
307.000000 69.107 173.2340
311.000000 69.072 173.8969
315.000000 69.059 174.4438
320.000000 69.066 174.7707
325.000000 69.101 175.4120
330.000000 69.085 175.4688
335.000000 69.076 175.9960
