* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 11:59:42 15-06-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: EPZ Q5 L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 84.235 121.3287
1.015000 84.041 120.4026
1.030000 83.839 119.4670
1.044000 83.642 118.5846
1.060000 83.406 117.5644
1.075000 83.175 116.5959
1.090000 82.934 115.6148
1.106000 82.663 114.5810
1.120000 82.412 113.8342
1.138000 82.070 113.0998
1.150000 81.831 112.7295
1.172000 81.373 112.2455
1.180000 81.200 112.1182
1.206000 80.619 111.8158
1.220000 80.295 111.6869
1.241000 79.797 111.4764
1.250000 79.580 111.3636
1.265000 79.214 111.1235
1.280000 78.845 110.7941
1.315000 77.974 109.5223
1.320000 77.849 109.2681
1.340000 77.350 108.0285
1.360000 76.855 106.3837
1.380000 76.365 104.2678
1.400000 75.884 101.6151
1.430000 75.184 96.4857
1.450000 74.736 92.2033
1.475000 74.194 85.7163
1.500000 73.609 77.5523
1.525000 72.977 67.8443
1.550000 72.315 56.8500
1.575000 71.636 44.8274
1.600000 70.956 32.0343
1.625000 70.289 18.7287
1.650000 69.650 5.1684
1.675000 69.053 -8.3887
1.700000 68.515 -21.6849
1.725000 68.048 -34.4621
1.750000 67.669 -46.4625
1.775000 67.392 -57.4283
1.800000 67.232 -67.1016
1.825000 67.204 -75.2245
1.850000 67.330 -81.7744
1.875000 67.629 -87.2427
1.900000 68.079 -91.7587
1.925000 68.655 -95.4314
1.950000 69.336 -98.3699
1.975000 70.097 -100.6833
2.000000 70.915 -102.4804
2.030000 71.940 -104.1091
2.060000 72.974 -105.3398
2.090000 73.978 -106.3610
2.120000 74.910 -107.3609
2.140000 75.472 -108.1088
2.180000 76.400 -110.0506
2.200000 76.743 -111.3528
2.240000 77.281 -113.9922
2.270000 77.598 -115.7898
2.300000 77.852 -117.4483
2.330000 78.048 -118.9829
2.360000 78.197 -120.4087
2.400000 78.333 -122.1667
2.430000 78.399 -123.3976
2.470000 78.454 -124.9509
2.500000 78.481 -126.0695
2.540000 78.512 -127.5281
2.580000 78.550 -128.9798
2.620000 78.552 -130.4198
2.650000 78.525 -131.4733
2.690000 78.456 -132.8179
2.720000 78.382 -133.7646
2.760000 78.258 -134.9198
2.800000 78.110 -135.9247
2.850000 77.900 -136.9224
2.900000 77.671 -137.5772
2.950000 77.426 -137.8440
3.000000 77.115 -137.8133
3.040000 76.824 -137.5875
3.070000 76.591 -137.2970
3.110000 76.271 -136.7432
3.150000 75.955 -135.9938
3.200000 75.586 -134.7729
3.250000 75.271 -133.2255
3.300000 75.040 -131.3380
3.350000 74.870 -128.8362
3.400000 74.735 -125.6932
3.450000 74.640 -122.1451
3.500000 74.588 -118.4275
3.550000 74.582 -114.7764
3.600000 74.625 -111.4276
3.650000 74.722 -108.6170
3.700000 74.889 -106.3952
3.750000 75.148 -104.4381
3.820000 75.617 -102.1230
3.870000 75.992 -100.7788
3.950000 76.590 -99.1767
4.000000 76.921 -98.5250
4.060000 77.246 -98.1381
4.120000 77.549 -98.3068
4.180000 77.833 -98.9272
4.250000 78.132 -100.0412
4.310000 78.352 -101.1754
4.370000 78.531 -102.3323
4.440000 78.680 -103.6565
4.500000 78.763 -104.9844
4.550000 78.803 -106.1918
4.620000 78.818 -107.9499
4.680000 78.798 -109.4399
4.750000 78.740 -111.0550
4.820000 78.641 -112.5541
4.870000 78.538 -113.6366
4.940000 78.358 -115.1085
5.000000 78.179 -116.2734
5.080000 77.919 -117.5933
5.150000 77.682 -118.4495
5.220000 77.408 -119.0771
5.300000 77.061 -119.5478
5.380000 76.711 -119.7530
5.450000 76.429 -119.7131
5.520000 76.189 -119.4484
5.600000 75.934 -118.7112
5.700000 75.651 -117.3786
5.800000 75.439 -116.0110
5.900000 75.334 -114.9828
6.000000 75.346 -114.0021
6.080000 75.413 -113.3389
6.150000 75.492 -112.9769
6.220000 75.574 -112.9251
6.300000 75.680 -113.2936
6.400000 75.851 -114.2524
6.500000 76.028 -115.6327
6.600000 76.168 -117.2953
6.700000 76.272 -119.3415
6.800000 76.353 -121.7431
6.900000 76.405 -124.2692
7.000000 76.420 -126.7336
7.100000 76.396 -129.2999
7.200000 76.344 -131.8721
7.300000 76.276 -134.2725
7.400000 76.193 -136.4167
7.500000 76.086 -138.4074
7.620000 75.956 -140.5112
7.750000 75.849 -142.3130
7.880000 75.760 -143.5988
8.000000 75.714 -144.4910
8.120000 75.733 -145.2111
8.250000 75.818 -145.6814
8.380000 75.954 -146.0896
8.500000 76.119 -146.6162
8.620000 76.333 -147.1936
8.750000 76.580 -147.9264
8.850000 76.761 -148.6159
9.000000 77.039 -149.8487
9.120000 77.247 -150.8892
9.250000 77.439 -152.0076
9.380000 77.604 -153.1591
9.500000 77.735 -154.1333
9.620000 77.843 -154.9628
9.750000 77.934 -155.7447
9.880000 78.013 -156.3650
10.000000 78.080 -156.7596
10.150000 78.153 -157.0531
10.300000 78.230 -157.2138
10.440000 78.309 -157.2184
10.600000 78.402 -157.1540
10.750000 78.494 -157.1076
10.900000 78.589 -157.0518
11.060000 78.678 -157.0420
11.200000 78.749 -157.0764
11.380000 78.824 -157.1368
11.500000 78.860 -157.1857
11.720000 78.904 -157.2671
11.800000 78.914 -157.2806
12.060000 78.926 -157.2920
12.200000 78.927 -157.2899
12.410000 78.920 -157.2918
12.500000 78.915 -157.3191
12.650000 78.903 -157.3918
12.800000 78.885 -157.5094
13.150000 78.812 -157.9957
13.200000 78.797 -158.0787
13.400000 78.728 -158.4496
13.600000 78.650 -158.8355
13.800000 78.563 -159.2143
14.000000 78.482 -159.6053
14.300000 78.376 -160.2442
14.500000 78.325 -160.7766
14.750000 78.274 -161.6175
15.000000 78.234 -162.6676
15.250000 78.191 -163.8866
15.500000 78.144 -165.1608
15.750000 78.097 -166.4201
16.000000 78.058 -167.5640
16.250000 78.042 -168.5930
16.500000 78.053 -169.5280
16.750000 78.096 -170.4244
17.000000 78.157 -171.3300
17.250000 78.230 -172.2393
17.500000 78.302 -173.1360
17.750000 78.366 -173.9463
18.000000 78.424 -174.6401
18.250000 78.476 -175.1842
18.500000 78.529 -175.5937
18.750000 78.582 -175.9009
19.000000 78.634 -176.1360
19.250000 78.681 -176.3357
19.500000 78.719 -176.5013
19.750000 78.746 -176.6353
20.000000 78.762 -176.7312
20.299999 78.768 -176.8117
20.600000 78.762 -176.8815
20.900000 78.745 -176.9757
21.200001 78.714 -177.1191
21.400000 78.684 -177.2383
21.799999 78.608 -177.5140
22.000000 78.565 -177.6672
22.400000 78.478 -178.0213
22.700001 78.417 -178.3730
23.000000 78.360 -178.8373
23.299999 78.302 -179.4082
23.600000 78.243 179.9524
24.000000 78.165 179.0702
24.299999 78.116 178.4279
24.700001 78.074 177.5929
25.000000 78.061 176.9557
25.400000 78.062 176.0758
25.799999 78.070 175.2095
26.200001 78.081 174.4410
26.500000 78.092 173.9588
26.900000 78.112 173.4351
27.200001 78.130 173.1102
27.600000 78.153 172.7439
28.000000 78.168 172.4462
28.500000 78.173 172.1577
29.000000 78.159 171.9202
29.500000 78.122 171.7039
30.000000 78.065 171.5119
30.400000 78.013 171.3592
30.700001 77.972 171.2194
31.100000 77.918 170.9668
31.500000 77.860 170.6351
32.000000 77.785 170.1473
32.500000 77.716 169.6093
33.000000 77.659 169.0057
33.500000 77.609 168.3461
34.000000 77.562 167.7130
34.500000 77.527 167.1723
35.000000 77.509 166.6994
35.500000 77.502 166.2436
36.000000 77.492 165.8146
36.500000 77.475 165.4499
37.000000 77.453 165.1519
37.500000 77.424 164.9019
38.200001 77.371 164.6246
38.700001 77.331 164.4520
39.500000 77.263 164.1017
40.000000 77.215 163.8360
40.599998 77.158 163.4923
41.200001 77.104 163.0861
41.799999 77.047 162.6296
42.500000 76.977 162.1551
43.099998 76.928 161.8166
43.700001 76.889 161.4716
44.400002 76.842 161.0611
45.000000 76.798 160.7366
45.500000 76.760 160.4838
46.200001 76.701 160.1620
46.799999 76.649 159.9221
47.500000 76.594 159.6443
48.200001 76.543 159.3262
48.700001 76.505 159.0620
49.400002 76.442 158.6646
50.000000 76.377 158.4034
50.799999 76.301 158.2673
51.500000 76.266 158.1575
52.200001 76.234 157.8855
53.000000 76.171 157.5111
53.799999 76.090 157.2659
54.500000 76.030 157.1108
55.200001 75.978 156.8900
56.000000 75.911 156.5836
57.000000 75.829 156.2666
58.000000 75.760 155.9412
59.000000 75.685 155.6585
60.000000 75.613 155.4957
60.799999 75.561 155.3540
61.500000 75.504 155.1884
62.200001 75.436 155.0975
63.000000 75.373 155.0587
64.000000 75.304 154.8304
65.000000 75.220 154.6389
66.000000 75.162 154.4606
67.000000 75.091 154.1912
68.000000 75.013 154.1408
69.000000 74.962 154.0748
70.000000 74.885 153.8768
71.000000 74.793 153.8943
72.000000 74.728 153.9449
73.000000 74.681 153.9203
74.000000 74.636 153.6919
75.000000 74.552 153.5512
76.199997 74.491 153.5847
77.500000 74.377 153.4341
78.800003 74.310 153.7431
80.000000 74.237 153.4282
81.199997 74.144 153.6923
82.500000 74.130 153.4850
83.800003 74.025 153.6361
85.000000 74.045 153.8302
86.199997 74.000 153.7234
87.500000 73.988 153.6722
88.500000 73.935 153.4218
90.000000 73.845 153.2430
91.199997 73.778 153.3021
92.500000 73.728 153.1644
93.800003 73.672 153.2371
95.000000 73.635 153.0217
96.199997 73.559 153.0486
97.500000 73.540 152.9423
98.800003 73.439 152.8642
100.000000 73.441 153.0958
101.500000 73.391 152.6129
103.000000 73.279 152.5341
104.400002 73.235 152.5978
106.000000 73.121 152.5522
107.500000 73.064 152.5873
109.000000 73.018 152.6648
110.599998 72.910 152.6324
112.000000 72.865 152.4829
113.800003 72.792 152.6407
115.000000 72.749 152.5997
117.199997 72.639 152.4095
118.000000 72.611 152.4908
120.599998 72.480 152.7207
122.000000 72.403 152.9653
124.099998 72.376 152.6630
125.000000 72.342 152.7583
126.500000 72.286 152.7618
128.000000 72.232 152.9427
131.500000 72.056 152.9899
132.000000 72.033 153.1570
134.000000 72.005 153.4150
136.000000 71.924 153.4066
138.000000 71.848 153.6183
140.000000 71.775 153.6023
143.000000 71.655 153.8750
145.000000 71.583 154.1477
147.500000 71.507 154.1935
150.000000 71.434 154.4825
152.500000 71.358 154.8201
155.000000 71.302 155.0139
157.500000 71.237 155.3548
160.000000 71.186 155.6041
162.500000 71.113 155.5843
165.000000 71.023 155.7479
167.500000 70.979 156.0195
170.000000 70.914 156.1216
172.500000 70.845 156.4756
175.000000 70.776 156.9940
177.500000 70.768 157.1756
180.000000 70.702 157.1567
182.500000 70.675 157.4694
185.000000 70.614 157.6316
187.500000 70.561 157.9252
190.000000 70.480 157.9208
192.500000 70.416 158.3034
195.000000 70.379 158.2940
197.500000 70.344 158.6699
200.000000 70.263 159.0254
203.000000 70.224 159.1941
206.000000 70.163 159.5074
209.000000 70.113 159.7379
212.000000 70.050 160.0118
214.000000 70.018 160.1826
218.000000 69.940 160.6308
220.000000 69.928 160.8204
224.000000 69.851 161.2724
227.000000 69.822 161.6540
230.000000 69.763 161.8773
233.000000 69.710 162.2638
236.000000 69.684 162.4958
240.000000 69.600 162.7464
243.000000 69.564 163.1250
247.000000 69.562 163.4922
250.000000 69.513 163.5819
254.000000 69.434 164.0658
258.000000 69.405 164.3150
262.000000 69.332 164.7245
265.000000 69.334 165.0647
269.000000 69.263 165.4958
272.000000 69.236 165.6682
276.000000 69.195 165.9954
280.000000 69.152 166.5055
285.000000 69.083 167.0363
290.000000 69.049 167.4460
295.000000 68.999 167.7713
300.000000 68.991 168.4172
304.000000 68.934 168.6761
307.000000 68.940 168.9955
311.000000 68.895 169.3592
315.000000 68.870 169.5486
320.000000 68.793 170.0981
325.000000 68.765 170.5146
330.000000 68.722 171.0862
335.000000 68.705 171.2396
340.000000 68.660 171.8964
