* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 12:01:40 15-06-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: EPZ Q5 R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 83.911 121.3297
1.015000 83.710 120.3910
1.030000 83.500 119.4398
1.044000 83.295 118.5400
1.060000 83.050 117.4961
1.075000 82.808 116.5014
1.090000 82.555 115.4902
1.106000 82.269 114.4192
1.120000 82.001 113.6341
1.138000 81.629 112.8425
1.150000 81.366 112.4298
1.172000 80.857 111.8597
1.180000 80.664 111.6988
1.206000 80.012 111.2801
1.220000 79.648 111.0847
1.241000 79.090 110.7708
1.250000 78.847 110.6128
1.265000 78.439 110.2962
1.280000 78.028 109.8896
1.315000 77.071 108.4384
1.320000 76.936 108.1589
1.340000 76.399 106.8202
1.360000 75.875 105.0799
1.380000 75.368 102.8738
1.400000 74.882 100.1375
1.430000 74.203 94.8978
1.450000 73.789 90.5539
1.475000 73.319 84.0043
1.500000 72.846 75.7798
1.525000 72.366 66.0114
1.550000 71.885 54.9588
1.575000 71.413 42.8816
1.600000 70.957 30.0394
1.625000 70.526 16.6918
1.650000 70.128 3.0986
1.675000 69.771 -10.4808
1.700000 69.462 -23.7867
1.725000 69.211 -36.5594
1.750000 69.026 -48.5392
1.775000 68.913 -59.4667
1.800000 68.883 -69.0821
1.825000 68.943 -77.1259
1.850000 69.113 -83.5688
1.875000 69.419 -88.8928
1.900000 69.844 -93.2324
1.925000 70.368 -96.7020
1.950000 70.973 -99.4163
1.975000 71.641 -101.4897
2.000000 72.353 -103.0370
2.030000 73.239 -104.3604
2.060000 74.129 -105.2890
2.090000 74.991 -106.0207
2.120000 75.792 -106.7536
2.140000 76.277 -107.3406
2.180000 77.086 -109.0146
2.200000 77.390 -110.2154
2.240000 77.875 -112.7023
2.270000 78.166 -114.4189
2.300000 78.401 -116.0205
2.330000 78.588 -117.5184
2.360000 78.732 -118.9237
2.400000 78.871 -120.6726
2.430000 78.943 -121.9052
2.470000 79.009 -123.4646
2.500000 79.045 -124.5854
2.540000 79.087 -126.0362
2.580000 79.131 -127.4603
2.620000 79.141 -128.8577
2.650000 79.123 -129.8739
2.690000 79.067 -131.1667
2.720000 79.005 -132.0761
2.760000 78.899 -133.1889
2.800000 78.773 -134.1651
2.850000 78.593 -135.1556
2.900000 78.398 -135.8461
2.950000 78.193 -136.1993
3.000000 77.933 -136.2785
3.040000 77.691 -136.1574
3.070000 77.496 -135.9580
3.110000 77.229 -135.5462
3.150000 76.964 -134.9665
3.200000 76.653 -134.0035
3.250000 76.386 -132.7731
3.300000 76.184 -131.2710
3.350000 76.030 -129.2784
3.400000 75.902 -126.7684
3.450000 75.804 -123.9261
3.500000 75.741 -120.9362
3.550000 75.716 -117.9836
3.600000 75.735 -115.2533
3.650000 75.801 -112.9299
3.700000 75.929 -111.0415
3.750000 76.134 -109.3152
3.820000 76.511 -107.1891
3.870000 76.817 -105.9086
3.950000 77.309 -104.3343
4.000000 77.586 -103.6819
4.060000 77.864 -103.2903
4.120000 78.133 -103.3946
4.180000 78.392 -103.9014
4.250000 78.671 -104.8512
4.310000 78.879 -105.8436
4.370000 79.049 -106.8817
4.440000 79.192 -108.1103
4.500000 79.276 -109.3644
4.550000 79.320 -110.5161
4.620000 79.346 -112.2093
4.680000 79.338 -113.6594
4.750000 79.295 -115.2511
4.820000 79.213 -116.7504
4.870000 79.125 -117.8432
4.940000 78.970 -119.3477
5.000000 78.813 -120.5607
5.080000 78.582 -121.9793
5.150000 78.369 -122.9600
5.220000 78.122 -123.7531
5.300000 77.807 -124.4541
5.380000 77.486 -124.9201
5.450000 77.223 -125.1221
5.520000 76.993 -125.1073
5.600000 76.741 -124.7062
5.700000 76.451 -123.8260
5.800000 76.224 -122.8615
5.900000 76.095 -122.1060
6.000000 76.069 -121.2947
6.080000 76.101 -120.7078
6.150000 76.151 -120.3722
6.220000 76.210 -120.3117
6.300000 76.297 -120.6131
6.400000 76.452 -121.4011
6.500000 76.619 -122.5634
6.600000 76.757 -124.0129
6.700000 76.869 -125.8449
6.800000 76.966 -128.0188
6.900000 77.038 -130.3248
7.000000 77.075 -132.5948
7.100000 77.077 -134.9813
7.200000 77.052 -137.3908
7.300000 77.011 -139.6528
7.400000 76.953 -141.6888
7.500000 76.869 -143.5981
7.620000 76.764 -145.6332
7.750000 76.674 -147.3930
7.880000 76.591 -148.6830
8.000000 76.543 -149.5876
8.120000 76.550 -150.2988
8.250000 76.611 -150.7528
8.380000 76.716 -151.1185
8.500000 76.852 -151.5611
8.620000 77.033 -152.0161
8.750000 77.246 -152.5950
8.850000 77.404 -153.1605
9.000000 77.653 -154.1842
9.120000 77.840 -155.0616
9.250000 78.013 -156.0258
9.380000 78.164 -157.0365
9.500000 78.284 -157.9010
9.620000 78.381 -158.6463
9.750000 78.463 -159.3616
9.880000 78.533 -159.9355
10.000000 78.591 -160.3059
10.150000 78.650 -160.5924
10.300000 78.714 -160.7534
10.440000 78.778 -160.7666
10.600000 78.853 -160.7142
10.750000 78.929 -160.6721
10.900000 79.007 -160.6180
11.060000 79.081 -160.6080
11.200000 79.140 -160.6398
11.380000 79.200 -160.7009
11.500000 79.227 -160.7543
11.720000 79.258 -160.8517
11.800000 79.263 -160.8743
12.060000 79.261 -160.9237
12.200000 79.254 -160.9426
12.410000 79.235 -160.9757
12.500000 79.225 -161.0134
12.650000 79.206 -161.1000
12.800000 79.182 -161.2278
13.150000 79.097 -161.7229
13.200000 79.082 -161.8067
13.400000 79.010 -162.1797
13.600000 78.930 -162.5682
13.800000 78.842 -162.9518
14.000000 78.761 -163.3447
14.300000 78.655 -163.9770
14.500000 78.603 -164.4910
14.750000 78.552 -165.2912
15.000000 78.514 -166.2814
15.250000 78.475 -167.4288
15.500000 78.433 -168.6295
15.750000 78.391 -169.8186
16.000000 78.357 -170.9019
16.250000 78.343 -171.8766
16.500000 78.354 -172.7601
16.750000 78.392 -173.6008
17.000000 78.447 -174.4420
17.250000 78.512 -175.2785
17.500000 78.576 -176.0959
17.750000 78.633 -176.8277
18.000000 78.684 -177.4480
18.250000 78.731 -177.9286
18.500000 78.778 -178.2877
18.750000 78.826 -178.5575
19.000000 78.873 -178.7678
19.250000 78.915 -178.9521
19.500000 78.947 -179.1094
19.750000 78.968 -179.2402
20.000000 78.977 -179.3354
20.299999 78.977 -179.4170
20.600000 78.965 -179.4888
20.900000 78.943 -179.5854
21.200001 78.907 -179.7309
21.400000 78.874 -179.8503
21.799999 78.793 179.8801
22.000000 78.748 179.7349
22.400000 78.659 179.4086
22.700001 78.599 179.0858
23.000000 78.545 178.6514
23.299999 78.491 178.1053
23.600000 78.436 177.4826
24.000000 78.361 176.6122
24.299999 78.313 175.9781
24.700001 78.268 175.1661
25.000000 78.251 174.5611
25.400000 78.246 173.7428
25.799999 78.250 172.9469
26.200001 78.259 172.2404
26.500000 78.268 171.7922
26.900000 78.285 171.2965
27.200001 78.300 170.9850
27.600000 78.316 170.6379
28.000000 78.324 170.3708
28.500000 78.325 170.1316
29.000000 78.312 169.9243
29.500000 78.279 169.6957
30.000000 78.222 169.4691
30.400000 78.167 169.3040
30.700001 78.125 169.1722
31.100000 78.071 168.9427
31.500000 78.018 168.6274
32.000000 77.947 168.1336
32.500000 77.877 167.5885
33.000000 77.815 167.0242
33.500000 77.766 166.4422
34.000000 77.728 165.8568
34.500000 77.700 165.2867
35.000000 77.676 164.7435
35.500000 77.649 164.2670
36.000000 77.620 163.9130
36.500000 77.598 163.6743
37.000000 77.582 163.4583
37.500000 77.563 163.1984
38.200001 77.509 162.8353
38.700001 77.460 162.6412
39.500000 77.387 162.3109
40.000000 77.337 162.0234
40.599998 77.268 161.6519
41.200001 77.198 161.3159
41.799999 77.137 160.9976
42.500000 77.080 160.5996
43.099998 77.035 160.2360
43.700001 76.990 159.8867
44.400002 76.939 159.5101
45.000000 76.894 159.1920
45.500000 76.850 158.9544
46.200001 76.789 158.7239
46.799999 76.751 158.5482
47.500000 76.709 158.2203
48.200001 76.648 157.8895
48.700001 76.606 157.7383
49.400002 76.566 157.5206
50.000000 76.530 157.2317
50.799999 76.456 156.9088
51.500000 76.396 156.7971
52.200001 76.350 156.6667
53.000000 76.286 156.4361
53.799999 76.212 156.2892
54.500000 76.163 156.1747
55.200001 76.122 155.9194
56.000000 76.058 155.5188
57.000000 75.968 155.1356
58.000000 75.899 154.8334
59.000000 75.835 154.5162
60.000000 75.768 154.2922
60.799999 75.718 154.1158
61.500000 75.664 153.9421
62.200001 75.605 153.8272
63.000000 75.546 153.6686
64.000000 75.454 153.3785
65.000000 75.369 153.3191
66.000000 75.325 153.1107
67.000000 75.252 152.8307
68.000000 75.187 152.7570
69.000000 75.131 152.5917
70.000000 75.056 152.4305
71.000000 74.984 152.2598
72.000000 74.896 152.0036
73.000000 74.798 151.8501
74.000000 74.714 151.8276
75.000000 74.665 151.8445
76.199997 74.616 151.6056
77.500000 74.515 151.4168
78.800003 74.431 151.4692
80.000000 74.346 151.4529
81.199997 74.302 151.5730
82.500000 74.226 151.2054
83.800003 74.124 151.2512
85.000000 74.028 151.1594
86.199997 73.929 151.3877
87.500000 73.872 151.4362
88.500000 73.805 151.3645
90.000000 73.746 151.6604
91.199997 73.729 151.4799
92.500000 73.642 151.7274
93.800003 73.647 151.8407
95.000000 73.541 151.7034
96.199997 73.470 152.1056
97.500000 73.439 152.1225
98.800003 73.386 151.6431
100.000000 73.227 151.7037
101.500000 73.265 152.2766
103.000000 73.231 151.7613
104.400002 73.167 151.6155
106.000000 73.094 151.6121
107.500000 73.029 151.5609
109.000000 72.930 151.6165
110.599998 72.875 151.6405
112.000000 72.788 151.7275
113.800003 72.713 151.5538
115.000000 72.631 151.6114
117.199997 72.554 151.8016
118.000000 72.500 151.8332
120.599998 72.403 152.0755
122.000000 72.346 152.1641
124.099998 72.255 152.4293
125.000000 72.217 152.4808
126.500000 72.165 152.5906
128.000000 72.076 152.7525
131.500000 71.966 153.1677
132.000000 71.950 153.2013
134.000000 71.900 153.3702
136.000000 71.832 153.6033
138.000000 71.784 153.8544
140.000000 71.784 154.0616
143.000000 71.690 154.2421
145.000000 71.630 154.3229
147.500000 71.568 154.5822
150.000000 71.483 154.7443
152.500000 71.419 154.6792
155.000000 71.363 154.8759
157.500000 71.311 155.0951
160.000000 71.209 155.3394
162.500000 71.147 155.3980
165.000000 71.087 155.5817
167.500000 71.023 155.7566
170.000000 70.954 156.0128
172.500000 70.892 156.2109
175.000000 70.833 156.5230
177.500000 70.769 156.6656
180.000000 70.721 156.9550
182.500000 70.678 157.1869
185.000000 70.621 157.2885
187.500000 70.559 157.4699
190.000000 70.494 157.7911
192.500000 70.465 157.9631
195.000000 70.430 158.2394
197.500000 70.363 158.4021
200.000000 70.298 158.5317
203.000000 70.281 159.0232
206.000000 70.203 159.2245
209.000000 70.127 159.5696
212.000000 70.077 159.8785
214.000000 70.043 160.0421
218.000000 69.965 160.5002
220.000000 69.944 160.7571
224.000000 69.905 160.8888
227.000000 69.841 161.3587
230.000000 69.790 161.6693
233.000000 69.751 162.0589
236.000000 69.691 162.2194
240.000000 69.663 162.6408
243.000000 69.592 162.8848
247.000000 69.560 163.1829
250.000000 69.518 163.6971
254.000000 69.467 163.9796
258.000000 69.416 164.4990
262.000000 69.403 164.7771
265.000000 69.350 164.9886
269.000000 69.321 165.5328
272.000000 69.280 165.8002
276.000000 69.219 166.1173
280.000000 69.154 166.5062
285.000000 69.135 166.8779
290.000000 69.098 167.3018
295.000000 69.045 167.8141
300.000000 69.001 168.3470
304.000000 68.967 168.5815
307.000000 68.952 168.9748
311.000000 68.912 169.2463
315.000000 68.874 169.5771
320.000000 68.856 170.1944
325.000000 68.821 170.5557
330.000000 68.784 170.8527
335.000000 68.741 171.2932
340.000000 68.689 171.9264
