* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 23:22:39 27-09-2023
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Final A4000 L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 79.996 -152.8276
20.600000 80.033 -153.4279
20.900000 80.058 -153.9359
21.200001 80.077 -154.4303
21.400000 80.088 -154.7641
21.799999 80.105 -155.4518
22.000000 80.110 -155.8077
22.400000 80.116 -156.5380
22.700001 80.118 -157.0924
23.000000 80.119 -157.6463
23.299999 80.122 -158.2014
23.600000 80.127 -158.7628
24.000000 80.138 -159.5292
24.299999 80.148 -160.1181
24.700001 80.161 -160.9102
25.000000 80.169 -161.4934
25.400000 80.179 -162.2348
25.799999 80.190 -162.9232
26.200001 80.205 -163.5665
26.500000 80.218 -164.0314
26.900000 80.236 -164.6403
27.200001 80.248 -165.0903
27.600000 80.260 -165.6740
28.000000 80.266 -166.2257
28.500000 80.268 -166.8645
29.000000 80.269 -167.4696
29.500000 80.267 -168.0730
30.000000 80.260 -168.6855
30.400000 80.249 -169.1717
30.700001 80.240 -169.5279
31.100000 80.227 -169.9912
31.500000 80.215 -170.4492
32.000000 80.204 -171.0306
32.500000 80.194 -171.6288
33.000000 80.183 -172.2302
33.500000 80.172 -172.8144
34.000000 80.162 -173.3708
34.500000 80.155 -173.9041
35.000000 80.149 -174.4231
35.500000 80.143 -174.9309
36.000000 80.135 -175.4232
36.500000 80.125 -175.8951
37.000000 80.111 -176.3455
37.500000 80.096 -176.7760
38.200001 80.072 -177.3532
38.700001 80.056 -177.7653
39.500000 80.026 -178.4762
40.000000 80.000 -178.9411
40.599998 79.961 -179.4556
41.200001 79.926 -179.8871
41.799999 79.905 179.6972
42.500000 79.887 179.1317
43.099998 79.863 178.6355
43.700001 79.837 178.2296
44.400002 79.825 177.7987
45.000000 79.820 177.3258
45.500000 79.801 176.8881
46.200001 79.752 176.4050
46.799999 79.718 176.1476
47.500000 79.700 175.7987
48.200001 79.672 175.3246
48.700001 79.640 175.0226
49.400002 79.604 174.6982
50.000000 79.588 174.3636
50.799999 79.554 173.7784
51.500000 79.505 173.3416
52.200001 79.464 173.0091
53.000000 79.428 172.6194
53.799999 79.393 172.2434
54.500000 79.369 171.9103
55.200001 79.339 171.5315
56.000000 79.295 171.1485
57.000000 79.247 170.7340
58.000000 79.194 170.2963
59.000000 79.148 169.9396
60.000000 79.107 169.4760
60.799999 79.060 169.1393
61.500000 79.025 168.9116
62.200001 78.995 168.6667
63.000000 78.960 168.3727
64.000000 78.915 168.0137
65.000000 78.865 167.6774
66.000000 78.822 167.3510
67.000000 78.766 166.9373
68.000000 78.698 166.7132
69.000000 78.665 166.5123
70.000000 78.627 166.1106
71.000000 78.567 165.7748
72.000000 78.513 165.5500
73.000000 78.472 165.3382
74.000000 78.432 165.0315
75.000000 78.373 164.7726
76.199997 78.319 164.5716
77.500000 78.262 164.2344
78.800003 78.198 163.9586
80.000000 78.142 163.6825
81.199997 78.085 163.4733
82.500000 78.031 163.1967
83.800003 77.966 162.9858
85.000000 77.919 162.7961
86.199997 77.863 162.5568
87.500000 77.801 162.3796
88.500000 77.759 162.2074
90.000000 77.689 162.0195
91.199997 77.642 161.7887
92.500000 77.570 161.6807
93.800003 77.528 161.4920
95.000000 77.459 161.3579
96.199997 77.413 161.2683
97.500000 77.360 161.1572
98.800003 77.309 160.9407
100.000000 77.244 160.8379
101.500000 77.186 160.7363
103.000000 77.111 160.5516
104.400002 77.052 160.5338
106.000000 76.978 160.3914
107.500000 76.915 160.3351
109.000000 76.846 160.3416
110.599998 76.777 160.2985
112.000000 76.717 160.3398
113.800003 76.630 160.3135
115.000000 76.579 160.4527
117.199997 76.491 160.5445
118.000000 76.467 160.6777
120.599998 76.401 160.9771
122.000000 76.374 161.0941
124.099998 76.345 161.2480
125.000000 76.329 161.2763
126.500000 76.313 161.2573
128.000000 76.285 161.1677
131.500000 76.215 160.9852
132.000000 76.204 160.9739
134.000000 76.158 160.8791
136.000000 76.086 160.9666
138.000000 76.016 160.9808
140.000000 75.963 161.0182
143.000000 75.899 161.2751
145.000000 75.884 161.6058
147.500000 75.857 161.5668
150.000000 75.848 161.6452
152.500000 75.834 161.4406
155.000000 75.811 161.2382
157.500000 75.760 161.0184
160.000000 75.691 160.8715
162.500000 75.638 160.6470
165.000000 75.576 160.5677
167.500000 75.520 160.4972
170.000000 75.465 160.4688
172.500000 75.394 160.5562
175.000000 75.323 160.4746
177.500000 75.267 160.5100
180.000000 75.212 160.5060
182.500000 75.154 160.5629
185.000000 75.098 160.6825
187.500000 75.048 160.6215
190.000000 74.979 160.7336
192.500000 74.931 160.8694
195.000000 74.874 160.9605
197.500000 74.811 160.9691
200.000000 74.766 161.2012
203.000000 74.688 161.3191
206.000000 74.628 161.4966
209.000000 74.598 161.6787
212.000000 74.545 161.9189
214.000000 74.525 162.0576
218.000000 74.468 162.1597
220.000000 74.438 162.2789
224.000000 74.410 162.3716
227.000000 74.354 162.4212
230.000000 74.309 162.5173
233.000000 74.263 162.4929
236.000000 74.217 162.5541
240.000000 74.145 162.7950
243.000000 74.089 162.9453
247.000000 74.025 163.0829
250.000000 73.971 163.3575
254.000000 73.902 163.4025
258.000000 73.844 163.5847
262.000000 73.783 163.8675
265.000000 73.727 164.0096
269.000000 73.646 164.1706
272.000000 73.608 164.4773
276.000000 73.545 164.8343
280.000000 73.456 165.1977
285.000000 73.383 165.6641
290.000000 73.293 166.3943
295.000000 73.240 167.2697
300.000000 73.224 168.0947
304.000000 73.258 168.9053
307.000000 73.320 169.3311
311.000000 73.397 169.5397
315.000000 73.448 169.4398
320.000000 73.477 169.1915
325.000000 73.472 168.9504
330.000000 73.424 168.8246
335.000000 73.387 168.6356
340.000000 73.328 168.6349
345.000000 73.268 168.7884
350.000000 73.217 168.7525
355.000000 73.168 168.9525
360.000000 73.110 169.1954
365.000000 73.048 169.4354
370.000000 73.002 169.4755
375.000000 72.963 169.7490
382.000000 72.892 170.0876
387.000000 72.856 170.2977
395.000000 72.791 170.7339
400.000000 72.742 170.8745
406.000000 72.699 171.2688
412.000000 72.653 171.3731
418.000000 72.615 171.7660
425.000000 72.558 172.1868
431.000000 72.508 172.4635
437.000000 72.474 172.8316
444.000000 72.417 173.0670
450.000000 72.388 173.4122
455.000000 72.354 173.7332
462.000000 72.311 174.0973
468.000000 72.270 174.3602
475.000000 72.203 174.8073
482.000000 72.180 175.2225
487.000000 72.151 175.4290
494.000000 72.119 175.8139
500.000000 72.077 176.1889
508.000000 72.036 176.6544
515.000000 72.002 177.0266
522.000000 71.959 177.3491
530.000000 71.919 177.8073
538.000000 71.885 178.2723
545.000000 71.846 178.7476
552.000000 71.803 179.2118
560.000000 71.766 179.5793
570.000000 71.744 -179.8813
580.000000 71.685 -179.3336
590.000000 71.645 -178.6011
600.000000 71.577 -177.9804
608.000000 71.562 -177.6638
615.000000 71.544 -177.2231
622.000000 71.518 -176.7193
630.000000 71.489 -176.3446
640.000000 71.465 -175.6743
650.000000 71.428 -175.1122
660.000000 71.390 -174.5068
670.000000 71.345 -173.8345
680.000000 71.333 -173.0603
690.000000 71.305 -172.4577
700.000000 71.283 -171.8499
710.000000 71.279 -171.1413
720.000000 71.253 -170.4570
730.000000 71.237 -169.6299
740.000000 71.205 -169.2966
750.000000 71.208 -168.5221
762.000000 71.216 -167.6267
775.000000 71.208 -166.5813
788.000000 71.178 -165.6718
800.000000 71.191 -164.7935
812.000000 71.194 -164.0172
825.000000 71.205 -162.9462
838.000000 71.219 -162.2374
850.000000 71.244 -161.5930
862.000000 71.281 -160.7115
875.000000 71.306 -159.6584
885.000000 71.343 -159.0527
900.000000 71.404 -158.2172
912.000000 71.442 -157.4832
925.000000 71.501 -156.8448
938.000000 71.572 -156.2365
950.000000 71.630 -156.0110
962.000000 71.598 -155.9095
975.000000 71.518 -154.8816
988.000000 71.527 -153.5178
1000.000000 71.574 -152.7839
1015.000000 71.664 -151.0185
1030.000000 71.770 -150.1999
1044.000000 71.875 -149.4648
1060.000000 72.000 -148.7241
1075.000000 72.102 -147.9877
1090.000000 72.213 -147.4222
1106.000000 72.327 -146.9167
1120.000000 72.419 -146.4570
1138.000000 72.520 -145.9389
1150.000000 72.594 -145.6462
1172.000000 72.750 -145.2675
1180.000000 72.785 -144.9799
1206.000000 72.947 -144.6338
1220.000000 73.022 -144.0956
1241.000000 73.150 -143.8526
1250.000000 73.181 -143.9961
1265.000000 73.282 -143.6282
1280.000000 73.341 -143.6306
1315.000000 73.500 -143.3667
1320.000000 73.516 -143.5428
1340.000000 73.573 -143.6267
1360.000000 73.628 -143.6404
1380.000000 73.641 -143.7757
1400.000000 73.576 -143.7668
1430.000000 73.491 -143.2968
1450.000000 73.426 -142.5846
1475.000000 73.414 -141.4788
1500.000000 73.446 -140.5132
1525.000000 73.498 -139.5968
1550.000000 73.564 -138.5592
1575.000000 73.611 -137.7180
1600.000000 73.707 -136.7100
1625.000000 73.778 -136.0490
1650.000000 73.861 -135.2305
1675.000000 73.954 -134.6574
1700.000000 74.040 -133.8026
1725.000000 74.127 -133.1086
1750.000000 74.206 -132.5812
1775.000000 74.294 -131.8855
1800.000000 74.381 -131.0185
1825.000000 74.473 -130.3653
1850.000000 74.571 -129.6524
1875.000000 74.659 -129.1101
1900.000000 74.776 -128.4523
1925.000000 74.855 -127.8330
1950.000000 74.957 -127.2842
1975.000000 75.063 -126.6558
2000.000000 75.205 -125.7027
2030.000000 75.294 -125.5021
2060.000000 75.432 -124.6951
2090.000000 75.557 -124.0415
2120.000000 75.681 -123.3363
2140.000000 75.779 -122.9493
2180.000000 75.962 -121.9846
2200.000000 76.051 -121.6436
2240.000000 76.212 -120.6388
2270.000000 76.362 -119.8852
2300.000000 76.511 -119.0265
2330.000000 76.637 -118.1275
2360.000000 76.790 -116.8973
2400.000000 77.104 -115.5490
2430.000000 77.402 -114.7057
2470.000000 77.832 -114.0328
2500.000000 78.134 -114.0720
2540.000000 78.471 -114.3807
2580.000000 78.775 -114.7361
2620.000000 79.055 -115.0086
2650.000000 79.254 -115.2993
2690.000000 79.507 -115.6128
2720.000000 79.717 -115.8896
2760.000000 79.972 -116.3242
2800.000000 80.233 -116.7128
2850.000000 80.558 -117.3009
2900.000000 80.876 -118.0278
2950.000000 81.206 -118.8620
3000.000000 81.490 -119.9228
3040.000000 81.772 -120.7060
3070.000000 81.968 -121.4158
3110.000000 82.217 -122.5522
3150.000000 82.451 -123.8317
3200.000000 82.735 -125.5914
3250.000000 82.962 -127.5212
3300.000000 83.159 -129.5650
3350.000000 83.331 -131.7343
3400.000000 83.460 -133.9441
3450.000000 83.559 -136.0120
3500.000000 83.610 -138.1187
3550.000000 83.634 -140.1820
3600.000000 83.639 -142.2201
3650.000000 83.611 -144.0618
3700.000000 83.575 -145.6780
3750.000000 83.513 -147.2256
3820.000000 83.432 -149.2439
3870.000000 83.365 -150.6063
3950.000000 83.221 -152.6730
4000.000000 83.118 -154.0805
4060.000000 82.949 -155.4008
4120.000000 82.732 -156.4022
4180.000000 82.538 -157.0012
4250.000000 82.317 -157.3482
4310.000000 82.147 -157.4383
4370.000000 82.031 -157.2377
4440.000000 81.913 -156.9816
4500.000000 81.831 -156.7822
4550.000000 81.793 -156.5769
4620.000000 81.741 -156.2526
4680.000000 81.723 -156.1271
4750.000000 81.696 -155.8521
4820.000000 81.688 -155.5942
4870.000000 81.679 -155.5420
4940.000000 81.676 -155.2793
5000.000000 81.735 -155.3087
5080.000000 81.708 -154.9718
5150.000000 81.759 -154.8582
5220.000000 81.809 -154.7178
5300.000000 81.856 -154.6073
5380.000000 81.920 -154.7530
5450.000000 81.970 -154.7470
5520.000000 82.013 -154.7930
5600.000000 82.075 -154.6949
5700.000000 82.178 -154.5925
5800.000000 82.356 -154.8113
5900.000000 82.525 -155.2839
