* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 23:20:02 27-09-2023
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Final A4000 R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 79.360 -147.8672
20.600000 79.410 -148.4602
20.900000 79.449 -148.9703
21.200001 79.482 -149.4726
21.400000 79.500 -149.8116
21.799999 79.531 -150.5049
22.000000 79.543 -150.8606
22.400000 79.563 -151.5867
22.700001 79.576 -152.1418
23.000000 79.588 -152.7054
23.299999 79.600 -153.2779
23.600000 79.612 -153.8584
24.000000 79.629 -154.6388
24.299999 79.643 -155.2213
24.700001 79.662 -155.9843
25.000000 79.678 -156.5417
25.400000 79.701 -157.2639
25.799999 79.726 -157.9635
26.200001 79.752 -158.6399
26.500000 79.771 -159.1303
26.900000 79.795 -159.7602
27.200001 79.811 -160.2150
27.600000 79.831 -160.8008
28.000000 79.847 -161.3658
28.500000 79.861 -162.0430
29.000000 79.870 -162.6874
29.500000 79.874 -163.3062
30.000000 79.875 -163.9137
30.400000 79.874 -164.3977
30.700001 79.872 -164.7600
31.100000 79.868 -165.2424
31.500000 79.865 -165.7267
32.000000 79.862 -166.3418
32.500000 79.858 -166.9684
33.000000 79.853 -167.5924
33.500000 79.848 -168.1976
34.000000 79.844 -168.7794
34.500000 79.842 -169.3433
35.000000 79.842 -169.8920
35.500000 79.840 -170.4221
36.000000 79.838 -170.9315
36.500000 79.836 -171.4232
37.000000 79.832 -171.9013
37.500000 79.826 -172.3706
38.200001 79.814 -173.0226
38.700001 79.800 -173.4809
39.500000 79.774 -174.1663
40.000000 79.760 -174.5742
40.599998 79.746 -175.0888
41.200001 79.728 -175.6394
41.799999 79.703 -176.1652
42.500000 79.674 -176.6965
43.099998 79.659 -177.1302
43.700001 79.646 -177.5869
44.400002 79.626 -178.1209
45.000000 79.607 -178.5524
45.500000 79.592 -178.8979
46.200001 79.569 -179.3715
46.799999 79.549 -179.7787
47.500000 79.520 179.7396
48.200001 79.483 179.3051
48.700001 79.459 179.0482
49.400002 79.439 178.6938
50.000000 79.426 178.3132
50.799999 79.393 177.7607
51.500000 79.357 177.3654
52.200001 79.331 177.0121
53.000000 79.304 176.5555
53.799999 79.267 176.1141
54.500000 79.236 175.7843
55.200001 79.210 175.4418
56.000000 79.175 175.0270
57.000000 79.127 174.5952
58.000000 79.092 174.1579
59.000000 79.048 173.6788
60.000000 79.004 173.2715
60.799999 78.972 172.9417
61.500000 78.942 172.6619
62.200001 78.913 172.3963
63.000000 78.880 172.0781
64.000000 78.832 171.6951
65.000000 78.786 171.3737
66.000000 78.749 171.0295
67.000000 78.705 170.6306
68.000000 78.654 170.3056
69.000000 78.612 170.0015
70.000000 78.569 169.6918
71.000000 78.529 169.3819
72.000000 78.482 169.0701
73.000000 78.437 168.8341
74.000000 78.398 168.5552
75.000000 78.350 168.3015
76.199997 78.300 168.0447
77.500000 78.248 167.7276
78.800003 78.188 167.4354
80.000000 78.141 167.2094
81.199997 78.096 166.9130
82.500000 78.030 166.6242
83.800003 77.975 166.4504
85.000000 77.934 166.2290
86.199997 77.884 165.9692
87.500000 77.829 165.7975
88.500000 77.795 165.6087
90.000000 77.730 165.3755
91.199997 77.684 165.1844
92.500000 77.625 165.0036
93.800003 77.576 164.8516
95.000000 77.526 164.6235
96.199997 77.467 164.5132
97.500000 77.429 164.3995
98.800003 77.388 164.1458
100.000000 77.326 164.0044
101.500000 77.278 163.9081
103.000000 77.207 163.8377
104.400002 77.167 163.6960
106.000000 77.082 163.5596
107.500000 77.034 163.4896
109.000000 76.966 163.3423
110.599998 76.927 163.2579
112.000000 76.853 163.1420
113.800003 76.800 163.1603
115.000000 76.743 163.0835
117.199997 76.663 163.1973
118.000000 76.632 163.1403
120.599998 76.542 163.2547
122.000000 76.493 163.2932
124.099998 76.456 163.4507
125.000000 76.424 163.4526
126.500000 76.403 163.6508
128.000000 76.365 163.5967
131.500000 76.291 163.5184
132.000000 76.281 163.4361
134.000000 76.223 163.4714
136.000000 76.171 163.4170
138.000000 76.100 163.4685
140.000000 76.044 163.6241
143.000000 75.983 163.8906
145.000000 75.951 163.9689
147.500000 75.933 164.3674
150.000000 75.905 164.6119
152.500000 75.907 164.4646
155.000000 75.900 164.3409
157.500000 75.873 164.2518
160.000000 75.827 164.0610
162.500000 75.787 164.0123
165.000000 75.759 163.8003
167.500000 75.722 163.7577
170.000000 75.662 163.6133
172.500000 75.619 163.6064
175.000000 75.571 163.5847
177.500000 75.511 163.4756
180.000000 75.458 163.4348
182.500000 75.404 163.4232
185.000000 75.355 163.4511
187.500000 75.306 163.4606
190.000000 75.249 163.4497
192.500000 75.203 163.4695
195.000000 75.149 163.5006
197.500000 75.098 163.5715
200.000000 75.064 163.6606
203.000000 75.003 163.8005
206.000000 74.944 163.8389
209.000000 74.898 163.9479
212.000000 74.837 164.0998
214.000000 74.803 164.1506
218.000000 74.734 164.3950
220.000000 74.715 164.3973
224.000000 74.658 164.6113
227.000000 74.612 164.7178
230.000000 74.576 164.8065
233.000000 74.527 164.8901
236.000000 74.491 165.0871
240.000000 74.441 165.1345
243.000000 74.391 165.2407
247.000000 74.354 165.3491
250.000000 74.298 165.3264
254.000000 74.253 165.6476
258.000000 74.190 165.8874
262.000000 74.150 166.0120
265.000000 74.090 166.1329
269.000000 74.046 166.3251
272.000000 73.990 166.3104
276.000000 73.940 166.7600
280.000000 73.882 166.8983
285.000000 73.818 167.1179
290.000000 73.752 167.4477
295.000000 73.686 167.7786
300.000000 73.624 168.0441
304.000000 73.550 168.5652
307.000000 73.502 168.8176
311.000000 73.477 169.2747
315.000000 73.431 169.8071
320.000000 73.410 170.6343
325.000000 73.418 171.4785
330.000000 73.479 171.9160
335.000000 73.552 172.0280
340.000000 73.578 172.1240
345.000000 73.580 171.8738
350.000000 73.555 171.8141
355.000000 73.534 171.7090
360.000000 73.495 171.6262
365.000000 73.445 171.7994
370.000000 73.413 171.8730
375.000000 73.346 171.9453
382.000000 73.286 172.1661
387.000000 73.250 172.4094
395.000000 73.191 172.6850
400.000000 73.162 172.8647
406.000000 73.108 173.1530
412.000000 73.056 173.3157
418.000000 73.010 173.5366
425.000000 72.965 174.0124
431.000000 72.929 174.1663
437.000000 72.882 174.5879
444.000000 72.825 174.8242
450.000000 72.789 175.1621
455.000000 72.778 175.4217
462.000000 72.724 175.6906
468.000000 72.690 176.0148
475.000000 72.653 176.5720
482.000000 72.617 176.8821
487.000000 72.593 177.1063
494.000000 72.546 177.4017
500.000000 72.498 177.8277
508.000000 72.486 178.2161
515.000000 72.437 178.6503
522.000000 72.392 178.9695
530.000000 72.359 179.3688
538.000000 72.329 179.9826
545.000000 72.301 -179.6994
552.000000 72.276 -179.3208
560.000000 72.241 -178.8301
570.000000 72.207 -178.3217
580.000000 72.167 -177.8900
590.000000 72.123 -177.1352
600.000000 72.077 -176.5173
608.000000 72.069 -176.1991
615.000000 72.052 -175.6831
622.000000 72.014 -175.3137
630.000000 72.009 -174.7298
640.000000 71.972 -174.1485
650.000000 71.932 -173.5118
660.000000 71.917 -172.8010
670.000000 71.873 -172.1623
680.000000 71.888 -171.8377
690.000000 71.853 -171.0157
700.000000 71.828 -170.2917
710.000000 71.807 -169.6511
720.000000 71.784 -169.1992
730.000000 71.792 -168.3171
740.000000 71.791 -167.7193
750.000000 71.781 -166.9043
762.000000 71.758 -166.2782
775.000000 71.766 -165.2230
788.000000 71.778 -164.4261
800.000000 71.798 -163.5094
812.000000 71.813 -162.7677
825.000000 71.828 -161.8176
838.000000 71.868 -160.8152
850.000000 71.886 -160.1217
862.000000 71.940 -159.1720
875.000000 71.970 -158.2273
885.000000 72.002 -157.4917
900.000000 72.091 -156.6386
912.000000 72.142 -155.9623
925.000000 72.212 -155.1559
938.000000 72.323 -154.4516
950.000000 72.399 -153.7474
962.000000 72.481 -153.1226
975.000000 72.596 -152.4643
988.000000 72.706 -152.1188
1000.000000 72.841 -152.6449
1015.000000 72.959 -152.3069
1030.000000 72.917 -152.7244
1044.000000 72.814 -152.4469
1060.000000 72.793 -151.4282
1075.000000 72.839 -150.5508
1090.000000 72.902 -149.5678
1106.000000 73.025 -148.7301
1120.000000 73.124 -148.2136
1138.000000 73.279 -147.6539
1150.000000 73.347 -147.3394
1172.000000 73.527 -146.8846
1180.000000 73.585 -146.7359
1206.000000 73.754 -146.5575
1220.000000 73.836 -146.6033
1241.000000 73.956 -146.6735
1250.000000 73.990 -146.8920
1265.000000 74.037 -147.0206
1280.000000 74.056 -147.1253
1315.000000 74.049 -147.3993
1320.000000 74.036 -147.4900
1340.000000 73.971 -147.2014
1360.000000 73.936 -146.9462
1380.000000 73.872 -146.4082
1400.000000 73.848 -145.8276
1430.000000 73.848 -144.5735
1450.000000 73.856 -143.7832
1475.000000 73.888 -142.7997
1500.000000 73.933 -141.8597
1525.000000 74.018 -141.0885
1550.000000 74.079 -140.1504
1575.000000 74.162 -139.2515
1600.000000 74.217 -138.3179
1625.000000 74.316 -137.7193
1650.000000 74.407 -136.9563
1675.000000 74.473 -136.3797
1700.000000 74.567 -135.6834
1725.000000 74.670 -134.9599
1750.000000 74.752 -134.3029
1775.000000 74.845 -133.5420
1800.000000 74.939 -133.0042
1825.000000 75.025 -132.1553
1850.000000 75.140 -131.6185
1875.000000 75.244 -131.0038
1900.000000 75.359 -130.4038
1925.000000 75.461 -129.7987
1950.000000 75.578 -129.2552
1975.000000 75.691 -128.5658
2000.000000 75.828 -127.6536
2030.000000 75.928 -127.4731
2060.000000 76.077 -126.8071
2090.000000 76.215 -126.2135
2120.000000 76.371 -125.6321
2140.000000 76.452 -125.1466
2180.000000 76.649 -124.3738
2200.000000 76.762 -124.0703
2240.000000 76.944 -123.3773
2270.000000 77.096 -122.7118
2300.000000 77.240 -121.9735
2330.000000 77.399 -121.3430
2360.000000 77.571 -120.3128
2400.000000 77.871 -119.1037
2430.000000 78.159 -118.2902
2470.000000 78.574 -117.8731
2500.000000 78.889 -117.8478
2540.000000 79.245 -118.3242
2580.000000 79.561 -118.7399
2620.000000 79.837 -119.3409
2650.000000 80.041 -119.6794
2690.000000 80.333 -120.2454
2720.000000 80.534 -120.5644
2760.000000 80.816 -121.0776
2800.000000 81.101 -121.7779
2850.000000 81.465 -122.9047
2900.000000 81.792 -124.2154
2950.000000 82.095 -125.6243
3000.000000 82.378 -127.2953
3040.000000 82.635 -128.6028
3070.000000 82.801 -129.7480
3110.000000 83.003 -131.3559
3150.000000 83.175 -133.0859
3200.000000 83.371 -135.3537
3250.000000 83.528 -137.6410
3300.000000 83.631 -140.0228
3350.000000 83.708 -142.2921
3400.000000 83.743 -144.5136
3450.000000 83.751 -146.8027
3500.000000 83.735 -148.9601
3550.000000 83.694 -150.9542
3600.000000 83.621 -152.8203
3650.000000 83.533 -154.5559
3700.000000 83.426 -156.1780
3750.000000 83.332 -157.6261
3820.000000 83.166 -159.5228
3870.000000 83.045 -160.6821
3950.000000 82.809 -162.5704
4000.000000 82.650 -163.5088
4060.000000 82.427 -164.2897
4120.000000 82.225 -164.8528
4180.000000 82.051 -165.1471
4250.000000 81.852 -165.2545
4310.000000 81.725 -165.3661
4370.000000 81.598 -165.3615
4440.000000 81.467 -165.2883
4500.000000 81.389 -165.1454
4550.000000 81.307 -164.9629
4620.000000 81.239 -164.8299
4680.000000 81.186 -164.7116
4750.000000 81.116 -164.5674
4820.000000 81.063 -164.4506
4870.000000 81.051 -164.2859
4940.000000 81.001 -164.1432
5000.000000 80.985 -164.1459
5080.000000 80.905 -163.6662
5150.000000 80.898 -163.4187
5220.000000 80.884 -163.1030
5300.000000 80.895 -162.7966
5380.000000 80.923 -162.4272
5450.000000 80.961 -162.2100
5520.000000 80.991 -162.0314
5600.000000 81.048 -162.0232
5700.000000 81.156 -161.8625
5800.000000 81.234 -162.1133
