* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 00:02:56 28-02-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Godmod 500bd foam notip R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 84.746 119.7088
1.015000 84.572 118.7727
1.030000 84.392 117.8314
1.044000 84.217 116.9476
1.060000 84.010 115.9312
1.075000 83.809 114.9715
1.090000 83.599 114.0049
1.106000 83.369 112.9863
1.120000 83.170 112.2149
1.138000 82.921 111.3943
1.150000 82.758 110.9380
1.172000 82.459 110.2499
1.180000 82.351 110.0370
1.206000 81.994 109.4313
1.220000 81.797 109.1323
1.241000 81.493 108.6733
1.250000 81.358 108.4604
1.265000 81.126 108.0676
1.280000 80.884 107.6091
1.315000 80.272 106.1668
1.320000 80.179 105.9069
1.340000 79.786 104.7017
1.360000 79.362 103.1946
1.380000 78.903 101.3362
1.400000 78.405 99.0772
1.430000 77.578 94.8297
1.450000 76.968 91.3532
1.475000 76.120 86.1773
1.500000 75.068 79.9079
1.525000 73.823 72.6399
1.550000 72.425 64.5219
1.575000 70.916 55.7022
1.600000 69.338 46.3295
1.625000 67.732 36.5521
1.650000 66.138 26.5184
1.675000 64.600 16.3769
1.700000 63.157 6.2761
1.725000 61.851 -3.6356
1.750000 60.724 -13.2097
1.775000 59.817 -22.2979
1.800000 59.171 -30.7516
1.825000 58.828 -38.4224
1.850000 58.825 -45.3846
1.875000 59.152 -52.0952
1.900000 59.767 -58.5726
1.925000 60.626 -64.8138
1.950000 61.686 -70.8158
1.975000 62.903 -76.5758
2.000000 64.234 -82.0907
2.030000 65.921 -88.3810
2.060000 67.636 -94.3091
2.090000 69.303 -99.8699
2.120000 70.848 -105.0584
2.140000 71.773 -108.3080
2.180000 73.271 -114.2978
2.200000 73.801 -117.0337
2.240000 74.600 -121.7178
2.270000 75.053 -124.5416
2.300000 75.397 -126.8639
2.330000 75.647 -128.7646
2.360000 75.816 -130.3239
2.400000 75.941 -132.0105
2.430000 75.979 -133.0849
2.470000 75.981 -134.4159
2.500000 75.965 -135.4417
2.540000 75.948 -136.9987
2.580000 75.957 -138.9078
2.620000 75.936 -140.9443
2.650000 75.889 -142.4814
2.690000 75.785 -144.5006
2.720000 75.676 -145.9630
2.760000 75.487 -147.8002
2.800000 75.249 -149.4595
2.850000 74.882 -151.2015
2.900000 74.436 -152.4763
2.950000 73.896 -153.2624
3.000000 73.160 -154.1325
3.040000 72.457 -154.8109
3.070000 71.887 -155.2016
3.110000 71.101 -155.4333
3.150000 70.321 -155.1838
3.200000 69.413 -153.9451
3.250000 68.648 -151.3770
3.300000 68.101 -147.1538
3.350000 67.720 -140.3650
3.400000 67.439 -131.1527
3.450000 67.261 -120.4454
3.500000 67.189 -109.1715
3.550000 67.228 -98.2592
3.600000 67.382 -88.6371
3.650000 67.655 -81.2333
3.700000 68.095 -76.4564
3.750000 68.769 -73.3563
3.820000 69.973 -71.1644
3.870000 70.918 -70.7042
3.950000 72.369 -71.0097
4.000000 73.121 -71.3599
4.060000 73.777 -71.6428
4.120000 74.284 -72.5889
4.180000 74.683 -74.1360
4.250000 75.037 -76.3894
4.310000 75.266 -78.4388
4.370000 75.446 -80.3510
4.440000 75.600 -82.2962
4.500000 75.657 -84.0561
4.550000 75.656 -85.5519
4.620000 75.589 -87.5866
4.680000 75.483 -89.1787
4.750000 75.315 -90.7336
4.820000 75.087 -92.0058
4.870000 74.872 -92.8534
4.940000 74.519 -93.8491
5.000000 74.189 -94.4273
5.080000 73.742 -94.6389
5.150000 73.367 -94.1445
5.220000 72.947 -92.9435
5.300000 72.435 -90.8965
5.380000 71.962 -88.3832
5.450000 71.640 -86.0090
5.520000 71.453 -83.5884
5.600000 71.384 -80.2261
5.700000 71.454 -75.6140
5.800000 71.631 -71.5535
5.900000 71.866 -69.0194
6.000000 72.236 -67.7454
6.080000 72.581 -67.3958
6.150000 72.870 -67.4910
6.220000 73.105 -67.8892
6.300000 73.309 -68.8163
6.400000 73.518 -70.7610
6.500000 73.664 -73.2071
6.600000 73.730 -75.7579
6.700000 73.707 -78.5095
6.800000 73.607 -81.5209
6.900000 73.447 -84.5258
7.000000 73.238 -87.3082
7.100000 72.958 -90.0495
7.200000 72.630 -92.6508
7.300000 72.293 -94.9220
7.400000 71.954 -96.7463
7.500000 71.584 -98.2192
7.620000 71.171 -99.5659
7.750000 70.849 -100.4924
7.880000 70.626 -100.6983
8.000000 70.522 -100.7306
8.120000 70.552 -101.0388
8.250000 70.740 -101.4447
8.380000 71.016 -102.1635
8.500000 71.300 -103.3676
8.620000 71.643 -105.0302
8.750000 72.022 -107.1102
8.850000 72.283 -108.8093
9.000000 72.657 -111.6740
9.120000 72.928 -113.9598
9.250000 73.178 -116.2327
9.380000 73.388 -118.4061
9.500000 73.562 -120.1805
9.620000 73.717 -121.6422
9.750000 73.862 -122.9384
9.880000 74.006 -123.9582
10.000000 74.145 -124.6246
10.150000 74.321 -125.1301
10.300000 74.513 -125.4785
10.440000 74.711 -125.6345
10.600000 74.945 -125.7311
10.750000 75.166 -125.8596
10.900000 75.386 -125.9818
11.060000 75.602 -126.1331
11.200000 75.775 -126.2897
11.380000 75.973 -126.4548
11.500000 76.087 -126.5308
11.720000 76.269 -126.5996
11.800000 76.328 -126.5915
12.060000 76.496 -126.4789
12.200000 76.577 -126.4032
12.410000 76.685 -126.2804
12.500000 76.725 -126.2496
12.650000 76.783 -126.2229
12.800000 76.830 -126.2207
13.150000 76.881 -126.3092
13.200000 76.883 -126.3207
13.400000 76.876 -126.3597
13.600000 76.857 -126.3822
13.800000 76.832 -126.3731
14.000000 76.811 -126.4116
14.300000 76.790 -126.6138
14.500000 76.782 -126.9440
14.750000 76.765 -127.5884
15.000000 76.736 -128.4802
15.250000 76.685 -129.5166
15.500000 76.623 -130.5841
15.750000 76.560 -131.6262
16.000000 76.515 -132.5944
16.250000 76.503 -133.5524
16.500000 76.525 -134.5399
16.750000 76.579 -135.6246
17.000000 76.650 -136.7963
17.250000 76.731 -138.0126
17.500000 76.812 -139.2087
17.750000 76.896 -140.2918
18.000000 76.984 -141.2416
18.250000 77.082 -142.0388
18.500000 77.190 -142.7227
18.750000 77.305 -143.3205
19.000000 77.422 -143.8568
19.250000 77.533 -144.3362
19.500000 77.635 -144.7446
19.750000 77.727 -145.0739
20.000000 77.809 -145.3202
20.299999 77.898 -145.5392
20.600000 77.975 -145.7119
20.900000 78.038 -145.8743
21.200001 78.080 -146.0361
21.400000 78.097 -146.1319
21.799999 78.111 -146.2852
22.000000 78.112 -146.3522
22.400000 78.113 -146.5245
22.700001 78.113 -146.7560
23.000000 78.107 -147.1173
23.299999 78.091 -147.5894
23.600000 78.064 -148.1288
24.000000 78.021 -148.8854
24.299999 77.993 -149.4594
24.700001 77.971 -150.2558
25.000000 77.967 -150.8968
25.400000 77.974 -151.7980
25.799999 77.990 -152.6848
26.200001 78.020 -153.4913
26.500000 78.053 -154.0355
26.900000 78.111 -154.6956
27.200001 78.159 -155.1463
27.600000 78.226 -155.6713
28.000000 78.292 -156.0840
28.500000 78.379 -156.4680
29.000000 78.466 -156.8190
29.500000 78.536 -157.2115
30.000000 78.577 -157.6160
30.400000 78.591 -157.9173
30.700001 78.595 -158.1335
31.100000 78.594 -158.4314
31.500000 78.587 -158.7579
32.000000 78.575 -159.2177
32.500000 78.562 -159.7432
33.000000 78.550 -160.3401
33.500000 78.541 -160.9821
34.000000 78.536 -161.6190
34.500000 78.542 -162.2307
35.000000 78.560 -162.8300
35.500000 78.582 -163.4108
36.000000 78.605 -163.9403
36.500000 78.629 -164.4057
37.000000 78.651 -164.8233
37.500000 78.668 -165.2001
38.200001 78.677 -165.6392
38.700001 78.677 -165.8981
39.500000 78.670 -166.2682
40.000000 78.664 -166.4857
40.599998 78.660 -166.7622
41.200001 78.657 -167.0628
41.799999 78.661 -167.3410
42.500000 78.694 -167.6790
43.099998 78.742 -168.1325
43.700001 78.782 -168.7460
44.400002 78.803 -169.4867
45.000000 78.806 -170.0431
45.500000 78.804 -170.4369
46.200001 78.803 -170.8890
46.799999 78.809 -171.2664
47.500000 78.809 -171.7702
48.200001 78.792 -172.1885
48.700001 78.787 -172.3933
49.400002 78.806 -172.7385
50.000000 78.818 -173.1873
50.799999 78.805 -173.7580
51.500000 78.794 -174.0943
52.200001 78.798 -174.4533
53.000000 78.788 -174.9355
53.799999 78.769 -175.3098
54.500000 78.766 -175.6387
55.200001 78.758 -176.0653
56.000000 78.739 -176.5007
57.000000 78.740 -177.0463
58.000000 78.722 -177.7164
59.000000 78.706 -178.0804
60.000000 78.724 -178.5061
60.799999 78.720 -178.8865
61.500000 78.712 -179.1606
62.200001 78.702 -179.4410
63.000000 78.684 -179.7566
64.000000 78.662 179.8243
65.000000 78.633 179.3530
66.000000 78.610 178.9465
67.000000 78.599 178.5118
68.000000 78.592 178.1144
69.000000 78.590 177.6819
70.000000 78.571 177.2901
71.000000 78.556 176.9919
72.000000 78.541 176.6319
73.000000 78.517 176.2642
74.000000 78.492 175.9185
75.000000 78.476 175.5756
76.199997 78.452 175.0941
77.500000 78.428 174.6681
78.800003 78.401 174.1968
80.000000 78.372 173.8484
81.199997 78.357 173.5095
82.500000 78.330 173.0312
83.800003 78.295 172.7172
85.000000 78.279 172.3739
86.199997 78.249 171.9984
87.500000 78.219 171.6409
88.500000 78.196 171.3146
90.000000 78.152 170.8921
91.199997 78.124 170.6286
92.500000 78.112 170.2980
93.800003 78.071 169.8673
95.000000 78.036 169.6513
96.199997 78.008 169.3288
97.500000 77.973 168.9929
98.800003 77.936 168.7117
100.000000 77.919 168.4506
101.500000 77.880 168.0583
103.000000 77.835 167.7452
104.400002 77.799 167.4916
106.000000 77.762 167.1640
107.500000 77.723 166.7816
109.000000 77.688 166.5152
110.599998 77.637 166.1645
112.000000 77.603 165.9369
113.800003 77.545 165.5763
115.000000 77.511 165.4177
117.199997 77.447 165.0328
118.000000 77.424 164.8755
120.599998 77.336 164.4575
122.000000 77.282 164.2203
124.099998 77.215 164.0342
125.000000 77.185 163.9381
126.500000 77.128 163.8989
128.000000 77.086 163.8638
131.500000 77.026 163.7748
132.000000 77.018 163.7755
134.000000 77.014 163.5244
136.000000 76.977 163.2712
138.000000 76.953 162.9509
140.000000 76.897 162.7951
143.000000 76.852 162.5955
145.000000 76.844 162.3852
147.500000 76.814 161.9317
150.000000 76.763 161.5462
152.500000 76.695 161.2956
155.000000 76.636 160.9990
157.500000 76.582 160.6995
160.000000 76.547 160.3929
162.500000 76.504 159.9901
165.000000 76.433 159.7788
167.500000 76.368 159.5054
170.000000 76.303 159.1884
172.500000 76.233 158.9412
175.000000 76.170 158.6499
177.500000 76.102 158.5624
180.000000 76.040 158.4159
182.500000 75.979 158.2076
185.000000 75.903 158.1226
187.500000 75.855 158.0208
190.000000 75.802 157.8567
192.500000 75.745 157.7980
195.000000 75.684 157.6052
197.500000 75.628 157.4893
200.000000 75.574 157.4351
203.000000 75.521 157.2369
206.000000 75.446 157.1672
209.000000 75.374 156.9791
212.000000 75.308 156.9570
214.000000 75.257 156.8483
218.000000 75.174 156.7823
220.000000 75.123 156.7525
224.000000 75.053 156.5698
227.000000 74.981 156.4629
230.000000 74.931 156.5265
233.000000 74.860 156.4251
236.000000 74.797 156.3828
240.000000 74.727 156.2923
243.000000 74.665 156.2190
247.000000 74.574 156.2521
250.000000 74.513 156.2668
254.000000 74.453 156.1054
258.000000 74.354 156.1187
262.000000 74.291 156.0940
265.000000 74.230 156.0970
269.000000 74.132 155.9435
272.000000 74.092 155.9940
276.000000 74.003 156.0762
280.000000 73.945 156.1972
285.000000 73.849 156.1994
290.000000 73.741 156.3356
295.000000 73.637 156.3592
300.000000 73.567 156.6046
304.000000 73.506 156.5116
307.000000 73.444 156.6119
311.000000 73.386 156.7503
315.000000 73.303 156.8456
