* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 23:26:56 27-02-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Godmod 500bd foam notip R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 84.691 120.6094
1.015000 84.517 119.7007
1.030000 84.337 118.7888
1.044000 84.163 117.9345
1.060000 83.957 116.9541
1.075000 83.756 116.0308
1.090000 83.547 115.1033
1.106000 83.318 114.1309
1.120000 83.125 113.4125
1.138000 82.889 112.6772
1.150000 82.737 112.2872
1.172000 82.466 111.7368
1.180000 82.369 111.5782
1.206000 82.052 111.1605
1.220000 81.878 110.9675
1.241000 81.607 110.6697
1.250000 81.486 110.5259
1.265000 81.276 110.2462
1.280000 81.054 109.8973
1.315000 80.477 108.6862
1.320000 80.387 108.4555
1.340000 80.002 107.3553
1.360000 79.575 105.9308
1.380000 79.102 104.1282
1.400000 78.578 101.8940
1.430000 77.682 97.6162
1.450000 77.005 94.0685
1.475000 76.044 88.7361
1.500000 74.827 82.2148
1.525000 73.368 74.6079
1.550000 71.717 66.0786
1.575000 69.926 56.7899
1.600000 68.046 46.9052
1.625000 66.126 36.5873
1.650000 64.218 25.9995
1.675000 62.373 15.3049
1.700000 60.640 4.6665
1.725000 59.072 -5.7525
1.750000 57.718 -15.7890
1.775000 56.630 -25.2799
1.800000 55.858 -34.0621
1.825000 55.452 -41.9725
1.850000 55.459 -49.0824
1.875000 55.864 -55.8735
1.900000 56.614 -62.3725
1.925000 57.657 -68.5840
1.950000 58.942 -74.5125
1.975000 60.415 -80.1624
2.000000 62.024 -85.5382
2.030000 64.062 -91.6337
2.060000 66.130 -97.3488
2.090000 68.139 -102.6912
2.120000 69.997 -107.6687
2.140000 71.107 -110.7882
2.180000 72.900 -116.5601
2.200000 73.530 -119.2157
2.240000 74.464 -123.7546
2.270000 74.979 -126.4688
2.300000 75.357 -128.6814
2.330000 75.616 -130.4731
2.360000 75.777 -131.9249
2.400000 75.871 -133.4713
2.430000 75.876 -134.4439
2.470000 75.832 -135.6447
2.500000 75.785 -136.5780
2.540000 75.743 -138.0197
2.580000 75.751 -139.8244
2.620000 75.734 -141.7704
2.650000 75.689 -143.2475
2.690000 75.586 -145.1948
2.720000 75.477 -146.6075
2.760000 75.289 -148.3821
2.800000 75.052 -149.9798
2.850000 74.687 -151.6416
2.900000 74.244 -152.8272
2.950000 73.710 -153.5067
3.000000 72.983 -154.2343
3.040000 72.286 -154.7808
3.070000 71.722 -155.0685
3.110000 70.944 -155.1652
3.150000 70.173 -154.7922
3.200000 69.277 -153.4300
3.250000 68.525 -150.7904
3.300000 67.991 -146.5667
3.350000 67.627 -139.8704
3.400000 67.366 -130.8315
3.450000 67.210 -120.3499
3.500000 67.160 -109.3255
3.550000 67.218 -98.6581
3.600000 67.386 -89.2477
3.650000 67.665 -81.9942
3.700000 68.101 -77.2931
3.750000 68.763 -74.2233
3.820000 69.940 -72.0181
3.870000 70.861 -71.5227
3.950000 72.275 -71.7551
4.000000 73.009 -72.0650
4.060000 73.651 -72.3158
4.120000 74.148 -73.2257
4.180000 74.541 -74.7311
4.250000 74.890 -76.9331
4.310000 75.115 -78.9396
4.370000 75.291 -80.8132
4.440000 75.440 -82.7206
4.500000 75.494 -84.4499
4.550000 75.490 -85.9219
4.620000 75.421 -87.9266
4.680000 75.313 -89.4971
4.750000 75.142 -91.0328
4.820000 74.912 -92.2908
4.870000 74.696 -93.1300
4.940000 74.343 -94.1183
5.000000 74.013 -94.6965
5.080000 73.563 -94.9205
5.150000 73.185 -94.4528
5.220000 72.761 -93.3002
5.300000 72.243 -91.3267
5.380000 71.763 -88.8913
5.450000 71.431 -86.5765
5.520000 71.229 -84.1985
5.600000 71.137 -80.8785
5.700000 71.172 -76.3073
5.800000 71.314 -72.2603
5.900000 71.516 -69.6974
6.000000 71.855 -68.3461
6.080000 72.177 -67.9130
6.150000 72.446 -67.9299
6.220000 72.662 -68.2531
6.300000 72.846 -69.0991
6.400000 73.033 -70.9383
6.500000 73.157 -73.2757
6.600000 73.202 -75.7155
6.700000 73.158 -78.3554
6.800000 73.038 -81.2529
6.900000 72.859 -84.1390
7.000000 72.635 -86.7938
7.100000 72.340 -89.3945
7.200000 72.002 -91.8515
7.300000 71.661 -93.9865
7.400000 71.325 -95.6789
7.500000 70.965 -97.0125
7.620000 70.574 -98.2335
7.750000 70.286 -99.1379
7.880000 70.111 -99.4246
8.000000 70.053 -99.6130
8.120000 70.119 -100.1646
8.250000 70.340 -100.9548
8.380000 70.639 -102.0879
8.500000 70.932 -103.6338
8.620000 71.274 -105.6336
8.750000 71.644 -108.0379
8.850000 71.896 -109.9335
9.000000 72.250 -113.0246
9.120000 72.504 -115.4356
9.250000 72.735 -117.7860
9.380000 72.928 -119.9762
9.500000 73.086 -121.7258
9.620000 73.230 -123.1256
9.750000 73.365 -124.3097
9.880000 73.504 -125.2012
10.000000 73.644 -125.7399
10.150000 73.827 -126.0711
10.300000 74.030 -126.2729
10.440000 74.243 -126.3184
10.600000 74.496 -126.3185
10.750000 74.731 -126.3950
10.900000 74.965 -126.4941
11.060000 75.189 -126.6283
11.200000 75.365 -126.7805
11.380000 75.564 -126.9299
11.500000 75.676 -126.9835
11.720000 75.851 -126.9900
11.800000 75.908 -126.9497
12.060000 76.070 -126.7075
12.200000 76.150 -126.5577
12.410000 76.259 -126.3220
12.500000 76.300 -126.2501
12.650000 76.362 -126.1624
12.800000 76.413 -126.1109
13.150000 76.471 -126.1382
13.200000 76.473 -126.1449
13.400000 76.466 -126.1756
13.600000 76.447 -126.1966
13.800000 76.418 -126.1891
14.000000 76.393 -126.2300
14.300000 76.365 -126.4377
14.500000 76.353 -126.7762
14.750000 76.332 -127.4398
15.000000 76.299 -128.3623
15.250000 76.244 -129.4401
15.500000 76.179 -130.5578
15.750000 76.115 -131.6581
16.000000 76.071 -132.6927
16.250000 76.060 -133.7272
16.500000 76.085 -134.7999
16.750000 76.142 -135.9764
17.000000 76.215 -137.2362
17.250000 76.296 -138.5300
17.500000 76.378 -139.7840
17.750000 76.462 -140.9003
18.000000 76.552 -141.8615
18.250000 76.653 -142.6516
18.500000 76.767 -143.3224
18.750000 76.889 -143.9068
19.000000 77.013 -144.4348
19.250000 77.129 -144.9107
19.500000 77.235 -145.3150
19.750000 77.327 -145.6350
20.000000 77.408 -145.8599
20.299999 77.495 -146.0365
20.600000 77.570 -146.1518
20.900000 77.631 -146.2500
21.200001 77.674 -146.3520
21.400000 77.692 -146.4156
21.799999 77.707 -146.5281
22.000000 77.709 -146.5871
22.400000 77.707 -146.7643
22.700001 77.701 -147.0083
23.000000 77.688 -147.3779
23.299999 77.663 -147.8455
23.600000 77.628 -148.3652
24.000000 77.578 -149.0783
24.299999 77.549 -149.6210
24.700001 77.533 -150.3986
25.000000 77.536 -151.0506
25.400000 77.552 -151.9960
25.799999 77.577 -152.9439
26.200001 77.614 -153.8164
26.500000 77.652 -154.4152
26.900000 77.715 -155.1629
27.200001 77.764 -155.6917
27.600000 77.824 -156.3255
28.000000 77.871 -156.8179
28.500000 77.922 -157.1959
29.000000 77.971 -157.3842
29.500000 78.016 -157.4878
30.000000 78.052 -157.5657
30.400000 78.076 -157.6403
30.700001 78.091 -157.7268
31.100000 78.108 -157.9111
31.500000 78.118 -158.1820
32.000000 78.122 -158.6265
32.500000 78.122 -159.1721
33.000000 78.122 -159.8145
33.500000 78.122 -160.5291
34.000000 78.125 -161.2635
34.500000 78.133 -161.9762
35.000000 78.147 -162.6398
35.500000 78.169 -163.2191
36.000000 78.201 -163.7102
36.500000 78.245 -164.1750
37.000000 78.287 -164.6732
37.500000 78.311 -165.1615
38.200001 78.320 -165.6558
38.700001 78.329 -165.9002
39.500000 78.348 -166.4098
40.000000 78.344 -166.8051
40.599998 78.326 -167.2381
41.200001 78.313 -167.6283
41.799999 78.310 -168.0608
42.500000 78.308 -168.6204
43.099998 78.308 -169.0848
43.700001 78.315 -169.5299
44.400002 78.328 -170.0557
45.000000 78.335 -170.5014
45.500000 78.338 -170.8389
46.200001 78.340 -171.2546
46.799999 78.344 -171.6048
47.500000 78.344 -172.0403
48.200001 78.336 -172.4821
48.700001 78.324 -172.7864
49.400002 78.303 -173.1441
50.000000 78.293 -173.3607
50.799999 78.307 -173.6898
51.500000 78.319 -174.1261
52.200001 78.313 -174.5597
53.000000 78.305 -174.9920
53.799999 78.294 -175.4299
54.500000 78.285 -175.7933
55.200001 78.280 -176.2180
56.000000 78.256 -176.7428
57.000000 78.233 -177.1705
58.000000 78.246 -177.7037
59.000000 78.233 -178.2446
60.000000 78.233 -178.5735
60.799999 78.239 -178.8739
61.500000 78.235 -179.1548
62.200001 78.222 -179.4377
63.000000 78.194 -179.7019
64.000000 78.177 -179.9371
65.000000 78.177 179.5602
66.000000 78.143 179.0033
67.000000 78.125 178.6270
68.000000 78.125 178.1548
69.000000 78.116 177.6735
70.000000 78.091 177.2512
71.000000 78.063 177.0350
72.000000 78.064 176.8041
73.000000 78.045 176.3826
74.000000 78.007 176.1743
75.000000 78.013 175.9370
76.199997 77.986 175.3781
77.500000 77.964 175.0003
78.800003 77.923 174.4549
80.000000 77.906 174.2742
81.199997 77.900 173.7690
82.500000 77.861 173.5228
83.800003 77.851 173.1703
85.000000 77.810 172.9257
86.199997 77.786 172.6304
87.500000 77.751 172.2845
88.500000 77.736 171.9116
90.000000 77.697 171.4418
91.199997 77.697 171.0858
92.500000 77.679 170.6725
93.800003 77.654 170.3562
95.000000 77.618 170.1190
96.199997 77.590 169.8956
97.500000 77.563 169.5622
98.800003 77.550 169.0928
100.000000 77.499 168.4607
101.500000 77.422 168.4476
103.000000 77.423 168.0498
104.400002 77.376 167.9738
106.000000 77.350 167.5262
107.500000 77.306 167.2704
109.000000 77.265 166.8997
110.599998 77.213 166.4255
112.000000 77.160 166.2776
113.800003 77.135 166.0097
115.000000 77.105 165.8372
117.199997 77.046 165.4146
118.000000 77.025 165.4066
120.599998 76.948 164.9167
122.000000 76.921 164.6331
124.099998 76.859 164.4151
125.000000 76.841 164.2403
126.500000 76.788 164.0941
128.000000 76.765 163.9152
131.500000 76.677 163.4760
132.000000 76.668 163.4329
134.000000 76.619 163.1609
136.000000 76.582 162.9479
138.000000 76.522 162.6868
140.000000 76.467 162.4183
143.000000 76.379 162.1810
145.000000 76.343 161.9878
147.500000 76.289 161.7445
150.000000 76.207 161.8118
152.500000 76.158 161.5583
155.000000 76.109 161.3891
157.500000 76.073 161.2483
160.000000 76.016 161.0514
162.500000 75.972 160.8738
165.000000 75.942 160.5341
167.500000 75.883 160.4225
170.000000 75.843 160.1016
172.500000 75.801 159.9008
175.000000 75.752 159.7781
177.500000 75.714 159.5580
180.000000 75.666 159.3405
182.500000 75.615 159.0919
185.000000 75.552 158.8670
187.500000 75.502 158.5437
190.000000 75.450 158.2769
192.500000 75.394 158.2302
195.000000 75.332 157.9658
197.500000 75.275 157.9535
200.000000 75.213 157.6716
203.000000 75.132 157.6246
206.000000 75.056 157.4101
209.000000 74.984 157.2277
212.000000 74.898 157.0929
214.000000 74.862 157.0677
218.000000 74.769 156.9187
220.000000 74.724 156.8579
224.000000 74.637 156.7659
227.000000 74.567 156.6616
230.000000 74.501 156.6381
233.000000 74.440 156.5495
236.000000 74.367 156.5099
240.000000 74.287 156.4965
243.000000 74.218 156.5323
247.000000 74.130 156.4230
250.000000 74.070 156.6038
254.000000 74.003 156.4079
258.000000 73.916 156.4011
262.000000 73.821 156.4045
265.000000 73.766 156.4988
269.000000 73.695 156.5939
272.000000 73.632 156.5511
276.000000 73.536 156.6149
280.000000 73.465 156.5701
285.000000 73.402 156.6843
290.000000 73.299 156.8493
295.000000 73.195 156.8568
300.000000 73.140 156.9995
304.000000 73.047 157.0298
307.000000 73.003 157.1821
311.000000 72.927 157.4012
315.000000 72.850 157.3993
