* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 00:30:11 28-02-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Godmod 500bd foam notip L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 78.015 121.8034
1.015000 77.837 120.8869
1.030000 77.652 119.9626
1.044000 77.473 119.0922
1.060000 77.260 118.0876
1.075000 77.052 117.1358
1.090000 76.837 116.1735
1.106000 76.598 115.1558
1.120000 76.387 114.3851
1.138000 76.113 113.5656
1.150000 75.928 113.1099
1.172000 75.583 112.4221
1.180000 75.456 112.2088
1.206000 75.033 111.5995
1.220000 74.798 111.2964
1.241000 74.438 110.8279
1.250000 74.279 110.6096
1.265000 74.009 110.2053
1.280000 73.732 109.7324
1.315000 73.052 108.2425
1.320000 72.951 107.9740
1.340000 72.535 106.7297
1.360000 72.101 105.1750
1.380000 71.647 103.2598
1.400000 71.172 100.9340
1.430000 70.417 96.5655
1.450000 69.883 92.9935
1.475000 69.169 87.6729
1.500000 68.315 81.1726
1.525000 67.328 73.5913
1.550000 66.237 65.0972
1.575000 65.072 55.8587
1.600000 63.863 46.0443
1.625000 62.641 35.8222
1.650000 61.436 25.3608
1.675000 60.278 14.8285
1.700000 59.197 4.3937
1.725000 58.224 -5.7753
1.750000 57.387 -15.5100
1.775000 56.718 -24.6422
1.800000 56.247 -33.0035
1.825000 56.003 -40.4255
1.850000 56.018 -46.9561
1.875000 56.288 -53.0414
1.900000 56.781 -58.7255
1.925000 57.464 -64.0324
1.950000 58.303 -68.9860
1.975000 59.263 -73.6102
2.000000 60.313 -77.9291
2.030000 61.642 -82.7423
2.060000 62.992 -87.1917
2.090000 64.306 -91.3186
2.120000 65.525 -95.1643
2.140000 66.256 -97.5925
2.180000 67.447 -102.1782
2.200000 67.873 -104.3588
2.240000 68.524 -108.1774
2.270000 68.901 -110.5165
2.300000 69.194 -112.4657
2.330000 69.415 -114.0787
2.360000 69.574 -115.4092
2.400000 69.706 -116.8371
2.430000 69.761 -117.7180
2.470000 69.794 -118.7417
2.500000 69.802 -119.4661
2.540000 69.811 -120.4764
2.580000 69.833 -121.6318
2.620000 69.804 -122.8048
2.650000 69.745 -123.6436
2.690000 69.623 -124.6680
2.720000 69.505 -125.3391
2.760000 69.321 -126.0651
2.800000 69.115 -126.5535
2.850000 68.843 -126.7552
2.900000 68.573 -126.4138
2.950000 68.313 -125.4277
3.000000 67.984 -123.7245
3.040000 67.678 -121.9194
3.070000 67.437 -120.3539
3.110000 67.117 -118.0410
3.150000 66.818 -115.5354
3.200000 66.504 -112.2402
3.250000 66.295 -108.8925
3.300000 66.230 -105.6278
3.350000 66.317 -102.0837
3.400000 66.526 -98.0994
3.450000 66.829 -93.9069
3.500000 67.197 -89.7384
3.550000 67.602 -85.8260
3.600000 68.016 -82.4017
3.650000 68.411 -79.6978
3.700000 68.792 -77.8365
3.750000 69.215 -76.6116
3.820000 69.850 -75.7418
3.870000 70.307 -75.5733
3.950000 70.999 -75.7810
4.000000 71.376 -76.0361
4.060000 71.753 -76.3729
4.120000 72.077 -77.0609
4.180000 72.357 -78.0535
4.250000 72.631 -79.4437
4.310000 72.827 -80.7035
4.370000 72.988 -81.9053
4.440000 73.133 -83.1856
4.500000 73.209 -84.3553
4.550000 73.244 -85.3549
4.620000 73.257 -86.7261
4.680000 73.241 -87.8135
4.750000 73.202 -88.9001
4.820000 73.133 -89.7881
4.870000 73.056 -90.3566
4.940000 72.921 -91.0364
5.000000 72.792 -91.4875
5.080000 72.621 -91.8607
5.150000 72.488 -91.9327
5.220000 72.344 -91.7160
5.300000 72.174 -91.1887
5.380000 72.018 -90.4781
5.450000 71.914 -89.8002
5.520000 71.853 -89.1289
5.600000 71.829 -88.1756
5.700000 71.851 -86.8493
5.800000 71.918 -85.6970
5.900000 72.022 -85.0245
6.000000 72.186 -84.7031
6.080000 72.343 -84.6666
6.150000 72.480 -84.8071
6.220000 72.604 -85.1177
6.300000 72.731 -85.7254
6.400000 72.886 -86.8461
6.500000 73.024 -88.2174
6.600000 73.126 -89.6793
6.700000 73.190 -91.2934
6.800000 73.222 -93.0670
6.900000 73.230 -94.8463
7.000000 73.216 -96.5034
7.100000 73.171 -98.1290
7.200000 73.106 -99.6891
7.300000 73.040 -101.1044
7.400000 72.978 -102.3206
7.500000 72.907 -103.3746
7.620000 72.835 -104.4703
7.750000 72.802 -105.4814
7.880000 72.806 -106.2469
8.000000 72.844 -106.8840
8.120000 72.920 -107.5900
8.250000 73.051 -108.3556
8.380000 73.209 -109.2009
8.500000 73.366 -110.1357
8.620000 73.541 -111.1967
8.750000 73.732 -112.4274
8.850000 73.869 -113.4104
9.000000 74.066 -114.9897
9.120000 74.212 -116.2398
9.250000 74.352 -117.5097
9.380000 74.477 -118.7328
9.500000 74.584 -119.7614
9.620000 74.685 -120.6560
9.750000 74.786 -121.5009
9.880000 74.887 -122.2307
10.000000 74.984 -122.7920
10.150000 75.108 -123.3580
10.300000 75.237 -123.8596
10.440000 75.366 -124.2600
10.600000 75.515 -124.6801
10.750000 75.652 -125.0823
10.900000 75.788 -125.4753
11.060000 75.923 -125.8900
11.200000 76.031 -126.2523
11.380000 76.159 -126.6864
11.500000 76.234 -126.9503
11.720000 76.358 -127.3839
11.800000 76.399 -127.5212
12.060000 76.520 -127.9096
12.200000 76.579 -128.1024
12.410000 76.661 -128.3756
12.500000 76.692 -128.4995
12.650000 76.741 -128.7126
12.800000 76.783 -128.9329
13.150000 76.854 -129.4795
13.200000 76.862 -129.5567
13.400000 76.886 -129.8613
13.600000 76.904 -130.1604
13.800000 76.921 -130.4487
14.000000 76.939 -130.7639
14.300000 76.972 -131.3134
14.500000 76.998 -131.7762
14.750000 77.028 -132.4679
15.000000 77.052 -133.2805
15.250000 77.066 -134.1649
15.500000 77.074 -135.0656
15.750000 77.081 -135.9534
16.000000 77.093 -136.8009
16.250000 77.117 -137.6294
16.500000 77.154 -138.4529
16.750000 77.204 -139.2969
17.000000 77.260 -140.1588
17.250000 77.320 -141.0231
17.500000 77.380 -141.8660
17.750000 77.441 -142.6535
18.000000 77.504 -143.3786
18.250000 77.569 -144.0343
18.500000 77.636 -144.6335
18.750000 77.704 -145.1828
19.000000 77.772 -145.6882
19.250000 77.836 -146.1478
19.500000 77.896 -146.5597
19.750000 77.953 -146.9239
20.000000 78.006 -147.2499
20.299999 78.065 -147.6117
20.600000 78.117 -147.9583
20.900000 78.159 -148.2973
21.200001 78.189 -148.6181
21.400000 78.204 -148.8133
21.799999 78.230 -149.1735
22.000000 78.243 -149.3583
22.400000 78.271 -149.8035
22.700001 78.288 -150.2445
23.000000 78.292 -150.7700
23.299999 78.281 -151.3147
23.600000 78.259 -151.8138
24.000000 78.233 -152.3563
24.299999 78.231 -152.7134
24.700001 78.260 -153.2637
25.000000 78.294 -153.8134
25.400000 78.330 -154.7132
25.799999 78.338 -155.6175
26.200001 78.338 -156.3192
26.500000 78.344 -156.6896
26.900000 78.384 -157.0895
27.200001 78.432 -157.4339
27.600000 78.495 -158.0208
28.000000 78.531 -158.6473
28.500000 78.541 -159.1873
29.000000 78.565 -159.3712
29.500000 78.636 -159.5442
30.000000 78.713 -160.0636
30.400000 78.739 -160.6629
30.700001 78.730 -161.0837
31.100000 78.701 -161.4672
31.500000 78.684 -161.6652
32.000000 78.703 -161.9161
32.500000 78.744 -162.4572
33.000000 78.758 -163.2396
33.500000 78.735 -163.9736
34.000000 78.709 -164.4851
34.500000 78.708 -164.8747
35.000000 78.731 -165.3075
35.500000 78.756 -165.8153
36.000000 78.774 -166.3233
36.500000 78.789 -166.7938
37.000000 78.800 -167.2421
37.500000 78.801 -167.6565
38.200001 78.793 -168.0767
38.700001 78.798 -168.2676
39.500000 78.838 -168.7062
40.000000 78.856 -169.1746
40.599998 78.843 -169.7710
41.200001 78.814 -170.1372
41.799999 78.820 -170.3487
42.500000 78.870 -170.8929
43.099998 78.875 -171.6567
43.700001 78.827 -172.2015
44.400002 78.797 -172.3304
45.000000 78.837 -172.4860
45.500000 78.874 -172.9038
46.200001 78.872 -173.6204
46.799999 78.847 -174.0003
47.500000 78.849 -174.3236
48.200001 78.865 -174.8720
48.700001 78.853 -175.3449
49.400002 78.807 -175.8276
50.000000 78.778 -175.9946
50.799999 78.791 -176.1499
51.500000 78.827 -176.4991
52.200001 78.847 -177.0274
53.000000 78.838 -177.6439
53.799999 78.809 -178.1209
54.500000 78.788 -178.4305
55.200001 78.777 -178.7463
56.000000 78.765 -179.1654
57.000000 78.745 -179.6935
58.000000 78.724 179.8093
59.000000 78.712 179.3599
60.000000 78.703 178.8777
60.799999 78.687 178.5217
61.500000 78.675 178.2537
62.200001 78.665 177.9904
63.000000 78.655 177.6602
64.000000 78.634 177.2120
65.000000 78.612 176.8136
66.000000 78.597 176.3595
67.000000 78.569 175.9266
68.000000 78.554 175.5642
69.000000 78.532 175.1298
70.000000 78.503 174.8510
71.000000 78.495 174.5271
72.000000 78.472 174.1704
73.000000 78.461 173.8365
74.000000 78.439 173.3724
75.000000 78.407 173.0529
76.199997 78.387 172.6236
77.500000 78.352 172.1903
78.800003 78.322 171.7553
80.000000 78.292 171.3995
81.199997 78.264 171.0330
82.500000 78.237 170.6528
83.800003 78.207 170.2808
85.000000 78.180 169.8955
86.199997 78.135 169.5844
87.500000 78.110 169.2661
88.500000 78.082 168.9241
90.000000 78.038 168.5398
91.199997 78.012 168.1998
92.500000 77.978 167.9136
93.800003 77.957 167.5826
95.000000 77.919 167.2881
96.199997 77.886 167.0085
97.500000 77.850 166.7095
98.800003 77.809 166.3450
100.000000 77.778 166.1249
101.500000 77.739 165.7368
103.000000 77.711 165.4279
104.400002 77.653 165.0860
106.000000 77.614 164.8884
107.500000 77.575 164.5489
109.000000 77.533 164.2424
110.599998 77.485 163.8779
112.000000 77.450 163.6142
113.800003 77.393 163.3405
115.000000 77.370 163.1135
117.199997 77.303 162.7620
118.000000 77.283 162.6136
120.599998 77.192 162.1602
122.000000 77.170 161.9594
124.099998 77.100 161.5627
125.000000 77.074 161.4894
126.500000 77.040 161.2809
128.000000 76.986 161.0224
131.500000 76.885 160.4813
132.000000 76.864 160.4171
134.000000 76.793 160.2617
136.000000 76.749 160.0609
138.000000 76.678 159.8128
140.000000 76.623 159.5428
143.000000 76.522 159.1802
145.000000 76.437 158.9810
147.500000 76.376 158.8784
150.000000 76.276 158.7559
152.500000 76.177 158.6550
155.000000 76.099 158.8168
157.500000 76.064 159.1428
160.000000 76.022 159.1978
162.500000 76.066 159.2780
165.000000 76.052 158.8943
167.500000 76.053 158.4919
170.000000 75.991 157.9409
172.500000 75.936 157.6839
175.000000 75.855 157.4105
177.500000 75.799 157.1141
180.000000 75.755 156.7623
182.500000 75.675 156.6254
185.000000 75.600 156.3727
187.500000 75.542 156.2609
190.000000 75.465 156.0530
192.500000 75.413 155.9403
195.000000 75.350 155.8217
197.500000 75.277 155.7332
200.000000 75.211 155.6401
203.000000 75.140 155.5182
206.000000 75.063 155.4026
209.000000 74.998 155.3493
212.000000 74.930 155.3139
214.000000 74.881 155.3124
218.000000 74.787 155.2180
220.000000 74.740 155.1125
224.000000 74.635 155.1387
227.000000 74.578 154.9499
230.000000 74.504 155.0479
233.000000 74.444 155.0451
236.000000 74.381 154.9736
240.000000 74.290 154.9876
243.000000 74.232 155.0665
247.000000 74.151 155.0345
250.000000 74.080 154.9754
254.000000 74.010 155.1078
258.000000 73.898 155.0581
262.000000 73.842 155.0122
265.000000 73.773 155.1649
269.000000 73.706 155.2265
272.000000 73.649 155.1641
276.000000 73.548 155.3304
280.000000 73.497 155.5140
285.000000 73.403 155.4368
290.000000 73.320 155.7191
295.000000 73.224 155.7647
300.000000 73.144 155.8967
304.000000 73.055 155.9746
307.000000 73.008 156.1582
311.000000 72.951 156.2208
315.000000 72.867 156.3660
