* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 00:26:48 28-02-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Godmod 500bd foam notip L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 76.676 120.3867
1.015000 76.498 119.4202
1.030000 76.312 118.4415
1.044000 76.133 117.5162
1.060000 75.921 116.4435
1.075000 75.714 115.4221
1.090000 75.499 114.3845
1.106000 75.261 113.2768
1.120000 75.046 112.4026
1.138000 74.764 111.4156
1.150000 74.570 110.8295
1.172000 74.207 109.8702
1.180000 74.071 109.5497
1.206000 73.620 108.5688
1.220000 73.370 108.0559
1.241000 72.985 107.2674
1.250000 72.817 106.9121
1.265000 72.532 106.2828
1.280000 72.241 105.5916
1.315000 71.540 103.6395
1.320000 71.437 103.3122
1.340000 71.020 101.8562
1.360000 70.592 100.1335
1.380000 70.155 98.1025
1.400000 69.707 95.7213
1.430000 69.016 91.4014
1.450000 68.543 87.9619
1.475000 67.929 82.9379
1.500000 67.219 76.9152
1.525000 66.416 69.9757
1.550000 65.542 62.2609
1.575000 64.619 53.9118
1.600000 63.670 45.0698
1.625000 62.716 35.8761
1.650000 61.781 26.4720
1.675000 60.885 16.9986
1.700000 60.052 7.5973
1.725000 59.303 -1.5908
1.750000 58.662 -10.4243
1.775000 58.149 -18.7621
1.800000 57.787 -26.4629
1.825000 57.599 -33.3855
1.850000 57.608 -39.5826
1.875000 57.817 -45.4532
1.900000 58.199 -51.0262
1.925000 58.730 -56.3124
1.950000 59.382 -61.3226
1.975000 60.130 -66.0674
2.000000 60.947 -70.5575
2.030000 61.984 -75.6246
2.060000 63.039 -80.3590
2.090000 64.066 -84.7791
2.120000 65.022 -88.9035
2.140000 65.597 -91.4980
2.180000 66.538 -96.3393
2.200000 66.877 -98.5960
2.240000 67.407 -102.5424
2.270000 67.724 -104.9820
2.300000 67.980 -107.0325
2.330000 68.181 -108.7452
2.360000 68.335 -110.1712
2.400000 68.479 -111.7152
2.430000 68.550 -112.6715
2.470000 68.608 -113.7750
2.500000 68.634 -114.5403
2.540000 68.659 -115.5749
2.580000 68.679 -116.7137
2.620000 68.645 -117.8205
2.650000 68.582 -118.5815
2.690000 68.457 -119.4731
2.720000 68.338 -120.0285
2.760000 68.157 -120.5871
2.800000 67.959 -120.9025
2.850000 67.706 -120.8962
2.900000 67.469 -120.3748
2.950000 67.258 -119.2462
3.000000 67.001 -117.3650
3.040000 66.766 -115.3978
3.070000 66.584 -113.7109
3.110000 66.348 -111.2507
3.150000 66.133 -108.6303
3.200000 65.920 -105.2645
3.250000 65.801 -101.9597
3.300000 65.807 -98.8859
3.350000 65.953 -95.7322
3.400000 66.213 -92.3160
3.450000 66.560 -88.8088
3.500000 66.964 -85.3818
3.550000 67.397 -82.2065
3.600000 67.831 -79.4542
3.650000 68.238 -77.2963
3.700000 68.619 -75.8342
3.750000 69.028 -74.9333
3.820000 69.624 -74.4174
3.870000 70.048 -74.4459
3.950000 70.684 -74.9031
4.000000 71.034 -75.2906
4.060000 71.390 -75.7715
4.120000 71.697 -76.5521
4.180000 71.963 -77.5931
4.250000 72.226 -79.0031
4.310000 72.415 -80.2651
4.370000 72.572 -81.4708
4.440000 72.716 -82.7648
4.500000 72.795 -83.9329
4.550000 72.834 -84.9241
4.620000 72.856 -86.2793
4.680000 72.851 -87.3554
4.750000 72.826 -88.4395
4.820000 72.776 -89.3344
4.870000 72.714 -89.9069
4.940000 72.604 -90.5963
5.000000 72.498 -91.0654
5.080000 72.358 -91.4855
5.150000 72.251 -91.6285
5.220000 72.137 -91.5113
5.300000 72.002 -91.1250
5.380000 71.881 -90.5755
5.450000 71.803 -90.0480
5.520000 71.764 -89.5323
5.600000 71.758 -88.7859
5.700000 71.798 -87.7390
5.800000 71.878 -86.8441
5.900000 71.989 -86.3640
6.000000 72.152 -86.1873
6.080000 72.305 -86.2376
6.150000 72.440 -86.4318
6.220000 72.562 -86.7750
6.300000 72.690 -87.3888
6.400000 72.847 -88.4717
6.500000 72.989 -89.7728
6.600000 73.099 -91.1507
6.700000 73.174 -92.6613
6.800000 73.221 -94.3099
6.900000 73.246 -95.9579
7.000000 73.252 -97.4896
7.100000 73.228 -98.9856
7.200000 73.188 -100.4173
7.300000 73.145 -101.7158
7.400000 73.106 -102.8327
7.500000 73.060 -103.7996
7.620000 73.015 -104.8064
7.750000 73.005 -105.7430
7.880000 73.027 -106.4619
8.000000 73.076 -107.0642
8.120000 73.159 -107.7290
8.250000 73.288 -108.4513
8.380000 73.440 -109.2452
8.500000 73.588 -110.1152
8.620000 73.752 -111.0973
8.750000 73.929 -112.2343
8.850000 74.055 -113.1422
9.000000 74.236 -114.5984
9.120000 74.370 -115.7525
9.250000 74.498 -116.9285
9.380000 74.612 -118.0637
9.500000 74.709 -119.0229
9.620000 74.802 -119.8630
9.750000 74.893 -120.6630
9.880000 74.986 -121.3615
10.000000 75.075 -121.9072
10.150000 75.188 -122.4698
10.300000 75.308 -122.9771
10.440000 75.426 -123.3923
10.600000 75.564 -123.8356
10.750000 75.691 -124.2610
10.900000 75.818 -124.6802
11.060000 75.943 -125.1249
11.200000 76.046 -125.5149
11.380000 76.167 -125.9896
11.500000 76.239 -126.2839
11.720000 76.360 -126.7808
11.800000 76.400 -126.9441
12.060000 76.521 -127.4266
12.200000 76.582 -127.6755
12.410000 76.666 -128.0397
12.500000 76.699 -128.2045
12.650000 76.751 -128.4884
12.800000 76.796 -128.7823
13.150000 76.876 -129.5095
13.200000 76.885 -129.6129
13.400000 76.913 -130.0240
13.600000 76.935 -130.4251
13.800000 76.952 -130.8092
14.000000 76.971 -131.2046
14.300000 77.003 -131.8403
14.500000 77.028 -132.3317
14.750000 77.057 -133.0307
15.000000 77.083 -133.8214
15.250000 77.101 -134.6655
15.500000 77.114 -135.5160
15.750000 77.126 -136.3489
16.000000 77.145 -137.1420
16.250000 77.174 -137.9178
16.500000 77.215 -138.6906
16.750000 77.266 -139.4863
17.000000 77.322 -140.3012
17.250000 77.380 -141.1189
17.500000 77.436 -141.9137
17.750000 77.492 -142.6501
18.000000 77.548 -143.3234
18.250000 77.609 -143.9294
18.500000 77.673 -144.4924
18.750000 77.739 -145.0258
19.000000 77.803 -145.5414
19.250000 77.862 -146.0348
19.500000 77.913 -146.4899
19.750000 77.957 -146.8946
20.000000 77.996 -147.2359
20.299999 78.041 -147.5819
20.600000 78.085 -147.8926
20.900000 78.128 -148.2133
21.200001 78.165 -148.5804
21.400000 78.183 -148.8504
21.799999 78.200 -149.4147
22.000000 78.199 -149.6876
22.400000 78.186 -150.1751
22.700001 78.175 -150.4929
23.000000 78.170 -150.8041
23.299999 78.171 -151.1533
23.600000 78.176 -151.5631
24.000000 78.179 -152.1941
24.299999 78.175 -152.6788
24.700001 78.168 -153.2493
25.000000 78.171 -153.5835
25.400000 78.204 -153.9371
25.799999 78.280 -154.3314
26.200001 78.384 -154.9291
26.500000 78.461 -155.5378
26.900000 78.538 -156.4817
27.200001 78.572 -157.1748
27.600000 78.590 -157.9363
28.000000 78.602 -158.4528
28.500000 78.636 -158.8862
29.000000 78.689 -159.3382
29.500000 78.729 -159.8878
30.000000 78.744 -160.4232
30.400000 78.745 -160.7834
30.700001 78.745 -161.0268
31.100000 78.747 -161.3586
31.500000 78.748 -161.7228
32.000000 78.744 -162.2110
32.500000 78.739 -162.7090
33.000000 78.737 -163.2287
33.500000 78.737 -163.7889
34.000000 78.736 -164.3631
34.500000 78.734 -164.9039
35.000000 78.736 -165.3960
35.500000 78.744 -165.8537
36.000000 78.756 -166.2912
36.500000 78.767 -166.7112
37.000000 78.774 -167.1029
37.500000 78.774 -167.4362
38.200001 78.773 -167.7490
38.700001 78.784 -167.8951
39.500000 78.827 -168.2169
40.000000 78.856 -168.5420
40.599998 78.884 -169.0322
41.200001 78.901 -169.5813
41.799999 78.908 -170.1523
42.500000 78.905 -170.7908
43.099998 78.902 -171.2816
43.700001 78.903 -171.7369
44.400002 78.910 -172.2723
45.000000 78.913 -172.7467
45.500000 78.910 -173.1247
46.200001 78.902 -173.5869
46.799999 78.899 -173.9447
47.500000 78.898 -174.3940
48.200001 78.887 -174.8611
48.700001 78.874 -175.1534
49.400002 78.863 -175.4959
50.000000 78.865 -175.8063
50.799999 78.866 -176.3163
51.500000 78.855 -176.7618
52.200001 78.843 -177.1453
53.000000 78.834 -177.5822
53.799999 78.819 -178.0075
54.500000 78.809 -178.3373
55.200001 78.804 -178.7001
56.000000 78.791 -179.1372
57.000000 78.776 -179.6034
58.000000 78.769 179.8692
59.000000 78.749 179.3744
60.000000 78.736 178.9568
60.799999 78.727 178.5949
61.500000 78.715 178.2816
62.200001 78.701 177.9796
63.000000 78.684 177.6321
64.000000 78.661 177.2179
65.000000 78.646 176.7901
66.000000 78.626 176.3095
67.000000 78.601 175.9016
68.000000 78.584 175.5204
69.000000 78.566 175.1374
70.000000 78.547 174.7848
71.000000 78.528 174.4141
72.000000 78.504 174.0590
73.000000 78.482 173.7043
74.000000 78.458 173.3334
75.000000 78.433 172.9828
76.199997 78.405 172.5840
77.500000 78.374 172.1631
78.800003 78.349 171.7997
80.000000 78.326 171.3596
81.199997 78.291 170.9910
82.500000 78.255 170.5387
83.800003 78.216 170.2608
85.000000 78.202 169.8425
86.199997 78.156 169.4728
87.500000 78.128 169.1412
88.500000 78.101 168.8483
90.000000 78.071 168.4326
91.199997 78.035 168.0730
92.500000 77.998 167.7731
93.800003 77.967 167.4663
95.000000 77.931 167.1651
96.199997 77.898 166.9081
97.500000 77.862 166.5715
98.800003 77.820 166.2800
100.000000 77.787 166.0544
101.500000 77.749 165.6740
103.000000 77.696 165.3812
104.400002 77.655 165.0861
106.000000 77.611 164.7261
107.500000 77.560 164.3973
109.000000 77.511 164.1376
110.599998 77.461 163.8652
112.000000 77.412 163.6518
113.800003 77.353 163.3870
115.000000 77.313 163.2193
117.199997 77.243 162.9032
118.000000 77.215 162.7947
120.599998 77.137 162.5190
122.000000 77.086 162.3907
124.099998 77.007 162.2554
125.000000 76.980 162.2921
126.500000 76.947 162.3060
128.000000 76.918 162.4726
131.500000 76.960 162.3964
132.000000 76.970 162.3004
134.000000 76.972 161.7485
136.000000 76.936 161.1436
138.000000 76.888 160.6866
140.000000 76.842 160.2135
143.000000 76.753 159.7313
145.000000 76.692 159.4415
147.500000 76.602 159.0674
150.000000 76.539 158.7762
152.500000 76.466 158.4610
155.000000 76.406 158.2708
157.500000 76.324 158.0881
160.000000 76.242 157.8284
162.500000 76.173 157.6198
165.000000 76.106 157.4655
167.500000 76.052 157.3385
170.000000 75.986 157.1398
172.500000 75.932 156.9900
175.000000 75.878 156.7464
177.500000 75.804 156.5147
180.000000 75.730 156.3383
182.500000 75.681 156.1777
185.000000 75.615 155.9991
187.500000 75.557 155.9061
190.000000 75.482 155.8695
192.500000 75.411 155.6710
195.000000 75.356 155.5054
197.500000 75.304 155.4652
200.000000 75.239 155.3641
203.000000 75.160 155.1996
206.000000 75.098 155.1757
209.000000 75.004 155.1505
212.000000 74.936 155.0724
214.000000 74.892 154.9791
218.000000 74.794 154.9331
220.000000 74.751 154.9327
224.000000 74.665 154.8287
227.000000 74.589 154.8391
230.000000 74.516 154.8965
233.000000 74.439 154.8873
236.000000 74.391 154.9174
240.000000 74.301 154.9995
243.000000 74.241 155.1880
247.000000 74.182 155.1511
250.000000 74.141 155.2105
254.000000 74.052 155.0868
258.000000 74.006 155.1213
262.000000 73.919 155.0422
265.000000 73.846 154.9070
269.000000 73.788 155.1523
272.000000 73.737 155.0990
276.000000 73.641 155.1685
280.000000 73.558 155.2169
285.000000 73.463 155.3393
290.000000 73.407 155.5285
295.000000 73.310 155.4519
300.000000 73.220 155.5535
304.000000 73.162 155.6989
307.000000 73.086 155.7323
311.000000 73.030 155.8954
315.000000 72.957 155.8710
