* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 00:01:40 28-02-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Godmod 500bd foam notip R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 84.678 120.8964
1.015000 84.508 119.9983
1.030000 84.331 119.0980
1.044000 84.160 118.2554
1.060000 83.957 117.2897
1.075000 83.760 116.3814
1.090000 83.555 115.4701
1.106000 83.332 114.5116
1.120000 83.149 113.7759
1.138000 82.932 112.9770
1.150000 82.796 112.5224
1.172000 82.561 111.8173
1.180000 82.478 111.5933
1.206000 82.212 110.9417
1.220000 82.067 110.6159
1.241000 81.840 110.1212
1.250000 81.738 109.8966
1.265000 81.558 109.4915
1.280000 81.363 109.0327
1.315000 80.839 107.6544
1.320000 80.754 107.4127
1.340000 80.386 106.3083
1.360000 79.966 104.9521
1.380000 79.487 103.3024
1.400000 78.943 101.3174
1.430000 77.989 97.6203
1.450000 77.249 94.6148
1.475000 76.180 90.1755
1.500000 74.802 84.9475
1.525000 73.135 79.0073
1.550000 71.238 72.4442
1.575000 69.171 65.3470
1.600000 66.992 57.8048
1.625000 64.763 49.9067
1.650000 62.543 41.7417
1.675000 60.391 33.3989
1.700000 58.368 24.9672
1.725000 56.533 16.5358
1.750000 54.946 8.1936
1.775000 53.666 0.0298
1.800000 52.754 -7.8667
1.825000 52.268 -15.4068
1.850000 52.262 -22.7289
1.875000 52.713 -30.2941
1.900000 53.562 -38.0532
1.925000 54.749 -45.9337
1.950000 56.212 -53.8635
1.975000 57.893 -61.7700
2.000000 59.731 -69.5810
2.030000 62.059 -78.7262
2.060000 64.422 -87.5047
2.090000 66.715 -95.7915
2.120000 68.836 -103.4615
2.140000 70.102 -108.1705
2.180000 72.142 -116.4512
2.200000 72.855 -119.9490
2.240000 73.902 -125.5912
2.270000 74.473 -128.7708
2.300000 74.884 -131.1882
2.330000 75.159 -132.9696
2.360000 75.320 -134.2406
2.400000 75.397 -135.3589
2.430000 75.382 -135.9285
2.470000 75.307 -136.5685
2.500000 75.240 -137.1220
2.540000 75.178 -138.1972
2.580000 75.184 -139.8676
2.620000 75.164 -141.7544
2.650000 75.115 -143.1988
2.690000 75.004 -145.1072
2.720000 74.887 -146.4871
2.760000 74.687 -148.2021
2.800000 74.437 -149.7099
2.850000 74.054 -151.1962
2.900000 73.596 -152.1118
2.950000 73.047 -152.3897
3.000000 72.284 -152.4978
3.040000 71.550 -152.4283
3.070000 70.956 -152.2127
3.110000 70.142 -151.6186
3.150000 69.343 -150.5728
3.200000 68.434 -148.4619
3.250000 67.705 -145.2567
3.300000 67.243 -140.7361
3.350000 67.024 -134.0165
3.400000 66.973 -125.1577
3.450000 67.066 -115.0115
3.500000 67.278 -104.4295
3.550000 67.584 -94.2634
3.600000 67.961 -85.3650
3.650000 68.382 -78.5858
3.700000 68.878 -77.2117
3.750000 69.539 -76.6458
3.820000 70.641 -75.4073
3.870000 71.479 -74.4079
3.950000 72.749 -73.0258
4.000000 73.412 -72.5317
4.060000 74.004 -72.7692
4.120000 74.466 -73.8810
4.180000 74.828 -75.4884
4.250000 75.148 -77.7311
4.310000 75.351 -79.7461
4.370000 75.506 -81.6415
4.440000 75.633 -83.6137
4.500000 75.670 -85.3894
4.550000 75.655 -86.8922
4.620000 75.572 -88.9323
4.680000 75.453 -90.5297
4.750000 75.269 -92.0974
4.820000 75.026 -93.3912
4.870000 74.802 -94.2561
4.940000 74.438 -95.2785
5.000000 74.098 -95.8819
5.080000 73.636 -96.1303
5.150000 73.246 -95.6723
5.220000 72.809 -94.5221
5.300000 72.276 -92.5423
5.380000 71.781 -90.0884
5.450000 71.438 -87.7458
5.520000 71.229 -85.3262
5.600000 71.132 -81.9331
5.700000 71.163 -77.2482
5.800000 71.306 -73.0901
5.900000 71.513 -70.4451
6.000000 71.861 -69.0334
6.080000 72.192 -68.5612
6.150000 72.470 -68.5481
6.220000 72.695 -68.8433
6.300000 72.888 -69.6618
6.400000 73.087 -71.4755
6.500000 73.223 -73.7898
6.600000 73.281 -76.2009
6.700000 73.251 -78.8055
6.800000 73.145 -81.6644
6.900000 72.983 -84.5091
7.000000 72.778 -87.1194
7.100000 72.503 -89.6663
7.200000 72.187 -92.0694
7.300000 71.870 -94.1622
7.400000 71.562 -95.8275
7.500000 71.233 -97.1409
7.620000 70.878 -98.3637
7.750000 70.625 -99.3261
7.880000 70.483 -99.7323
8.000000 70.450 -100.0559
8.120000 70.529 -100.7449
8.250000 70.753 -101.7030
8.380000 71.046 -102.9948
8.500000 71.329 -104.6530
8.620000 71.653 -106.7415
8.750000 72.001 -109.2220
8.850000 72.236 -111.1642
9.000000 72.561 -114.3023
9.120000 72.791 -116.7366
9.250000 72.996 -119.1023
9.380000 73.161 -121.2953
9.500000 73.296 -123.0346
9.620000 73.416 -124.4098
9.750000 73.527 -125.5522
9.880000 73.645 -126.3910
10.000000 73.769 -126.8686
10.150000 73.937 -127.1111
10.300000 74.131 -127.2375
10.440000 74.342 -127.2211
10.600000 74.596 -127.1759
10.750000 74.836 -127.2519
10.900000 75.077 -127.3835
11.060000 75.306 -127.5866
11.200000 75.486 -127.8321
11.380000 75.685 -128.1157
11.500000 75.793 -128.2671
11.720000 75.956 -128.4429
11.800000 76.006 -128.4503
12.060000 76.143 -128.3199
12.200000 76.212 -128.1850
12.410000 76.307 -127.9244
12.500000 76.347 -127.8354
12.650000 76.412 -127.7000
12.800000 76.470 -127.6115
13.150000 76.573 -127.6697
13.200000 76.583 -127.7024
13.400000 76.609 -127.8981
13.600000 76.616 -128.1694
13.800000 76.605 -128.5052
14.000000 76.579 -128.9069
14.300000 76.518 -129.6326
14.500000 76.463 -130.2066
14.750000 76.380 -130.9827
15.000000 76.283 -131.7941
15.250000 76.183 -132.5533
15.500000 76.099 -133.2320
15.750000 76.044 -133.8383
16.000000 76.038 -134.4351
16.250000 76.080 -135.1489
16.500000 76.162 -136.0294
16.750000 76.268 -137.1327
17.000000 76.377 -138.3748
17.250000 76.482 -139.6763
17.500000 76.576 -140.9268
17.750000 76.666 -142.0226
18.000000 76.757 -142.9529
18.250000 76.855 -143.7104
18.500000 76.961 -144.3512
18.750000 77.070 -144.8957
19.000000 77.177 -145.3623
19.250000 77.276 -145.7322
19.500000 77.367 -145.9937
19.750000 77.455 -146.1438
20.000000 77.544 -146.2179
20.299999 77.651 -146.3030
20.600000 77.752 -146.4686
20.900000 77.831 -146.7650
21.200001 77.869 -147.1543
21.400000 77.870 -147.3957
21.799999 77.824 -147.7192
22.000000 77.791 -147.7704
22.400000 77.734 -147.6951
22.700001 77.716 -147.6319
23.000000 77.717 -147.7162
23.299999 77.725 -147.9990
23.600000 77.729 -148.4508
24.000000 77.726 -149.2158
24.299999 77.724 -149.8419
24.700001 77.735 -150.7333
25.000000 77.756 -151.4744
25.400000 77.792 -152.5780
25.799999 77.823 -153.7394
26.200001 77.843 -154.8080
26.500000 77.856 -155.4696
26.900000 77.884 -156.1369
27.200001 77.918 -156.5122
27.600000 77.985 -156.9390
28.000000 78.063 -157.3906
28.500000 78.142 -158.0490
29.000000 78.169 -158.6716
29.500000 78.147 -159.0166
30.000000 78.122 -159.0078
30.400000 78.128 -158.9129
30.700001 78.149 -158.9187
31.100000 78.182 -159.1285
31.500000 78.202 -159.5471
32.000000 78.200 -160.2033
32.500000 78.183 -160.8664
33.000000 78.174 -161.5486
33.500000 78.172 -162.3031
34.000000 78.168 -163.0844
34.500000 78.163 -163.7946
35.000000 78.166 -164.3930
35.500000 78.179 -164.8936
36.000000 78.201 -165.3199
36.500000 78.227 -165.6956
37.000000 78.254 -166.0465
37.500000 78.273 -166.3773
38.200001 78.287 -166.7926
38.700001 78.290 -167.0803
39.500000 78.282 -167.5787
40.000000 78.272 -167.8878
40.599998 78.267 -168.2781
41.200001 78.270 -168.7846
41.799999 78.264 -169.3901
42.500000 78.242 -170.0358
43.099998 78.230 -170.4636
43.700001 78.232 -170.8441
44.400002 78.242 -171.3083
45.000000 78.243 -171.7242
45.500000 78.234 -172.0382
46.200001 78.214 -172.3660
46.799999 78.205 -172.6000
47.500000 78.197 -172.9828
48.200001 78.162 -173.4234
48.700001 78.124 -173.6219
49.400002 78.089 -173.6631
50.000000 78.098 -173.6611
50.799999 78.134 -173.8872
51.500000 78.144 -174.1609
52.200001 78.145 -174.2550
53.000000 78.169 -174.2078
53.799999 78.217 -174.2123
54.500000 78.269 -174.3481
55.200001 78.317 -174.6721
56.000000 78.351 -175.2010
57.000000 78.375 -175.9391
58.000000 78.391 -176.8028
59.000000 78.385 -177.6907
60.000000 78.365 -178.3557
60.799999 78.370 -178.7677
61.500000 78.378 -179.2085
62.200001 78.367 -179.6371
63.000000 78.350 179.9858
64.000000 78.330 179.4850
65.000000 78.301 179.0578
66.000000 78.291 178.5855
67.000000 78.265 178.0416
68.000000 78.247 177.6141
69.000000 78.229 177.1351
70.000000 78.207 176.7731
71.000000 78.196 176.3250
72.000000 78.158 175.9089
73.000000 78.136 175.5953
74.000000 78.110 175.1290
75.000000 78.068 174.8066
76.199997 78.052 174.4656
77.500000 78.026 173.9241
78.800003 77.991 173.5381
80.000000 77.966 173.0723
81.199997 77.920 172.7252
82.500000 77.892 172.3086
83.800003 77.845 171.9706
85.000000 77.824 171.6409
86.199997 77.786 171.2966
87.500000 77.752 170.9265
88.500000 77.716 170.6729
90.000000 77.676 170.3487
91.199997 77.645 170.0762
92.500000 77.603 169.8252
93.800003 77.573 169.5880
95.000000 77.535 169.3892
96.199997 77.520 169.1610
97.500000 77.490 168.8399
98.800003 77.466 168.5167
100.000000 77.435 168.3066
101.500000 77.409 167.9285
103.000000 77.361 167.6775
104.400002 77.313 167.3517
106.000000 77.258 167.1481
107.500000 77.216 166.9521
109.000000 77.169 166.7328
110.599998 77.133 166.7263
112.000000 77.108 166.5860
113.800003 77.100 166.4856
115.000000 77.093 166.4160
117.199997 77.111 166.0456
118.000000 77.112 165.8934
120.599998 77.093 165.1828
122.000000 77.063 164.8216
124.099998 77.028 164.2561
125.000000 77.007 164.0413
126.500000 76.968 163.6926
128.000000 76.911 163.4159
131.500000 76.827 162.8581
132.000000 76.818 162.7773
134.000000 76.782 162.4473
136.000000 76.725 162.0059
138.000000 76.669 161.7050
140.000000 76.614 161.3412
143.000000 76.535 160.9106
145.000000 76.482 160.5921
147.500000 76.396 160.2860
150.000000 76.324 160.0049
152.500000 76.253 159.7609
155.000000 76.198 159.5367
157.500000 76.130 159.2185
160.000000 76.051 159.0440
162.500000 75.988 158.7533
165.000000 75.923 158.5009
167.500000 75.848 158.3625
170.000000 75.784 158.1282
172.500000 75.717 157.8598
175.000000 75.647 157.7401
177.500000 75.578 157.5687
180.000000 75.504 157.3870
182.500000 75.427 157.3580
185.000000 75.367 157.2395
187.500000 75.302 157.1655
190.000000 75.235 157.1882
192.500000 75.182 157.1355
195.000000 75.117 157.2677
197.500000 75.076 157.2394
200.000000 75.040 157.1767
203.000000 75.021 157.1060
206.000000 74.978 156.8922
209.000000 74.906 156.6564
212.000000 74.847 156.4678
214.000000 74.819 156.3380
218.000000 74.714 156.0800
220.000000 74.663 156.0355
224.000000 74.577 155.8528
227.000000 74.504 155.7315
230.000000 74.436 155.7076
233.000000 74.372 155.6522
236.000000 74.306 155.6307
240.000000 74.222 155.6046
243.000000 74.159 155.5494
247.000000 74.068 155.4769
250.000000 73.997 155.5814
254.000000 73.923 155.4691
258.000000 73.842 155.4451
262.000000 73.752 155.5078
265.000000 73.694 155.4935
269.000000 73.633 155.5241
272.000000 73.534 155.4356
276.000000 73.474 155.5263
280.000000 73.392 155.5792
285.000000 73.315 155.7331
290.000000 73.209 155.8245
295.000000 73.122 155.8593
300.000000 73.018 155.9026
304.000000 72.969 156.1267
307.000000 72.909 156.1140
311.000000 72.824 156.1775
315.000000 72.771 156.4000
