* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 00:12:28 28-02-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Godmod 500bd foam notip R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 84.645 120.6497
1.015000 84.471 119.7410
1.030000 84.291 118.8290
1.044000 84.117 117.9745
1.060000 83.910 116.9938
1.075000 83.708 116.0700
1.090000 83.499 115.1419
1.106000 83.269 114.1691
1.120000 83.075 113.4522
1.138000 82.837 112.7219
1.150000 82.683 112.3368
1.172000 82.407 111.7977
1.180000 82.308 111.6439
1.206000 81.984 111.2431
1.220000 81.806 111.0596
1.241000 81.530 110.7760
1.250000 81.406 110.6379
1.265000 81.193 110.3672
1.280000 80.968 110.0261
1.315000 80.384 108.8268
1.320000 80.293 108.5969
1.340000 79.905 107.4970
1.360000 79.478 106.0675
1.380000 79.006 104.2540
1.400000 78.484 102.0021
1.430000 77.595 97.6831
1.450000 76.926 94.0968
1.475000 75.978 88.7010
1.500000 74.781 82.0869
1.525000 73.348 74.3599
1.550000 71.728 65.6887
1.575000 69.972 56.2418
1.600000 68.129 46.1879
1.625000 66.248 35.6956
1.650000 64.379 24.9334
1.675000 62.572 14.0700
1.700000 60.876 3.2739
1.725000 59.340 -7.2861
1.750000 58.016 -17.4416
1.775000 56.951 -27.0239
1.800000 56.196 -35.8645
1.825000 55.800 -43.7947
1.850000 55.808 -50.8808
1.875000 56.205 -57.6058
1.900000 56.942 -64.0020
1.925000 57.967 -70.0799
1.950000 59.228 -75.8497
1.975000 60.674 -81.3217
2.000000 62.254 -86.5060
2.030000 64.254 -92.3621
2.060000 66.284 -97.8366
2.090000 68.255 -102.9474
2.120000 70.079 -107.7120
2.140000 71.169 -110.7050
2.180000 72.929 -116.2742
2.200000 73.548 -118.8594
2.240000 74.466 -123.3021
2.270000 74.974 -125.9724
2.300000 75.347 -128.1611
2.330000 75.604 -129.9453
2.360000 75.764 -131.4021
2.400000 75.859 -132.9684
2.430000 75.866 -133.9610
2.470000 75.824 -135.1882
2.500000 75.780 -136.1363
2.540000 75.738 -137.5841
2.580000 75.745 -139.3739
2.620000 75.725 -141.3023
2.650000 75.678 -142.7668
2.690000 75.573 -144.6966
2.720000 75.463 -146.0949
2.760000 75.273 -147.8470
2.800000 75.034 -149.4170
2.850000 74.668 -151.0342
2.900000 74.226 -152.1611
2.950000 73.695 -152.7609
3.000000 72.970 -153.3622
3.040000 72.276 -153.7822
3.070000 71.714 -153.9676
3.110000 70.941 -153.9267
3.150000 70.175 -153.4251
3.200000 69.288 -151.9316
3.250000 68.548 -149.2137
3.300000 68.031 -144.9863
3.350000 67.693 -138.3780
3.400000 67.465 -129.5030
3.450000 67.346 -119.2361
3.500000 67.335 -108.4518
3.550000 67.428 -98.0247
3.600000 67.624 -88.8295
3.650000 67.920 -81.7407
3.700000 68.360 -77.1451
3.750000 69.014 -74.1508
3.820000 70.166 -72.0130
3.870000 71.064 -71.5451
3.950000 72.442 -71.7998
4.000000 73.158 -72.1178
4.060000 73.788 -72.3768
4.120000 74.279 -73.2786
4.180000 74.667 -74.7619
4.250000 75.014 -76.9277
4.310000 75.239 -78.9001
4.370000 75.414 -80.7426
4.440000 75.564 -82.6205
4.500000 75.619 -84.3237
4.550000 75.617 -85.7733
4.620000 75.551 -87.7469
4.680000 75.447 -89.2922
4.750000 75.283 -90.8012
4.820000 75.060 -92.0325
4.870000 74.851 -92.8496
4.940000 74.508 -93.8084
5.000000 74.187 -94.3674
5.080000 73.752 -94.5825
5.150000 73.387 -94.1298
5.220000 72.979 -93.0116
5.300000 72.483 -91.0962
5.380000 72.023 -88.7354
5.450000 71.706 -86.4970
5.520000 71.513 -84.2051
5.600000 71.426 -81.0149
5.700000 71.461 -76.6286
5.800000 71.600 -72.7467
5.900000 71.799 -70.2848
6.000000 72.129 -68.9788
6.080000 72.443 -68.5560
6.150000 72.705 -68.5701
6.220000 72.918 -68.8853
6.300000 73.101 -69.7131
6.400000 73.289 -71.5090
6.500000 73.417 -73.7910
6.600000 73.469 -76.1752
6.700000 73.434 -78.7577
6.800000 73.326 -81.5934
6.900000 73.161 -84.4180
7.000000 72.953 -87.0155
7.100000 72.676 -89.5577
7.200000 72.357 -91.9599
7.300000 72.035 -94.0512
7.400000 71.719 -95.7157
7.500000 71.381 -97.0335
7.620000 71.013 -98.2494
7.750000 70.742 -99.1668
7.880000 70.579 -99.4951
8.000000 70.527 -99.7197
8.120000 70.591 -100.2797
8.250000 70.802 -101.0581
8.380000 71.087 -102.1575
8.500000 71.367 -103.6471
8.620000 71.694 -105.5648
8.750000 72.050 -107.8710
8.850000 72.293 -109.6949
9.000000 72.634 -112.6732
9.120000 72.879 -115.0010
9.250000 73.104 -117.2773
9.380000 73.291 -119.4053
9.500000 73.446 -121.1119
9.620000 73.587 -122.4857
9.750000 73.721 -123.6588
9.880000 73.858 -124.5530
10.000000 73.996 -125.1078
10.150000 74.176 -125.4750
10.300000 74.375 -125.7161
10.440000 74.584 -125.8026
10.600000 74.830 -125.8483
10.750000 75.059 -125.9592
10.900000 75.288 -126.0879
11.060000 75.508 -126.2500
11.200000 75.682 -126.4227
11.380000 75.879 -126.6013
11.500000 75.991 -126.6773
11.720000 76.168 -126.7329
11.800000 76.226 -126.7146
12.060000 76.389 -126.5555
12.200000 76.470 -126.4552
12.410000 76.578 -126.2975
12.500000 76.618 -126.2567
12.650000 76.679 -126.2196
12.800000 76.726 -126.2131
13.150000 76.777 -126.3148
13.200000 76.778 -126.3285
13.400000 76.767 -126.3771
13.600000 76.744 -126.4021
13.800000 76.714 -126.3846
14.000000 76.688 -126.4051
14.300000 76.663 -126.5655
14.500000 76.654 -126.8657
14.750000 76.640 -127.4787
15.000000 76.614 -128.3496
15.250000 76.569 -129.3781
15.500000 76.514 -130.4494
15.750000 76.459 -131.5067
16.000000 76.424 -132.5020
16.250000 76.421 -133.5012
16.500000 76.453 -134.5439
16.750000 76.515 -135.6979
17.000000 76.591 -136.9455
17.250000 76.674 -138.2372
17.500000 76.755 -139.4990
17.750000 76.835 -140.6257
18.000000 76.918 -141.5938
18.250000 77.011 -142.3804
18.500000 77.117 -143.0323
18.750000 77.232 -143.5873
19.000000 77.353 -144.0800
19.250000 77.470 -144.5289
19.500000 77.578 -144.9225
19.750000 77.675 -145.2538
20.000000 77.762 -145.5128
20.299999 77.852 -145.7500
20.600000 77.929 -145.9362
20.900000 77.990 -146.1045
21.200001 78.032 -146.2717
21.400000 78.049 -146.3782
21.799999 78.061 -146.5753
22.000000 78.059 -146.6718
22.400000 78.046 -146.8939
22.700001 78.029 -147.1217
23.000000 78.007 -147.4176
23.299999 77.981 -147.7658
23.600000 77.957 -148.1526
24.000000 77.937 -148.7375
24.299999 77.938 -149.2718
24.700001 77.956 -150.1767
25.000000 77.972 -150.9981
25.400000 77.983 -152.1869
25.799999 77.980 -153.2952
26.200001 77.980 -154.1804
26.500000 77.995 -154.6960
26.900000 78.043 -155.2604
27.200001 78.093 -155.6511
27.600000 78.169 -156.1630
28.000000 78.241 -156.6430
28.500000 78.316 -157.1478
29.000000 78.376 -157.5414
29.500000 78.418 -157.8509
30.000000 78.445 -158.1073
30.400000 78.459 -158.3146
30.700001 78.464 -158.4978
31.100000 78.461 -158.7943
31.500000 78.445 -159.1318
32.000000 78.412 -159.5562
32.500000 78.380 -159.9647
33.000000 78.361 -160.4046
33.500000 78.353 -160.9051
34.000000 78.355 -161.4363
34.500000 78.368 -161.9644
35.000000 78.393 -162.4849
35.500000 78.425 -162.9843
36.000000 78.463 -163.4377
36.500000 78.508 -163.8567
37.000000 78.552 -164.2856
37.500000 78.587 -164.7300
38.200001 78.609 -165.2883
38.700001 78.613 -165.6094
39.500000 78.615 -166.0693
40.000000 78.615 -166.3599
40.599998 78.615 -166.7380
41.200001 78.614 -167.1739
41.799999 78.608 -167.6340
42.500000 78.599 -168.1149
43.099998 78.600 -168.4577
43.700001 78.616 -168.7658
44.400002 78.653 -169.1712
45.000000 78.683 -169.6248
45.500000 78.696 -170.0202
46.200001 78.703 -170.4664
46.799999 78.723 -170.8251
47.500000 78.743 -171.4251
48.200001 78.726 -172.0564
48.700001 78.706 -172.3696
49.400002 78.701 -172.7036
50.000000 78.713 -173.0763
50.799999 78.716 -173.6373
51.500000 78.714 -174.0335
52.200001 78.722 -174.4148
53.000000 78.723 -174.8969
53.799999 78.711 -175.3065
54.500000 78.705 -175.6333
55.200001 78.696 -176.0069
56.000000 78.676 -176.3985
57.000000 78.669 -176.8277
58.000000 78.671 -177.3765
59.000000 78.666 -177.9084
60.000000 78.659 -178.3782
60.799999 78.654 -178.6969
61.500000 78.653 -178.9700
62.200001 78.648 -179.2637
63.000000 78.636 -179.6012
64.000000 78.620 179.9845
65.000000 78.609 179.5346
66.000000 78.596 179.0329
67.000000 78.581 178.5586
68.000000 78.570 178.1241
69.000000 78.560 177.7024
70.000000 78.543 177.2990
71.000000 78.524 176.9473
72.000000 78.507 176.5814
73.000000 78.486 176.1931
74.000000 78.465 175.8195
75.000000 78.445 175.4328
76.199997 78.419 175.0255
77.500000 78.397 174.5824
78.800003 78.370 174.1805
80.000000 78.345 173.7807
81.199997 78.323 173.4128
82.500000 78.294 172.9356
83.800003 78.264 172.5846
85.000000 78.238 172.2291
86.199997 78.217 171.9518
87.500000 78.195 171.5172
88.500000 78.170 171.2195
90.000000 78.136 170.7465
91.199997 78.108 170.4339
92.500000 78.078 170.0824
93.800003 78.047 169.7944
95.000000 78.018 169.4771
96.199997 77.984 169.1838
97.500000 77.954 168.8650
98.800003 77.930 168.5399
100.000000 77.906 168.1953
101.500000 77.864 167.8753
103.000000 77.834 167.6158
104.400002 77.803 167.2640
106.000000 77.753 166.9249
107.500000 77.716 166.5994
109.000000 77.678 166.2833
110.599998 77.643 165.9802
112.000000 77.604 165.6510
113.800003 77.567 165.4200
115.000000 77.537 165.0598
117.199997 77.478 164.7136
118.000000 77.453 164.5638
120.599998 77.385 164.0872
122.000000 77.348 163.8878
124.099998 77.299 163.5626
125.000000 77.275 163.4529
126.500000 77.244 163.2271
128.000000 77.210 162.9707
131.500000 77.121 162.4002
132.000000 77.103 162.3228
134.000000 77.060 162.0266
136.000000 77.005 161.7983
138.000000 76.947 161.5646
140.000000 76.899 161.2520
143.000000 76.824 160.9483
145.000000 76.779 160.7496
147.500000 76.719 160.4289
150.000000 76.660 160.0732
152.500000 76.591 159.8004
155.000000 76.529 159.6018
157.500000 76.464 159.4038
160.000000 76.403 159.1351
162.500000 76.342 158.9047
165.000000 76.274 158.6248
167.500000 76.226 158.4328
170.000000 76.149 158.1917
172.500000 76.099 158.0420
175.000000 76.027 157.8654
177.500000 75.976 157.6931
180.000000 75.915 157.5273
182.500000 75.854 157.3879
185.000000 75.795 157.2188
187.500000 75.730 156.9930
190.000000 75.684 156.8904
192.500000 75.609 156.7339
195.000000 75.552 156.6559
197.500000 75.493 156.4588
200.000000 75.452 156.3653
203.000000 75.386 156.2868
206.000000 75.309 156.1425
209.000000 75.229 156.0664
212.000000 75.169 155.9158
214.000000 75.120 155.8425
218.000000 75.027 155.8124
220.000000 74.988 155.6137
224.000000 74.905 155.6255
227.000000 74.845 155.4984
230.000000 74.776 155.4763
233.000000 74.697 155.4017
236.000000 74.630 155.3441
240.000000 74.553 155.3050
243.000000 74.502 155.2877
247.000000 74.414 155.1595
250.000000 74.367 155.1922
254.000000 74.270 155.2003
258.000000 74.188 155.2019
262.000000 74.125 155.2303
265.000000 74.059 155.2299
269.000000 73.967 155.2461
272.000000 73.928 155.2306
276.000000 73.858 155.3641
280.000000 73.768 155.2737
285.000000 73.669 155.4193
290.000000 73.583 155.4385
295.000000 73.496 155.5634
300.000000 73.423 155.6228
304.000000 73.338 155.6682
307.000000 73.289 155.6890
311.000000 73.211 155.8641
315.000000 73.165 156.0432
